LGA_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
LGA44340,105,0,16,489,744,189,195,3,9,1145,19524,2474,2463,46,97,24607
LGA44550,3,0,0,168,645,46,8,6,6,713,11881,537,58,102,36,12616
LGA44620,11,0,3,155,453,138,94,19,14,715,8240,1518,996,76,53,10889
LGA44830,0,3,0,17,87,0,0,29,0,113,1188,18,4,63,16,1287
LGA45040,0,0,0,171,478,111,9,20,7,633,7263,908,53,110,71,8401
LGA45090,0,0,0,35,156,16,4,9,3,189,3091,98,57,34,17,3301
LGA45120,0,0,0,24,118,3,0,14,3,145,1861,35,8,54,19,1975
LGA45290,107,0,3,504,368,312,202,12,6,902,8099,4715,2629,65,65,15568
LGA45340,209,5,3,1120,2924,573,161,49,13,3720,58270,5484,1521,380,155,65816
LGA45400,0,0,0,7,28,3,0,22,3,52,345,8,0,30,21,412
LGA45540,0,3,0,9,65,0,7,0,0,76,768,25,15,31,7,836
LGA45680,0,0,0,184,1732,787,83,17,13,2634,26842,6140,440,115,85,33622
LGA45890,49,0,7,556,1671,910,336,29,31,2977,33510,11023,3876,201,199,48811
LGA46090,4,4,0,29,320,119,54,76,0,572,4273,731,350,223,45,5624
LGA46300,7,0,0,57,332,85,40,31,10,496,4583,750,337,96,34,5805
LGA46450,3,6,0,56,366,117,12,33,4,523,6182,891,119,102,47,7344
LGA46510,9,0,0,75,231,131,85,0,6,446,5495,1554,998,23,29,8094
LGA46670,14,0,0,46,269,15,34,32,12,364,3398,157,220,115,83,3971
LGA46860,0,0,0,9,37,0,3,12,0,55,567,17,12,33,4,634
LGA46970,0,0,0,4,73,13,10,5,3,101,1057,154,63,27,10,1308
LGA47140,100,0,3,567,2243,485,256,42,22,3041,42631,6141,2505,230,86,51594
LGA47290,0,0,0,8,61,0,0,13,0,79,782,6,8,28,4,836
LGA47490,0,0,0,11,60,3,0,20,0,80,795,22,0,75,3,895
LGA47630,0,0,0,61,200,0,3,18,4,226,2526,34,11,42,12,2637
LGA47700,11,0,3,858,1261,209,56,0,4,1529,33786,2924,759,25,64,37567
LGA47800,0,0,0,48,152,3,0,4,5,164,2134,62,13,40,11,2260
LGA47910,3,0,0,14,55,3,4,12,4,76,1026,62,34,57,13,1190
LGA47980,154,0,3,352,363,197,229,3,6,799,9004,2883,3460,15,37,15395
LGA48050,3,0,0,192,325,62,14,4,0,397,5772,654,116,58,15,6615
LGA48130,0,0,0,32,156,3,7,15,6,192,2595,42,55,47,15,2758
LGA48260,10,0,0,48,81,30,63,3,4,185,1941,668,439,49,14,3107
LGA48340,0,0,0,33,288,13,18,9,0,330,4490,154,68,60,18,4802
LGA48410,40,0,0,404,719,388,273,45,15,1436,15417,5306,3413,104,97,24329
LGA48540,0,0,3,33,276,362,58,50,4,756,5106,3683,443,122,42,9400
LGA48640,0,5,0,5,40,0,0,7,0,48,478,13,3,43,4,537
LGA48750,0,3,0,25,138,6,3,15,3,165,2095,57,51,75,19,2296
LGA48830,3,8,0,64,246,3,3,31,0,283,4672,82,36,206,36,5027
LGA49399,0,22,4,62,155,4,12,211,31,407,1089,13,25,509,130,1764
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,0,5,5,174,803,143,15,57,7,1025,12754,1125,54,325,72,14327
LGA50210,0,0,0,204,1608,376,38,37,8,2063,25177,3448,249,117,54,29048
LGA50250,7,27,3,47,145,15,10,181,26,381,1803,173,89,650,51,2763
LGA50280,13,4,3,83,382,11,3,61,20,475,5116,179,61,231,73,5655
LGA50350,0,0,0,47,267,82,15,3,3,372,4849,1050,251,7,12,6172
LGA50420,14,0,0,210,1063,486,324,18,10,1901,18115,5557,2627,33,79,26413
LGA50490,13,0,0,94,970,512,473,35,17,1999,10648,3610,1951,67,58,16335
LGA50560,0,0,0,10,85,0,5,0,0,90,717,3,13,3,8,748
LGA50630,0,0,0,11,59,3,8,3,3,69,653,15,13,14,5,699
LGA50770,0,0,0,11,61,4,0,3,0,65,693,6,0,13,3,717
LGA50840,0,0,0,26,154,3,0,25,0,184,1921,50,14,30,8,2020
LGA50910,0,0,0,4,38,0,3,5,0,47,371,7,15,14,0,412
LGA50980,3,35,4,97,598,102,83,452,18,1254,4537,490,411,2466,129,8031
LGA51080,0,0,0,11,51,0,0,0,0,54,402,0,0,0,7,412
LGA51120,0,0,0,7,34,3,0,0,0,36,365,24,0,7,6,402
LGA51190,107,0,0,168,711,248,119,54,5,1133,9916,2373,800,207,35,13333
LGA51260,4,12,0,185,778,152,9,78,13,1030,12052,1239,46,552,65,13960
LGA51310,88,0,0,134,385,86,166,7,0,644,7443,1129,1221,18,14,9826
LGA51330,4,0,0,320,1219,494,112,7,11,1843,25382,5642,1022,28,76,32146
LGA51400,0,0,0,20,345,12,10,4,3,382,5590,147,131,15,14,5897
LGA51470,0,0,0,0,23,0,0,0,0,23,234,0,6,18,4,259
LGA51540,0,30,0,45,281,41,4,267,8,607,1732,199,57,1302,38,3324
LGA51610,0,0,0,7,62,0,0,9,6,80,497,0,0,41,7,548
LGA51680,0,0,0,19,154,0,3,0,0,162,1859,0,14,23,14,1922
LGA51750,77,0,3,101,100,79,199,0,7,384,2115,933,1106,4,28,4178
LGA51820,7,0,4,213,1771,531,301,67,93,2764,31205,5105,2005,227,159,38701
LGA51890,0,5,0,17,283,20,3,3,0,303,3332,123,20,27,17,3519
LGA51960,0,0,0,3,133,14,14,25,0,189,1203,100,35,43,7,1387
LGA52030,0,3,0,6,36,0,0,0,0,36,446,5,4,36,0,491
LGA52100,0,0,0,5,36,3,0,0,0,33,429,16,0,7,12,458
LGA52170,0,0,0,17,116,41,64,0,0,222,1965,457,581,0,7,3006
LGA52240,0,0,0,7,42,0,0,0,0,44,399,7,5,9,5,422
LGA52310,0,0,0,3,39,0,0,0,0,39,339,0,0,3,3,350
LGA52380,0,0,0,3,19,0,3,18,5,46,72,0,3,55,5,145
LGA52450,0,0,0,11,55,0,0,14,0,68,483,0,12,25,16,540
LGA52520,0,0,0,6,38,0,3,15,3,64,506,17,8,36,11,565
LGA52590,0,11,0,31,119,4,3,15,6,146,1273,33,8,122,8,1447
LGA52660,0,0,0,98,292,31,5,22,6,363,4746,273,7,105,20,5149
LGA52730,0,0,3,51,205,8,5,9,0,227,2307,90,3,30,19,2453
LGA52800,0,36,4,52,198,58,27,156,11,453,1813,257,112,785,36,3001
LGA52870,0,0,0,22,213,15,0,3,0,232,2226,71,7,22,17,2343
LGA52940,0,0,0,0,20,0,0,0,0,20,272,8,0,3,0,290
LGA53010,0,0,0,8,33,3,0,0,0,37,288,3,0,3,0,302
LGA53080,0,3,4,10,47,0,0,96,49,190,295,3,4,153,58,509
LGA53150,3,0,0,9,88,34,62,0,0,186,1881,555,415,13,5,2865
LGA53220,6,12,5,58,215,29,26,74,43,385,1682,100,79,293,81,2228
LGA53290,0,0,0,45,512,85,9,43,85,734,4720,449,85,158,172,5572
LGA53360,0,30,0,43,122,36,0,142,60,354,976,59,0,967,71,2075
LGA53430,14,5,0,148,498,295,334,59,53,1247,7500,3161,1681,175,127,12637
LGA53570,0,0,0,22,215,4,6,13,26,262,1994,49,14,38,64,2163
LGA53640,0,0,0,9,62,0,0,0,0,67,473,15,0,3,3,490
LGA53710,0,0,0,0,38,0,0,13,4,57,394,4,0,20,15,439
LGA53780,31,3,0,487,1921,418,41,53,23,2463,35748,4236,511,236,87,40809
LGA53800,11,6,0,109,996,204,65,79,33,1376,12532,1602,326,434,122,15008
LGA53920,0,18,0,35,167,39,12,35,0,249,709,144,32,261,10,1152
LGA53990,0,0,0,80,670,46,13,73,17,818,8970,400,65,167,57,9655
LGA54060,0,7,0,19,88,0,8,6,3,113,1355,44,47,100,39,1587
LGA54130,0,3,0,13,61,3,0,0,0,69,433,18,0,22,0,474
LGA54170,32,0,0,298,1879,337,132,24,8,2380,49362,4673,1333,196,65,55631
LGA54200,0,4,0,222,1138,97,3,48,9,1299,19727,1085,53,184,56,21097
LGA54280,0,7,5,37,792,269,36,243,38,1382,8663,1822,233,486,118,11321
LGA54310,7,5,0,72,604,110,75,90,25,901,5784,863,355,512,61,7576
LGA54340,0,0,0,12,204,24,8,0,3,234,1439,117,28,3,14,1596
LGA54410,0,0,0,6,57,0,0,0,4,62,459,20,0,7,10,494
LGA54480,0,0,0,3,33,3,0,3,0,33,209,9,6,6,0,228
LGA54550,0,0,0,15,75,4,9,0,0,86,755,14,26,5,3,808
LGA54620,0,0,0,3,21,0,3,3,0,26,311,4,19,13,3,346
LGA54690,0,0,0,5,15,0,0,0,0,15,184,0,0,0,0,184
LGA54760,0,0,0,11,25,7,0,0,0,36,301,20,0,0,4,333
LGA54830,0,0,0,69,934,83,105,41,6,1173,12392,745,539,105,39,13822
LGA54900,0,0,0,8,43,0,0,3,0,52,481,14,0,14,13,527
LGA54970,0,0,0,4,34,0,0,6,0,42,194,8,0,35,4,243
LGA55040,0,4,0,7,64,6,0,20,10,101,324,30,0,80,16,452
LGA55110,315,3,3,860,1627,423,169,115,9,2336,26181,4335,1377,340,68,32297
LGA55180,0,0,3,58,297,24,17,11,3,349,3498,140,119,63,29,3847
LGA55250,0,0,3,3,43,0,7,3,19,70,217,0,34,24,33,316
LGA55320,257,0,0,613,1190,579,214,3,17,2000,28090,7725,1455,17,102,37377
LGA55390,0,0,0,0,15,0,0,5,0,22,78,4,0,23,16,119
LGA55460,0,3,0,17,117,8,0,5,7,139,1244,55,11,42,12,1363
LGA55530,0,4,0,6,13,0,0,22,7,44,179,0,7,60,11,254
LGA55600,0,0,0,10,113,6,0,26,12,151,935,19,0,35,11,998
LGA55670,0,0,0,4,30,0,0,0,0,28,284,0,0,12,3,303
LGA55740,0,0,0,46,93,61,144,0,0,299,2090,568,901,3,0,3566
LGA55810,0,0,0,3,52,3,0,17,0,72,185,9,0,53,3,254
LGA55880,0,0,0,0,18,0,3,5,0,30,212,8,3,10,0,235
LGA55950,0,0,0,0,15,0,0,3,0,17,204,12,0,10,0,222
LGA56090,0,0,0,74,708,41,8,13,4,767,12876,493,36,46,28,13471
LGA56160,0,0,3,5,3,0,0,3,7,9,39,0,0,12,13,59
LGA56230,0,4,0,185,414,57,3,117,0,599,5784,402,26,312,22,6552
LGA56300,0,0,0,9,50,0,0,4,0,59,551,0,0,30,5,590
LGA56370,0,0,0,3,33,0,0,0,0,36,325,4,0,0,0,328
LGA56460,0,11,0,27,196,28,0,10,0,233,1796,123,19,76,6,2018
LGA56580,62,0,0,116,233,47,67,0,7,351,5961,962,493,3,10,7428
LGA56620,3,0,0,11,65,0,19,7,3,85,404,3,44,23,4,481
LGA56730,0,0,0,30,369,17,16,11,6,417,3990,80,100,62,28,4257
LGA56790,0,7,0,36,124,3,8,178,0,315,1220,69,73,598,18,1977
LGA56860,0,0,0,0,8,0,0,0,0,8,104,0,0,3,0,102
LGA56930,0,0,0,7,36,6,11,0,0,46,419,57,66,0,0,554
LGA57000,0,0,0,5,14,0,0,0,0,18,178,4,0,25,0,206
LGA57080,37,0,8,50,14,40,1650,225,20,1949,110,535,9913,259,68,10884
LGA57140,0,0,0,6,49,0,0,0,0,54,473,3,23,0,4,499
LGA57210,0,0,0,23,195,0,5,7,0,203,1985,5,13,33,28,2057
LGA57280,3,7,0,49,565,81,167,232,22,1073,3844,422,755,402,60,5481
LGA57350,0,0,0,4,62,0,0,0,3,59,429,0,9,5,10,457
LGA57420,0,0,0,9,82,0,0,8,3,96,663,13,4,27,13,723
LGA57490,8,4,0,302,2792,346,206,51,8,3396,40733,3045,1134,255,60,45225
LGA57630,0,0,0,0,4,0,0,0,0,7,41,0,0,4,3,51
LGA57700,0,0,0,32,527,8,3,4,0,546,8693,94,11,23,26,8849
LGA57770,0,13,3,20,30,3,0,90,9,135,333,33,30,480,56,933
LGA57840,55,0,3,256,490,494,372,6,5,1372,8535,6379,2601,24,66,17600
LGA57910,200,3,3,828,2695,2620,955,51,30,6356,46812,31246,8003,156,196,86417
LGA57980,139,0,0,168,137,129,375,4,7,655,3402,1818,3258,14,25,8512
LGA58050,4,4,3,213,2471,540,109,109,19,3245,40303,5759,580,395,107,47146
LGA58190,0,0,0,3,15,0,0,8,0,21,145,0,0,5,3,153
LGA58260,0,0,0,9,17,0,0,0,0,20,220,3,5,0,5,236
LGA58330,0,0,0,13,194,8,0,18,3,215,1832,23,0,50,10,1920
LGA58400,0,0,0,0,30,0,0,0,0,33,160,0,0,3,0,166
LGA58470,0,0,0,0,16,0,0,17,0,32,77,0,0,49,0,123
LGA58510,115,0,3,304,593,381,413,7,16,1410,7807,3937,2899,28,64,14734
LGA58540,0,0,0,4,26,0,0,0,0,29,353,7,0,7,3,372
LGA58570,50,0,0,121,496,263,596,51,6,1420,7232,3101,4137,115,60,14645
LGA58610,0,0,0,3,83,7,0,0,0,88,736,46,0,13,9,806
LGA58680,0,0,0,9,16,0,0,0,4,27,167,0,0,4,12,192
LGA58760,0,0,3,855,3432,559,41,62,10,4100,57582,6644,159,234,76,64697
LGA58820,12,0,0,15,139,14,8,21,6,191,1441,44,69,41,15,1604
LGA58890,0,0,0,3,27,0,0,3,0,32,351,3,0,6,3,370
LGA59030,0,0,0,0,15,0,0,5,0,19,96,0,0,8,0,106
LGA59100,0,0,0,3,30,0,0,0,0,33,284,3,4,3,0,297
LGA59170,0,0,0,10,32,0,0,0,0,35,366,14,0,0,6,381
LGA59250,0,5,0,7,18,0,0,20,0,40,118,0,0,41,6,171
LGA59310,0,0,0,7,20,0,0,3,0,27,552,8,0,19,0,586
LGA59320,0,0,0,3,16,0,0,0,0,16,163,0,0,4,0,164
LGA59330,0,0,0,0,45,0,0,0,0,45,251,3,0,0,0,253
LGA59340,0,39,0,50,224,58,20,293,18,612,1756,269,117,1308,68,3520
LGA59350,0,0,0,0,16,0,0,4,0,26,61,0,0,16,5,84
LGA59360,0,0,0,4,46,3,0,11,0,63,430,18,0,29,9,485
LGA59370,0,0,0,17,152,3,4,4,6,175,1434,44,31,17,26,1553
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,0,0,0,29,203,8,3,10,3,221,2634,62,33,57,27,2816
LGA60410,3,0,0,27,383,24,47,8,0,461,5493,111,546,18,16,6187
LGA60610,0,0,0,33,460,57,32,13,5,569,7138,562,204,26,30,7952
LGA60810,0,0,0,63,475,63,21,19,7,580,7932,670,89,129,29,8859
LGA61010,0,0,0,9,92,0,0,3,0,93,971,0,3,5,15,1000
LGA61210,0,0,0,35,226,0,21,7,4,267,3017,3,76,30,26,3147
LGA61410,7,5,0,216,978,98,49,36,7,1160,20333,970,427,136,50,21914
LGA61510,0,0,0,27,268,22,11,8,0,305,3784,132,87,33,7,4051
LGA61610,22,3,0,80,542,137,26,26,0,729,8959,1111,204,116,23,10411
LGA61810,0,0,0,35,202,3,3,4,4,229,2653,60,35,36,40,2834
LGA62010,0,0,0,3,27,0,0,7,0,33,422,0,9,4,3,446
LGA62210,0,0,0,25,224,19,14,5,0,261,2584,117,117,14,8,2842
LGA62410,0,0,0,20,166,3,0,11,3,186,1876,40,27,41,27,2010
LGA62610,18,0,0,119,1023,169,245,16,3,1454,15778,1280,2369,97,31,19559
LGA62810,121,0,0,251,748,180,458,64,24,1477,14303,2306,4371,156,102,21235
LGA63010,0,0,0,46,449,13,9,19,3,495,6323,93,97,116,18,6644
LGA63210,0,0,0,14,187,0,0,3,0,192,2325,55,3,16,12,2405
LGA63410,0,0,0,4,44,3,0,0,3,48,630,35,3,6,14,688
LGA63610,15,0,0,131,620,50,22,21,0,712,12861,653,289,81,31,13914
LGA63810,0,0,0,50,263,20,9,11,3,303,4009,181,113,47,13,4356
LGA64010,8,0,3,284,1440,311,335,39,24,2142,21534,2764,2622,145,106,27173
LGA64210,0,4,0,54,455,16,31,24,6,532,7072,270,366,67,24,7807
LGA64610,3,0,0,48,391,10,16,10,3,422,4941,125,142,51,27,5282
LGA64810,0,0,0,44,402,3,3,3,8,421,5720,74,9,28,17,5850
LGA65010,0,0,3,31,177,0,0,0,3,181,2335,8,4,28,17,2387
LGA65210,0,0,0,7,114,0,4,3,0,122,1026,3,5,26,10,1076
LGA65410,0,0,0,39,296,46,7,23,0,373,5192,382,25,75,13,5687
LGA65610,3,3,0,13,160,4,10,8,0,182,1800,66,79,29,19,1988
LGA65810,0,0,3,54,497,28,27,26,4,578,8585,201,160,101,40,9087
LGA69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,3,21,3,80,659,373,100,247,34,1419,5607,2492,408,1216,107,9830
LGA70420,0,30,0,105,185,18,20,90,3,321,1418,67,191,453,13,2146
LGA70540,0,0,0,3,3,0,0,0,0,3,32,5,0,0,0,34
LGA70620,0,0,0,24,61,8,3,33,3,103,685,48,24,85,11,854
LGA70700,0,5,0,12,107,0,6,74,14,204,449,15,23,229,27,739
LGA71000,37,27,8,188,1504,480,1330,568,77,3963,14857,3865,9592,1334,224,29877
LGA71300,0,3,0,26,120,10,0,16,0,145,1228,183,3,34,0,1447
LGA72200,0,24,3,35,484,71,90,163,20,834,2441,256,271,640,179,3783
LGA72300,0,18,0,64,836,9,31,280,12,1168,6293,76,162,1200,91,7826
LGA72330,0,20,0,57,293,27,23,105,9,457,1138,82,46,305,16,1593
LGA72800,3,0,0,32,777,157,280,38,9,1254,8722,1263,1773,46,26,11835
LGA73600,0,36,5,66,169,24,3,229,10,436,931,112,42,888,55,2031
LGA74050,0,0,0,10,45,3,5,3,0,55,572,7,28,5,7,616
LGA74550,0,12,5,29,106,13,0,68,3,193,594,51,13,274,21,951
LGA74560,0,0,0,3,9,0,0,0,0,11,194,0,0,4,3,201
LGA74660,3,35,0,59,165,32,17,69,3,292,1007,179,80,370,17,1656
LGA74680,0,0,0,5,50,22,8,13,0,86,411,107,10,16,0,546
LGA79399,9,41,5,81,193,36,177,175,11,590,1567,225,809,630,50,3279
LGA79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,244,0,4,1021,4607,2012,2626,120,42,9408,99109,26915,24069,300,302,150693
LGA89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,3,5,0,55,104,10,32,13,3,163,1241,102,159,29,20,1556
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
