LGA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
LGA33830,49,14,3,70,20,9,0,0,31,8,6,13,47,17,3,62,21,14,0,0,32,6,3,15,49,7,3,59,11,3,0,0,17,6,0,8,28,10,0,35,9,4,0,0,17,8,0,8,26,11,0,37,6,0,0,0,9,9,0,9,14,12,0,26,6,0,0,0,6,0,0,0,3,10,0,17,0,0,0,0,0,0,0,0,0,12,3,16,0,0,0,0,0,0,0,0,0,20,0,23,157,61,4,8,230,117,47,158,387,209,61,658
LGA33960,10209,2166,779,13165,6817,2368,249,173,9605,450,189,637,10238,1996,825,13059,6690,2151,263,149,9250,425,152,577,9826,2004,854,12680,5885,2028,254,111,8273,369,130,500,8780,2211,718,11697,4447,1688,290,83,6508,272,107,379,6887,2870,642,10404,2425,1272,190,45,3934,164,88,247,4181,3868,605,8659,682,662,70,38,1456,10,30,43,1494,5164,508,7165,158,218,20,7,404,8,13,22,426,4328,416,5172,59,105,9,15,188,7,0,7,200,7398,813,8414,54830,24899,3026,1532,84285,5276,3044,8316,92597,45301,9912,147814
LGA33980,1321,189,291,1802,918,240,55,30,1237,26,15,37,1274,146,242,1670,763,208,48,21,1041,24,16,36,1075,108,213,1396,758,168,49,19,991,34,13,47,1034,123,233,1390,568,135,31,21,755,27,11,34,785,177,188,1154,311,86,27,13,441,17,9,31,474,216,110,797,117,43,10,0,171,3,4,6,173,266,66,514,44,21,3,0,69,0,3,3,70,178,34,286,22,9,4,0,44,0,0,0,43,250,42,332,7168,2119,479,206,9972,332,182,517,10490,2635,2515,15641
LGA34420,36,14,0,52,20,15,0,0,31,16,3,17,51,25,0,77,16,10,0,0,31,13,3,11,42,25,3,66,13,12,0,0,26,0,0,0,28,22,0,53,14,4,0,0,21,7,0,6,30,19,0,48,13,3,0,0,17,3,0,5,23,26,0,49,3,0,0,0,3,0,0,0,3,20,0,23,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,10,0,10,139,81,0,3,227,118,19,133,363,299,26,694
LGA34530,1585,313,194,2095,1195,484,60,34,1775,80,29,108,1890,301,194,2384,1247,534,60,29,1876,77,26,103,1981,318,230,2532,1378,501,75,32,1981,95,32,127,2108,473,238,2820,1143,486,82,21,1736,83,37,122,1857,645,247,2750,699,384,70,21,1173,54,47,103,1273,1076,199,2547,215,179,18,13,421,6,6,15,440,1602,190,2234,61,79,6,8,146,0,7,5,152,1300,142,1597,29,55,5,12,100,0,0,3,105,2074,388,2565,9526,4939,666,294,15425,883,442,1331,16755,10099,2566,29418
LGA34570,22,17,5,44,13,11,0,0,20,3,0,3,23,9,8,38,10,9,0,0,17,9,0,7,26,20,8,56,6,8,0,0,12,0,0,0,12,16,0,27,11,0,0,0,11,0,0,0,14,10,3,30,3,3,0,4,9,3,0,3,17,12,0,26,0,0,0,0,5,0,0,0,5,6,3,18,0,0,0,3,5,0,0,0,5,6,0,8,3,0,0,0,3,0,0,0,3,6,0,10,88,66,3,25,189,31,6,33,224,194,73,493
LGA34580,1552,439,160,2149,1124,480,43,38,1684,79,43,118,1799,449,199,2453,1233,512,58,41,1844,80,48,131,1974,523,209,2706,1266,479,59,33,1834,81,20,103,1936,587,211,2736,1008,452,61,39,1565,57,29,87,1649,667,185,2503,616,355,59,22,1053,46,18,67,1120,987,196,2305,201,230,25,16,473,5,3,9,481,1585,184,2250,84,102,10,6,205,3,0,5,210,1329,162,1698,57,37,7,11,116,3,0,4,120,1905,277,2305,9525,5253,612,371,15762,906,484,1393,17154,11398,2504,31063
LGA34590,15898,3529,1232,20654,10549,3839,361,297,15058,707,308,1009,16067,3344,1287,20693,10404,3724,329,258,14709,634,248,881,15596,3281,1290,20164,9421,3250,391,223,13285,535,228,766,14045,3564,1205,18813,7777,3130,375,163,11440,491,196,687,12130,4437,1050,17620,4679,2459,312,114,7564,311,189,497,8059,6329,956,15346,1496,1359,127,64,3053,34,66,103,3155,9951,907,14010,317,434,26,37,815,11,26,43,856,7891,693,9447,83,167,15,33,288,9,6,13,302,11440,1162,12900,85156,39749,4203,2851,131955,8122,4705,12825,144780,74942,15127,234848
LGA34710,176,19,17,214,124,36,6,3,164,5,0,5,168,18,21,209,151,28,6,7,192,8,0,8,200,28,22,247,172,31,8,6,221,5,0,8,227,25,20,270,158,44,8,0,221,4,0,4,222,38,25,284,113,38,9,3,166,3,0,3,171,52,22,247,52,22,6,8,84,0,4,4,88,85,25,202,6,10,7,0,24,0,0,0,24,77,14,115,18,10,3,0,30,0,0,3,31,205,27,259,1363,424,97,54,1938,48,24,70,2012,686,270,2964
LGA34770,5794,959,640,7397,4018,1567,162,98,5849,318,136,450,6303,899,693,7883,4426,1630,185,116,6357,293,119,408,6763,995,729,8494,4177,1503,231,121,6031,346,103,450,6478,1194,782,8451,3476,1371,213,101,5158,278,90,376,5525,1725,669,7918,2029,1015,151,57,3253,190,90,284,3534,2424,525,6491,611,491,75,30,1205,21,36,58,1269,3481,412,5162,201,207,27,21,455,6,10,18,469,2970,345,3781,111,112,13,35,269,0,4,4,274,5303,592,6166,34348,15255,2015,1117,52732,3296,1667,4966,57697,25859,7652,91204
LGA34800,56,7,5,71,41,5,0,3,54,0,0,0,58,4,7,66,39,5,3,0,48,0,0,0,48,5,4,54,40,6,0,0,44,0,0,0,47,3,6,62,43,9,0,0,55,3,0,3,55,3,3,63,26,3,0,3,38,3,0,3,35,14,9,54,24,0,0,0,26,0,0,0,26,20,5,50,9,0,0,0,11,0,0,0,11,13,0,18,8,0,0,0,5,0,0,0,6,20,3,28,411,56,14,11,490,15,0,17,507,101,56,665
LGA34830,12,12,0,16,4,0,0,0,4,0,0,0,4,4,0,11,6,0,0,0,6,0,0,0,7,5,0,12,9,3,0,0,8,3,0,3,15,7,0,21,10,0,0,0,6,0,0,0,11,9,0,20,8,0,3,0,13,0,0,0,13,14,0,23,0,0,0,0,4,0,0,0,4,8,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,6,67,10,3,0,82,29,0,32,114,102,10,224
LGA34860,616,92,92,800,485,136,14,5,645,18,5,25,668,72,75,812,504,112,19,23,653,20,5,21,681,81,77,840,497,131,21,7,665,18,3,24,687,84,74,844,425,109,19,10,563,14,4,16,583,136,79,801,305,99,14,10,432,11,4,18,446,180,70,691,128,67,6,11,209,4,0,7,214,311,62,592,77,58,5,9,145,0,0,0,140,244,49,440,75,39,7,6,127,0,0,0,130,593,98,817,4499,1496,227,138,6356,180,71,246,6603,2317,991,9908
LGA34880,775,297,114,1183,601,273,34,13,920,45,24,68,990,328,129,1450,708,283,39,26,1059,41,16,60,1119,296,150,1566,687,303,42,16,1049,54,15,69,1120,253,162,1536,600,274,44,24,948,55,25,79,1025,398,176,1600,358,285,46,7,691,55,22,81,769,580,159,1512,156,126,12,8,300,7,3,9,312,883,143,1340,75,76,15,5,174,0,3,3,177,850,129,1157,43,43,5,6,92,0,3,4,102,1344,209,1647,4955,2770,353,204,8284,502,246,751,9036,6805,1840,17681
LGA35010,21727,4258,1345,27335,15878,6353,611,359,23199,825,441,1263,24457,4326,1507,30292,16065,6202,567,365,23207,862,374,1240,24444,4147,1490,30085,14355,5376,668,295,20695,796,307,1106,21795,4566,1371,27736,11059,4887,639,248,16830,683,300,988,17816,6437,1335,25591,6269,3964,531,168,10927,434,299,731,11661,10535,1307,23493,1989,2074,234,86,4377,71,93,164,4541,17215,1448,23205,412,759,57,46,1272,16,35,49,1320,14755,1152,17227,132,278,23,66,504,10,15,26,535,21742,3637,25909,118054,61417,6657,3369,189495,9504,6348,15857,205347,110906,19927,336175
LGA35250,53,29,6,89,16,4,0,0,23,6,3,10,35,18,5,52,21,12,0,5,32,7,0,7,44,27,0,74,16,3,0,0,23,7,0,7,31,26,12,66,15,10,0,0,25,4,0,4,22,20,3,46,8,0,0,0,16,0,0,0,17,16,7,33,8,0,0,3,10,0,0,0,10,16,3,29,3,0,0,0,3,0,0,0,3,20,3,23,0,0,0,0,3,0,0,0,3,13,3,17,213,71,6,14,314,89,5,99,408,302,90,793
LGA35300,1040,145,137,1326,704,167,35,20,927,46,17,62,987,152,137,1276,735,145,23,21,916,49,8,57,976,122,162,1256,751,132,30,15,940,30,8,37,973,126,175,1280,489,123,37,18,667,34,7,39,705,170,133,1013,284,78,28,11,393,6,14,24,416,192,84,693,110,50,13,7,180,3,3,6,181,282,67,533,33,34,3,0,70,0,0,0,69,255,45,368,8,16,0,5,24,0,0,0,28,331,53,416,6773,1739,397,192,9108,414,165,582,9688,2781,1719,14193
LGA35600,191,20,13,225,159,45,6,3,213,15,0,17,225,33,13,272,130,45,5,5,188,8,5,14,198,45,23,265,190,45,3,3,252,14,0,14,259,51,20,329,160,55,8,3,230,8,0,12,238,60,21,317,114,42,9,4,172,0,0,6,180,85,24,285,39,17,6,0,68,0,3,3,71,116,23,210,16,11,3,5,29,0,0,0,29,112,16,159,12,8,0,3,20,0,0,0,20,241,57,316,1401,514,72,54,2046,80,33,113,2161,958,294,3411
LGA35670,29,29,0,61,13,3,0,0,15,12,3,10,28,30,0,58,12,8,0,0,22,4,0,6,21,38,0,65,13,5,0,0,18,3,3,6,23,36,0,63,9,0,0,0,5,0,0,0,12,35,0,42,4,0,0,0,9,0,0,0,9,18,0,27,0,0,0,0,4,0,0,0,4,18,0,16,3,0,0,0,5,0,0,0,3,7,0,8,0,0,0,0,0,0,0,0,0,9,0,10,104,40,3,6,153,57,13,70,217,434,11,665
LGA35740,2070,422,176,2666,1568,967,66,42,2647,82,55,134,2782,461,239,3480,1729,1074,82,47,2926,100,48,150,3070,512,240,3827,1762,1098,94,40,2999,99,56,158,3156,717,255,4135,1402,1073,103,41,2613,135,70,203,2820,1144,256,4220,909,941,90,32,1969,69,77,149,2114,1850,256,4220,342,504,49,8,904,17,30,42,949,3108,283,4343,92,235,8,10,342,5,8,15,357,2706,246,3308,28,91,8,11,136,6,6,8,148,4181,615,4941,11620,9252,765,375,22007,898,685,1577,23585,17088,3031,43702
LGA35760,367,74,65,500,282,110,16,12,415,15,11,27,442,80,67,592,349,141,16,10,509,20,7,23,537,119,85,742,333,144,15,8,498,17,3,21,519,118,79,723,296,127,19,13,457,17,10,24,480,193,74,744,243,134,22,11,403,23,6,30,425,273,86,787,128,73,15,10,226,0,3,3,227,484,121,829,85,48,7,7,147,0,0,0,147,402,70,614,58,34,6,4,101,0,0,0,101,770,185,1060,2756,1298,150,135,4334,175,61,241,4574,2984,1065,8625
LGA35780,109,43,12,164,61,14,3,3,86,21,0,23,106,31,11,141,57,19,9,0,81,14,0,14,95,34,5,134,58,13,4,0,74,8,3,14,87,41,8,142,44,14,4,3,61,3,3,5,72,38,8,113,31,9,3,0,48,0,0,0,48,31,5,80,9,0,0,0,12,0,3,3,12,38,3,57,0,0,0,0,3,0,0,0,3,21,0,24,0,0,0,0,0,0,0,0,0,22,0,22,546,200,37,21,804,161,42,201,1005,677,85,1768
LGA35790,62,62,4,127,25,20,7,0,47,12,16,28,79,63,4,142,42,27,0,0,79,6,9,21,92,72,10,176,37,24,0,0,60,6,5,15,74,67,9,145,36,13,0,0,50,4,6,12,60,52,0,113,20,11,0,0,31,3,3,6,37,47,0,82,7,3,0,0,6,0,0,0,11,38,0,50,0,0,0,0,0,0,0,0,0,18,0,19,0,0,0,0,0,0,0,0,0,9,0,8,262,199,21,3,487,97,111,204,694,929,43,1662
LGA35800,56,19,7,83,41,12,0,0,51,7,0,8,59,17,6,83,53,17,7,0,74,3,3,9,76,23,4,104,66,14,3,0,89,0,3,6,90,30,5,129,75,20,0,4,99,6,3,9,103,48,20,165,46,21,3,6,78,0,0,0,80,39,8,124,21,15,0,0,34,0,0,0,34,59,11,104,12,10,3,0,30,0,0,0,25,52,7,89,8,0,0,4,16,0,0,0,12,85,18,116,507,172,33,11,720,26,16,42,766,456,110,1325
LGA36070,27,30,3,60,22,10,0,0,33,6,0,4,39,21,0,60,9,11,0,0,24,3,3,6,35,21,0,61,10,13,0,0,27,0,5,5,30,20,0,52,10,3,0,0,13,0,3,0,19,19,0,40,6,0,0,0,8,0,0,0,8,12,0,20,3,3,0,0,6,0,0,0,6,22,0,24,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,12,0,10,118,90,0,3,212,21,29,47,257,280,16,553
LGA36150,28,4,0,35,29,10,0,0,40,0,0,0,43,3,0,49,39,9,0,0,51,0,0,0,51,11,4,66,41,14,5,0,58,4,0,3,66,13,7,80,41,11,0,0,49,4,0,3,54,8,7,65,19,4,3,0,24,0,0,0,25,11,9,47,9,5,0,4,17,0,0,0,17,17,0,38,8,0,0,0,5,0,0,0,5,18,7,30,3,0,0,0,9,0,0,0,9,29,0,32,340,78,22,10,452,14,4,14,471,136,44,648
LGA36250,7000,1098,358,8459,5594,2201,189,114,8103,217,127,349,8447,1182,365,10001,6055,2238,204,113,8606,191,104,303,8911,1176,386,10470,5958,2166,220,101,8442,254,112,366,8807,1487,430,10723,4840,2104,276,80,7303,265,109,376,7681,2290,461,10431,2873,1691,218,56,4835,166,128,293,5125,3898,416,9440,874,936,87,36,1933,28,47,71,2004,6361,438,8797,177,388,22,16,597,6,9,11,613,5574,372,6560,81,140,12,19,253,0,3,6,259,9316,1264,10832,43931,22890,2256,1090,70168,2635,1926,4563,74727,39014,5661,119405
LGA36300,24,10,3,35,26,9,0,0,32,0,0,0,35,4,6,44,33,4,0,0,40,3,0,3,40,5,6,51,26,16,0,3,47,0,0,0,47,7,6,61,33,10,0,0,40,0,0,0,40,6,6,52,35,5,0,4,46,0,0,0,47,9,0,52,6,3,0,0,16,0,0,0,16,22,0,38,10,0,0,0,12,0,0,0,12,11,3,27,6,0,0,0,9,0,0,0,9,35,4,46,321,82,13,18,434,13,3,13,443,139,57,638
LGA36370,3740,700,331,4769,2369,909,94,49,3423,190,82,275,3700,699,374,4770,2570,929,107,55,3663,211,64,276,3939,765,420,5124,2542,915,116,62,3633,192,48,243,3877,922,428,5222,2143,847,175,39,3200,167,73,242,3436,1205,422,5065,1215,627,105,22,1972,108,53,161,2129,1778,311,4220,384,351,39,20,793,7,11,20,810,2553,287,3645,95,134,12,8,253,4,4,8,258,2278,254,2790,50,77,10,15,154,0,6,6,160,4587,754,5503,21831,10532,1373,579,34314,2350,1125,3475,37790,20213,5147,63147
LGA36510,1636,415,126,2171,1270,609,52,50,1976,67,30,101,2073,444,212,2737,1425,642,57,47,2173,70,30,102,2274,465,220,2958,1387,645,75,35,2140,70,24,98,2238,547,229,3011,1142,623,90,29,1884,60,22,90,1967,768,246,2980,781,536,56,34,1406,46,26,74,1482,1113,219,2814,348,321,40,18,732,7,8,18,748,1837,236,2820,132,146,18,10,309,0,9,12,316,1634,171,2119,68,97,8,23,197,0,0,0,195,2678,292,3172,10032,5891,632,376,16926,698,379,1074,18008,11917,2570,32494
LGA36580,922,264,107,1294,698,289,34,15,1037,46,21,68,1109,305,128,1541,740,291,27,25,1090,61,9,68,1158,366,131,1655,739,317,33,21,1104,56,16,66,1171,409,138,1724,645,339,40,16,1044,43,23,64,1110,605,167,1874,420,276,40,22,756,36,18,50,804,876,152,1835,171,139,21,7,336,7,11,13,342,1247,134,1725,65,69,14,16,164,0,0,0,165,1013,113,1290,36,26,6,14,85,0,0,3,87,1326,151,1564,5675,3007,343,245,9270,553,264,818,10087,7860,1624,19567
LGA36630,1090,358,109,1552,755,389,38,32,1214,57,28,84,1298,457,144,1906,869,401,42,25,1334,54,22,78,1410,475,135,2017,918,407,56,24,1403,72,22,95,1498,552,178,2235,769,418,47,26,1255,55,21,80,1334,778,165,2280,531,346,63,17,952,37,24,57,1009,1204,167,2385,232,227,23,20,501,3,7,12,510,1914,208,2632,89,81,9,15,201,0,0,0,201,1560,156,1919,81,61,4,19,167,0,0,4,172,2363,313,2846,6876,4060,449,273,11656,623,314,936,12593,11478,1983,26054
LGA36660,1262,320,109,1691,899,469,37,32,1440,57,25,83,1523,340,103,1966,1032,516,36,27,1606,49,24,70,1677,380,140,2201,1073,508,51,36,1671,51,28,79,1749,490,123,2361,1013,473,80,33,1599,59,34,95,1688,747,157,2589,660,498,47,35,1243,35,16,52,1297,1140,158,2594,308,256,34,18,613,0,9,9,620,1855,172,2648,127,111,17,12,262,0,5,9,269,1645,179,2093,73,85,5,29,192,0,3,3,194,2839,308,3344,8225,4983,545,348,14094,609,330,948,15041,11621,1846,28501
LGA36720,13498,2530,996,17027,9696,5255,396,248,15591,513,325,843,16436,2543,1081,20059,10383,5110,410,224,16128,551,283,835,16961,2671,1145,20780,9542,5030,495,193,15253,566,286,853,16106,3109,1128,20343,7695,4698,505,161,13048,551,297,847,13893,4909,1127,19929,4472,3805,389,147,8817,387,282,668,9488,8232,1026,18746,1451,2099,164,73,3784,50,108,158,3945,13796,1121,18864,396,819,57,35,1305,17,51,66,1378,12676,953,15001,134,341,42,58,573,15,16,28,604,22957,2481,26038,73284,49661,4493,2203,129641,5461,4524,9984,139619,86559,14807,240989
LGA36820,802,206,91,1095,622,329,35,24,1007,56,24,78,1090,221,111,1414,703,384,29,14,1133,73,21,96,1228,263,144,1636,753,393,53,26,1217,56,18,78,1295,336,151,1787,705,396,71,15,1186,51,36,87,1275,554,178,2008,489,378,57,23,945,42,26,68,1014,816,147,1979,215,201,32,9,455,7,8,16,471,1334,152,1964,86,104,10,15,209,0,0,3,216,1172,160,1546,44,64,4,16,126,0,3,5,128,1977,274,2378,5454,3553,433,216,9654,534,268,803,10458,8067,1788,20319
LGA36910,7099,1474,548,9120,5045,2124,169,120,7461,239,137,377,7842,1440,632,9910,5581,2085,206,115,7983,264,127,395,8379,1417,656,10452,5205,1962,241,92,7489,231,95,323,7821,1592,610,10020,4601,1969,290,91,6951,195,102,298,7245,2348,655,10251,2864,1646,229,79,4822,135,81,216,5036,3580,627,9239,1080,990,124,60,2248,22,25,51,2296,5828,673,8795,364,476,47,37,917,4,11,19,938,5476,595,7011,195,223,25,46,491,6,11,10,504,10462,1784,12751,44680,22769,2559,1176,71188,3111,2039,5149,76338,42492,9363,128188
LGA36950,161,48,36,251,119,39,5,15,175,3,0,6,178,31,28,238,87,36,3,4,127,3,0,3,133,26,32,194,97,20,8,7,137,9,0,8,145,19,39,207,93,35,9,3,140,5,3,10,150,33,24,210,52,18,3,4,71,3,4,11,78,48,18,141,24,10,0,0,38,0,0,0,35,43,13,88,5,3,0,0,11,0,0,0,11,29,8,48,4,3,0,0,10,0,0,0,10,47,3,62,928,309,62,85,1379,80,35,116,1501,668,466,2627
LGA36960,153,113,18,283,64,35,0,10,107,11,5,17,121,75,12,212,56,39,0,6,107,11,4,15,120,88,5,218,66,30,6,3,102,5,3,10,110,83,6,202,49,28,9,0,87,6,4,10,97,92,7,191,21,20,5,3,47,5,3,5,54,96,12,166,7,5,0,0,14,0,0,0,14,85,7,108,3,0,0,0,5,0,0,0,5,48,0,52,0,0,0,0,0,0,0,0,0,54,3,65,537,364,29,39,974,109,78,183,1153,1499,305,2954
LGA37010,9474,1810,832,12118,6702,2359,268,146,9475,500,166,659,10138,1717,871,12721,6721,2211,267,117,9324,476,163,641,9967,1730,913,12609,6091,2111,292,85,8578,480,109,583,9167,1835,870,11870,5048,1922,308,117,7400,422,127,549,7953,2436,806,11194,2722,1542,221,69,4552,332,150,481,5032,3610,668,9317,877,791,103,47,1815,34,51,86,1904,5616,657,8178,186,315,30,16,545,0,13,13,562,4532,488,5590,75,137,14,26,251,7,7,18,270,7621,834,8725,55741,25880,3419,1412,86449,5364,3079,8438,94891,42793,11365,149046
LGA37300,272,33,42,344,227,48,7,3,288,4,3,8,297,25,31,350,212,29,9,3,253,3,0,3,256,11,35,304,197,36,11,3,249,4,0,5,252,13,36,298,131,16,7,3,152,0,0,0,155,18,20,189,58,23,8,0,88,3,0,3,93,23,13,130,19,10,0,0,27,0,0,0,27,25,6,53,5,0,0,0,4,0,0,0,4,20,7,33,0,3,0,0,3,0,0,0,3,9,0,13,1644,358,108,40,2152,37,17,57,2205,365,297,2866
LGA37310,1463,307,212,1981,1146,388,45,29,1607,78,30,102,1709,308,247,2268,1111,394,44,25,1573,68,15,83,1661,350,273,2280,1072,352,48,33,1501,51,13,67,1566,418,246,2230,898,333,46,21,1291,42,12,51,1349,480,254,2085,615,296,54,22,991,29,12,43,1033,601,210,1838,326,172,36,26,560,3,7,12,568,951,228,1749,136,127,13,13,294,0,3,3,294,844,168,1306,112,79,4,15,216,0,4,3,220,1651,305,2174,9478,4098,536,313,14418,666,303,971,15391,7699,2971,26057
LGA37340,1653,215,283,2154,1147,476,58,31,1712,78,29,105,1814,238,298,2345,1146,403,47,32,1624,79,20,99,1722,235,281,2239,1123,443,59,36,1662,77,26,100,1763,346,268,2376,979,424,62,22,1493,112,35,144,1637,492,282,2406,640,361,47,14,1068,56,28,88,1152,807,234,2196,252,188,20,5,469,7,7,17,486,1204,215,1910,75,74,8,7,165,3,4,8,176,926,173,1272,53,42,3,9,107,3,0,6,110,1373,265,1745,10331,4410,599,336,15681,815,305,1121,16800,7138,3721,27657
LGA37400,44,10,3,58,38,10,5,0,47,3,0,3,50,6,7,62,50,16,0,5,68,0,0,0,70,13,3,85,51,6,0,0,58,0,0,0,57,11,6,74,57,10,3,0,64,0,0,3,70,10,9,88,45,12,0,0,56,3,0,3,59,20,9,92,16,4,5,3,27,0,0,0,25,39,13,79,3,4,0,3,12,0,0,0,12,49,11,75,8,3,0,0,10,0,0,0,10,78,10,99,412,106,29,18,572,17,6,24,591,264,95,949
LGA37550,19,22,4,47,15,4,0,0,20,3,0,4,18,34,7,57,14,5,0,0,17,3,0,3,19,29,3,54,10,12,3,0,23,3,0,3,29,23,0,57,11,0,0,0,17,3,0,3,17,19,4,38,11,4,0,0,13,0,0,0,12,14,0,29,0,0,0,0,6,0,0,0,6,13,0,25,0,0,0,0,3,0,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0,4,0,7,122,55,5,13,193,27,15,43,237,351,52,637
LGA37570,5,7,0,16,9,4,0,0,12,3,3,5,14,7,0,23,4,3,0,0,8,0,0,0,10,12,0,24,5,3,0,0,6,0,0,0,7,7,0,14,3,3,0,0,6,0,0,0,6,9,0,17,0,0,0,0,3,0,0,0,3,11,0,15,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,6,0,6,36,22,4,0,64,17,4,27,92,124,8,217
LGA37600,58,73,7,141,21,17,0,3,45,25,3,34,71,57,8,130,29,8,3,3,48,23,3,23,75,91,0,165,20,15,0,0,38,15,0,14,55,71,3,133,18,9,0,0,29,12,0,12,38,65,0,100,3,4,0,0,7,9,0,9,18,57,3,73,0,0,0,0,0,0,0,0,6,33,0,39,0,0,0,0,0,0,0,0,0,25,3,31,0,0,0,0,0,0,0,0,0,23,5,24,197,100,20,25,343,259,30,285,626,1008,52,1687
LGA39499,334,212,200,738,150,58,19,13,238,72,21,90,330,175,238,742,143,62,12,14,238,70,15,86,324,235,192,752,156,79,29,10,272,70,11,82,356,334,227,914,127,78,29,6,243,64,24,79,326,547,205,1080,85,69,25,9,188,56,15,72,259,815,225,1294,25,32,6,6,67,3,12,16,83,1005,169,1253,0,3,0,0,13,0,3,5,12,547,103,661,5,0,0,3,6,0,0,0,8,329,81,418,1749,978,195,158,3087,757,228,986,4074,5145,2472,11693
LGA39799,7,0,0,6,3,0,0,0,7,0,0,0,9,0,0,12,7,0,0,0,6,0,0,0,6,0,0,6,0,3,3,0,3,0,0,0,4,7,0,14,9,3,0,0,9,0,0,0,10,4,3,19,3,3,0,0,5,0,0,0,5,5,0,12,0,0,0,0,0,0,0,0,0,15,4,19,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,14,0,18,32,16,9,0,60,0,0,4,68,57,22,144
