LGA_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
LGA56620,3,0,3,157,942,265,110,1318,135,1606
LGA56730,20,53,200,9080,514,61,11,585,1446,11112
LGA56790,3,13,62,2910,77,3,0,85,321,3319
LGA56860,0,0,8,228,10,0,0,10,18,257
LGA56930,0,3,41,1383,131,19,0,154,101,1636
LGA57000,0,0,8,528,21,8,0,26,61,617
LGA57080,30,20,160,10220,6917,1129,56,8107,3465,21797
LGA57140,4,3,24,1004,17,0,0,18,123,1146
LGA57210,3,7,97,4293,232,67,14,308,484,5079
LGA57280,9,5,34,10150,1912,183,49,2148,2175,14469
LGA57350,0,0,27,866,17,3,0,25,132,1019
LGA57420,0,0,16,1439,85,3,0,91,203,1733
LGA57490,108,152,1712,106543,8923,951,124,9999,8569,125114
LGA57630,0,0,0,75,5,0,0,5,15,89
LGA57700,15,22,189,22450,2247,250,38,2530,1853,26833
LGA57770,0,0,14,792,64,0,0,70,87,946
LGA57840,120,141,1136,29903,8246,1053,93,9393,2690,41989
LGA57910,1154,670,4902,139376,48230,9179,637,58038,12788,210208
LGA57980,52,44,435,13691,3872,491,37,4400,1273,19359
LGA58050,249,304,1381,97074,23454,4356,352,28163,8606,133851
LGA58190,0,0,3,335,14,0,0,13,49,402
LGA58260,0,0,17,516,24,4,0,33,54,594
LGA58330,4,0,35,3870,158,10,3,172,404,4439
LGA58400,0,3,12,286,3,0,0,3,58,350
LGA58470,0,0,0,226,17,0,0,17,36,278
LGA58510,163,182,1132,22385,8106,1331,93,9532,3069,34990
LGA58540,0,0,6,789,34,5,0,37,82,910
LGA58570,344,61,663,23562,6118,1232,98,7444,2697,33693
LGA58610,3,3,62,1639,36,5,0,36,176,1852
LGA58680,0,3,4,384,10,0,0,10,50,444
LGA58760,285,248,1892,139269,32172,6268,434,38874,10068,188212
LGA58820,13,26,96,3453,216,30,9,249,440,4148
LGA58890,0,0,23,729,10,0,3,15,65,809
LGA59030,0,0,0,246,15,0,0,16,38,304
LGA59100,0,4,15,658,13,0,0,13,54,718
LGA59170,0,0,13,872,23,0,0,25,79,981
LGA59250,0,0,0,383,211,10,0,224,141,742
LGA59310,0,0,27,1231,56,4,0,55,47,1331
LGA59320,0,0,0,379,9,0,0,9,24,409
LGA59330,0,3,23,442,12,0,0,12,63,516
LGA59340,3,4,19,5410,723,77,86,878,855,7148
LGA59350,0,0,3,254,16,0,3,23,65,337
LGA59360,0,12,24,981,54,0,0,53,167,1202
LGA59370,0,9,82,3127,92,7,0,101,375,3606
LGA59499,3,3,23,3819,503,92,12,610,1527,5950
LGA59799,0,0,3,309,55,3,0,60,72,434
LGA60210,6,24,153,5521,129,14,3,146,435,6104
LGA60410,12,14,144,15088,332,33,9,374,1052,16512
LGA60610,19,51,431,17287,533,52,9,594,1009,18895
LGA60810,18,53,522,19743,384,39,5,427,1196,21362
LGA61010,0,5,22,1969,30,0,0,30,144,2141
LGA61210,0,9,115,7144,169,33,0,201,573,7926
LGA61410,63,113,1497,49469,2062,275,39,2367,2979,54819
LGA61510,9,10,154,9202,177,22,0,204,616,10021
LGA61610,16,74,700,22521,650,127,18,793,1382,24696
LGA61810,4,12,173,6017,134,10,0,144,457,6617
LGA62010,0,0,15,839,12,0,0,12,50,906
LGA62210,8,13,129,6063,129,3,3,135,568,6764
LGA62410,3,14,111,3906,118,12,3,132,364,4400
LGA62610,111,162,1154,38787,3450,999,79,4527,2932,46253
LGA62810,154,109,1401,39877,6683,979,62,7721,2843,50439
LGA63010,14,17,260,14537,553,56,8,614,1051,16199
LGA63210,3,12,100,5527,189,18,3,211,392,6128
LGA63410,0,5,43,1383,68,0,0,72,124,1585
LGA63610,49,40,718,32091,1995,248,26,2265,1493,35853
LGA63810,3,28,257,9827,212,30,4,238,636,10699
LGA64010,80,171,1677,56019,3660,1155,54,4867,4388,65274
LGA64210,20,41,492,17590,491,50,6,547,1144,19282
LGA64610,6,19,238,11645,207,14,4,229,945,12822
LGA64810,18,21,263,13240,302,27,7,330,844,14414
LGA65010,4,12,86,5566,73,3,3,78,397,6043
LGA65210,0,20,61,2065,46,3,0,54,259,2372
LGA65410,8,36,311,12513,209,28,9,245,824,13578
LGA65610,0,0,38,3721,120,16,0,130,299,4149
LGA65810,41,61,498,20517,840,86,14,945,1262,22718
LGA69499,0,0,3,680,59,11,0,67,171,912
LGA69799,0,0,0,60,9,4,0,10,4,68
LGA70200,32,28,164,16979,4200,517,105,4828,2944,24753
LGA70420,11,0,20,2662,2961,351,60,3371,625,6655
LGA70540,0,0,0,22,133,4,0,132,6,164
LGA70620,12,0,12,500,2390,487,50,2929,251,3677
LGA70700,0,0,9,960,93,5,7,101,257,1319
LGA71000,104,55,470,49114,18355,2799,262,21412,8274,78804
LGA71300,3,0,8,441,6850,1102,179,8128,457,9026
LGA72200,7,14,41,6311,1275,140,43,1459,1941,9717
LGA72300,7,9,67,17816,1193,245,30,1465,4576,23855
LGA72330,18,0,17,859,3089,478,84,3648,1522,6029
LGA72800,22,8,85,25788,4578,527,59,5164,2836,33786
LGA73600,3,0,6,1797,3442,554,170,4166,541,6505
LGA74050,0,0,4,271,1859,99,105,2071,113,2453
LGA74550,8,0,10,955,1139,211,45,1398,462,2810
LGA74560,0,0,3,413,21,3,0,18,24,463
LGA74660,9,0,9,1169,3747,419,123,4295,729,6188
LGA74680,0,0,0,280,1852,694,26,2581,305,3166
LGA79399,0,0,9,4913,779,112,16,900,1092,6907
LGA79499,0,0,0,1364,451,85,18,557,568,2489
LGA79799,0,0,0,27,27,10,0,40,6,70
LGA89399,1072,884,6155,288639,76179,10552,821,87553,20669,396857
LGA89499,0,0,3,355,72,13,4,89,100,538
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,25,5,51,1688,1681,432,34,2154,684,4523
LGA99499,0,0,0,40,7,0,0,10,6,55
LGA99799,0,0,0,4,0,0,0,0,0,6
