LGA_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA25150,3,0,5,16,57,231,13,10,178,310,491,6370,6396,396,465,998,1229,274,992,4389,3856,12433,12943,25373
LGA25250,19,18,50,64,549,2047,74,84,1661,2653,4311,28523,28237,1546,1819,3702,5134,1472,6186,30876,28955,66119,70339,136461
LGA25340,43,21,84,147,670,2171,46,69,2036,3022,5059,32811,32857,2052,2438,5227,7941,2033,6754,18964,17082,61091,67067,128156
LGA25430,3,0,7,20,79,238,14,15,226,338,563,3650,3417,287,276,874,1116,261,800,2869,2397,7943,8004,15946
LGA25490,0,0,4,5,43,172,7,6,130,236,373,3551,3553,192,178,485,523,179,565,2150,1764,6556,6579,13134
LGA25620,3,0,11,11,45,144,4,4,133,182,314,2920,2864,269,198,635,624,212,493,1812,1519,5843,5704,11546
LGA25710,7,0,14,21,81,356,13,11,254,449,705,13776,13833,495,636,1234,2006,394,1293,8237,7311,24136,25077,49213
LGA25810,0,0,4,9,53,181,15,14,143,258,400,2368,2369,199,187,402,454,169,642,1620,1303,4766,4961,9724
LGA25900,6,4,42,85,159,615,94,39,565,868,1433,14482,14425,1130,1120,3648,4800,571,2174,23476,23247,43303,45774,89077
LGA25990,4,0,4,0,24,91,3,3,71,109,178,1555,1424,176,107,405,313,123,311,1002,685,3258,2845,6105
LGA26080,0,0,0,0,17,65,0,0,61,91,149,774,763,27,30,73,131,50,184,223,269,1152,1367,2523
LGA26170,9,7,9,24,100,384,17,13,309,501,808,6217,6177,404,371,1015,1344,347,1261,3474,2969,11457,12127,23581
LGA26260,3,3,11,9,82,305,15,11,201,383,582,3437,3446,181,201,477,612,250,917,1987,1690,6340,6862,13199
LGA26350,17,5,46,105,263,1050,88,112,940,1536,2472,17582,17843,820,975,2380,3895,716,3107,21410,22247,42902,48063,90965
LGA26430,4,3,13,13,57,187,18,3,149,225,376,2197,2170,156,190,494,515,193,526,1260,1056,4303,4466,8763
LGA26490,0,0,3,17,73,275,10,7,209,359,566,6455,6473,305,318,769,1028,266,873,3636,3228,11429,11914,23345
LGA26610,3,0,7,3,70,276,17,8,212,350,563,4273,4158,272,292,618,668,250,931,2865,2316,8284,8364,16646
