LGA_NAME16	Year	Sex	labourForceParticipation
Wollondilly (A)	2011	M	72.5
Wollondilly (A)	2016	F	61.7
Wollondilly (A)	2016	M	70.8
Wollongong (C)	2006	F	49.9
Wollongong (C)	2006	M	62.7
Wollongong (C)	2011	F	51.8
Wollongong (C)	2011	M	62
Wollongong (C)	2016	F	53.2
Wollongong (C)	2016	M	60.7
Woollahra (A)	2006	F	54.8
Woollahra (A)	2006	M	67
Woollahra (A)	2011	F	57.1
Woollahra (A)	2011	M	68.8
Woollahra (A)	2016	F	58.3
Woollahra (A)	2016	M	69.2
Yass Valley (A)	2006	F	61.8
Yass Valley (A)	2006	M	74.3
Yass Valley (A)	2011	F	63.5
Yass Valley (A)	2011	M	72.5
Yass Valley (A)	2016	F	62.2
Yass Valley (A)	2016	M	68.6
Unincorporated NSW	2006	F	71.7
Unincorporated NSW	2006	M	82.7
Unincorporated NSW	2011	F	72.5
Unincorporated NSW	2011	M	81.4
Unincorporated NSW	2016	F	66.5
Unincorporated NSW	2016	M	72.1
No usual address (NSW)	2006	F	42.5
No usual address (NSW)	2006	M	51.7
No usual address (NSW)	2011	F	39
No usual address (NSW)	2011	M	41
No usual address (NSW)	2016	F	35.9
No usual address (NSW)	2016	M	37.7
Migratory - Offshore - Shipping (NSW)	2006	F	52.9
Migratory - Offshore - Shipping (NSW)	2006	M	72.5
Migratory - Offshore - Shipping (NSW)	2011	F	20
Migratory - Offshore - Shipping (NSW)	2011	M	47.1
Migratory - Offshore - Shipping (NSW)	2016	F	32.7
Migratory - Offshore - Shipping (NSW)	2016	M	38.9
Alpine (S)	2006	F	51.5
Alpine (S)	2006	M	62.3
Alpine (S)	2011	F	52.6
Alpine (S)	2011	M	61.2
Alpine (S)	2016	F	51.9
Alpine (S)	2016	M	58.3
Ararat (RC)	2006	F	51.1
Ararat (RC)	2006	M	58.1
Ararat (RC)	2011	F	50.5
Ararat (RC)	2011	M	57.1
Ararat (RC)	2016	F	50.6
Ararat (RC)	2016	M	50.8
Ballarat (C)	2006	F	52.6
Ballarat (C)	2006	M	65.5
Ballarat (C)	2011	F	54.6
Ballarat (C)	2011	M	65.1
Ballarat (C)	2016	F	54.5
Ballarat (C)	2016	M	63.1
Banyule (C)	2006	F	56.3
Banyule (C)	2006	M	68.4
Banyule (C)	2011	F	58
Banyule (C)	2011	M	68.7
Banyule (C)	2016	F	58
Banyule (C)	2016	M	67.2
Bass Coast (S)	2006	F	43.4
Bass Coast (S)	2006	M	53.9
Bass Coast (S)	2011	F	46
Bass Coast (S)	2011	M	58.1
Bass Coast (S)	2016	F	45
Bass Coast (S)	2016	M	52.9
Baw Baw (S)	2006	F	53.7
Baw Baw (S)	2006	M	67.9
Baw Baw (S)	2011	F	54.5
Baw Baw (S)	2011	M	67.5
Baw Baw (S)	2016	F	52.4
Baw Baw (S)	2016	M	62.8
Bayside (C)	2006	F	53.7
Bayside (C)	2006	M	69
Bayside (C)	2011	F	55.3
Bayside (C)	2011	M	68.7
Bayside (C)	2016	F	56.1
Bayside (C)	2016	M	67.1
Benalla (RC)	2006	F	51.1
Benalla (RC)	2006	M	65.3
Benalla (RC)	2011	F	50.2
Benalla (RC)	2011	M	62.7
Benalla (RC)	2016	F	47
Benalla (RC)	2016	M	55.7
Boroondara (C)	2006	F	57.5
Boroondara (C)	2006	M	69.8
Boroondara (C)	2011	F	58.6
Boroondara (C)	2011	M	69.9
Boroondara (C)	2016	F	58.3
Boroondara (C)	2016	M	68.1
Brimbank (C)	2006	F	48.2
Brimbank (C)	2006	M	63.8
Brimbank (C)	2011	F	49.2
Brimbank (C)	2011	M	63.5
Brimbank (C)	2016	F	50
Brimbank (C)	2016	M	62.8
Buloke (S)	2006	F	45.9
Buloke (S)	2006	M	62.9
Buloke (S)	2011	F	46.5
Buloke (S)	2011	M	61.7
Buloke (S)	2016	F	44.6
Buloke (S)	2016	M	54.9
Campaspe (S)	2006	F	52.2
Campaspe (S)	2006	M	65.8
Campaspe (S)	2011	F	52
Campaspe (S)	2011	M	62.9
Campaspe (S)	2016	F	51
Campaspe (S)	2016	M	59.3
Cardinia (S)	2006	F	58.4
Cardinia (S)	2006	M	73.8
Cardinia (S)	2011	F	60.1
Cardinia (S)	2011	M	73.9
Cardinia (S)	2016	F	60
Cardinia (S)	2016	M	71.6
Casey (C)	2006	F	57.5
Casey (C)	2006	M	73.9
Casey (C)	2011	F	58.2
Casey (C)	2011	M	73.1
Casey (C)	2016	F	57.7
Casey (C)	2016	M	70.9
Central Goldfields (S)	2006	F	39.3
Central Goldfields (S)	2006	M	52.1
Central Goldfields (S)	2011	F	41.1
Central Goldfields (S)	2011	M	50.1
Central Goldfields (S)	2016	F	39.9
Central Goldfields (S)	2016	M	47.3
Colac-Otway (S)	2006	F	53.4
Colac-Otway (S)	2006	M	67.7
Colac-Otway (S)	2011	F	53.8
Colac-Otway (S)	2011	M	65.6
Colac-Otway (S)	2016	F	53
Colac-Otway (S)	2016	M	62.2
Corangamite (S)	2006	F	53.1
Corangamite (S)	2006	M	67.6
Corangamite (S)	2011	F	53.9
Corangamite (S)	2011	M	66.4
Corangamite (S)	2016	F	51.9
Corangamite (S)	2016	M	61.8
Darebin (C)	2006	F	50.6
Darebin (C)	2006	M	61.5
Darebin (C)	2011	F	55.1
Darebin (C)	2011	M	64.3
Darebin (C)	2016	F	57.9
Darebin (C)	2016	M	65.3
East Gippsland (S)	2006	F	46.9
East Gippsland (S)	2006	M	57
East Gippsland (S)	2011	F	47.9
East Gippsland (S)	2011	M	55.6
East Gippsland (S)	2016	F	45.6
East Gippsland (S)	2016	M	50.4
Frankston (C)	2006	F	54.6
Frankston (C)	2006	M	68.9
Frankston (C)	2011	F	56.8
Frankston (C)	2011	M	69.4
Frankston (C)	2016	F	57.3
Frankston (C)	2016	M	67.3
Gannawarra (S)	2006	F	49.4
Gannawarra (S)	2006	M	63.4
Gannawarra (S)	2011	F	47.7
Gannawarra (S)	2011	M	60
Gannawarra (S)	2016	F	47.1
Gannawarra (S)	2016	M	57.1
Glen Eira (C)	2006	F	56.1
Glen Eira (C)	2006	M	67.4
Glen Eira (C)	2011	F	59.4
Glen Eira (C)	2011	M	70.1
Glen Eira (C)	2016	F	59.6
Glen Eira (C)	2016	M	69.2
Glenelg (S)	2006	F	53.1
Glenelg (S)	2006	M	67.7
Glenelg (S)	2011	F	52.5
Glenelg (S)	2011	M	63.8
Glenelg (S)	2016	F	49.5
Glenelg (S)	2016	M	58.5
Golden Plains (S)	2006	F	57
Golden Plains (S)	2006	M	71
Golden Plains (S)	2011	F	59.5
Golden Plains (S)	2011	M	70.6
Golden Plains (S)	2016	F	59.7
Golden Plains (S)	2016	M	67.8
Greater Bendigo (C)	2006	F	53.5
Greater Bendigo (C)	2006	M	65.2
Greater Bendigo (C)	2011	F	54.6
Greater Bendigo (C)	2011	M	65.1
Greater Bendigo (C)	2016	F	54.4
Greater Bendigo (C)	2016	M	62.4
Greater Dandenong (C)	2006	F	44
Greater Dandenong (C)	2006	M	60.3
Greater Dandenong (C)	2011	F	45.4
Greater Dandenong (C)	2011	M	61.5
Greater Dandenong (C)	2016	F	46.4
Greater Dandenong (C)	2016	M	61.2
Greater Geelong (C)	2006	F	51.2
Greater Geelong (C)	2006	M	64.8
Greater Geelong (C)	2011	F	53.5
Greater Geelong (C)	2011	M	64.5
Greater Geelong (C)	2016	F	53.9
Greater Geelong (C)	2016	M	62.2
Greater Shepparton (C)	2006	F	55.2
Greater Shepparton (C)	2006	M	67.4
Greater Shepparton (C)	2011	F	54.4
Greater Shepparton (C)	2011	M	64.7
Greater Shepparton (C)	2016	F	52.4
Greater Shepparton (C)	2016	M	60.5
Hepburn (S)	2006	F	49.3
Hepburn (S)	2006	M	60.2
Hepburn (S)	2011	F	50.5
Hepburn (S)	2011	M	60.2
Hepburn (S)	2016	F	48.1
Hepburn (S)	2016	M	55.7
Hindmarsh (S)	2006	F	45.9
Hindmarsh (S)	2006	M	63.6
Hindmarsh (S)	2011	F	45.8
Hindmarsh (S)	2011	M	59.7
Hindmarsh (S)	2016	F	44.7
Hindmarsh (S)	2016	M	55.3
Hobsons Bay (C)	2006	F	52.6
Hobsons Bay (C)	2006	M	65.9
Hobsons Bay (C)	2011	F	54.8
Hobsons Bay (C)	2011	M	67.2
Hobsons Bay (C)	2016	F	56.8
Hobsons Bay (C)	2016	M	67.5
Horsham (RC)	2006	F	55.8
Horsham (RC)	2006	M	70.4
Horsham (RC)	2011	F	55.2
Horsham (RC)	2011	M	67.9
Horsham (RC)	2016	F	55.1
Horsham (RC)	2016	M	65.8
Hume (C)	2006	F	50.8
Hume (C)	2006	M	67.6
Hume (C)	2011	F	51.2
Hume (C)	2011	M	66.7
Hume (C)	2016	F	51.1
Hume (C)	2016	M	64.8
Indigo (S)	2006	F	57.6
Indigo (S)	2006	M	67.3
Indigo (S)	2011	F	58.5
Indigo (S)	2011	M	65.9
Indigo (S)	2016	F	57.8
Indigo (S)	2016	M	61.7
Kingston (C) (Vic.)	2006	F	54.9
Kingston (C) (Vic.)	2006	M	68.3
Kingston (C) (Vic.)	2011	F	57.3
Kingston (C) (Vic.)	2011	M	68.8
Kingston (C) (Vic.)	2016	F	58.2
Kingston (C) (Vic.)	2016	M	67.9
Knox (C)	2006	F	60.4
Knox (C)	2006	M	74.9
Knox (C)	2011	F	61
Knox (C)	2011	M	73.1
Knox (C)	2016	F	59.5
Knox (C)	2016	M	69.8
Latrobe (C) (Vic.)	2006	F	49.1
Latrobe (C) (Vic.)	2006	M	64
Latrobe (C) (Vic.)	2011	F	50.4
Latrobe (C) (Vic.)	2011	M	62.7
Latrobe (C) (Vic.)	2016	F	49.9
Latrobe (C) (Vic.)	2016	M	59.3
Loddon (S)	2006	F	46.3
Loddon (S)	2006	M	59.4
Loddon (S)	2011	F	45.4
Loddon (S)	2011	M	55.4
Loddon (S)	2016	F	43.8
Loddon (S)	2016	M	50.8
Macedon Ranges (S)	2006	F	58
Macedon Ranges (S)	2006	M	71
Macedon Ranges (S)	2011	F	59.7
Macedon Ranges (S)	2011	M	70.6
Macedon Ranges (S)	2016	F	57.7
Macedon Ranges (S)	2016	M	66.6
Manningham (C)	2006	F	54.3
Manningham (C)	2006	M	67.1
Manningham (C)	2011	F	54.2
Manningham (C)	2011	M	66.3
Manningham (C)	2016	F	52.4
Manningham (C)	2016	M	63.5
Mansfield (S)	2006	F	55.8
Mansfield (S)	2006	M	62.6
Mansfield (S)	2011	F	55.4
Mansfield (S)	2011	M	63.3
Mansfield (S)	2016	F	53.3
Mansfield (S)	2016	M	57.8
Maribyrnong (C)	2006	F	53
Maribyrnong (C)	2006	M	63.8
Maribyrnong (C)	2011	F	57.9
Maribyrnong (C)	2011	M	66.7
Maribyrnong (C)	2016	F	61.7
Maribyrnong (C)	2016	M	69.7
Maroondah (C)	2006	F	57.7
Maroondah (C)	2006	M	71.6
Maroondah (C)	2011	F	59.6
Maroondah (C)	2011	M	72.2
Maroondah (C)	2016	F	59.4
Maroondah (C)	2016	M	70.3
Melbourne (C)	2006	F	55.7
Melbourne (C)	2006	M	59.3
Melbourne (C)	2011	F	58.7
Melbourne (C)	2011	M	63.4
Melbourne (C)	2016	F	54.6
Melbourne (C)	2016	M	60.5
Melton (C)	2006	F	58.4
Melton (C)	2006	M	74.4
Melton (C)	2011	F	58.8
Melton (C)	2011	M	73.2
Melton (C)	2016	F	57.8
Melton (C)	2016	M	69.7
Mildura (RC)	2006	F	53
Mildura (RC)	2006	M	65.5
Mildura (RC)	2011	F	52.2
Mildura (RC)	2011	M	62.2
Mildura (RC)	2016	F	51.9
Mildura (RC)	2016	M	59.6
Mitchell (S)	2006	F	55
Mitchell (S)	2006	M	69.1
Mitchell (S)	2011	F	56.1
Mitchell (S)	2011	M	68.5
Mitchell (S)	2016	F	55
Mitchell (S)	2016	M	65.3
Moira (S)	2006	F	50
Moira (S)	2006	M	62.6
Moira (S)	2011	F	49
Moira (S)	2011	M	59.2
Moira (S)	2016	F	48.1
Moira (S)	2016	M	55.7
Monash (C)	2006	F	52.4
Monash (C)	2006	M	64
Monash (C)	2011	F	53
Monash (C)	2011	M	64
Monash (C)	2016	F	52.1
Monash (C)	2016	M	61.8
Moonee Valley (C)	2006	F	54.7
Moonee Valley (C)	2006	M	65.6
Moonee Valley (C)	2011	F	57.7
Moonee Valley (C)	2011	M	67.8
Moonee Valley (C)	2016	F	59
Moonee Valley (C)	2016	M	67.4
Moorabool (S)	2006	F	56
Moorabool (S)	2006	M	70.6
Moorabool (S)	2011	F	56.6
Moorabool (S)	2011	M	69.4
Moorabool (S)	2016	F	56.2
Moorabool (S)	2016	M	66.4
Moreland (C)	2006	F	50.5
Moreland (C)	2006	M	62
Moreland (C)	2011	F	55.1
Moreland (C)	2011	M	65.4
Moreland (C)	2016	F	58.6
Moreland (C)	2016	M	68.1
Mornington Peninsula (S)	2006	F	48.2
Mornington Peninsula (S)	2006	M	61.9
Mornington Peninsula (S)	2011	F	50.5
Mornington Peninsula (S)	2011	M	62.9
Mornington Peninsula (S)	2016	F	50.8
Mornington Peninsula (S)	2016	M	60.4
Mount Alexander (S)	2006	F	48
Mount Alexander (S)	2006	M	57.1
Mount Alexander (S)	2011	F	50.3
Mount Alexander (S)	2011	M	55.8
Mount Alexander (S)	2016	F	48.8
Mount Alexander (S)	2016	M	51.3
Moyne (S)	2006	F	56.8
Moyne (S)	2006	M	69.9
Moyne (S)	2011	F	58.5
Moyne (S)	2011	M	71
Moyne (S)	2016	F	56.1
Moyne (S)	2016	M	66.1
Murrindindi (S)	2006	F	52.9
Murrindindi (S)	2006	M	64.7
Murrindindi (S)	2011	F	53.1
Murrindindi (S)	2011	M	61.8
Murrindindi (S)	2016	F	50.9
Murrindindi (S)	2016	M	57.6
Nillumbik (S)	2006	F	66.9
Nillumbik (S)	2006	M	77.4
Nillumbik (S)	2011	F	66.7
Nillumbik (S)	2011	M	77
Nillumbik (S)	2016	F	65.5
Nillumbik (S)	2016	M	73
Northern Grampians (S)	2006	F	49.8
Northern Grampians (S)	2006	M	63.2
Northern Grampians (S)	2011	F	50
Northern Grampians (S)	2011	M	61.4
Northern Grampians (S)	2016	F	48.1
Northern Grampians (S)	2016	M	57.3
Port Phillip (C)	2006	F	63.3
Port Phillip (C)	2006	M	67.3
Port Phillip (C)	2011	F	68.6
Port Phillip (C)	2011	M	72.7
Port Phillip (C)	2016	F	66
Port Phillip (C)	2016	M	70.6
Pyrenees (S)	2006	F	44.6
Pyrenees (S)	2006	M	57.6
Pyrenees (S)	2011	F	46
Pyrenees (S)	2011	M	54.7
Pyrenees (S)	2016	F	46.2
Pyrenees (S)	2016	M	46.9
Queenscliffe (B)	2006	F	38.2
Queenscliffe (B)	2006	M	49.6
Queenscliffe (B)	2011	F	42.5
Queenscliffe (B)	2011	M	52.3
Queenscliffe (B)	2016	F	39.4
Queenscliffe (B)	2016	M	47.2
South Gippsland (S)	2006	F	51.5
South Gippsland (S)	2006	M	64.4
South Gippsland (S)	2011	F	53.1
South Gippsland (S)	2011	M	64.7
South Gippsland (S)	2016	F	50
South Gippsland (S)	2016	M	58.9
Southern Grampians (S)	2006	F	53.1
Southern Grampians (S)	2006	M	69.5
Southern Grampians (S)	2011	F	54.2
Southern Grampians (S)	2011	M	66.8
Southern Grampians (S)	2016	F	52.5
Southern Grampians (S)	2016	M	62.7
Stonnington (C)	2006	F	58.1
Stonnington (C)	2006	M	68.6
Stonnington (C)	2011	F	61
Stonnington (C)	2011	M	71.1
Stonnington (C)	2016	F	61.2
Stonnington (C)	2016	M	70.4
Strathbogie (S)	2006	F	48.8
Strathbogie (S)	2006	M	61.5
Strathbogie (S)	2011	F	48.6
Strathbogie (S)	2011	M	60
Strathbogie (S)	2016	F	49
Strathbogie (S)	2016	M	55.7
Surf Coast (S)	2006	F	55.9
Surf Coast (S)	2006	M	68.9
Surf Coast (S)	2011	F	58.6
Surf Coast (S)	2011	M	69.3
Surf Coast (S)	2016	F	59.2
Surf Coast (S)	2016	M	66.4
Swan Hill (RC)	2006	F	52.3
Swan Hill (RC)	2006	M	66.5
Swan Hill (RC)	2011	F	51.2
Swan Hill (RC)	2011	M	64.8
Swan Hill (RC)	2016	F	49.4
Swan Hill (RC)	2016	M	59.1
Towong (S)	2006	F	51.7
Towong (S)	2006	M	65.1
Towong (S)	2011	F	53.8
Towong (S)	2011	M	64.9
Towong (S)	2016	F	51.8
Towong (S)	2016	M	59.5
Wangaratta (RC)	2006	F	55.3
Wangaratta (RC)	2006	M	68.6
Wangaratta (RC)	2011	F	55.6
Wangaratta (RC)	2011	M	66.4
Wangaratta (RC)	2016	F	53.1
Wangaratta (RC)	2016	M	61.4
Warrnambool (C)	2006	F	54.8
Warrnambool (C)	2006	M	68.2
Warrnambool (C)	2011	F	56.6
Warrnambool (C)	2011	M	67.7
Warrnambool (C)	2016	F	55.5
Warrnambool (C)	2016	M	64.5
Wellington (S)	2006	F	51.4
Wellington (S)	2006	M	61.4
Wellington (S)	2011	F	51.7
Wellington (S)	2011	M	60.7
Wellington (S)	2016	F	51.3
Wellington (S)	2016	M	57
West Wimmera (S)	2006	F	53.6
West Wimmera (S)	2006	M	69.1
West Wimmera (S)	2011	F	53.8
West Wimmera (S)	2011	M	67.7
West Wimmera (S)	2016	F	54.8
West Wimmera (S)	2016	M	65.1
Whitehorse (C)	2006	F	54.1
Whitehorse (C)	2006	M	67.2
Whitehorse (C)	2011	F	54.7
Whitehorse (C)	2011	M	66.2
Whitehorse (C)	2016	F	54.7
Whitehorse (C)	2016	M	64.9
Whittlesea (C)	2006	F	52.6
Whittlesea (C)	2006	M	67.9
Whittlesea (C)	2011	F	55.3
Whittlesea (C)	2011	M	68.5
Whittlesea (C)	2016	F	55.4
Whittlesea (C)	2016	M	67.7
Wodonga (C)	2006	F	58.6
Wodonga (C)	2006	M	73.4
Wodonga (C)	2011	F	58.4
Wodonga (C)	2011	M	70.6
Wodonga (C)	2016	F	57.2
Wodonga (C)	2016	M	66.9
Wyndham (C)	2006	F	59
Wyndham (C)	2006	M	73.4
Wyndham (C)	2011	F	59.7
Wyndham (C)	2011	M	74.2
Wyndham (C)	2016	F	58.8
Wyndham (C)	2016	M	72.6
Yarra (C)	2006	F	63.9
Yarra (C)	2006	M	67.7
Yarra (C)	2011	F	66.9
Yarra (C)	2011	M	71.6
Yarra (C)	2016	F	67.4
Yarra (C)	2016	M	72.1
Yarra Ranges (S)	2006	F	59.3
Yarra Ranges (S)	2006	M	72.8
Yarra Ranges (S)	2011	F	60.5
Yarra Ranges (S)	2011	M	72.2
Yarra Ranges (S)	2016	F	59.8
Yarra Ranges (S)	2016	M	69.3
Yarriambiack (S)	2006	F	45.9
Yarriambiack (S)	2006	M	61.2
Yarriambiack (S)	2011	F	44.2
Yarriambiack (S)	2011	M	57.2
Yarriambiack (S)	2016	F	44.8
Yarriambiack (S)	2016	M	53.4
Unincorporated Vic	2006	F	74.6
Unincorporated Vic	2006	M	79
Unincorporated Vic	2011	F	72.5
Unincorporated Vic	2011	M	79.7
Unincorporated Vic	2016	F	57.2
Unincorporated Vic	2016	M	64.8
No usual address (Vic.)	2006	F	47.8
No usual address (Vic.)	2006	M	58.4
No usual address (Vic.)	2011	F	42.6
No usual address (Vic.)	2011	M	44.7
No usual address (Vic.)	2016	F	36
No usual address (Vic.)	2016	M	40.8
Migratory - Offshore - Shipping (Vic.)	2006	F	0
Migratory - Offshore - Shipping (Vic.)	2006	M	82.5
Migratory - Offshore - Shipping (Vic.)	2011	F	0
Migratory - Offshore - Shipping (Vic.)	2011	M	83.3
Migratory - Offshore - Shipping (Vic.)	2016	F	0
Migratory - Offshore - Shipping (Vic.)	2016	M	85.2
Aurukun (S)	2006	F	34.3
Aurukun (S)	2006	M	63.3
Aurukun (S)	2011	F	27.1
Aurukun (S)	2011	M	40.5
Aurukun (S)	2016	F	34
Aurukun (S)	2016	M	46.8
Balonne (S)	2006	F	62.6
Balonne (S)	2006	M	77.5
Balonne (S)	2011	F	61.1
Balonne (S)	2011	M	74.9
Balonne (S)	2016	F	61
Balonne (S)	2016	M	70
Banana (S)	2006	F	60.2
Banana (S)	2006	M	79
Banana (S)	2011	F	61.1
Banana (S)	2011	M	78
Banana (S)	2016	F	60.5
Banana (S)	2016	M	73.3
Barcaldine (R)	2006	F	59.3
Barcaldine (R)	2006	M	72.8
Barcaldine (R)	2011	F	61.6
Barcaldine (R)	2011	M	71.9
Barcaldine (R)	2016	F	62
Barcaldine (R)	2016	M	68.1
Barcoo (S)	2006	F	72.1
Barcoo (S)	2006	M	86.2
Barcoo (S)	2011	F	75.6
Barcoo (S)	2011	M	78.5
Barcoo (S)	2016	F	70.2
Barcoo (S)	2016	M	77.5
Blackall-Tambo (R)	2006	F	61.1
Blackall-Tambo (R)	2006	M	72.1
Blackall-Tambo (R)	2011	F	58.8
Blackall-Tambo (R)	2011	M	70.9
Blackall-Tambo (R)	2016	F	57.6
Blackall-Tambo (R)	2016	M	66.2
Boulia (S)	2006	F	71.3
Boulia (S)	2006	M	79.1
Boulia (S)	2011	F	52.8
Boulia (S)	2011	M	79.3
Boulia (S)	2016	F	62.8
Boulia (S)	2016	M	69.3
Brisbane (C)	2006	F	60
Brisbane (C)	2006	M	70.3
Brisbane (C)	2011	F	62.3
Brisbane (C)	2011	M	71.2
Brisbane (C)	2016	F	61.9
Brisbane (C)	2016	M	69.7
Bulloo (S)	2006	F	74
Bulloo (S)	2006	M	76.5
Bulloo (S)	2011	F	73
Bulloo (S)	2011	M	75.8
Bulloo (S)	2016	F	75
Bulloo (S)	2016	M	80
Bundaberg (R)	2006	F	46.6
Bundaberg (R)	2006	M	56.9
Bundaberg (R)	2011	F	47.4
Bundaberg (R)	2011	M	56
Bundaberg (R)	2016	F	46.5
Bundaberg (R)	2016	M	53
Burdekin (S)	2006	F	51.8
Burdekin (S)	2006	M	69.4
Burdekin (S)	2011	F	52.8
Burdekin (S)	2011	M	68.6
Burdekin (S)	2016	F	54.2
Burdekin (S)	2016	M	64.2
Burke (S)	2006	F	61.1
Burke (S)	2006	M	72.6
Burke (S)	2011	F	63.9
Burke (S)	2011	M	70.3
Burke (S)	2016	F	56.7
Burke (S)	2016	M	64.4
Cairns (R)	2006	F	61.5
Cairns (R)	2006	M	70.5
Cairns (R)	2011	F	61.8
Cairns (R)	2011	M	69
Cairns (R)	2016	F	60.6
Cairns (R)	2016	M	65.3
Carpentaria (S)	2006	F	55.7
Carpentaria (S)	2006	M	61.3
Carpentaria (S)	2011	F	53.2
Carpentaria (S)	2011	M	58.5
Carpentaria (S)	2016	F	55.5
Carpentaria (S)	2016	M	59.5
Cassowary Coast (R)	2006	F	52.2
Cassowary Coast (R)	2006	M	64.3
Cassowary Coast (R)	2011	F	54.4
Cassowary Coast (R)	2011	M	64.5
Cassowary Coast (R)	2016	F	52.4
Cassowary Coast (R)	2016	M	59.1
Central Highlands (R) (Qld)	2006	F	64.3
Central Highlands (R) (Qld)	2006	M	80.2
Central Highlands (R) (Qld)	2011	F	65.4
Central Highlands (R) (Qld)	2011	M	78.2
Central Highlands (R) (Qld)	2016	F	62.3
Central Highlands (R) (Qld)	2016	M	72.2
Charters Towers (R)	2006	F	52.7
Charters Towers (R)	2006	M	64.2
Charters Towers (R)	2011	F	53
Charters Towers (R)	2011	M	62.8
Charters Towers (R)	2016	F	51.4
Charters Towers (R)	2016	M	56.6
Cherbourg (S)	2006	F	34.6
Cherbourg (S)	2006	M	56.9
Cherbourg (S)	2011	F	36.2
Cherbourg (S)	2011	M	46.1
Cherbourg (S)	2016	F	27.3
Cherbourg (S)	2016	M	37.4
Cloncurry (S)	2006	F	64.2
Cloncurry (S)	2006	M	76.9
Cloncurry (S)	2011	F	64.1
Cloncurry (S)	2011	M	72.4
Cloncurry (S)	2016	F	60.3
Cloncurry (S)	2016	M	70.9
Cook (S)	2006	F	55.8
Cook (S)	2006	M	56.9
Cook (S)	2011	F	56.9
Cook (S)	2011	M	45.8
Cook (S)	2016	F	55
Cook (S)	2016	M	52.2
Croydon (S)	2006	F	62.5
Croydon (S)	2006	M	74.5
Croydon (S)	2011	F	61.5
Croydon (S)	2011	M	70.3
Croydon (S)	2016	F	54.6
Croydon (S)	2016	M	53.2
Diamantina (S)	2006	F	80.6
Diamantina (S)	2006	M	78.4
Diamantina (S)	2011	F	80.6
Diamantina (S)	2011	M	83.2
Diamantina (S)	2016	F	74.6
Diamantina (S)	2016	M	77.1
Doomadgee (S)	2006	F	38.1
Doomadgee (S)	2006	M	56.3
Doomadgee (S)	2011	F	39.8
Doomadgee (S)	2011	M	48.9
Doomadgee (S)	2016	F	36.9
Doomadgee (S)	2016	M	43.4
Douglas (S)	2006	F	64.6
Douglas (S)	2006	M	68.3
Douglas (S)	2011	F	61.9
Douglas (S)	2011	M	64.9
Douglas (S)	2016	F	57.8
Douglas (S)	2016	M	60.8
Etheridge (S)	2006	F	60.3
Etheridge (S)	2006	M	67.2
Etheridge (S)	2011	F	61.5
Etheridge (S)	2011	M	68.6
Etheridge (S)	2016	F	56.6
Etheridge (S)	2016	M	60.8
Flinders (S) (Qld)	2006	F	63.2
Flinders (S) (Qld)	2006	M	75.2
Flinders (S) (Qld)	2011	F	60.3
Flinders (S) (Qld)	2011	M	69.9
Flinders (S) (Qld)	2016	F	59.2
Flinders (S) (Qld)	2016	M	70.3
Fraser Coast (R)	2006	F	43.4
Fraser Coast (R)	2006	M	51.8
Fraser Coast (R)	2011	F	43.9
Fraser Coast (R)	2011	M	49.7
Fraser Coast (R)	2016	F	41.7
Fraser Coast (R)	2016	M	45.3
Gladstone (R)	2006	F	56.7
Gladstone (R)	2006	M	73.4
Gladstone (R)	2011	F	58.4
Gladstone (R)	2011	M	73.5
Gladstone (R)	2016	F	57.3
Gladstone (R)	2016	M	70
Gold Coast (C)	2006	F	55
Gold Coast (C)	2006	M	65.5
Gold Coast (C)	2011	F	57.6
Gold Coast (C)	2011	M	67
Gold Coast (C)	2016	F	57.8
Gold Coast (C)	2016	M	65.7
Goondiwindi (R)	2006	F	58.2
Goondiwindi (R)	2006	M	71.6
Goondiwindi (R)	2011	F	57.9
Goondiwindi (R)	2011	M	71.1
Goondiwindi (R)	2016	F	55.3
Goondiwindi (R)	2016	M	65.3
Gympie (R)	2006	F	47.8
Gympie (R)	2006	M	58.8
Gympie (R)	2011	F	47.4
Gympie (R)	2011	M	56.1
Gympie (R)	2016	F	44.7
Gympie (R)	2016	M	51
Hinchinbrook (S)	2006	F	48.3
Hinchinbrook (S)	2006	M	63.1
Hinchinbrook (S)	2011	F	49.4
Hinchinbrook (S)	2011	M	63.8
Hinchinbrook (S)	2016	F	48.1
Hinchinbrook (S)	2016	M	57.5
Hope Vale (S)	2006	F	65.6
Hope Vale (S)	2006	M	75.4
Hope Vale (S)	2011	F	51.2
Hope Vale (S)	2011	M	65.2
Hope Vale (S)	2016	F	53.7
Hope Vale (S)	2016	M	63.1
Ipswich (C)	2006	F	55.3
Ipswich (C)	2006	M	69
Ipswich (C)	2011	F	57.7
Ipswich (C)	2011	M	69.4
Ipswich (C)	2016	F	58
Ipswich (C)	2016	M	67.5
Isaac (R)	2006	F	61.2
Isaac (R)	2006	M	78.1
Isaac (R)	2011	F	65.4
Isaac (R)	2011	M	78.7
Isaac (R)	2016	F	61.4
Isaac (R)	2016	M	71.6
Kowanyama (S)	2006	F	56.5
Kowanyama (S)	2006	M	69.6
Kowanyama (S)	2011	F	37.4
Kowanyama (S)	2011	M	53.9
Kowanyama (S)	2016	F	47.4
Kowanyama (S)	2016	M	56.7
Livingstone (S)	2006	F	53.2
Livingstone (S)	2006	M	59.9
Livingstone (S)	2011	F	56.6
Livingstone (S)	2011	M	61.8
