LGA_NAME16	Year	IndigenousStatus	persons
Bayside (C)	2011	Both Aboriginal & Torres Strait Islander	0
Bayside (C)	2011	Non-indigenous	91657
Bayside (C)	2011	Torres Strait Islander	16
Bayside (C)	2016	Aboriginal	178
Bayside (C)	2016	Both Aboriginal & Torres Strait Islander	0
Bayside (C)	2016	Non-indigenous	96895
Bayside (C)	2016	Torres Strait Islander	14
Benalla (RC)	2006	Aboriginal	121
Benalla (RC)	2006	Both Aboriginal & Torres Strait Islander	0
Benalla (RC)	2006	Non-indigenous	13395
Benalla (RC)	2006	Torres Strait Islander	8
Benalla (RC)	2011	Aboriginal	148
Benalla (RC)	2011	Both Aboriginal & Torres Strait Islander	9
Benalla (RC)	2011	Non-indigenous	13484
Benalla (RC)	2011	Torres Strait Islander	7
Benalla (RC)	2016	Aboriginal	217
Benalla (RC)	2016	Both Aboriginal & Torres Strait Islander	3
Benalla (RC)	2016	Non-indigenous	13638
Benalla (RC)	2016	Torres Strait Islander	3
Boroondara (C)	2006	Aboriginal	150
Boroondara (C)	2006	Both Aboriginal & Torres Strait Islander	5
Boroondara (C)	2006	Non-indigenous	154284
Boroondara (C)	2006	Torres Strait Islander	15
Boroondara (C)	2011	Aboriginal	196
Boroondara (C)	2011	Both Aboriginal & Torres Strait Islander	7
Boroondara (C)	2011	Non-indigenous	158962
Boroondara (C)	2011	Torres Strait Islander	19
Boroondara (C)	2016	Aboriginal	291
Boroondara (C)	2016	Both Aboriginal & Torres Strait Islander	8
Boroondara (C)	2016	Non-indigenous	166914
Boroondara (C)	2016	Torres Strait Islander	18
Brimbank (C)	2006	Aboriginal	470
Brimbank (C)	2006	Both Aboriginal & Torres Strait Islander	21
Brimbank (C)	2006	Non-indigenous	167654
Brimbank (C)	2006	Torres Strait Islander	76
Brimbank (C)	2011	Aboriginal	576
Brimbank (C)	2011	Both Aboriginal & Torres Strait Islander	38
Brimbank (C)	2011	Non-indigenous	182033
Brimbank (C)	2011	Torres Strait Islander	89
Brimbank (C)	2016	Aboriginal	742
Brimbank (C)	2016	Both Aboriginal & Torres Strait Islander	15
Brimbank (C)	2016	Non-indigenous	193501
Brimbank (C)	2016	Torres Strait Islander	61
Buloke (S)	2006	Aboriginal	39
Buloke (S)	2006	Both Aboriginal & Torres Strait Islander	3
Buloke (S)	2006	Non-indigenous	6804
Buloke (S)	2006	Torres Strait Islander	4
Buloke (S)	2011	Aboriginal	33
Buloke (S)	2011	Both Aboriginal & Torres Strait Islander	0
Buloke (S)	2011	Non-indigenous	6344
Buloke (S)	2011	Torres Strait Islander	6
Buloke (S)	2016	Aboriginal	53
Buloke (S)	2016	Both Aboriginal & Torres Strait Islander	0
Buloke (S)	2016	Non-indigenous	6135
Buloke (S)	2016	Torres Strait Islander	13
Campaspe (S)	2006	Aboriginal	632
Campaspe (S)	2006	Both Aboriginal & Torres Strait Islander	6
Campaspe (S)	2006	Non-indigenous	35548
Campaspe (S)	2006	Torres Strait Islander	23
Campaspe (S)	2011	Aboriginal	781
Campaspe (S)	2011	Both Aboriginal & Torres Strait Islander	13
Campaspe (S)	2011	Non-indigenous	35541
Campaspe (S)	2011	Torres Strait Islander	29
Campaspe (S)	2016	Aboriginal	825
Campaspe (S)	2016	Both Aboriginal & Torres Strait Islander	22
Campaspe (S)	2016	Non-indigenous	36178
Campaspe (S)	2016	Torres Strait Islander	36
Cardinia (S)	2006	Aboriginal	220
Cardinia (S)	2006	Both Aboriginal & Torres Strait Islander	0
Cardinia (S)	2006	Non-indigenous	56881
Cardinia (S)	2006	Torres Strait Islander	15
Cardinia (S)	2011	Aboriginal	399
Cardinia (S)	2011	Both Aboriginal & Torres Strait Islander	11
Cardinia (S)	2011	Non-indigenous	73746
Cardinia (S)	2011	Torres Strait Islander	19
Cardinia (S)	2016	Aboriginal	731
Cardinia (S)	2016	Both Aboriginal & Torres Strait Islander	17
Cardinia (S)	2016	Non-indigenous	93350
Cardinia (S)	2016	Torres Strait Islander	30
Casey (C)	2006	Aboriginal	1009
Casey (C)	2006	Both Aboriginal & Torres Strait Islander	29
Casey (C)	2006	Non-indigenous	213797
Casey (C)	2006	Torres Strait Islander	127
Casey (C)	2011	Aboriginal	1225
Casey (C)	2011	Both Aboriginal & Torres Strait Islander	33
Casey (C)	2011	Non-indigenous	250980
Casey (C)	2011	Torres Strait Islander	142
Casey (C)	2016	Aboriginal	1489
Casey (C)	2016	Both Aboriginal & Torres Strait Islander	43
Casey (C)	2016	Non-indigenous	297682
Casey (C)	2016	Torres Strait Islander	87
Central Goldfields (S)	2006	Aboriginal	86
Central Goldfields (S)	2006	Both Aboriginal & Torres Strait Islander	6
Central Goldfields (S)	2006	Non-indigenous	12218
Central Goldfields (S)	2006	Torres Strait Islander	14
Central Goldfields (S)	2011	Aboriginal	120
Central Goldfields (S)	2011	Both Aboriginal & Torres Strait Islander	6
Central Goldfields (S)	2011	Non-indigenous	12357
Central Goldfields (S)	2011	Torres Strait Islander	13
Central Goldfields (S)	2016	Aboriginal	174
Central Goldfields (S)	2016	Both Aboriginal & Torres Strait Islander	8
Central Goldfields (S)	2016	Non-indigenous	12800
Central Goldfields (S)	2016	Torres Strait Islander	13
Colac-Otway (S)	2006	Aboriginal	122
Colac-Otway (S)	2006	Both Aboriginal & Torres Strait Islander	0
Colac-Otway (S)	2006	Non-indigenous	20157
Colac-Otway (S)	2006	Torres Strait Islander	17
Colac-Otway (S)	2011	Aboriginal	166
Colac-Otway (S)	2011	Both Aboriginal & Torres Strait Islander	0
Colac-Otway (S)	2011	Non-indigenous	20170
Colac-Otway (S)	2011	Torres Strait Islander	11
Colac-Otway (S)	2016	Aboriginal	239
Colac-Otway (S)	2016	Both Aboriginal & Torres Strait Islander	3
Colac-Otway (S)	2016	Non-indigenous	20721
Colac-Otway (S)	2016	Torres Strait Islander	9
Corangamite (S)	2006	Aboriginal	68
Corangamite (S)	2006	Both Aboriginal & Torres Strait Islander	0
Corangamite (S)	2006	Non-indigenous	16539
Corangamite (S)	2006	Torres Strait Islander	12
Corangamite (S)	2011	Aboriginal	108
Corangamite (S)	2011	Both Aboriginal & Torres Strait Islander	0
Corangamite (S)	2011	Non-indigenous	16257
Corangamite (S)	2011	Torres Strait Islander	12
Corangamite (S)	2016	Aboriginal	147
Corangamite (S)	2016	Both Aboriginal & Torres Strait Islander	0
Corangamite (S)	2016	Non-indigenous	15893
Corangamite (S)	2016	Torres Strait Islander	11
Darebin (C)	2006	Aboriginal	1033
Darebin (C)	2006	Both Aboriginal & Torres Strait Islander	32
Darebin (C)	2006	Non-indigenous	126954
Darebin (C)	2006	Torres Strait Islander	44
Darebin (C)	2011	Aboriginal	1047
Darebin (C)	2011	Both Aboriginal & Torres Strait Islander	49
Darebin (C)	2011	Non-indigenous	135326
Darebin (C)	2011	Torres Strait Islander	52
Darebin (C)	2016	Aboriginal	1102
Darebin (C)	2016	Both Aboriginal & Torres Strait Islander	28
Darebin (C)	2016	Non-indigenous	145552
Darebin (C)	2016	Torres Strait Islander	37
East Gippsland (S)	2006	Aboriginal	1097
East Gippsland (S)	2006	Both Aboriginal & Torres Strait Islander	33
East Gippsland (S)	2006	Non-indigenous	38900
East Gippsland (S)	2006	Torres Strait Islander	8
East Gippsland (S)	2011	Aboriginal	1323
East Gippsland (S)	2011	Both Aboriginal & Torres Strait Islander	13
East Gippsland (S)	2011	Non-indigenous	40841
East Gippsland (S)	2011	Torres Strait Islander	16
East Gippsland (S)	2016	Aboriginal	1265
East Gippsland (S)	2016	Both Aboriginal & Torres Strait Islander	9
East Gippsland (S)	2016	Non-indigenous	43753
East Gippsland (S)	2016	Torres Strait Islander	13
Frankston (C)	2006	Aboriginal	661
Frankston (C)	2006	Both Aboriginal & Torres Strait Islander	22
Frankston (C)	2006	Non-indigenous	117049
Frankston (C)	2006	Torres Strait Islander	71
Frankston (C)	2011	Aboriginal	908
Frankston (C)	2011	Both Aboriginal & Torres Strait Islander	18
Frankston (C)	2011	Non-indigenous	125446
Frankston (C)	2011	Torres Strait Islander	84
Frankston (C)	2016	Aboriginal	1236
Frankston (C)	2016	Both Aboriginal & Torres Strait Islander	36
Frankston (C)	2016	Non-indigenous	132811
Frankston (C)	2016	Torres Strait Islander	60
Gannawarra (S)	2006	Aboriginal	138
Gannawarra (S)	2006	Both Aboriginal & Torres Strait Islander	3
Gannawarra (S)	2006	Non-indigenous	11141
Gannawarra (S)	2006	Torres Strait Islander	13
Gannawarra (S)	2011	Aboriginal	155
Gannawarra (S)	2011	Both Aboriginal & Torres Strait Islander	3
Gannawarra (S)	2011	Non-indigenous	10202
Gannawarra (S)	2011	Torres Strait Islander	6
Gannawarra (S)	2016	Aboriginal	197
Gannawarra (S)	2016	Both Aboriginal & Torres Strait Islander	0
Gannawarra (S)	2016	Non-indigenous	10348
Gannawarra (S)	2016	Torres Strait Islander	4
Glen Eira (C)	2006	Aboriginal	141
Glen Eira (C)	2006	Both Aboriginal & Torres Strait Islander	11
Glen Eira (C)	2006	Non-indigenous	123916
Glen Eira (C)	2006	Torres Strait Islander	15
Glen Eira (C)	2011	Aboriginal	208
Glen Eira (C)	2011	Both Aboriginal & Torres Strait Islander	16
Glen Eira (C)	2011	Non-indigenous	130779
Glen Eira (C)	2011	Torres Strait Islander	10
Glen Eira (C)	2016	Aboriginal	233
Glen Eira (C)	2016	Both Aboriginal & Torres Strait Islander	9
Glen Eira (C)	2016	Non-indigenous	140618
Glen Eira (C)	2016	Torres Strait Islander	15
Glenelg (S)	2006	Aboriginal	333
Glenelg (S)	2006	Both Aboriginal & Torres Strait Islander	19
Glenelg (S)	2006	Non-indigenous	19393
Glenelg (S)	2006	Torres Strait Islander	15
Glenelg (S)	2011	Aboriginal	382
Glenelg (S)	2011	Both Aboriginal & Torres Strait Islander	13
Glenelg (S)	2011	Non-indigenous	19170
Glenelg (S)	2011	Torres Strait Islander	10
Glenelg (S)	2016	Aboriginal	443
Glenelg (S)	2016	Both Aboriginal & Torres Strait Islander	23
Glenelg (S)	2016	Non-indigenous	19080
Glenelg (S)	2016	Torres Strait Islander	11
Golden Plains (S)	2006	Aboriginal	85
Golden Plains (S)	2006	Both Aboriginal & Torres Strait Islander	0
Golden Plains (S)	2006	Non-indigenous	16360
Golden Plains (S)	2006	Torres Strait Islander	8
Golden Plains (S)	2011	Aboriginal	118
Golden Plains (S)	2011	Both Aboriginal & Torres Strait Islander	6
Golden Plains (S)	2011	Non-indigenous	18638
Golden Plains (S)	2011	Torres Strait Islander	10
Golden Plains (S)	2016	Aboriginal	197
Golden Plains (S)	2016	Both Aboriginal & Torres Strait Islander	7
Golden Plains (S)	2016	Non-indigenous	21480
Golden Plains (S)	2016	Torres Strait Islander	4
Greater Bendigo (C)	2006	Aboriginal	922
Greater Bendigo (C)	2006	Both Aboriginal & Torres Strait Islander	19
Greater Bendigo (C)	2006	Non-indigenous	92230
Greater Bendigo (C)	2006	Torres Strait Islander	83
Greater Bendigo (C)	2011	Aboriginal	1341
Greater Bendigo (C)	2011	Both Aboriginal & Torres Strait Islander	29
Greater Bendigo (C)	2011	Non-indigenous	99174
Greater Bendigo (C)	2011	Torres Strait Islander	73
Greater Bendigo (C)	2016	Aboriginal	1746
Greater Bendigo (C)	2016	Both Aboriginal & Torres Strait Islander	40
Greater Bendigo (C)	2016	Non-indigenous	108631
Greater Bendigo (C)	2016	Torres Strait Islander	60
Greater Dandenong (C)	2006	Aboriginal	392
Greater Dandenong (C)	2006	Both Aboriginal & Torres Strait Islander	23
Greater Dandenong (C)	2006	Non-indigenous	125030
Greater Dandenong (C)	2006	Torres Strait Islander	73
Greater Dandenong (C)	2011	Aboriginal	402
Greater Dandenong (C)	2011	Both Aboriginal & Torres Strait Islander	17
Greater Dandenong (C)	2011	Non-indigenous	135119
Greater Dandenong (C)	2011	Torres Strait Islander	67
Greater Dandenong (C)	2016	Aboriginal	447
Greater Dandenong (C)	2016	Both Aboriginal & Torres Strait Islander	18
Greater Dandenong (C)	2016	Non-indigenous	151536
Greater Dandenong (C)	2016	Torres Strait Islander	49
Greater Geelong (C)	2006	Aboriginal	1300
Greater Geelong (C)	2006	Both Aboriginal & Torres Strait Islander	43
Greater Geelong (C)	2006	Non-indigenous	196042
Greater Geelong (C)	2006	Torres Strait Islander	92
Greater Geelong (C)	2011	Aboriginal	1663
Greater Geelong (C)	2011	Both Aboriginal & Torres Strait Islander	31
Greater Geelong (C)	2011	Non-indigenous	209086
Greater Geelong (C)	2011	Torres Strait Islander	93
Greater Geelong (C)	2016	Aboriginal	2260
Greater Geelong (C)	2016	Both Aboriginal & Torres Strait Islander	48
Greater Geelong (C)	2016	Non-indigenous	231028
Greater Geelong (C)	2016	Torres Strait Islander	93
Greater Shepparton (C)	2006	Aboriginal	1718
Greater Shepparton (C)	2006	Both Aboriginal & Torres Strait Islander	42
Greater Shepparton (C)	2006	Non-indigenous	55274
Greater Shepparton (C)	2006	Torres Strait Islander	56
Greater Shepparton (C)	2011	Aboriginal	2001
Greater Shepparton (C)	2011	Both Aboriginal & Torres Strait Islander	33
Greater Shepparton (C)	2011	Non-indigenous	58370
Greater Shepparton (C)	2011	Torres Strait Islander	44
Greater Shepparton (C)	2016	Aboriginal	2061
Greater Shepparton (C)	2016	Both Aboriginal & Torres Strait Islander	67
Greater Shepparton (C)	2016	Non-indigenous	61648
Greater Shepparton (C)	2016	Torres Strait Islander	61
Hepburn (S)	2006	Aboriginal	68
Hepburn (S)	2006	Both Aboriginal & Torres Strait Islander	4
Hepburn (S)	2006	Non-indigenous	13645
Hepburn (S)	2006	Torres Strait Islander	15
Hepburn (S)	2011	Aboriginal	79
Hepburn (S)	2011	Both Aboriginal & Torres Strait Islander	0
Hepburn (S)	2011	Non-indigenous	14280
Hepburn (S)	2011	Torres Strait Islander	9
Hepburn (S)	2016	Aboriginal	145
Hepburn (S)	2016	Both Aboriginal & Torres Strait Islander	0
Hepburn (S)	2016	Non-indigenous	15182
Hepburn (S)	2016	Torres Strait Islander	3
Hindmarsh (S)	2006	Aboriginal	60
Hindmarsh (S)	2006	Both Aboriginal & Torres Strait Islander	0
Hindmarsh (S)	2006	Non-indigenous	5977
Hindmarsh (S)	2006	Torres Strait Islander	3
Hindmarsh (S)	2011	Aboriginal	88
Hindmarsh (S)	2011	Both Aboriginal & Torres Strait Islander	0
Hindmarsh (S)	2011	Non-indigenous	5706
Hindmarsh (S)	2011	Torres Strait Islander	3
Hindmarsh (S)	2016	Aboriginal	78
Hindmarsh (S)	2016	Both Aboriginal & Torres Strait Islander	4
Hindmarsh (S)	2016	Non-indigenous	5639
Hindmarsh (S)	2016	Torres Strait Islander	0
Hobsons Bay (C)	2006	Aboriginal	265
Hobsons Bay (C)	2006	Both Aboriginal & Torres Strait Islander	22
Hobsons Bay (C)	2006	Non-indigenous	81153
Hobsons Bay (C)	2006	Torres Strait Islander	22
Hobsons Bay (C)	2011	Aboriginal	359
Hobsons Bay (C)	2011	Both Aboriginal & Torres Strait Islander	6
Hobsons Bay (C)	2011	Non-indigenous	83470
Hobsons Bay (C)	2011	Torres Strait Islander	29
Hobsons Bay (C)	2016	Aboriginal	452
Hobsons Bay (C)	2016	Both Aboriginal & Torres Strait Islander	16
Hobsons Bay (C)	2016	Non-indigenous	88288
Hobsons Bay (C)	2016	Torres Strait Islander	22
Horsham (RC)	2006	Aboriginal	187
Horsham (RC)	2006	Both Aboriginal & Torres Strait Islander	3
Horsham (RC)	2006	Non-indigenous	18279
Horsham (RC)	2006	Torres Strait Islander	28
Horsham (RC)	2011	Aboriginal	269
Horsham (RC)	2011	Both Aboriginal & Torres Strait Islander	3
Horsham (RC)	2011	Non-indigenous	18998
Horsham (RC)	2011	Torres Strait Islander	9
Horsham (RC)	2016	Aboriginal	270
Horsham (RC)	2016	Both Aboriginal & Torres Strait Islander	3
Horsham (RC)	2016	Non-indigenous	19352
Horsham (RC)	2016	Torres Strait Islander	17
Hume (C)	2006	Aboriginal	776
Hume (C)	2006	Both Aboriginal & Torres Strait Islander	23
Hume (C)	2006	Non-indigenous	146888
Hume (C)	2006	Torres Strait Islander	96
Hume (C)	2011	Aboriginal	953
Hume (C)	2011	Both Aboriginal & Torres Strait Islander	30
Hume (C)	2011	Non-indigenous	166508
Hume (C)	2011	Torres Strait Islander	72
Hume (C)	2016	Aboriginal	1326
Hume (C)	2016	Both Aboriginal & Torres Strait Islander	33
Hume (C)	2016	Non-indigenous	195921
Hume (C)	2016	Torres Strait Islander	96
Indigo (S)	2006	Aboriginal	87
Indigo (S)	2006	Both Aboriginal & Torres Strait Islander	3
Indigo (S)	2006	Non-indigenous	14702
Indigo (S)	2006	Torres Strait Islander	9
Indigo (S)	2011	Aboriginal	132
Indigo (S)	2011	Both Aboriginal & Torres Strait Islander	0
Indigo (S)	2011	Non-indigenous	15041
Indigo (S)	2011	Torres Strait Islander	6
Indigo (S)	2016	Aboriginal	186
Indigo (S)	2016	Both Aboriginal & Torres Strait Islander	0
Indigo (S)	2016	Non-indigenous	15750
Indigo (S)	2016	Torres Strait Islander	16
Kingston (C) (Vic.)	2006	Aboriginal	234
Kingston (C) (Vic.)	2006	Both Aboriginal & Torres Strait Islander	14
Kingston (C) (Vic.)	2006	Non-indigenous	134335
Kingston (C) (Vic.)	2006	Torres Strait Islander	40
Kingston (C) (Vic.)	2011	Aboriginal	321
Kingston (C) (Vic.)	2011	Both Aboriginal & Torres Strait Islander	22
Kingston (C) (Vic.)	2011	Non-indigenous	142047
Kingston (C) (Vic.)	2011	Torres Strait Islander	36
Kingston (C) (Vic.)	2016	Aboriginal	523
Kingston (C) (Vic.)	2016	Both Aboriginal & Torres Strait Islander	16
Kingston (C) (Vic.)	2016	Non-indigenous	150810
Kingston (C) (Vic.)	2016	Torres Strait Islander	40
Knox (C)	2006	Aboriginal	433
Knox (C)	2006	Both Aboriginal & Torres Strait Islander	11
Knox (C)	2006	Non-indigenous	146259
Knox (C)	2006	Torres Strait Islander	36
Knox (C)	2011	Aboriginal	501
Knox (C)	2011	Both Aboriginal & Torres Strait Islander	13
Knox (C)	2011	Non-indigenous	148759
Knox (C)	2011	Torres Strait Islander	28
Knox (C)	2016	Aboriginal	710
Knox (C)	2016	Both Aboriginal & Torres Strait Islander	8
Knox (C)	2016	Non-indigenous	153357
Knox (C)	2016	Torres Strait Islander	35
Latrobe (C) (Vic.)	2006	Aboriginal	820
Latrobe (C) (Vic.)	2006	Both Aboriginal & Torres Strait Islander	20
Latrobe (C) (Vic.)	2006	Non-indigenous	68457
Latrobe (C) (Vic.)	2006	Torres Strait Islander	29
Latrobe (C) (Vic.)	2011	Aboriginal	988
Latrobe (C) (Vic.)	2011	Both Aboriginal & Torres Strait Islander	21
Latrobe (C) (Vic.)	2011	Non-indigenous	71341
Latrobe (C) (Vic.)	2011	Torres Strait Islander	45
Latrobe (C) (Vic.)	2016	Aboriginal	1102
Latrobe (C) (Vic.)	2016	Both Aboriginal & Torres Strait Islander	37
Latrobe (C) (Vic.)	2016	Non-indigenous	72073
Latrobe (C) (Vic.)	2016	Torres Strait Islander	45
Loddon (S)	2006	Aboriginal	73
Loddon (S)	2006	Both Aboriginal & Torres Strait Islander	0
Loddon (S)	2006	Non-indigenous	7756
Loddon (S)	2006	Torres Strait Islander	6
Loddon (S)	2011	Aboriginal	96
Loddon (S)	2011	Both Aboriginal & Torres Strait Islander	0
Loddon (S)	2011	Non-indigenous	7361
Loddon (S)	2011	Torres Strait Islander	3
Loddon (S)	2016	Aboriginal	102
Loddon (S)	2016	Both Aboriginal & Torres Strait Islander	7
Loddon (S)	2016	Non-indigenous	7402
Loddon (S)	2016	Torres Strait Islander	5
Macedon Ranges (S)	2006	Aboriginal	142
Macedon Ranges (S)	2006	Both Aboriginal & Torres Strait Islander	4
Macedon Ranges (S)	2006	Non-indigenous	38194
Macedon Ranges (S)	2006	Torres Strait Islander	22
Macedon Ranges (S)	2011	Aboriginal	174
Macedon Ranges (S)	2011	Both Aboriginal & Torres Strait Islander	3
Macedon Ranges (S)	2011	Non-indigenous	41661
Macedon Ranges (S)	2011	Torres Strait Islander	22
Macedon Ranges (S)	2016	Aboriginal	275
Macedon Ranges (S)	2016	Both Aboriginal & Torres Strait Islander	5
Macedon Ranges (S)	2016	Non-indigenous	45803
Macedon Ranges (S)	2016	Torres Strait Islander	17
Manningham (C)	2006	Aboriginal	98
Manningham (C)	2006	Both Aboriginal & Torres Strait Islander	0
Manningham (C)	2006	Non-indigenous	109802
Manningham (C)	2006	Torres Strait Islander	16
Manningham (C)	2011	Aboriginal	135
Manningham (C)	2011	Both Aboriginal & Torres Strait Islander	3
Manningham (C)	2011	Non-indigenous	111153
Manningham (C)	2011	Torres Strait Islander	10
Manningham (C)	2016	Aboriginal	182
Manningham (C)	2016	Both Aboriginal & Torres Strait Islander	8
Manningham (C)	2016	Non-indigenous	116040
Manningham (C)	2016	Torres Strait Islander	25
Mansfield (S)	2006	Aboriginal	28
Mansfield (S)	2006	Both Aboriginal & Torres Strait Islander	6
Mansfield (S)	2006	Non-indigenous	7154
Mansfield (S)	2006	Torres Strait Islander	4
Mansfield (S)	2011	Aboriginal	54
Mansfield (S)	2011	Both Aboriginal & Torres Strait Islander	0
Mansfield (S)	2011	Non-indigenous	7834
Mansfield (S)	2011	Torres Strait Islander	3
Mansfield (S)	2016	Aboriginal	60
Mansfield (S)	2016	Both Aboriginal & Torres Strait Islander	0
Mansfield (S)	2016	Non-indigenous	8521
Mansfield (S)	2016	Torres Strait Islander	3
Maribyrnong (C)	2006	Aboriginal	218
Maribyrnong (C)	2006	Both Aboriginal & Torres Strait Islander	9
Maribyrnong (C)	2006	Non-indigenous	62888
Maribyrnong (C)	2006	Torres Strait Islander	28
Maribyrnong (C)	2011	Aboriginal	295
Maribyrnong (C)	2011	Both Aboriginal & Torres Strait Islander	11
Maribyrnong (C)	2011	Non-indigenous	71308
Maribyrnong (C)	2011	Torres Strait Islander	19
Maribyrnong (C)	2016	Aboriginal	399
Maribyrnong (C)	2016	Both Aboriginal & Torres Strait Islander	0
Maribyrnong (C)	2016	Non-indigenous	81859
Maribyrnong (C)	2016	Torres Strait Islander	30
Maroondah (C)	2006	Aboriginal	309
Maroondah (C)	2006	Both Aboriginal & Torres Strait Islander	3
Maroondah (C)	2006	Non-indigenous	98859
Maroondah (C)	2006	Torres Strait Islander	28
Maroondah (C)	2011	Aboriginal	378
Maroondah (C)	2011	Both Aboriginal & Torres Strait Islander	4
Maroondah (C)	2011	Non-indigenous	103430
Maroondah (C)	2011	Torres Strait Islander	28
Maroondah (C)	2016	Aboriginal	534
Maroondah (C)	2016	Both Aboriginal & Torres Strait Islander	10
Maroondah (C)	2016	Non-indigenous	109807
Maroondah (C)	2016	Torres Strait Islander	25
Melbourne (C)	2006	Aboriginal	212
Melbourne (C)	2006	Both Aboriginal & Torres Strait Islander	8
Melbourne (C)	2006	Non-indigenous	75909
Melbourne (C)	2006	Torres Strait Islander	18
Melbourne (C)	2011	Aboriginal	233
Melbourne (C)	2011	Both Aboriginal & Torres Strait Islander	11
Melbourne (C)	2011	Non-indigenous	93371
Melbourne (C)	2011	Torres Strait Islander	10
Melbourne (C)	2016	Aboriginal	421
Melbourne (C)	2016	Both Aboriginal & Torres Strait Islander	25
Melbourne (C)	2016	Non-indigenous	135488
Melbourne (C)	2016	Torres Strait Islander	25
Melton (C)	2006	Aboriginal	434
Melton (C)	2006	Both Aboriginal & Torres Strait Islander	30
Melton (C)	2006	Non-indigenous	78403
Melton (C)	2006	Torres Strait Islander	42
Melton (C)	2011	Aboriginal	736
Melton (C)	2011	Both Aboriginal & Torres Strait Islander	19
Melton (C)	2011	Non-indigenous	108470
Melton (C)	2011	Torres Strait Islander	33
Melton (C)	2016	Aboriginal	1228
Melton (C)	2016	Both Aboriginal & Torres Strait Islander	20
Melton (C)	2016	Non-indigenous	134160
Melton (C)	2016	Torres Strait Islander	35
Mildura (RC)	2006	Aboriginal	1348
Mildura (RC)	2006	Both Aboriginal & Torres Strait Islander	34
Mildura (RC)	2006	Non-indigenous	48379
Mildura (RC)	2006	Torres Strait Islander	53
Mildura (RC)	2011	Aboriginal	1736
Mildura (RC)	2011	Both Aboriginal & Torres Strait Islander	49
Mildura (RC)	2011	Non-indigenous	49143
Mildura (RC)	2011	Torres Strait Islander	51
Mildura (RC)	2016	Aboriginal	1963
Mildura (RC)	2016	Both Aboriginal & Torres Strait Islander	44
Mildura (RC)	2016	Non-indigenous	51813
Mildura (RC)	2016	Torres Strait Islander	58
Mitchell (S)	2006	Aboriginal	313
Mitchell (S)	2006	Both Aboriginal & Torres Strait Islander	8
Mitchell (S)	2006	Non-indigenous	30587
Mitchell (S)	2006	Torres Strait Islander	21
Mitchell (S)	2011	Aboriginal	370
Mitchell (S)	2011	Both Aboriginal & Torres Strait Islander	17
Mitchell (S)	2011	Non-indigenous	34232
Mitchell (S)	2011	Torres Strait Islander	18
Mitchell (S)	2016	Aboriginal	620
Mitchell (S)	2016	Both Aboriginal & Torres Strait Islander	10
Mitchell (S)	2016	Non-indigenous	40269
Mitchell (S)	2016	Torres Strait Islander	19
Moira (S)	2006	Aboriginal	273
Moira (S)	2006	Both Aboriginal & Torres Strait Islander	16
Moira (S)	2006	Non-indigenous	26772
Moira (S)	2006	Torres Strait Islander	22
Moira (S)	2011	Aboriginal	352
Moira (S)	2011	Both Aboriginal & Torres Strait Islander	16
Moira (S)	2011	Non-indigenous	27729
Moira (S)	2011	Torres Strait Islander	27
Moira (S)	2016	Aboriginal	466
Moira (S)	2016	Both Aboriginal & Torres Strait Islander	11
Moira (S)	2016	Non-indigenous	28616
Moira (S)	2016	Torres Strait Islander	19
Monash (C)	2006	Aboriginal	295
Monash (C)	2006	Both Aboriginal & Torres Strait Islander	4
Monash (C)	2006	Non-indigenous	160903
Monash (C)	2006	Torres Strait Islander	39
Monash (C)	2011	Aboriginal	319
Monash (C)	2011	Both Aboriginal & Torres Strait Islander	9
Monash (C)	2011	Non-indigenous	168926
Monash (C)	2011	Torres Strait Islander	30
Monash (C)	2016	Aboriginal	367
Monash (C)	2016	Both Aboriginal & Torres Strait Islander	19
Monash (C)	2016	Non-indigenous	182211
Monash (C)	2016	Torres Strait Islander	21
Moonee Valley (C)	2006	Aboriginal	248
Moonee Valley (C)	2006	Both Aboriginal & Torres Strait Islander	13
Moonee Valley (C)	2006	Non-indigenous	102030
Moonee Valley (C)	2006	Torres Strait Islander	34
Moonee Valley (C)	2011	Aboriginal	278
Moonee Valley (C)	2011	Both Aboriginal & Torres Strait Islander	11
Moonee Valley (C)	2011	Non-indigenous	107119
Moonee Valley (C)	2011	Torres Strait Islander	35
Moonee Valley (C)	2016	Aboriginal	389
Moonee Valley (C)	2016	Both Aboriginal & Torres Strait Islander	17
Moonee Valley (C)	2016	Non-indigenous	116241
Moonee Valley (C)	2016	Torres Strait Islander	24
Moorabool (S)	2006	Aboriginal	140
Moorabool (S)	2006	Both Aboriginal & Torres Strait Islander	0
Moorabool (S)	2006	Non-indigenous	25308
Moorabool (S)	2006	Torres Strait Islander	29
Moorabool (S)	2011	Aboriginal	242
Moorabool (S)	2011	Both Aboriginal & Torres Strait Islander	3
Moorabool (S)	2011	Non-indigenous	27863
Moorabool (S)	2011	Torres Strait Islander	17
Moorabool (S)	2016	Aboriginal	347
Moorabool (S)	2016	Both Aboriginal & Torres Strait Islander	8
Moorabool (S)	2016	Non-indigenous	31453
Moorabool (S)	2016	Torres Strait Islander	10
Moreland (C)	2006	Aboriginal	539
Moreland (C)	2006	Both Aboriginal & Torres Strait Islander	36
Moreland (C)	2006	Non-indigenous	135139
Moreland (C)	2006	Torres Strait Islander	52
Moreland (C)	2011	Aboriginal	629
Moreland (C)	2011	Both Aboriginal & Torres Strait Islander	24
