LGA_NAME16	Year	persons
Anangu Pitjantjatjara (AC)	2006	2235
Anangu Pitjantjatjara (AC)	2011	2439
Anangu Pitjantjatjara (AC)	2016	2276
Barossa (DC)	2006	20550
Barossa (DC)	2011	22167
Barossa (DC)	2016	23558
Barunga West (DC)	2006	2544
Barunga West (DC)	2011	2456
Barunga West (DC)	2016	2544
Berri and Barmera (DC)	2006	10935
Berri and Barmera (DC)	2011	10567
Berri and Barmera (DC)	2016	10545
Burnside (C)	2006	41955
Burnside (C)	2011	42192
Burnside (C)	2016	43911
Campbelltown (C) (SA)	2006	46159
Campbelltown (C) (SA)	2011	48162
Campbelltown (C) (SA)	2016	50164
Ceduna (DC)	2006	3574
Ceduna (DC)	2011	3480
Ceduna (DC)	2016	3408
Charles Sturt (C)	2006	100533
Charles Sturt (C)	2011	104984
Charles Sturt (C)	2016	111759
Clare and Gilbert Valleys (DC)	2006	8144
Clare and Gilbert Valleys (DC)	2011	8751
Clare and Gilbert Valleys (DC)	2016	9023
Cleve (DC)	2006	2029
Cleve (DC)	2011	1790
Cleve (DC)	2016	1771
Coober Pedy (DC)	2006	1911
Coober Pedy (DC)	2011	1694
Coober Pedy (DC)	2016	1762
Copper Coast (DC)	2006	11445
Copper Coast (DC)	2011	12947
Copper Coast (DC)	2016	14139
Elliston (DC)	2006	1132
Elliston (DC)	2011	1048
Elliston (DC)	2016	1045
Flinders Ranges (DC)	2006	1727
Flinders Ranges (DC)	2011	1701
Flinders Ranges (DC)	2016	1643
Franklin Harbour (DC)	2006	1146
Franklin Harbour (DC)	2011	1213
Franklin Harbour (DC)	2016	1298
Gawler (T)	2006	18911
Gawler (T)	2011	20537
Gawler (T)	2016	23034
Goyder (DC)	2006	4181
Goyder (DC)	2011	4163
Goyder (DC)	2016	4136
Grant (DC)	2006	7274
Grant (DC)	2011	7856
Grant (DC)	2016	8203
Holdfast Bay (C)	2006	33301
Holdfast Bay (C)	2011	34604
Holdfast Bay (C)	2016	35360
Kangaroo Island (DC)	2006	4258
Kangaroo Island (DC)	2011	4416
Kangaroo Island (DC)	2016	4702
Karoonda East Murray (DC)	2006	1163
Karoonda East Murray (DC)	2011	1033
Karoonda East Murray (DC)	2016	1090
Kimba (DC)	2006	1114
Kimba (DC)	2011	1089
Kimba (DC)	2016	1061
Kingston (DC) (SA)	2006	2327
Kingston (DC) (SA)	2011	2280
Kingston (DC) (SA)	2016	2349
Light (RegC)	2006	12362
Light (RegC)	2011	13783
Light (RegC)	2016	14736
Lower Eyre Peninsula (DC)	2006	4404
Lower Eyre Peninsula (DC)	2011	4916
Lower Eyre Peninsula (DC)	2016	5510
Loxton Waikerie (DC)	2006	11607
Loxton Waikerie (DC)	2011	11288
Loxton Waikerie (DC)	2016	11487
Mallala (DC)	2006	7904
Mallala (DC)	2011	8346
Mallala (DC)	2016	8801
Maralinga Tjarutja (AC)	2006	105
Maralinga Tjarutja (AC)	2011	73
Maralinga Tjarutja (AC)	2016	59
Marion (C)	2006	78703
Marion (C)	2011	82991
Marion (C)	2016	88618
Mid Murray (DC)	2006	8039
Mid Murray (DC)	2011	8136
Mid Murray (DC)	2016	8642
Mitcham (C)	2006	61849
Mitcham (C)	2011	62899
Mitcham (C)	2016	64805
Mount Barker (DC)	2006	26435
Mount Barker (DC)	2011	29766
Mount Barker (DC)	2016	33397
Mount Gambier (C)	2006	24087
Mount Gambier (C)	2011	25249
Mount Gambier (C)	2016	26276
Mount Remarkable (DC)	2006	2843
Mount Remarkable (DC)	2011	2874
Mount Remarkable (DC)	2016	2864
Murray Bridge (RC)	2006	17678
Murray Bridge (RC)	2011	19742
Murray Bridge (RC)	2016	20858
Naracoorte and Lucindale (DC)	2006	8082
Naracoorte and Lucindale (DC)	2011	8115
Naracoorte and Lucindale (DC)	2016	8291
Northern Areas (DC)	2006	4649
Northern Areas (DC)	2011	4505
Northern Areas (DC)	2016	4524
Norwood Payneham St Peters (C)	2006	33729
Norwood Payneham St Peters (C)	2011	34887
Norwood Payneham St Peters (C)	2016	35362
Onkaparinga (C)	2006	149733
Onkaparinga (C)	2011	159575
Onkaparinga (C)	2016	166766
Orroroo/Carrieton (DC)	2006	936
Orroroo/Carrieton (DC)	2011	873
Orroroo/Carrieton (DC)	2016	895
Peterborough (DC)	2006	1904
Peterborough (DC)	2011	1731
Peterborough (DC)	2016	1678
Playford (C)	2006	70013
Playford (C)	2011	79118
Playford (C)	2016	89372
Port Adelaide Enfield (C)	2006	102929
Port Adelaide Enfield (C)	2011	112816
Port Adelaide Enfield (C)	2016	121230
Port Augusta (C)	2006	13875
Port Augusta (C)	2011	13986
Port Augusta (C)	2016	13808
Port Lincoln (C)	2006	13604
Port Lincoln (C)	2011	14086
Port Lincoln (C)	2016	14064
Port Pirie City and Dists (M)	2006	17139
Port Pirie City and Dists (M)	2011	17332
Port Pirie City and Dists (M)	2016	17364
Prospect (C)	2006	19293
Prospect (C)	2011	19955
Prospect (C)	2016	20527
Renmark Paringa (DC)	2006	9452
Renmark Paringa (DC)	2011	9244
Renmark Paringa (DC)	2016	9475
Robe (DC)	2006	1702
Robe (DC)	2011	1398
Robe (DC)	2016	1378
Roxby Downs (M)	2006	4056
Roxby Downs (M)	2011	4702
Roxby Downs (M)	2016	3884
Salisbury (C)	2006	118424
Salisbury (C)	2011	129108
Salisbury (C)	2016	137979
Southern Mallee (DC)	2006	2138
Southern Mallee (DC)	2011	2101
Southern Mallee (DC)	2016	2027
Streaky Bay (DC)	2006	2021
Streaky Bay (DC)	2011	2102
Streaky Bay (DC)	2016	2074
Tatiara (DC)	2006	6865
Tatiara (DC)	2011	6554
Tatiara (DC)	2016	6620
Tea Tree Gully (C)	2006	95973
Tea Tree Gully (C)	2011	95467
Tea Tree Gully (C)	2016	97734
The Coorong (DC)	2006	5666
The Coorong (DC)	2011	5523
The Coorong (DC)	2016	5380
Tumby Bay (DC)	2006	2538
Tumby Bay (DC)	2011	2588
Tumby Bay (DC)	2016	2610
Unley (C)	2006	35999
Unley (C)	2011	36838
Unley (C)	2016	37721
Victor Harbor (C)	2006	12013
Victor Harbor (C)	2011	13841
Victor Harbor (C)	2016	14665
Wakefield (DC)	2006	6369
Wakefield (DC)	2011	6660
Wakefield (DC)	2016	6801
Walkerville (M)	2006	6962
Walkerville (M)	2011	7001
Walkerville (M)	2016	7550
Wattle Range (DC)	2006	11888
Wattle Range (DC)	2011	11624
Wattle Range (DC)	2016	11677
West Torrens (C)	2006	52159
West Torrens (C)	2011	54962
West Torrens (C)	2016	57901
Whyalla (C)	2006	21417
Whyalla (C)	2011	22089
Whyalla (C)	2016	21828
Wudinna (DC)	2006	1312
Wudinna (DC)	2011	1253
Wudinna (DC)	2016	1250
Yankalilla (DC)	2006	4151
Yankalilla (DC)	2011	4396
Yankalilla (DC)	2016	5159
Yorke Peninsula (DC)	2006	11192
Yorke Peninsula (DC)	2011	11025
Yorke Peninsula (DC)	2016	11056
Unincorporated SA	2006	3743
Unincorporated SA	2011	4444
Unincorporated SA	2016	3524
No usual address (SA)	2006	2618
No usual address (SA)	2011	3069
No usual address (SA)	2016	2863
Migratory - Offshore - Shipping (SA)	2006	6
Migratory - Offshore - Shipping (SA)	2011	5
Migratory - Offshore - Shipping (SA)	2016	3
Albany (C)	2006	31573
Albany (C)	2011	33651
Albany (C)	2016	36583
Armadale (C)	2006	50537
Armadale (C)	2011	62297
Armadale (C)	2016	79602
Ashburton (S)	2006	6080
Ashburton (S)	2011	10001
Ashburton (S)	2016	13026
Augusta-Margaret River (S)	2006	10350
Augusta-Margaret River (S)	2011	11761
Augusta-Margaret River (S)	2016	14258
Bassendean (T)	2006	13463
Bassendean (T)	2011	14405
Bassendean (T)	2016	15092
Bayswater (C)	2006	55803
Bayswater (C)	2011	61264
Bayswater (C)	2016	64677
Belmont (C)	2006	30334
Belmont (C)	2011	35208
Belmont (C)	2016	39682
Beverley (S)	2006	1563
Beverley (S)	2011	1567
Beverley (S)	2016	1745
Boddington (S)	2006	1380
Boddington (S)	2011	2228
Boddington (S)	2016	1844
Boyup Brook (S)	2006	1482
Boyup Brook (S)	2011	1589
Boyup Brook (S)	2016	1701
Bridgetown-Greenbushes (S)	2006	3953
Bridgetown-Greenbushes (S)	2011	4318
Bridgetown-Greenbushes (S)	2016	4660
Brookton (S)	2006	983
Brookton (S)	2011	932
Brookton (S)	2016	975
Broome (S)	2006	13061
Broome (S)	2011	14998
Broome (S)	2016	16222
Broomehill-Tambellup (S)	2006	1137
Broomehill-Tambellup (S)	2011	1140
Broomehill-Tambellup (S)	2016	1144
Bruce Rock (S)	2006	951
Bruce Rock (S)	2011	975
Bruce Rock (S)	2016	930
Bunbury (C)	2006	29700
Bunbury (C)	2011	31348
Bunbury (C)	2016	31919
Busselton (C)	2006	25358
Busselton (C)	2011	30331
Busselton (C)	2016	36686
Cambridge (T)	2006	23754
Cambridge (T)	2011	24965
Cambridge (T)	2016	26783
Canning (C)	2006	77525
Canning (C)	2011	85515
Canning (C)	2016	90184
Capel (S)	2006	10209
Capel (S)	2011	14637
Capel (S)	2016	17123
Carnamah (S)	2006	747
Carnamah (S)	2011	547
Carnamah (S)	2016	548
Carnarvon (S)	2006	5684
Carnarvon (S)	2011	5786
Carnarvon (S)	2016	5528
Chapman Valley (S)	2006	915
Chapman Valley (S)	2011	1173
Chapman Valley (S)	2016	1422
Chittering (S)	2006	3517
Chittering (S)	2011	4427
Chittering (S)	2016	5472
Claremont (T)	2006	8942
Claremont (T)	2011	9279
Claremont (T)	2016	10054
Cockburn (C)	2006	74471
Cockburn (C)	2011	89685
Cockburn (C)	2016	104473
Collie (S)	2006	8613
Collie (S)	2011	9126
Collie (S)	2016	8798
Coolgardie (S)	2006	3800
Coolgardie (S)	2011	4000
Coolgardie (S)	2016	3610
Coorow (S)	2006	1201
Coorow (S)	2011	1065
Coorow (S)	2016	1036
Corrigin (S)	2006	1142
Corrigin (S)	2011	1063
Corrigin (S)	2016	1146
Cottesloe (T)	2006	7256
Cottesloe (T)	2011	7605
Cottesloe (T)	2016	7597
Cranbrook (S)	2006	1061
Cranbrook (S)	2011	1081
Cranbrook (S)	2016	1089
Cuballing (S)	2006	785
Cuballing (S)	2011	871
Cuballing (S)	2016	863
Cue (S)	2006	321
Cue (S)	2011	272
Cue (S)	2016	194
Cunderdin (S)	2006	1247
Cunderdin (S)	2011	1311
Cunderdin (S)	2016	1457
Dalwallinu (S)	2006	1368
Dalwallinu (S)	2011	1266
Dalwallinu (S)	2016	1429
Dandaragan (S)	2006	2885
Dandaragan (S)	2011	3185
Dandaragan (S)	2016	3213
Dardanup (S)	2006	10339
Dardanup (S)	2011	12404
Dardanup (S)	2016	14033
Denmark (S)	2006	4509
Denmark (S)	2011	5194
Denmark (S)	2016	5845
Derby-West Kimberley (S)	2006	6554
Derby-West Kimberley (S)	2011	8434
Derby-West Kimberley (S)	2016	7730
Donnybrook-Balingup (S)	2006	4735
Donnybrook-Balingup (S)	2011	5322
Donnybrook-Balingup (S)	2016	5870
Dowerin (S)	2006	703
Dowerin (S)	2011	676
Dowerin (S)	2016	690
Dumbleyung (S)	2006	629
Dumbleyung (S)	2011	603
Dumbleyung (S)	2016	671
Dundas (S)	2006	1068
Dundas (S)	2011	1143
Dundas (S)	2016	772
East Fremantle (T)	2006	6700
East Fremantle (T)	2011	6932
East Fremantle (T)	2016	7376
East Pilbara (S)	2006	6546
East Pilbara (S)	2011	11950
East Pilbara (S)	2016	10591
Esperance (S)	2006	12963
Esperance (S)	2011	13477
Esperance (S)	2016	14236
Exmouth (S)	2006	2062
Exmouth (S)	2011	2393
Exmouth (S)	2016	2728
Fremantle (C)	2006	24834
Fremantle (C)	2011	26583
Fremantle (C)	2016	28893
Gingin (S)	2006	4316
Gingin (S)	2011	4687
Gingin (S)	2016	5217
Gnowangerup (S)	2006	1365
Gnowangerup (S)	2011	1271
Gnowangerup (S)	2016	1215
Goomalling (S)	2006	936
Goomalling (S)	2011	986
Goomalling (S)	2016	1033
Gosnells (C)	2006	91582
Gosnells (C)	2011	106584
Gosnells (C)	2016	118073
Greater Geraldton (C)	2006	33864
Greater Geraldton (C)	2011	37157
Greater Geraldton (C)	2016	38634
Halls Creek (S)	2006	3086
Halls Creek (S)	2011	3562
Halls Creek (S)	2016	3269
Harvey (S)	2006	19556
Harvey (S)	2011	23238
Harvey (S)	2016	26553
Irwin (S)	2006	3052
Irwin (S)	2011	3568
Irwin (S)	2016	3569
Jerramungup (S)	2006	1126
Jerramungup (S)	2011	1053
Jerramungup (S)	2016	1109
Joondalup (C)	2006	149675
Joondalup (C)	2011	152405
Joondalup (C)	2016	154445
Kalamunda (S)	2006	49534
Kalamunda (S)	2011	53568
Kalamunda (S)	2016	57449
Kalgoorlie/Boulder (C)	2006	28423
Kalgoorlie/Boulder (C)	2011	31109
Kalgoorlie/Boulder (C)	2016	30059
Karratha (C)	2006	16419
Karratha (C)	2011	22899
Karratha (C)	2016	21473
Katanning (S)	2006	4208
Katanning (S)	2011	4184
Katanning (S)	2016	4151
Kellerberrin (S)	2006	1182
Kellerberrin (S)	2011	1180
Kellerberrin (S)	2016	1224
Kent (S)	2006	578
Kent (S)	2011	510
Kent (S)	2016	559
Kojonup (S)	2006	2153
Kojonup (S)	2011	1982
Kojonup (S)	2016	1985
Kondinin (S)	2006	968
Kondinin (S)	2011	1046
Kondinin (S)	2016	873
Koorda (S)	2006	432
Koorda (S)	2011	434
Koorda (S)	2016	414
Kulin (S)	2006	881
Kulin (S)	2011	826
Kulin (S)	2016	765
Kwinana (C)	2006	23198
Kwinana (C)	2011	29227
Kwinana (C)	2016	38918
Lake Grace (S)	2006	1458
Lake Grace (S)	2011	1359
Lake Grace (S)	2016	1268
Laverton (S)	2006	726
Laverton (S)	2011	1226
Laverton (S)	2016	1153
Leonora (S)	2006	1409
Leonora (S)	2011	2512
Leonora (S)	2016	1411
Mandurah (C)	2006	55817
Mandurah (C)	2011	69903
Mandurah (C)	2016	80813
Manjimup (S)	2006	9257
Manjimup (S)	2011	9182
Manjimup (S)	2016	9250
Meekatharra (S)	2006	1134
Meekatharra (S)	2011	1377
Meekatharra (S)	2016	1067
Melville (C)	2006	92784
Melville (C)	2011	95702
Melville (C)	2016	98083
Menzies (S)	2006	217
Menzies (S)	2011	385
Menzies (S)	2016	490
Merredin (S)	2006	3244
Merredin (S)	2011	3282
Merredin (S)	2016	3350
Mingenew (S)	2006	471
Mingenew (S)	2011	479
Mingenew (S)	2016	455
Moora (S)	2006	2412
Moora (S)	2011	2476
Moora (S)	2016	2428
Morawa (S)	2006	823
Morawa (S)	2011	891
Morawa (S)	2016	750
Mosman Park (T)	2006	8248
Mosman Park (T)	2011	8599
Mosman Park (T)	2016	8757
Mount Magnet (S)	2006	458
Mount Magnet (S)	2011	643
Mount Magnet (S)	2016	482
Mount Marshall (S)	2006	613
Mount Marshall (S)	2011	486
Mount Marshall (S)	2016	527
Mukinbudin (S)	2006	580
Mukinbudin (S)	2011	489
Mukinbudin (S)	2016	555
Mundaring (S)	2006	35093
Mundaring (S)	2011	36530
Mundaring (S)	2016	38157
Murchison (S)	2006	110
Murchison (S)	2011	115
Murchison (S)	2016	153
Murray (S)	2006	11973
Murray (S)	2011	14150
Murray (S)	2016	16698
Nannup (S)	2006	1190
Nannup (S)	2011	1263
Nannup (S)	2016	1328
Narembeen (S)	2006	904
Narembeen (S)	2011	813
Narembeen (S)	2016	809
Narrogin (S)	2006	5071
Narrogin (S)	2011	5098
Narrogin (S)	2016	5162
Nedlands (C)	2006	20336
Nedlands (C)	2011	20534
Nedlands (C)	2016	21121
Ngaanyatjarraku (S)	2006	1336
Ngaanyatjarraku (S)	2011	1437
Ngaanyatjarraku (S)	2016	1606
Northam (S)	2006	9804
Northam (S)	2011	10557
Northam (S)	2016	11112
Northampton (S)	2006	3207
Northampton (S)	2011	3188
Northampton (S)	2016	3319
Nungarin (S)	2006	245
Nungarin (S)	2011	231
Nungarin (S)	2016	257
Peppermint Grove (S)	2006	1579
Peppermint Grove (S)	2011	1527
Peppermint Grove (S)	2016	1636
Perenjori (S)	2006	532
Perenjori (S)	2011	905
Perenjori (S)	2016	617
Perth (C)	2006	11480
Perth (C)	2011	16715
Perth (C)	2016	21797
Pingelly (S)	2006	1169
Pingelly (S)	2011	1164
Pingelly (S)	2016	1146
Plantagenet (S)	2006	4483
Plantagenet (S)	2011	4882
Plantagenet (S)	2016	5079
Port Hedland (T)	2006	11960
Port Hedland (T)	2011	15046
Port Hedland (T)	2016	14469
Quairading (S)	2006	1019
Quairading (S)	2011	1044
Quairading (S)	2016	1019
Ravensthorpe (S)	2006	1952
Ravensthorpe (S)	2011	2126
Ravensthorpe (S)	2016	1733
Rockingham (C)	2006	84306
Rockingham (C)	2011	104105
Rockingham (C)	2016	125114
Sandstone (S)	2006	117
Sandstone (S)	2011	105
Sandstone (S)	2016	89
Serpentine-Jarrahdale (S)	2006	12893
Serpentine-Jarrahdale (S)	2011	17745
Serpentine-Jarrahdale (S)	2016	26833
Shark Bay (S)	2006	855
Shark Bay (S)	2011	855
Shark Bay (S)	2016	946
South Perth (C)	2006	38361
South Perth (C)	2011	40739
South Perth (C)	2016	41989
Stirling (C)	2006	176110
Stirling (C)	2011	195699
Stirling (C)	2016	210208
Subiaco (C)	2006	16380
Subiaco (C)	2011	17575
Subiaco (C)	2016	19359
Swan (C)	2006	93276
Swan (C)	2011	108462
Swan (C)	2016	133851
Tammin (S)	2006	389
Tammin (S)	2011	405
Tammin (S)	2016	402
Three Springs (S)	2006	665
Three Springs (S)	2011	614
Three Springs (S)	2016	594
Toodyay (S)	2006	4110
Toodyay (S)	2011	4387
Toodyay (S)	2016	4439
Trayning (S)	2006	392
Trayning (S)	2011	347
Trayning (S)	2016	350
Upper Gascoyne (S)	2006	288
Upper Gascoyne (S)	2011	250
Upper Gascoyne (S)	2016	278
Victoria Park (T)	2006	27959
Victoria Park (T)	2011	32433
Victoria Park (T)	2016	34990
Victoria Plains (S)	2006	905
Victoria Plains (S)	2011	897
Victoria Plains (S)	2016	910
Vincent (C)	2006	27733
Vincent (C)	2011	31550
Vincent (C)	2016	33693
Wagin (S)	2006	1842
Wagin (S)	2011	1847
Wagin (S)	2016	1852
Wandering (S)	2006	354
Wandering (S)	2011	438
Wandering (S)	2016	444
Wanneroo (C)	2006	110941
Wanneroo (C)	2011	152076
Wanneroo (C)	2016	188212
Waroona (S)	2006	3448
Waroona (S)	2011	3582
Waroona (S)	2016	4148
West Arthur (S)	2006	856
West Arthur (S)	2011	868
West Arthur (S)	2016	809
Westonia (S)	2006	210
Westonia (S)	2011	276
Westonia (S)	2016	304
Wickepin (S)	2006	716
Wickepin (S)	2011	749
Wickepin (S)	2016	718
Williams (S)	2006	864
Williams (S)	2011	914
Williams (S)	2016	981
Wiluna (S)	2006	680
Wiluna (S)	2011	1160
Wiluna (S)	2016	742
Wongan-Ballidu (S)	2006	1385
Wongan-Ballidu (S)	2011	1434
Wongan-Ballidu (S)	2016	1331
Woodanilling (S)	2006	402
Woodanilling (S)	2011	417
Woodanilling (S)	2016	409
Wyalkatchem (S)	2006	562
Wyalkatchem (S)	2011	523
Wyalkatchem (S)	2016	516
Wyndham-East Kimberley (S)	2006	6594
Wyndham-East Kimberley (S)	2011	7800
Wyndham-East Kimberley (S)	2016	7148
Yalgoo (S)	2006	242
Yalgoo (S)	2011	402
Yalgoo (S)	2016	337
Yilgarn (S)	2006	1413
Yilgarn (S)	2011	1637
Yilgarn (S)	2016	1202
York (S)	2006	3117
York (S)	2011	3395
York (S)	2016	3606
No usual address (WA)	2006	5986
No usual address (WA)	2011	7299
No usual address (WA)	2016	5950
Migratory - Offshore - Shipping (WA)	2006	339
Migratory - Offshore - Shipping (WA)	2011	417
Migratory - Offshore - Shipping (WA)	2016	434
Break O'Day (M)	2006	6068
Break O'Day (M)	2011	6193
Break O'Day (M)	2016	6104
Brighton (M)	2006	14122
Brighton (M)	2011	15460
Brighton (M)	2016	16512
Burnie (C)	2006	19056
Burnie (C)	2011	19330
Burnie (C)	2016	18895
Central Coast (M) (Tas.)	2006	20664
Central Coast (M) (Tas.)	2011	21354
Central Coast (M) (Tas.)	2016	21362
Central Highlands (M) (Tas.)	2006	2244
Central Highlands (M) (Tas.)	2011	2261
Central Highlands (M) (Tas.)	2016	2141
Circular Head (M)	2006	7956
Circular Head (M)	2011	7978
Circular Head (M)	2016	7926
Clarence (C)	2006	49638
Clarence (C)	2011	51852
Clarence (C)	2016	54819
Derwent Valley (M)	2006	9478
Derwent Valley (M)	2011	9706
Derwent Valley (M)	2016	10021
Devonport (C)	2006	24015
Devonport (C)	2011	24617
Devonport (C)	2016	24696
Dorset (M)	2006	6996
Dorset (M)	2011	6828
Dorset (M)	2016	6617
Flinders (M) (Tas.)	2006	859
Flinders (M) (Tas.)	2011	776
Flinders (M) (Tas.)	2016	906
George Town (M)	2006	6529
George Town (M)	2011	6636
George Town (M)	2016	6764
Glamorgan/Spring Bay (M)	2006	4188
Glamorgan/Spring Bay (M)	2011	4191
Glamorgan/Spring Bay (M)	2016	4400
Glenorchy (C)	2006	43414
Glenorchy (C)	2011	44655
Glenorchy (C)	2016	46253
Hobart (C)	2006	47698
Hobart (C)	2011	48706
Hobart (C)	2016	50439
Huon Valley (M)	2006	14001
Huon Valley (M)	2011	15140
Huon Valley (M)	2016	16199
Kentish (M)	2006	5759
Kentish (M)	2011	6086
Kentish (M)	2016	6128
King Island (M)	2006	1641
King Island (M)	2011	1563
King Island (M)	2016	1585
Kingborough (M)	2006	30836
Kingborough (M)	2011	33892
Kingborough (M)	2016	35853
Latrobe (M) (Tas.)	2006	8630
Latrobe (M) (Tas.)	2011	9833
Latrobe (M) (Tas.)	2016	10699
Launceston (C)	2006	62221
Launceston (C)	2011	64193
Launceston (C)	2016	65274
Meander Valley (M)	2006	18350
Meander Valley (M)	2011	18889
Meander Valley (M)	2016	19282
Northern Midlands (M)	2006	12092
Northern Midlands (M)	2011	12230
Northern Midlands (M)	2016	12822
Sorell (M)	2006	11926
Sorell (M)	2011	13196
Sorell (M)	2016	14414
Southern Midlands (M)	2006	5673
Southern Midlands (M)	2011	6047
Southern Midlands (M)	2016	6043
Tasman (M)	2006	2241
Tasman (M)	2011	2355
Tasman (M)	2016	2372
Waratah/Wynyard (M)	2006	13412
Waratah/Wynyard (M)	2011	13707
Waratah/Wynyard (M)	2016	13578
West Coast (M)	2006	5003
West Coast (M)	2011	4679
West Coast (M)	2016	4149
West Tamar (M)	2006	20815
West Tamar (M)	2011	21816
West Tamar (M)	2016	22718
No usual address (Tas.)	2006	872
No usual address (Tas.)	2011	1072
No usual address (Tas.)	2016	912
Migratory - Offshore - Shipping (Tas.)	2006	89
Migratory - Offshore - Shipping (Tas.)	2011	113
Migratory - Offshore - Shipping (Tas.)	2016	68
Alice Springs (T)	2006	23888
Alice Springs (T)	2011	25187
Alice Springs (T)	2016	24753
Barkly (R)	2006	6674
Barkly (R)	2011	6824
Barkly (R)	2016	6655
Belyuen (S)	2006	176
Belyuen (S)	2011	181
Belyuen (S)	2016	164
Central Desert (R)	2006	3981
Central Desert (R)	2011	3718
Central Desert (R)	2016	3677
Coomalie (S)	2006	1106
Coomalie (S)	2011	1111
Coomalie (S)	2016	1319
Darwin (C)	2006	66290
Darwin (C)	2011	72929
Darwin (C)	2016	78804
East Arnhem (R)	2006	8169
East Arnhem (R)	2011	9100
East Arnhem (R)	2016	9026
Katherine (T)	2006	8743
Katherine (T)	2011	9185
Katherine (T)	2016	9717
Litchfield (M)	2006	15554
Litchfield (M)	2011	18994
Litchfield (M)	2016	23855
MacDonnell (R)	2006	5862
MacDonnell (R)	2011	5832
MacDonnell (R)	2016	6029
Palmerston (C)	2006	23716
Palmerston (C)	2011	27705
Palmerston (C)	2016	33786
Roper Gulf (R)	2006	5608
Roper Gulf (R)	2011	6121
Roper Gulf (R)	2016	6505
Tiwi Islands (R)	2006	2129
Tiwi Islands (R)	2011	2579
Tiwi Islands (R)	2016	2453
Victoria Daly (R)	2006	2904
Victoria Daly (R)	2011	2901
Victoria Daly (R)	2016	2810
Wagait (S)	2006	294
Wagait (S)	2011	370
Wagait (S)	2016	463
West Arnhem (R)	2006	5702
West Arnhem (R)	2011	6232
West Arnhem (R)	2016	6188
West Daly (R)	2006	2623
West Daly (R)	2011	3024
West Daly (R)	2016	3166
Unincorporated NT	2006	7469
Unincorporated NT	2011	7975
Unincorporated NT	2016	6907
No usual address (NT)	2006	1901
No usual address (NT)	2011	1870
No usual address (NT)	2016	2489
Migratory - Offshore - Shipping (NT)	2006	94
Migratory - Offshore - Shipping (NT)	2011	107
Migratory - Offshore - Shipping (NT)	2016	70
Unincorporated ACT	2006	323325
Unincorporated ACT	2011	356586
Unincorporated ACT	2016	396857
No usual address (ACT)	2006	709
No usual address (ACT)	2011	630
No usual address (ACT)	2016	538
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2006	2290
Unincorp. Other Territories	2011	3004
Unincorp. Other Territories	2016	4523
No usual address (OT)	2006	25
No usual address (OT)	2011	26
No usual address (OT)	2016	55
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	6
