LGA_NAME16	Year	SameAddress5YearsAgo	persons
Port Stephens (A)	2011	0	23394
Port Stephens (A)	2011	1	33618
Port Stephens (A)	2016		9197
Port Stephens (A)	2016	0	25777
Port Stephens (A)	2016	1	34582
Queanbeyan-Palerang Regional (A)	2006		6402
Queanbeyan-Palerang Regional (A)	2006	0	19756
Queanbeyan-Palerang Regional (A)	2006	1	22131
Queanbeyan-Palerang Regional (A)	2011		6382
Queanbeyan-Palerang Regional (A)	2011	0	19432
Queanbeyan-Palerang Regional (A)	2011	1	26526
Queanbeyan-Palerang Regional (A)	2016		7741
Queanbeyan-Palerang Regional (A)	2016	0	20451
Queanbeyan-Palerang Regional (A)	2016	1	27835
Randwick (C)	2006		18332
Randwick (C)	2006	0	47652
Randwick (C)	2006	1	53898
Randwick (C)	2011		18658
Randwick (C)	2011	0	53204
Randwick (C)	2011	1	57125
Randwick (C)	2016		19599
Randwick (C)	2016	0	61585
Randwick (C)	2016	1	59476
Richmond Valley (A)	2006		2332
Richmond Valley (A)	2006	0	7907
Richmond Valley (A)	2006	1	11075
Richmond Valley (A)	2011		2722
Richmond Valley (A)	2011	0	7248
Richmond Valley (A)	2011	1	12068
Richmond Valley (A)	2016		3374
Richmond Valley (A)	2016	0	6925
Richmond Valley (A)	2016	1	12508
Rockdale (C)	2006		13480
Rockdale (C)	2006	0	31124
Rockdale (C)	2006	1	47518
Rockdale (C)	2011		12643
Rockdale (C)	2011	0	32913
Rockdale (C)	2011	1	51783
Rockdale (C)	2016		13862
Rockdale (C)	2016	0	42109
Rockdale (C)	2016	1	53433
Ryde (C)	2006		11763
Ryde (C)	2006	0	34303
Ryde (C)	2006	1	50885
Ryde (C)	2011		11212
Ryde (C)	2011	0	38009
Ryde (C)	2011	1	53819
Ryde (C)	2016		12331
Ryde (C)	2016	0	48631
Ryde (C)	2016	1	55340
Shellharbour (C)	2006		7301
Shellharbour (C)	2006	0	19306
Shellharbour (C)	2006	1	33728
Shellharbour (C)	2011		6665
Shellharbour (C)	2011	0	19356
Shellharbour (C)	2011	1	37583
Shellharbour (C)	2016		8361
Shellharbour (C)	2016	0	21771
Shellharbour (C)	2016	1	38328
Shoalhaven (C)	2006		9637
Shoalhaven (C)	2006	0	33687
Shoalhaven (C)	2006	1	45082
Shoalhaven (C)	2011		10937
Shoalhaven (C)	2011	0	31179
Shoalhaven (C)	2011	1	50696
Shoalhaven (C)	2016		13468
Shoalhaven (C)	2016	0	35692
Shoalhaven (C)	2016	1	50490
Singleton (A)	2006		2793
Singleton (A)	2006	0	8657
Singleton (A)	2006	1	10487
Singleton (A)	2011		2647
Singleton (A)	2011	0	8048
Singleton (A)	2011	1	12000
Singleton (A)	2016		3326
Singleton (A)	2016	0	7844
Singleton (A)	2016	1	11817
Snowy Monaro Regional (A)	2006		3168
Snowy Monaro Regional (A)	2006	0	6577
Snowy Monaro Regional (A)	2006	1	9705
Snowy Monaro Regional (A)	2011		2834
Snowy Monaro Regional (A)	2011	0	6151
Snowy Monaro Regional (A)	2011	1	10706
Snowy Monaro Regional (A)	2016		3008
Snowy Monaro Regional (A)	2016	0	6392
Snowy Monaro Regional (A)	2016	1	10818
Snowy Valleys (A)	2006		1725
Snowy Valleys (A)	2006	0	4749
Snowy Valleys (A)	2006	1	7855
Snowy Valleys (A)	2011		1668
Snowy Valleys (A)	2011	0	4213
Snowy Valleys (A)	2011	1	8412
Snowy Valleys (A)	2016		2356
Snowy Valleys (A)	2016	0	4016
Snowy Valleys (A)	2016	1	8023
Strathfield (A)	2006		4240
Strathfield (A)	2006	0	12705
Strathfield (A)	2006	1	15035
Strathfield (A)	2011		4594
Strathfield (A)	2011	0	13911
Strathfield (A)	2011	1	16682
Strathfield (A)	2016		4970
Strathfield (A)	2016	0	17995
Strathfield (A)	2016	1	17347
Sutherland Shire (A)	2006		22835
Sutherland Shire (A)	2006	0	62222
Sutherland Shire (A)	2006	1	120392
Sutherland Shire (A)	2011		21617
Sutherland Shire (A)	2011	0	63673
Sutherland Shire (A)	2011	1	125572
Sutherland Shire (A)	2016		22920
Sutherland Shire (A)	2016	0	67871
Sutherland Shire (A)	2016	1	127673
Sydney (C)	2006		43213
Sydney (C)	2006	0	75694
Sydney (C)	2006	1	37665
Sydney (C)	2011		29101
Sydney (C)	2011	0	91081
Sydney (C)	2011	1	49324
Sydney (C)	2016		33625
Sydney (C)	2016	0	119410
Sydney (C)	2016	1	55339
Tamworth Regional (A)	2006		6091
Tamworth Regional (A)	2006	0	21138
Tamworth Regional (A)	2006	1	26363
Tamworth Regional (A)	2011		7114
Tamworth Regional (A)	2011	0	20143
Tamworth Regional (A)	2011	1	29034
Tamworth Regional (A)	2016		8956
Tamworth Regional (A)	2016	0	21614
Tamworth Regional (A)	2016	1	29093
Temora (A)	2006		595
Temora (A)	2006	0	1786
Temora (A)	2006	1	3476
Temora (A)	2011		577
Temora (A)	2011	0	1512
Temora (A)	2011	1	3687
Temora (A)	2016		770
Temora (A)	2016	0	1731
Temora (A)	2016	1	3609
Tenterfield (A)	2006		694
Tenterfield (A)	2006	0	2239
Tenterfield (A)	2006	1	3603
Tenterfield (A)	2011		816
Tenterfield (A)	2011	0	2121
Tenterfield (A)	2011	1	3872
Tenterfield (A)	2016		1057
Tenterfield (A)	2016	0	1848
Tenterfield (A)	2016	1	3723
The Hills Shire (A)	2006		13617
The Hills Shire (A)	2006	0	49053
The Hills Shire (A)	2006	1	69986
The Hills Shire (A)	2011		13359
The Hills Shire (A)	2011	0	44695
The Hills Shire (A)	2011	1	83941
The Hills Shire (A)	2016		14557
The Hills Shire (A)	2016	0	55483
The Hills Shire (A)	2016	1	87203
Tweed (A)	2006		9333
Tweed (A)	2006	0	32786
Tweed (A)	2006	1	37201
Tweed (A)	2011		9656
Tweed (A)	2011	0	31555
Tweed (A)	2011	1	43896
Tweed (A)	2016		12083
Tweed (A)	2016	0	34530
Tweed (A)	2016	1	44758
Upper Hunter Shire (A)	2006		1475
Upper Hunter Shire (A)	2006	0	4705
Upper Hunter Shire (A)	2006	1	6794
Upper Hunter Shire (A)	2011		1682
Upper Hunter Shire (A)	2011	0	4701
Upper Hunter Shire (A)	2011	1	7368
Upper Hunter Shire (A)	2016		2188
Upper Hunter Shire (A)	2016	0	4407
Upper Hunter Shire (A)	2016	1	7517
Upper Lachlan Shire (A)	2006		810
Upper Lachlan Shire (A)	2006	0	1943
Upper Lachlan Shire (A)	2006	1	4300
Upper Lachlan Shire (A)	2011		659
Upper Lachlan Shire (A)	2011	0	1954
Upper Lachlan Shire (A)	2011	1	4579
Upper Lachlan Shire (A)	2016		1106
Upper Lachlan Shire (A)	2016	0	2119
Upper Lachlan Shire (A)	2016	1	4470
Uralla (A)	2006		558
Uralla (A)	2006	0	1960
Uralla (A)	2006	1	3219
Uralla (A)	2011		614
Uralla (A)	2011	0	1828
Uralla (A)	2011	1	3590
Uralla (A)	2016		745
Uralla (A)	2016	0	1761
Uralla (A)	2016	1	3542
Wagga Wagga (C)	2006		6406
Wagga Wagga (C)	2006	0	24723
Wagga Wagga (C)	2006	1	25883
Wagga Wagga (C)	2011		6732
Wagga Wagga (C)	2011	0	23750
Wagga Wagga (C)	2011	1	28977
Wagga Wagga (C)	2016		8194
Wagga Wagga (C)	2016	0	25150
Wagga Wagga (C)	2016	1	29041
Walcha (A)	2006		296
Walcha (A)	2006	0	965
Walcha (A)	2006	1	1927
Walcha (A)	2011		288
Walcha (A)	2011	0	830
Walcha (A)	2011	1	1903
Walcha (A)	2016		536
Walcha (A)	2016	0	708
Walcha (A)	2016	1	1848
Walgett (A)	2006		1091
Walgett (A)	2006	0	2063
Walgett (A)	2006	1	3788
Walgett (A)	2011		1110
Walgett (A)	2011	0	1739
Walgett (A)	2011	1	3604
Walgett (A)	2016		1188
Walgett (A)	2016	0	1577
Walgett (A)	2016	1	3342
Warren (A)	2006		343
Warren (A)	2006	0	741
Warren (A)	2006	1	1664
Warren (A)	2011		333
Warren (A)	2011	0	811
Warren (A)	2011	1	1615
Warren (A)	2016		495
Warren (A)	2016	0	644
Warren (A)	2016	1	1593
Warrumbungle Shire (A)	2006		1139
Warrumbungle Shire (A)	2006	0	3163
Warrumbungle Shire (A)	2006	1	5506
Warrumbungle Shire (A)	2011		1238
Warrumbungle Shire (A)	2011	0	2614
Warrumbungle Shire (A)	2011	1	5737
Warrumbungle Shire (A)	2016		1597
Warrumbungle Shire (A)	2016	0	2521
Warrumbungle Shire (A)	2016	1	5266
Waverley (A)	2006		13328
Waverley (A)	2006	0	23399
Waverley (A)	2006	1	23986
Waverley (A)	2011		11248
Waverley (A)	2011	0	26510
Waverley (A)	2011	1	25727
Waverley (A)	2016		11161
Waverley (A)	2016	0	29434
Waverley (A)	2016	1	26217
Weddin (A)	2006		309
Weddin (A)	2006	0	1097
Weddin (A)	2006	1	2230
Weddin (A)	2011		393
Weddin (A)	2011	0	945
Weddin (A)	2011	1	2327
Weddin (A)	2016		532
Weddin (A)	2016	0	921
Weddin (A)	2016	1	2211
Wentworth (A)	2006		828
Wentworth (A)	2006	0	2210
Wentworth (A)	2006	1	3740
Wentworth (A)	2011		802
Wentworth (A)	2011	0	1997
Wentworth (A)	2011	1	3811
Wentworth (A)	2016		1108
Wentworth (A)	2016	0	1961
Wentworth (A)	2016	1	3725
Western Plains Regional (A)	2006		6568
Western Plains Regional (A)	2006	0	17343
Western Plains Regional (A)	2006	1	22055
Western Plains Regional (A)	2011		6584
Western Plains Regional (A)	2011	0	16787
Western Plains Regional (A)	2011	1	23926
Western Plains Regional (A)	2016		8516
Western Plains Regional (A)	2016	0	17519
Western Plains Regional (A)	2016	1	24042
Willoughby (C)	2006		8623
Willoughby (C)	2006	0	26220
Willoughby (C)	2006	1	28761
Willoughby (C)	2011		8001
Willoughby (C)	2011	0	27143
Willoughby (C)	2011	1	32211
Willoughby (C)	2016		8411
Willoughby (C)	2016	0	32198
Willoughby (C)	2016	1	33693
Wingecarribee (A)	2006		4839
Wingecarribee (A)	2006	0	15989
Wingecarribee (A)	2006	1	21444
Wingecarribee (A)	2011		4572
Wingecarribee (A)	2011	0	15507
Wingecarribee (A)	2011	1	24317
Wingecarribee (A)	2016		5743
Wingecarribee (A)	2016	0	18374
Wingecarribee (A)	2016	1	23765
Wollondilly (A)	2006		4952
Wollondilly (A)	2006	0	12901
Wollondilly (A)	2006	1	22491
Wollondilly (A)	2011		4915
Wollondilly (A)	2011	0	12617
Wollondilly (A)	2011	1	25729
Wollondilly (A)	2016		6062
Wollondilly (A)	2016	0	16038
Wollondilly (A)	2016	1	26419
Wollongong (C)	2006		21344
Wollongong (C)	2006	0	57812
Wollongong (C)	2006	1	105054
Wollongong (C)	2011		20888
Wollongong (C)	2011	0	60746
Wollongong (C)	2011	1	110785
Wollongong (C)	2016		23574
Wollongong (C)	2016	0	68310
Wollongong (C)	2016	1	111746
Woollahra (A)	2006		8751
Woollahra (A)	2006	0	20702
Woollahra (A)	2006	1	20709
Woollahra (A)	2011		8385
Woollahra (A)	2011	0	21754
Woollahra (A)	2011	1	22020
Woollahra (A)	2016		7662
Woollahra (A)	2016	0	24525
Woollahra (A)	2016	1	22053
Yass Valley (A)	2006		1446
Yass Valley (A)	2006	0	4784
Yass Valley (A)	2006	1	6903
Yass Valley (A)	2011		1842
Yass Valley (A)	2011	0	5257
Yass Valley (A)	2011	1	7921
Yass Valley (A)	2016		2091
Yass Valley (A)	2016	0	5075
Yass Valley (A)	2016	1	8976
Unincorporated NSW	2006		95
Unincorporated NSW	2006	0	335
Unincorporated NSW	2006	1	625
Unincorporated NSW	2011		119
Unincorporated NSW	2011	0	278
Unincorporated NSW	2011	1	660
Unincorporated NSW	2016		185
Unincorporated NSW	2016	0	277
Unincorporated NSW	2016	1	594
No usual address (NSW)	2006	0	7073
No usual address (NSW)	2006	1	1250
No usual address (NSW)	2011	0	8020
No usual address (NSW)	2011	1	1356
No usual address (NSW)	2016	0	6765
No usual address (NSW)	2016	1	1571
Migratory - Offshore - Shipping (NSW)	2006	0	35
Migratory - Offshore - Shipping (NSW)	2006	1	18
Migratory - Offshore - Shipping (NSW)	2011	0	40
Migratory - Offshore - Shipping (NSW)	2011	1	72
Migratory - Offshore - Shipping (NSW)	2016	0	104
Migratory - Offshore - Shipping (NSW)	2016	1	245
Alpine (S)	2006		1236
Alpine (S)	2006	0	3952
Alpine (S)	2006	1	6809
Alpine (S)	2011		1121
Alpine (S)	2011	0	3449
Alpine (S)	2011	1	7310
Alpine (S)	2016		1593
Alpine (S)	2016	0	3650
Alpine (S)	2016	1	7094
Ararat (RC)	2006		1413
Ararat (RC)	2006	0	3290
Ararat (RC)	2006	1	6553
Ararat (RC)	2011		1509
Ararat (RC)	2011	0	3197
Ararat (RC)	2011	1	6478
Ararat (RC)	2016		2134
Ararat (RC)	2016	0	3076
Ararat (RC)	2016	1	6390
Ballarat (C)	2006		10172
Ballarat (C)	2006	0	33760
Ballarat (C)	2006	1	41264
Ballarat (C)	2011		10984
Ballarat (C)	2011	0	36559
Ballarat (C)	2011	1	45958
Ballarat (C)	2016		13425
Ballarat (C)	2016	0	39718
Ballarat (C)	2016	1	48543
Banyule (C)	2006		12089
Banyule (C)	2006	0	33383
Banyule (C)	2006	1	69397
Banyule (C)	2011		12155
Banyule (C)	2011	0	34540
Banyule (C)	2011	1	71613
Banyule (C)	2016		13765
Banyule (C)	2016	0	38022
Banyule (C)	2016	1	70078
Bass Coast (S)	2006		3527
Bass Coast (S)	2006	0	10099
Bass Coast (S)	2006	1	12919
Bass Coast (S)	2011		3455
Bass Coast (S)	2011	0	11514
Bass Coast (S)	2011	1	14647
Bass Coast (S)	2016		4340
Bass Coast (S)	2016	0	12304
Bass Coast (S)	2016	1	16160
Baw Baw (S)	2006		3774
Baw Baw (S)	2006	0	13139
Baw Baw (S)	2006	1	20265
Baw Baw (S)	2011		4670
Baw Baw (S)	2011	0	15737
Baw Baw (S)	2011	1	22456
Baw Baw (S)	2016		6458
Baw Baw (S)	2016	0	17368
Baw Baw (S)	2016	1	24653
Bayside (C)	2006		10407
Bayside (C)	2006	0	28471
Bayside (C)	2006	1	49059
Bayside (C)	2011		9846
Bayside (C)	2011	0	30178
Bayside (C)	2011	1	51789
Bayside (C)	2016		10331
Bayside (C)	2016	0	34667
Bayside (C)	2016	1	52089
Benalla (RC)	2006		1223
Benalla (RC)	2006	0	4552
Benalla (RC)	2006	1	7749
Benalla (RC)	2011		1260
Benalla (RC)	2011	0	4303
Benalla (RC)	2011	1	8085
Benalla (RC)	2016		1840
Benalla (RC)	2016	0	4276
Benalla (RC)	2016	1	7745
Boroondara (C)	2006		16184
Boroondara (C)	2006	0	54990
Boroondara (C)	2006	1	83280
Boroondara (C)	2011		14588
Boroondara (C)	2011	0	56959
Boroondara (C)	2011	1	87637
Boroondara (C)	2016		15872
Boroondara (C)	2016	0	66101
Boroondara (C)	2016	1	85258
Brimbank (C)	2006		21789
Brimbank (C)	2006	0	45294
Brimbank (C)	2006	1	101138
Brimbank (C)	2011		23901
Brimbank (C)	2011	0	51467
Brimbank (C)	2011	1	107368
Brimbank (C)	2016		25609
Brimbank (C)	2016	0	57237
Brimbank (C)	2016	1	111473
Buloke (S)	2006		624
Buloke (S)	2006	0	1824
Buloke (S)	2006	1	4402
Buloke (S)	2011		567
Buloke (S)	2011	0	1574
Buloke (S)	2011	1	4242
Buloke (S)	2016		868
Buloke (S)	2016	0	1392
Buloke (S)	2016	1	3941
Campaspe (S)	2006		3949
Campaspe (S)	2006	0	12866
Campaspe (S)	2006	1	19394
Campaspe (S)	2011		3981
Campaspe (S)	2011	0	11298
Campaspe (S)	2011	1	21085
Campaspe (S)	2016		5135
Campaspe (S)	2016	0	10963
Campaspe (S)	2016	1	20963
Cardinia (S)	2006		7155
Cardinia (S)	2006	0	23217
Cardinia (S)	2006	1	26744
Cardinia (S)	2011		8999
Cardinia (S)	2011	0	30570
Cardinia (S)	2011	1	34606
Cardinia (S)	2016		13320
Cardinia (S)	2016	0	38105
Cardinia (S)	2016	1	42703
Casey (C)	2006		28744
Casey (C)	2006	0	82707
Casey (C)	2006	1	103511
Casey (C)	2011		30001
Casey (C)	2011	0	91173
Casey (C)	2011	1	131206
Casey (C)	2016		39172
Casey (C)	2016	0	109877
Casey (C)	2016	1	150252
Central Goldfields (S)	2006		1159
Central Goldfields (S)	2006	0	3724
Central Goldfields (S)	2006	1	7441
Central Goldfields (S)	2011		1243
Central Goldfields (S)	2011	0	3625
Central Goldfields (S)	2011	1	7628
Central Goldfields (S)	2016		1606
Central Goldfields (S)	2016	0	3902
Central Goldfields (S)	2016	1	7487
Colac-Otway (S)	2006		2226
Colac-Otway (S)	2006	0	6263
Colac-Otway (S)	2006	1	11807
Colac-Otway (S)	2011		2163
Colac-Otway (S)	2011	0	6075
Colac-Otway (S)	2011	1	12109
Colac-Otway (S)	2016		2818
Colac-Otway (S)	2016	0	6156
Colac-Otway (S)	2016	1	11998
Corangamite (S)	2006		1775
Corangamite (S)	2006	0	4852
Corangamite (S)	2006	1	9992
Corangamite (S)	2011		1721
Corangamite (S)	2011	0	4387
Corangamite (S)	2011	1	10269
Corangamite (S)	2016		2284
Corangamite (S)	2016	0	3982
Corangamite (S)	2016	1	9785
Darebin (C)	2006		17785
Darebin (C)	2006	0	41591
Darebin (C)	2006	1	68687
Darebin (C)	2011		17115
Darebin (C)	2011	0	46444
Darebin (C)	2011	1	72915
Darebin (C)	2016		19241
Darebin (C)	2016	0	55123
Darebin (C)	2016	1	72355
East Gippsland (S)	2006		4151
East Gippsland (S)	2006	0	14578
East Gippsland (S)	2006	1	21309
East Gippsland (S)	2011		4348
East Gippsland (S)	2011	0	14746
East Gippsland (S)	2011	1	23099
East Gippsland (S)	2016		6609
East Gippsland (S)	2016	0	14332
East Gippsland (S)	2016	1	24099
Frankston (C)	2006		15778
Frankston (C)	2006	0	43079
Frankston (C)	2006	1	58946
Frankston (C)	2011		15284
Frankston (C)	2011	0	44837
Frankston (C)	2011	1	66335
Frankston (C)	2016		18091
Frankston (C)	2016	0	47056
Frankston (C)	2016	1	68996
Gannawarra (S)	2006		1108
Gannawarra (S)	2006	0	3427
Gannawarra (S)	2006	1	6760
Gannawarra (S)	2011		1102
Gannawarra (S)	2011	0	2713
Gannawarra (S)	2011	1	6551
Gannawarra (S)	2016		1399
Gannawarra (S)	2016	0	2708
Gannawarra (S)	2016	1	6442
Glen Eira (C)	2006		16381
Glen Eira (C)	2006	0	40761
Glen Eira (C)	2006	1	66941
Glen Eira (C)	2011		14394
Glen Eira (C)	2011	0	45407
Glen Eira (C)	2011	1	71212
Glen Eira (C)	2016		15461
Glen Eira (C)	2016	0	54897
Glen Eira (C)	2016	1	70517
Glenelg (S)	2006		2076
Glenelg (S)	2006	0	6436
Glenelg (S)	2006	1	11248
Glenelg (S)	2011		1964
Glenelg (S)	2011	0	5791
Glenelg (S)	2011	1	11820
Glenelg (S)	2016		2691
Glenelg (S)	2016	0	5215
Glenelg (S)	2016	1	11651
Golden Plains (S)	2006		1820
Golden Plains (S)	2006	0	5482
Golden Plains (S)	2006	1	9151
Golden Plains (S)	2011		1967
Golden Plains (S)	2011	0	5834
Golden Plains (S)	2011	1	10971
Golden Plains (S)	2016		2766
Golden Plains (S)	2016	0	6722
Golden Plains (S)	2016	1	12200
Greater Bendigo (C)	2006		10484
Greater Bendigo (C)	2006	0	35634
Greater Bendigo (C)	2006	1	47136
Greater Bendigo (C)	2011		11549
Greater Bendigo (C)	2011	0	36171
Greater Bendigo (C)	2011	1	52897
Greater Bendigo (C)	2016		15337
Greater Bendigo (C)	2016	0	40302
Greater Bendigo (C)	2016	1	54838
Greater Dandenong (C)	2006		17717
Greater Dandenong (C)	2006	0	38523
Greater Dandenong (C)	2006	1	69278
Greater Dandenong (C)	2011		16917
Greater Dandenong (C)	2011	0	44739
Greater Dandenong (C)	2011	1	73949
Greater Dandenong (C)	2016		20007
Greater Dandenong (C)	2016	0	56698
Greater Dandenong (C)	2016	1	75345
Greater Geelong (C)	2006		22182
Greater Geelong (C)	2006	0	69684
Greater Geelong (C)	2006	1	105611
Greater Geelong (C)	2011		22797
Greater Geelong (C)	2011	0	74177
Greater Geelong (C)	2011	1	113899
Greater Geelong (C)	2016		30188
Greater Geelong (C)	2016	0	86213
Greater Geelong (C)	2016	1	117028
Greater Shepparton (C)	2006		7184
Greater Shepparton (C)	2006	0	20164
Greater Shepparton (C)	2006	1	29742
Greater Shepparton (C)	2011		7835
Greater Shepparton (C)	2011	0	20069
Greater Shepparton (C)	2011	1	32544
Greater Shepparton (C)	2016		9935
Greater Shepparton (C)	2016	0	20325
Greater Shepparton (C)	2016	1	33577
Hepburn (S)	2006		1550
Hepburn (S)	2006	0	4147
Hepburn (S)	2006	1	8035
Hepburn (S)	2011		1544
Hepburn (S)	2011	0	4440
Hepburn (S)	2011	1	8384
Hepburn (S)	2016		2200
Hepburn (S)	2016	0	4597
Hepburn (S)	2016	1	8533
Hindmarsh (S)	2006		562
Hindmarsh (S)	2006	0	1569
Hindmarsh (S)	2006	1	3909
Hindmarsh (S)	2011		517
Hindmarsh (S)	2011	0	1515
Hindmarsh (S)	2011	1	3765
Hindmarsh (S)	2016		715
Hindmarsh (S)	2016	0	1500
Hindmarsh (S)	2016	1	3506
Hobsons Bay (C)	2006		10430
Hobsons Bay (C)	2006	0	24607
Hobsons Bay (C)	2006	1	46425
Hobsons Bay (C)	2011		10330
Hobsons Bay (C)	2011	0	26404
Hobsons Bay (C)	2011	1	47130
Hobsons Bay (C)	2016		11261
Hobsons Bay (C)	2016	0	29805
Hobsons Bay (C)	2016	1	47712
Horsham (RC)	2006		1888
Horsham (RC)	2006	0	6833
Horsham (RC)	2006	1	9776
Horsham (RC)	2011		2128
Horsham (RC)	2011	0	6683
Horsham (RC)	2011	1	10468
Horsham (RC)	2016		2414
Horsham (RC)	2016	0	6352
Horsham (RC)	2016	1	10876
Hume (C)	2006		19960
Hume (C)	2006	0	48078
Hume (C)	2006	1	79745
Hume (C)	2011		21183
Hume (C)	2011	0	52034
Hume (C)	2011	1	94346
Hume (C)	2016		27234
Hume (C)	2016	0	66692
Hume (C)	2016	1	103450
Indigo (S)	2006		1622
Indigo (S)	2006	0	4645
Indigo (S)	2006	1	8534
Indigo (S)	2011		1583
Indigo (S)	2011	0	4399
Indigo (S)	2011	1	9197
Indigo (S)	2016		1991
Indigo (S)	2016	0	4674
Indigo (S)	2016	1	9287
Kingston (C) (Vic.)	2006		15879
Kingston (C) (Vic.)	2006	0	42561
Kingston (C) (Vic.)	2006	1	76183
Kingston (C) (Vic.)	2011		15459
Kingston (C) (Vic.)	2011	0	44813
Kingston (C) (Vic.)	2011	1	82154
Kingston (C) (Vic.)	2016		17155
Kingston (C) (Vic.)	2016	0	51030
Kingston (C) (Vic.)	2016	1	83204
Knox (C)	2006		14546
Knox (C)	2006	0	42663
Knox (C)	2006	1	89530
Knox (C)	2011		13356
Knox (C)	2011	0	41019
Knox (C)	2011	1	94926
Knox (C)	2016		15435
Knox (C)	2016	0	45486
Knox (C)	2016	1	93189
Latrobe (C) (Vic.)	2006		8121
Latrobe (C) (Vic.)	2006	0	23166
Latrobe (C) (Vic.)	2006	1	38039
Latrobe (C) (Vic.)	2011		8762
Latrobe (C) (Vic.)	2011	0	23973
Latrobe (C) (Vic.)	2011	1	39660
Latrobe (C) (Vic.)	2016		10768
Latrobe (C) (Vic.)	2016	0	22103
Latrobe (C) (Vic.)	2016	1	40386
Loddon (S)	2006		749
Loddon (S)	2006	0	2126
Loddon (S)	2006	1	4960
Loddon (S)	2011		846
Loddon (S)	2011	0	1737
Loddon (S)	2011	1	4877
Loddon (S)	2016		1179
Loddon (S)	2016	0	1698
Loddon (S)	2016	1	4639
Macedon Ranges (S)	2006		4317
Macedon Ranges (S)	2006	0	12455
Macedon Ranges (S)	2006	1	21590
Macedon Ranges (S)	2011		4262
Macedon Ranges (S)	2011	0	13361
Macedon Ranges (S)	2011	1	24237
Macedon Ranges (S)	2016		6000
Macedon Ranges (S)	2016	0	14243
Macedon Ranges (S)	2016	1	25857
Manningham (C)	2006		10257
Manningham (C)	2006	0	30421
Manningham (C)	2006	1	69238
Manningham (C)	2011		9021
Manningham (C)	2011	0	30183
Manningham (C)	2011	1	72097
Manningham (C)	2016		10490
Manningham (C)	2016	0	36122
Manningham (C)	2016	1	69643
Mansfield (S)	2006		819
Mansfield (S)	2006	0	2958
Mansfield (S)	2006	1	3415
Mansfield (S)	2011		791
Mansfield (S)	2011	0	2889
Mansfield (S)	2011	1	4211
Mansfield (S)	2016		1182
Mansfield (S)	2016	0	2993
Mansfield (S)	2016	1	4409
Maribyrnong (C)	2006		9579
Maribyrnong (C)	2006	0	23928
Maribyrnong (C)	2006	1	29636
Maribyrnong (C)	2011		11032
Maribyrnong (C)	2011	0	28229
Maribyrnong (C)	2011	1	32372
Maribyrnong (C)	2016		11708
Maribyrnong (C)	2016	0	35137
Maribyrnong (C)	2016	1	35443
Maroondah (C)	2006		10899
Maroondah (C)	2006	0	30771
Maroondah (C)	2006	1	57529
Maroondah (C)	2011		10099
Maroondah (C)	2011	0	32611
Maroondah (C)	2011	1	61130
Maroondah (C)	2016		12396
Maroondah (C)	2016	0	36938
Maroondah (C)	2016	1	61042
Melbourne (C)	2006		13803
Melbourne (C)	2006	0	46245
Melbourne (C)	2006	1	16099
Melbourne (C)	2011		14134
Melbourne (C)	2011	0	57531
Melbourne (C)	2011	1	21960
Melbourne (C)	2016		20448
Melbourne (C)	2016	0	89581
Melbourne (C)	2016	1	25930
Melton (C)	2006		11916
Melton (C)	2006	0	34094
Melton (C)	2006	1	32899
Melton (C)	2011		16283
Melton (C)	2011	0	42024
Melton (C)	2011	1	50951
Melton (C)	2016		20562
Melton (C)	2016	0	47406
Melton (C)	2016	1	67475
Mildura (RC)	2006		5993
Mildura (RC)	2006	0	18569
Mildura (RC)	2006	1	25252
Mildura (RC)	2011		6200
Mildura (RC)	2011	0	17354
Mildura (RC)	2011	1	27425
Mildura (RC)	2016		8350
Mildura (RC)	2016	0	18198
Mildura (RC)	2016	1	27330
Mitchell (S)	2006		4056
Mitchell (S)	2006	0	11907
Mitchell (S)	2006	1	14966
Mitchell (S)	2011		4280
Mitchell (S)	2011	0	12142
Mitchell (S)	2011	1	18215
Mitchell (S)	2016		6361
Mitchell (S)	2016	0	14441
Mitchell (S)	2016	1	20116
Moira (S)	2006		3039
Moira (S)	2006	0	9817
Moira (S)	2006	1	14227
Moira (S)	2011		3309
Moira (S)	2011	0	9038
Moira (S)	2011	1	15777
Moira (S)	2016		4217
Moira (S)	2016	0	9024
Moira (S)	2016	1	15871
Monash (C)	2006		17023
Monash (C)	2006	0	51522
Monash (C)	2006	1	92696
Monash (C)	2011		15537
Monash (C)	2011	0	57810
Monash (C)	2011	1	95937
Monash (C)	2016		18134
Monash (C)	2016	0	72023
Monash (C)	2016	1	92461
Moonee Valley (C)	2006		12396
Moonee Valley (C)	2006	0	29250
Moonee Valley (C)	2006	1	60679
Moonee Valley (C)	2011		11907
Moonee Valley (C)	2011	0	33164
Moonee Valley (C)	2011	1	62372
Moonee Valley (C)	2016		13760
Moonee Valley (C)	2016	0	40585
Moonee Valley (C)	2016	1	62326
Moorabool (S)	2006		2640
Moorabool (S)	2006	0	7930
Moorabool (S)	2006	1	14907
Moorabool (S)	2011		3058
Moorabool (S)	2011	0	9016
Moorabool (S)	2011	1	16051
Moorabool (S)	2016		4088
Moorabool (S)	2016	0	10207
Moorabool (S)	2016	1	17523
Moreland (C)	2006		17748
Moreland (C)	2006	0	43938
Moreland (C)	2006	1	74080
Moreland (C)	2011		18296
Moreland (C)	2011	0	51649
Moreland (C)	2011	1	77298
