LGA_NAME16	Year	BornAust	Sex	persons
Griffith (C)	2016	1	M	9004
Gundagai (A)	2006	0	F	263
Gundagai (A)	2006	0	M	215
Gundagai (A)	2006	1	F	5109
Gundagai (A)	2006	1	M	4893
Gundagai (A)	2011	0	F	292
Gundagai (A)	2011	0	M	236
Gundagai (A)	2011	1	F	4980
Gundagai (A)	2011	1	M	4837
Gundagai (A)	2016	0	F	326
Gundagai (A)	2016	0	M	292
Gundagai (A)	2016	1	F	4818
Gundagai (A)	2016	1	M	4720
Gunnedah (A)	2006	0	F	245
Gunnedah (A)	2006	0	M	183
Gunnedah (A)	2006	1	F	5230
Gunnedah (A)	2006	1	M	5236
Gunnedah (A)	2011	0	F	269
Gunnedah (A)	2011	0	M	213
Gunnedah (A)	2011	1	F	5357
Gunnedah (A)	2011	1	M	5409
Gunnedah (A)	2016	0	F	326
Gunnedah (A)	2016	0	M	260
Gunnedah (A)	2016	1	F	5232
Gunnedah (A)	2016	1	M	5274
Gwydir (A)	2006	0	F	111
Gwydir (A)	2006	0	M	88
Gwydir (A)	2006	1	F	2372
Gwydir (A)	2006	1	M	2454
Gwydir (A)	2011	0	F	115
Gwydir (A)	2011	0	M	81
Gwydir (A)	2011	1	F	2261
Gwydir (A)	2011	1	M	2341
Gwydir (A)	2016	0	F	128
Gwydir (A)	2016	0	M	85
Gwydir (A)	2016	1	F	2181
Gwydir (A)	2016	1	M	2249
Hawkesbury (C)	2006	0	F	3863
Hawkesbury (C)	2006	0	M	3813
Hawkesbury (C)	2006	1	F	24757
Hawkesbury (C)	2006	1	M	24359
Hawkesbury (C)	2011	0	F	4050
Hawkesbury (C)	2011	0	M	3804
Hawkesbury (C)	2011	1	F	25672
Hawkesbury (C)	2011	1	M	25569
Hawkesbury (C)	2016	0	F	4139
Hawkesbury (C)	2016	0	M	3801
Hawkesbury (C)	2016	1	F	26435
Hawkesbury (C)	2016	1	M	26104
Hay (A)	2006	0	F	74
Hay (A)	2006	0	M	84
Hay (A)	2006	1	F	1522
Hay (A)	2006	1	M	1538
Hay (A)	2011	0	F	92
Hay (A)	2011	0	M	80
Hay (A)	2011	1	F	1307
Hay (A)	2011	1	M	1301
Hay (A)	2016	0	F	104
Hay (A)	2016	0	M	90
Hay (A)	2016	1	F	1164
Hay (A)	2016	1	M	1190
Hilltops (A)	2006	0	F	525
Hilltops (A)	2006	0	M	448
Hilltops (A)	2006	1	F	8098
Hilltops (A)	2006	1	M	7944
Hilltops (A)	2011	0	F	570
Hilltops (A)	2011	0	M	457
Hilltops (A)	2011	1	F	8193
Hilltops (A)	2011	1	M	7982
Hilltops (A)	2016	0	F	632
Hilltops (A)	2016	0	M	513
Hilltops (A)	2016	1	F	7989
Hilltops (A)	2016	1	M	7829
Hornsby (A)	2006	0	F	21152
Hornsby (A)	2006	0	M	19610
Hornsby (A)	2006	1	F	44075
Hornsby (A)	2006	1	M	41792
Hornsby (A)	2011	0	F	24092
Hornsby (A)	2011	0	M	22295
Hornsby (A)	2011	1	F	44144
Hornsby (A)	2011	1	M	42394
Hornsby (A)	2016	0	F	27581
Hornsby (A)	2016	0	M	25213
Hornsby (A)	2016	1	F	42947
Hornsby (A)	2016	1	M	42004
Hunters Hill (A)	2006	0	F	1784
Hunters Hill (A)	2006	0	M	1565
Hunters Hill (A)	2006	1	F	4365
Hunters Hill (A)	2006	1	M	4570
Hunters Hill (A)	2011	0	F	1839
Hunters Hill (A)	2011	0	M	1605
Hunters Hill (A)	2011	1	F	4578
Hunters Hill (A)	2011	1	M	4667
Hunters Hill (A)	2016	0	F	1939
Hunters Hill (A)	2016	0	M	1742
Hunters Hill (A)	2016	1	F	4663
Hunters Hill (A)	2016	1	M	4841
Inner West (A)	2006	0	F	27934
Inner West (A)	2006	0	M	27046
Inner West (A)	2006	1	F	46835
Inner West (A)	2006	1	M	43193
Inner West (A)	2011	0	F	30298
Inner West (A)	2011	0	M	28981
Inner West (A)	2011	1	F	51576
Inner West (A)	2011	1	M	47481
Inner West (A)	2016	0	F	32118
Inner West (A)	2016	0	M	30283
Inner West (A)	2016	1	F	54304
Inner West (A)	2016	1	M	51417
Inverell (A)	2006	0	F	369
Inverell (A)	2006	0	M	361
Inverell (A)	2006	1	F	7079
Inverell (A)	2006	1	M	6914
Inverell (A)	2011	0	F	522
Inverell (A)	2011	0	M	480
Inverell (A)	2011	1	F	7314
Inverell (A)	2011	1	M	6984
Inverell (A)	2016	0	F	557
Inverell (A)	2016	0	M	489
Inverell (A)	2016	1	F	7052
Inverell (A)	2016	1	M	6823
Junee (A)	2006	0	F	119
Junee (A)	2006	0	M	252
Junee (A)	2006	1	F	2206
Junee (A)	2006	1	M	2834
Junee (A)	2011	0	F	126
Junee (A)	2011	0	M	276
Junee (A)	2011	1	F	2275
Junee (A)	2011	1	M	2898
Junee (A)	2016	0	F	170
Junee (A)	2016	0	M	296
Junee (A)	2016	1	F	2247
Junee (A)	2016	1	M	2944
Kempsey (A)	2006	0	F	917
Kempsey (A)	2006	0	M	980
Kempsey (A)	2006	1	F	11768
Kempsey (A)	2006	1	M	11896
Kempsey (A)	2011	0	F	979
Kempsey (A)	2011	0	M	997
Kempsey (A)	2011	1	F	12222
Kempsey (A)	2011	1	M	12306
Kempsey (A)	2016	0	F	1056
Kempsey (A)	2016	0	M	998
Kempsey (A)	2016	1	F	11891
Kempsey (A)	2016	1	M	12046
Kiama (A)	2006	0	F	1276
Kiama (A)	2006	0	M	1134
Kiama (A)	2006	1	F	7959
Kiama (A)	2006	1	M	7722
Kiama (A)	2011	0	F	1474
Kiama (A)	2011	0	M	1310
Kiama (A)	2011	1	F	8369
Kiama (A)	2011	1	M	8105
Kiama (A)	2016	0	F	1552
Kiama (A)	2016	0	M	1410
Kiama (A)	2016	1	F	8631
Kiama (A)	2016	1	M	8409
Ku-ring-gai (A)	2006	0	F	17132
Ku-ring-gai (A)	2006	0	M	15715
Ku-ring-gai (A)	2006	1	F	33396
Ku-ring-gai (A)	2006	1	M	30804
Ku-ring-gai (A)	2011	0	F	20348
Ku-ring-gai (A)	2011	0	M	18483
Ku-ring-gai (A)	2011	1	F	34611
