LGA_NAME16	Year	Sex	overseas_visitors
Bayside (C)	2006	M	260
Bayside (C)	2011	F	344
Bayside (C)	2011	M	257
Bayside (C)	2016	F	567
Bayside (C)	2016	M	378
Benalla (RC)	2006	F	15
Benalla (RC)	2006	M	24
Benalla (RC)	2011	F	28
Benalla (RC)	2011	M	12
Benalla (RC)	2016	F	13
Benalla (RC)	2016	M	10
Boroondara (C)	2006	F	849
Boroondara (C)	2006	M	693
Boroondara (C)	2011	F	1107
Boroondara (C)	2011	M	868
Boroondara (C)	2016	F	1648
Boroondara (C)	2016	M	1346
Brimbank (C)	2006	F	320
Brimbank (C)	2006	M	213
Brimbank (C)	2011	F	572
Brimbank (C)	2011	M	366
Brimbank (C)	2016	F	918
Brimbank (C)	2016	M	656
Buloke (S)	2006	F	12
Buloke (S)	2006	M	5
Buloke (S)	2011	F	5
Buloke (S)	2011	M	6
Buloke (S)	2016	F	24
Buloke (S)	2016	M	22
Campaspe (S)	2006	F	25
Campaspe (S)	2006	M	31
Campaspe (S)	2011	F	31
Campaspe (S)	2011	M	41
Campaspe (S)	2016	F	66
Campaspe (S)	2016	M	49
Cardinia (S)	2006	F	60
Cardinia (S)	2006	M	58
Cardinia (S)	2011	F	113
Cardinia (S)	2011	M	107
Cardinia (S)	2016	F	275
Cardinia (S)	2016	M	183
Casey (C)	2006	F	458
Casey (C)	2006	M	305
Casey (C)	2011	F	754
Casey (C)	2011	M	498
Casey (C)	2016	F	1651
Casey (C)	2016	M	1102
Central Goldfields (S)	2006	F	7
Central Goldfields (S)	2006	M	4
Central Goldfields (S)	2011	F	3
Central Goldfields (S)	2011	M	10
Central Goldfields (S)	2016	F	11
Central Goldfields (S)	2016	M	12
Colac-Otway (S)	2006	F	62
Colac-Otway (S)	2006	M	53
Colac-Otway (S)	2011	F	64
Colac-Otway (S)	2011	M	46
Colac-Otway (S)	2016	F	170
Colac-Otway (S)	2016	M	118
Corangamite (S)	2006	F	53
Corangamite (S)	2006	M	42
Corangamite (S)	2011	F	67
Corangamite (S)	2011	M	48
Corangamite (S)	2016	F	152
Corangamite (S)	2016	M	112
Darebin (C)	2006	F	539
Darebin (C)	2006	M	448
Darebin (C)	2011	F	687
Darebin (C)	2011	M	568
Darebin (C)	2016	F	994
Darebin (C)	2016	M	671
East Gippsland (S)	2006	F	57
East Gippsland (S)	2006	M	46
East Gippsland (S)	2011	F	88
East Gippsland (S)	2011	M	62
East Gippsland (S)	2016	F	107
East Gippsland (S)	2016	M	71
Frankston (C)	2006	F	219
Frankston (C)	2006	M	174
Frankston (C)	2011	F	236
Frankston (C)	2011	M	167
Frankston (C)	2016	F	394
Frankston (C)	2016	M	247
Gannawarra (S)	2006	F	22
Gannawarra (S)	2006	M	10
Gannawarra (S)	2011	F	11
Gannawarra (S)	2011	M	6
Gannawarra (S)	2016	F	13
Gannawarra (S)	2016	M	5
Glen Eira (C)	2006	F	554
Glen Eira (C)	2006	M	423
Glen Eira (C)	2011	F	661
Glen Eira (C)	2011	M	520
Glen Eira (C)	2016	F	1080
Glen Eira (C)	2016	M	737
Glenelg (S)	2006	F	45
Glenelg (S)	2006	M	27
Glenelg (S)	2011	F	31
Glenelg (S)	2011	M	23
Glenelg (S)	2016	F	30
Glenelg (S)	2016	M	24
Golden Plains (S)	2006	F	17
Golden Plains (S)	2006	M	14
Golden Plains (S)	2011	F	22
Golden Plains (S)	2011	M	18
Golden Plains (S)	2016	F	19
Golden Plains (S)	2016	M	12
Greater Bendigo (C)	2006	F	126
Greater Bendigo (C)	2006	M	101
Greater Bendigo (C)	2011	F	135
Greater Bendigo (C)	2011	M	102
Greater Bendigo (C)	2016	F	216
Greater Bendigo (C)	2016	M	170
Greater Dandenong (C)	2006	F	380
Greater Dandenong (C)	2006	M	300
Greater Dandenong (C)	2011	F	578
Greater Dandenong (C)	2011	M	411
Greater Dandenong (C)	2016	F	1120
Greater Dandenong (C)	2016	M	819
Greater Geelong (C)	2006	F	403
Greater Geelong (C)	2006	M	328
Greater Geelong (C)	2011	F	429
Greater Geelong (C)	2011	M	429
Greater Geelong (C)	2016	F	583
Greater Geelong (C)	2016	M	525
Greater Shepparton (C)	2006	F	62
Greater Shepparton (C)	2006	M	63
Greater Shepparton (C)	2011	F	107
Greater Shepparton (C)	2011	M	90
Greater Shepparton (C)	2016	F	224
Greater Shepparton (C)	2016	M	135
Hepburn (S)	2006	F	12
Hepburn (S)	2006	M	16
Hepburn (S)	2011	F	35
Hepburn (S)	2011	M	29
Hepburn (S)	2016	F	33
Hepburn (S)	2016	M	18
Hindmarsh (S)	2006	F	0
Hindmarsh (S)	2006	M	3
Hindmarsh (S)	2011	F	12
Hindmarsh (S)	2011	M	3
Hindmarsh (S)	2016	F	9
Hindmarsh (S)	2016	M	9
Hobsons Bay (C)	2006	F	211
Hobsons Bay (C)	2006	M	154
Hobsons Bay (C)	2011	F	254
Hobsons Bay (C)	2011	M	209
Hobsons Bay (C)	2016	F	392
Hobsons Bay (C)	2016	M	245
Horsham (RC)	2006	F	26
Horsham (RC)	2006	M	15
Horsham (RC)	2011	F	29
Horsham (RC)	2011	M	28
Horsham (RC)	2016	F	36
Horsham (RC)	2016	M	14
Hume (C)	2006	F	258
Hume (C)	2006	M	226
Hume (C)	2011	F	425
Hume (C)	2011	M	376
Hume (C)	2016	F	872
Hume (C)	2016	M	633
Indigo (S)	2006	F	19
Indigo (S)	2006	M	17
Indigo (S)	2011	F	27
Indigo (S)	2011	M	22
Indigo (S)	2016	F	25
Indigo (S)	2016	M	20
Kingston (C) (Vic.)	2006	F	359
Kingston (C) (Vic.)	2006	M	271
Kingston (C) (Vic.)	2011	F	447
Kingston (C) (Vic.)	2011	M	297
Kingston (C) (Vic.)	2016	F	811
Kingston (C) (Vic.)	2016	M	563
Knox (C)	2006	F	343
Knox (C)	2006	M	216
Knox (C)	2011	F	430
Knox (C)	2011	M	288
Knox (C)	2016	F	930
Knox (C)	2016	M	595
Latrobe (C) (Vic.)	2006	F	95
Latrobe (C) (Vic.)	2006	M	90
Latrobe (C) (Vic.)	2011	F	88
Latrobe (C) (Vic.)	2011	M	76
Latrobe (C) (Vic.)	2016	F	90
Latrobe (C) (Vic.)	2016	M	61
Loddon (S)	2006	F	3
Loddon (S)	2006	M	0
Loddon (S)	2011	F	4
Loddon (S)	2011	M	7
Loddon (S)	2016	F	12
Loddon (S)	2016	M	7
Macedon Ranges (S)	2006	F	59
Macedon Ranges (S)	2006	M	48
Macedon Ranges (S)	2011	F	75
Macedon Ranges (S)	2011	M	69
Macedon Ranges (S)	2016	F	103
Macedon Ranges (S)	2016	M	67
Manningham (C)	2006	F	485
Manningham (C)	2006	M	335
Manningham (C)	2011	F	530
Manningham (C)	2011	M	406
Manningham (C)	2016	F	1132
Manningham (C)	2016	M	864
Mansfield (S)	2006	F	31
Mansfield (S)	2006	M	35
Mansfield (S)	2011	F	43
Mansfield (S)	2011	M	40
Mansfield (S)	2016	F	44
Mansfield (S)	2016	M	46
Maribyrnong (C)	2006	F	215
Maribyrnong (C)	2006	M	230
Maribyrnong (C)	2011	F	390
Maribyrnong (C)	2011	M	296
Maribyrnong (C)	2016	F	627
Maribyrnong (C)	2016	M	413
Maroondah (C)	2006	F	157
Maroondah (C)	2006	M	94
Maroondah (C)	2011	F	269
Maroondah (C)	2011	M	169
Maroondah (C)	2016	F	503
Maroondah (C)	2016	M	352
Melbourne (C)	2006	F	4011
Melbourne (C)	2006	M	4560
Melbourne (C)	2011	F	4743
Melbourne (C)	2011	M	5063
Melbourne (C)	2016	F	8764
Melbourne (C)	2016	M	7549
Melton (C)	2006	F	104
Melton (C)	2006	M	71
Melton (C)	2011	F	290
Melton (C)	2011	M	201
Melton (C)	2016	F	581
Melton (C)	2016	M	394
Mildura (RC)	2006	F	214
Mildura (RC)	2006	M	204
Mildura (RC)	2011	F	230
Mildura (RC)	2011	M	193
Mildura (RC)	2016	F	411
Mildura (RC)	2016	M	404
Mitchell (S)	2006	F	38
Mitchell (S)	2006	M	43
Mitchell (S)	2011	F	120
Mitchell (S)	2011	M	101
Mitchell (S)	2016	F	80
Mitchell (S)	2016	M	77
Moira (S)	2006	F	33
Moira (S)	2006	M	22
Moira (S)	2011	F	34
Moira (S)	2011	M	38
Moira (S)	2016	F	74
Moira (S)	2016	M	58
Monash (C)	2006	F	1044
Monash (C)	2006	M	866
Monash (C)	2011	F	1325
Monash (C)	2011	M	1187
Monash (C)	2016	F	2591
Monash (C)	2016	M	1917
Moonee Valley (C)	2006	F	254
Moonee Valley (C)	2006	M	213
Moonee Valley (C)	2011	F	344
Moonee Valley (C)	2011	M	255
Moonee Valley (C)	2016	F	577
Moonee Valley (C)	2016	M	403
Moorabool (S)	2006	F	29
Moorabool (S)	2006	M	26
Moorabool (S)	2011	F	33
Moorabool (S)	2011	M	16
Moorabool (S)	2016	F	44
Moorabool (S)	2016	M	22
Moreland (C)	2006	F	456
Moreland (C)	2006	M	332
Moreland (C)	2011	F	656
Moreland (C)	2011	M	481
Moreland (C)	2016	F	884
Moreland (C)	2016	M	644
Mornington Peninsula (S)	2006	F	254
Mornington Peninsula (S)	2006	M	173
Mornington Peninsula (S)	2011	F	319
Mornington Peninsula (S)	2011	M	214
Mornington Peninsula (S)	2016	F	336
Mornington Peninsula (S)	2016	M	244
Mount Alexander (S)	2006	F	16
Mount Alexander (S)	2006	M	21
Mount Alexander (S)	2011	F	39
Mount Alexander (S)	2011	M	37
Mount Alexander (S)	2016	F	35
Mount Alexander (S)	2016	M	21
Moyne (S)	2006	F	24
Moyne (S)	2006	M	27
Moyne (S)	2011	F	45
Moyne (S)	2011	M	51
Moyne (S)	2016	F	55
Moyne (S)	2016	M	52
Murrindindi (S)	2006	F	25
Murrindindi (S)	2006	M	22
Murrindindi (S)	2011	F	16
Murrindindi (S)	2011	M	20
Murrindindi (S)	2016	F	76
Murrindindi (S)	2016	M	31
Nillumbik (S)	2006	F	96
Nillumbik (S)	2006	M	82
Nillumbik (S)	2011	F	112
Nillumbik (S)	2011	M	114
Nillumbik (S)	2016	F	165
Nillumbik (S)	2016	M	111
Northern Grampians (S)	2006	F	48
Northern Grampians (S)	2006	M	36
Northern Grampians (S)	2011	F	46
Northern Grampians (S)	2011	M	32
Northern Grampians (S)	2016	F	55
Northern Grampians (S)	2016	M	39
Port Phillip (C)	2006	F	944
Port Phillip (C)	2006	M	930
Port Phillip (C)	2011	F	1060
Port Phillip (C)	2011	M	1117
Port Phillip (C)	2016	F	1500
Port Phillip (C)	2016	M	1243
Pyrenees (S)	2006	F	11
Pyrenees (S)	2006	M	3
Pyrenees (S)	2011	F	10
Pyrenees (S)	2011	M	3
Pyrenees (S)	2016	F	7
Pyrenees (S)	2016	M	10
Queenscliffe (B)	2006	F	9
Queenscliffe (B)	2006	M	13
Queenscliffe (B)	2011	F	11
Queenscliffe (B)	2011	M	3
Queenscliffe (B)	2016	F	5
Queenscliffe (B)	2016	M	4
South Gippsland (S)	2006	F	34
South Gippsland (S)	2006	M	25
South Gippsland (S)	2011	F	49
South Gippsland (S)	2011	M	52
South Gippsland (S)	2016	F	78
South Gippsland (S)	2016	M	57
Southern Grampians (S)	2006	F	32
Southern Grampians (S)	2006	M	22
Southern Grampians (S)	2011	F	26
Southern Grampians (S)	2011	M	34
Southern Grampians (S)	2016	F	46
Southern Grampians (S)	2016	M	46
Stonnington (C)	2006	F	587
Stonnington (C)	2006	M	588
Stonnington (C)	2011	F	776
Stonnington (C)	2011	M	709
Stonnington (C)	2016	F	1067
Stonnington (C)	2016	M	818
Strathbogie (S)	2006	F	13
Strathbogie (S)	2006	M	3
Strathbogie (S)	2011	F	10
Strathbogie (S)	2011	M	6
Strathbogie (S)	2016	F	37
Strathbogie (S)	2016	M	15
Surf Coast (S)	2006	F	78
Surf Coast (S)	2006	M	62
Surf Coast (S)	2011	F	91
Surf Coast (S)	2011	M	68
Surf Coast (S)	2016	F	105
Surf Coast (S)	2016	M	84
Swan Hill (RC)	2006	F	61
Swan Hill (RC)	2006	M	65
Swan Hill (RC)	2011	F	81
Swan Hill (RC)	2011	M	145
Swan Hill (RC)	2016	F	119
Swan Hill (RC)	2016	M	120
Towong (S)	2006	F	9
Towong (S)	2006	M	10
Towong (S)	2011	F	8
Towong (S)	2011	M	8
Towong (S)	2016	F	15
Towong (S)	2016	M	8
Wangaratta (RC)	2006	F	38
Wangaratta (RC)	2006	M	26
Wangaratta (RC)	2011	F	42
Wangaratta (RC)	2011	M	35
Wangaratta (RC)	2016	F	50
Wangaratta (RC)	2016	M	47
Warrnambool (C)	2006	F	77
Warrnambool (C)	2006	M	68
Warrnambool (C)	2011	F	89
Warrnambool (C)	2011	M	78
Warrnambool (C)	2016	F	144
Warrnambool (C)	2016	M	141
Wellington (S)	2006	F	65
Wellington (S)	2006	M	41
Wellington (S)	2011	F	86
Wellington (S)	2011	M	83
Wellington (S)	2016	F	86
Wellington (S)	2016	M	85
West Wimmera (S)	2006	F	4
West Wimmera (S)	2006	M	4
West Wimmera (S)	2011	F	3
West Wimmera (S)	2011	M	6
West Wimmera (S)	2016	F	3
West Wimmera (S)	2016	M	4
Whitehorse (C)	2006	F	770
Whitehorse (C)	2006	M	533
Whitehorse (C)	2011	F	986
Whitehorse (C)	2011	M	769
Whitehorse (C)	2016	F	1936
Whitehorse (C)	2016	M	1371
Whittlesea (C)	2006	F	211
Whittlesea (C)	2006	M	127
Whittlesea (C)	2011	F	472
Whittlesea (C)	2011	M	332
Whittlesea (C)	2016	F	1144
Whittlesea (C)	2016	M	728
Wodonga (C)	2006	F	41
Wodonga (C)	2006	M	30
Wodonga (C)	2011	F	42
Wodonga (C)	2011	M	25
Wodonga (C)	2016	F	65
Wodonga (C)	2016	M	50
Wyndham (C)	2006	F	283
Wyndham (C)	2006	M	218
Wyndham (C)	2011	F	819
Wyndham (C)	2011	M	544
Wyndham (C)	2016	F	2119
Wyndham (C)	2016	M	1417
Yarra (C)	2006	F	427
Yarra (C)	2006	M	340
Yarra (C)	2011	F	390
Yarra (C)	2011	M	376
Yarra (C)	2016	F	757
Yarra (C)	2016	M	553
Yarra Ranges (S)	2006	F	250
Yarra Ranges (S)	2006	M	181
Yarra Ranges (S)	2011	F	221
Yarra Ranges (S)	2011	M	176
Yarra Ranges (S)	2016	F	340
Yarra Ranges (S)	2016	M	237
Yarriambiack (S)	2006	F	13
Yarriambiack (S)	2006	M	4
Yarriambiack (S)	2011	F	3
Yarriambiack (S)	2011	M	0
Yarriambiack (S)	2016	F	9
Yarriambiack (S)	2016	M	9
Unincorporated Vic	2006	F	137
Unincorporated Vic	2006	M	205
Unincorporated Vic	2011	F	186
Unincorporated Vic	2011	M	260
Unincorporated Vic	2016	F	235
Unincorporated Vic	2016	M	288
No usual address (Vic.)	2006	F	0
No usual address (Vic.)	2006	M	0
No usual address (Vic.)	2011	F	0
No usual address (Vic.)	2011	M	0
No usual address (Vic.)	2016	F	0
No usual address (Vic.)	2016	M	0
Migratory - Offshore - Shipping (Vic.)	2006	F	25
Migratory - Offshore - Shipping (Vic.)	2006	M	44
Migratory - Offshore - Shipping (Vic.)	2011	F	10
Migratory - Offshore - Shipping (Vic.)	2011	M	62
Migratory - Offshore - Shipping (Vic.)	2016	F	14
Migratory - Offshore - Shipping (Vic.)	2016	M	16
Aurukun (S)	2006	F	0
Aurukun (S)	2006	M	0
Aurukun (S)	2011	F	0
Aurukun (S)	2011	M	0
Aurukun (S)	2016	F	3
Aurukun (S)	2016	M	0
Balonne (S)	2006	F	17
Balonne (S)	2006	M	12
Balonne (S)	2011	F	17
Balonne (S)	2011	M	17
Balonne (S)	2016	F	22
Balonne (S)	2016	M	22
Banana (S)	2006	F	45
Banana (S)	2006	M	66
Banana (S)	2011	F	51
Banana (S)	2011	M	63
Banana (S)	2016	F	36
Banana (S)	2016	M	44
Barcaldine (R)	2006	F	15
Barcaldine (R)	2006	M	11
Barcaldine (R)	2011	F	16
Barcaldine (R)	2011	M	14
Barcaldine (R)	2016	F	11
Barcaldine (R)	2016	M	8
Barcoo (S)	2006	F	0
Barcoo (S)	2006	M	3
Barcoo (S)	2011	F	7
Barcoo (S)	2011	M	3
Barcoo (S)	2016	F	0
Barcoo (S)	2016	M	3
Blackall-Tambo (R)	2006	F	3
Blackall-Tambo (R)	2006	M	0
Blackall-Tambo (R)	2011	F	10
Blackall-Tambo (R)	2011	M	7
Blackall-Tambo (R)	2016	F	15
Blackall-Tambo (R)	2016	M	5
Boulia (S)	2006	F	5
Boulia (S)	2006	M	3
Boulia (S)	2011	F	13
Boulia (S)	2011	M	9
Boulia (S)	2016	F	3
Boulia (S)	2016	M	3
Brisbane (C)	2006	F	9558
Brisbane (C)	2006	M	8121
Brisbane (C)	2011	F	8991
Brisbane (C)	2011	M	7940
Brisbane (C)	2016	F	13107
Brisbane (C)	2016	M	10054
Bulloo (S)	2006	F	0
Bulloo (S)	2006	M	0
Bulloo (S)	2011	F	5
Bulloo (S)	2011	M	8
Bulloo (S)	2016	F	3
Bulloo (S)	2016	M	0
Bundaberg (R)	2006	F	534
Bundaberg (R)	2006	M	524
Bundaberg (R)	2011	F	591
Bundaberg (R)	2011	M	607
Bundaberg (R)	2016	F	681
Bundaberg (R)	2016	M	514
Burdekin (S)	2006	F	177
Burdekin (S)	2006	M	201
Burdekin (S)	2011	F	215
Burdekin (S)	2011	M	257
Burdekin (S)	2016	F	213
Burdekin (S)	2016	M	183
Burke (S)	2006	F	6
Burke (S)	2006	M	19
Burke (S)	2011	F	8
Burke (S)	2011	M	8
Burke (S)	2016	F	8
Burke (S)	2016	M	4
Cairns (R)	2006	F	6321
Cairns (R)	2006	M	5476
Cairns (R)	2011	F	4605
Cairns (R)	2011	M	3917
Cairns (R)	2016	F	5810
Cairns (R)	2016	M	4427
Carpentaria (S)	2006	F	23
Carpentaria (S)	2006	M	17
Carpentaria (S)	2011	F	14
Carpentaria (S)	2011	M	14
Carpentaria (S)	2016	F	13
Carpentaria (S)	2016	M	10
Cassowary Coast (R)	2006	F	397
Cassowary Coast (R)	2006	M	394
Cassowary Coast (R)	2011	F	338
Cassowary Coast (R)	2011	M	313
Cassowary Coast (R)	2016	F	511
Cassowary Coast (R)	2016	M	565
Central Highlands (R) (Qld)	2006	F	77
Central Highlands (R) (Qld)	2006	M	133
Central Highlands (R) (Qld)	2011	F	115
Central Highlands (R) (Qld)	2011	M	120
Central Highlands (R) (Qld)	2016	F	109
Central Highlands (R) (Qld)	2016	M	380
Charters Towers (R)	2006	F	34
Charters Towers (R)	2006	M	42
Charters Towers (R)	2011	F	30
Charters Towers (R)	2011	M	20
Charters Towers (R)	2016	F	37
Charters Towers (R)	2016	M	27
Cherbourg (S)	2006	F	0
Cherbourg (S)	2006	M	0
Cherbourg (S)	2011	F	0
Cherbourg (S)	2011	M	0
Cherbourg (S)	2016	F	0
Cherbourg (S)	2016	M	0
Cloncurry (S)	2006	F	26
Cloncurry (S)	2006	M	22
Cloncurry (S)	2011	F	46
Cloncurry (S)	2011	M	41
Cloncurry (S)	2016	F	25
Cloncurry (S)	2016	M	17
Cook (S)	2006	F	72
Cook (S)	2006	M	79
Cook (S)	2011	F	136
Cook (S)	2011	M	107
Cook (S)	2016	F	169
Cook (S)	2016	M	227
Croydon (S)	2006	F	0
Croydon (S)	2006	M	0
Croydon (S)	2011	F	6
Croydon (S)	2011	M	8
Croydon (S)	2016	F	4
Croydon (S)	2016	M	3
Diamantina (S)	2006	F	3
Diamantina (S)	2006	M	0
Diamantina (S)	2011	F	5
Diamantina (S)	2011	M	5
Diamantina (S)	2016	F	4
Diamantina (S)	2016	M	4
Doomadgee (S)	2006	F	3
Doomadgee (S)	2006	M	0
Doomadgee (S)	2011	F	0
Doomadgee (S)	2011	M	3
Doomadgee (S)	2016	F	0
Doomadgee (S)	2016	M	0
Douglas (S)	2006	F	1437
Douglas (S)	2006	M	1298
Douglas (S)	2011	F	1351
Douglas (S)	2011	M	1228
Douglas (S)	2016	F	1369
Douglas (S)	2016	M	1126
Etheridge (S)	2006	F	44
Etheridge (S)	2006	M	29
Etheridge (S)	2011	F	36
Etheridge (S)	2011	M	33
Etheridge (S)	2016	F	21
Etheridge (S)	2016	M	18
Flinders (S) (Qld)	2006	F	20
Flinders (S) (Qld)	2006	M	23
Flinders (S) (Qld)	2011	F	3
Flinders (S) (Qld)	2011	M	10
Flinders (S) (Qld)	2016	F	4
Flinders (S) (Qld)	2016	M	6
Fraser Coast (R)	2006	F	847
Fraser Coast (R)	2006	M	732
Fraser Coast (R)	2011	F	638
Fraser Coast (R)	2011	M	485
Fraser Coast (R)	2016	F	795
Fraser Coast (R)	2016	M	594
Gladstone (R)	2006	F	269
Gladstone (R)	2006	M	255
Gladstone (R)	2011	F	294
Gladstone (R)	2011	M	285
Gladstone (R)	2016	F	301
Gladstone (R)	2016	M	259
Gold Coast (C)	2006	F	7291
Gold Coast (C)	2006	M	6853
Gold Coast (C)	2011	F	6685
Gold Coast (C)	2011	M	5813
Gold Coast (C)	2016	F	9240
Gold Coast (C)	2016	M	7651
Goondiwindi (R)	2006	F	22
Goondiwindi (R)	2006	M	24
Goondiwindi (R)	2011	F	19
Goondiwindi (R)	2011	M	33
Goondiwindi (R)	2016	F	35
Goondiwindi (R)	2016	M	31
Gympie (R)	2006	F	200
Gympie (R)	2006	M	119
Gympie (R)	2011	F	247
Gympie (R)	2011	M	163
Gympie (R)	2016	F	307
Gympie (R)	2016	M	235
Hinchinbrook (S)	2006	F	32
Hinchinbrook (S)	2006	M	21
Hinchinbrook (S)	2011	F	26
Hinchinbrook (S)	2011	M	34
Hinchinbrook (S)	2016	F	23
Hinchinbrook (S)	2016	M	10
Hope Vale (S)	2006	F	0
Hope Vale (S)	2006	M	0
Hope Vale (S)	2011	F	0
Hope Vale (S)	2011	M	0
Hope Vale (S)	2016	F	0
Hope Vale (S)	2016	M	0
Ipswich (C)	2006	F	317
Ipswich (C)	2006	M	290
Ipswich (C)	2011	F	351
Ipswich (C)	2011	M	286
Ipswich (C)	2016	F	568
Ipswich (C)	2016	M	405
Isaac (R)	2006	F	46
Isaac (R)	2006	M	88
Isaac (R)	2011	F	71
Isaac (R)	2011	M	124
Isaac (R)	2016	F	76
Isaac (R)	2016	M	100
Kowanyama (S)	2006	F	0
Kowanyama (S)	2006	M	0
Kowanyama (S)	2011	F	0
Kowanyama (S)	2011	M	0
Kowanyama (S)	2016	F	0
Kowanyama (S)	2016	M	0
Livingstone (S)	2006	F	222
Livingstone (S)	2006	M	172
Livingstone (S)	2011	F	109
Livingstone (S)	2011	M	89
Livingstone (S)	2016	F	134
Livingstone (S)	2016	M	113
Lockhart River (S)	2006	F	0
Lockhart River (S)	2006	M	0
Lockhart River (S)	2011	F	0
Lockhart River (S)	2011	M	0
Lockhart River (S)	2016	F	5
Lockhart River (S)	2016	M	0
Lockyer Valley (R)	2006	F	129
Lockyer Valley (R)	2006	M	146
Lockyer Valley (R)	2011	F	130
Lockyer Valley (R)	2011	M	133
Lockyer Valley (R)	2016	F	245
Lockyer Valley (R)	2016	M	208
Logan (C)	2006	F	817
Logan (C)	2006	M	591
Logan (C)	2011	F	820
Logan (C)	2011	M	578
Logan (C)	2016	F	1147
Logan (C)	2016	M	784
Longreach (R)	2006	F	12
Longreach (R)	2006	M	21
Longreach (R)	2011	F	23
Longreach (R)	2011	M	22
Longreach (R)	2016	F	18
Longreach (R)	2016	M	11
Mackay (R)	2006	F	354
Mackay (R)	2006	M	334
Mackay (R)	2011	F	272
Mackay (R)	2011	M	304
Mackay (R)	2016	F	351
Mackay (R)	2016	M	268
McKinlay (S)	2006	F	8
McKinlay (S)	2006	M	9
McKinlay (S)	2011	F	24
McKinlay (S)	2011	M	10
McKinlay (S)	2016	F	17
McKinlay (S)	2016	M	9
Mapoon (S)	2006	F	0
Mapoon (S)	2006	M	0
Mapoon (S)	2011	F	0
Mapoon (S)	2011	M	0
Mapoon (S)	2016	F	0
Mapoon (S)	2016	M	0
Maranoa (R)	2006	F	22
Maranoa (R)	2006	M	31
Maranoa (R)	2011	F	37
Maranoa (R)	2011	M	67
Maranoa (R)	2016	F	47
Maranoa (R)	2016	M	22
Mareeba (S)	2006	F	88
Mareeba (S)	2006	M	68
Mareeba (S)	2011	F	140
Mareeba (S)	2011	M	120
Mareeba (S)	2016	F	185
Mareeba (S)	2016	M	181
Moreton Bay (R)	2006	F	957
Moreton Bay (R)	2006	M	743
Moreton Bay (R)	2011	F	1106
Moreton Bay (R)	2011	M	783
Moreton Bay (R)	2016	F	1719
Moreton Bay (R)	2016	M	1132
Mornington (S)	2006	F	9
Mornington (S)	2006	M	3
Mornington (S)	2011	F	0
Mornington (S)	2011	M	0
Mornington (S)	2016	F	4
Mornington (S)	2016	M	0
Mount Isa (C)	2006	F	62
Mount Isa (C)	2006	M	66
Mount Isa (C)	2011	F	100
Mount Isa (C)	2011	M	74
Mount Isa (C)	2016	F	66
Mount Isa (C)	2016	M	42
Murweh (S)	2006	F	0
Murweh (S)	2006	M	0
Murweh (S)	2011	F	10
Murweh (S)	2011	M	9
Murweh (S)	2016	F	17
Murweh (S)	2016	M	12
Napranum (S)	2006	F	0
Napranum (S)	2006	M	0
Napranum (S)	2011	F	0
Napranum (S)	2011	M	0
Napranum (S)	2016	F	0
Napranum (S)	2016	M	0
Noosa (S)	2006	F	1141
Noosa (S)	2006	M	925
Noosa (S)	2011	F	1025
Noosa (S)	2011	M	874
Noosa (S)	2016	F	1111
Noosa (S)	2016	M	913
North Burnett (R)	2006	F	59
North Burnett (R)	2006	M	45
North Burnett (R)	2011	F	77
North Burnett (R)	2011	M	177
North Burnett (R)	2016	F	127
North Burnett (R)	2016	M	156
Northern Peninsula Area (R)	2006	F	0
Northern Peninsula Area (R)	2006	M	3
Northern Peninsula Area (R)	2011	F	7
Northern Peninsula Area (R)	2011	M	12
Northern Peninsula Area (R)	2016	F	3
Northern Peninsula Area (R)	2016	M	3
Palm Island (S)	2006	F	0
Palm Island (S)	2006	M	0
Palm Island (S)	2011	F	3
Palm Island (S)	2011	M	0
Palm Island (S)	2016	F	0
Palm Island (S)	2016	M	3
Paroo (S)	2006	F	7
Paroo (S)	2006	M	3
Paroo (S)	2011	F	4
Paroo (S)	2011	M	7
Paroo (S)	2016	F	11
Paroo (S)	2016	M	3
Pormpuraaw (S)	2006	F	0
Pormpuraaw (S)	2006	M	0
Pormpuraaw (S)	2011	F	0
Pormpuraaw (S)	2011	M	0
Pormpuraaw (S)	2016	F	3
Pormpuraaw (S)	2016	M	0
Quilpie (S)	2006	F	10
Quilpie (S)	2006	M	14
Quilpie (S)	2011	F	13
Quilpie (S)	2011	M	7
Quilpie (S)	2016	F	0
Quilpie (S)	2016	M	0
Redland (C)	2006	F	499
Redland (C)	2006	M	338
Redland (C)	2011	F	432
Redland (C)	2011	M	358
Redland (C)	2016	F	531
Redland (C)	2016	M	370
Richmond (S)	2006	F	10
Richmond (S)	2006	M	3
Richmond (S)	2011	F	8
Richmond (S)	2011	M	15
Richmond (S)	2016	F	12
Richmond (S)	2016	M	10
Rockhampton (R)	2006	F	287
Rockhampton (R)	2006	M	317
Rockhampton (R)	2011	F	166
Rockhampton (R)	2011	M	201
Rockhampton (R)	2016	F	263
Rockhampton (R)	2016	M	204
Scenic Rim (R)	2006	F	190
Scenic Rim (R)	2006	M	167
Scenic Rim (R)	2011	F	141
Scenic Rim (R)	2011	M	110
Scenic Rim (R)	2016	F	149
Scenic Rim (R)	2016	M	139
Somerset (R)	2006	F	33
Somerset (R)	2006	M	40
Somerset (R)	2011	F	50
Somerset (R)	2011	M	42
Somerset (R)	2016	F	47
Somerset (R)	2016	M	37
South Burnett (R)	2006	F	59
South Burnett (R)	2006	M	48
