LGA_NAME16	Year	medianTotalHouseholdIncomeWeekly
Robe (DC)	2011	880
Roxby Downs (M)	2011	2718
Salisbury (C)	2011	1019
Southern Mallee (DC)	2011	864
Streaky Bay (DC)	2011	831
Tatiara (DC)	2011	946
Tea Tree Gully (C)	2011	1243
The Coorong (DC)	2011	787
Tumby Bay (DC)	2011	781
Unley (C)	2011	1423
Victor Harbor (C)	2011	759
Wakefield (DC)	2011	846
Walkerville (M)	2011	1454
Wattle Range (DC)	2011	882
West Torrens (C)	2011	1014
Whyalla (C)	2011	943
Wudinna (DC)	2011	960
Yankalilla (DC)	2011	786
Yorke Peninsula (DC)	2011	740
Unincorporated SA	2011	1134
No usual address (SA)	2011	0
Migratory - Offshore - Shipping (SA)	2011	0
Albany (C)	2011	1000
Armadale (C)	2011	1307
Ashburton (S)	2011	2545
Augusta-Margaret River (S)	2011	1105
Bassendean (T)	2011	1270
Bayswater (C)	2011	1286
Belmont (C)	2011	1263
Beverley (S)	2011	751
Boddington (S)	2011	1736
Boyup Brook (S)	2011	890
Bridgetown-Greenbushes (S)	2011	876
Brookton (S)	2011	874
Broome (S)	2011	1366
Broomehill-Tambellup (S)	2011	887
Bruce Rock (S)	2011	822
Bunbury (C)	2011	1147
Busselton (C)	2011	1083
Cambridge (T)	2011	2278
Canning (C)	2011	1418
Capel (S)	2011	1626
Carnamah (S)	2011	979
Carnarvon (S)	2011	943
Chapman Valley (S)	2011	1075
Chittering (S)	2011	1364
Claremont (T)	2011	1699
Cockburn (C)	2011	1543
Collie (S)	2011	1358
Coolgardie (S)	2011	1722
Coorow (S)	2011	929
Corrigin (S)	2011	890
Cottesloe (T)	2011	2386
Cranbrook (S)	2011	857
Cuballing (S)	2011	919
Cue (S)	2011	710
Cunderdin (S)	2011	987
Dalwallinu (S)	2011	1165
Dandaragan (S)	2011	992
Dardanup (S)	2011	1509
Denmark (S)	2011	859
Derby-West Kimberley (S)	2011	1225
Donnybrook-Balingup (S)	2011	997
Dowerin (S)	2011	841
Dumbleyung (S)	2011	803
Dundas (S)	2011	1058
East Fremantle (T)	2011	1754
East Pilbara (S)	2011	2600
Esperance (S)	2011	1130
Exmouth (S)	2011	1112
Fremantle (C)	2011	1285
Gingin (S)	2011	944
Gnowangerup (S)	2011	987
Goomalling (S)	2011	846
Gosnells (C)	2011	1369
Greater Geraldton (C)	2011	1204
Halls Creek (S)	2011	978
Harvey (S)	2011	1466
Irwin (S)	2011	993
Jerramungup (S)	2011	979
Joondalup (C)	2011	1759
Kalamunda (S)	2011	1514
Kalgoorlie/Boulder (C)	2011	1911
Karratha (C)	2011	2743
Katanning (S)	2011	951
Kellerberrin (S)	2011	808
Kent (S)	2011	974
Kojonup (S)	2011	945
Kondinin (S)	2011	916
Koorda (S)	2011	859
Kulin (S)	2011	913
Kwinana (C)	2011	1249
Lake Grace (S)	2011	1042
Laverton (S)	2011	933
Leonora (S)	2011	1685
Mandurah (C)	2011	982
Manjimup (S)	2011	905
Meekatharra (S)	2011	1010
Melville (C)	2011	1594
Menzies (S)	2011	880
Merredin (S)	2011	1128
Mingenew (S)	2011	1141
Moora (S)	2011	1203
Morawa (S)	2011	1062
Mosman Park (T)	2011	1490
Mount Magnet (S)	2011	971
Mount Marshall (S)	2011	988
Mukinbudin (S)	2011	966
Mundaring (S)	2011	1520
Murchison (S)	2011	1053
Murray (S)	2011	1059
Nannup (S)	2011	830
Narembeen (S)	2011	955
Narrogin (S)	2011	1009
Nedlands (C)	2011	2472
Ngaanyatjarraku (S)	2011	1005
Northam (S)	2011	1001
Northampton (S)	2011	785
Nungarin (S)	2011	790
Peppermint Grove (S)	2011	2641
Perenjori (S)	2011	1058
Perth (C)	2011	1730
Pingelly (S)	2011	764
Plantagenet (S)	2011	882
Port Hedland (T)	2011	2745
Quairading (S)	2011	879
Ravensthorpe (S)	2011	1343
Rockingham (C)	2011	1406
Sandstone (S)	2011	850
Serpentine-Jarrahdale (S)	2011	1631
Shark Bay (S)	2011	927
South Perth (C)	2011	1577
Stirling (C)	2011	1350
Subiaco (C)	2011	1573
Swan (C)	2011	1438
Tammin (S)	2011	911
Three Springs (S)	2011	995
Toodyay (S)	2011	1010
Trayning (S)	2011	814
Upper Gascoyne (S)	2011	941
Victoria Park (T)	2011	1356
Victoria Plains (S)	2011	911
Vincent (C)	2011	1634
Wagin (S)	2011	824
Wandering (S)	2011	1286
Wanneroo (C)	2011	1509
Waroona (S)	2011	1105
West Arthur (S)	2011	889
Westonia (S)	2011	1145
Wickepin (S)	2011	793
Williams (S)	2011	1012
Wiluna (S)	2011	1146
Wongan-Ballidu (S)	2011	1158
Woodanilling (S)	2011	892
Wyalkatchem (S)	2011	787
Wyndham-East Kimberley (S)	2011	1392
Yalgoo (S)	2011	1062
Yilgarn (S)	2011	1149
York (S)	2011	914
No usual address (WA)	2011	0
Migratory - Offshore - Shipping (WA)	2011	0
Break O'Day (M)	2011	676
Brighton (M)	2011	954
Burnie (C)	2011	852
Central Coast (M) (Tas.)	2011	866
Central Highlands (M) (Tas.)	2011	725
Circular Head (M)	2011	940
Clarence (C)	2011	1119
Derwent Valley (M)	2011	866
Devonport (C)	2011	833
Dorset (M)	2011	741
Flinders (M) (Tas.)	2011	825
George Town (M)	2011	796
Glamorgan/Spring Bay (M)	2011	756
Glenorchy (C)	2011	867
Hobart (C)	2011	1256
Huon Valley (M)	2011	865
Kentish (M)	2011	811
King Island (M)	2011	968
Kingborough (M)	2011	1203
Latrobe (M) (Tas.)	2011	925
Launceston (C)	2011	905
Meander Valley (M)	2011	922
Northern Midlands (M)	2011	906
Sorell (M)	2011	949
Southern Midlands (M)	2011	870
Tasman (M)	2011	697
Waratah/Wynyard (M)	2011	844
West Coast (M)	2011	1045
West Tamar (M)	2011	1026
No usual address (Tas.)	2011	0
Migratory - Offshore - Shipping (Tas.)	2011	0
Alice Springs (T)	2011	1611
Barkly (R)	2011	1116
Belyuen (S)	2011	1107
Central Desert (R)	2011	1066
Coomalie (S)	2011	883
Darwin (C)	2011	1723
East Arnhem (R)	2011	1410
Katherine (T)	2011	1429
Litchfield (M)	2011	1628
MacDonnell (R)	2011	1011
Palmerston (C)	2011	1789
Roper Gulf (R)	2011	1009
Tiwi Islands (R)	2011	775
Victoria Daly (R)	2011	1071
Wagait (S)	2011	1279
West Arnhem (R)	2011	1598
West Daly (R)	2011	903
Unincorporated NT	2011	1804
No usual address (NT)	2011	0
Migratory - Offshore - Shipping (NT)	2011	0
Unincorporated ACT	2011	1883
No usual address (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	1660
No usual address (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	1182
Armidale Regional (A)	2016	1170
Ballina (A)	2016	1151
Balranald (A)	2016	1167
Bathurst Regional (A)	2016	1309
Bega Valley (A)	2016	988
Bellingen (A)	2016	994
Berrigan (A)	2016	963
Blacktown (C)	2016	1709
Bland (A)	2016	1103
Blayney (A)	2016	1227
Blue Mountains (C)	2016	1465
Bogan (A)	2016	1152
Botany Bay (C)	2016	1624
Bourke (A)	2016	1202
Brewarrina (A)	2016	850
Broken Hill (C)	2016	974
Burwood (A)	2016	1566
Byron (A)	2016	1143
Cabonne (A)	2016	1301
Camden (A)	2016	2043
Campbelltown (C) (NSW)	2016	1458
Canada Bay (A)	2016	2058
Canterbury-Bankstown (A)	2016	1296
Carrathool (A)	2016	1228
Central Coast (C) (NSW)	2016	1256
Central Darling (A)	2016	918
Cessnock (C)	2016	1177
Clarence Valley (A)	2016	916
Cobar (A)	2016	1462
Coffs Harbour (C)	2016	1104
Coolamon (A)	2016	1165
Coonamble (A)	2016	979
Cowra (A)	2016	963
Cumberland (A)	2016	1377
Dungog (A)	2016	1225
Edward River (A)	2016	1082
Eurobodalla (A)	2016	946
Fairfield (C)	2016	1220
Federation (A)	2016	1021
Forbes (A)	2016	1072
Georges River (A)	2016	1651
Gilgandra (A)	2016	992
Glen Innes Severn (A)	2016	841
Goulburn Mulwaree (A)	2016	1195
Greater Hume Shire (A)	2016	1166
Griffith (C)	2016	1330
Gundagai (A)	2016	967
Gunnedah (A)	2016	1252
Gwydir (A)	2016	908
Hawkesbury (C)	2016	1664
Hay (A)	2016	1081
Hilltops (A)	2016	978
Hornsby (A)	2016	2116
Hunters Hill (A)	2016	2463
Inner West (A)	2016	2042
Inverell (A)	2016	948
Junee (A)	2016	1142
Kempsey (A)	2016	896
Kiama (A)	2016	1498
Ku-ring-gai (A)	2016	2633
Kyogle (A)	2016	828
Lachlan (A)	2016	1034
Lake Macquarie (C)	2016	1310
Lane Cove (A)	2016	2369
Leeton (A)	2016	1190
Lismore (C)	2016	1064
Lithgow (C)	2016	987
Liverpool (C)	2016	1548
Liverpool Plains (A)	2016	1033
Lockhart (A)	2016	1109
Maitland (C)	2016	1413
Mid-Coast (A)	2016	890
Mid-Western Regional (A)	2016	1137
Moree Plains (A)	2016	1220
Mosman (A)	2016	2507
Murray River (A)	2016	1071
Murrumbidgee (A)	2016	1190
Muswellbrook (A)	2016	1343
Nambucca (A)	2016	845
Narrabri (A)	2016	1247
Narrandera (A)	2016	1015
Narromine (A)	2016	1071
Newcastle (C)	2016	1366
North Sydney (A)	2016	2356
Northern Beaches (A)	2016	2173
Oberon (A)	2016	1236
Orange (C)	2016	1296
Parkes (A)	2016	1092
Parramatta (C)	2016	1756
Penrith (C)	2016	1655
Port Macquarie-Hastings (A)	2016	1043
Port Stephens (A)	2016	1180
Queanbeyan-Palerang Regional (A)	2016	1871
Randwick (C)	2016	1910
Richmond Valley (A)	2016	952
Rockdale (C)	2016	1572
Ryde (C)	2016	1781
Shellharbour (C)	2016	1341
Shoalhaven (C)	2016	994
Singleton (A)	2016	1682
Snowy Monaro Regional (A)	2016	1299
Snowy Valleys (A)	2016	1123
Strathfield (A)	2016	1777
Sutherland Shire (A)	2016	1976
Sydney (C)	2016	1916
Tamworth Regional (A)	2016	1175
Temora (A)	2016	1030
Tenterfield (A)	2016	770
The Hills Shire (A)	2016	2359
Tweed (A)	2016	1056
Upper Hunter Shire (A)	2016	1240
Upper Lachlan Shire (A)	2016	1165
Uralla (A)	2016	1056
Wagga Wagga (C)	2016	1353
Walcha (A)	2016	1049
Walgett (A)	2016	829
Warren (A)	2016	1103
Warrumbungle Shire (A)	2016	875
Waverley (A)	2016	2300
Weddin (A)	2016	904
Wentworth (A)	2016	1039
Western Plains Regional (A)	2016	1268
Willoughby (C)	2016	2267
Wingecarribee (A)	2016	1335
Wollondilly (A)	2016	1865
Wollongong (C)	2016	1335
Woollahra (A)	2016	2665
Yass Valley (A)	2016	1866
Unincorporated NSW	2016	1217
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2016	0
Alpine (S)	2016	1050
Ararat (RC)	2016	1000
Ballarat (C)	2016	1159
Banyule (C)	2016	1651
Bass Coast (S)	2016	930
Baw Baw (S)	2016	1194
Bayside (C)	2016	2139
Benalla (RC)	2016	947
Boroondara (C)	2016	2078
Brimbank (C)	2016	1261
Buloke (S)	2016	840
Campaspe (S)	2016	1081
Cardinia (S)	2016	1494
Casey (C)	2016	1552
Central Goldfields (S)	2016	774
Colac-Otway (S)	2016	1057
Corangamite (S)	2016	1042
Darebin (C)	2016	1420
East Gippsland (S)	2016	939
Frankston (C)	2016	1328
Gannawarra (S)	2016	909
Glen Eira (C)	2016	1736
Glenelg (S)	2016	1045
Golden Plains (S)	2016	1442
Greater Bendigo (C)	2016	1182
Greater Dandenong (C)	2016	1168
Greater Geelong (C)	2016	1242
Greater Shepparton (C)	2016	1160
Hepburn (S)	2016	999
Hindmarsh (S)	2016	909
Hobsons Bay (C)	2016	1564
Horsham (RC)	2016	1111
Hume (C)	2016	1377
Indigo (S)	2016	1261
Kingston (C) (Vic.)	2016	1533
Knox (C)	2016	1558
Latrobe (C) (Vic.)	2016	1079
Loddon (S)	2016	823
Macedon Ranges (S)	2016	1631
Manningham (C)	2016	1638
Mansfield (S)	2016	1074
Maribyrnong (C)	2016	1543
Maroondah (C)	2016	1541
Melbourne (C)	2016	1348
Melton (C)	2016	1539
Mildura (RC)	2016	1061
Mitchell (S)	2016	1388
Moira (S)	2016	1011
Monash (C)	2016	1509
Moonee Valley (C)	2016	1632
Moorabool (S)	2016	1387
Moreland (C)	2016	1501
Mornington Peninsula (S)	2016	1275
Mount Alexander (S)	2016	1001
Moyne (S)	2016	1222
Murrindindi (S)	2016	1070
Nillumbik (S)	2016	2094
Northern Grampians (S)	2016	938
Port Phillip (C)	2016	1837
Pyrenees (S)	2016	877
Queenscliffe (B)	2016	1176
South Gippsland (S)	2016	1041
Southern Grampians (S)	2016	1042
Stonnington (C)	2016	1941
Strathbogie (S)	2016	963
Surf Coast (S)	2016	1569
Swan Hill (RC)	2016	1094
Towong (S)	2016	1037
Wangaratta (RC)	2016	1086
Warrnambool (C)	2016	1181
Wellington (S)	2016	1105
West Wimmera (S)	2016	991
Whitehorse (C)	2016	1502
Whittlesea (C)	2016	1441
Wodonga (C)	2016	1269
Wyndham (C)	2016	1617
Yarra (C)	2016	1950
Yarra Ranges (S)	2016	1497
Yarriambiack (S)	2016	883
Unincorporated Vic	2016	2221
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2016	1026
Balonne (S)	2016	1203
Banana (S)	2016	1545
Barcaldine (R)	2016	1090
Barcoo (S)	2016	1148
Blackall-Tambo (R)	2016	1001
Boulia (S)	2016	1271
Brisbane (C)	2016	1743
Bulloo (S)	2016	1323
Bundaberg (R)	2016	971
Burdekin (S)	2016	1158
Burke (S)	2016	1068
Cairns (R)	2016	1324
Carpentaria (S)	2016	1140
Cassowary Coast (R)	2016	1065
Central Highlands (R) (Qld)	2016	1740
Charters Towers (R)	2016	1026
Cherbourg (S)	2016	775
Cloncurry (S)	2016	1412
Cook (S)	2016	1126
Croydon (S)	2016	1100
Diamantina (S)	2016	1454
Doomadgee (S)	2016	1103
Douglas (S)	2016	1202
Etheridge (S)	2016	802
Flinders (S) (Qld)	2016	1084
Fraser Coast (R)	2016	910
Gladstone (R)	2016	1547
Gold Coast (C)	2016	1397
Goondiwindi (R)	2016	1200
Gympie (R)	2016	938
Hinchinbrook (S)	2016	1024
Hope Vale (S)	2016	808
Ipswich (C)	2016	1408
Isaac (R)	2016	2086
Kowanyama (S)	2016	973
Livingstone (S)	2016	1269
Lockhart River (S)	2016	1062
Lockyer Valley (R)	2016	1193
Logan (C)	2016	1414
Longreach (R)	2016	1202
Mackay (R)	2016	1439
McKinlay (S)	2016	1062
Mapoon (S)	2016	1109
Maranoa (R)	2016	1333
Mareeba (S)	2016	1038
Moreton Bay (R)	2016	1408
Mornington (S)	2016	1034
Mount Isa (C)	2016	2080
Murweh (S)	2016	1089
Napranum (S)	2016	839
Noosa (S)	2016	1191
North Burnett (R)	2016	920
Northern Peninsula Area (R)	2016	1200
Palm Island (S)	2016	1135
Paroo (S)	2016	877
Pormpuraaw (S)	2016	845
Quilpie (S)	2016	991
Redland (C)	2016	1518
Richmond (S)	2016	1116
Rockhampton (R)	2016	1248
Scenic Rim (R)	2016	1219
Somerset (R)	2016	1086
South Burnett (R)	2016	924
Southern Downs (R)	2016	976
Sunshine Coast (R)	2016	1267
Tablelands (R)	2016	973
Toowoomba (R)	2016	1266
Torres (S)	2016	1829
Torres Strait Island (R)	2016	936
Townsville (C)	2016	1414
Weipa (T)	2016	2413
Western Downs (R)	2016	1206
Whitsunday (R)	2016	1178
Winton (S)	2016	1023
Woorabinda (S)	2016	742
Wujal Wujal (S)	2016	840
Yarrabah (S)	2016	1144
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2016	0
Adelaide (C)	2016	1255
Adelaide Hills (DC)	2016	1694
Alexandrina (DC)	2016	991
Anangu Pitjantjatjara (AC)	2016	1238
Barossa (DC)	2016	1266
Barunga West (DC)	2016	846
Berri and Barmera (DC)	2016	971
Burnside (C)	2016	1712
Campbelltown (C) (SA)	2016	1246
Ceduna (DC)	2016	1339
Charles Sturt (C)	2016	1229
Clare and Gilbert Valleys (DC)	2016	1132
Cleve (DC)	2016	1122
Coober Pedy (DC)	2016	882
Copper Coast (DC)	2016	883
Elliston (DC)	2016	967
Flinders Ranges (DC)	2016	960
Franklin Harbour (DC)	2016	1091
Gawler (T)	2016	1112
Goyder (DC)	2016	891
Grant (DC)	2016	1382
Holdfast Bay (C)	2016	1356
Kangaroo Island (DC)	2016	962
Karoonda East Murray (DC)	2016	871
Kimba (DC)	2016	1243
Kingston (DC) (SA)	2016	968
Light (RegC)	2016	1462
Lower Eyre Peninsula (DC)	2016	1259
Loxton Waikerie (DC)	2016	1005
Mallala (DC)	2016	1328
Maralinga Tjarutja (AC)	2016	3374
Marion (C)	2016	1260
Mid Murray (DC)	2016	842
Mitcham (C)	2016	1599
Mount Barker (DC)	2016	1431
Mount Gambier (C)	2016	1052
Mount Remarkable (DC)	2016	939
Murray Bridge (RC)	2016	973
Naracoorte and Lucindale (DC)	2016	1201
Northern Areas (DC)	2016	1057
Norwood Payneham St Peters (C)	2016	1304
Onkaparinga (C)	2016	1191
Orroroo/Carrieton (DC)	2016	1013
Peterborough (DC)	2016	704
Playford (C)	2016	1012
Port Adelaide Enfield (C)	2016	1139
Port Augusta (C)	2016	1094
Port Lincoln (C)	2016	1080
Port Pirie City and Dists (M)	2016	905
Prospect (C)	2016	1570
Renmark Paringa (DC)	2016	1016
Robe (DC)	2016	1060
Roxby Downs (M)	2016	2456
Salisbury (C)	2016	1140
Southern Mallee (DC)	2016	1152
Streaky Bay (DC)	2016	1068
Tatiara (DC)	2016	1166
Tea Tree Gully (C)	2016	1380
The Coorong (DC)	2016	927
Tumby Bay (DC)	2016	967
Unley (C)	2016	1631
Victor Harbor (C)	2016	837
Wakefield (DC)	2016	1041
Walkerville (M)	2016	1692
Wattle Range (DC)	2016	1024
West Torrens (C)	2016	1217
Whyalla (C)	2016	987
Wudinna (DC)	2016	1142
Yankalilla (DC)	2016	935
Yorke Peninsula (DC)	2016	854
Unincorporated SA	2016	1090
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2016	0
Albany (C)	2016	1206
Armadale (C)	2016	1494
Ashburton (S)	2016	2313
Augusta-Margaret River (S)	2016	1281
Bassendean (T)	2016	1504
Bayswater (C)	2016	1502
Belmont (C)	2016	1424
Beverley (S)	2016	997
Boddington (S)	2016	1847
Boyup Brook (S)	2016	1098
Bridgetown-Greenbushes (S)	2016	1029
Brookton (S)	2016	1104
Broome (S)	2016	1547
Broomehill-Tambellup (S)	2016	1242
Bruce Rock (S)	2016	1086
Bunbury (C)	2016	1194
Busselton (C)	2016	1299
Cambridge (T)	2016	2437
Canning (C)	2016	1556
Capel (S)	2016	1720
Carnamah (S)	2016	1125
Carnarvon (S)	2016	1140
Chapman Valley (S)	2016	1572
Chittering (S)	2016	1639
Claremont (T)	2016	2069
Cockburn (C)	2016	1750
Collie (S)	2016	1157
Coolgardie (S)	2016	1802
Coorow (S)	2016	951
Corrigin (S)	2016	1329
Cottesloe (T)	2016	2620
Cranbrook (S)	2016	1042
Cuballing (S)	2016	1111
Cue (S)	2016	1010
Cunderdin (S)	2016	1275
Dalwallinu (S)	2016	1402
Dandaragan (S)	2016	1193
Dardanup (S)	2016	1543
Denmark (S)	2016	1020
Derby-West Kimberley (S)	2016	1297
Donnybrook-Balingup (S)	2016	1159
Dowerin (S)	2016	1135
Dumbleyung (S)	2016	1092
Dundas (S)	2016	882
East Fremantle (T)	2016	2039
East Pilbara (S)	2016	2226
Esperance (S)	2016	1352
Exmouth (S)	2016	1308
Fremantle (C)	2016	1563
Gingin (S)	2016	1124
Gnowangerup (S)	2016	1316
Goomalling (S)	2016	1114
Gosnells (C)	2016	1479
Greater Geraldton (C)	2016	1335
Halls Creek (S)	2016	1059
Harvey (S)	2016	1549
Irwin (S)	2016	1085
Jerramungup (S)	2016	1299
Joondalup (C)	2016	1950
Kalamunda (S)	2016	1656
Kalgoorlie/Boulder (C)	2016	2057
Karratha (C)	2016	2477
Katanning (S)	2016	1205
Kellerberrin (S)	2016	1022
Kent (S)	2016	1337
Kojonup (S)	2016	1299
Kondinin (S)	2016	1266
Koorda (S)	2016	1098
Kulin (S)	2016	1213
Kwinana (C)	2016	1468
Lake Grace (S)	2016	1405
Laverton (S)	2016	1132
Leonora (S)	2016	1654
Mandurah (C)	2016	1159
Manjimup (S)	2016	1121
Meekatharra (S)	2016	1342
Melville (C)	2016	1830
Menzies (S)	2016	1142
Merredin (S)	2016	1344
Mingenew (S)	2016	1256
Moora (S)	2016	1376
Morawa (S)	2016	1141
Mosman Park (T)	2016	1862
Mount Magnet (S)	2016	1125
Mount Marshall (S)	2016	1240
Mukinbudin (S)	2016	1361
Mundaring (S)	2016	1658
Murchison (S)	2016	1286
Murray (S)	2016	1216
Nannup (S)	2016	971
Narembeen (S)	2016	1200
Narrogin (S)	2016	1224
Nedlands (C)	2016	2690
Ngaanyatjarraku (S)	2016	1206
Northam (S)	2016	1181
Northampton (S)	2016	981
Nungarin (S)	2016	1057
Peppermint Grove (S)	2016	3428
Perenjori (S)	2016	1335
Perth (C)	2016	1808
Pingelly (S)	2016	894
Plantagenet (S)	2016	1029
Port Hedland (T)	2016	2443
Quairading (S)	2016	906
Ravensthorpe (S)	2016	1189
Rockingham (C)	2016	1550
Sandstone (S)	2016	1156
Serpentine-Jarrahdale (S)	2016	1855
Shark Bay (S)	2016	1074
South Perth (C)	2016	1772
Stirling (C)	2016	1558
Subiaco (C)	2016	1832
Swan (C)	2016	1618
Tammin (S)	2016	1261
Three Springs (S)	2016	1157
Toodyay (S)	2016	1164
Trayning (S)	2016	919
Upper Gascoyne (S)	2016	1050
Victoria Park (T)	2016	1549
Victoria Plains (S)	2016	1244
Vincent (C)	2016	2004
Wagin (S)	2016	969
Wandering (S)	2016	1538
Wanneroo (C)	2016	1693
Waroona (S)	2016	1214
West Arthur (S)	2016	1146
Westonia (S)	2016	1562
Wickepin (S)	2016	1102
Williams (S)	2016	1442
Wiluna (S)	2016	1115
Wongan-Ballidu (S)	2016	1238
Woodanilling (S)	2016	1201
Wyalkatchem (S)	2016	837
Wyndham-East Kimberley (S)	2016	1565
Yalgoo (S)	2016	1312
Yilgarn (S)	2016	1188
York (S)	2016	1020
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2016	0
Break O'Day (M)	2016	751
Brighton (M)	2016	1109
Burnie (C)	2016	993
Central Coast (M) (Tas.)	2016	1001
Central Highlands (M) (Tas.)	2016	842
Circular Head (M)	2016	1086
Clarence (C)	2016	1303
Derwent Valley (M)	2016	1001
Devonport (C)	2016	948
Dorset (M)	2016	824
Flinders (M) (Tas.)	2016	1043
George Town (M)	2016	855
Glamorgan/Spring Bay (M)	2016	866
Glenorchy (C)	2016	1017
Hobart (C)	2016	1435
Huon Valley (M)	2016	987
Kentish (M)	2016	996
King Island (M)	2016	1199
Kingborough (M)	2016	1361
Latrobe (M) (Tas.)	2016	1079
Launceston (C)	2016	1039
Meander Valley (M)	2016	1041
Northern Midlands (M)	2016	1036
Sorell (M)	2016	1131
Southern Midlands (M)	2016	1046
Tasman (M)	2016	792
Waratah/Wynyard (M)	2016	940
West Coast (M)	2016	952
West Tamar (M)	2016	1137
No usual address (Tas.)	2016	0
Migratory - Offshore - Shipping (Tas.)	2016	0
Alice Springs (T)	2016	1878
Barkly (R)	2016	1255
Belyuen (S)	2016	850
Central Desert (R)	2016	1225
Coomalie (S)	2016	1101
Darwin (C)	2016	2133
East Arnhem (R)	2016	1349
Katherine (T)	2016	1690
Litchfield (M)	2016	2110
MacDonnell (R)	2016	1096
Palmerston (C)	2016	2191
Roper Gulf (R)	2016	1120
Tiwi Islands (R)	2016	786
Victoria Daly (R)	2016	1093
Wagait (S)	2016	1441
West Arnhem (R)	2016	1481
West Daly (R)	2016	1093
Unincorporated NT	2016	1862
No usual address (NT)	2016	0
Migratory - Offshore - Shipping (NT)	2016	0
Unincorporated ACT	2016	2067
No usual address (ACT)	2016	0
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2016	1398
No usual address (OT)	2016	0
Migratory - Offshore - Shipping (OT)	2016	0
