LGA_NAME16	Year	employmentToPopulation
Toowoomba (R)	2011	58
Toowoomba (R)	2016	55.5
Torres (S)	2006	59.9
Torres (S)	2011	58.6
Torres (S)	2016	52.6
Torres Strait Island (R)	2006	66.5
Torres Strait Island (R)	2011	56
Torres Strait Island (R)	2016	32.8
Townsville (C)	2006	63
Townsville (C)	2011	63.2
Townsville (C)	2016	58
Weipa (T)	2006	79.6
Weipa (T)	2011	75
Weipa (T)	2016	75.1
Western Downs (R)	2006	59.8
Western Downs (R)	2011	60
Western Downs (R)	2016	55.3
Whitsunday (R)	2006	60.4
Whitsunday (R)	2011	60.6
Whitsunday (R)	2016	56.7
Winton (S)	2006	61.8
Winton (S)	2011	64.3
Winton (S)	2016	59.7
Woorabinda (S)	2006	48.1
Woorabinda (S)	2011	34
Woorabinda (S)	2016	30.5
Wujal Wujal (S)	2006	60.7
Wujal Wujal (S)	2011	47.9
Wujal Wujal (S)	2016	30
Yarrabah (S)	2006	63.5
Yarrabah (S)	2011	19.8
Yarrabah (S)	2016	20.3
No usual address (Qld)	2006	35.3
No usual address (Qld)	2011	31.3
No usual address (Qld)	2016	26.3
Migratory - Offshore - Shipping (Qld)	2006	79.8
Migratory - Offshore - Shipping (Qld)	2011	53.4
Migratory - Offshore - Shipping (Qld)	2016	40.3
Adelaide (C)	2006	49.4
Adelaide (C)	2011	49.2
Adelaide (C)	2016	44.5
Adelaide Hills (DC)	2006	65.6
Adelaide Hills (DC)	2011	65.4
Adelaide Hills (DC)	2016	61.7
Alexandrina (DC)	2006	48.6
Alexandrina (DC)	2011	50.4
Alexandrina (DC)	2016	46.1
Anangu Pitjantjatjara (AC)	2006	49.1
Anangu Pitjantjatjara (AC)	2011	39.4
Anangu Pitjantjatjara (AC)	2016	29.9
Barossa (DC)	2006	62.4
Barossa (DC)	2011	61.8
Barossa (DC)	2016	58.2
Barunga West (DC)	2006	44.5
Barunga West (DC)	2011	44.7
Barunga West (DC)	2016	41.5
Berri and Barmera (DC)	2006	55.4
Berri and Barmera (DC)	2011	50.8
Berri and Barmera (DC)	2016	49.9
Burnside (C)	2006	57.1
Burnside (C)	2011	57.2
Burnside (C)	2016	55.3
Campbelltown (C) (SA)	2006	54.3
Campbelltown (C) (SA)	2011	55.4
Campbelltown (C) (SA)	2016	54.7
Ceduna (DC)	2006	60
Ceduna (DC)	2011	62.4
Ceduna (DC)	2016	56.7
Charles Sturt (C)	2006	52.4
Charles Sturt (C)	2011	54.9
Charles Sturt (C)	2016	54.8
Clare and Gilbert Valleys (DC)	2006	60.6
Clare and Gilbert Valleys (DC)	2011	60
Clare and Gilbert Valleys (DC)	2016	56.1
Cleve (DC)	2006	64.3
Cleve (DC)	2011	65.4
Cleve (DC)	2016	60.2
Coober Pedy (DC)	2006	43.8
Coober Pedy (DC)	2011	48.5
Coober Pedy (DC)	2016	43
Copper Coast (DC)	2006	42.7
Copper Coast (DC)	2011	45
Copper Coast (DC)	2016	41.5
Elliston (DC)	2006	64
Elliston (DC)	2011	62.9
Elliston (DC)	2016	58.9
Flinders Ranges (DC)	2006	46.7
Flinders Ranges (DC)	2011	55
Flinders Ranges (DC)	2016	49.1
Franklin Harbour (DC)	2006	57.6
Franklin Harbour (DC)	2011	54.4
Franklin Harbour (DC)	2016	49.9
Gawler (T)	2006	54.1
Gawler (T)	2011	55.3
Gawler (T)	2016	51.9
Goyder (DC)	2006	54.2
Goyder (DC)	2011	52.3
Goyder (DC)	2016	49.8
Grant (DC)	2006	65.4
Grant (DC)	2011	63.8
Grant (DC)	2016	58.1
Holdfast Bay (C)	2006	54.9
Holdfast Bay (C)	2011	56.7
Holdfast Bay (C)	2016	55.3
Kangaroo Island (DC)	2006	61.6
Kangaroo Island (DC)	2011	60.7
Kangaroo Island (DC)	2016	55.1
Karoonda East Murray (DC)	2006	59.8
Karoonda East Murray (DC)	2011	58.7
Karoonda East Murray (DC)	2016	53.8
Kimba (DC)	2006	68.1
Kimba (DC)	2011	65.6
Kimba (DC)	2016	64.3
Kingston (DC) (SA)	2006	58.4
Kingston (DC) (SA)	2011	55.8
Kingston (DC) (SA)	2016	53.2
Light (RegC)	2006	63.6
Light (RegC)	2011	64.8
Light (RegC)	2016	63.3
Lower Eyre Peninsula (DC)	2006	58.3
Lower Eyre Peninsula (DC)	2011	60.9
Lower Eyre Peninsula (DC)	2016	57.4
Loxton Waikerie (DC)	2006	59.5
Loxton Waikerie (DC)	2011	56.1
Loxton Waikerie (DC)	2016	52.8
Mallala (DC)	2006	58.8
Mallala (DC)	2011	60.2
Mallala (DC)	2016	57.8
Maralinga Tjarutja (AC)	2006	41.6
Maralinga Tjarutja (AC)	2011	30.4
Maralinga Tjarutja (AC)	2016	16
Marion (C)	2006	56.3
Marion (C)	2011	57.9
Marion (C)	2016	56.4
Mid Murray (DC)	2006	49.2
Mid Murray (DC)	2011	47.3
Mid Murray (DC)	2016	43.8
Mitcham (C)	2006	59.6
Mitcham (C)	2011	60.1
Mitcham (C)	2016	57.9
Mount Barker (DC)	2006	63.6
Mount Barker (DC)	2011	65.1
Mount Barker (DC)	2016	61.4
Mount Gambier (C)	2006	58.4
Mount Gambier (C)	2011	57.4
Mount Gambier (C)	2016	55.1
Mount Remarkable (DC)	2006	54.3
Mount Remarkable (DC)	2011	52.8
Mount Remarkable (DC)	2016	50.9
Murray Bridge (RC)	2006	51.9
Murray Bridge (RC)	2011	50.2
Murray Bridge (RC)	2016	49.1
Naracoorte and Lucindale (DC)	2006	66.1
Naracoorte and Lucindale (DC)	2011	65.3
Naracoorte and Lucindale (DC)	2016	63.5
Northern Areas (DC)	2006	54.2
Northern Areas (DC)	2011	57.1
Northern Areas (DC)	2016	53.6
Norwood Payneham St Peters (C)	2006	55.9
Norwood Payneham St Peters (C)	2011	57.5
Norwood Payneham St Peters (C)	2016	56
Onkaparinga (C)	2006	59
Onkaparinga (C)	2011	59.1
Onkaparinga (C)	2016	55.2
Orroroo/Carrieton (DC)	2006	56.3
Orroroo/Carrieton (DC)	2011	60.6
Orroroo/Carrieton (DC)	2016	53.9
Peterborough (DC)	2006	33.7
Peterborough (DC)	2011	35.6
Peterborough (DC)	2016	34.5
Playford (C)	2006	49.1
Playford (C)	2011	50.2
Playford (C)	2016	47.4
Port Adelaide Enfield (C)	2006	49.8
Port Adelaide Enfield (C)	2011	52.7
Port Adelaide Enfield (C)	2016	51.8
Port Augusta (C)	2006	51.7
Port Augusta (C)	2011	51.5
Port Augusta (C)	2016	47.4
Port Lincoln (C)	2006	57.1
Port Lincoln (C)	2011	57.2
Port Lincoln (C)	2016	54.1
Port Pirie City and Dists (M)	2006	45.7
Port Pirie City and Dists (M)	2011	47.7
Port Pirie City and Dists (M)	2016	45.7
Prospect (C)	2006	62.5
Prospect (C)	2011	63.6
Prospect (C)	2016	62.2
Renmark Paringa (DC)	2006	57
Renmark Paringa (DC)	2011	54.9
Renmark Paringa (DC)	2016	51.8
Robe (DC)	2006	48.5
Robe (DC)	2011	61.2
Robe (DC)	2016	57.3
Roxby Downs (M)	2006	80.1
Roxby Downs (M)	2011	76.3
Roxby Downs (M)	2016	77
Salisbury (C)	2006	55.9
Salisbury (C)	2011	55
Salisbury (C)	2016	51.8
Southern Mallee (DC)	2006	66.8
Southern Mallee (DC)	2011	61.3
Southern Mallee (DC)	2016	58.4
Streaky Bay (DC)	2006	61.9
Streaky Bay (DC)	2011	59.5
Streaky Bay (DC)	2016	59.5
Tatiara (DC)	2006	68.3
Tatiara (DC)	2011	65.9
Tatiara (DC)	2016	63.9
Tea Tree Gully (C)	2006	63
Tea Tree Gully (C)	2011	62
Tea Tree Gully (C)	2016	58.7
The Coorong (DC)	2006	57.6
The Coorong (DC)	2011	54.8
The Coorong (DC)	2016	51.9
Tumby Bay (DC)	2006	52.5
Tumby Bay (DC)	2011	55.7
Tumby Bay (DC)	2016	49.9
Unley (C)	2006	61.2
Unley (C)	2011	61.2
Unley (C)	2016	58.3
Victor Harbor (C)	2006	39.2
Victor Harbor (C)	2011	38.7
Victor Harbor (C)	2016	36.5
Wakefield (DC)	2006	53.3
Wakefield (DC)	2011	53.4
Wakefield (DC)	2016	50.9
Walkerville (M)	2006	54.5
Walkerville (M)	2011	54.4
Walkerville (M)	2016	52.9
Wattle Range (DC)	2006	58.8
Wattle Range (DC)	2011	57.2
Wattle Range (DC)	2016	52.7
West Torrens (C)	2006	53.8
West Torrens (C)	2011	56.8
West Torrens (C)	2016	56.1
Whyalla (C)	2006	50.7
Whyalla (C)	2011	51.9
Whyalla (C)	2016	47.1
Wudinna (DC)	2006	68.4
Wudinna (DC)	2011	71
Wudinna (DC)	2016	66.1
Yankalilla (DC)	2006	46.5
Yankalilla (DC)	2011	48.6
Yankalilla (DC)	2016	44.8
Yorke Peninsula (DC)	2006	44.4
Yorke Peninsula (DC)	2011	45
Yorke Peninsula (DC)	2016	42.6
Unincorporated SA	2006	63.5
Unincorporated SA	2011	63.1
Unincorporated SA	2016	55.1
No usual address (SA)	2006	39.2
No usual address (SA)	2011	32.8
No usual address (SA)	2016	27.8
Migratory - Offshore - Shipping (SA)	2006	66.7
Migratory - Offshore - Shipping (SA)	2011	100
Migratory - Offshore - Shipping (SA)	2016	100
Albany (C)	2006	55.8
Albany (C)	2011	55.8
Albany (C)	2016	53.7
Armadale (C)	2006	58.4
Armadale (C)	2011	60.8
Armadale (C)	2016	58.7
Ashburton (S)	2006	72.8
Ashburton (S)	2011	73.5
Ashburton (S)	2016	73.5
Augusta-Margaret River (S)	2006	63.2
Augusta-Margaret River (S)	2011	61.8
Augusta-Margaret River (S)	2016	61.7
Bassendean (T)	2006	59.6
Bassendean (T)	2011	61.2
Bassendean (T)	2016	58.5
Bayswater (C)	2006	59.6
Bayswater (C)	2011	61.7
Bayswater (C)	2016	59.5
Belmont (C)	2006	55.7
Belmont (C)	2011	58.9
Belmont (C)	2016	55.9
Beverley (S)	2006	48.3
Beverley (S)	2011	47.1
Beverley (S)	2016	45.6
Boddington (S)	2006	60.7
Boddington (S)	2011	61.9
Boddington (S)	2016	59.1
Boyup Brook (S)	2006	63.2
Boyup Brook (S)	2011	58.4
Boyup Brook (S)	2016	54.5
Bridgetown-Greenbushes (S)	2006	57.5
Bridgetown-Greenbushes (S)	2011	57
Bridgetown-Greenbushes (S)	2016	50.6
Brookton (S)	2006	59.6
Brookton (S)	2011	54.2
Brookton (S)	2016	48.3
Broome (S)	2006	60.1
Broome (S)	2011	62
Broome (S)	2016	59.8
Broomehill-Tambellup (S)	2006	58
Broomehill-Tambellup (S)	2011	58.7
Broomehill-Tambellup (S)	2016	53
Bruce Rock (S)	2006	58
Bruce Rock (S)	2011	59.3
Bruce Rock (S)	2016	54.4
Bunbury (C)	2006	57.5
Bunbury (C)	2011	56.9
Bunbury (C)	2016	52
Busselton (C)	2006	59.4
Busselton (C)	2011	58
Busselton (C)	2016	55
Cambridge (T)	2006	61.3
Cambridge (T)	2011	63.6
Cambridge (T)	2016	61.2
Canning (C)	2006	60.9
Canning (C)	2011	60.8
Canning (C)	2016	56.7
Capel (S)	2006	65.8
Capel (S)	2011	64.8
Capel (S)	2016	61.9
Carnamah (S)	2006	65.8
Carnamah (S)	2011	60.9
Carnamah (S)	2016	55.5
Carnarvon (S)	2006	60.9
Carnarvon (S)	2011	56.6
Carnarvon (S)	2016	53.4
Chapman Valley (S)	2006	67.8
Chapman Valley (S)	2011	62.2
Chapman Valley (S)	2016	60.1
Chittering (S)	2006	61.7
Chittering (S)	2011	60.9
Chittering (S)	2016	57.3
Claremont (T)	2006	53.1
Claremont (T)	2011	54.8
Claremont (T)	2016	52.3
Cockburn (C)	2006	62.6
Cockburn (C)	2011	65.3
Cockburn (C)	2016	61.9
Collie (S)	2006	52.8
Collie (S)	2011	56.5
Collie (S)	2016	46.1
Coolgardie (S)	2006	61.4
Coolgardie (S)	2011	60.4
Coolgardie (S)	2016	53.1
Coorow (S)	2006	60.8
Coorow (S)	2011	54.7
Coorow (S)	2016	47.7
Corrigin (S)	2006	64.4
Corrigin (S)	2011	64.1
Corrigin (S)	2016	56.8
Cottesloe (T)	2006	57
Cottesloe (T)	2011	59.5
Cottesloe (T)	2016	59
Cranbrook (S)	2006	68
Cranbrook (S)	2011	58.7
Cranbrook (S)	2016	58.7
Cuballing (S)	2006	65.1
Cuballing (S)	2011	61.2
Cuballing (S)	2016	51.7
Cue (S)	2006	56.1
Cue (S)	2011	36.9
Cue (S)	2016	39.2
Cunderdin (S)	2006	59.8
Cunderdin (S)	2011	57.5
Cunderdin (S)	2016	52.9
Dalwallinu (S)	2006	69.8
Dalwallinu (S)	2011	71.3
Dalwallinu (S)	2016	64.5
Dandaragan (S)	2006	57.4
Dandaragan (S)	2011	56.3
Dandaragan (S)	2016	53.6
Dardanup (S)	2006	62.8
Dardanup (S)	2011	63.9
Dardanup (S)	2016	58.4
Denmark (S)	2006	53.1
Denmark (S)	2011	53.4
Denmark (S)	2016	48.8
Derby-West Kimberley (S)	2006	60.8
Derby-West Kimberley (S)	2011	40.3
Derby-West Kimberley (S)	2016	40.4
Donnybrook-Balingup (S)	2006	60.4
Donnybrook-Balingup (S)	2011	57.7
Donnybrook-Balingup (S)	2016	52.1
Dowerin (S)	2006	66.4
Dowerin (S)	2011	62.4
Dowerin (S)	2016	56.9
Dumbleyung (S)	2006	71.8
Dumbleyung (S)	2011	68.5
Dumbleyung (S)	2016	59.7
Dundas (S)	2006	57.9
Dundas (S)	2011	56
Dundas (S)	2016	46.7
East Fremantle (T)	2006	62.6
East Fremantle (T)	2011	63.3
East Fremantle (T)	2016	61.7
East Pilbara (S)	2006	63.3
East Pilbara (S)	2011	67.7
East Pilbara (S)	2016	65.1
Esperance (S)	2006	60.9
Esperance (S)	2011	60.7
Esperance (S)	2016	56.4
Exmouth (S)	2006	65.9
Exmouth (S)	2011	66.2
Exmouth (S)	2016	65
Fremantle (C)	2006	56
Fremantle (C)	2011	58.8
Fremantle (C)	2016	56.4
Gingin (S)	2006	49.1
Gingin (S)	2011	51.9
Gingin (S)	2016	49.5
Gnowangerup (S)	2006	71.1
Gnowangerup (S)	2011	66.5
Gnowangerup (S)	2016	61.5
Goomalling (S)	2006	61.3
Goomalling (S)	2011	58.1
Goomalling (S)	2016	53.9
Gosnells (C)	2006	61.6
Gosnells (C)	2011	60.8
Gosnells (C)	2016	56.7
Greater Geraldton (C)	2006	56.5
Greater Geraldton (C)	2011	59.8
Greater Geraldton (C)	2016	54.6
Halls Creek (S)	2006	46.9
Halls Creek (S)	2011	40.3
Halls Creek (S)	2016	29.5
Harvey (S)	2006	61.6
Harvey (S)	2011	61.1
Harvey (S)	2016	56.5
Irwin (S)	2006	51.3
Irwin (S)	2011	53.8
Irwin (S)	2016	47.1
Jerramungup (S)	2006	74.2
Jerramungup (S)	2011	71.7
Jerramungup (S)	2016	65.3
Joondalup (C)	2006	68.3
Joondalup (C)	2011	67.5
Joondalup (C)	2016	63.2
Kalamunda (S)	2006	64.1
Kalamunda (S)	2011	63.2
Kalamunda (S)	2016	58.9
Kalgoorlie/Boulder (C)	2006	65.5
Kalgoorlie/Boulder (C)	2011	66
Kalgoorlie/Boulder (C)	2016	64.4
Karratha (C)	2006	66.8
Karratha (C)	2011	65.5
Karratha (C)	2016	66.2
Katanning (S)	2006	56.4
Katanning (S)	2011	56.8
Katanning (S)	2016	53.1
Kellerberrin (S)	2006	53
Kellerberrin (S)	2011	49.9
Kellerberrin (S)	2016	48.5
Kent (S)	2006	76.3
Kent (S)	2011	76.7
Kent (S)	2016	71.2
Kojonup (S)	2006	65.3
Kojonup (S)	2011	61.5
Kojonup (S)	2016	61.8
Kondinin (S)	2006	75.1
Kondinin (S)	2011	68.6
Kondinin (S)	2016	68.6
Koorda (S)	2006	62.9
Koorda (S)	2011	61
Koorda (S)	2016	56.5
Kulin (S)	2006	74.8
Kulin (S)	2011	73.6
Kulin (S)	2016	67.2
Kwinana (C)	2006	52
Kwinana (C)	2011	56.5
Kwinana (C)	2016	55.6
Lake Grace (S)	2006	78.8
Lake Grace (S)	2011	76
Lake Grace (S)	2016	71.5
Laverton (S)	2006	68.8
Laverton (S)	2011	69.9
Laverton (S)	2016	59.7
Leonora (S)	2006	77
Leonora (S)	2011	62.4
Leonora (S)	2016	56.5
Mandurah (C)	2006	46.5
Mandurah (C)	2011	48.9
Mandurah (C)	2016	46.8
Manjimup (S)	2006	59.6
Manjimup (S)	2011	59.6
Manjimup (S)	2016	55.6
Meekatharra (S)	2006	50.8
Meekatharra (S)	2011	57.7
Meekatharra (S)	2016	52.5
Melville (C)	2006	59.8
Melville (C)	2011	60.8
Melville (C)	2016	57.4
Menzies (S)	2006	57.6
Menzies (S)	2011	39.8
Menzies (S)	2016	51.2
Merredin (S)	2006	62.3
Merredin (S)	2011	61
Merredin (S)	2016	55.5
Mingenew (S)	2006	63
Mingenew (S)	2011	63.2
Mingenew (S)	2016	63
Moora (S)	2006	66
Moora (S)	2011	64.9
Moora (S)	2016	59.4
Morawa (S)	2006	58.9
Morawa (S)	2011	59.3
Morawa (S)	2016	51.8
Mosman Park (T)	2006	55.2
Mosman Park (T)	2011	57.9
Mosman Park (T)	2016	56
Mount Magnet (S)	2006	54
Mount Magnet (S)	2011	48.7
Mount Magnet (S)	2016	39.3
Mount Marshall (S)	2006	73.2
Mount Marshall (S)	2011	74.1
Mount Marshall (S)	2016	67.6
Mukinbudin (S)	2006	70.4
Mukinbudin (S)	2011	67.7
Mukinbudin (S)	2016	63.9
Mundaring (S)	2006	60.8
Mundaring (S)	2011	59.8
Mundaring (S)	2016	55.2
Murchison (S)	2006	79.1
Murchison (S)	2011	51.7
Murchison (S)	2016	41.2
Murray (S)	2006	48.9
Murray (S)	2011	51.5
Murray (S)	2016	47.4
Nannup (S)	2006	57.4
Nannup (S)	2011	55.3
Nannup (S)	2016	47.6
Narembeen (S)	2006	65.8
Narembeen (S)	2011	64.3
Narembeen (S)	2016	61.2
Narrogin (S)	2006	58.2
Narrogin (S)	2011	55.9
Narrogin (S)	2016	51.2
Nedlands (C)	2006	57.5
Nedlands (C)	2011	58.9
Nedlands (C)	2016	57.7
Ngaanyatjarraku (S)	2006	58.7
Ngaanyatjarraku (S)	2011	41.5
Ngaanyatjarraku (S)	2016	23.9
Northam (S)	2006	52.9
Northam (S)	2011	54.1
Northam (S)	2016	48.1
Northampton (S)	2006	55.3
Northampton (S)	2011	52
Northampton (S)	2016	48.9
Nungarin (S)	2006	66.8
Nungarin (S)	2011	56.8
Nungarin (S)	2016	52.9
Peppermint Grove (S)	2006	51.3
Peppermint Grove (S)	2011	49.1
Peppermint Grove (S)	2016	52.1
Perenjori (S)	2006	71.3
Perenjori (S)	2011	76.8
Perenjori (S)	2016	73.2
Perth (C)	2006	48.9
Perth (C)	2011	60
Perth (C)	2016	55.7
Pingelly (S)	2006	50.6
Pingelly (S)	2011	50.4
Pingelly (S)	2016	43.5
Plantagenet (S)	2006	57.5
Plantagenet (S)	2011	55.4
Plantagenet (S)	2016	50.4
Port Hedland (T)	2006	56.4
Port Hedland (T)	2011	63.8
Port Hedland (T)	2016	63.9
Quairading (S)	2006	56.8
Quairading (S)	2011	51.3
Quairading (S)	2016	43.5
Ravensthorpe (S)	2006	73.5
Ravensthorpe (S)	2011	65.7
Ravensthorpe (S)	2016	54.4
Rockingham (C)	2006	56.1
Rockingham (C)	2011	59.8
Rockingham (C)	2016	56.4
Sandstone (S)	2006	50
Sandstone (S)	2011	50
Sandstone (S)	2016	41.9
Serpentine-Jarrahdale (S)	2006	64.4
Serpentine-Jarrahdale (S)	2011	64.9
Serpentine-Jarrahdale (S)	2016	63
Shark Bay (S)	2006	58
Shark Bay (S)	2011	63
Shark Bay (S)	2016	54
South Perth (C)	2006	59.5
South Perth (C)	2011	61.1
South Perth (C)	2016	57.8
Stirling (C)	2006	58.8
Stirling (C)	2011	60.7
Stirling (C)	2016	59.2
Subiaco (C)	2006	60.2
Subiaco (C)	2011	59.7
Subiaco (C)	2016	55.8
Swan (C)	2006	62.4
Swan (C)	2011	63.5
Swan (C)	2016	60.4
Tammin (S)	2006	58.7
Tammin (S)	2011	56.5
Tammin (S)	2016	52.9
Three Springs (S)	2006	66
Three Springs (S)	2011	60.2
Three Springs (S)	2016	58.4
Toodyay (S)	2006	53.5
Toodyay (S)	2011	52.8
Toodyay (S)	2016	48.9
Trayning (S)	2006	58.1
Trayning (S)	2011	55.3
Trayning (S)	2016	46.3
Upper Gascoyne (S)	2006	67.6
Upper Gascoyne (S)	2011	50.8
Upper Gascoyne (S)	2016	36.5
Victoria Park (T)	2006	55.7
Victoria Park (T)	2011	59.5
Victoria Park (T)	2016	57.8
Victoria Plains (S)	2006	67.6
Victoria Plains (S)	2011	69.7
Victoria Plains (S)	2016	60.2
Vincent (C)	2006	61.8
Vincent (C)	2011	66
Vincent (C)	2016	64.9
Wagin (S)	2006	54.5
Wagin (S)	2011	54.1
Wagin (S)	2016	49
Wandering (S)	2006	61.4
Wandering (S)	2011	69
Wandering (S)	2016	57.3
Wanneroo (C)	2006	61.5
Wanneroo (C)	2011	63.8
Wanneroo (C)	2016	61.4
Waroona (S)	2006	54.7
Waroona (S)	2011	53.3
Waroona (S)	2016	48.3
West Arthur (S)	2006	73.8
West Arthur (S)	2011	68.7
West Arthur (S)	2016	62.5
Westonia (S)	2006	76.6
Westonia (S)	2011	69.7
Westonia (S)	2016	64.5
Wickepin (S)	2006	68.7
Wickepin (S)	2011	61.2
Wickepin (S)	2016	61.5
Williams (S)	2006	73.5
Williams (S)	2011	73.8
Williams (S)	2016	67.3
Wiluna (S)	2006	69.2
Wiluna (S)	2011	69.9
Wiluna (S)	2016	55.8
Wongan-Ballidu (S)	2006	71.7
Wongan-Ballidu (S)	2011	65.5
Wongan-Ballidu (S)	2016	64.1
Woodanilling (S)	2006	73.6
Woodanilling (S)	2011	69.2
Woodanilling (S)	2016	64.2
Wyalkatchem (S)	2006	59.9
Wyalkatchem (S)	2011	50.4
Wyalkatchem (S)	2016	42.8
Wyndham-East Kimberley (S)	2006	61.7
Wyndham-East Kimberley (S)	2011	63.5
Wyndham-East Kimberley (S)	2016	58.6
Yalgoo (S)	2006	58.7
Yalgoo (S)	2011	67.7
Yalgoo (S)	2016	65.9
Yilgarn (S)	2006	69.3
Yilgarn (S)	2011	68.6
Yilgarn (S)	2016	57.8
York (S)	2006	54.4
York (S)	2011	52.5
York (S)	2016	46.6
No usual address (WA)	2006	40.8
No usual address (WA)	2011	38.8
No usual address (WA)	2016	31.8
Migratory - Offshore - Shipping (WA)	2006	88.5
Migratory - Offshore - Shipping (WA)	2011	79.9
Migratory - Offshore - Shipping (WA)	2016	78.8
Break O'Day (M)	2006	40
Break O'Day (M)	2011	39.3
Break O'Day (M)	2016	36.8
Brighton (M)	2006	50.9
Brighton (M)	2011	52.7
Brighton (M)	2016	52.5
Burnie (C)	2006	51.1
Burnie (C)	2011	51.6
Burnie (C)	2016	49.6
Central Coast (M) (Tas.)	2006	50.6
Central Coast (M) (Tas.)	2011	51.5
Central Coast (M) (Tas.)	2016	49.8
Central Highlands (M) (Tas.)	2006	46.5
Central Highlands (M) (Tas.)	2011	45.4
Central Highlands (M) (Tas.)	2016	45.8
Circular Head (M)	2006	61.6
Circular Head (M)	2011	59.3
Circular Head (M)	2016	57
Clarence (C)	2006	55.4
Clarence (C)	2011	56.5
Clarence (C)	2016	54.7
Derwent Valley (M)	2006	48.1
Derwent Valley (M)	2011	50
Derwent Valley (M)	2016	47.4
Devonport (C)	2006	49.5
Devonport (C)	2011	50.1
Devonport (C)	2016	47.8
Dorset (M)	2006	51.6
Dorset (M)	2011	48.8
Dorset (M)	2016	46.7
Flinders (M) (Tas.)	2006	63.6
Flinders (M) (Tas.)	2011	60.2
Flinders (M) (Tas.)	2016	55
George Town (M)	2006	46
George Town (M)	2011	46.3
George Town (M)	2016	39.5
Glamorgan/Spring Bay (M)	2006	48.9
Glamorgan/Spring Bay (M)	2011	45.5
Glamorgan/Spring Bay (M)	2016	42.7
Glenorchy (C)	2006	51
Glenorchy (C)	2011	52.8
Glenorchy (C)	2016	50.9
Hobart (C)	2006	58.5
Hobart (C)	2011	58.9
Hobart (C)	2016	56.1
Huon Valley (M)	2006	50.1
Huon Valley (M)	2011	51.2
Huon Valley (M)	2016	48
Kentish (M)	2006	51.6
Kentish (M)	2011	50.8
Kentish (M)	2016	47.9
King Island (M)	2006	67.7
King Island (M)	2011	64.3
King Island (M)	2016	60
Kingborough (M)	2006	59.2
Kingborough (M)	2011	59.7
Kingborough (M)	2016	56.9
Latrobe (M) (Tas.)	2006	54
Latrobe (M) (Tas.)	2011	53.9
Latrobe (M) (Tas.)	2016	50.3
Launceston (C)	2006	53.4
Launceston (C)	2011	54.1
Launceston (C)	2016	51.3
Meander Valley (M)	2006	56.6
Meander Valley (M)	2011	56.2
Meander Valley (M)	2016	53
Northern Midlands (M)	2006	54.5
Northern Midlands (M)	2011	54.6
Northern Midlands (M)	2016	51.8
Sorell (M)	2006	55.1
Sorell (M)	2011	56.2
Sorell (M)	2016	53.8
Southern Midlands (M)	2006	53.7
Southern Midlands (M)	2011	53
Southern Midlands (M)	2016	52.8
Tasman (M)	2006	44
Tasman (M)	2011	43.6
Tasman (M)	2016	38.9
Waratah/Wynyard (M)	2006	49.5
Waratah/Wynyard (M)	2011	50.7
Waratah/Wynyard (M)	2016	47.5
West Coast (M)	2006	52.8
West Coast (M)	2011	54.2
West Coast (M)	2016	45
West Tamar (M)	2006	54.9
West Tamar (M)	2011	56.4
West Tamar (M)	2016	52.6
No usual address (Tas.)	2006	35.7
No usual address (Tas.)	2011	30.7
No usual address (Tas.)	2016	29.7
Migratory - Offshore - Shipping (Tas.)	2006	87.6
Migratory - Offshore - Shipping (Tas.)	2011	68.2
Migratory - Offshore - Shipping (Tas.)	2016	64.4
Alice Springs (T)	2006	67.8
Alice Springs (T)	2011	67.3
Alice Springs (T)	2016	64.4
Barkly (R)	2006	38.1
Barkly (R)	2011	40
Barkly (R)	2016	38.5
Belyuen (S)	2006	47.1
Belyuen (S)	2011	36.9
Belyuen (S)	2016	7.6
Central Desert (R)	2006	34.3
Central Desert (R)	2011	36.7
Central Desert (R)	2016	30.5
Coomalie (S)	2006	45
Coomalie (S)	2011	48.1
Coomalie (S)	2016	42.4
Darwin (C)	2006	66.3
Darwin (C)	2011	65.7
Darwin (C)	2016	65.5
East Arnhem (R)	2006	32.8
East Arnhem (R)	2011	33.3
East Arnhem (R)	2016	23.1
Katherine (T)	2006	60
Katherine (T)	2011	62.6
Katherine (T)	2016	54.6
Litchfield (M)	2006	66.4
Litchfield (M)	2011	65.9
Litchfield (M)	2016	59.8
MacDonnell (R)	2006	33
MacDonnell (R)	2011	32.1
MacDonnell (R)	2016	23.9
Palmerston (C)	2006	66.7
Palmerston (C)	2011	70.3
Palmerston (C)	2016	69
Roper Gulf (R)	2006	41.2
Roper Gulf (R)	2011	40.4
Roper Gulf (R)	2016	31
Tiwi Islands (R)	2006	50.1
Tiwi Islands (R)	2011	40.1
Tiwi Islands (R)	2016	28.5
Victoria Daly (R)	2006	57.6
Victoria Daly (R)	2011	53.8
Victoria Daly (R)	2016	36
Wagait (S)	2006	59.6
Wagait (S)	2011	61.6
Wagait (S)	2016	57.9
West Arnhem (R)	2006	42.9
West Arnhem (R)	2011	48.2
West Arnhem (R)	2016	31.8
West Daly (R)	2006	28.8
West Daly (R)	2011	31.5
West Daly (R)	2016	21.3
Unincorporated NT	2006	66.9
Unincorporated NT	2011	64.4
Unincorporated NT	2016	67
No usual address (NT)	2006	33.7
No usual address (NT)	2011	33.9
No usual address (NT)	2016	25.1
Migratory - Offshore - Shipping (NT)	2006	74.5
