LGA_NAME16	Year	AustCitizen	Sex	persons
Hilltops (A)	2011	1	F	8565
Hilltops (A)	2011	1	M	8254
Hilltops (A)	2016	0		1680
Hilltops (A)	2016	1	F	8502
Hilltops (A)	2016	1	M	8316
Hornsby (A)	2006	0		17086
Hornsby (A)	2006	1	F	59258
Hornsby (A)	2006	1	M	55912
Hornsby (A)	2011	0		18577
Hornsby (A)	2011	1	F	60759
Hornsby (A)	2011	1	M	57901
Hornsby (A)	2016	0		22955
Hornsby (A)	2016	1	F	60925
Hornsby (A)	2016	1	M	58787
Hunters Hill (A)	2006	0		1888
Hunters Hill (A)	2006	1	F	5645
Hunters Hill (A)	2006	1	M	5709
Hunters Hill (A)	2011	0		1390
Hunters Hill (A)	2011	1	F	5964
Hunters Hill (A)	2011	1	M	5862
Hunters Hill (A)	2016	0		1680
Hunters Hill (A)	2016	1	F	6155
Hunters Hill (A)	2016	1	M	6164
Inner West (A)	2006	0		33859
Inner West (A)	2006	1	F	65732
Inner West (A)	2006	1	M	60671
Inner West (A)	2011	0		33999
Inner West (A)	2011	1	F	70772
Inner West (A)	2011	1	M	65146
Inner West (A)	2016	0		39283
Inner West (A)	2016	1	F	73636
Inner West (A)	2016	1	M	69124
Inverell (A)	2006	0		1062
Inverell (A)	2006	1	F	7312
Inverell (A)	2006	1	M	7131
Inverell (A)	2011	0		1207
Inverell (A)	2011	1	F	7610
Inverell (A)	2011	1	M	7260
Inverell (A)	2016	0		1779
Inverell (A)	2016	1	F	7501
Inverell (A)	2016	1	M	7203
Junee (A)	2006	0		1147
Junee (A)	2006	1	F	2278
Junee (A)	2006	1	M	2352
Junee (A)	2011	0		1153
Junee (A)	2011	1	F	2343
Junee (A)	2011	1	M	2383
Junee (A)	2016	0		1552
Junee (A)	2016	1	F	2386
Junee (A)	2016	1	M	2357
Kempsey (A)	2006	0		2781
Kempsey (A)	2006	1	F	12406
Kempsey (A)	2006	1	M	12198
Kempsey (A)	2011	0		2644
Kempsey (A)	2011	1	F	12925
Kempsey (A)	2011	1	M	12565
Kempsey (A)	2016	0		3654
Kempsey (A)	2016	1	F	12764
Kempsey (A)	2016	1	M	12467
Kiama (A)	2006	0		1507
Kiama (A)	2006	1	F	8901
Kiama (A)	2006	1	M	8575
