LGA_NAME16	Year	averageHouseholdSize
Paroo (S)	2011	2.3
Pormpuraaw (S)	2011	3.5
Quilpie (S)	2011	2.3
Redland (C)	2011	2.7
Richmond (S)	2011	2.5
Rockhampton (R)	2011	2.5
Scenic Rim (R)	2011	2.6
Somerset (R)	2011	2.6
South Burnett (R)	2011	2.4
Southern Downs (R)	2011	2.4
Sunshine Coast (R)	2011	2.5
Tablelands (R)	2011	2.4
Toowoomba (R)	2011	2.5
Torres (S)	2011	3.4
Torres Strait Island (R)	2011	3.7
Townsville (C)	2011	2.6
Weipa (T)	2011	2.8
Western Downs (R)	2011	2.6
Whitsunday (R)	2011	2.4
Winton (S)	2011	2.3
Woorabinda (S)	2011	3.8
Wujal Wujal (S)	2011	3.5
Yarrabah (S)	2011	4.9
No usual address (Qld)	2011	0
Migratory - Offshore - Shipping (Qld)	2011	0
Adelaide (C)	2011	1.9
Adelaide Hills (DC)	2011	2.7
Alexandrina (DC)	2011	2.3
Anangu Pitjantjatjara (AC)	2011	3.8
Barossa (DC)	2011	2.5
Barunga West (DC)	2011	2.2
Berri and Barmera (DC)	2011	2.3
Burnside (C)	2011	2.4
Campbelltown (C) (SA)	2011	2.5
Ceduna (DC)	2011	2.5
Charles Sturt (C)	2011	2.4
Clare and Gilbert Valleys (DC)	2011	2.4
Cleve (DC)	2011	2.4
Coober Pedy (DC)	2011	2
Copper Coast (DC)	2011	2.2
Elliston (DC)	2011	2.3
Flinders Ranges (DC)	2011	2.3
Franklin Harbour (DC)	2011	2.3
Gawler (T)	2011	2.4
Goyder (DC)	2011	2.3
Grant (DC)	2011	2.7
Holdfast Bay (C)	2011	2.1
Kangaroo Island (DC)	2011	2.2
Karoonda East Murray (DC)	2011	2.4
Kimba (DC)	2011	2.4
Kingston (DC) (SA)	2011	2.2
Light (RegC)	2011	2.8
Lower Eyre Peninsula (DC)	2011	2.6
Loxton Waikerie (DC)	2011	2.3
Mallala (DC)	2011	2.7
Maralinga Tjarutja (AC)	2011	1.9
Marion (C)	2011	2.3
Mid Murray (DC)	2011	2.2
Mitcham (C)	2011	2.5
Mount Barker (DC)	2011	2.6
Mount Gambier (C)	2011	2.3
Mount Remarkable (DC)	2011	2.2
Murray Bridge (RC)	2011	2.4
Naracoorte and Lucindale (DC)	2011	2.4
Northern Areas (DC)	2011	2.3
Norwood Payneham St Peters (C)	2011	2.2
Onkaparinga (C)	2011	2.5
Orroroo/Carrieton (DC)	2011	2.3
Peterborough (DC)	2011	2
Playford (C)	2011	2.6
Port Adelaide Enfield (C)	2011	2.4
Port Augusta (C)	2011	2.4
Port Lincoln (C)	2011	2.4
Port Pirie City and Dists (M)	2011	2.3
Prospect (C)	2011	2.4
Renmark Paringa (DC)	2011	2.4
Robe (DC)	2011	2.3
Roxby Downs (M)	2011	2.9
Salisbury (C)	2011	2.6
Southern Mallee (DC)	2011	2.3
Streaky Bay (DC)	2011	2.4
Tatiara (DC)	2011	2.5
Tea Tree Gully (C)	2011	2.6
The Coorong (DC)	2011	2.4
Tumby Bay (DC)	2011	2.2
Unley (C)	2011	2.3
Victor Harbor (C)	2011	2.1
Wakefield (DC)	2011	2.4
Walkerville (M)	2011	2.3
Wattle Range (DC)	2011	2.3
West Torrens (C)	2011	2.3
Whyalla (C)	2011	2.3
Wudinna (DC)	2011	2.4
Yankalilla (DC)	2011	2.2
Yorke Peninsula (DC)	2011	2.2
Unincorporated SA	2011	2.3
No usual address (SA)	2011	0
Migratory - Offshore - Shipping (SA)	2011	0
Albany (C)	2011	2.4
Armadale (C)	2011	2.7
Ashburton (S)	2011	2.8
Augusta-Margaret River (S)	2011	2.5
Bassendean (T)	2011	2.4
Bayswater (C)	2011	2.4
Belmont (C)	2011	2.4
Beverley (S)	2011	2.2
Boddington (S)	2011	2.6
Boyup Brook (S)	2011	2.4
Bridgetown-Greenbushes (S)	2011	2.3
Brookton (S)	2011	2.4
Broome (S)	2011	2.8
Broomehill-Tambellup (S)	2011	2.7
Bruce Rock (S)	2011	2.3
Bunbury (C)	2011	2.3
Busselton (C)	2011	2.5
Cambridge (T)	2011	2.7
Canning (C)	2011	2.7
Capel (S)	2011	2.9
Carnamah (S)	2011	2.3
Carnarvon (S)	2011	2.5
Chapman Valley (S)	2011	2.6
Chittering (S)	2011	2.7
Claremont (T)	2011	2.3
Cockburn (C)	2011	2.7
Collie (S)	2011	2.5
Coolgardie (S)	2011	2.6
Coorow (S)	2011	2.2
Corrigin (S)	2011	2.2
Cottesloe (T)	2011	2.5
Cranbrook (S)	2011	2.4
Cuballing (S)	2011	2.4
Cue (S)	2011	1.9
Cunderdin (S)	2011	2.4
Dalwallinu (S)	2011	2.5
Dandaragan (S)	2011	2.3
Dardanup (S)	2011	2.7
Denmark (S)	2011	2.3
Derby-West Kimberley (S)	2011	3.2
Donnybrook-Balingup (S)	2011	2.5
Dowerin (S)	2011	2.3
Dumbleyung (S)	2011	2.3
Dundas (S)	2011	2.2
East Fremantle (T)	2011	2.5
East Pilbara (S)	2011	3.1
Esperance (S)	2011	2.5
Exmouth (S)	2011	2.4
Fremantle (C)	2011	2.2
Gingin (S)	2011	2.5
Gnowangerup (S)	2011	2.5
Goomalling (S)	2011	2.4
Gosnells (C)	2011	2.8
Greater Geraldton (C)	2011	2.6
Halls Creek (S)	2011	3.7
Harvey (S)	2011	2.7
Irwin (S)	2011	2.4
Jerramungup (S)	2011	2.4
Joondalup (C)	2011	2.8
Kalamunda (S)	2011	2.7
Kalgoorlie/Boulder (C)	2011	2.7
Karratha (C)	2011	2.9
Katanning (S)	2011	2.6
Kellerberrin (S)	2011	2.5
Kent (S)	2011	2.6
Kojonup (S)	2011	2.4
Kondinin (S)	2011	2.4
Koorda (S)	2011	2.4
Kulin (S)	2011	2.4
Kwinana (C)	2011	2.7
Lake Grace (S)	2011	2.3
Laverton (S)	2011	2.5
Leonora (S)	2011	2.7
Mandurah (C)	2011	2.4
Manjimup (S)	2011	2.4
Meekatharra (S)	2011	2.5
Melville (C)	2011	2.6
Menzies (S)	2011	3.1
Merredin (S)	2011	2.4
Mingenew (S)	2011	2.4
Moora (S)	2011	2.5
Morawa (S)	2011	2.5
Mosman Park (T)	2011	2.3
Mount Magnet (S)	2011	2.5
Mount Marshall (S)	2011	2.4
Mukinbudin (S)	2011	2.3
Mundaring (S)	2011	2.7
Murchison (S)	2011	2.4
Murray (S)	2011	2.5
Nannup (S)	2011	2.3
Narembeen (S)	2011	2.3
Narrogin (S)	2011	2.4
Nedlands (C)	2011	2.8
Ngaanyatjarraku (S)	2011	3.4
Northam (S)	2011	2.5
Northampton (S)	2011	2.3
Nungarin (S)	2011	2.3
Peppermint Grove (S)	2011	2.8
Perenjori (S)	2011	2.5
Perth (C)	2011	1.8
Pingelly (S)	2011	2.4
Plantagenet (S)	2011	2.4
Port Hedland (T)	2011	2.8
Quairading (S)	2011	2.4
Ravensthorpe (S)	2011	2.4
Rockingham (C)	2011	2.7
Sandstone (S)	2011	2
Serpentine-Jarrahdale (S)	2011	3
Shark Bay (S)	2011	2.1
South Perth (C)	2011	2.3
Stirling (C)	2011	2.4
Subiaco (C)	2011	2.1
Swan (C)	2011	2.8
Tammin (S)	2011	2.5
Three Springs (S)	2011	2.3
Toodyay (S)	2011	2.4
Trayning (S)	2011	2.3
Upper Gascoyne (S)	2011	3.1
Victoria Park (T)	2011	2.2
Victoria Plains (S)	2011	2.4
Vincent (C)	2011	2.2
Wagin (S)	2011	2.3
Wandering (S)	2011	2.6
Wanneroo (C)	2011	2.9
Waroona (S)	2011	2.5
West Arthur (S)	2011	2.3
Westonia (S)	2011	2.3
Wickepin (S)	2011	2.3
Williams (S)	2011	2.3
Wiluna (S)	2011	3.5
Wongan-Ballidu (S)	2011	2.3
Woodanilling (S)	2011	2.4
Wyalkatchem (S)	2011	2.1
Wyndham-East Kimberley (S)	2011	2.7
Yalgoo (S)	2011	2.8
Yilgarn (S)	2011	2.3
York (S)	2011	2.4
No usual address (WA)	2011	0
Migratory - Offshore - Shipping (WA)	2011	0
Break O'Day (M)	2011	2.1
Brighton (M)	2011	2.7
Burnie (C)	2011	2.4
Central Coast (M) (Tas.)	2011	2.4
Central Highlands (M) (Tas.)	2011	2.3
Circular Head (M)	2011	2.5
Clarence (C)	2011	2.4
Derwent Valley (M)	2011	2.5
Devonport (C)	2011	2.4
Dorset (M)	2011	2.3
Flinders (M) (Tas.)	2011	1.9
George Town (M)	2011	2.4
Glamorgan/Spring Bay (M)	2011	2.1
Glenorchy (C)	2011	2.3
Hobart (C)	2011	2.3
Huon Valley (M)	2011	2.5
Kentish (M)	2011	2.5
King Island (M)	2011	2.1
Kingborough (M)	2011	2.5
Latrobe (M) (Tas.)	2011	2.4
Launceston (C)	2011	2.3
Meander Valley (M)	2011	2.4
Northern Midlands (M)	2011	2.4
Sorell (M)	2011	2.4
Southern Midlands (M)	2011	2.5
Tasman (M)	2011	2.1
Waratah/Wynyard (M)	2011	2.4
West Coast (M)	2011	2.2
West Tamar (M)	2011	2.5
No usual address (Tas.)	2011	0
Migratory - Offshore - Shipping (Tas.)	2011	0
Alice Springs (T)	2011	2.6
Barkly (R)	2011	3.5
Belyuen (S)	2011	4.2
Central Desert (R)	2011	4.3
Coomalie (S)	2011	2.2
Darwin (C)	2011	2.6
East Arnhem (R)	2011	5.3
Katherine (T)	2011	2.8
Litchfield (M)	2011	2.8
MacDonnell (R)	2011	4
Palmerston (C)	2011	2.9
Roper Gulf (R)	2011	4.3
Tiwi Islands (R)	2011	4
Victoria Daly (R)	2011	3.5
Wagait (S)	2011	2
West Arnhem (R)	2011	4.2
West Daly (R)	2011	4.9
Unincorporated NT	2011	2.6
No usual address (NT)	2011	0
Migratory - Offshore - Shipping (NT)	2011	0
Unincorporated ACT	2011	2.6
No usual address (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	2.8
No usual address (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	2.3
Armidale Regional (A)	2016	2.4
Ballina (A)	2016	2.3
Balranald (A)	2016	2.5
Bathurst Regional (A)	2016	2.5
Bega Valley (A)	2016	2.2
Bellingen (A)	2016	2.3
Berrigan (A)	2016	2.2
Blacktown (C)	2016	3.2
Bland (A)	2016	2.4
Blayney (A)	2016	2.5
Blue Mountains (C)	2016	2.5
Bogan (A)	2016	2.4
Botany Bay (C)	2016	2.7
Bourke (A)	2016	2.5
Brewarrina (A)	2016	2.6
Broken Hill (C)	2016	2.2
Burwood (A)	2016	2.9
Byron (A)	2016	2.4
Cabonne (A)	2016	2.6
Camden (A)	2016	3.1
Campbelltown (C) (NSW)	2016	3
Canada Bay (A)	2016	2.6
Canterbury-Bankstown (A)	2016	3
Carrathool (A)	2016	2.4
Central Coast (C) (NSW)	2016	2.5
Central Darling (A)	2016	2.4
Cessnock (C)	2016	2.6
Clarence Valley (A)	2016	2.3
Cobar (A)	2016	2.4
Coffs Harbour (C)	2016	2.4
Coolamon (A)	2016	2.5
Coonamble (A)	2016	2.4
Cowra (A)	2016	2.3
Cumberland (A)	2016	3.2
Dungog (A)	2016	2.5
Edward River (A)	2016	2.3
Eurobodalla (A)	2016	2.2
Fairfield (C)	2016	3.3
Federation (A)	2016	2.3
Forbes (A)	2016	2.4
Georges River (A)	2016	2.9
Gilgandra (A)	2016	2.4
Glen Innes Severn (A)	2016	2.2
Goulburn Mulwaree (A)	2016	2.4
Greater Hume Shire (A)	2016	2.5
Griffith (C)	2016	2.7
Gundagai (A)	2016	2.3
Gunnedah (A)	2016	2.5
Gwydir (A)	2016	2.3
Hawkesbury (C)	2016	2.8
Hay (A)	2016	2.3
Hilltops (A)	2016	2.4
Hornsby (A)	2016	2.9
Hunters Hill (A)	2016	2.7
Inner West (A)	2016	2.4
Inverell (A)	2016	2.4
Junee (A)	2016	2.5
Kempsey (A)	2016	2.4
Kiama (A)	2016	2.5
Ku-ring-gai (A)	2016	2.9
Kyogle (A)	2016	2.2
Lachlan (A)	2016	2.4
Lake Macquarie (C)	2016	2.5
Lane Cove (A)	2016	2.5
Leeton (A)	2016	2.5
Lismore (C)	2016	2.4
Lithgow (C)	2016	2.3
Liverpool (C)	2016	3.2
Liverpool Plains (A)	2016	2.3
Lockhart (A)	2016	2.5
Maitland (C)	2016	2.7
Mid-Coast (A)	2016	2.2
Mid-Western Regional (A)	2016	2.4
Moree Plains (A)	2016	2.5
Mosman (A)	2016	2.4
Murray River (A)	2016	2.3
Murrumbidgee (A)	2016	2.5
Muswellbrook (A)	2016	2.5
Nambucca (A)	2016	2.3
Narrabri (A)	2016	2.5
Narrandera (A)	2016	2.3
Narromine (A)	2016	2.5
Newcastle (C)	2016	2.4
North Sydney (A)	2016	2
Northern Beaches (A)	2016	2.7
Oberon (A)	2016	2.4
Orange (C)	2016	2.5
Parkes (A)	2016	2.4
Parramatta (C)	2016	2.8
Penrith (C)	2016	2.9
Port Macquarie-Hastings (A)	2016	2.3
Port Stephens (A)	2016	2.5
Queanbeyan-Palerang Regional (A)	2016	2.6
Randwick (C)	2016	2.5
Richmond Valley (A)	2016	2.4
Rockdale (C)	2016	2.7
Ryde (C)	2016	2.7
Shellharbour (C)	2016	2.7
Shoalhaven (C)	2016	2.3
Singleton (A)	2016	2.7
Snowy Monaro Regional (A)	2016	2.3
Snowy Valleys (A)	2016	2.3
Strathfield (A)	2016	3
Sutherland Shire (A)	2016	2.7
Sydney (C)	2016	2
Tamworth Regional (A)	2016	2.5
Temora (A)	2016	2.4
Tenterfield (A)	2016	2.1
The Hills Shire (A)	2016	3.2
Tweed (A)	2016	2.4
Upper Hunter Shire (A)	2016	2.4
Upper Lachlan Shire (A)	2016	2.4
Uralla (A)	2016	2.4
Wagga Wagga (C)	2016	2.5
Walcha (A)	2016	2.3
Walgett (A)	2016	2.3
Warren (A)	2016	2.4
Warrumbungle Shire (A)	2016	2.3
Waverley (A)	2016	2.4
Weddin (A)	2016	2.2
Wentworth (A)	2016	2.4
Western Plains Regional (A)	2016	2.5
Willoughby (C)	2016	2.7
Wingecarribee (A)	2016	2.4
Wollondilly (A)	2016	3
Wollongong (C)	2016	2.6
Woollahra (A)	2016	2.3
Yass Valley (A)	2016	2.7
Unincorporated NSW	2016	2.5
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2016	0
Alpine (S)	2016	2.2
Ararat (RC)	2016	2.3
Ballarat (C)	2016	2.4
Banyule (C)	2016	2.6
Bass Coast (S)	2016	2.2
Baw Baw (S)	2016	2.5
Bayside (C)	2016	2.6
Benalla (RC)	2016	2.2
Boroondara (C)	2016	2.6
Brimbank (C)	2016	3
Buloke (S)	2016	2.2
Campaspe (S)	2016	2.4
Cardinia (S)	2016	2.8
Casey (C)	2016	3.1
Central Goldfields (S)	2016	2.2
Colac-Otway (S)	2016	2.3
Corangamite (S)	2016	2.4
Darebin (C)	2016	2.5
East Gippsland (S)	2016	2.2
Frankston (C)	2016	2.5
Gannawarra (S)	2016	2.2
Glen Eira (C)	2016	2.5
Glenelg (S)	2016	2.3
Golden Plains (S)	2016	2.8
Greater Bendigo (C)	2016	2.4
Greater Dandenong (C)	2016	2.9
Greater Geelong (C)	2016	2.4
Greater Shepparton (C)	2016	2.5
Hepburn (S)	2016	2.2
Hindmarsh (S)	2016	2.2
Hobsons Bay (C)	2016	2.6
Horsham (RC)	2016	2.3
Hume (C)	2016	3.1
Indigo (S)	2016	2.4
Kingston (C) (Vic.)	2016	2.5
Knox (C)	2016	2.7
Latrobe (C) (Vic.)	2016	2.3
Loddon (S)	2016	2.2
Macedon Ranges (S)	2016	2.7
Manningham (C)	2016	2.8
Mansfield (S)	2016	2.3
Maribyrnong (C)	2016	2.5
Maroondah (C)	2016	2.6
Melbourne (C)	2016	2
Melton (C)	2016	3
Mildura (RC)	2016	2.4
Mitchell (S)	2016	2.7
Moira (S)	2016	2.4
Monash (C)	2016	2.7
Moonee Valley (C)	2016	2.5
Moorabool (S)	2016	2.6
Moreland (C)	2016	2.5
Mornington Peninsula (S)	2016	2.4
Mount Alexander (S)	2016	2.2
Moyne (S)	2016	2.5
Murrindindi (S)	2016	2.3
Nillumbik (S)	2016	3
Northern Grampians (S)	2016	2.2
Port Phillip (C)	2016	2
Pyrenees (S)	2016	2.3
Queenscliffe (B)	2016	2
South Gippsland (S)	2016	2.4
Southern Grampians (S)	2016	2.3
Stonnington (C)	2016	2.2
Strathbogie (S)	2016	2.2
Surf Coast (S)	2016	2.6
Swan Hill (RC)	2016	2.4
Towong (S)	2016	2.3
Wangaratta (RC)	2016	2.3
Warrnambool (C)	2016	2.4
Wellington (S)	2016	2.3
West Wimmera (S)	2016	2.2
Whitehorse (C)	2016	2.6
Whittlesea (C)	2016	3
Wodonga (C)	2016	2.5
Wyndham (C)	2016	3.1
Yarra (C)	2016	2.1
Yarra Ranges (S)	2016	2.7
Yarriambiack (S)	2016	2.2
Unincorporated Vic	2016	2.1
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2016	4.2
Balonne (S)	2016	2.5
Banana (S)	2016	2.6
Barcaldine (R)	2016	2.3
Barcoo (S)	2016	1.9
Blackall-Tambo (R)	2016	2.3
Boulia (S)	2016	2.3
Brisbane (C)	2016	2.6
Bulloo (S)	2016	2.1
Bundaberg (R)	2016	2.4
Burdekin (S)	2016	2.4
Burke (S)	2016	2.3
Cairns (R)	2016	2.5
Carpentaria (S)	2016	2.6
Cassowary Coast (R)	2016	2.4
Central Highlands (R) (Qld)	2016	2.7
Charters Towers (R)	2016	2.4
Cherbourg (S)	2016	3.9
Cloncurry (S)	2016	2.5
Cook (S)	2016	2.3
Croydon (S)	2016	2.4
Diamantina (S)	2016	2.5
Doomadgee (S)	2016	4.5
Douglas (S)	2016	2.3
Etheridge (S)	2016	2.2
Flinders (S) (Qld)	2016	2.3
Fraser Coast (R)	2016	2.3
Gladstone (R)	2016	2.6
Gold Coast (C)	2016	2.6
Goondiwindi (R)	2016	2.4
Gympie (R)	2016	2.4
Hinchinbrook (S)	2016	2.3
Hope Vale (S)	2016	3.4
Ipswich (C)	2016	2.8
Isaac (R)	2016	2.7
Kowanyama (S)	2016	3.4
Livingstone (S)	2016	2.5
Lockhart River (S)	2016	3.7
Lockyer Valley (R)	2016	2.7
Logan (C)	2016	2.9
Longreach (R)	2016	2.3
Mackay (R)	2016	2.5
McKinlay (S)	2016	2.4
Mapoon (S)	2016	3.3
Maranoa (R)	2016	2.5
Mareeba (S)	2016	2.5
Moreton Bay (R)	2016	2.7
Mornington (S)	2016	3.7
Mount Isa (C)	2016	2.6
Murweh (S)	2016	2.4
Napranum (S)	2016	3.7
Noosa (S)	2016	2.4
North Burnett (R)	2016	2.3
Northern Peninsula Area (R)	2016	3.8
Palm Island (S)	2016	4.3
Paroo (S)	2016	2.2
Pormpuraaw (S)	2016	3.1
Quilpie (S)	2016	2.3
Redland (C)	2016	2.6
Richmond (S)	2016	2.3
Rockhampton (R)	2016	2.5
Scenic Rim (R)	2016	2.6
Somerset (R)	2016	2.6
South Burnett (R)	2016	2.4
Southern Downs (R)	2016	2.4
Sunshine Coast (R)	2016	2.5
Tablelands (R)	2016	2.4
Toowoomba (R)	2016	2.5
Torres (S)	2016	3.2
Torres Strait Island (R)	2016	3.8
Townsville (C)	2016	2.6
Weipa (T)	2016	2.9
Western Downs (R)	2016	2.5
Whitsunday (R)	2016	2.4
Winton (S)	2016	2.1
Woorabinda (S)	2016	3.5
Wujal Wujal (S)	2016	3.3
Yarrabah (S)	2016	4.8
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2016	0
Adelaide (C)	2016	1.9
Adelaide Hills (DC)	2016	2.7
Alexandrina (DC)	2016	2.3
Anangu Pitjantjatjara (AC)	2016	3.8
Barossa (DC)	2016	2.5
Barunga West (DC)	2016	2.1
Berri and Barmera (DC)	2016	2.3
Burnside (C)	2016	2.5
Campbelltown (C) (SA)	2016	2.5
Ceduna (DC)	2016	2.4
Charles Sturt (C)	2016	2.4
Clare and Gilbert Valleys (DC)	2016	2.3
Cleve (DC)	2016	2.3
Coober Pedy (DC)	2016	2
Copper Coast (DC)	2016	2.2
Elliston (DC)	2016	2.2
Flinders Ranges (DC)	2016	2.1
Franklin Harbour (DC)	2016	2.3
Gawler (T)	2016	2.4
Goyder (DC)	2016	2.3
Grant (DC)	2016	2.6
Holdfast Bay (C)	2016	2.2
Kangaroo Island (DC)	2016	2.2
Karoonda East Murray (DC)	2016	2.3
Kimba (DC)	2016	2.5
Kingston (DC) (SA)	2016	2.2
Light (RegC)	2016	2.8
Lower Eyre Peninsula (DC)	2016	2.5
Loxton Waikerie (DC)	2016	2.3
Mallala (DC)	2016	2.7
Maralinga Tjarutja (AC)	2016	3.7
Marion (C)	2016	2.4
Mid Murray (DC)	2016	2.2
Mitcham (C)	2016	2.6
Mount Barker (DC)	2016	2.6
Mount Gambier (C)	2016	2.3
Mount Remarkable (DC)	2016	2.2
Murray Bridge (RC)	2016	2.4
Naracoorte and Lucindale (DC)	2016	2.4
Northern Areas (DC)	2016	2.3
Norwood Payneham St Peters (C)	2016	2.2
Onkaparinga (C)	2016	2.5
Orroroo/Carrieton (DC)	2016	2.2
Peterborough (DC)	2016	2
Playford (C)	2016	2.6
Port Adelaide Enfield (C)	2016	2.4
Port Augusta (C)	2016	2.3
Port Lincoln (C)	2016	2.3
Port Pirie City and Dists (M)	2016	2.3
Prospect (C)	2016	2.5
Renmark Paringa (DC)	2016	2.3
Robe (DC)	2016	2.1
Roxby Downs (M)	2016	2.7
Salisbury (C)	2016	2.6
Southern Mallee (DC)	2016	2.3
Streaky Bay (DC)	2016	2.3
Tatiara (DC)	2016	2.4
Tea Tree Gully (C)	2016	2.5
The Coorong (DC)	2016	2.3
Tumby Bay (DC)	2016	2.2
Unley (C)	2016	2.4
Victor Harbor (C)	2016	2.1
Wakefield (DC)	2016	2.4
Walkerville (M)	2016	2.3
Wattle Range (DC)	2016	2.3
West Torrens (C)	2016	2.3
Whyalla (C)	2016	2.3
Wudinna (DC)	2016	2.3
Yankalilla (DC)	2016	2.2
Yorke Peninsula (DC)	2016	2.1
Unincorporated SA	2016	2.1
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2016	0
Albany (C)	2016	2.4
Armadale (C)	2016	2.7
Ashburton (S)	2016	2.7
Augusta-Margaret River (S)	2016	2.5
Bassendean (T)	2016	2.4
Bayswater (C)	2016	2.4
Belmont (C)	2016	2.4
Beverley (S)	2016	2.2
Boddington (S)	2016	2.5
Boyup Brook (S)	2016	2.3
Bridgetown-Greenbushes (S)	2016	2.3
Brookton (S)	2016	2.3
Broome (S)	2016	2.7
Broomehill-Tambellup (S)	2016	2.6
Bruce Rock (S)	2016	2.2
Bunbury (C)	2016	2.3
Busselton (C)	2016	2.5
Cambridge (T)	2016	2.7
Canning (C)	2016	2.8
Capel (S)	2016	2.8
Carnamah (S)	2016	2.1
Carnarvon (S)	2016	2.4
Chapman Valley (S)	2016	2.7
Chittering (S)	2016	2.8
Claremont (T)	2016	2.3
Cockburn (C)	2016	2.7
Collie (S)	2016	2.4
Coolgardie (S)	2016	2.5
Coorow (S)	2016	2
Corrigin (S)	2016	2.3
Cottesloe (T)	2016	2.5
Cranbrook (S)	2016	2.4
Cuballing (S)	2016	2.2
Cue (S)	2016	1.9
Cunderdin (S)	2016	2.5
Dalwallinu (S)	2016	2.5
Dandaragan (S)	2016	2.3
Dardanup (S)	2016	2.6
Denmark (S)	2016	2.3
Derby-West Kimberley (S)	2016	3.1
Donnybrook-Balingup (S)	2016	2.4
Dowerin (S)	2016	2.4
Dumbleyung (S)	2016	2.2
Dundas (S)	2016	1.9
East Fremantle (T)	2016	2.5
East Pilbara (S)	2016	3
Esperance (S)	2016	2.5
Exmouth (S)	2016	2.5
Fremantle (C)	2016	2.2
Gingin (S)	2016	2.4
Gnowangerup (S)	2016	2.4
Goomalling (S)	2016	2.3
Gosnells (C)	2016	2.9
Greater Geraldton (C)	2016	2.5
Halls Creek (S)	2016	3.2
Harvey (S)	2016	2.7
Irwin (S)	2016	2.3
Jerramungup (S)	2016	2.3
Joondalup (C)	2016	2.8
Kalamunda (S)	2016	2.7
Kalgoorlie/Boulder (C)	2016	2.7
Karratha (C)	2016	2.8
Katanning (S)	2016	2.5
Kellerberrin (S)	2016	2.5
Kent (S)	2016	2.5
Kojonup (S)	2016	2.4
Kondinin (S)	2016	2.3
Koorda (S)	2016	2.3
Kulin (S)	2016	2.3
Kwinana (C)	2016	2.7
Lake Grace (S)	2016	2.3
Laverton (S)	2016	2.6
Leonora (S)	2016	2.5
Mandurah (C)	2016	2.4
Manjimup (S)	2016	2.3
Meekatharra (S)	2016	2.5
Melville (C)	2016	2.6
Menzies (S)	2016	2.6
Merredin (S)	2016	2.4
Mingenew (S)	2016	2.3
Moora (S)	2016	2.4
Morawa (S)	2016	2.4
Mosman Park (T)	2016	2.4
Mount Magnet (S)	2016	2.4
Mount Marshall (S)	2016	2.4
Mukinbudin (S)	2016	2.5
Mundaring (S)	2016	2.7
Murchison (S)	2016	2.8
Murray (S)	2016	2.5
Nannup (S)	2016	2.2
Narembeen (S)	2016	2.3
Narrogin (S)	2016	2.4
Nedlands (C)	2016	2.8
Ngaanyatjarraku (S)	2016	3.8
Northam (S)	2016	2.4
Northampton (S)	2016	2.2
Nungarin (S)	2016	2.5
Peppermint Grove (S)	2016	2.8
Perenjori (S)	2016	2.3
Perth (C)	2016	1.9
Pingelly (S)	2016	2.2
Plantagenet (S)	2016	2.4
Port Hedland (T)	2016	2.7
Quairading (S)	2016	2.1
Ravensthorpe (S)	2016	2.2
Rockingham (C)	2016	2.7
Sandstone (S)	2016	1.7
Serpentine-Jarrahdale (S)	2016	3
Shark Bay (S)	2016	2.1
South Perth (C)	2016	2.3
Stirling (C)	2016	2.4
Subiaco (C)	2016	2.2
Swan (C)	2016	2.8
Tammin (S)	2016	2.5
Three Springs (S)	2016	2.3
Toodyay (S)	2016	2.3
Trayning (S)	2016	2
Upper Gascoyne (S)	2016	3
Victoria Park (T)	2016	2.3
Victoria Plains (S)	2016	2.4
Vincent (C)	2016	2.2
Wagin (S)	2016	2.2
Wandering (S)	2016	2.4
Wanneroo (C)	2016	2.9
Waroona (S)	2016	2.5
West Arthur (S)	2016	2.3
Westonia (S)	2016	2.3
Wickepin (S)	2016	2.2
Williams (S)	2016	2.5
Wiluna (S)	2016	3
Wongan-Ballidu (S)	2016	2.3
Woodanilling (S)	2016	2.4
Wyalkatchem (S)	2016	2
Wyndham-East Kimberley (S)	2016	2.7
Yalgoo (S)	2016	2.1
Yilgarn (S)	2016	2.1
York (S)	2016	2.2
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2016	0
Break O'Day (M)	2016	2.1
Brighton (M)	2016	2.6
Burnie (C)	2016	2.3
Central Coast (M) (Tas.)	2016	2.3
Central Highlands (M) (Tas.)	2016	2.1
Circular Head (M)	2016	2.4
Clarence (C)	2016	2.4
Derwent Valley (M)	2016	2.4
Devonport (C)	2016	2.3
Dorset (M)	2016	2.2
Flinders (M) (Tas.)	2016	2
George Town (M)	2016	2.3
Glamorgan/Spring Bay (M)	2016	2
Glenorchy (C)	2016	2.3
Hobart (C)	2016	2.3
Huon Valley (M)	2016	2.4
Kentish (M)	2016	2.4
King Island (M)	2016	2.1
Kingborough (M)	2016	2.5
Latrobe (M) (Tas.)	2016	2.3
Launceston (C)	2016	2.3
Meander Valley (M)	2016	2.4
Northern Midlands (M)	2016	2.3
Sorell (M)	2016	2.4
Southern Midlands (M)	2016	2.5
Tasman (M)	2016	2.1
Waratah/Wynyard (M)	2016	2.3
West Coast (M)	2016	2.1
