LGA_NAME16	Year	Age	persons
Inner West (A)	2011	55-64	17124
Inner West (A)	2011	65-74	9956
Inner West (A)	2011	75-84	6588
Inner West (A)	2011	85+	2764
Inner West (A)	2016	0-4	10743
Inner West (A)	2016	5-14	17165
Inner West (A)	2016	15-19	6783
Inner West (A)	2016	20-24	12739
Inner West (A)	2016	25-34	36902
Inner West (A)	2016	35-44	31754
Inner West (A)	2016	45-54	25239
Inner West (A)	2016	55-64	18512
Inner West (A)	2016	65-74	12191
Inner West (A)	2016	75-84	6838
Inner West (A)	2016	85+	3170
Inverell (A)	2006	0-4	1044
Inverell (A)	2006	5-14	2376
Inverell (A)	2006	15-19	997
Inverell (A)	2006	20-24	747
Inverell (A)	2006	25-34	1612
Inverell (A)	2006	35-44	2002
Inverell (A)	2006	45-54	2012
Inverell (A)	2006	55-64	1961
Inverell (A)	2006	65-74	1482
Inverell (A)	2006	75-84	905
Inverell (A)	2006	85+	373
Inverell (A)	2011	0-4	1136
Inverell (A)	2011	5-14	2284
Inverell (A)	2011	15-19	1069
Inverell (A)	2011	20-24	752
Inverell (A)	2011	25-34	1610
Inverell (A)	2011	35-44	1953
Inverell (A)	2011	45-54	2144
Inverell (A)	2011	55-64	2032
Inverell (A)	2011	65-74	1721
Inverell (A)	2011	75-84	1006
Inverell (A)	2011	85+	364
Inverell (A)	2016	0-4	1082
Inverell (A)	2016	5-14	2242
Inverell (A)	2016	15-19	1042
Inverell (A)	2016	20-24	898
Inverell (A)	2016	25-34	1710
Inverell (A)	2016	35-44	1754
Inverell (A)	2016	45-54	2064
Inverell (A)	2016	55-64	2192
Inverell (A)	2016	65-74	1921
Inverell (A)	2016	75-84	1165
Inverell (A)	2016	85+	408
Junee (A)	2006	0-4	367
Junee (A)	2006	5-14	791
Junee (A)	2006	15-19	377
Junee (A)	2006	20-24	357
Junee (A)	2006	25-34	807
Junee (A)	2006	35-44	833
Junee (A)	2006	45-54	822
Junee (A)	2006	55-64	686
Junee (A)	2006	65-74	393
Junee (A)	2006	75-84	249
Junee (A)	2006	85+	83
Junee (A)	2011	0-4	394
Junee (A)	2011	5-14	746
Junee (A)	2011	15-19	354
Junee (A)	2011	20-24	371
Junee (A)	2011	25-34	739
Junee (A)	2011	35-44	831
Junee (A)	2011	45-54	828
Junee (A)	2011	55-64	774
Junee (A)	2011	65-74	495
Junee (A)	2011	75-84	257
Junee (A)	2011	85+	96
Junee (A)	2016	0-4	340
Junee (A)	2016	5-14	780
Junee (A)	2016	15-19	332
Junee (A)	2016	20-24	400
Junee (A)	2016	25-34	870
Junee (A)	2016	35-44	851
Junee (A)	2016	45-54	840
Junee (A)	2016	55-64	862
Junee (A)	2016	65-74	624
Junee (A)	2016	75-84	279
Junee (A)	2016	85+	115
Kempsey (A)	2006	0-4	1603
Kempsey (A)	2006	5-14	4095
Kempsey (A)	2006	15-19	1755
Kempsey (A)	2006	20-24	1118
Kempsey (A)	2006	25-34	2499
Kempsey (A)	2006	35-44	3480
Kempsey (A)	2006	45-54	4213
Kempsey (A)	2006	55-64	3799
Kempsey (A)	2006	65-74	2623
Kempsey (A)	2006	75-84	1738
Kempsey (A)	2006	85+	461
Kempsey (A)	2011	0-4	1750
Kempsey (A)	2011	5-14	3726
Kempsey (A)	2011	15-19	1812
Kempsey (A)	2011	20-24	1223
Kempsey (A)	2011	25-34	2390
Kempsey (A)	2011	35-44	3090
Kempsey (A)	2011	45-54	4142
Kempsey (A)	2011	55-64	4419
Kempsey (A)	2011	65-74	3119
Kempsey (A)	2011	75-84	1742
Kempsey (A)	2011	85+	716
Kempsey (A)	2016	0-4	1538
Kempsey (A)	2016	5-14	3429
Kempsey (A)	2016	15-19	1653
Kempsey (A)	2016	20-24	1336
Kempsey (A)	2016	25-34	2675
Kempsey (A)	2016	35-44	2892
Kempsey (A)	2016	45-54	3719
Kempsey (A)	2016	55-64	4723
Kempsey (A)	2016	65-74	4042
Kempsey (A)	2016	75-84	1997
Kempsey (A)	2016	85+	867
Kiama (A)	2006	0-4	953
Kiama (A)	2006	5-14	2632
Kiama (A)	2006	15-19	1532
Kiama (A)	2006	20-24	908
Kiama (A)	2006	25-34	1506
Kiama (A)	2006	35-44	2414
Kiama (A)	2006	45-54	3127
Kiama (A)	2006	55-64	2341
Kiama (A)	2006	65-74	1709
Kiama (A)	2006	75-84	1346
Kiama (A)	2006	85+	515
Kiama (A)	2011	0-4	998
Kiama (A)	2011	5-14	2510
Kiama (A)	2011	15-19	1389
Kiama (A)	2011	20-24	1000
Kiama (A)	2011	25-34	1571
Kiama (A)	2011	35-44	2352
Kiama (A)	2011	45-54	3046
Kiama (A)	2011	55-64	2999
Kiama (A)	2011	65-74	2122
Kiama (A)	2011	75-84	1379
Kiama (A)	2011	85+	614
Kiama (A)	2016	0-4	1109
Kiama (A)	2016	5-14	2502
Kiama (A)	2016	15-19	1254
Kiama (A)	2016	20-24	1058
Kiama (A)	2016	25-34	1853
Kiama (A)	2016	35-44	2350
Kiama (A)	2016	45-54	2828
Kiama (A)	2016	55-64	3466
Kiama (A)	2016	65-74	2846
Kiama (A)	2016	75-84	1498
Kiama (A)	2016	85+	704
Ku-ring-gai (A)	2006	0-4	5212
Ku-ring-gai (A)	2006	5-14	15701
Ku-ring-gai (A)	2006	15-19	8303
Ku-ring-gai (A)	2006	20-24	5927
Ku-ring-gai (A)	2006	25-34	6841
Ku-ring-gai (A)	2006	35-44	13846
Ku-ring-gai (A)	2006	45-54	15881
Ku-ring-gai (A)	2006	55-64	12423
Ku-ring-gai (A)	2006	65-74	7672
Ku-ring-gai (A)	2006	75-84	6521
Ku-ring-gai (A)	2006	85+	2771
Ku-ring-gai (A)	2011	0-4	5755
Ku-ring-gai (A)	2011	5-14	16757
Ku-ring-gai (A)	2011	15-19	8757
Ku-ring-gai (A)	2011	20-24	6311
Ku-ring-gai (A)	2011	25-34	7867
Ku-ring-gai (A)	2011	35-44	14319
Ku-ring-gai (A)	2011	45-54	17464
Ku-ring-gai (A)	2011	55-64	13040
Ku-ring-gai (A)	2011	65-74	9100
Ku-ring-gai (A)	2011	75-84	6433
Ku-ring-gai (A)	2011	85+	3482
Ku-ring-gai (A)	2016	0-4	6027
Ku-ring-gai (A)	2016	5-14	17836
Ku-ring-gai (A)	2016	15-19	9293
Ku-ring-gai (A)	2016	20-24	6638
Ku-ring-gai (A)	2016	25-34	9662
Ku-ring-gai (A)	2016	35-44	15085
Ku-ring-gai (A)	2016	45-54	18515
Ku-ring-gai (A)	2016	55-64	13543
Ku-ring-gai (A)	2016	65-74	10518
Ku-ring-gai (A)	2016	75-84	6907
Ku-ring-gai (A)	2016	85+	4036
Kyogle (A)	2006	0-4	530
Kyogle (A)	2006	5-14	1495
Kyogle (A)	2006	15-19	649
Kyogle (A)	2006	20-24	335
Kyogle (A)	2006	25-34	706
Kyogle (A)	2006	35-44	1228
Kyogle (A)	2006	45-54	1652
Kyogle (A)	2006	55-64	1254
Kyogle (A)	2006	65-74	742
Kyogle (A)	2006	75-84	511
Kyogle (A)	2006	85+	159
Kyogle (A)	2011	0-4	542
Kyogle (A)	2011	5-14	1219
Kyogle (A)	2011	15-19	618
Kyogle (A)	2011	20-24	341
Kyogle (A)	2011	25-34	731
Kyogle (A)	2011	35-44	1026
Kyogle (A)	2011	45-54	1537
Kyogle (A)	2011	55-64	1620
Kyogle (A)	2011	65-74	874
Kyogle (A)	2011	75-84	523
Kyogle (A)	2011	85+	205
Kyogle (A)	2016	0-4	388
Kyogle (A)	2016	5-14	1071
Kyogle (A)	2016	15-19	502
Kyogle (A)	2016	20-24	329
Kyogle (A)	2016	25-34	633
Kyogle (A)	2016	35-44	855
Kyogle (A)	2016	45-54	1358
Kyogle (A)	2016	55-64	1747
Kyogle (A)	2016	65-74	1217
Kyogle (A)	2016	75-84	594
Kyogle (A)	2016	85+	239
Lachlan (A)	2006	0-4	491
Lachlan (A)	2006	5-14	985
Lachlan (A)	2006	15-19	387
Lachlan (A)	2006	20-24	380
Lachlan (A)	2006	25-34	718
Lachlan (A)	2006	35-44	793
Lachlan (A)	2006	45-54	928
Lachlan (A)	2006	55-64	786
Lachlan (A)	2006	65-74	645
Lachlan (A)	2006	75-84	417
Lachlan (A)	2006	85+	135
Lachlan (A)	2011	0-4	484
Lachlan (A)	2011	5-14	898
Lachlan (A)	2011	15-19	365
Lachlan (A)	2011	20-24	342
Lachlan (A)	2011	25-34	722
Lachlan (A)	2011	35-44	737
Lachlan (A)	2011	45-54	842
Lachlan (A)	2011	55-64	871
Lachlan (A)	2011	65-74	624
Lachlan (A)	2011	75-84	432
Lachlan (A)	2011	85+	160
Lachlan (A)	2016	0-4	497
Lachlan (A)	2016	5-14	859
Lachlan (A)	2016	15-19	322
Lachlan (A)	2016	20-24	346
Lachlan (A)	2016	25-34	738
Lachlan (A)	2016	35-44	654
Lachlan (A)	2016	45-54	708
Lachlan (A)	2016	55-64	814
Lachlan (A)	2016	65-74	651
Lachlan (A)	2016	75-84	447
Lachlan (A)	2016	85+	172
Lake Macquarie (C)	2006	0-4	10670
Lake Macquarie (C)	2006	5-14	25209
Lake Macquarie (C)	2006	15-19	12880
Lake Macquarie (C)	2006	20-24	10277
Lake Macquarie (C)	2006	25-34	19336
Lake Macquarie (C)	2006	35-44	24755
Lake Macquarie (C)	2006	45-54	26297
Lake Macquarie (C)	2006	55-64	22966
Lake Macquarie (C)	2006	65-74	15702
Lake Macquarie (C)	2006	75-84	11435
Lake Macquarie (C)	2006	85+	3617
Lake Macquarie (C)	2011	0-4	11294
Lake Macquarie (C)	2011	5-14	23882
Lake Macquarie (C)	2011	15-19	12980
Lake Macquarie (C)	2011	20-24	10808
Lake Macquarie (C)	2011	25-34	19629
Lake Macquarie (C)	2011	35-44	24293
Lake Macquarie (C)	2011	45-54	26322
Lake Macquarie (C)	2011	55-64	24953
Lake Macquarie (C)	2011	65-74	18136
Lake Macquarie (C)	2011	75-84	11894
Lake Macquarie (C)	2011	85+	4815
Lake Macquarie (C)	2016	0-4	11845
Lake Macquarie (C)	2016	5-14	24267
Lake Macquarie (C)	2016	15-19	12210
Lake Macquarie (C)	2016	20-24	10893
Lake Macquarie (C)	2016	25-34	21737
Lake Macquarie (C)	2016	35-44	23628
Lake Macquarie (C)	2016	45-54	26085
Lake Macquarie (C)	2016	55-64	26105
Lake Macquarie (C)	2016	65-74	22286
Lake Macquarie (C)	2016	75-84	12635
Lake Macquarie (C)	2016	85+	5681
Lane Cove (A)	2006	0-4	1944
Lane Cove (A)	2006	5-14	3605
Lane Cove (A)	2006	15-19	1852
Lane Cove (A)	2006	20-24	1831
Lane Cove (A)	2006	25-34	4870
Lane Cove (A)	2006	35-44	4765
Lane Cove (A)	2006	45-54	4181
Lane Cove (A)	2006	55-64	3370
Lane Cove (A)	2006	65-74	1783
Lane Cove (A)	2006	75-84	1478
Lane Cove (A)	2006	85+	756
Lane Cove (A)	2011	0-4	2156
Lane Cove (A)	2011	5-14	3810
Lane Cove (A)	2011	15-19	1725
Lane Cove (A)	2011	20-24	1809
Lane Cove (A)	2011	25-34	4877
Lane Cove (A)	2011	35-44	5080
Lane Cove (A)	2011	45-54	4300
Lane Cove (A)	2011	55-64	3508
Lane Cove (A)	2011	65-74	2176
Lane Cove (A)	2011	75-84	1295
Lane Cove (A)	2011	85+	765
Lane Cove (A)	2016	0-4	2425
Lane Cove (A)	2016	5-14	4247
Lane Cove (A)	2016	15-19	1925
Lane Cove (A)	2016	20-24	2015
Lane Cove (A)	2016	25-34	6278
Lane Cove (A)	2016	35-44	5876
Lane Cove (A)	2016	45-54	4673
Lane Cove (A)	2016	55-64	3682
Lane Cove (A)	2016	65-74	2708
Lane Cove (A)	2016	75-84	1453
Lane Cove (A)	2016	85+	777
Leeton (A)	2006	0-4	808
Leeton (A)	2006	5-14	1882
Leeton (A)	2006	15-19	964
Leeton (A)	2006	20-24	529
Leeton (A)	2006	25-34	1237
Leeton (A)	2006	35-44	1512
Leeton (A)	2006	45-54	1474
Leeton (A)	2006	55-64	1163
Leeton (A)	2006	65-74	883
Leeton (A)	2006	75-84	508
Leeton (A)	2006	85+	155
Leeton (A)	2011	0-4	736
Leeton (A)	2011	5-14	1876
Leeton (A)	2011	15-19	1046
Leeton (A)	2011	20-24	555
Leeton (A)	2011	25-34	1075
Leeton (A)	2011	35-44	1383
Leeton (A)	2011	45-54	1535
Leeton (A)	2011	55-64	1188
Leeton (A)	2011	65-74	913
Leeton (A)	2011	75-84	540
Leeton (A)	2011	85+	191
Leeton (A)	2016	0-4	702
Leeton (A)	2016	5-14	1595
Leeton (A)	2016	15-19	953
Leeton (A)	2016	20-24	584
Leeton (A)	2016	25-34	1197
Leeton (A)	2016	35-44	1224
Leeton (A)	2016	45-54	1481
Leeton (A)	2016	55-64	1409
Leeton (A)	2016	65-74	1074
Leeton (A)	2016	75-84	708
Leeton (A)	2016	85+	239
Lismore (C)	2006	0-4	2598
Lismore (C)	2006	5-14	6021
Lismore (C)	2006	15-19	3306
Lismore (C)	2006	20-24	2677
Lismore (C)	2006	25-34	4586
Lismore (C)	2006	35-44	5860
Lismore (C)	2006	45-54	6676
Lismore (C)	2006	55-64	4741
Lismore (C)	2006	65-74	2892
Lismore (C)	2006	75-84	2033
Lismore (C)	2006	85+	822
Lismore (C)	2011	0-4	2623
Lismore (C)	2011	5-14	5796
Lismore (C)	2011	15-19	3016
Lismore (C)	2011	20-24	2614
Lismore (C)	2011	25-34	4373
Lismore (C)	2011	35-44	5455
Lismore (C)	2011	45-54	6626
Lismore (C)	2011	55-64	5997
Lismore (C)	2011	65-74	3290
Lismore (C)	2011	75-84	2114
Lismore (C)	2011	85+	863
Lismore (C)	2016	0-4	2256
Lismore (C)	2016	5-14	5453
Lismore (C)	2016	15-19	2785
Lismore (C)	2016	20-24	2444
Lismore (C)	2016	25-34	4395
Lismore (C)	2016	35-44	5124
Lismore (C)	2016	45-54	6124
Lismore (C)	2016	55-64	6691
Lismore (C)	2016	65-74	4429
Lismore (C)	2016	75-84	2270
Lismore (C)	2016	85+	1148
Lithgow (C)	2006	0-4	1135
Lithgow (C)	2006	5-14	2725
Lithgow (C)	2006	15-19	1364
Lithgow (C)	2006	20-24	981
Lithgow (C)	2006	25-34	2159
Lithgow (C)	2006	35-44	2752
Lithgow (C)	2006	45-54	2906
Lithgow (C)	2006	55-64	2704
Lithgow (C)	2006	65-74	1679
Lithgow (C)	2006	75-84	1042
Lithgow (C)	2006	85+	316
Lithgow (C)	2011	0-4	1275
Lithgow (C)	2011	5-14	2497
Lithgow (C)	2011	15-19	1275
Lithgow (C)	2011	20-24	1101
Lithgow (C)	2011	25-34	1975
Lithgow (C)	2011	35-44	2497
Lithgow (C)	2011	45-54	3026
Lithgow (C)	2011	55-64	2856
Lithgow (C)	2011	65-74	2116
Lithgow (C)	2011	75-84	1154
Lithgow (C)	2011	85+	386
Lithgow (C)	2016	0-4	1178
Lithgow (C)	2016	5-14	2413
Lithgow (C)	2016	15-19	1193
Lithgow (C)	2016	20-24	1100
Lithgow (C)	2016	25-34	2256
Lithgow (C)	2016	35-44	2345
Lithgow (C)	2016	45-54	2865
Lithgow (C)	2016	55-64	3091
Lithgow (C)	2016	65-74	2751
Lithgow (C)	2016	75-84	1382
Lithgow (C)	2016	85+	516
Liverpool (C)	2006	0-4	13601
Liverpool (C)	2006	5-14	27324
Liverpool (C)	2006	15-19	12048
Liverpool (C)	2006	20-24	11829
Liverpool (C)	2006	25-34	24883
Liverpool (C)	2006	35-44	26345
Liverpool (C)	2006	45-54	20914
Liverpool (C)	2006	55-64	14105
Liverpool (C)	2006	65-74	8023
Liverpool (C)	2006	75-84	4376
Liverpool (C)	2006	85+	1163
Liverpool (C)	2011	0-4	14084
Liverpool (C)	2011	5-14	28164
Liverpool (C)	2011	15-19	13724
Liverpool (C)	2011	20-24	12487
Liverpool (C)	2011	25-34	26388
Liverpool (C)	2011	35-44	27021
Liverpool (C)	2011	45-54	24752
Liverpool (C)	2011	55-64	17037
Liverpool (C)	2011	65-74	9749
Liverpool (C)	2011	75-84	5182
Liverpool (C)	2011	85+	1559
Liverpool (C)	2016	0-4	15611
Liverpool (C)	2016	5-14	30691
Liverpool (C)	2016	15-19	14886
Liverpool (C)	2016	20-24	14554
Liverpool (C)	2016	25-34	29760
Liverpool (C)	2016	35-44	29691
Liverpool (C)	2016	45-54	27132
Liverpool (C)	2016	55-64	20680
Liverpool (C)	2016	65-74	12609
Liverpool (C)	2016	75-84	6433
Liverpool (C)	2016	85+	2283
Liverpool Plains (A)	2006	0-4	493
Liverpool Plains (A)	2006	5-14	1022
Liverpool Plains (A)	2006	15-19	444
Liverpool Plains (A)	2006	20-24	292
Liverpool Plains (A)	2006	25-34	700
Liverpool Plains (A)	2006	35-44	997
Liverpool Plains (A)	2006	45-54	1101
Liverpool Plains (A)	2006	55-64	1104
Liverpool Plains (A)	2006	65-74	754
Liverpool Plains (A)	2006	75-84	480
Liverpool Plains (A)	2006	85+	151
Liverpool Plains (A)	2011	0-4	454
Liverpool Plains (A)	2011	5-14	1002
Liverpool Plains (A)	2011	15-19	442
Liverpool Plains (A)	2011	20-24	333
Liverpool Plains (A)	2011	25-34	694
Liverpool Plains (A)	2011	35-44	887
Liverpool Plains (A)	2011	45-54	1057
Liverpool Plains (A)	2011	55-64	1104
Liverpool Plains (A)	2011	65-74	852
Liverpool Plains (A)	2011	75-84	488
Liverpool Plains (A)	2011	85+	171
Liverpool Plains (A)	2016	0-4	456
Liverpool Plains (A)	2016	5-14	986
Liverpool Plains (A)	2016	15-19	424
Liverpool Plains (A)	2016	20-24	335
Liverpool Plains (A)	2016	25-34	773
Liverpool Plains (A)	2016	35-44	820
Liverpool Plains (A)	2016	45-54	1005
Liverpool Plains (A)	2016	55-64	1188
Liverpool Plains (A)	2016	65-74	976
Liverpool Plains (A)	2016	75-84	543
Liverpool Plains (A)	2016	85+	191
Lockhart (A)	2006	0-4	216
Lockhart (A)	2006	5-14	492
Lockhart (A)	2006	15-19	194
Lockhart (A)	2006	20-24	104
Lockhart (A)	2006	25-34	278
Lockhart (A)	2006	35-44	440
Lockhart (A)	2006	45-54	469
Lockhart (A)	2006	55-64	443
Lockhart (A)	2006	65-74	279
Lockhart (A)	2006	75-84	184
Lockhart (A)	2006	85+	72
Lockhart (A)	2011	0-4	191
Lockhart (A)	2011	5-14	441
Lockhart (A)	2011	15-19	192
Lockhart (A)	2011	20-24	90
Lockhart (A)	2011	25-34	223
Lockhart (A)	2011	35-44	375
Lockhart (A)	2011	45-54	450
Lockhart (A)	2011	55-64	430
Lockhart (A)	2011	65-74	317
Lockhart (A)	2011	75-84	202
Lockhart (A)	2011	85+	91
Lockhart (A)	2016	0-4	198
Lockhart (A)	2016	5-14	440
Lockhart (A)	2016	15-19	189
Lockhart (A)	2016	20-24	115
Lockhart (A)	2016	25-34	253
Lockhart (A)	2016	35-44	304
Lockhart (A)	2016	45-54	429
Lockhart (A)	2016	55-64	484
Lockhart (A)	2016	65-74	372
Lockhart (A)	2016	75-84	231
Lockhart (A)	2016	85+	101
Maitland (C)	2006	0-4	4614
Maitland (C)	2006	5-14	9593
Maitland (C)	2006	15-19	4516
Maitland (C)	2006	20-24	3920
Maitland (C)	2006	25-34	8142
Maitland (C)	2006	35-44	8783
Maitland (C)	2006	45-54	8587
Maitland (C)	2006	55-64	6497
Maitland (C)	2006	65-74	3785
Maitland (C)	2006	75-84	2639
Maitland (C)	2006	85+	815
Maitland (C)	2011	0-4	5043
Maitland (C)	2011	5-14	9778
Maitland (C)	2011	15-19	4839
Maitland (C)	2011	20-24	4197
Maitland (C)	2011	25-34	8649
Maitland (C)	2011	35-44	9573
Maitland (C)	2011	45-54	9122
Maitland (C)	2011	55-64	7708
Maitland (C)	2011	65-74	4710
Maitland (C)	2011	75-84	2793
Maitland (C)	2011	85+	1053
Maitland (C)	2016	0-4	5761
Maitland (C)	2016	5-14	11142
Maitland (C)	2016	15-19	4943
Maitland (C)	2016	20-24	4808
Maitland (C)	2016	25-34	10574
Maitland (C)	2016	35-44	10183
Maitland (C)	2016	45-54	9977
Maitland (C)	2016	55-64	8843
Maitland (C)	2016	65-74	6554
Maitland (C)	2016	75-84	3253
Maitland (C)	2016	85+	1280
Mid-Coast (A)	2006	0-4	4234
Mid-Coast (A)	2006	5-14	10978
Mid-Coast (A)	2006	15-19	5183
Mid-Coast (A)	2006	20-24	3094
Mid-Coast (A)	2006	25-34	6431
Mid-Coast (A)	2006	35-44	9880
Mid-Coast (A)	2006	45-54	11715
Mid-Coast (A)	2006	55-64	12330
Mid-Coast (A)	2006	65-74	10147
Mid-Coast (A)	2006	75-84	6704
Mid-Coast (A)	2006	85+	2026
Mid-Coast (A)	2011	0-4	4503
Mid-Coast (A)	2011	5-14	10246
Mid-Coast (A)	2011	15-19	5117
Mid-Coast (A)	2011	20-24	3189
Mid-Coast (A)	2011	25-34	6163
Mid-Coast (A)	2011	35-44	9020
Mid-Coast (A)	2011	45-54	11760
Mid-Coast (A)	2011	55-64	13571
Mid-Coast (A)	2011	65-74	12170
Mid-Coast (A)	2011	75-84	7385
Mid-Coast (A)	2011	85+	2723
Mid-Coast (A)	2016	0-4	4118
Mid-Coast (A)	2016	5-14	9820
Mid-Coast (A)	2016	15-19	4782
Mid-Coast (A)	2016	20-24	3453
Mid-Coast (A)	2016	25-34	6705
Mid-Coast (A)	2016	35-44	8264
Mid-Coast (A)	2016	45-54	11361
Mid-Coast (A)	2016	55-64	14612
Mid-Coast (A)	2016	65-74	15411
Mid-Coast (A)	2016	75-84	8365
Mid-Coast (A)	2016	85+	3421
Mid-Western Regional (A)	2006	0-4	1282
Mid-Western Regional (A)	2006	5-14	3142
Mid-Western Regional (A)	2006	15-19	1385
Mid-Western Regional (A)	2006	20-24	887
Mid-Western Regional (A)	2006	25-34	2018
Mid-Western Regional (A)	2006	35-44	2986
Mid-Western Regional (A)	2006	45-54	2939
Mid-Western Regional (A)	2006	55-64	2980
Mid-Western Regional (A)	2006	65-74	1943
Mid-Western Regional (A)	2006	75-84	1133
Mid-Western Regional (A)	2006	85+	394
Mid-Western Regional (A)	2011	0-4	1476
Mid-Western Regional (A)	2011	5-14	3057
Mid-Western Regional (A)	2011	15-19	1456
Mid-Western Regional (A)	2011	20-24	1053
Mid-Western Regional (A)	2011	25-34	2180
Mid-Western Regional (A)	2011	35-44	2971
Mid-Western Regional (A)	2011	45-54	3123
Mid-Western Regional (A)	2011	55-64	2955
Mid-Western Regional (A)	2011	65-74	2332
Mid-Western Regional (A)	2011	75-84	1262
Mid-Western Regional (A)	2011	85+	462
Mid-Western Regional (A)	2016	0-4	1686
Mid-Western Regional (A)	2016	5-14	3218
Mid-Western Regional (A)	2016	15-19	1325
Mid-Western Regional (A)	2016	20-24	1105
Mid-Western Regional (A)	2016	25-34	2677
Mid-Western Regional (A)	2016	35-44	2756
Mid-Western Regional (A)	2016	45-54	3410
Mid-Western Regional (A)	2016	55-64	3164
Mid-Western Regional (A)	2016	65-74	2823
Mid-Western Regional (A)	2016	75-84	1425
Mid-Western Regional (A)	2016	85+	487
Moree Plains (A)	2006	0-4	1205
Moree Plains (A)	2006	5-14	2250
Moree Plains (A)	2006	15-19	835
Moree Plains (A)	2006	20-24	775
Moree Plains (A)	2006	25-34	1977
Moree Plains (A)	2006	35-44	2083
Moree Plains (A)	2006	45-54	1862
Moree Plains (A)	2006	55-64	1527
Moree Plains (A)	2006	65-74	892
Moree Plains (A)	2006	75-84	441
Moree Plains (A)	2006	85+	121
Moree Plains (A)	2011	0-4	1168
Moree Plains (A)	2011	5-14	1982
Moree Plains (A)	2011	15-19	851
Moree Plains (A)	2011	20-24	836
Moree Plains (A)	2011	25-34	1704
Moree Plains (A)	2011	35-44	1871
Moree Plains (A)	2011	45-54	1827
Moree Plains (A)	2011	55-64	1510
Moree Plains (A)	2011	65-74	1021
Moree Plains (A)	2011	75-84	499
Moree Plains (A)	2011	85+	167
Moree Plains (A)	2016	0-4	1036
Moree Plains (A)	2016	5-14	1846
Moree Plains (A)	2016	15-19	755
Moree Plains (A)	2016	20-24	769
Moree Plains (A)	2016	25-34	1640
Moree Plains (A)	2016	35-44	1642
Moree Plains (A)	2016	45-54	1823
Moree Plains (A)	2016	55-64	1606
Moree Plains (A)	2016	65-74	1224
Moree Plains (A)	2016	75-84	631
Moree Plains (A)	2016	85+	176
Mosman (A)	2006	0-4	1583
Mosman (A)	2006	5-14	2987
Mosman (A)	2006	15-19	1261
Mosman (A)	2006	20-24	1300
Mosman (A)	2006	25-34	3787
Mosman (A)	2006	35-44	4195
Mosman (A)	2006	45-54	3699
Mosman (A)	2006	55-64	3431
Mosman (A)	2006	65-74	1781
Mosman (A)	2006	75-84	1454
Mosman (A)	2006	85+	761
Mosman (A)	2011	0-4	1626
Mosman (A)	2011	5-14	3389
Mosman (A)	2011	15-19	1353
Mosman (A)	2011	20-24	1363
Mosman (A)	2011	25-34	3479
Mosman (A)	2011	35-44	4319
Mosman (A)	2011	45-54	4016
Mosman (A)	2011	55-64	3324
Mosman (A)	2011	65-74	2395
Mosman (A)	2011	75-84	1341
Mosman (A)	2011	85+	839
Mosman (A)	2016	0-4	1493
Mosman (A)	2016	5-14	3521
Mosman (A)	2016	15-19	1575
Mosman (A)	2016	20-24	1280
Mosman (A)	2016	25-34	3407
Mosman (A)	2016	35-44	4088
Mosman (A)	2016	45-54	4273
Mosman (A)	2016	55-64	3390
Mosman (A)	2016	65-74	3000
Mosman (A)	2016	75-84	1542
Mosman (A)	2016	85+	910
Murray River (A)	2006	0-4	635
Murray River (A)	2006	5-14	1456
Murray River (A)	2006	15-19	634
Murray River (A)	2006	20-24	412
Murray River (A)	2006	25-34	980
Murray River (A)	2006	35-44	1415
Murray River (A)	2006	45-54	1599
Murray River (A)	2006	55-64	1519
Murray River (A)	2006	65-74	1196
Murray River (A)	2006	75-84	763
Murray River (A)	2006	85+	179
Murray River (A)	2011	0-4	544
Murray River (A)	2011	5-14	1335
Murray River (A)	2011	15-19	658
Murray River (A)	2011	20-24	434
Murray River (A)	2011	25-34	883
Murray River (A)	2011	35-44	1251
Murray River (A)	2011	45-54	1536
Murray River (A)	2011	55-64	1697
Murray River (A)	2011	65-74	1482
Murray River (A)	2011	75-84	850
Murray River (A)	2011	85+	252
Murray River (A)	2016	0-4	638
Murray River (A)	2016	5-14	1356
Murray River (A)	2016	15-19	600
Murray River (A)	2016	20-24	434
Murray River (A)	2016	25-34	1089
Murray River (A)	2016	35-44	1112
Murray River (A)	2016	45-54	1496
Murray River (A)	2016	55-64	1822
Murray River (A)	2016	65-74	1784
Murray River (A)	2016	75-84	994
Murray River (A)	2016	85+	341
Murrumbidgee (A)	2006	0-4	290
Murrumbidgee (A)	2006	5-14	665
Murrumbidgee (A)	2006	15-19	275
Murrumbidgee (A)	2006	20-24	182
Murrumbidgee (A)	2006	25-34	457
Murrumbidgee (A)	2006	35-44	581
Murrumbidgee (A)	2006	45-54	594
Murrumbidgee (A)	2006	55-64	509
Murrumbidgee (A)	2006	65-74	336
Murrumbidgee (A)	2006	75-84	193
Murrumbidgee (A)	2006	85+	66
Murrumbidgee (A)	2011	0-4	268
Murrumbidgee (A)	2011	5-14	535
Murrumbidgee (A)	2011	15-19	230
Murrumbidgee (A)	2011	20-24	208
Murrumbidgee (A)	2011	25-34	353
Murrumbidgee (A)	2011	35-44	456
Murrumbidgee (A)	2011	45-54	585
Murrumbidgee (A)	2011	55-64	478
Murrumbidgee (A)	2011	65-74	367
Murrumbidgee (A)	2011	75-84	212
Murrumbidgee (A)	2011	85+	58
Murrumbidgee (A)	2016	0-4	218
Murrumbidgee (A)	2016	5-14	569
Murrumbidgee (A)	2016	15-19	251
