LGA_NAME16	Year	medianTotalFamilyIncomeWeekly
Mount Barker (DC)	2011	1501
Mount Gambier (C)	2011	1174
Mount Remarkable (DC)	2011	985
Murray Bridge (RC)	2011	1026
Naracoorte and Lucindale (DC)	2011	1244
Northern Areas (DC)	2011	1073
Norwood Payneham St Peters (C)	2011	1685
Onkaparinga (C)	2011	1311
Orroroo/Carrieton (DC)	2011	1085
Peterborough (DC)	2011	747
Playford (C)	2011	1063
Port Adelaide Enfield (C)	2011	1221
Port Augusta (C)	2011	1251
Port Lincoln (C)	2011	1208
Port Pirie City and Dists (M)	2011	1008
Prospect (C)	2011	1826
Renmark Paringa (DC)	2011	1049
Robe (DC)	2011	1161
Roxby Downs (M)	2011	2844
Salisbury (C)	2011	1192
Southern Mallee (DC)	2011	1077
Streaky Bay (DC)	2011	1064
Tatiara (DC)	2011	1152
Tea Tree Gully (C)	2011	1493
The Coorong (DC)	2011	963
Tumby Bay (DC)	2011	1032
Unley (C)	2011	2061
Victor Harbor (C)	2011	905
Wakefield (DC)	2011	1050
Walkerville (M)	2011	2122
Wattle Range (DC)	2011	1130
West Torrens (C)	2011	1360
Whyalla (C)	2011	1277
Wudinna (DC)	2011	1239
Yankalilla (DC)	2011	948
Yorke Peninsula (DC)	2011	888
Unincorporated SA	2011	1358
No usual address (SA)	2011	0
Migratory - Offshore - Shipping (SA)	2011	0
Albany (C)	2011	1268
Armadale (C)	2011	1534
Ashburton (S)	2011	2830
Augusta-Margaret River (S)	2011	1326
Bassendean (T)	2011	1618
Bayswater (C)	2011	1626
Belmont (C)	2011	1554
Beverley (S)	2011	920
Boddington (S)	2011	2237
Boyup Brook (S)	2011	1170
Bridgetown-Greenbushes (S)	2011	1118
Brookton (S)	2011	1144
Broome (S)	2011	1825
Broomehill-Tambellup (S)	2011	1031
Bruce Rock (S)	2011	1111
Bunbury (C)	2011	1443
Busselton (C)	2011	1334
Cambridge (T)	2011	2748
Canning (C)	2011	1720
Capel (S)	2011	1801
Carnamah (S)	2011	1307
Carnarvon (S)	2011	1369
Chapman Valley (S)	2011	1411
Chittering (S)	2011	1604
Claremont (T)	2011	2619
Cockburn (C)	2011	1820
Collie (S)	2011	1718
Coolgardie (S)	2011	2130
Coorow (S)	2011	1114
Corrigin (S)	2011	1154
Cottesloe (T)	2011	2800
Cranbrook (S)	2011	1004
Cuballing (S)	2011	1023
Cue (S)	2011	891
Cunderdin (S)	2011	1212
Dalwallinu (S)	2011	1493
Dandaragan (S)	2011	1282
Dardanup (S)	2011	1718
Denmark (S)	2011	1032
Derby-West Kimberley (S)	2011	1040
Donnybrook-Balingup (S)	2011	1277
Dowerin (S)	2011	1029
Dumbleyung (S)	2011	947
Dundas (S)	2011	1529
East Fremantle (T)	2011	2532
East Pilbara (S)	2011	2758
Esperance (S)	2011	1401
Exmouth (S)	2011	1812
Fremantle (C)	2011	1870
Gingin (S)	2011	1126
Gnowangerup (S)	2011	1312
Goomalling (S)	2011	1125
Gosnells (C)	2011	1560
Greater Geraldton (C)	2011	1485
Halls Creek (S)	2011	750
Harvey (S)	2011	1701
Irwin (S)	2011	1267
Jerramungup (S)	2011	1281
Joondalup (C)	2011	2036
Kalamunda (S)	2011	1794
Kalgoorlie/Boulder (C)	2011	2279
Karratha (C)	2011	2949
Katanning (S)	2011	1141
Kellerberrin (S)	2011	977
Kent (S)	2011	1224
Kojonup (S)	2011	1152
Kondinin (S)	2011	989
Koorda (S)	2011	907
Kulin (S)	2011	1174
Kwinana (C)	2011	1451
Lake Grace (S)	2011	1317
Laverton (S)	2011	814
Leonora (S)	2011	2243
Mandurah (C)	2011	1254
Manjimup (S)	2011	1130
Meekatharra (S)	2011	1081
Melville (C)	2011	2130
Menzies (S)	2011	673
Merredin (S)	2011	1438
Mingenew (S)	2011	1413
Moora (S)	2011	1403
Morawa (S)	2011	1267
Mosman Park (T)	2011	2558
Mount Magnet (S)	2011	924
Mount Marshall (S)	2011	1268
Mukinbudin (S)	2011	1181
Mundaring (S)	2011	1777
Murchison (S)	2011	1031
Murray (S)	2011	1324
Nannup (S)	2011	977
Narembeen (S)	2011	1068
Narrogin (S)	2011	1227
Nedlands (C)	2011	2781
Ngaanyatjarraku (S)	2011	617
Northam (S)	2011	1242
Northampton (S)	2011	938
Nungarin (S)	2011	900
Peppermint Grove (S)	2011	2923
Perenjori (S)	2011	1213
Perth (C)	2011	2452
Pingelly (S)	2011	923
Plantagenet (S)	2011	1082
Port Hedland (T)	2011	2939
Quairading (S)	2011	1044
Ravensthorpe (S)	2011	1601
Rockingham (C)	2011	1659
Sandstone (S)	2011	1499
Serpentine-Jarrahdale (S)	2011	1771
Shark Bay (S)	2011	1285
South Perth (C)	2011	2263
Stirling (C)	2011	1785
Subiaco (C)	2011	2561
Swan (C)	2011	1653
Tammin (S)	2011	1012
Three Springs (S)	2011	1183
Toodyay (S)	2011	1267
Trayning (S)	2011	1057
Upper Gascoyne (S)	2011	780
Victoria Park (T)	2011	1851
Victoria Plains (S)	2011	1077
Vincent (C)	2011	2309
Wagin (S)	2011	1115
Wandering (S)	2011	1447
Wanneroo (C)	2011	1694
Waroona (S)	2011	1427
West Arthur (S)	2011	948
Westonia (S)	2011	1550
Wickepin (S)	2011	956
Williams (S)	2011	1320
Wiluna (S)	2011	928
Wongan-Ballidu (S)	2011	1403
Woodanilling (S)	2011	1100
Wyalkatchem (S)	2011	862
Wyndham-East Kimberley (S)	2011	1773
Yalgoo (S)	2011	1187
Yilgarn (S)	2011	1461
York (S)	2011	1170
No usual address (WA)	2011	0
Migratory - Offshore - Shipping (WA)	2011	0
Break O'Day (M)	2011	829
Brighton (M)	2011	1084
Burnie (C)	2011	1077
Central Coast (M) (Tas.)	2011	1109
Central Highlands (M) (Tas.)	2011	845
Circular Head (M)	2011	1149
Clarence (C)	2011	1400
Derwent Valley (M)	2011	1080
Devonport (C)	2011	1050
Dorset (M)	2011	920
Flinders (M) (Tas.)	2011	967
George Town (M)	2011	976
Glamorgan/Spring Bay (M)	2011	908
Glenorchy (C)	2011	1126
Hobart (C)	2011	1787
Huon Valley (M)	2011	1056
Kentish (M)	2011	965
King Island (M)	2011	1334
Kingborough (M)	2011	1473
Latrobe (M) (Tas.)	2011	1136
Launceston (C)	2011	1176
Meander Valley (M)	2011	1174
Northern Midlands (M)	2011	1132
Sorell (M)	2011	1183
Southern Midlands (M)	2011	1036
Tasman (M)	2011	786
Waratah/Wynyard (M)	2011	1074
West Coast (M)	2011	1299
West Tamar (M)	2011	1286
No usual address (Tas.)	2011	0
Migratory - Offshore - Shipping (Tas.)	2011	0
Alice Springs (T)	2011	1975
Barkly (R)	2011	760
Belyuen (S)	2011	833
Central Desert (R)	2011	635
Coomalie (S)	2011	1108
Darwin (C)	2011	2062
East Arnhem (R)	2011	723
Katherine (T)	2011	1766
Litchfield (M)	2011	2010
MacDonnell (R)	2011	591
Palmerston (C)	2011	2010
Roper Gulf (R)	2011	717
Tiwi Islands (R)	2011	612
Victoria Daly (R)	2011	966
Wagait (S)	2011	1792
West Arnhem (R)	2011	991
West Daly (R)	2011	498
Unincorporated NT	2011	2526
No usual address (NT)	2011	0
Migratory - Offshore - Shipping (NT)	2011	0
Unincorporated ACT	2011	2277
No usual address (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	1768
No usual address (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	1532
Armidale Regional (A)	2016	1465
Ballina (A)	2016	1426
Balranald (A)	2016	1438
Bathurst Regional (A)	2016	1632
Bega Valley (A)	2016	1242
Bellingen (A)	2016	1218
Berrigan (A)	2016	1251
Blacktown (C)	2016	1817
Bland (A)	2016	1360
Blayney (A)	2016	1581
Blue Mountains (C)	2016	1866
Bogan (A)	2016	1561
Botany Bay (C)	2016	1921
Bourke (A)	2016	1562
Brewarrina (A)	2016	923
Broken Hill (C)	2016	1279
Burwood (A)	2016	1725
Byron (A)	2016	1389
Cabonne (A)	2016	1618
Camden (A)	2016	2161
Campbelltown (C) (NSW)	2016	1597
Canada Bay (A)	2016	2361
Canterbury-Bankstown (A)	2016	1437
Carrathool (A)	2016	1538
Central Coast (C) (NSW)	2016	1560
Central Darling (A)	2016	1075
Cessnock (C)	2016	1414
Clarence Valley (A)	2016	1133
Cobar (A)	2016	1923
Coffs Harbour (C)	2016	1346
Coolamon (A)	2016	1418
Coonamble (A)	2016	1218
Cowra (A)	2016	1225
Cumberland (A)	2016	1436
Dungog (A)	2016	1474
Edward River (A)	2016	1399
Eurobodalla (A)	2016	1184
Fairfield (C)	2016	1263
Federation (A)	2016	1299
Forbes (A)	2016	1326
Georges River (A)	2016	1817
Gilgandra (A)	2016	1199
Glen Innes Severn (A)	2016	1111
Goulburn Mulwaree (A)	2016	1505
Greater Hume Shire (A)	2016	1439
Griffith (C)	2016	1555
Gundagai (A)	2016	1280
Gunnedah (A)	2016	1586
Gwydir (A)	2016	1178
Hawkesbury (C)	2016	1916
Hay (A)	2016	1344
Hilltops (A)	2016	1261
Hornsby (A)	2016	2372
Hunters Hill (A)	2016	3301
Inner West (A)	2016	2498
Inverell (A)	2016	1181
Junee (A)	2016	1410
Kempsey (A)	2016	1107
Kiama (A)	2016	1820
Ku-ring-gai (A)	2016	3046
Kyogle (A)	2016	1076
Lachlan (A)	2016	1279
Lake Macquarie (C)	2016	1610
Lane Cove (A)	2016	2971
Leeton (A)	2016	1456
Lismore (C)	2016	1351
Lithgow (C)	2016	1328
Liverpool (C)	2016	1663
Liverpool Plains (A)	2016	1287
Lockhart (A)	2016	1408
Maitland (C)	2016	1664
Mid-Coast (A)	2016	1108
Mid-Western Regional (A)	2016	1433
Moree Plains (A)	2016	1480
Mosman (A)	2016	3671
Murray River (A)	2016	1333
Murrumbidgee (A)	2016	1461
Muswellbrook (A)	2016	1665
Nambucca (A)	2016	1080
Narrabri (A)	2016	1531
Narrandera (A)	2016	1349
Narromine (A)	2016	1358
Newcastle (C)	2016	1778
North Sydney (A)	2016	3210
Northern Beaches (A)	2016	2528
Oberon (A)	2016	1509
Orange (C)	2016	1655
Parkes (A)	2016	1412
Parramatta (C)	2016	1933
Penrith (C)	2016	1858
Port Macquarie-Hastings (A)	2016	1300
Port Stephens (A)	2016	1431
Queanbeyan-Palerang Regional (A)	2016	2303
Randwick (C)	2016	2421
Richmond Valley (A)	2016	1191
Rockdale (C)	2016	1746
Ryde (C)	2016	2106
Shellharbour (C)	2016	1562
Shoalhaven (C)	2016	1226
Singleton (A)	2016	1981
Snowy Monaro Regional (A)	2016	1569
Snowy Valleys (A)	2016	1418
Strathfield (A)	2016	1894
Sutherland Shire (A)	2016	2312
Sydney (C)	2016	2524
Tamworth Regional (A)	2016	1446
Temora (A)	2016	1329
Tenterfield (A)	2016	1015
The Hills Shire (A)	2016	2464
Tweed (A)	2016	1332
Upper Hunter Shire (A)	2016	1589
Upper Lachlan Shire (A)	2016	1498
Uralla (A)	2016	1342
Wagga Wagga (C)	2016	1682
Walcha (A)	2016	1329
Walgett (A)	2016	1039
Warren (A)	2016	1468
Warrumbungle Shire (A)	2016	1103
Waverley (A)	2016	2917
Weddin (A)	2016	1193
Wentworth (A)	2016	1308
Western Plains Regional (A)	2016	1525
Willoughby (C)	2016	2671
Wingecarribee (A)	2016	1639
Wollondilly (A)	2016	2032
Wollongong (C)	2016	1710
Woollahra (A)	2016	3626
Yass Valley (A)	2016	2214
Unincorporated NSW	2016	1427
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2016	0
Alpine (S)	2016	1322
Ararat (RC)	2016	1263
Ballarat (C)	2016	1489
Banyule (C)	2016	2033
Bass Coast (S)	2016	1192
Baw Baw (S)	2016	1462
Bayside (C)	2016	2765
Benalla (RC)	2016	1232
Boroondara (C)	2016	2652
Brimbank (C)	2016	1358
Buloke (S)	2016	1110
Campaspe (S)	2016	1349
Cardinia (S)	2016	1700
Casey (C)	2016	1655
Central Goldfields (S)	2016	1001
Colac-Otway (S)	2016	1362
Corangamite (S)	2016	1301
Darebin (C)	2016	1784
East Gippsland (S)	2016	1192
Frankston (C)	2016	1649
Gannawarra (S)	2016	1188
Glen Eira (C)	2016	2248
Glenelg (S)	2016	1362
Golden Plains (S)	2016	1630
Greater Bendigo (C)	2016	1452
Greater Dandenong (C)	2016	1260
Greater Geelong (C)	2016	1576
Greater Shepparton (C)	2016	1417
Hepburn (S)	2016	1287
Hindmarsh (S)	2016	1217
Hobsons Bay (C)	2016	1921
Horsham (RC)	2016	1408
Hume (C)	2016	1473
Indigo (S)	2016	1540
Kingston (C) (Vic.)	2016	1938
Knox (C)	2016	1820
Latrobe (C) (Vic.)	2016	1415
Loddon (S)	2016	1116
Macedon Ranges (S)	2016	1932
Manningham (C)	2016	1895
Mansfield (S)	2016	1338
Maribyrnong (C)	2016	1913
Maroondah (C)	2016	1895
Melbourne (C)	2016	2062
Melton (C)	2016	1683
Mildura (RC)	2016	1340
Mitchell (S)	2016	1620
Moira (S)	2016	1283
Monash (C)	2016	1809
Moonee Valley (C)	2016	2098
Moorabool (S)	2016	1670
Moreland (C)	2016	1843
Mornington Peninsula (S)	2016	1621
Mount Alexander (S)	2016	1311
Moyne (S)	2016	1486
Murrindindi (S)	2016	1388
Nillumbik (S)	2016	2307
Northern Grampians (S)	2016	1257
Port Phillip (C)	2016	2559
Pyrenees (S)	2016	1148
Queenscliffe (B)	2016	1571
South Gippsland (S)	2016	1320
Southern Grampians (S)	2016	1370
Stonnington (C)	2016	2680
Strathbogie (S)	2016	1293
Surf Coast (S)	2016	1876
Swan Hill (RC)	2016	1358
Towong (S)	2016	1340
Wangaratta (RC)	2016	1386
Warrnambool (C)	2016	1503
Wellington (S)	2016	1409
West Wimmera (S)	2016	1302
Whitehorse (C)	2016	1916
Whittlesea (C)	2016	1569
Wodonga (C)	2016	1550
Wyndham (C)	2016	1714
Yarra (C)	2016	2509
Yarra Ranges (S)	2016	1770
Yarriambiack (S)	2016	1179
Unincorporated Vic	2016	1430
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2016	678
Balonne (S)	2016	1485
Banana (S)	2016	1895
Barcaldine (R)	2016	1514
Barcoo (S)	2016	1687
Blackall-Tambo (R)	2016	1266
Boulia (S)	2016	1553
Brisbane (C)	2016	2091
Bulloo (S)	2016	1430
Bundaberg (R)	2016	1185
Burdekin (S)	2016	1489
Burke (S)	2016	1458
Cairns (R)	2016	1605
Carpentaria (S)	2016	1544
Cassowary Coast (R)	2016	1305
Central Highlands (R) (Qld)	2016	2106
Charters Towers (R)	2016	1323
Cherbourg (S)	2016	766
Cloncurry (S)	2016	2140
Cook (S)	2016	1341
Croydon (S)	2016	1274
Diamantina (S)	2016	2041
Doomadgee (S)	2016	745
Douglas (S)	2016	1460
Etheridge (S)	2016	1192
Flinders (S) (Qld)	2016	1331
Fraser Coast (R)	2016	1090
Gladstone (R)	2016	1918
Gold Coast (C)	2016	1657
Goondiwindi (R)	2016	1461
Gympie (R)	2016	1132
Hinchinbrook (S)	2016	1349
Hope Vale (S)	2016	759
Ipswich (C)	2016	1581
Isaac (R)	2016	2365
Kowanyama (S)	2016	841
Livingstone (S)	2016	1597
Lockhart River (S)	2016	810
Lockyer Valley (R)	2016	1376
Logan (C)	2016	1546
Longreach (R)	2016	1609
Mackay (R)	2016	1774
McKinlay (S)	2016	1537
Mapoon (S)	2016	1015
Maranoa (R)	2016	1688
Mareeba (S)	2016	1274
Moreton Bay (R)	2016	1638
Mornington (S)	2016	762
Mount Isa (C)	2016	2382
Murweh (S)	2016	1490
Napranum (S)	2016	776
Noosa (S)	2016	1403
North Burnett (R)	2016	1159
Northern Peninsula Area (R)	2016	1064
Palm Island (S)	2016	927
Paroo (S)	2016	1235
Pormpuraaw (S)	2016	747
Quilpie (S)	2016	1449
Redland (C)	2016	1815
Richmond (S)	2016	1402
Rockhampton (R)	2016	1539
Scenic Rim (R)	2016	1417
Somerset (R)	2016	1256
South Burnett (R)	2016	1143
Southern Downs (R)	2016	1207
Sunshine Coast (R)	2016	1491
Tablelands (R)	2016	1218
Toowoomba (R)	2016	1547
Torres (S)	2016	1919
Torres Strait Island (R)	2016	856
Townsville (C)	2016	1705
Weipa (T)	2016	2777
Western Downs (R)	2016	1467
Whitsunday (R)	2016	1481
Winton (S)	2016	1413
Woorabinda (S)	2016	716
Wujal Wujal (S)	2016	682
Yarrabah (S)	2016	869
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2016	0
Adelaide (C)	2016	2026
Adelaide Hills (DC)	2016	2026
Alexandrina (DC)	2016	1226
Anangu Pitjantjatjara (AC)	2016	734
Barossa (DC)	2016	1596
Barunga West (DC)	2016	1166
Berri and Barmera (DC)	2016	1252
Burnside (C)	2016	2320
Campbelltown (C) (SA)	2016	1607
Ceduna (DC)	2016	1503
Charles Sturt (C)	2016	1607
Clare and Gilbert Valleys (DC)	2016	1395
Cleve (DC)	2016	1384
Coober Pedy (DC)	2016	1329
Copper Coast (DC)	2016	1128
Elliston (DC)	2016	1189
Flinders Ranges (DC)	2016	1283
Franklin Harbour (DC)	2016	1283
Gawler (T)	2016	1422
Goyder (DC)	2016	1184
Grant (DC)	2016	1658
Holdfast Bay (C)	2016	1973
Kangaroo Island (DC)	2016	1213
Karoonda East Murray (DC)	2016	1181
Kimba (DC)	2016	1453
Kingston (DC) (SA)	2016	1232
Light (RegC)	2016	1715
Lower Eyre Peninsula (DC)	2016	1490
Loxton Waikerie (DC)	2016	1286
Mallala (DC)	2016	1498
Maralinga Tjarutja (AC)	2016	3374
Marion (C)	2016	1625
Mid Murray (DC)	2016	1096
Mitcham (C)	2016	2071
Mount Barker (DC)	2016	1729
Mount Gambier (C)	2016	1388
Mount Remarkable (DC)	2016	1217
Murray Bridge (RC)	2016	1215
Naracoorte and Lucindale (DC)	2016	1424
Northern Areas (DC)	2016	1304
Norwood Payneham St Peters (C)	2016	1920
Onkaparinga (C)	2016	1448
Orroroo/Carrieton (DC)	2016	1326
Peterborough (DC)	2016	890
Playford (C)	2016	1212
Port Adelaide Enfield (C)	2016	1428
Port Augusta (C)	2016	1370
Port Lincoln (C)	2016	1398
Port Pirie City and Dists (M)	2016	1229
Prospect (C)	2016	2099
Renmark Paringa (DC)	2016	1256
Robe (DC)	2016	1406
Roxby Downs (M)	2016	2760
Salisbury (C)	2016	1320
Southern Mallee (DC)	2016	1430
Streaky Bay (DC)	2016	1370
Tatiara (DC)	2016	1409
Tea Tree Gully (C)	2016	1676
The Coorong (DC)	2016	1164
Tumby Bay (DC)	2016	1296
Unley (C)	2016	2289
Victor Harbor (C)	2016	1065
Wakefield (DC)	2016	1289
Walkerville (M)	2016	2326
Wattle Range (DC)	2016	1326
West Torrens (C)	2016	1612
Whyalla (C)	2016	1388
Wudinna (DC)	2016	1492
Yankalilla (DC)	2016	1189
Yorke Peninsula (DC)	2016	1124
Unincorporated SA	2016	1280
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2016	0
Albany (C)	2016	1508
Armadale (C)	2016	1719
Ashburton (S)	2016	2889
Augusta-Margaret River (S)	2016	1524
Bassendean (T)	2016	1904
Bayswater (C)	2016	1874
Belmont (C)	2016	1725
Beverley (S)	2016	1264
Boddington (S)	2016	2097
Boyup Brook (S)	2016	1363
Bridgetown-Greenbushes (S)	2016	1284
Brookton (S)	2016	1468
Broome (S)	2016	2076
Broomehill-Tambellup (S)	2016	1404
Bruce Rock (S)	2016	1583
Bunbury (C)	2016	1502
Busselton (C)	2016	1581
Cambridge (T)	2016	3306
Canning (C)	2016	1788
Capel (S)	2016	1937
Carnamah (S)	2016	1489
Carnarvon (S)	2016	1604
Chapman Valley (S)	2016	1932
Chittering (S)	2016	1856
Claremont (T)	2016	2989
Cockburn (C)	2016	2038
Collie (S)	2016	1488
Coolgardie (S)	2016	2094
Coorow (S)	2016	1239
Corrigin (S)	2016	1672
Cottesloe (T)	2016	3659
Cranbrook (S)	2016	1281
Cuballing (S)	2016	1421
Cue (S)	2016	949
Cunderdin (S)	2016	1648
Dalwallinu (S)	2016	1767
Dandaragan (S)	2016	1445
Dardanup (S)	2016	1749
Denmark (S)	2016	1268
Derby-West Kimberley (S)	2016	1077
Donnybrook-Balingup (S)	2016	1425
Dowerin (S)	2016	1455
Dumbleyung (S)	2016	1309
Dundas (S)	2016	1235
East Fremantle (T)	2016	2780
East Pilbara (S)	2016	2536
Esperance (S)	2016	1709
Exmouth (S)	2016	2011
Fremantle (C)	2016	2173
Gingin (S)	2016	1329
Gnowangerup (S)	2016	1676
Goomalling (S)	2016	1625
Gosnells (C)	2016	1656
Greater Geraldton (C)	2016	1674
Halls Creek (S)	2016	809
Harvey (S)	2016	1797
Irwin (S)	2016	1351
Jerramungup (S)	2016	1637
Joondalup (C)	2016	2230
Kalamunda (S)	2016	1932
Kalgoorlie/Boulder (C)	2016	2377
Karratha (C)	2016	2951
Katanning (S)	2016	1400
Kellerberrin (S)	2016	1292
Kent (S)	2016	1589
Kojonup (S)	2016	1568
Kondinin (S)	2016	1570
Koorda (S)	2016	1458
Kulin (S)	2016	1607
Kwinana (C)	2016	1669
Lake Grace (S)	2016	1944
Laverton (S)	2016	888
Leonora (S)	2016	2048
Mandurah (C)	2016	1435
Manjimup (S)	2016	1394
Meekatharra (S)	2016	1399
Melville (C)	2016	2281
Menzies (S)	2016	928
Merredin (S)	2016	1708
Mingenew (S)	2016	1416
Moora (S)	2016	1760
Morawa (S)	2016	1357
Mosman Park (T)	2016	2887
Mount Magnet (S)	2016	1399
Mount Marshall (S)	2016	1451
Mukinbudin (S)	2016	1601
Mundaring (S)	2016	1957
Murchison (S)	2016	1775
Murray (S)	2016	1460
Nannup (S)	2016	1189
Narembeen (S)	2016	1625
Narrogin (S)	2016	1527
Nedlands (C)	2016	3559
Ngaanyatjarraku (S)	2016	705
Northam (S)	2016	1468
Northampton (S)	2016	1296
Nungarin (S)	2016	1333
Peppermint Grove (S)	2016	4146
Perenjori (S)	2016	1699
Perth (C)	2016	2291
Pingelly (S)	2016	1112
Plantagenet (S)	2016	1275
Port Hedland (T)	2016	3014
Quairading (S)	2016	1154
Ravensthorpe (S)	2016	1507
Rockingham (C)	2016	1812
Sandstone (S)	2016	1375
Serpentine-Jarrahdale (S)	2016	1951
Shark Bay (S)	2016	1399
South Perth (C)	2016	2385
Stirling (C)	2016	2001
Subiaco (C)	2016	2609
Swan (C)	2016	1811
Tammin (S)	2016	1589
Three Springs (S)	2016	1406
Toodyay (S)	2016	1425
Trayning (S)	2016	1339
Upper Gascoyne (S)	2016	700
Victoria Park (T)	2016	1998
Victoria Plains (S)	2016	1602
Vincent (C)	2016	2553
Wagin (S)	2016	1274
Wandering (S)	2016	1777
Wanneroo (C)	2016	1875
Waroona (S)	2016	1464
West Arthur (S)	2016	1324
Westonia (S)	2016	2071
Wickepin (S)	2016	1402
Williams (S)	2016	1837
Wiluna (S)	2016	860
Wongan-Ballidu (S)	2016	1495
Woodanilling (S)	2016	1600
Wyalkatchem (S)	2016	1166
Wyndham-East Kimberley (S)	2016	1950
Yalgoo (S)	2016	2150
Yilgarn (S)	2016	1807
York (S)	2016	1368
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2016	0
Break O'Day (M)	2016	955
Brighton (M)	2016	1303
Burnie (C)	2016	1272
Central Coast (M) (Tas.)	2016	1301
Central Highlands (M) (Tas.)	2016	1074
Circular Head (M)	2016	1385
Clarence (C)	2016	1644
Derwent Valley (M)	2016	1264
Devonport (C)	2016	1224
Dorset (M)	2016	1114
Flinders (M) (Tas.)	2016	1362
George Town (M)	2016	1087
Glamorgan/Spring Bay (M)	2016	1054
Glenorchy (C)	2016	1321
Hobart (C)	2016	2023
Huon Valley (M)	2016	1246
Kentish (M)	2016	1167
King Island (M)	2016	1642
Kingborough (M)	2016	1694
Latrobe (M) (Tas.)	2016	1320
Launceston (C)	2016	1362
Meander Valley (M)	2016	1359
Northern Midlands (M)	2016	1326
Sorell (M)	2016	1391
Southern Midlands (M)	2016	1268
Tasman (M)	2016	985
Waratah/Wynyard (M)	2016	1247
West Coast (M)	2016	1258
West Tamar (M)	2016	1418
No usual address (Tas.)	2016	0
Migratory - Offshore - Shipping (Tas.)	2016	0
Alice Springs (T)	2016	2259
Barkly (R)	2016	959
Belyuen (S)	2016	745
Central Desert (R)	2016	801
Coomalie (S)	2016	1327
Darwin (C)	2016	2385
East Arnhem (R)	2016	671
Katherine (T)	2016	2081
Litchfield (M)	2016	2410
MacDonnell (R)	2016	642
Palmerston (C)	2016	2369
Roper Gulf (R)	2016	670
Tiwi Islands (R)	2016	644
Victoria Daly (R)	2016	775
Wagait (S)	2016	1924
West Arnhem (R)	2016	771
West Daly (R)	2016	590
Unincorporated NT	2016	2447
No usual address (NT)	2016	0
Migratory - Offshore - Shipping (NT)	2016	0
Unincorporated ACT	2016	2445
No usual address (ACT)	2016	0
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2016	1568
No usual address (OT)	2016	0
Migratory - Offshore - Shipping (OT)	2016	0
