LGA_NAME16	Year	NonSchoolQualification	persons
Wollongong (C)	2006	Certificate III and IV Level	24396
Wollongong (C)	2006	Advanced Diploma and Diploma	10435
Wollongong (C)	2006	Bachelor	14504
Wollongong (C)	2006	Graduate Diploma and Graduate Certificate	1887
Wollongong (C)	2006	Postgraduate	4334
Wollongong (C)	2011		120959
Wollongong (C)	2011	Certificate nfd	2902
Wollongong (C)	2011	Certificate I and II Level	2119
Wollongong (C)	2011	Certificate III and IV Level	27663
Wollongong (C)	2011	Advanced Diploma and Diploma	12427
Wollongong (C)	2011	Bachelor	17872
Wollongong (C)	2011	Graduate Diploma and Graduate Certificate	2384
Wollongong (C)	2011	Postgraduate	6093
Wollongong (C)	2016		118751
Wollongong (C)	2016	Certificate nfd	4043
Wollongong (C)	2016	Certificate I and II Level	2094
Wollongong (C)	2016	Certificate III and IV Level	30466
Wollongong (C)	2016	Advanced Diploma and Diploma	14989
Wollongong (C)	2016	Bachelor	22048
Wollongong (C)	2016	Graduate Diploma and Graduate Certificate	3131
Wollongong (C)	2016	Postgraduate	8108
Woollahra (A)	2006		26506
Woollahra (A)	2006	Certificate nfd	597
Woollahra (A)	2006	Certificate I and II Level	208
Woollahra (A)	2006	Certificate III and IV Level	1986
Woollahra (A)	2006	Advanced Diploma and Diploma	3844
Woollahra (A)	2006	Bachelor	12200
Woollahra (A)	2006	Graduate Diploma and Graduate Certificate	979
Woollahra (A)	2006	Postgraduate	3842
Woollahra (A)	2011		25787
Woollahra (A)	2011	Certificate nfd	497
Woollahra (A)	2011	Certificate I and II Level	194
Woollahra (A)	2011	Certificate III and IV Level	2140
Woollahra (A)	2011	Advanced Diploma and Diploma	3905
Woollahra (A)	2011	Bachelor	13711
Woollahra (A)	2011	Graduate Diploma and Graduate Certificate	1111
Woollahra (A)	2011	Postgraduate	4814
Woollahra (A)	2016		24944
Woollahra (A)	2016	Certificate nfd	816
Woollahra (A)	2016	Certificate I and II Level	182
Woollahra (A)	2016	Certificate III and IV Level	2069
Woollahra (A)	2016	Advanced Diploma and Diploma	3840
Woollahra (A)	2016	Bachelor	15161
Woollahra (A)	2016	Graduate Diploma and Graduate Certificate	1262
Woollahra (A)	2016	Postgraduate	5966
Yass Valley (A)	2006		8539
Yass Valley (A)	2006	Certificate nfd	223
Yass Valley (A)	2006	Certificate I and II Level	101
Yass Valley (A)	2006	Certificate III and IV Level	1542
Yass Valley (A)	2006	Advanced Diploma and Diploma	796
Yass Valley (A)	2006	Bachelor	1287
Yass Valley (A)	2006	Graduate Diploma and Graduate Certificate	240
Yass Valley (A)	2006	Postgraduate	405
Yass Valley (A)	2011		9280
Yass Valley (A)	2011	Certificate nfd	205
Yass Valley (A)	2011	Certificate I and II Level	141
Yass Valley (A)	2011	Certificate III and IV Level	1922
Yass Valley (A)	2011	Advanced Diploma and Diploma	979
Yass Valley (A)	2011	Bachelor	1625
Yass Valley (A)	2011	Graduate Diploma and Graduate Certificate	330
Yass Valley (A)	2011	Postgraduate	538
Yass Valley (A)	2016		9380
Yass Valley (A)	2016	Certificate nfd	282
Yass Valley (A)	2016	Certificate I and II Level	134
Yass Valley (A)	2016	Certificate III and IV Level	2149
Yass Valley (A)	2016	Advanced Diploma and Diploma	1188
Yass Valley (A)	2016	Bachelor	1938
Yass Valley (A)	2016	Graduate Diploma and Graduate Certificate	380
Yass Valley (A)	2016	Postgraduate	691
Unincorporated NSW	2006		764
Unincorporated NSW	2006	Certificate nfd	21
Unincorporated NSW	2006	Certificate I and II Level	16
Unincorporated NSW	2006	Certificate III and IV Level	129
Unincorporated NSW	2006	Advanced Diploma and Diploma	53
Unincorporated NSW	2006	Bachelor	63
Unincorporated NSW	2006	Graduate Diploma and Graduate Certificate	3
Unincorporated NSW	2006	Postgraduate	6
Unincorporated NSW	2011		712
Unincorporated NSW	2011	Certificate nfd	20
Unincorporated NSW	2011	Certificate I and II Level	18
Unincorporated NSW	2011	Certificate III and IV Level	167
Unincorporated NSW	2011	Advanced Diploma and Diploma	60
Unincorporated NSW	2011	Bachelor	69
Unincorporated NSW	2011	Graduate Diploma and Graduate Certificate	5
Unincorporated NSW	2011	Postgraduate	6
Unincorporated NSW	2016		676
Unincorporated NSW	2016	Certificate nfd	28
Unincorporated NSW	2016	Certificate I and II Level	9
Unincorporated NSW	2016	Certificate III and IV Level	184
Unincorporated NSW	2016	Advanced Diploma and Diploma	62
Unincorporated NSW	2016	Bachelor	77
Unincorporated NSW	2016	Graduate Diploma and Graduate Certificate	7
Unincorporated NSW	2016	Postgraduate	13
No usual address (NSW)	2006	Certificate nfd	164
No usual address (NSW)	2006	Certificate I and II Level	116
No usual address (NSW)	2006	Certificate III and IV Level	1248
No usual address (NSW)	2006	Advanced Diploma and Diploma	530
No usual address (NSW)	2006	Bachelor	1127
No usual address (NSW)	2006	Graduate Diploma and Graduate Certificate	109
No usual address (NSW)	2006	Postgraduate	281
No usual address (NSW)	2011	Certificate nfd	193
No usual address (NSW)	2011	Certificate I and II Level	164
No usual address (NSW)	2011	Certificate III and IV Level	1448
No usual address (NSW)	2011	Advanced Diploma and Diploma	646
No usual address (NSW)	2011	Bachelor	1283
No usual address (NSW)	2011	Graduate Diploma and Graduate Certificate	112
No usual address (NSW)	2011	Postgraduate	345
No usual address (NSW)	2016	Certificate nfd	195
No usual address (NSW)	2016	Certificate I and II Level	126
No usual address (NSW)	2016	Certificate III and IV Level	1416
No usual address (NSW)	2016	Advanced Diploma and Diploma	663
No usual address (NSW)	2016	Bachelor	1247
No usual address (NSW)	2016	Graduate Diploma and Graduate Certificate	120
No usual address (NSW)	2016	Postgraduate	365
Migratory - Offshore - Shipping (NSW)	2006	Certificate nfd	0
Migratory - Offshore - Shipping (NSW)	2006	Certificate I and II Level	0
Migratory - Offshore - Shipping (NSW)	2006	Certificate III and IV Level	20
Migratory - Offshore - Shipping (NSW)	2006	Advanced Diploma and Diploma	5
Migratory - Offshore - Shipping (NSW)	2006	Bachelor	7
Migratory - Offshore - Shipping (NSW)	2006	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (NSW)	2006	Postgraduate	0
Migratory - Offshore - Shipping (NSW)	2011	Certificate nfd	0
Migratory - Offshore - Shipping (NSW)	2011	Certificate I and II Level	0
Migratory - Offshore - Shipping (NSW)	2011	Certificate III and IV Level	23
Migratory - Offshore - Shipping (NSW)	2011	Advanced Diploma and Diploma	6
Migratory - Offshore - Shipping (NSW)	2011	Bachelor	3
Migratory - Offshore - Shipping (NSW)	2011	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (NSW)	2011	Postgraduate	0
Migratory - Offshore - Shipping (NSW)	2016	Certificate nfd	8
Migratory - Offshore - Shipping (NSW)	2016	Certificate I and II Level	3
Migratory - Offshore - Shipping (NSW)	2016	Certificate III and IV Level	61
Migratory - Offshore - Shipping (NSW)	2016	Advanced Diploma and Diploma	31
Migratory - Offshore - Shipping (NSW)	2016	Bachelor	35
Migratory - Offshore - Shipping (NSW)	2016	Graduate Diploma and Graduate Certificate	4
Migratory - Offshore - Shipping (NSW)	2016	Postgraduate	5
Alpine (S)	2006		8322
Alpine (S)	2006	Certificate nfd	138
Alpine (S)	2006	Certificate I and II Level	107
Alpine (S)	2006	Certificate III and IV Level	1691
Alpine (S)	2006	Advanced Diploma and Diploma	666
Alpine (S)	2006	Bachelor	808
Alpine (S)	2006	Graduate Diploma and Graduate Certificate	171
Alpine (S)	2006	Postgraduate	94
Alpine (S)	2011		7599
Alpine (S)	2011	Certificate nfd	159
Alpine (S)	2011	Certificate I and II Level	135
Alpine (S)	2011	Certificate III and IV Level	1912
Alpine (S)	2011	Advanced Diploma and Diploma	801
Alpine (S)	2011	Bachelor	910
Alpine (S)	2011	Graduate Diploma and Graduate Certificate	220
Alpine (S)	2011	Postgraduate	144
Alpine (S)	2016		7422
Alpine (S)	2016	Certificate nfd	211
Alpine (S)	2016	Certificate I and II Level	130
Alpine (S)	2016	Certificate III and IV Level	1991
Alpine (S)	2016	Advanced Diploma and Diploma	984
Alpine (S)	2016	Bachelor	1114
Alpine (S)	2016	Graduate Diploma and Graduate Certificate	265
Alpine (S)	2016	Postgraduate	220
Ararat (RC)	2006		8412
Ararat (RC)	2006	Certificate nfd	128
Ararat (RC)	2006	Certificate I and II Level	113
Ararat (RC)	2006	Certificate III and IV Level	1312
Ararat (RC)	2006	Advanced Diploma and Diploma	581
Ararat (RC)	2006	Bachelor	552
Ararat (RC)	2006	Graduate Diploma and Graduate Certificate	99
Ararat (RC)	2006	Postgraduate	59
Ararat (RC)	2011		7935
Ararat (RC)	2011	Certificate nfd	121
Ararat (RC)	2011	Certificate I and II Level	92
Ararat (RC)	2011	Certificate III and IV Level	1536
Ararat (RC)	2011	Advanced Diploma and Diploma	626
Ararat (RC)	2011	Bachelor	662
Ararat (RC)	2011	Graduate Diploma and Graduate Certificate	127
Ararat (RC)	2011	Postgraduate	85
Ararat (RC)	2016		7939
Ararat (RC)	2016	Certificate nfd	164
Ararat (RC)	2016	Certificate I and II Level	106
Ararat (RC)	2016	Certificate III and IV Level	1620
Ararat (RC)	2016	Advanced Diploma and Diploma	769
Ararat (RC)	2016	Bachelor	749
Ararat (RC)	2016	Graduate Diploma and Graduate Certificate	157
Ararat (RC)	2016	Postgraduate	96
Ballarat (C)	2006		59619
Ballarat (C)	2006	Certificate nfd	839
Ballarat (C)	2006	Certificate I and II Level	954
Ballarat (C)	2006	Certificate III and IV Level	9965
Ballarat (C)	2006	Advanced Diploma and Diploma	4402
Ballarat (C)	2006	Bachelor	6853
Ballarat (C)	2006	Graduate Diploma and Graduate Certificate	1352
Ballarat (C)	2006	Postgraduate	1212
Ballarat (C)	2011		61331
Ballarat (C)	2011	Certificate nfd	951
Ballarat (C)	2011	Certificate I and II Level	1038
Ballarat (C)	2011	Certificate III and IV Level	12386
Ballarat (C)	2011	Advanced Diploma and Diploma	5543
Ballarat (C)	2011	Bachelor	8574
Ballarat (C)	2011	Graduate Diploma and Graduate Certificate	1834
Ballarat (C)	2011	Postgraduate	1844
Ballarat (C)	2016		62175
Ballarat (C)	2016	Certificate nfd	1270
Ballarat (C)	2016	Certificate I and II Level	1048
Ballarat (C)	2016	Certificate III and IV Level	14646
Ballarat (C)	2016	Advanced Diploma and Diploma	6969
Ballarat (C)	2016	Bachelor	10556
Ballarat (C)	2016	Graduate Diploma and Graduate Certificate	2275
Ballarat (C)	2016	Postgraduate	2747
Banyule (C)	2006		71952
Banyule (C)	2006	Certificate nfd	1418
Banyule (C)	2006	Certificate I and II Level	710
Banyule (C)	2006	Certificate III and IV Level	12059
Banyule (C)	2006	Advanced Diploma and Diploma	7894
Banyule (C)	2006	Bachelor	14695
Banyule (C)	2006	Graduate Diploma and Graduate Certificate	2568
Banyule (C)	2006	Postgraduate	3573
Banyule (C)	2011		68135
Banyule (C)	2011	Certificate nfd	1449
Banyule (C)	2011	Certificate I and II Level	741
Banyule (C)	2011	Certificate III and IV Level	12686
Banyule (C)	2011	Advanced Diploma and Diploma	8802
Banyule (C)	2011	Bachelor	17993
Banyule (C)	2011	Graduate Diploma and Graduate Certificate	3241
Banyule (C)	2011	Postgraduate	5261
Banyule (C)	2016		65127
Banyule (C)	2016	Certificate nfd	1693
Banyule (C)	2016	Certificate I and II Level	709
Banyule (C)	2016	Certificate III and IV Level	12859
Banyule (C)	2016	Advanced Diploma and Diploma	9683
Banyule (C)	2016	Bachelor	20555
Banyule (C)	2016	Graduate Diploma and Graduate Certificate	3767
Banyule (C)	2016	Postgraduate	7472
Bass Coast (S)	2006		18835
Bass Coast (S)	2006	Certificate nfd	302
Bass Coast (S)	2006	Certificate I and II Level	255
Bass Coast (S)	2006	Certificate III and IV Level	3744
Bass Coast (S)	2006	Advanced Diploma and Diploma	1349
Bass Coast (S)	2006	Bachelor	1513
Bass Coast (S)	2006	Graduate Diploma and Graduate Certificate	319
Bass Coast (S)	2006	Postgraduate	228
Bass Coast (S)	2011		19477
Bass Coast (S)	2011	Certificate nfd	356
Bass Coast (S)	2011	Certificate I and II Level	287
Bass Coast (S)	2011	Certificate III and IV Level	4783
Bass Coast (S)	2011	Advanced Diploma and Diploma	1865
Bass Coast (S)	2011	Bachelor	2084
Bass Coast (S)	2011	Graduate Diploma and Graduate Certificate	427
Bass Coast (S)	2011	Postgraduate	337
Bass Coast (S)	2016		20363
Bass Coast (S)	2016	Certificate nfd	589
Bass Coast (S)	2016	Certificate I and II Level	319
Bass Coast (S)	2016	Certificate III and IV Level	5421
Bass Coast (S)	2016	Advanced Diploma and Diploma	2466
Bass Coast (S)	2016	Bachelor	2531
Bass Coast (S)	2016	Graduate Diploma and Graduate Certificate	583
Bass Coast (S)	2016	Postgraduate	532
Baw Baw (S)	2006		26197
Baw Baw (S)	2006	Certificate nfd	395
Baw Baw (S)	2006	Certificate I and II Level	411
Baw Baw (S)	2006	Certificate III and IV Level	5168
Baw Baw (S)	2006	Advanced Diploma and Diploma	1856
Baw Baw (S)	2006	Bachelor	2337
Baw Baw (S)	2006	Graduate Diploma and Graduate Certificate	457
Baw Baw (S)	2006	Postgraduate	357
Baw Baw (S)	2011		28104
Baw Baw (S)	2011	Certificate nfd	510
Baw Baw (S)	2011	Certificate I and II Level	472
Baw Baw (S)	2011	Certificate III and IV Level	6834
Baw Baw (S)	2011	Advanced Diploma and Diploma	2690
Baw Baw (S)	2011	Bachelor	3080
Baw Baw (S)	2011	Graduate Diploma and Graduate Certificate	631
Baw Baw (S)	2011	Postgraduate	542
Baw Baw (S)	2016		29900
Baw Baw (S)	2016	Certificate nfd	733
Baw Baw (S)	2016	Certificate I and II Level	480
Baw Baw (S)	2016	Certificate III and IV Level	8404
Baw Baw (S)	2016	Advanced Diploma and Diploma	3502
Baw Baw (S)	2016	Bachelor	3771
Baw Baw (S)	2016	Graduate Diploma and Graduate Certificate	881
Baw Baw (S)	2016	Postgraduate	808
Bayside (C)	2006		51805
Bayside (C)	2006	Certificate nfd	1137
Bayside (C)	2006	Certificate I and II Level	378
Bayside (C)	2006	Certificate III and IV Level	5680
Bayside (C)	2006	Advanced Diploma and Diploma	7336
Bayside (C)	2006	Bachelor	15543
Bayside (C)	2006	Graduate Diploma and Graduate Certificate	2200
Bayside (C)	2006	Postgraduate	3858
Bayside (C)	2011		50545
Bayside (C)	2011	Certificate nfd	1040
Bayside (C)	2011	Certificate I and II Level	459
Bayside (C)	2011	Certificate III and IV Level	5926
Bayside (C)	2011	Advanced Diploma and Diploma	8058
Bayside (C)	2011	Bachelor	17968
Bayside (C)	2011	Graduate Diploma and Graduate Certificate	2674
Bayside (C)	2011	Postgraduate	5143
Bayside (C)	2016		49874
Bayside (C)	2016	Certificate nfd	1367
Bayside (C)	2016	Certificate I and II Level	463
Bayside (C)	2016	Certificate III and IV Level	6248
Bayside (C)	2016	Advanced Diploma and Diploma	8392
Bayside (C)	2016	Bachelor	20665
Bayside (C)	2016	Graduate Diploma and Graduate Certificate	3068
Bayside (C)	2016	Postgraduate	7010
Benalla (RC)	2006		9752
Benalla (RC)	2006	Certificate nfd	155
Benalla (RC)	2006	Certificate I and II Level	141
Benalla (RC)	2006	Certificate III and IV Level	1707
Benalla (RC)	2006	Advanced Diploma and Diploma	737
Benalla (RC)	2006	Bachelor	763
Benalla (RC)	2006	Graduate Diploma and Graduate Certificate	160
Benalla (RC)	2006	Postgraduate	109
Benalla (RC)	2011		9158
Benalla (RC)	2011	Certificate nfd	161
Benalla (RC)	2011	Certificate I and II Level	179
Benalla (RC)	2011	Certificate III and IV Level	2095
Benalla (RC)	2011	Advanced Diploma and Diploma	860
Benalla (RC)	2011	Bachelor	845
Benalla (RC)	2011	Graduate Diploma and Graduate Certificate	192
Benalla (RC)	2011	Postgraduate	158
Benalla (RC)	2016		8819
Benalla (RC)	2016	Certificate nfd	221
Benalla (RC)	2016	Certificate I and II Level	174
Benalla (RC)	2016	Certificate III and IV Level	2249
Benalla (RC)	2016	Advanced Diploma and Diploma	1053
Benalla (RC)	2016	Bachelor	939
Benalla (RC)	2016	Graduate Diploma and Graduate Certificate	224
Benalla (RC)	2016	Postgraduate	182
Boroondara (C)	2006		83637
Boroondara (C)	2006	Certificate nfd	1750
Boroondara (C)	2006	Certificate I and II Level	680
Boroondara (C)	2006	Certificate III and IV Level	7176
Boroondara (C)	2006	Advanced Diploma and Diploma	11996
Boroondara (C)	2006	Bachelor	34041
Boroondara (C)	2006	Graduate Diploma and Graduate Certificate	4842
Boroondara (C)	2006	Postgraduate	10332
Boroondara (C)	2011		80134
Boroondara (C)	2011	Certificate nfd	1558
Boroondara (C)	2011	Certificate I and II Level	697
Boroondara (C)	2011	Certificate III and IV Level	7471
Boroondara (C)	2011	Advanced Diploma and Diploma	12620
Boroondara (C)	2011	Bachelor	37973
Boroondara (C)	2011	Graduate Diploma and Graduate Certificate	5470
Boroondara (C)	2011	Postgraduate	13261
Boroondara (C)	2016		79874
Boroondara (C)	2016	Certificate nfd	1788
Boroondara (C)	2016	Certificate I and II Level	626
Boroondara (C)	2016	Certificate III and IV Level	7790
Boroondara (C)	2016	Advanced Diploma and Diploma	12170
Boroondara (C)	2016	Bachelor	41894
Boroondara (C)	2016	Graduate Diploma and Graduate Certificate	6066
Boroondara (C)	2016	Postgraduate	17023
Brimbank (C)	2006		130154
Brimbank (C)	2006	Certificate nfd	1682
Brimbank (C)	2006	Certificate I and II Level	1209
Brimbank (C)	2006	Certificate III and IV Level	15067
Brimbank (C)	2006	Advanced Diploma and Diploma	6977
Brimbank (C)	2006	Bachelor	10692
Brimbank (C)	2006	Graduate Diploma and Graduate Certificate	950
Brimbank (C)	2006	Postgraduate	1490
Brimbank (C)	2011		132383
Brimbank (C)	2011	Certificate nfd	1778
Brimbank (C)	2011	Certificate I and II Level	1433
Brimbank (C)	2011	Certificate III and IV Level	17402
Brimbank (C)	2011	Advanced Diploma and Diploma	10264
Brimbank (C)	2011	Bachelor	15181
Brimbank (C)	2011	Graduate Diploma and Graduate Certificate	1365
Brimbank (C)	2011	Postgraduate	2930
Brimbank (C)	2016		132549
Brimbank (C)	2016	Certificate nfd	2543
Brimbank (C)	2016	Certificate I and II Level	1465
Brimbank (C)	2016	Certificate III and IV Level	19776
Brimbank (C)	2016	Advanced Diploma and Diploma	12681
Brimbank (C)	2016	Bachelor	19191
Brimbank (C)	2016	Graduate Diploma and Graduate Certificate	1716
Brimbank (C)	2016	Postgraduate	4398
Buloke (S)	2006		5280
Buloke (S)	2006	Certificate nfd	59
Buloke (S)	2006	Certificate I and II Level	76
Buloke (S)	2006	Certificate III and IV Level	752
Buloke (S)	2006	Advanced Diploma and Diploma	238
Buloke (S)	2006	Bachelor	359
Buloke (S)	2006	Graduate Diploma and Graduate Certificate	66
Buloke (S)	2006	Postgraduate	20
Buloke (S)	2011		4678
Buloke (S)	2011	Certificate nfd	60
Buloke (S)	2011	Certificate I and II Level	64
Buloke (S)	2011	Certificate III and IV Level	851
Buloke (S)	2011	Advanced Diploma and Diploma	272
Buloke (S)	2011	Bachelor	353
Buloke (S)	2011	Graduate Diploma and Graduate Certificate	75
Buloke (S)	2011	Postgraduate	30
Buloke (S)	2016		4330
Buloke (S)	2016	Certificate nfd	63
Buloke (S)	2016	Certificate I and II Level	71
Buloke (S)	2016	Certificate III and IV Level	900
Buloke (S)	2016	Advanced Diploma and Diploma	324
Buloke (S)	2016	Bachelor	386
Buloke (S)	2016	Graduate Diploma and Graduate Certificate	83
Buloke (S)	2016	Postgraduate	44
Campaspe (S)	2006		27184
Campaspe (S)	2006	Certificate nfd	359
Campaspe (S)	2006	Certificate I and II Level	289
Campaspe (S)	2006	Certificate III and IV Level	4755
Campaspe (S)	2006	Advanced Diploma and Diploma	1435
Campaspe (S)	2006	Bachelor	1695
Campaspe (S)	2006	Graduate Diploma and Graduate Certificate	343
Campaspe (S)	2006	Postgraduate	149
Campaspe (S)	2011		25951
Campaspe (S)	2011	Certificate nfd	384
Campaspe (S)	2011	Certificate I and II Level	333
Campaspe (S)	2011	Certificate III and IV Level	5442
Campaspe (S)	2011	Advanced Diploma and Diploma	1721
Campaspe (S)	2011	Bachelor	1971
Campaspe (S)	2011	Graduate Diploma and Graduate Certificate	351
Campaspe (S)	2011	Postgraduate	211
Campaspe (S)	2016		24899
Campaspe (S)	2016	Certificate nfd	524
Campaspe (S)	2016	Certificate I and II Level	367
Campaspe (S)	2016	Certificate III and IV Level	6092
Campaspe (S)	2016	Advanced Diploma and Diploma	2201
Campaspe (S)	2016	Bachelor	2239
Campaspe (S)	2016	Graduate Diploma and Graduate Certificate	448
Campaspe (S)	2016	Postgraduate	291
Cardinia (S)	2006		40870
Cardinia (S)	2006	Certificate nfd	734
Cardinia (S)	2006	Certificate I and II Level	502
Cardinia (S)	2006	Certificate III and IV Level	7994
Cardinia (S)	2006	Advanced Diploma and Diploma	2852
Cardinia (S)	2006	Bachelor	3204
Cardinia (S)	2006	Graduate Diploma and Graduate Certificate	536
Cardinia (S)	2006	Postgraduate	424
Cardinia (S)	2011		49568
Cardinia (S)	2011	Certificate nfd	897
Cardinia (S)	2011	Certificate I and II Level	796
Cardinia (S)	2011	Certificate III and IV Level	11881
Cardinia (S)	2011	Advanced Diploma and Diploma	4599
Cardinia (S)	2011	Bachelor	4836
Cardinia (S)	2011	Graduate Diploma and Graduate Certificate	793
Cardinia (S)	2011	Postgraduate	805
Cardinia (S)	2016		58552
Cardinia (S)	2016	Certificate nfd	1365
Cardinia (S)	2016	Certificate I and II Level	896
Cardinia (S)	2016	Certificate III and IV Level	16083
Cardinia (S)	2016	Advanced Diploma and Diploma	7247
Cardinia (S)	2016	Bachelor	7110
Cardinia (S)	2016	Graduate Diploma and Graduate Certificate	1250
Cardinia (S)	2016	Postgraduate	1625
Casey (C)	2006		157800
Casey (C)	2006	Certificate nfd	2439
Casey (C)	2006	Certificate I and II Level	1876
Casey (C)	2006	Certificate III and IV Level	26388
Casey (C)	2006	Advanced Diploma and Diploma	11045
Casey (C)	2006	Bachelor	12186
Casey (C)	2006	Graduate Diploma and Graduate Certificate	1399
Casey (C)	2006	Postgraduate	1829
Casey (C)	2011		172478
Casey (C)	2011	Certificate nfd	2881
Casey (C)	2011	Certificate I and II Level	2497
Casey (C)	2011	Certificate III and IV Level	32997
Casey (C)	2011	Advanced Diploma and Diploma	16456
Casey (C)	2011	Bachelor	18775
Casey (C)	2011	Graduate Diploma and Graduate Certificate	2211
Casey (C)	2011	Postgraduate	4085
Casey (C)	2016		190286
Casey (C)	2016	Certificate nfd	4228
Casey (C)	2016	Certificate I and II Level	2516
Casey (C)	2016	Certificate III and IV Level	40256
Casey (C)	2016	Advanced Diploma and Diploma	23695
Casey (C)	2016	Bachelor	27078
Casey (C)	2016	Graduate Diploma and Graduate Certificate	3275
Casey (C)	2016	Postgraduate	7967
Central Goldfields (S)	2006		9489
Central Goldfields (S)	2006	Certificate nfd	90
Central Goldfields (S)	2006	Certificate I and II Level	134
Central Goldfields (S)	2006	Certificate III and IV Level	1637
Central Goldfields (S)	2006	Advanced Diploma and Diploma	414
Central Goldfields (S)	2006	Bachelor	425
Central Goldfields (S)	2006	Graduate Diploma and Graduate Certificate	96
Central Goldfields (S)	2006	Postgraduate	39
Central Goldfields (S)	2011		9074
Central Goldfields (S)	2011	Certificate nfd	128
Central Goldfields (S)	2011	Certificate I and II Level	164
Central Goldfields (S)	2011	Certificate III and IV Level	1916
Central Goldfields (S)	2011	Advanced Diploma and Diploma	510
Central Goldfields (S)	2011	Bachelor	530
Central Goldfields (S)	2011	Graduate Diploma and Graduate Certificate	112
Central Goldfields (S)	2011	Postgraduate	62
Central Goldfields (S)	2016		8986
Central Goldfields (S)	2016	Certificate nfd	201
Central Goldfields (S)	2016	Certificate I and II Level	149
Central Goldfields (S)	2016	Certificate III and IV Level	2190
Central Goldfields (S)	2016	Advanced Diploma and Diploma	650
Central Goldfields (S)	2016	Bachelor	604
Central Goldfields (S)	2016	Graduate Diploma and Graduate Certificate	112
Central Goldfields (S)	2016	Postgraduate	103
Colac-Otway (S)	2006		15023
Colac-Otway (S)	2006	Certificate nfd	187
Colac-Otway (S)	2006	Certificate I and II Level	212
Colac-Otway (S)	2006	Certificate III and IV Level	2562
Colac-Otway (S)	2006	Advanced Diploma and Diploma	939
Colac-Otway (S)	2006	Bachelor	1078
Colac-Otway (S)	2006	Graduate Diploma and Graduate Certificate	198
Colac-Otway (S)	2006	Postgraduate	97
Colac-Otway (S)	2011		14147
Colac-Otway (S)	2011	Certificate nfd	200
Colac-Otway (S)	2011	Certificate I and II Level	191
Colac-Otway (S)	2011	Certificate III and IV Level	3070
Colac-Otway (S)	2011	Advanced Diploma and Diploma	1113
Colac-Otway (S)	2011	Bachelor	1226
Colac-Otway (S)	2011	Graduate Diploma and Graduate Certificate	223
Colac-Otway (S)	2011	Postgraduate	177
Colac-Otway (S)	2016		13684
Colac-Otway (S)	2016	Certificate nfd	322
Colac-Otway (S)	2016	Certificate I and II Level	198
Colac-Otway (S)	2016	Certificate III and IV Level	3359
Colac-Otway (S)	2016	Advanced Diploma and Diploma	1408
Colac-Otway (S)	2016	Bachelor	1468
Colac-Otway (S)	2016	Graduate Diploma and Graduate Certificate	254
Colac-Otway (S)	2016	Postgraduate	279
Corangamite (S)	2006		12731
Corangamite (S)	2006	Certificate nfd	124
Corangamite (S)	2006	Certificate I and II Level	158
Corangamite (S)	2006	Certificate III and IV Level	1961
Corangamite (S)	2006	Advanced Diploma and Diploma	637
Corangamite (S)	2006	Bachelor	782
Corangamite (S)	2006	Graduate Diploma and Graduate Certificate	155
Corangamite (S)	2006	Postgraduate	71
Corangamite (S)	2011		11825
Corangamite (S)	2011	Certificate nfd	167
Corangamite (S)	2011	Certificate I and II Level	143
Corangamite (S)	2011	Certificate III and IV Level	2283
Corangamite (S)	2011	Advanced Diploma and Diploma	793
Corangamite (S)	2011	Bachelor	902
Corangamite (S)	2011	Graduate Diploma and Graduate Certificate	153
Corangamite (S)	2011	Postgraduate	111
Corangamite (S)	2016		11063
Corangamite (S)	2016	Certificate nfd	212
Corangamite (S)	2016	Certificate I and II Level	154
Corangamite (S)	2016	Certificate III and IV Level	2330
Corangamite (S)	2016	Advanced Diploma and Diploma	923
Corangamite (S)	2016	Bachelor	1041
Corangamite (S)	2016	Graduate Diploma and Graduate Certificate	194
Corangamite (S)	2016	Postgraduate	134
Darebin (C)	2006		86485
Darebin (C)	2006	Certificate nfd	1260
Darebin (C)	2006	Certificate I and II Level	745
Darebin (C)	2006	Certificate III and IV Level	9923
Darebin (C)	2006	Advanced Diploma and Diploma	6704
Darebin (C)	2006	Bachelor	15998
Darebin (C)	2006	Graduate Diploma and Graduate Certificate	2820
Darebin (C)	2006	Postgraduate	4128
Darebin (C)	2011		82918
Darebin (C)	2011	Certificate nfd	1240
Darebin (C)	2011	Certificate I and II Level	814
Darebin (C)	2011	Certificate III and IV Level	11106
Darebin (C)	2011	Advanced Diploma and Diploma	8861
Darebin (C)	2011	Bachelor	20896
Darebin (C)	2011	Graduate Diploma and Graduate Certificate	3657
Darebin (C)	2011	Postgraduate	6982
Darebin (C)	2016		81701
Darebin (C)	2016	Certificate nfd	1516
Darebin (C)	2016	Certificate I and II Level	846
Darebin (C)	2016	Certificate III and IV Level	11979
Darebin (C)	2016	Advanced Diploma and Diploma	10395
Darebin (C)	2016	Bachelor	25789
Darebin (C)	2016	Graduate Diploma and Graduate Certificate	4342
Darebin (C)	2016	Postgraduate	10151
East Gippsland (S)	2006		29003
East Gippsland (S)	2006	Certificate nfd	400
East Gippsland (S)	2006	Certificate I and II Level	405
East Gippsland (S)	2006	Certificate III and IV Level	5356
East Gippsland (S)	2006	Advanced Diploma and Diploma	2100
East Gippsland (S)	2006	Bachelor	2088
