LGA_NAME16	Year	Age	Sex	persons
Greater Bendigo (C)	2011	0-4	F	3213
Greater Bendigo (C)	2011	0-4	M	3522
Greater Bendigo (C)	2011	5-14	F	6321
Greater Bendigo (C)	2011	5-14	M	6642
Greater Bendigo (C)	2011	15-19	F	3657
Greater Bendigo (C)	2011	15-19	M	3568
Greater Bendigo (C)	2011	20-24	F	3599
Greater Bendigo (C)	2011	20-24	M	3404
Greater Bendigo (C)	2011	25-34	F	6098
Greater Bendigo (C)	2011	25-34	M	5704
Greater Bendigo (C)	2011	35-44	F	6593
Greater Bendigo (C)	2011	35-44	M	6112
Greater Bendigo (C)	2011	45-54	F	7193
Greater Bendigo (C)	2011	45-54	M	6503
Greater Bendigo (C)	2011	55-64	F	6375
Greater Bendigo (C)	2011	55-64	M	6158
Greater Bendigo (C)	2011	65-74	F	4296
Greater Bendigo (C)	2011	65-74	M	4005
Greater Bendigo (C)	2011	75-84	F	2991
Greater Bendigo (C)	2011	75-84	M	2377
Greater Bendigo (C)	2011	85+	F	1500
Greater Bendigo (C)	2011	85+	M	768
Greater Bendigo (C)	2016	0-4	F	3483
Greater Bendigo (C)	2016	0-4	M	3597
Greater Bendigo (C)	2016	5-14	F	6779
Greater Bendigo (C)	2016	5-14	M	7342
Greater Bendigo (C)	2016	15-19	F	3504
Greater Bendigo (C)	2016	15-19	M	3563
Greater Bendigo (C)	2016	20-24	F	3884
Greater Bendigo (C)	2016	20-24	M	3699
Greater Bendigo (C)	2016	25-34	F	7129
Greater Bendigo (C)	2016	25-34	M	6612
Greater Bendigo (C)	2016	35-44	F	6863
Greater Bendigo (C)	2016	35-44	M	6243
Greater Bendigo (C)	2016	45-54	F	7304
Greater Bendigo (C)	2016	45-54	M	6780
Greater Bendigo (C)	2016	55-64	F	7304
Greater Bendigo (C)	2016	55-64	M	6734
Greater Bendigo (C)	2016	65-74	F	5595
Greater Bendigo (C)	2016	65-74	M	5270
Greater Bendigo (C)	2016	75-84	F	3295
Greater Bendigo (C)	2016	75-84	M	2768
Greater Bendigo (C)	2016	85+	F	1755
Greater Bendigo (C)	2016	85+	M	988
Greater Dandenong (C)	2006	0-4	F	3768
Greater Dandenong (C)	2006	0-4	M	4063
Greater Dandenong (C)	2006	5-14	F	7601
Greater Dandenong (C)	2006	5-14	M	8368
Greater Dandenong (C)	2006	15-19	F	3948
Greater Dandenong (C)	2006	15-19	M	4392
Greater Dandenong (C)	2006	20-24	F	4658
Greater Dandenong (C)	2006	20-24	M	4800
Greater Dandenong (C)	2006	25-34	F	9022
Greater Dandenong (C)	2006	25-34	M	9180
Greater Dandenong (C)	2006	35-44	F	8608
Greater Dandenong (C)	2006	35-44	M	8862
Greater Dandenong (C)	2006	45-54	F	8482
Greater Dandenong (C)	2006	45-54	M	8434
Greater Dandenong (C)	2006	55-64	F	7026
Greater Dandenong (C)	2006	55-64	M	6944
Greater Dandenong (C)	2006	65-74	F	4710
Greater Dandenong (C)	2006	65-74	M	4416
Greater Dandenong (C)	2006	75-84	F	3657
Greater Dandenong (C)	2006	75-84	M	2686
Greater Dandenong (C)	2006	85+	F	1231
Greater Dandenong (C)	2006	85+	M	668
Greater Dandenong (C)	2011	0-4	F	4357
Greater Dandenong (C)	2011	0-4	M	4561
Greater Dandenong (C)	2011	5-14	F	7563
Greater Dandenong (C)	2011	5-14	M	8144
Greater Dandenong (C)	2011	15-19	F	4089
Greater Dandenong (C)	2011	15-19	M	4587
Greater Dandenong (C)	2011	20-24	F	4765
Greater Dandenong (C)	2011	20-24	M	5563
Greater Dandenong (C)	2011	25-34	F	11093
Greater Dandenong (C)	2011	25-34	M	12140
Greater Dandenong (C)	2011	35-44	F	9044
Greater Dandenong (C)	2011	35-44	M	9287
Greater Dandenong (C)	2011	45-54	F	8240
Greater Dandenong (C)	2011	45-54	M	8415
Greater Dandenong (C)	2011	55-64	F	7628
Greater Dandenong (C)	2011	55-64	M	7210
Greater Dandenong (C)	2011	65-74	F	5055
Greater Dandenong (C)	2011	65-74	M	4878
Greater Dandenong (C)	2011	75-84	F	3664
Greater Dandenong (C)	2011	75-84	M	2889
Greater Dandenong (C)	2011	85+	F	1591
Greater Dandenong (C)	2011	85+	M	851
Greater Dandenong (C)	2016	0-4	F	5112
Greater Dandenong (C)	2016	0-4	M	5379
Greater Dandenong (C)	2016	5-14	F	8221
Greater Dandenong (C)	2016	5-14	M	8735
Greater Dandenong (C)	2016	15-19	F	4274
Greater Dandenong (C)	2016	15-19	M	4746
Greater Dandenong (C)	2016	20-24	F	5381
Greater Dandenong (C)	2016	20-24	M	6707
Greater Dandenong (C)	2016	25-34	F	12913
Greater Dandenong (C)	2016	25-34	M	14246
Greater Dandenong (C)	2016	35-44	F	9934
Greater Dandenong (C)	2016	35-44	M	10787
Greater Dandenong (C)	2016	45-54	F	8717
Greater Dandenong (C)	2016	45-54	M	9147
Greater Dandenong (C)	2016	55-64	F	8041
Greater Dandenong (C)	2016	55-64	M	7796
Greater Dandenong (C)	2016	65-74	F	6196
Greater Dandenong (C)	2016	65-74	M	5712
Greater Dandenong (C)	2016	75-84	F	3807
Greater Dandenong (C)	2016	75-84	M	3189
Greater Dandenong (C)	2016	85+	F	1907
Greater Dandenong (C)	2016	85+	M	1106
Greater Geelong (C)	2006	0-4	F	5737
Greater Geelong (C)	2006	0-4	M	6190
Greater Geelong (C)	2006	5-14	F	12613
Greater Geelong (C)	2006	5-14	M	13623
Greater Geelong (C)	2006	15-19	F	6717
Greater Geelong (C)	2006	15-19	M	7061
Greater Geelong (C)	2006	20-24	F	6220
Greater Geelong (C)	2006	20-24	M	6372
Greater Geelong (C)	2006	25-34	F	12136
Greater Geelong (C)	2006	25-34	M	11807
Greater Geelong (C)	2006	35-44	F	14188
Greater Geelong (C)	2006	35-44	M	13189
Greater Geelong (C)	2006	45-54	F	14079
Greater Geelong (C)	2006	45-54	M	13127
Greater Geelong (C)	2006	55-64	F	11479
Greater Geelong (C)	2006	55-64	M	10758
Greater Geelong (C)	2006	65-74	F	8433
Greater Geelong (C)	2006	65-74	M	7433
Greater Geelong (C)	2006	75-84	F	7034
Greater Geelong (C)	2006	75-84	M	5200
Greater Geelong (C)	2006	85+	F	2691
Greater Geelong (C)	2006	85+	M	1376
Greater Geelong (C)	2011	0-4	F	6361
Greater Geelong (C)	2011	0-4	M	6722
Greater Geelong (C)	2011	5-14	F	12520
Greater Geelong (C)	2011	5-14	M	13352
Greater Geelong (C)	2011	15-19	F	6872
Greater Geelong (C)	2011	15-19	M	7285
Greater Geelong (C)	2011	20-24	F	6722
Greater Geelong (C)	2011	20-24	M	6872
Greater Geelong (C)	2011	25-34	F	12966
Greater Geelong (C)	2011	25-34	M	12472
Greater Geelong (C)	2011	35-44	F	14691
Greater Geelong (C)	2011	35-44	M	13782
Greater Geelong (C)	2011	45-54	F	14956
Greater Geelong (C)	2011	45-54	M	13798
Greater Geelong (C)	2011	55-64	F	13462
Greater Geelong (C)	2011	55-64	M	12504
Greater Geelong (C)	2011	65-74	F	9489
Greater Geelong (C)	2011	65-74	M	8530
Greater Geelong (C)	2011	75-84	F	6893
Greater Geelong (C)	2011	75-84	M	5378
Greater Geelong (C)	2011	85+	F	3474
Greater Geelong (C)	2011	85+	M	1777
Greater Geelong (C)	2016	0-4	F	6914
Greater Geelong (C)	2016	0-4	M	7427
Greater Geelong (C)	2016	5-14	F	13631
Greater Geelong (C)	2016	5-14	M	14283
Greater Geelong (C)	2016	15-19	F	7109
Greater Geelong (C)	2016	15-19	M	7336
Greater Geelong (C)	2016	20-24	F	7628
Greater Geelong (C)	2016	20-24	M	7975
Greater Geelong (C)	2016	25-34	F	15069
Greater Geelong (C)	2016	25-34	M	14575
Greater Geelong (C)	2016	35-44	F	15016
Greater Geelong (C)	2016	35-44	M	14238
Greater Geelong (C)	2016	45-54	F	15653
Greater Geelong (C)	2016	45-54	M	14323
Greater Geelong (C)	2016	55-64	F	15207
Greater Geelong (C)	2016	55-64	M	13682
Greater Geelong (C)	2016	65-74	F	12493
Greater Geelong (C)	2016	65-74	M	11092
Greater Geelong (C)	2016	75-84	F	7390
Greater Geelong (C)	2016	75-84	M	5929
Greater Geelong (C)	2016	85+	F	4112
Greater Geelong (C)	2016	85+	M	2351
Greater Shepparton (C)	2006	0-4	F	1827
Greater Shepparton (C)	2006	0-4	M	1945
Greater Shepparton (C)	2006	5-14	F	4339
Greater Shepparton (C)	2006	5-14	M	4561
Greater Shepparton (C)	2006	15-19	F	2046
Greater Shepparton (C)	2006	15-19	M	2062
Greater Shepparton (C)	2006	20-24	F	1600
Greater Shepparton (C)	2006	20-24	M	1665
Greater Shepparton (C)	2006	25-34	F	3560
Greater Shepparton (C)	2006	25-34	M	3324
Greater Shepparton (C)	2006	35-44	F	4204
Greater Shepparton (C)	2006	35-44	M	4009
Greater Shepparton (C)	2006	45-54	F	3977
Greater Shepparton (C)	2006	45-54	M	3937
Greater Shepparton (C)	2006	55-64	F	3041
Greater Shepparton (C)	2006	55-64	M	3134
Greater Shepparton (C)	2006	65-74	F	2054
Greater Shepparton (C)	2006	65-74	M	2027
Greater Shepparton (C)	2006	75-84	F	1610
Greater Shepparton (C)	2006	75-84	M	1223
Greater Shepparton (C)	2006	85+	F	643
Greater Shepparton (C)	2006	85+	M	305
Greater Shepparton (C)	2011	0-4	F	2068
Greater Shepparton (C)	2011	0-4	M	2239
Greater Shepparton (C)	2011	5-14	F	4218
Greater Shepparton (C)	2011	5-14	M	4425
Greater Shepparton (C)	2011	15-19	F	2122
Greater Shepparton (C)	2011	15-19	M	2239
Greater Shepparton (C)	2011	20-24	F	1764
Greater Shepparton (C)	2011	20-24	M	1724
Greater Shepparton (C)	2011	25-34	F	3646
Greater Shepparton (C)	2011	25-34	M	3415
Greater Shepparton (C)	2011	35-44	F	4133
Greater Shepparton (C)	2011	35-44	M	4064
Greater Shepparton (C)	2011	45-54	F	4181
Greater Shepparton (C)	2011	45-54	M	4082
Greater Shepparton (C)	2011	55-64	F	3626
Greater Shepparton (C)	2011	55-64	M	3528
Greater Shepparton (C)	2011	65-74	F	2327
Greater Shepparton (C)	2011	65-74	M	2385
Greater Shepparton (C)	2011	75-84	F	1641
Greater Shepparton (C)	2011	75-84	M	1365
Greater Shepparton (C)	2011	85+	F	840
Greater Shepparton (C)	2011	85+	M	423
Greater Shepparton (C)	2016	0-4	F	2058
Greater Shepparton (C)	2016	0-4	M	2162
Greater Shepparton (C)	2016	5-14	F	4046
Greater Shepparton (C)	2016	5-14	M	4439
Greater Shepparton (C)	2016	15-19	F	2089
Greater Shepparton (C)	2016	15-19	M	2237
Greater Shepparton (C)	2016	20-24	F	1751
Greater Shepparton (C)	2016	20-24	M	1823
Greater Shepparton (C)	2016	25-34	F	3961
Greater Shepparton (C)	2016	25-34	M	3888
Greater Shepparton (C)	2016	35-44	F	3970
Greater Shepparton (C)	2016	35-44	M	3808
Greater Shepparton (C)	2016	45-54	F	4333
Greater Shepparton (C)	2016	45-54	M	4216
Greater Shepparton (C)	2016	55-64	F	4027
Greater Shepparton (C)	2016	55-64	M	3881
Greater Shepparton (C)	2016	65-74	F	3094
Greater Shepparton (C)	2016	65-74	M	3074
Greater Shepparton (C)	2016	75-84	F	1859
Greater Shepparton (C)	2016	75-84	M	1633
Greater Shepparton (C)	2016	85+	F	941
Greater Shepparton (C)	2016	85+	M	543
Hepburn (S)	2006	0-4	F	374
Hepburn (S)	2006	0-4	M	377
Hepburn (S)	2006	5-14	F	869
Hepburn (S)	2006	5-14	M	925
Hepburn (S)	2006	15-19	F	416
Hepburn (S)	2006	15-19	M	440
Hepburn (S)	2006	20-24	F	224
Hepburn (S)	2006	20-24	M	234
Hepburn (S)	2006	25-34	F	632
Hepburn (S)	2006	25-34	M	577
Hepburn (S)	2006	35-44	F	1075
Hepburn (S)	2006	35-44	M	925
Hepburn (S)	2006	45-54	F	1181
Hepburn (S)	2006	45-54	M	1099
Hepburn (S)	2006	55-64	F	977
Hepburn (S)	2006	55-64	M	986
Hepburn (S)	2006	65-74	F	626
Hepburn (S)	2006	65-74	M	648
Hepburn (S)	2006	75-84	F	463
Hepburn (S)	2006	75-84	M	361
Hepburn (S)	2006	85+	F	214
Hepburn (S)	2006	85+	M	95
Hepburn (S)	2011	0-4	F	407
Hepburn (S)	2011	0-4	M	404
Hepburn (S)	2011	5-14	F	819
Hepburn (S)	2011	5-14	M	836
Hepburn (S)	2011	15-19	F	386
Hepburn (S)	2011	15-19	M	412
Hepburn (S)	2011	20-24	F	221
Hepburn (S)	2011	20-24	M	263
Hepburn (S)	2011	25-34	F	597
Hepburn (S)	2011	25-34	M	540
Hepburn (S)	2011	35-44	F	1020
Hepburn (S)	2011	35-44	M	893
Hepburn (S)	2011	45-54	F	1188
Hepburn (S)	2011	45-54	M	1062
Hepburn (S)	2011	55-64	F	1310
Hepburn (S)	2011	55-64	M	1233
Hepburn (S)	2011	65-74	F	780
Hepburn (S)	2011	65-74	M	828
Hepburn (S)	2011	75-84	F	455
Hepburn (S)	2011	75-84	M	384
Hepburn (S)	2011	85+	F	224
Hepburn (S)	2011	85+	M	97
Hepburn (S)	2016	0-4	F	344
Hepburn (S)	2016	0-4	M	343
Hepburn (S)	2016	5-14	F	870
Hepburn (S)	2016	5-14	M	824
Hepburn (S)	2016	15-19	F	320
Hepburn (S)	2016	15-19	M	354
Hepburn (S)	2016	20-24	F	269
Hepburn (S)	2016	20-24	M	277
Hepburn (S)	2016	25-34	F	587
Hepburn (S)	2016	25-34	M	545
Hepburn (S)	2016	35-44	F	916
Hepburn (S)	2016	35-44	M	808
Hepburn (S)	2016	45-54	F	1195
Hepburn (S)	2016	45-54	M	1099
Hepburn (S)	2016	55-64	F	1458
Hepburn (S)	2016	55-64	M	1342
Hepburn (S)	2016	65-74	F	1130
Hepburn (S)	2016	65-74	M	1134
Hepburn (S)	2016	75-84	F	527
Hepburn (S)	2016	75-84	M	501
Hepburn (S)	2016	85+	F	313
Hepburn (S)	2016	85+	M	151
Hindmarsh (S)	2006	0-4	F	161
Hindmarsh (S)	2006	0-4	M	168
Hindmarsh (S)	2006	5-14	F	416
Hindmarsh (S)	2006	5-14	M	416
Hindmarsh (S)	2006	15-19	F	156
Hindmarsh (S)	2006	15-19	M	184
Hindmarsh (S)	2006	20-24	F	95
Hindmarsh (S)	2006	20-24	M	106
Hindmarsh (S)	2006	25-34	F	284
Hindmarsh (S)	2006	25-34	M	249
Hindmarsh (S)	2006	35-44	F	377
Hindmarsh (S)	2006	35-44	M	364
Hindmarsh (S)	2006	45-54	F	410
Hindmarsh (S)	2006	45-54	M	439
Hindmarsh (S)	2006	55-64	F	383
Hindmarsh (S)	2006	55-64	M	406
Hindmarsh (S)	2006	65-74	F	305
Hindmarsh (S)	2006	65-74	M	344
Hindmarsh (S)	2006	75-84	F	300
Hindmarsh (S)	2006	75-84	M	226
Hindmarsh (S)	2006	85+	F	187
Hindmarsh (S)	2006	85+	M	72
Hindmarsh (S)	2011	0-4	F	150
Hindmarsh (S)	2011	0-4	M	147
Hindmarsh (S)	2011	5-14	F	360
Hindmarsh (S)	2011	5-14	M	377
Hindmarsh (S)	2011	15-19	F	166
Hindmarsh (S)	2011	15-19	M	197
Hindmarsh (S)	2011	20-24	F	90
Hindmarsh (S)	2011	20-24	M	124
Hindmarsh (S)	2011	25-34	F	226
Hindmarsh (S)	2011	25-34	M	234
Hindmarsh (S)	2011	35-44	F	345
Hindmarsh (S)	2011	35-44	M	283
Hindmarsh (S)	2011	45-54	F	427
Hindmarsh (S)	2011	45-54	M	432
Hindmarsh (S)	2011	55-64	F	377
Hindmarsh (S)	2011	55-64	M	440
Hindmarsh (S)	2011	65-74	F	331
Hindmarsh (S)	2011	65-74	M	325
Hindmarsh (S)	2011	75-84	F	253
Hindmarsh (S)	2011	75-84	M	244
Hindmarsh (S)	2011	85+	F	186
Hindmarsh (S)	2011	85+	M	89
Hindmarsh (S)	2016	0-4	F	120
Hindmarsh (S)	2016	0-4	M	139
Hindmarsh (S)	2016	5-14	F	296
Hindmarsh (S)	2016	5-14	M	310
Hindmarsh (S)	2016	15-19	F	159
Hindmarsh (S)	2016	15-19	M	164
Hindmarsh (S)	2016	20-24	F	112
Hindmarsh (S)	2016	20-24	M	130
Hindmarsh (S)	2016	25-34	F	239
Hindmarsh (S)	2016	25-34	M	246
Hindmarsh (S)	2016	35-44	F	256
Hindmarsh (S)	2016	35-44	M	274
Hindmarsh (S)	2016	45-54	F	413
Hindmarsh (S)	2016	45-54	M	372
Hindmarsh (S)	2016	55-64	F	469
Hindmarsh (S)	2016	55-64	M	488
Hindmarsh (S)	2016	65-74	F	363
Hindmarsh (S)	2016	65-74	M	399
Hindmarsh (S)	2016	75-84	F	248
Hindmarsh (S)	2016	75-84	M	226
Hindmarsh (S)	2016	85+	F	190
Hindmarsh (S)	2016	85+	M	103
Hobsons Bay (C)	2006	0-4	F	2595
Hobsons Bay (C)	2006	0-4	M	2761
Hobsons Bay (C)	2006	5-14	F	5043
Hobsons Bay (C)	2006	5-14	M	5407
Hobsons Bay (C)	2006	15-19	F	2408
Hobsons Bay (C)	2006	15-19	M	2573
Hobsons Bay (C)	2006	20-24	F	2454
Hobsons Bay (C)	2006	20-24	M	2481
Hobsons Bay (C)	2006	25-34	F	5842
Hobsons Bay (C)	2006	25-34	M	5498
Hobsons Bay (C)	2006	35-44	F	6979
Hobsons Bay (C)	2006	35-44	M	6663
Hobsons Bay (C)	2006	45-54	F	5740
Hobsons Bay (C)	2006	45-54	M	5702
Hobsons Bay (C)	2006	55-64	F	4051
Hobsons Bay (C)	2006	55-64	M	4077
Hobsons Bay (C)	2006	65-74	F	3072
Hobsons Bay (C)	2006	65-74	M	2727
Hobsons Bay (C)	2006	75-84	F	2362
Hobsons Bay (C)	2006	75-84	M	1802
Hobsons Bay (C)	2006	85+	F	821
Hobsons Bay (C)	2006	85+	M	390
Hobsons Bay (C)	2011	0-4	F	2860
Hobsons Bay (C)	2011	0-4	M	2890
Hobsons Bay (C)	2011	5-14	F	4556
Hobsons Bay (C)	2011	5-14	M	4902
Hobsons Bay (C)	2011	15-19	F	2346
Hobsons Bay (C)	2011	15-19	M	2534
Hobsons Bay (C)	2011	20-24	F	2469
Hobsons Bay (C)	2011	20-24	M	2789
Hobsons Bay (C)	2011	25-34	F	5997
Hobsons Bay (C)	2011	25-34	M	6186
Hobsons Bay (C)	2011	35-44	F	6801
Hobsons Bay (C)	2011	35-44	M	6584
Hobsons Bay (C)	2011	45-54	F	6127
Hobsons Bay (C)	2011	45-54	M	6054
Hobsons Bay (C)	2011	55-64	F	4609
Hobsons Bay (C)	2011	55-64	M	4462
Hobsons Bay (C)	2011	65-74	F	3061
Hobsons Bay (C)	2011	65-74	M	2790
Hobsons Bay (C)	2011	75-84	F	2395
Hobsons Bay (C)	2011	75-84	M	1825
Hobsons Bay (C)	2011	85+	F	1016
Hobsons Bay (C)	2011	85+	M	596
Hobsons Bay (C)	2016	0-4	F	2923
Hobsons Bay (C)	2016	0-4	M	3137
Hobsons Bay (C)	2016	5-14	F	5091
Hobsons Bay (C)	2016	5-14	M	5200
Hobsons Bay (C)	2016	15-19	F	2237
Hobsons Bay (C)	2016	15-19	M	2425
Hobsons Bay (C)	2016	20-24	F	2439
Hobsons Bay (C)	2016	20-24	M	2732
Hobsons Bay (C)	2016	25-34	F	6583
Hobsons Bay (C)	2016	25-34	M	6509
Hobsons Bay (C)	2016	35-44	F	6828
Hobsons Bay (C)	2016	35-44	M	6604
Hobsons Bay (C)	2016	45-54	F	6512
Hobsons Bay (C)	2016	45-54	M	6127
Hobsons Bay (C)	2016	55-64	F	5284
Hobsons Bay (C)	2016	55-64	M	5022
Hobsons Bay (C)	2016	65-74	F	3599
Hobsons Bay (C)	2016	65-74	M	3248
Hobsons Bay (C)	2016	75-84	F	2432
Hobsons Bay (C)	2016	75-84	M	1893
Hobsons Bay (C)	2016	85+	F	1216
Hobsons Bay (C)	2016	85+	M	733
Horsham (RC)	2006	0-4	F	549
Horsham (RC)	2006	0-4	M	571
Horsham (RC)	2006	5-14	F	1325
Horsham (RC)	2006	5-14	M	1338
Horsham (RC)	2006	15-19	F	582
Horsham (RC)	2006	15-19	M	651
Horsham (RC)	2006	20-24	F	471
Horsham (RC)	2006	20-24	M	540
Horsham (RC)	2006	25-34	F	1096
Horsham (RC)	2006	25-34	M	957
Horsham (RC)	2006	35-44	F	1269
Horsham (RC)	2006	35-44	M	1210
Horsham (RC)	2006	45-54	F	1357
Horsham (RC)	2006	45-54	M	1326
Horsham (RC)	2006	55-64	F	1065
Horsham (RC)	2006	55-64	M	1036
Horsham (RC)	2006	65-74	F	824
Horsham (RC)	2006	65-74	M	768
Horsham (RC)	2006	75-84	F	707
Horsham (RC)	2006	75-84	M	490
Horsham (RC)	2006	85+	F	243
Horsham (RC)	2006	85+	M	116
Horsham (RC)	2011	0-4	F	617
Horsham (RC)	2011	0-4	M	648
Horsham (RC)	2011	5-14	F	1228
Horsham (RC)	2011	5-14	M	1270
Horsham (RC)	2011	15-19	F	671
Horsham (RC)	2011	15-19	M	681
Horsham (RC)	2011	20-24	F	540
Horsham (RC)	2011	20-24	M	552
Horsham (RC)	2011	25-34	F	1056
Horsham (RC)	2011	25-34	M	1037
Horsham (RC)	2011	35-44	F	1244
Horsham (RC)	2011	35-44	M	1163
Horsham (RC)	2011	45-54	F	1371
Horsham (RC)	2011	45-54	M	1350
Horsham (RC)	2011	55-64	F	1212
Horsham (RC)	2011	55-64	M	1190
Horsham (RC)	2011	65-74	F	889
Horsham (RC)	2011	65-74	M	803
Horsham (RC)	2011	75-84	F	709
Horsham (RC)	2011	75-84	M	550
Horsham (RC)	2011	85+	F	339
Horsham (RC)	2011	85+	M	162
Horsham (RC)	2016	0-4	F	554
Horsham (RC)	2016	0-4	M	663
Horsham (RC)	2016	5-14	F	1204
Horsham (RC)	2016	5-14	M	1305
Horsham (RC)	2016	15-19	F	573
Horsham (RC)	2016	15-19	M	606
Horsham (RC)	2016	20-24	F	563
Horsham (RC)	2016	20-24	M	541
Horsham (RC)	2016	25-34	F	1169
Horsham (RC)	2016	25-34	M	1122
Horsham (RC)	2016	35-44	F	1170
Horsham (RC)	2016	35-44	M	1021
Horsham (RC)	2016	45-54	F	1268
Horsham (RC)	2016	45-54	M	1242
Horsham (RC)	2016	55-64	F	1376
Horsham (RC)	2016	55-64	M	1299
Horsham (RC)	2016	65-74	F	1059
Horsham (RC)	2016	65-74	M	967
Horsham (RC)	2016	75-84	F	727
Horsham (RC)	2016	75-84	M	588
Horsham (RC)	2016	85+	F	402
Horsham (RC)	2016	85+	M	215
Hume (C)	2006	0-4	F	5362
Hume (C)	2006	0-4	M	5776
Hume (C)	2006	5-14	F	12201
Hume (C)	2006	5-14	M	12609
Hume (C)	2006	15-19	F	5993
Hume (C)	2006	15-19	M	6102
Hume (C)	2006	20-24	F	5230
Hume (C)	2006	20-24	M	5138
Hume (C)	2006	25-34	F	10491
Hume (C)	2006	25-34	M	9940
Hume (C)	2006	35-44	F	12466
Hume (C)	2006	35-44	M	11727
Hume (C)	2006	45-54	F	9795
Hume (C)	2006	45-54	M	9610
Hume (C)	2006	55-64	F	6704
Hume (C)	2006	55-64	M	6664
Hume (C)	2006	65-74	F	3730
Hume (C)	2006	65-74	M	3662
Hume (C)	2006	75-84	F	2096
Hume (C)	2006	75-84	M	1602
Hume (C)	2006	85+	F	572
Hume (C)	2006	85+	M	310
Hume (C)	2011	0-4	F	6082
Hume (C)	2011	0-4	M	6507
Hume (C)	2011	5-14	F	12590
Hume (C)	2011	5-14	M	12907
Hume (C)	2011	15-19	F	6441
Hume (C)	2011	15-19	M	6683
Hume (C)	2011	20-24	F	6266
Hume (C)	2011	20-24	M	6350
Hume (C)	2011	25-34	F	12304
Hume (C)	2011	25-34	M	12025
Hume (C)	2011	35-44	F	12778
Hume (C)	2011	35-44	M	11960
Hume (C)	2011	45-54	F	11637
Hume (C)	2011	45-54	M	11392
Hume (C)	2011	55-64	F	8409
Hume (C)	2011	55-64	M	7970
Hume (C)	2011	65-74	F	4704
Hume (C)	2011	65-74	M	4663
Hume (C)	2011	75-84	F	2578
Hume (C)	2011	75-84	M	2159
Hume (C)	2011	85+	F	750
Hume (C)	2011	85+	M	410
Hume (C)	2016	0-4	F	7475
Hume (C)	2016	0-4	M	8067
Hume (C)	2016	5-14	F	13824
Hume (C)	2016	5-14	M	14541
Hume (C)	2016	15-19	F	6978
Hume (C)	2016	15-19	M	7069
Hume (C)	2016	20-24	F	7023
Hume (C)	2016	20-24	M	7512
Hume (C)	2016	25-34	F	15653
Hume (C)	2016	25-34	M	15428
Hume (C)	2016	35-44	F	13755
Hume (C)	2016	35-44	M	13566
Hume (C)	2016	45-54	F	13470
Hume (C)	2016	45-54	M	12872
Hume (C)	2016	55-64	F	10042
Hume (C)	2016	55-64	M	9702
Hume (C)	2016	65-74	F	6528
Hume (C)	2016	65-74	M	6046
Hume (C)	2016	75-84	F	3178
Hume (C)	2016	75-84	M	2746
Hume (C)	2016	85+	F	1168
Hume (C)	2016	85+	M	727
Indigo (S)	2006	0-4	F	415
Indigo (S)	2006	0-4	M	421
Indigo (S)	2006	5-14	F	1145
Indigo (S)	2006	5-14	M	1127
Indigo (S)	2006	15-19	F	494
Indigo (S)	2006	15-19	M	523
Indigo (S)	2006	20-24	F	228
Indigo (S)	2006	20-24	M	277
Indigo (S)	2006	25-34	F	624
Indigo (S)	2006	25-34	M	628
Indigo (S)	2006	35-44	F	1155
Indigo (S)	2006	35-44	M	1068
Indigo (S)	2006	45-54	F	1258
Indigo (S)	2006	45-54	M	1233
Indigo (S)	2006	55-64	F	1006
Indigo (S)	2006	55-64	M	1037
Indigo (S)	2006	65-74	F	566
Indigo (S)	2006	65-74	M	591
Indigo (S)	2006	75-84	F	412
Indigo (S)	2006	75-84	M	334
Indigo (S)	2006	85+	F	196
Indigo (S)	2006	85+	M	60
Indigo (S)	2011	0-4	F	397
Indigo (S)	2011	0-4	M	431
Indigo (S)	2011	5-14	F	1045
Indigo (S)	2011	5-14	M	1001
Indigo (S)	2011	15-19	F	499
Indigo (S)	2011	15-19	M	585
Indigo (S)	2011	20-24	F	225
Indigo (S)	2011	20-24	M	275
Indigo (S)	2011	25-34	F	595
Indigo (S)	2011	25-34	M	544
Indigo (S)	2011	35-44	F	1063
Indigo (S)	2011	35-44	M	960
Indigo (S)	2011	45-54	F	1276
Indigo (S)	2011	45-54	M	1221
Indigo (S)	2011	55-64	F	1217
Indigo (S)	2011	55-64	M	1232
Indigo (S)	2011	65-74	F	710
Indigo (S)	2011	65-74	M	816
Indigo (S)	2011	75-84	F	395
Indigo (S)	2011	75-84	M	360
Indigo (S)	2011	85+	F	226
Indigo (S)	2011	85+	M	99
Indigo (S)	2016	0-4	F	389
Indigo (S)	2016	0-4	M	394
Indigo (S)	2016	5-14	F	1034
Indigo (S)	2016	5-14	M	1038
Indigo (S)	2016	15-19	F	487
Indigo (S)	2016	15-19	M	451
Indigo (S)	2016	20-24	F	268
Indigo (S)	2016	20-24	M	325
Indigo (S)	2016	25-34	F	626
Indigo (S)	2016	25-34	M	626
Indigo (S)	2016	35-44	F	1018
Indigo (S)	2016	35-44	M	914
Indigo (S)	2016	45-54	F	1274
Indigo (S)	2016	45-54	M	1192
Indigo (S)	2016	55-64	F	1343
Indigo (S)	2016	55-64	M	1297
Indigo (S)	2016	65-74	F	977
Indigo (S)	2016	65-74	M	1064
Indigo (S)	2016	75-84	F	461
Indigo (S)	2016	75-84	M	441
Indigo (S)	2016	85+	F	224
Indigo (S)	2016	85+	M	131
Kingston (C) (Vic.)	2006	0-4	F	3990
Kingston (C) (Vic.)	2006	0-4	M	4187
