LGA_NAME16	Year	Sex	persons
Migratory - Offshore - Shipping (NSW)	2006	M	51
Migratory - Offshore - Shipping (NSW)	2011	F	55
Migratory - Offshore - Shipping (NSW)	2011	M	56
Migratory - Offshore - Shipping (NSW)	2016	F	239
Migratory - Offshore - Shipping (NSW)	2016	M	171
Alpine (S)	2006	F	6057
Alpine (S)	2006	M	5941
Alpine (S)	2011	F	6004
Alpine (S)	2011	M	5877
Alpine (S)	2016	F	6265
Alpine (S)	2016	M	6074
Ararat (RC)	2006	F	5544
Ararat (RC)	2006	M	5710
Ararat (RC)	2011	F	5483
Ararat (RC)	2011	M	5699
Ararat (RC)	2016	F	5449
Ararat (RC)	2016	M	6152
Ballarat (C)	2006	F	44284
Ballarat (C)	2006	M	40911
Ballarat (C)	2011	F	48623
Ballarat (C)	2011	M	44880
Ballarat (C)	2016	F	52821
Ballarat (C)	2016	M	48864
Banyule (C)	2006	F	59053
Banyule (C)	2006	M	55812
Banyule (C)	2011	F	60878
Banyule (C)	2011	M	57426
Banyule (C)	2016	F	62644
Banyule (C)	2016	M	59222
Bass Coast (S)	2006	F	13681
Bass Coast (S)	2006	M	12865
Bass Coast (S)	2011	F	15113
Bass Coast (S)	2011	M	14497
Bass Coast (S)	2016	F	16912
Bass Coast (S)	2016	M	15897
Baw Baw (S)	2006	F	19054
Baw Baw (S)	2006	M	18123
Baw Baw (S)	2011	F	21855
Baw Baw (S)	2011	M	21009
Baw Baw (S)	2016	F	24938
Baw Baw (S)	2016	M	23543
Bayside (C)	2006	F	46296
Bayside (C)	2006	M	41642
Bayside (C)	2011	F	47972
Bayside (C)	2011	M	43842
Bayside (C)	2016	F	50862
Bayside (C)	2016	M	46229
Benalla (RC)	2006	F	6971
Benalla (RC)	2006	M	6552
Benalla (RC)	2011	F	7009
Benalla (RC)	2011	M	6637
Benalla (RC)	2016	F	7149
Benalla (RC)	2016	M	6720
Boroondara (C)	2006	F	80518
Boroondara (C)	2006	M	73933
Boroondara (C)	2011	F	82686
Boroondara (C)	2011	M	76500
Boroondara (C)	2016	F	87085
Boroondara (C)	2016	M	80145
Brimbank (C)	2006	F	84758
Brimbank (C)	2006	M	83462
Brimbank (C)	2011	F	91391
Brimbank (C)	2011	M	91343
Brimbank (C)	2016	F	97079
Brimbank (C)	2016	M	97239
Buloke (S)	2006	F	3425
Buloke (S)	2006	M	3430
Buloke (S)	2011	F	3156
Buloke (S)	2011	M	3228
Buloke (S)	2016	F	3066
Buloke (S)	2016	M	3138
Campaspe (S)	2006	F	18133
Campaspe (S)	2006	M	18075
Campaspe (S)	2011	F	18367
Campaspe (S)	2011	M	18000
Campaspe (S)	2016	F	18765
Campaspe (S)	2016	M	18293
Cardinia (S)	2006	F	28753
Cardinia (S)	2006	M	28360
Cardinia (S)	2011	F	37474
Cardinia (S)	2011	M	36704
Cardinia (S)	2016	F	47773
Cardinia (S)	2016	M	46358
Casey (C)	2006	F	108200
Casey (C)	2006	M	106759
Casey (C)	2011	F	126933
Casey (C)	2011	M	125453
Casey (C)	2016	F	150274
Casey (C)	2016	M	149024
Central Goldfields (S)	2006	F	6242
Central Goldfields (S)	2006	M	6084
Central Goldfields (S)	2011	F	6293
Central Goldfields (S)	2011	M	6203
Central Goldfields (S)	2016	F	6580
Central Goldfields (S)	2016	M	6412
Colac-Otway (S)	2006	F	10178
Colac-Otway (S)	2006	M	10113
Colac-Otway (S)	2011	F	10204
Colac-Otway (S)	2011	M	10139
Colac-Otway (S)	2016	F	10489
Colac-Otway (S)	2016	M	10485
Corangamite (S)	2006	F	8340
Corangamite (S)	2006	M	8278
Corangamite (S)	2011	F	8145
Corangamite (S)	2011	M	8230
Corangamite (S)	2016	F	7970
Corangamite (S)	2016	M	8082
Darebin (C)	2006	F	65839
Darebin (C)	2006	M	62224
Darebin (C)	2011	F	70019
Darebin (C)	2011	M	66457
Darebin (C)	2016	F	75816
Darebin (C)	2016	M	70903
East Gippsland (S)	2006	F	20344
East Gippsland (S)	2006	M	19696
East Gippsland (S)	2011	F	21400
East Gippsland (S)	2011	M	20800
East Gippsland (S)	2016	F	22932
East Gippsland (S)	2016	M	22107
Frankston (C)	2006	F	60436
Frankston (C)	2006	M	57370
Frankston (C)	2011	F	64609
Frankston (C)	2011	M	61853
Frankston (C)	2016	F	68727
Frankston (C)	2016	M	65418
Gannawarra (S)	2006	F	5660
Gannawarra (S)	2006	M	5641
Gannawarra (S)	2011	F	5222
Gannawarra (S)	2011	M	5142
Gannawarra (S)	2016	F	5293
Gannawarra (S)	2016	M	5257
Glen Eira (C)	2006	F	63840
Glen Eira (C)	2006	M	60247
Glen Eira (C)	2011	F	67253
Glen Eira (C)	2011	M	63761
Glen Eira (C)	2016	F	72735
Glen Eira (C)	2016	M	68140
Glenelg (S)	2006	F	9803
Glenelg (S)	2006	M	9952
Glenelg (S)	2011	F	9785
Glenelg (S)	2011	M	9790
Glenelg (S)	2016	F	9809
Glenelg (S)	2016	M	9749
Golden Plains (S)	2006	F	8074
Golden Plains (S)	2006	M	8380
Golden Plains (S)	2011	F	9220
Golden Plains (S)	2011	M	9548
Golden Plains (S)	2016	F	10675
Golden Plains (S)	2016	M	11019
Greater Bendigo (C)	2006	F	48244
Greater Bendigo (C)	2006	M	45008
Greater Bendigo (C)	2011	F	51842
Greater Bendigo (C)	2011	M	48777
Greater Bendigo (C)	2016	F	56891
Greater Bendigo (C)	2016	M	53587
Greater Dandenong (C)	2006	F	62708
Greater Dandenong (C)	2006	M	62816
Greater Dandenong (C)	2011	F	67084
Greater Dandenong (C)	2011	M	68521
Greater Dandenong (C)	2016	F	74506
Greater Dandenong (C)	2016	M	77550
Greater Geelong (C)	2006	F	101346
Greater Geelong (C)	2006	M	96135
Greater Geelong (C)	2011	F	108412
Greater Geelong (C)	2011	M	102468
Greater Geelong (C)	2016	F	120217
Greater Geelong (C)	2016	M	113214
Greater Shepparton (C)	2006	F	28901
Greater Shepparton (C)	2006	M	28188
Greater Shepparton (C)	2011	F	30568
Greater Shepparton (C)	2011	M	29883
Greater Shepparton (C)	2016	F	32125
Greater Shepparton (C)	2016	M	31713
Hepburn (S)	2006	F	7057
Hepburn (S)	2006	M	6677
Hepburn (S)	2011	F	7415
Hepburn (S)	2011	M	6950
Hepburn (S)	2016	F	7944
Hepburn (S)	2016	M	7382
Hindmarsh (S)	2006	F	3070
Hindmarsh (S)	2006	M	2970
Hindmarsh (S)	2011	F	2917
Hindmarsh (S)	2011	M	2883
Hindmarsh (S)	2016	F	2872
Hindmarsh (S)	2016	M	2848
Hobsons Bay (C)	2006	F	41357
Hobsons Bay (C)	2006	M	40103
Hobsons Bay (C)	2011	F	42243
Hobsons Bay (C)	2011	M	41618
Hobsons Bay (C)	2016	F	45146
Hobsons Bay (C)	2016	M	43631
Horsham (RC)	2006	F	9484
Horsham (RC)	2006	M	9009
Horsham (RC)	2011	F	9869
Horsham (RC)	2011	M	9410
Horsham (RC)	2016	F	10067
Horsham (RC)	2016	M	9576
Hume (C)	2006	F	74644
Hume (C)	2006	M	73141
Hume (C)	2011	F	84537
Hume (C)	2011	M	83025
Hume (C)	2016	F	99102
Hume (C)	2016	M	98273
Indigo (S)	2006	F	7499
Indigo (S)	2006	M	7298
Indigo (S)	2011	F	7653
Indigo (S)	2011	M	7525
Indigo (S)	2016	F	8097
Indigo (S)	2016	M	7859
Kingston (C) (Vic.)	2006	F	69048
Kingston (C) (Vic.)	2006	M	65579
Kingston (C) (Vic.)	2011	F	72795
Kingston (C) (Vic.)	2011	M	69629
Kingston (C) (Vic.)	2016	F	77753
Kingston (C) (Vic.)	2016	M	73637
Knox (C)	2006	F	74898
Knox (C)	2006	M	71840
Knox (C)	2011	F	75894
Knox (C)	2011	M	73406
Knox (C)	2016	F	78793
Knox (C)	2016	M	75317
Latrobe (C) (Vic.)	2006	F	35460
Latrobe (C) (Vic.)	2006	M	33874
Latrobe (C) (Vic.)	2011	F	37032
Latrobe (C) (Vic.)	2011	M	35366
Latrobe (C) (Vic.)	2016	F	37469
Latrobe (C) (Vic.)	2016	M	35788
Loddon (S)	2006	F	3841
Loddon (S)	2006	M	3998
Loddon (S)	2011	F	3647
Loddon (S)	2011	M	3808
Loddon (S)	2016	F	3668
Loddon (S)	2016	M	3848
Macedon Ranges (S)	2006	F	19396
Macedon Ranges (S)	2006	M	18958
Macedon Ranges (S)	2011	F	21247
Macedon Ranges (S)	2011	M	20613
Macedon Ranges (S)	2016	F	23415
Macedon Ranges (S)	2016	M	22685
Manningham (C)	2006	F	56498
Manningham (C)	2006	M	53419
Manningham (C)	2011	F	57260
Manningham (C)	2011	M	54038
Manningham (C)	2016	F	59953
Manningham (C)	2016	M	56306
Mansfield (S)	2006	F	3571
Mansfield (S)	2006	M	3623
Mansfield (S)	2011	F	3962
Mansfield (S)	2011	M	3935
Mansfield (S)	2016	F	4314
Mansfield (S)	2016	M	4272
Maribyrnong (C)	2006	F	31282
Maribyrnong (C)	2006	M	31857
Maribyrnong (C)	2011	F	35243
Maribyrnong (C)	2011	M	36395
Maribyrnong (C)	2016	F	40883
Maribyrnong (C)	2016	M	41405
Maroondah (C)	2006	F	51301
Maroondah (C)	2006	M	47899
Maroondah (C)	2011	F	53449
Maroondah (C)	2011	M	50390
Maroondah (C)	2016	F	56979
Maroondah (C)	2016	M	53398
Melbourne (C)	2006	F	37642
Melbourne (C)	2006	M	38507
Melbourne (C)	2011	F	46851
Melbourne (C)	2011	M	46775
Melbourne (C)	2016	F	69823
Melbourne (C)	2016	M	66137
Melton (C)	2006	F	39558
Melton (C)	2006	M	39351
Melton (C)	2011	F	54995
Melton (C)	2011	M	54267
Melton (C)	2016	F	68549
Melton (C)	2016	M	66890
Mildura (RC)	2006	F	25431
Mildura (RC)	2006	M	24384
Mildura (RC)	2011	F	26004
Mildura (RC)	2011	M	24975
Mildura (RC)	2016	F	27398
Mildura (RC)	2016	M	26481
Mitchell (S)	2006	F	15291
Mitchell (S)	2006	M	15638
Mitchell (S)	2011	F	17289
Mitchell (S)	2011	M	17350
Mitchell (S)	2016	F	20350
Mitchell (S)	2016	M	20570
Moira (S)	2006	F	13564
Moira (S)	2006	M	13519
Moira (S)	2011	F	14139
Moira (S)	2011	M	13984
Moira (S)	2016	F	14598
Moira (S)	2016	M	14514
Monash (C)	2006	F	81665
Monash (C)	2006	M	79571
Monash (C)	2011	F	85662
Monash (C)	2011	M	83614
Monash (C)	2016	F	92890
Monash (C)	2016	M	89722
Moonee Valley (C)	2006	F	52882
Moonee Valley (C)	2006	M	49439
Moonee Valley (C)	2011	F	55382
Moonee Valley (C)	2011	M	52061
Moonee Valley (C)	2016	F	60280
Moonee Valley (C)	2016	M	56394
Moorabool (S)	2006	F	12826
Moorabool (S)	2006	M	12650
Moorabool (S)	2011	F	14098
Moorabool (S)	2011	M	14024
Moorabool (S)	2016	F	16073
Moorabool (S)	2016	M	15744
Moreland (C)	2006	F	69837
Moreland (C)	2006	M	65928
Moreland (C)	2011	F	75110
Moreland (C)	2011	M	72128
Moreland (C)	2016	F	83051
Moreland (C)	2016	M	79507
Mornington Peninsula (S)	2006	F	70087
Mornington Peninsula (S)	2006	M	66396
Mornington Peninsula (S)	2011	F	74566
Mornington Peninsula (S)	2011	M	70042
Mornington Peninsula (S)	2016	F	80125
Mornington Peninsula (S)	2016	M	74875
Mount Alexander (S)	2006	F	8647
Mount Alexander (S)	2006	M	8420
Mount Alexander (S)	2011	F	8876
Mount Alexander (S)	2011	M	8715
Mount Alexander (S)	2016	F	9375
Mount Alexander (S)	2016	M	9389
Moyne (S)	2006	F	7749
Moyne (S)	2006	M	7706
Moyne (S)	2011	F	8050
Moyne (S)	2011	M	7903
Moyne (S)	2016	F	8245
Moyne (S)	2016	M	8255
Murrindindi (S)	2006	F	6738
Murrindindi (S)	2006	M	6934
Murrindindi (S)	2011	F	6444
Murrindindi (S)	2011	M	6616
Murrindindi (S)	2016	F	6771
Murrindindi (S)	2016	M	6957
Nillumbik (S)	2006	F	30132
Nillumbik (S)	2006	M	29663
Nillumbik (S)	2011	F	30446
Nillumbik (S)	2011	M	29894
Nillumbik (S)	2016	F	31007
Nillumbik (S)	2016	M	30266
Northern Grampians (S)	2006	F	5988
Northern Grampians (S)	2006	M	5922
Northern Grampians (S)	2011	F	5936
Northern Grampians (S)	2011	M	5909
Northern Grampians (S)	2016	F	5785
Northern Grampians (S)	2016	M	5652
Port Phillip (C)	2006	F	42861
Port Phillip (C)	2006	M	42236
Port Phillip (C)	2011	F	46058
Port Phillip (C)	2011	M	45316
Port Phillip (C)	2016	F	51563
Port Phillip (C)	2016	M	49307
Pyrenees (S)	2006	F	3177
Pyrenees (S)	2006	M	3383
Pyrenees (S)	2011	F	3242
Pyrenees (S)	2011	M	3428
Pyrenees (S)	2016	F	3408
Pyrenees (S)	2016	M	3831
Queenscliffe (B)	2006	F	1631
Queenscliffe (B)	2006	M	1387
Queenscliffe (B)	2011	F	1579
Queenscliffe (B)	2011	M	1424
Queenscliffe (B)	2016	F	1527
Queenscliffe (B)	2016	M	1325
South Gippsland (S)	2006	F	13023
South Gippsland (S)	2006	M	12714
South Gippsland (S)	2011	F	13792
South Gippsland (S)	2011	M	13414
South Gippsland (S)	2016	F	14644
South Gippsland (S)	2016	M	14059
Southern Grampians (S)	2006	F	8494
Southern Grampians (S)	2006	M	8147
Southern Grampians (S)	2011	F	8339
Southern Grampians (S)	2011	M	8017
Southern Grampians (S)	2016	F	8178
Southern Grampians (S)	2016	M	7759
Stonnington (C)	2006	F	46712
Stonnington (C)	2006	M	43174
Stonnington (C)	2011	F	48362
Stonnington (C)	2011	M	44787
Stonnington (C)	2016	F	54462
Stonnington (C)	2016	M	49371
Strathbogie (S)	2006	F	4675
Strathbogie (S)	2006	M	4618
Strathbogie (S)	2011	F	4741
Strathbogie (S)	2011	M	4747
Strathbogie (S)	2016	F	5198
Strathbogie (S)	2016	M	5074
Surf Coast (S)	2006	F	10896
Surf Coast (S)	2006	M	10875
Surf Coast (S)	2011	F	13039
Surf Coast (S)	2011	M	12833
Surf Coast (S)	2016	F	14818
Surf Coast (S)	2016	M	14582
Swan Hill (RC)	2006	F	10248
Swan Hill (RC)	2006	M	10385
Swan Hill (RC)	2011	F	10147
Swan Hill (RC)	2011	M	10304
Swan Hill (RC)	2016	F	10217
Swan Hill (RC)	2016	M	10368
Towong (S)	2006	F	2970
Towong (S)	2006	M	3044
Towong (S)	2011	F	2918
Towong (S)	2011	M	2978
Towong (S)	2016	F	2907
Towong (S)	2016	M	3077
Wangaratta (RC)	2006	F	13550
Wangaratta (RC)	2006	M	12842
Wangaratta (RC)	2011	F	13830
Wangaratta (RC)	2011	M	12985
Wangaratta (RC)	2016	F	14665
Wangaratta (RC)	2016	M	13651
Warrnambool (C)	2006	F	15779
Warrnambool (C)	2006	M	14611
Warrnambool (C)	2011	F	16541
Warrnambool (C)	2011	M	15492
Warrnambool (C)	2016	F	17502
Warrnambool (C)	2016	M	16157
Wellington (S)	2006	F	19851
Wellington (S)	2006	M	20226
Wellington (S)	2011	F	20657
Wellington (S)	2011	M	20783
Wellington (S)	2016	F	21287
Wellington (S)	2016	M	21695
West Wimmera (S)	2006	F	2206
West Wimmera (S)	2006	M	2274
West Wimmera (S)	2011	F	2102
West Wimmera (S)	2011	M	2149
West Wimmera (S)	2016	F	1941
West Wimmera (S)	2016	M	1966
Whitehorse (C)	2006	F	75668
Whitehorse (C)	2006	M	69099
Whitehorse (C)	2011	F	78514
Whitehorse (C)	2011	M	72821
Whitehorse (C)	2016	F	84032
Whitehorse (C)	2016	M	78051
Whittlesea (C)	2006	F	62889
Whittlesea (C)	2006	M	61761
Whittlesea (C)	2011	F	78088
Whittlesea (C)	2011	M	76793
Whittlesea (C)	2016	F	99952
Whittlesea (C)	2016	M	97541
Wodonga (C)	2006	F	16752
Wodonga (C)	2006	M	16257
Wodonga (C)	2011	F	18016
Wodonga (C)	2011	M	17503
Wodonga (C)	2016	F	20050
Wodonga (C)	2016	M	19296
Wyndham (C)	2006	F	56547
Wyndham (C)	2006	M	56148
Wyndham (C)	2011	F	80992
Wyndham (C)	2011	M	80579
Wyndham (C)	2016	F	108319
Wyndham (C)	2016	M	108806
Yarra (C)	2006	F	35306
Yarra (C)	2006	M	34027
Yarra (C)	2011	F	37936
Yarra (C)	2011	M	36154
Yarra (C)	2016	F	44619
Yarra (C)	2016	M	42039
Yarra Ranges (S)	2006	F	70749
Yarra Ranges (S)	2006	M	69469
Yarra Ranges (S)	2011	F	73030
Yarra Ranges (S)	2011	M	71511
Yarra Ranges (S)	2016	F	75717
Yarra Ranges (S)	2016	M	73819
Yarriambiack (S)	2006	F	3811
Yarriambiack (S)	2006	M	3706
Yarriambiack (S)	2011	F	3554
Yarriambiack (S)	2011	M	3530
Yarriambiack (S)	2016	F	3305
Yarriambiack (S)	2016	M	3366
Unincorporated Vic	2006	F	290
Unincorporated Vic	2006	M	440
Unincorporated Vic	2011	F	312
Unincorporated Vic	2011	M	451
Unincorporated Vic	2016	F	409
Unincorporated Vic	2016	M	473
No usual address (Vic.)	2006	F	2798
No usual address (Vic.)	2006	M	3598
No usual address (Vic.)	2011	F	3636
No usual address (Vic.)	2011	M	4672
No usual address (Vic.)	2016	F	3238
No usual address (Vic.)	2016	M	4331
Migratory - Offshore - Shipping (Vic.)	2006	F	4
Migratory - Offshore - Shipping (Vic.)	2006	M	40
Migratory - Offshore - Shipping (Vic.)	2011	F	0
Migratory - Offshore - Shipping (Vic.)	2011	M	36
Migratory - Offshore - Shipping (Vic.)	2016	F	4
Migratory - Offshore - Shipping (Vic.)	2016	M	28
Aurukun (S)	2006	F	540
Aurukun (S)	2006	M	503
Aurukun (S)	2011	F	653
Aurukun (S)	2011	M	640
Aurukun (S)	2016	F	635
Aurukun (S)	2016	M	632
Balonne (S)	2006	F	2250
Balonne (S)	2006	M	2372
Balonne (S)	2011	F	2283
Balonne (S)	2011	M	2437
Balonne (S)	2016	F	2129
Balonne (S)	2016	M	2251
Banana (S)	2006	F	7049
Banana (S)	2006	M	7603
Banana (S)	2011	F	6977
Banana (S)	2011	M	7479
Banana (S)	2016	F	6928
Banana (S)	2016	M	7388
Barcaldine (R)	2006	F	1582
Barcaldine (R)	2006	M	1679
Barcaldine (R)	2011	F	1595
Barcaldine (R)	2011	M	1620
Barcaldine (R)	2016	F	1419
Barcaldine (R)	2016	M	1449
Barcoo (S)	2006	F	161
Barcoo (S)	2006	M	196
Barcoo (S)	2011	F	159
Barcoo (S)	2011	M	189
Barcoo (S)	2016	F	123
Barcoo (S)	2016	M	149
Blackall-Tambo (R)	2006	F	1022
Blackall-Tambo (R)	2006	M	994
Blackall-Tambo (R)	2011	F	1111
Blackall-Tambo (R)	2011	M	1091
Blackall-Tambo (R)	2016	F	958
Blackall-Tambo (R)	2016	M	944
Boulia (S)	2006	F	202
Boulia (S)	2006	M	222
Boulia (S)	2011	F	216
Boulia (S)	2011	M	263
Boulia (S)	2016	F	201
Boulia (S)	2016	M	228
Brisbane (C)	2006	F	488791
Brisbane (C)	2006	M	467343
Brisbane (C)	2011	F	528127
Brisbane (C)	2011	M	513708
Brisbane (C)	2016	F	574720
Brisbane (C)	2016	M	556440
Bulloo (S)	2006	F	155
Bulloo (S)	2006	M	215
Bulloo (S)	2011	F	162
Bulloo (S)	2011	M	239
Bulloo (S)	2016	F	164
Bulloo (S)	2016	M	187
Bundaberg (R)	2006	F	42186
Bundaberg (R)	2006	M	40775
Bundaberg (R)	2011	F	45580
Bundaberg (R)	2011	M	44226
Bundaberg (R)	2016	F	47180
Bundaberg (R)	2016	M	45716
Burdekin (S)	2006	F	8440
Burdekin (S)	2006	M	8579
Burdekin (S)	2011	F	8642
Burdekin (S)	2011	M	8725
Burdekin (S)	2016	F	8402
Burdekin (S)	2016	M	8673
Burke (S)	2006	F	186
Burke (S)	2006	M	309
Burke (S)	2011	F	198
Burke (S)	2011	M	317
Burke (S)	2016	F	144
Burke (S)	2016	M	183
Cairns (R)	2006	F	63775
Cairns (R)	2006	M	63659
Cairns (R)	2011	F	73346
Cairns (R)	2011	M	71994
Cairns (R)	2016	F	79508
Cairns (R)	2016	M	77390
Carpentaria (S)	2006	F	908
Carpentaria (S)	2006	M	1033
Carpentaria (S)	2011	F	978
Carpentaria (S)	2011	M	1075
Carpentaria (S)	2016	F	947
Carpentaria (S)	2016	M	1003
Cassowary Coast (R)	2006	F	13495
Cassowary Coast (R)	2006	M	14280
Cassowary Coast (R)	2011	F	13387
Cassowary Coast (R)	2011	M	14282
Cassowary Coast (R)	2016	F	13961
Cassowary Coast (R)	2016	M	14769
Central Highlands (R) (Qld)	2006	F	12234
Central Highlands (R) (Qld)	2006	M	14237
Central Highlands (R) (Qld)	2011	F	13322
Central Highlands (R) (Qld)	2011	M	15393
Central Highlands (R) (Qld)	2016	F	13240
Central Highlands (R) (Qld)	2016	M	14756
Charters Towers (R)	2006	F	5753
Charters Towers (R)	2006	M	5724
Charters Towers (R)	2011	F	6073
Charters Towers (R)	2011	M	6096
Charters Towers (R)	2016	F	5992
Charters Towers (R)	2016	M	5885
Cherbourg (S)	2006	F	581
Cherbourg (S)	2006	M	549
Cherbourg (S)	2011	F	634
Cherbourg (S)	2011	M	598
Cherbourg (S)	2016	F	635
Cherbourg (S)	2016	M	628
Cloncurry (S)	2006	F	1434
Cloncurry (S)	2006	M	1699
Cloncurry (S)	2011	F	1421
Cloncurry (S)	2011	M	1809
Cloncurry (S)	2016	F	1327
Cloncurry (S)	2016	M	1706
Cook (S)	2006	F	1583
Cook (S)	2006	M	1883
Cook (S)	2011	F	1722
Cook (S)	2011	M	2430
Cook (S)	2016	F	1950
Cook (S)	2016	M	2273
Croydon (S)	2006	F	122
Croydon (S)	2006	M	130
Croydon (S)	2011	F	142
Croydon (S)	2011	M	167
Croydon (S)	2016	F	145
Croydon (S)	2016	M	148
Diamantina (S)	2006	F	124
Diamantina (S)	2006	M	156
Diamantina (S)	2011	F	128
Diamantina (S)	2011	M	155
Diamantina (S)	2016	F	142
Diamantina (S)	2016	M	150
Doomadgee (S)	2006	F	533
Doomadgee (S)	2006	M	549
Doomadgee (S)	2011	F	622
Doomadgee (S)	2011	M	667
Doomadgee (S)	2016	F	692
Doomadgee (S)	2016	M	707
Douglas (S)	2006	F	4888
Douglas (S)	2006	M	5300
Douglas (S)	2011	F	5274
Douglas (S)	2011	M	5557
Douglas (S)	2016	F	5758
Douglas (S)	2016	M	5960
Etheridge (S)	2006	F	376
Etheridge (S)	2006	M	476
Etheridge (S)	2011	F	383
Etheridge (S)	2011	M	508
Etheridge (S)	2016	F	369
Etheridge (S)	2016	M	435
Flinders (S) (Qld)	2006	F	868
Flinders (S) (Qld)	2006	M	922
Flinders (S) (Qld)	2011	F	837
Flinders (S) (Qld)	2011	M	954
Flinders (S) (Qld)	2016	F	756
Flinders (S) (Qld)	2016	M	777
Fraser Coast (R)	2006	F	42738
Fraser Coast (R)	2006	M	41605
Fraser Coast (R)	2011	F	48643
Fraser Coast (R)	2011	M	46674
Fraser Coast (R)	2016	F	51730
Fraser Coast (R)	2016	M	49773
Gladstone (R)	2006	F	24638
Gladstone (R)	2006	M	26120
Gladstone (R)	2011	F	27794
Gladstone (R)	2011	M	30095
Gladstone (R)	2016	F	29989
Gladstone (R)	2016	M	31647
Gold Coast (C)	2006	F	220565
Gold Coast (C)	2006	M	213394
Gold Coast (C)	2011	F	252899
Gold Coast (C)	2011	M	241594
Gold Coast (C)	2016	F	285586
Gold Coast (C)	2016	M	270141
Goondiwindi (R)	2006	F	4963
Goondiwindi (R)	2006	M	5162
Goondiwindi (R)	2011	F	5309
Goondiwindi (R)	2011	M	5319
Goondiwindi (R)	2016	F	5288
Goondiwindi (R)	2016	M	5340
Gympie (R)	2006	F	20987
Gympie (R)	2006	M	20878
Gympie (R)	2011	F	23028
Gympie (R)	2011	M	22724
Gympie (R)	2016	F	24985
Gympie (R)	2016	M	24578
Hinchinbrook (S)	2006	F	5682
Hinchinbrook (S)	2006	M	5878
Hinchinbrook (S)	2011	F	5674
Hinchinbrook (S)	2011	M	5895
Hinchinbrook (S)	2016	F	5332
Hinchinbrook (S)	2016	M	5556
Hope Vale (S)	2006	F	376
Hope Vale (S)	2006	M	405
Hope Vale (S)	2011	F	464
Hope Vale (S)	2011	M	522
Hope Vale (S)	2016	F	423
Hope Vale (S)	2016	M	499
Ipswich (C)	2006	F	69798
Ipswich (C)	2006	M	69310
Ipswich (C)	2011	F	83810
Ipswich (C)	2011	M	83097
Ipswich (C)	2016	F	97937
Ipswich (C)	2016	M	95797
Isaac (R)	2006	F	8857
Isaac (R)	2006	M	10964
Isaac (R)	2011	F	10040
Isaac (R)	2011	M	12551
Isaac (R)	2016	F	9516
Isaac (R)	2016	M	11419
Kowanyama (S)	2006	F	544
Kowanyama (S)	2006	M	473
Kowanyama (S)	2011	F	530
Kowanyama (S)	2011	M	503
Kowanyama (S)	2016	F	493
Kowanyama (S)	2016	M	451
Livingstone (S)	2006	F	13974
Livingstone (S)	2006	M	14893
Livingstone (S)	2011	F	15744
Livingstone (S)	2011	M	16816
Livingstone (S)	2016	F	17649
Livingstone (S)	2016	M	18621
Lockhart River (S)	2006	F	288
Lockhart River (S)	2006	M	261
Lockhart River (S)	2011	F	252
Lockhart River (S)	2011	M	232
Lockhart River (S)	2016	F	360
Lockhart River (S)	2016	M	357
Lockyer Valley (R)	2006	F	15082
Lockyer Valley (R)	2006	M	15041
Lockyer Valley (R)	2011	F	17592
Lockyer Valley (R)	2011	M	17359
Lockyer Valley (R)	2016	F	19309
Lockyer Valley (R)	2016	M	19298
Logan (C)	2006	F	126320
Logan (C)	2006	M	124550
Logan (C)	2011	F	140071
Logan (C)	2011	M	137977
Logan (C)	2016	F	153480
Logan (C)	2016	M	149901
Longreach (R)	2006	F	2044
Longreach (R)	2006	M	2011
Longreach (R)	2011	F	2145
Longreach (R)	2011	M	2044
Longreach (R)	2016	F	1869
Longreach (R)	2016	M	1791
Mackay (R)	2006	F	49537
Mackay (R)	2006	M	51484
Mackay (R)	2011	F	54562
Mackay (R)	2011	M	58238
Mackay (R)	2016	F	56713
Mackay (R)	2016	M	58256
McKinlay (S)	2006	F	395
McKinlay (S)	2006	M	503
McKinlay (S)	2011	F	424
McKinlay (S)	2011	M	629
McKinlay (S)	2016	F	364
McKinlay (S)	2016	M	432
Mapoon (S)	2006	F	110
Mapoon (S)	2006	M	130
Mapoon (S)	2011	F	130
Mapoon (S)	2011	M	138
Mapoon (S)	2016	F	157
Mapoon (S)	2016	M	151
Maranoa (R)	2006	F	6041
Maranoa (R)	2006	M	6243
Maranoa (R)	2011	F	6348
Maranoa (R)	2011	M	6732
Maranoa (R)	2016	F	6150
Maranoa (R)	2016	M	6515
Mareeba (S)	2006	F	8695
Mareeba (S)	2006	M	9510
Mareeba (S)	2011	F	9645
Mareeba (S)	2011	M	10376
Mareeba (S)	2016	F	10251
Mareeba (S)	2016	M	11310
Moreton Bay (R)	2006	F	164755
Moreton Bay (R)	2006	M	160034
Moreton Bay (R)	2011	F	192372
Moreton Bay (R)	2011	M	185671
Moreton Bay (R)	2016	F	217136
Moreton Bay (R)	2016	M	208170
Mornington (S)	2006	F	509
Mornington (S)	2006	M	529
Mornington (S)	2011	F	581
Mornington (S)	2011	M	560
Mornington (S)	2016	F	579
Mornington (S)	2016	M	563
Mount Isa (C)	2006	F	9327
Mount Isa (C)	2006	M	10332
Mount Isa (C)	2011	F	9911
Mount Isa (C)	2011	M	11324
Mount Isa (C)	2016	F	9012
Mount Isa (C)	2016	M	9656
Murweh (S)	2006	F	2283
Murweh (S)	2006	M	2302
Murweh (S)	2011	F	2315
Murweh (S)	2011	M	2308
Murweh (S)	2016	F	2180
