LGA_NAME16	Year	medianMortgageRepaymentMonthly
Norwood Payneham St Peters (C)	2011	1806
Onkaparinga (C)	2011	1465
Orroroo/Carrieton (DC)	2011	780
Peterborough (DC)	2011	514
Playford (C)	2011	1300
Port Adelaide Enfield (C)	2011	1593
Port Augusta (C)	2011	1213
Port Lincoln (C)	2011	1322
Port Pirie City and Dists (M)	2011	1018
Prospect (C)	2011	1775
Renmark Paringa (DC)	2011	1083
Robe (DC)	2011	1229
Roxby Downs (M)	2011	2350
Salisbury (C)	2011	1408
Southern Mallee (DC)	2011	672
Streaky Bay (DC)	2011	1200
Tatiara (DC)	2011	1000
Tea Tree Gully (C)	2011	1517
The Coorong (DC)	2011	867
Tumby Bay (DC)	2011	1192
Unley (C)	2011	1950
Victor Harbor (C)	2011	1300
Wakefield (DC)	2011	975
Walkerville (M)	2011	2000
Wattle Range (DC)	2011	992
West Torrens (C)	2011	1690
Whyalla (C)	2011	1289
Wudinna (DC)	2011	697
Yankalilla (DC)	2011	1200
Yorke Peninsula (DC)	2011	1000
Unincorporated SA	2011	724
No usual address (SA)	2011	0
Migratory - Offshore - Shipping (SA)	2011	0
Albany (C)	2011	1600
Armadale (C)	2011	1842
Ashburton (S)	2011	327
Augusta-Margaret River (S)	2011	1733
Bassendean (T)	2011	1842
Bayswater (C)	2011	1950
Belmont (C)	2011	2000
Beverley (S)	2011	1083
Boddington (S)	2011	1750
Boyup Brook (S)	2011	1077
Bridgetown-Greenbushes (S)	2011	1427
Brookton (S)	2011	1100
Broome (S)	2011	2600
Broomehill-Tambellup (S)	2011	867
Bruce Rock (S)	2011	650
Bunbury (C)	2011	1680
Busselton (C)	2011	1842
Cambridge (T)	2011	2600
Canning (C)	2011	1918
Capel (S)	2011	1993
Carnamah (S)	2011	675
Carnarvon (S)	2011	1517
Chapman Valley (S)	2011	1700
Chittering (S)	2011	2100
Claremont (T)	2011	2817
Cockburn (C)	2011	2000
Collie (S)	2011	1517
Coolgardie (S)	2011	1240
Coorow (S)	2011	1192
Corrigin (S)	2011	715
Cottesloe (T)	2011	3000
Cranbrook (S)	2011	867
Cuballing (S)	2011	1083
Cue (S)	2011	542
Cunderdin (S)	2011	997
Dalwallinu (S)	2011	867
Dandaragan (S)	2011	1517
Dardanup (S)	2011	1879
Denmark (S)	2011	1492
Derby-West Kimberley (S)	2011	1625
Donnybrook-Balingup (S)	2011	1460
Dowerin (S)	2011	845
Dumbleyung (S)	2011	813
Dundas (S)	2011	655
East Fremantle (T)	2011	2383
East Pilbara (S)	2011	364
Esperance (S)	2011	1517
Exmouth (S)	2011	2167
Fremantle (C)	2011	2137
Gingin (S)	2011	1600
Gnowangerup (S)	2011	729
Goomalling (S)	2011	1083
Gosnells (C)	2011	1800
Greater Geraldton (C)	2011	1649
Halls Creek (S)	2011	1387
Harvey (S)	2011	1863
Irwin (S)	2011	1660
Jerramungup (S)	2011	800
Joondalup (C)	2011	2000
Kalamunda (S)	2011	1955
Kalgoorlie/Boulder (C)	2011	1955
Karratha (C)	2011	3000
Katanning (S)	2011	1083
Kellerberrin (S)	2011	758
Kent (S)	2011	572
Kojonup (S)	2011	975
Kondinin (S)	2011	770
Koorda (S)	2011	508
Kulin (S)	2011	650
Kwinana (C)	2011	1777
Lake Grace (S)	2011	850
Laverton (S)	2011	750
Leonora (S)	2011	800
Mandurah (C)	2011	1950
Manjimup (S)	2011	1300
Meekatharra (S)	2011	477
Melville (C)	2011	2136
Menzies (S)	2011	0
Merredin (S)	2011	1114
Mingenew (S)	2011	748
Moora (S)	2011	1073
Morawa (S)	2011	758
Mosman Park (T)	2011	2500
Mount Magnet (S)	2011	607
Mount Marshall (S)	2011	464
Mukinbudin (S)	2011	604
Mundaring (S)	2011	1833
Murchison (S)	2011	3050
Murray (S)	2011	1907
Nannup (S)	2011	1387
Narembeen (S)	2011	650
Narrogin (S)	2011	1200
Nedlands (C)	2011	3000
Ngaanyatjarraku (S)	2011	0
Northam (S)	2011	1300
Northampton (S)	2011	1500
Nungarin (S)	2011	1400
Peppermint Grove (S)	2011	3500
Perenjori (S)	2011	832
Perth (C)	2011	2500
Pingelly (S)	2011	1092
Plantagenet (S)	2011	1200
Port Hedland (T)	2011	2500
Quairading (S)	2011	750
Ravensthorpe (S)	2011	1205
Rockingham (C)	2011	2000
Sandstone (S)	2011	0
Serpentine-Jarrahdale (S)	2011	2167
Shark Bay (S)	2011	1603
South Perth (C)	2011	2167
Stirling (C)	2011	2000
Subiaco (C)	2011	2335
Swan (C)	2011	1950
Tammin (S)	2011	650
Three Springs (S)	2011	663
Toodyay (S)	2011	1623
Trayning (S)	2011	498
Upper Gascoyne (S)	2011	0
Victoria Park (T)	2011	2167
Victoria Plains (S)	2011	500
Vincent (C)	2011	2263
Wagin (S)	2011	997
Wandering (S)	2011	1559
Wanneroo (C)	2011	2110
Waroona (S)	2011	1560
West Arthur (S)	2011	800
Westonia (S)	2011	998
Wickepin (S)	2011	737
Williams (S)	2011	1083
Wiluna (S)	2011	0
Wongan-Ballidu (S)	2011	940
Woodanilling (S)	2011	867
Wyalkatchem (S)	2011	797
Wyndham-East Kimberley (S)	2011	2167
Yalgoo (S)	2011	0
Yilgarn (S)	2011	910
York (S)	2011	1495
No usual address (WA)	2011	0
Migratory - Offshore - Shipping (WA)	2011	0
Break O'Day (M)	2011	975
Brighton (M)	2011	1300
Burnie (C)	2011	1150
Central Coast (M) (Tas.)	2011	1213
Central Highlands (M) (Tas.)	2011	884
Circular Head (M)	2011	1127
Clarence (C)	2011	1495
Derwent Valley (M)	2011	1192
Devonport (C)	2011	1216
Dorset (M)	2011	972
Flinders (M) (Tas.)	2011	937
George Town (M)	2011	1100
Glamorgan/Spring Bay (M)	2011	1083
Glenorchy (C)	2011	1311
Hobart (C)	2011	1690
Huon Valley (M)	2011	1200
Kentish (M)	2011	1100
King Island (M)	2011	1000
Kingborough (M)	2011	1517
Latrobe (M) (Tas.)	2011	1300
Launceston (C)	2011	1300
Meander Valley (M)	2011	1300
Northern Midlands (M)	2011	1274
Sorell (M)	2011	1300
Southern Midlands (M)	2011	1158
Tasman (M)	2011	910
Waratah/Wynyard (M)	2011	1172
West Coast (M)	2011	780
West Tamar (M)	2011	1322
No usual address (Tas.)	2011	0
Migratory - Offshore - Shipping (Tas.)	2011	0
Alice Springs (T)	2011	1950
Barkly (R)	2011	934
Belyuen (S)	2011	0
Central Desert (R)	2011	0
Coomalie (S)	2011	1400
Darwin (C)	2011	2167
East Arnhem (R)	2011	0
Katherine (T)	2011	1733
Litchfield (M)	2011	2167
MacDonnell (R)	2011	1168
Palmerston (C)	2011	2167
Roper Gulf (R)	2011	823
Tiwi Islands (R)	2011	542
Victoria Daly (R)	2011	834
Wagait (S)	2011	1509
West Arnhem (R)	2011	777
West Daly (R)	2011	0
Unincorporated NT	2011	1609
No usual address (NT)	2011	0
Migratory - Offshore - Shipping (NT)	2011	0
Unincorporated ACT	2011	2167
No usual address (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	1300
No usual address (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	1421
Armidale Regional (A)	2016	1393
Ballina (A)	2016	1733
Balranald (A)	2016	950
Bathurst Regional (A)	2016	1670
Bega Valley (A)	2016	1343
Bellingen (A)	2016	1400
Berrigan (A)	2016	1083
Blacktown (C)	2016	2150
Bland (A)	2016	1000
Blayney (A)	2016	1500
Blue Mountains (C)	2016	1842
Bogan (A)	2016	1083
Botany Bay (C)	2016	2400
Bourke (A)	2016	991
Brewarrina (A)	2016	433
Broken Hill (C)	2016	953
Burwood (A)	2016	2200
Byron (A)	2016	1733
Cabonne (A)	2016	1517
Camden (A)	2016	2220
Campbelltown (C) (NSW)	2016	1842
Canada Bay (A)	2016	2500
Canterbury-Bankstown (A)	2016	2000
Carrathool (A)	2016	867
Central Coast (C) (NSW)	2016	1750
Central Darling (A)	2016	575
Cessnock (C)	2016	1517
Clarence Valley (A)	2016	1300
Cobar (A)	2016	1300
Coffs Harbour (C)	2016	1603
Coolamon (A)	2016	1083
Coonamble (A)	2016	867
Cowra (A)	2016	1148
Cumberland (A)	2016	2000
Dungog (A)	2016	1662
Edward River (A)	2016	1083
Eurobodalla (A)	2016	1400
Fairfield (C)	2016	1800
Federation (A)	2016	1300
Forbes (A)	2016	1148
Georges River (A)	2016	2167
Gilgandra (A)	2016	1083
Glen Innes Severn (A)	2016	1083
Goulburn Mulwaree (A)	2016	1517
Greater Hume Shire (A)	2016	1213
Griffith (C)	2016	1495
Gundagai (A)	2016	1107
Gunnedah (A)	2016	1473
Gwydir (A)	2016	981
Hawkesbury (C)	2016	2080
Hay (A)	2016	982
Hilltops (A)	2016	1200
Hornsby (A)	2016	2400
Hunters Hill (A)	2016	3033
Inner West (A)	2016	2600
Inverell (A)	2016	1200
Junee (A)	2016	1200
Kempsey (A)	2016	1300
Kiama (A)	2016	2000
Ku-ring-gai (A)	2016	3000
Kyogle (A)	2016	1100
Lachlan (A)	2016	900
Lake Macquarie (C)	2016	1733
Lane Cove (A)	2016	2600
Leeton (A)	2016	1300
Lismore (C)	2016	1430
Lithgow (C)	2016	1387
Liverpool (C)	2016	2123
Liverpool Plains (A)	2016	1153
Lockhart (A)	2016	1000
Maitland (C)	2016	1733
Mid-Coast (A)	2016	1324
Mid-Western Regional (A)	2016	1690
Moree Plains (A)	2016	1300
Mosman (A)	2016	3000
Murray River (A)	2016	1300
Murrumbidgee (A)	2016	900
Muswellbrook (A)	2016	1733
Nambucca (A)	2016	1300
Narrabri (A)	2016	1395
Narrandera (A)	2016	1007
Narromine (A)	2016	1100
Newcastle (C)	2016	1768
North Sydney (A)	2016	2600
Northern Beaches (A)	2016	2800
Oberon (A)	2016	1452
Orange (C)	2016	1629
Parkes (A)	2016	1300
Parramatta (C)	2016	2167
Penrith (C)	2016	2000
Port Macquarie-Hastings (A)	2016	1671
Port Stephens (A)	2016	1733
Queanbeyan-Palerang Regional (A)	2016	2100
Randwick (C)	2016	2600
Richmond Valley (A)	2016	1300
Rockdale (C)	2016	2167
Ryde (C)	2016	2200
Shellharbour (C)	2016	1846
Shoalhaven (C)	2016	1517
Singleton (A)	2016	1950
Snowy Monaro Regional (A)	2016	1300
Snowy Valleys (A)	2016	1300
Strathfield (A)	2016	2167
Sutherland Shire (A)	2016	2427
Sydney (C)	2016	2499
Tamworth Regional (A)	2016	1500
Temora (A)	2016	1148
Tenterfield (A)	2016	1079
The Hills Shire (A)	2016	2500
Tweed (A)	2016	1733
Upper Hunter Shire (A)	2016	1688
Upper Lachlan Shire (A)	2016	1400
Uralla (A)	2016	1346
Wagga Wagga (C)	2016	1517
Walcha (A)	2016	1083
Walgett (A)	2016	750
Warren (A)	2016	899
Warrumbungle Shire (A)	2016	923
Waverley (A)	2016	3000
Weddin (A)	2016	910
Wentworth (A)	2016	1200
Western Plains Regional (A)	2016	1500
Willoughby (C)	2016	2877
Wingecarribee (A)	2016	1842
Wollondilly (A)	2016	2167
Wollongong (C)	2016	1950
Woollahra (A)	2016	3200
Yass Valley (A)	2016	2000
Unincorporated NSW	2016	1083
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2016	0
Alpine (S)	2016	1300
Ararat (RC)	2016	1022
Ballarat (C)	2016	1350
Banyule (C)	2016	1950
Bass Coast (S)	2016	1315
Baw Baw (S)	2016	1465
Bayside (C)	2016	2500
Benalla (RC)	2016	1192
Boroondara (C)	2016	2500
Brimbank (C)	2016	1599
Buloke (S)	2016	693
Campaspe (S)	2016	1300
Cardinia (S)	2016	1733
Casey (C)	2016	1733
Central Goldfields (S)	2016	975
Colac-Otway (S)	2016	1300
Corangamite (S)	2016	1083
Darebin (C)	2016	1950
East Gippsland (S)	2016	1293
Frankston (C)	2016	1621
Gannawarra (S)	2016	977
Glen Eira (C)	2016	2143
Glenelg (S)	2016	1083
Golden Plains (S)	2016	1550
Greater Bendigo (C)	2016	1387
Greater Dandenong (C)	2016	1600
Greater Geelong (C)	2016	1517
Greater Shepparton (C)	2016	1300
Hepburn (S)	2016	1300
Hindmarsh (S)	2016	780
Hobsons Bay (C)	2016	1900
Horsham (RC)	2016	1200
Hume (C)	2016	1650
Indigo (S)	2016	1400
Kingston (C) (Vic.)	2016	1993
Knox (C)	2016	1733
Latrobe (C) (Vic.)	2016	1200
Loddon (S)	2016	809
Macedon Ranges (S)	2016	1733
Manningham (C)	2016	2050
Mansfield (S)	2016	1352
Maribyrnong (C)	2016	2000
Maroondah (C)	2016	1800
Melbourne (C)	2016	2000
Melton (C)	2016	1704
Mildura (RC)	2016	1200
Mitchell (S)	2016	1582
Moira (S)	2016	1235
Monash (C)	2016	2000
Moonee Valley (C)	2016	2000
Moorabool (S)	2016	1559
Moreland (C)	2016	1950
Mornington Peninsula (S)	2016	1733
Mount Alexander (S)	2016	1300
Moyne (S)	2016	1300
Murrindindi (S)	2016	1400
Nillumbik (S)	2016	2000
Northern Grampians (S)	2016	953
Port Phillip (C)	2016	2167
Pyrenees (S)	2016	1066
Queenscliffe (B)	2016	1623
South Gippsland (S)	2016	1300
Southern Grampians (S)	2016	1082
Stonnington (C)	2016	2200
Strathbogie (S)	2016	1170
Surf Coast (S)	2016	1842
Swan Hill (RC)	2016	1130
Towong (S)	2016	1083
Wangaratta (RC)	2016	1300
Warrnambool (C)	2016	1430
Wellington (S)	2016	1300
West Wimmera (S)	2016	657
Whitehorse (C)	2016	2000
Whittlesea (C)	2016	1798
Wodonga (C)	2016	1430
Wyndham (C)	2016	1733
Yarra (C)	2016	2167
Yarra Ranges (S)	2016	1733
Yarriambiack (S)	2016	665
Unincorporated Vic	2016	775
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2016	0
Balonne (S)	2016	1161
Banana (S)	2016	1517
Barcaldine (R)	2016	1040
Barcoo (S)	2016	338
Blackall-Tambo (R)	2016	850
Boulia (S)	2016	867
Brisbane (C)	2016	2000
Bulloo (S)	2016	715
Bundaberg (R)	2016	1322
Burdekin (S)	2016	1300
Burke (S)	2016	0
Cairns (R)	2016	1665
Carpentaria (S)	2016	999
Cassowary Coast (R)	2016	1300
Central Highlands (R) (Qld)	2016	1842
Charters Towers (R)	2016	1300
Cherbourg (S)	2016	0
Cloncurry (S)	2016	1510
Cook (S)	2016	1255
Croydon (S)	2016	0
Diamantina (S)	2016	1500
Doomadgee (S)	2016	0
Douglas (S)	2016	1560
Etheridge (S)	2016	664
Flinders (S) (Qld)	2016	780
Fraser Coast (R)	2016	1300
Gladstone (R)	2016	1950
Gold Coast (C)	2016	1950
Goondiwindi (R)	2016	1300
Gympie (R)	2016	1300
Hinchinbrook (S)	2016	1300
Hope Vale (S)	2016	1215
Ipswich (C)	2016	1600
Isaac (R)	2016	1521
Kowanyama (S)	2016	0
Livingstone (S)	2016	1875
Lockhart River (S)	2016	0
Lockyer Valley (R)	2016	1517
Logan (C)	2016	1733
Longreach (R)	2016	1300
Mackay (R)	2016	1950
McKinlay (S)	2016	669
Mapoon (S)	2016	0
Maranoa (R)	2016	1400
Mareeba (S)	2016	1517
Moreton Bay (R)	2016	1781
Mornington (S)	2016	0
Mount Isa (C)	2016	1885
Murweh (S)	2016	997
Napranum (S)	2016	0
Noosa (S)	2016	1733
North Burnett (R)	2016	1083
Northern Peninsula Area (R)	2016	0
Palm Island (S)	2016	0
Paroo (S)	2016	498
Pormpuraaw (S)	2016	867
Quilpie (S)	2016	723
Redland (C)	2016	1950
Richmond (S)	2016	710
Rockhampton (R)	2016	1517
Scenic Rim (R)	2016	1670
Somerset (R)	2016	1500
South Burnett (R)	2016	1159
Southern Downs (R)	2016	1300
Sunshine Coast (R)	2016	1800
Tablelands (R)	2016	1352
Toowoomba (R)	2016	1517
Torres (S)	2016	1705
Torres Strait Island (R)	2016	0
Townsville (C)	2016	1733
Weipa (T)	2016	2200
Western Downs (R)	2016	1400
Whitsunday (R)	2016	1733
Winton (S)	2016	1000
Woorabinda (S)	2016	0
Wujal Wujal (S)	2016	0
Yarrabah (S)	2016	0
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2016	0
Adelaide (C)	2016	1733
Adelaide Hills (DC)	2016	1733
Alexandrina (DC)	2016	1343
Anangu Pitjantjatjara (AC)	2016	0
Barossa (DC)	2016	1473
Barunga West (DC)	2016	875
Berri and Barmera (DC)	2016	1083
Burnside (C)	2016	2000
Campbelltown (C) (SA)	2016	1690
Ceduna (DC)	2016	1300
Charles Sturt (C)	2016	1700
Clare and Gilbert Valleys (DC)	2016	1300
Cleve (DC)	2016	867
Coober Pedy (DC)	2016	556
Copper Coast (DC)	2016	1161
Elliston (DC)	2016	800
Flinders Ranges (DC)	2016	900
Franklin Harbour (DC)	2016	1200
Gawler (T)	2016	1400
Goyder (DC)	2016	867
Grant (DC)	2016	1300
Holdfast Bay (C)	2016	1772
Kangaroo Island (DC)	2016	1083
Karoonda East Murray (DC)	2016	650
Kimba (DC)	2016	823
Kingston (DC) (SA)	2016	1058
Light (RegC)	2016	1452
Lower Eyre Peninsula (DC)	2016	1342
Loxton Waikerie (DC)	2016	1040
Mallala (DC)	2016	1430
Maralinga Tjarutja (AC)	2016	0
Marion (C)	2016	1625
Mid Murray (DC)	2016	1000
Mitcham (C)	2016	1842
Mount Barker (DC)	2016	1616
Mount Gambier (C)	2016	1172
Mount Remarkable (DC)	2016	890
Murray Bridge (RC)	2016	1183
Naracoorte and Lucindale (DC)	2016	1083
Northern Areas (DC)	2016	867
Norwood Payneham St Peters (C)	2016	1800
Onkaparinga (C)	2016	1447
Orroroo/Carrieton (DC)	2016	820
Peterborough (DC)	2016	563
Playford (C)	2016	1300
Port Adelaide Enfield (C)	2016	1560
Port Augusta (C)	2016	1213
Port Lincoln (C)	2016	1300
Port Pirie City and Dists (M)	2016	1001
Prospect (C)	2016	1863
Renmark Paringa (DC)	2016	1083
Robe (DC)	2016	1235
Roxby Downs (M)	2016	2000
Salisbury (C)	2016	1357
Southern Mallee (DC)	2016	650
Streaky Bay (DC)	2016	1083
Tatiara (DC)	2016	975
Tea Tree Gully (C)	2016	1517
The Coorong (DC)	2016	867
Tumby Bay (DC)	2016	1170
Unley (C)	2016	2000
Victor Harbor (C)	2016	1300
Wakefield (DC)	2016	917
Walkerville (M)	2016	2000
Wattle Range (DC)	2016	953
West Torrens (C)	2016	1700
Whyalla (C)	2016	1235
Wudinna (DC)	2016	800
Yankalilla (DC)	2016	1257
Yorke Peninsula (DC)	2016	1000
Unincorporated SA	2016	640
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2016	0
Albany (C)	2016	1600
Armadale (C)	2016	1950
Ashburton (S)	2016	2000
Augusta-Margaret River (S)	2016	1733
Bassendean (T)	2016	1922
Bayswater (C)	2016	2000
Belmont (C)	2016	1950
Beverley (S)	2016	1170
Boddington (S)	2016	1733
Boyup Brook (S)	2016	1300
Bridgetown-Greenbushes (S)	2016	1517
Brookton (S)	2016	1090
Broome (S)	2016	2573
Broomehill-Tambellup (S)	2016	800
Bruce Rock (S)	2016	800
Bunbury (C)	2016	1600
Busselton (C)	2016	1863
Cambridge (T)	2016	2800
Canning (C)	2016	1950
Capel (S)	2016	1950
Carnamah (S)	2016	737
Carnarvon (S)	2016	1517
Chapman Valley (S)	2016	2167
Chittering (S)	2016	2167
Claremont (T)	2016	2600
Cockburn (C)	2016	2058
Collie (S)	2016	1517
Coolgardie (S)	2016	1083
Coorow (S)	2016	1400
Corrigin (S)	2016	1000
Cottesloe (T)	2016	3250
Cranbrook (S)	2016	878
Cuballing (S)	2016	1226
Cue (S)	2016	775
Cunderdin (S)	2016	995
Dalwallinu (S)	2016	946
Dandaragan (S)	2016	1700
Dardanup (S)	2016	1863
Denmark (S)	2016	1573
Derby-West Kimberley (S)	2016	1733
Donnybrook-Balingup (S)	2016	1541
Dowerin (S)	2016	867
Dumbleyung (S)	2016	585
Dundas (S)	2016	604
East Fremantle (T)	2016	2500
East Pilbara (S)	2016	457
Esperance (S)	2016	1679
Exmouth (S)	2016	2167
Fremantle (C)	2016	2167
Gingin (S)	2016	1733
Gnowangerup (S)	2016	774
Goomalling (S)	2016	1105
Gosnells (C)	2016	1800
Greater Geraldton (C)	2016	1733
Halls Creek (S)	2016	981
Harvey (S)	2016	1842
Irwin (S)	2016	1733
Jerramungup (S)	2016	899
Joondalup (C)	2016	2100
Kalamunda (S)	2016	2000
Kalgoorlie/Boulder (C)	2016	1800
Karratha (C)	2016	2600
Katanning (S)	2016	1134
Kellerberrin (S)	2016	867
Kent (S)	2016	412
Kojonup (S)	2016	1083
Kondinin (S)	2016	776
Koorda (S)	2016	542
Kulin (S)	2016	650
Kwinana (C)	2016	1813
Lake Grace (S)	2016	1000
Laverton (S)	2016	679
Leonora (S)	2016	867
Mandurah (C)	2016	1820
Manjimup (S)	2016	1300
Meekatharra (S)	2016	600
Melville (C)	2016	2167
Menzies (S)	2016	0
Merredin (S)	2016	1127
Mingenew (S)	2016	700
Moora (S)	2016	1100
Morawa (S)	2016	542
Mosman Park (T)	2016	2700
Mount Magnet (S)	2016	442
Mount Marshall (S)	2016	499
Mukinbudin (S)	2016	607
Mundaring (S)	2016	2000
Murchison (S)	2016	0
Murray (S)	2016	1863
Nannup (S)	2016	1408
Narembeen (S)	2016	625
Narrogin (S)	2016	1200
Nedlands (C)	2016	3250
Ngaanyatjarraku (S)	2016	0
Northam (S)	2016	1408
Northampton (S)	2016	1517
Nungarin (S)	2016	758
Peppermint Grove (S)	2016	2817
Perenjori (S)	2016	800
Perth (C)	2016	2151
Pingelly (S)	2016	1074
Plantagenet (S)	2016	1222
Port Hedland (T)	2016	2693
Quairading (S)	2016	1002
Ravensthorpe (S)	2016	1200
Rockingham (C)	2016	1950
Sandstone (S)	2016	0
Serpentine-Jarrahdale (S)	2016	2145
Shark Bay (S)	2016	1380
South Perth (C)	2016	2173
Stirling (C)	2016	2000
Subiaco (C)	2016	2500
Swan (C)	2016	2000
Tammin (S)	2016	867
Three Springs (S)	2016	594
Toodyay (S)	2016	1600
Trayning (S)	2016	510
Upper Gascoyne (S)	2016	0
Victoria Park (T)	2016	2037
Victoria Plains (S)	2016	867
Vincent (C)	2016	2275
Wagin (S)	2016	1000
Wandering (S)	2016	1668
Wanneroo (C)	2016	2058
Waroona (S)	2016	1636
West Arthur (S)	2016	800
Westonia (S)	2016	1019
Wickepin (S)	2016	767
Williams (S)	2016	1223
Wiluna (S)	2016	0
Wongan-Ballidu (S)	2016	1083
Woodanilling (S)	2016	817
Wyalkatchem (S)	2016	604
Wyndham-East Kimberley (S)	2016	2167
Yalgoo (S)	2016	325
Yilgarn (S)	2016	790
York (S)	2016	1500
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2016	0
Break O'Day (M)	2016	910
Brighton (M)	2016	1300
Burnie (C)	2016	1083
Central Coast (M) (Tas.)	2016	1213
Central Highlands (M) (Tas.)	2016	867
Circular Head (M)	2016	1083
Clarence (C)	2016	1452
Derwent Valley (M)	2016	1148
Devonport (C)	2016	1200
Dorset (M)	2016	1020
Flinders (M) (Tas.)	2016	758
George Town (M)	2016	1083
Glamorgan/Spring Bay (M)	2016	1083
Glenorchy (C)	2016	1300
Hobart (C)	2016	1647
Huon Valley (M)	2016	1300
Kentish (M)	2016	1083
King Island (M)	2016	1000
Kingborough (M)	2016	1517
Latrobe (M) (Tas.)	2016	1300
Launceston (C)	2016	1291
Meander Valley (M)	2016	1300
Northern Midlands (M)	2016	1300
Sorell (M)	2016	1300
Southern Midlands (M)	2016	1192
Tasman (M)	2016	910
Waratah/Wynyard (M)	2016	1170
West Coast (M)	2016	673
West Tamar (M)	2016	1300
No usual address (Tas.)	2016	0
Migratory - Offshore - Shipping (Tas.)	2016	0
Alice Springs (T)	2016	1950
Barkly (R)	2016	1200
Belyuen (S)	2016	0
Central Desert (R)	2016	1040
Coomalie (S)	2016	1348
Darwin (C)	2016	2167
East Arnhem (R)	2016	0
Katherine (T)	2016	1733
Litchfield (M)	2016	2400
MacDonnell (R)	2016	0
Palmerston (C)	2016	2253
Roper Gulf (R)	2016	1278
Tiwi Islands (R)	2016	0
Victoria Daly (R)	2016	1517
Wagait (S)	2016	1733
West Arnhem (R)	2016	2550
West Daly (R)	2016	355
Unincorporated NT	2016	1550
No usual address (NT)	2016	0
Migratory - Offshore - Shipping (NT)	2016	0
Unincorporated ACT	2016	2058
No usual address (ACT)	2016	0
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2016	1400
No usual address (OT)	2016	0
Migratory - Offshore - Shipping (OT)	2016	0
