LGA_NAME16	Year	labourForceParticipation
Toowoomba (R)	2016	59.6
Torres (S)	2006	63.1
Torres (S)	2011	62
Torres (S)	2016	57.1
Torres Strait Island (R)	2006	68.8
Torres Strait Island (R)	2011	60.7
Torres Strait Island (R)	2016	39
Townsville (C)	2006	65.9
Townsville (C)	2011	66.6
Townsville (C)	2016	63.7
Weipa (T)	2006	80.5
Weipa (T)	2011	76.9
Weipa (T)	2016	76.9
Western Downs (R)	2006	62.5
Western Downs (R)	2011	62.3
Western Downs (R)	2016	59.1
Whitsunday (R)	2006	62.7
Whitsunday (R)	2011	63.6
Whitsunday (R)	2016	60.7
Winton (S)	2006	62.9
Winton (S)	2011	66.4
Winton (S)	2016	62.3
Woorabinda (S)	2006	50.6
Woorabinda (S)	2011	45.6
Woorabinda (S)	2016	37.2
Wujal Wujal (S)	2006	65.6
Wujal Wujal (S)	2011	57.3
Wujal Wujal (S)	2016	42.4
Yarrabah (S)	2006	68.8
Yarrabah (S)	2011	51.1
Yarrabah (S)	2016	37.1
No usual address (Qld)	2006	43.1
No usual address (Qld)	2011	39.7
No usual address (Qld)	2016	34.8
Migratory - Offshore - Shipping (Qld)	2006	82.8
Migratory - Offshore - Shipping (Qld)	2011	54.3
Migratory - Offshore - Shipping (Qld)	2016	47.2
Adelaide (C)	2006	53.6
Adelaide (C)	2011	54.1
Adelaide (C)	2016	50.5
Adelaide Hills (DC)	2006	67.6
Adelaide Hills (DC)	2011	67.8
Adelaide Hills (DC)	2016	64.6
Alexandrina (DC)	2006	51.2
Alexandrina (DC)	2011	53.4
Alexandrina (DC)	2016	49
Anangu Pitjantjatjara (AC)	2006	52.3
Anangu Pitjantjatjara (AC)	2011	44.7
Anangu Pitjantjatjara (AC)	2016	39.9
Barossa (DC)	2006	64.6
Barossa (DC)	2011	64.1
Barossa (DC)	2016	61
Barunga West (DC)	2006	47.7
Barunga West (DC)	2011	47
Barunga West (DC)	2016	44
Berri and Barmera (DC)	2006	59.3
Berri and Barmera (DC)	2011	54.9
Berri and Barmera (DC)	2016	53.5
Burnside (C)	2006	59.2
Burnside (C)	2011	59.9
Burnside (C)	2016	58.8
Campbelltown (C) (SA)	2006	56.9
Campbelltown (C) (SA)	2011	58.5
Campbelltown (C) (SA)	2016	58.8
Ceduna (DC)	2006	62.4
Ceduna (DC)	2011	65.2
Ceduna (DC)	2016	58.6
Charles Sturt (C)	2006	55.4
Charles Sturt (C)	2011	58.1
Charles Sturt (C)	2016	59
Clare and Gilbert Valleys (DC)	2006	62.6
Clare and Gilbert Valleys (DC)	2011	62
Clare and Gilbert Valleys (DC)	2016	58.1
Cleve (DC)	2006	65.9
Cleve (DC)	2011	66.4
Cleve (DC)	2016	61.8
Coober Pedy (DC)	2006	48.1
Coober Pedy (DC)	2011	53.2
Coober Pedy (DC)	2016	47.6
Copper Coast (DC)	2006	46.8
Copper Coast (DC)	2011	48.2
Copper Coast (DC)	2016	45.5
Elliston (DC)	2006	66.3
Elliston (DC)	2011	66.5
Elliston (DC)	2016	62
Flinders Ranges (DC)	2006	49.8
Flinders Ranges (DC)	2011	57.8
Flinders Ranges (DC)	2016	52.7
Franklin Harbour (DC)	2006	58.8
Franklin Harbour (DC)	2011	57.7
Franklin Harbour (DC)	2016	53.4
Gawler (T)	2006	57.3
Gawler (T)	2011	58.7
Gawler (T)	2016	56.7
Goyder (DC)	2006	56.9
Goyder (DC)	2011	54.8
Goyder (DC)	2016	53
Grant (DC)	2006	67.9
Grant (DC)	2011	66.8
Grant (DC)	2016	60.3
Holdfast Bay (C)	2006	57.3
Holdfast Bay (C)	2011	59.5
Holdfast Bay (C)	2016	58.6
Kangaroo Island (DC)	2006	64.3
Kangaroo Island (DC)	2011	63.3
Kangaroo Island (DC)	2016	58.1
Karoonda East Murray (DC)	2006	61.8
Karoonda East Murray (DC)	2011	61
Karoonda East Murray (DC)	2016	56.8
Kimba (DC)	2006	69
Kimba (DC)	2011	66.9
Kimba (DC)	2016	66
Kingston (DC) (SA)	2006	60.7
Kingston (DC) (SA)	2011	57.5
Kingston (DC) (SA)	2016	55.7
Light (RegC)	2006	66.3
Light (RegC)	2011	67.6
Light (RegC)	2016	66.9
Lower Eyre Peninsula (DC)	2006	60.7
Lower Eyre Peninsula (DC)	2011	63.4
Lower Eyre Peninsula (DC)	2016	60.2
Loxton Waikerie (DC)	2006	61.8
Loxton Waikerie (DC)	2011	59.1
Loxton Waikerie (DC)	2016	55.3
Mallala (DC)	2006	61.8
Mallala (DC)	2011	63.3
Mallala (DC)	2016	62.1
Maralinga Tjarutja (AC)	2006	37.7
Maralinga Tjarutja (AC)	2011	42.9
Maralinga Tjarutja (AC)	2016	16
Marion (C)	2006	59.3
Marion (C)	2011	61.2
Marion (C)	2016	60.7
Mid Murray (DC)	2006	52.3
Mid Murray (DC)	2011	50.3
Mid Murray (DC)	2016	46.8
Mitcham (C)	2006	62
Mitcham (C)	2011	62.9
Mitcham (C)	2016	61.6
Mount Barker (DC)	2006	66.2
Mount Barker (DC)	2011	68.2
Mount Barker (DC)	2016	64.8
Mount Gambier (C)	2006	62.8
Mount Gambier (C)	2011	61.7
Mount Gambier (C)	2016	59.1
Mount Remarkable (DC)	2006	56.1
Mount Remarkable (DC)	2011	55.2
Mount Remarkable (DC)	2016	54.3
Murray Bridge (RC)	2006	55.5
Murray Bridge (RC)	2011	54.2
Murray Bridge (RC)	2016	53.9
Naracoorte and Lucindale (DC)	2006	68.3
Naracoorte and Lucindale (DC)	2011	67.6
Naracoorte and Lucindale (DC)	2016	66
Northern Areas (DC)	2006	57
Northern Areas (DC)	2011	59.2
Northern Areas (DC)	2016	56.1
Norwood Payneham St Peters (C)	2006	58.5
Norwood Payneham St Peters (C)	2011	60.6
Norwood Payneham St Peters (C)	2016	60
Onkaparinga (C)	2006	62.5
Onkaparinga (C)	2011	62.8
Onkaparinga (C)	2016	59.8
Orroroo/Carrieton (DC)	2006	59.5
Orroroo/Carrieton (DC)	2011	61.8
Orroroo/Carrieton (DC)	2016	56.3
Peterborough (DC)	2006	39
Peterborough (DC)	2011	40
Peterborough (DC)	2016	39.2
Playford (C)	2006	53.7
Playford (C)	2011	55.5
Playford (C)	2016	54.4
Port Adelaide Enfield (C)	2006	53.5
Port Adelaide Enfield (C)	2011	56.5
Port Adelaide Enfield (C)	2016	57.1
Port Augusta (C)	2006	55.5
Port Augusta (C)	2011	54.7
Port Augusta (C)	2016	52.4
Port Lincoln (C)	2006	60.4
Port Lincoln (C)	2011	60.5
Port Lincoln (C)	2016	57.7
Port Pirie City and Dists (M)	2006	50.8
Port Pirie City and Dists (M)	2011	51.6
Port Pirie City and Dists (M)	2016	51.2
Prospect (C)	2006	65.2
Prospect (C)	2011	66.6
Prospect (C)	2016	66.4
Renmark Paringa (DC)	2006	59.6
Renmark Paringa (DC)	2011	58.1
Renmark Paringa (DC)	2016	55.6
Robe (DC)	2006	49.9
Robe (DC)	2011	62.8
Robe (DC)	2016	59
Roxby Downs (M)	2006	82
Roxby Downs (M)	2011	77.9
Roxby Downs (M)	2016	79.7
Salisbury (C)	2006	59.3
Salisbury (C)	2011	59.4
Salisbury (C)	2016	57.6
Southern Mallee (DC)	2006	67.9
Southern Mallee (DC)	2011	63.3
Southern Mallee (DC)	2016	60.4
Streaky Bay (DC)	2006	64.3
Streaky Bay (DC)	2011	62.8
Streaky Bay (DC)	2016	62.1
Tatiara (DC)	2006	69.5
Tatiara (DC)	2011	67.8
Tatiara (DC)	2016	65.6
Tea Tree Gully (C)	2006	65.7
Tea Tree Gully (C)	2011	65.1
Tea Tree Gully (C)	2016	62.8
The Coorong (DC)	2006	60.3
The Coorong (DC)	2011	57.6
The Coorong (DC)	2016	54.7
Tumby Bay (DC)	2006	54.7
Tumby Bay (DC)	2011	57.9
Tumby Bay (DC)	2016	51.9
Unley (C)	2006	63.7
Unley (C)	2011	64.1
Unley (C)	2016	61.9
Victor Harbor (C)	2006	41.6
Victor Harbor (C)	2011	41.5
Victor Harbor (C)	2016	39.3
Wakefield (DC)	2006	55.3
Wakefield (DC)	2011	55.8
Wakefield (DC)	2016	54.5
Walkerville (M)	2006	56.9
Walkerville (M)	2011	57
Walkerville (M)	2016	56.2
Wattle Range (DC)	2006	62
Wattle Range (DC)	2011	60.9
Wattle Range (DC)	2016	56.1
West Torrens (C)	2006	57
West Torrens (C)	2011	60.2
West Torrens (C)	2016	60.7
Whyalla (C)	2006	55.6
Whyalla (C)	2011	56.5
Whyalla (C)	2016	53.7
Wudinna (DC)	2006	70
Wudinna (DC)	2011	72.1
Wudinna (DC)	2016	67.9
Yankalilla (DC)	2006	49.2
Yankalilla (DC)	2011	51.8
Yankalilla (DC)	2016	47.6
Yorke Peninsula (DC)	2006	46.9
Yorke Peninsula (DC)	2011	47.1
Yorke Peninsula (DC)	2016	45.3
Unincorporated SA	2006	66
Unincorporated SA	2011	65.6
Unincorporated SA	2016	58.3
No usual address (SA)	2006	48.7
No usual address (SA)	2011	42.1
No usual address (SA)	2016	39.2
Migratory - Offshore - Shipping (SA)	2006	100
Migratory - Offshore - Shipping (SA)	2011	100
Migratory - Offshore - Shipping (SA)	2016	100
Albany (C)	2006	58.1
Albany (C)	2011	58.7
Albany (C)	2016	56.5
Armadale (C)	2006	61.1
Armadale (C)	2011	64.3
Armadale (C)	2016	64.6
Ashburton (S)	2006	74.6
Ashburton (S)	2011	74.8
Ashburton (S)	2016	74.9
Augusta-Margaret River (S)	2006	65.4
Augusta-Margaret River (S)	2011	64.5
Augusta-Margaret River (S)	2016	64.8
Bassendean (T)	2006	61.8
Bassendean (T)	2011	64.2
Bassendean (T)	2016	63.5
Bayswater (C)	2006	61.9
Bayswater (C)	2011	64.7
Bayswater (C)	2016	64.5
Belmont (C)	2006	58.2
Belmont (C)	2011	62.1
Belmont (C)	2016	61.2
Beverley (S)	2006	51.5
Beverley (S)	2011	49.6
Beverley (S)	2016	48.5
Boddington (S)	2006	62.4
Boddington (S)	2011	63.5
Boddington (S)	2016	63.1
Boyup Brook (S)	2006	65.1
Boyup Brook (S)	2011	61.4
Boyup Brook (S)	2016	57.4
Bridgetown-Greenbushes (S)	2006	59.9
Bridgetown-Greenbushes (S)	2011	59.4
Bridgetown-Greenbushes (S)	2016	53.8
Brookton (S)	2006	63.4
Brookton (S)	2011	56.6
Brookton (S)	2016	53
Broome (S)	2006	62.6
Broome (S)	2011	65.1
Broome (S)	2016	64
Broomehill-Tambellup (S)	2006	60.2
Broomehill-Tambellup (S)	2011	61.9
Broomehill-Tambellup (S)	2016	57.7
Bruce Rock (S)	2006	60.5
Bruce Rock (S)	2011	62.2
Bruce Rock (S)	2016	58.5
Bunbury (C)	2006	60.1
Bunbury (C)	2011	60.2
Bunbury (C)	2016	57.1
Busselton (C)	2006	61.4
Busselton (C)	2011	60.9
Busselton (C)	2016	58.4
Cambridge (T)	2006	62.8
Cambridge (T)	2011	65.6
Cambridge (T)	2016	64.6
Canning (C)	2006	63.4
Canning (C)	2011	64.3
Canning (C)	2016	63.1
Capel (S)	2006	67.8
Capel (S)	2011	67.5
Capel (S)	2016	66.3
Carnamah (S)	2006	67.4
Carnamah (S)	2011	60.7
Carnamah (S)	2016	60.6
Carnarvon (S)	2006	62.7
Carnarvon (S)	2011	59.4
Carnarvon (S)	2016	57.1
Chapman Valley (S)	2006	71.4
Chapman Valley (S)	2011	64.5
Chapman Valley (S)	2016	62.5
Chittering (S)	2006	63.6
Chittering (S)	2011	63.2
Chittering (S)	2016	61
Claremont (T)	2006	54.9
Claremont (T)	2011	56.9
Claremont (T)	2016	55.3
Cockburn (C)	2006	64.7
Cockburn (C)	2011	68.2
Cockburn (C)	2016	67
Collie (S)	2006	55.8
Collie (S)	2011	59.3
Collie (S)	2016	51.8
Coolgardie (S)	2006	64.8
Coolgardie (S)	2011	64.5
Coolgardie (S)	2016	58.1
Coorow (S)	2006	63.3
Coorow (S)	2011	57.7
Coorow (S)	2016	53.2
Corrigin (S)	2006	67.1
Corrigin (S)	2011	67.2
Corrigin (S)	2016	60.2
Cottesloe (T)	2006	58.7
Cottesloe (T)	2011	61.5
Cottesloe (T)	2016	62
Cranbrook (S)	2006	69.6
Cranbrook (S)	2011	62.6
Cranbrook (S)	2016	61
Cuballing (S)	2006	66.9
Cuballing (S)	2011	64
Cuballing (S)	2016	55.1
Cue (S)	2006	54.9
Cue (S)	2011	42.7
Cue (S)	2016	42.2
Cunderdin (S)	2006	62.9
Cunderdin (S)	2011	59.7
Cunderdin (S)	2016	56.1
Dalwallinu (S)	2006	71.4
Dalwallinu (S)	2011	72.1
Dalwallinu (S)	2016	66.1
Dandaragan (S)	2006	59.8
Dandaragan (S)	2011	58.7
Dandaragan (S)	2016	56.1
Dardanup (S)	2006	65.1
Dardanup (S)	2011	66.7
Dardanup (S)	2016	62.8
Denmark (S)	2006	55.8
Denmark (S)	2011	56.1
Denmark (S)	2016	51.4
Derby-West Kimberley (S)	2006	63
Derby-West Kimberley (S)	2011	42.3
Derby-West Kimberley (S)	2016	47.2
Donnybrook-Balingup (S)	2006	62.2
Donnybrook-Balingup (S)	2011	59.9
Donnybrook-Balingup (S)	2016	55.6
Dowerin (S)	2006	68.3
Dowerin (S)	2011	65.3
Dowerin (S)	2016	59.5
Dumbleyung (S)	2006	72.2
Dumbleyung (S)	2011	72.4
Dumbleyung (S)	2016	62.9
Dundas (S)	2006	62.4
Dundas (S)	2011	59.1
Dundas (S)	2016	51
East Fremantle (T)	2006	64.3
East Fremantle (T)	2011	65.6
East Fremantle (T)	2016	65.5
East Pilbara (S)	2006	65.8
East Pilbara (S)	2011	69
East Pilbara (S)	2016	68
Esperance (S)	2006	63.7
Esperance (S)	2011	63.5
Esperance (S)	2016	59.1
Exmouth (S)	2006	68.6
Exmouth (S)	2011	68.4
Exmouth (S)	2016	67.9
Fremantle (C)	2006	58.7
Fremantle (C)	2011	61.9
Fremantle (C)	2016	60.8
Gingin (S)	2006	51.1
Gingin (S)	2011	54.2
Gingin (S)	2016	53.1
Gnowangerup (S)	2006	73
Gnowangerup (S)	2011	69.1
Gnowangerup (S)	2016	64.2
Goomalling (S)	2006	63.8
Goomalling (S)	2011	60.2
Goomalling (S)	2016	57.4
Gosnells (C)	2006	64
Gosnells (C)	2011	64.3
Gosnells (C)	2016	62.8
Greater Geraldton (C)	2006	60.1
Greater Geraldton (C)	2011	63.3
Greater Geraldton (C)	2016	59.8
Halls Creek (S)	2006	50.1
Halls Creek (S)	2011	46
Halls Creek (S)	2016	36.2
Harvey (S)	2006	63.9
Harvey (S)	2011	64.1
Harvey (S)	2016	61.3
Irwin (S)	2006	55
Irwin (S)	2011	56.7
Irwin (S)	2016	51
Jerramungup (S)	2006	75.5
Jerramungup (S)	2011	72.5
Jerramungup (S)	2016	66.9
Joondalup (C)	2006	70.3
Joondalup (C)	2011	70.2
Joondalup (C)	2016	67.9
Kalamunda (S)	2006	65.9
Kalamunda (S)	2011	65.6
Kalamunda (S)	2016	63.4
Kalgoorlie/Boulder (C)	2006	67.9
Kalgoorlie/Boulder (C)	2011	68.9
Kalgoorlie/Boulder (C)	2016	68.3
Karratha (C)	2006	68.8
Karratha (C)	2011	67.2
Karratha (C)	2016	70.4
Katanning (S)	2006	58.9
Katanning (S)	2011	60.2
Katanning (S)	2016	56.3
Kellerberrin (S)	2006	54.8
Kellerberrin (S)	2011	52.2
Kellerberrin (S)	2016	50.3
Kent (S)	2006	78.1
Kent (S)	2011	77.4
Kent (S)	2016	70.3
Kojonup (S)	2006	66.9
Kojonup (S)	2011	64
Kojonup (S)	2016	63.3
Kondinin (S)	2006	77
Kondinin (S)	2011	71.9
Kondinin (S)	2016	71.7
Koorda (S)	2006	64.1
Koorda (S)	2011	63.1
Koorda (S)	2016	60.1
Kulin (S)	2006	77.1
Kulin (S)	2011	75.1
Kulin (S)	2016	68.3
Kwinana (C)	2006	55.2
Kwinana (C)	2011	60.6
Kwinana (C)	2016	62.3
Lake Grace (S)	2006	80.4
Lake Grace (S)	2011	76.7
Lake Grace (S)	2016	72.4
Laverton (S)	2006	70.3
Laverton (S)	2011	72.1
Laverton (S)	2016	64
Leonora (S)	2006	78.4
Leonora (S)	2011	63.7
Leonora (S)	2016	58.9
Mandurah (C)	2006	49.2
Mandurah (C)	2011	52.6
Mandurah (C)	2016	52.6
Manjimup (S)	2006	61.7
Manjimup (S)	2011	62.4
Manjimup (S)	2016	58.6
Meekatharra (S)	2006	54.6
Meekatharra (S)	2011	59.9
Meekatharra (S)	2016	56.1
Melville (C)	2006	61.7
Melville (C)	2011	63.5
Melville (C)	2016	61.6
Menzies (S)	2006	59.4
Menzies (S)	2011	42.1
Menzies (S)	2016	57.5
Merredin (S)	2006	64.7
Merredin (S)	2011	63.8
Merredin (S)	2016	58.6
Mingenew (S)	2006	65.5
Mingenew (S)	2011	69.8
Mingenew (S)	2016	64.9
Moora (S)	2006	68.7
Moora (S)	2011	67.1
Moora (S)	2016	62.6
Morawa (S)	2006	62.3
Morawa (S)	2011	62.3
Morawa (S)	2016	56.4
Mosman Park (T)	2006	57.6
Mosman Park (T)	2011	60.5
Mosman Park (T)	2016	59.7
Mount Magnet (S)	2006	57.3
Mount Magnet (S)	2011	52.4
Mount Magnet (S)	2016	43.7
Mount Marshall (S)	2006	74.7
Mount Marshall (S)	2011	73.6
Mount Marshall (S)	2016	69.5
Mukinbudin (S)	2006	72.3
Mukinbudin (S)	2011	70.4
Mukinbudin (S)	2016	64.6
Mundaring (S)	2006	62.8
Mundaring (S)	2011	62.2
Mundaring (S)	2016	59.2
Murchison (S)	2006	72.1
Murchison (S)	2011	57.3
Murchison (S)	2016	43.5
Murray (S)	2006	51.3
Murray (S)	2011	54.6
Murray (S)	2016	52.4
Nannup (S)	2006	59.6
Nannup (S)	2011	58.2
Nannup (S)	2016	51.5
Narembeen (S)	2006	67.6
Narembeen (S)	2011	65.7
Narembeen (S)	2016	62.8
Narrogin (S)	2006	60.3
Narrogin (S)	2011	59.4
Narrogin (S)	2016	54.2
Nedlands (C)	2006	59.1
Nedlands (C)	2011	61.2
Nedlands (C)	2016	61
Ngaanyatjarraku (S)	2006	59.8
Ngaanyatjarraku (S)	2011	45.6
Ngaanyatjarraku (S)	2016	32
Northam (S)	2006	56.6
Northam (S)	2011	57.8
Northam (S)	2016	52.6
Northampton (S)	2006	58.3
Northampton (S)	2011	54.7
Northampton (S)	2016	52.7
Nungarin (S)	2006	65.8
Nungarin (S)	2011	60.8
Nungarin (S)	2016	56.8
Peppermint Grove (S)	2006	53.1
Peppermint Grove (S)	2011	50.5
Peppermint Grove (S)	2016	54.2
Perenjori (S)	2006	72.4
Perenjori (S)	2011	77.7
Perenjori (S)	2016	75.4
Perth (C)	2006	51.9
Perth (C)	2011	63.3
Perth (C)	2016	61.5
Pingelly (S)	2006	53
Pingelly (S)	2011	53.8
Pingelly (S)	2016	48.3
Plantagenet (S)	2006	60.4
Plantagenet (S)	2011	58.6
Plantagenet (S)	2016	54.3
Port Hedland (T)	2006	58.8
Port Hedland (T)	2011	66.2
Port Hedland (T)	2016	67.4
Quairading (S)	2006	60.6
Quairading (S)	2011	55.3
Quairading (S)	2016	46.6
Ravensthorpe (S)	2006	74.3
Ravensthorpe (S)	2011	67.4
Ravensthorpe (S)	2016	57.7
Rockingham (C)	2006	58.8
Rockingham (C)	2011	63.6
Rockingham (C)	2016	62.5
Sandstone (S)	2006	52.8
Sandstone (S)	2011	51.1
Sandstone (S)	2016	45.3
Serpentine-Jarrahdale (S)	2006	66
Serpentine-Jarrahdale (S)	2011	67.6
Serpentine-Jarrahdale (S)	2016	67.8
Shark Bay (S)	2006	59.4
Shark Bay (S)	2011	64.4
Shark Bay (S)	2016	56.2
South Perth (C)	2006	61.8
South Perth (C)	2011	64.1
South Perth (C)	2016	62.3
Stirling (C)	2006	61
Stirling (C)	2011	63.5
Stirling (C)	2016	63.8
Subiaco (C)	2006	62.7
Subiaco (C)	2011	62.5
Subiaco (C)	2016	60.5
Swan (C)	2006	64.6
Swan (C)	2011	66.7
Swan (C)	2016	65.9
Tammin (S)	2006	62.2
Tammin (S)	2011	61.6
Tammin (S)	2016	59.1
Three Springs (S)	2006	67.6
Three Springs (S)	2011	63.2
Three Springs (S)	2016	61.1
Toodyay (S)	2006	56.9
Toodyay (S)	2011	56
Toodyay (S)	2016	53.2
Trayning (S)	2006	59.7
Trayning (S)	2011	58.5
Trayning (S)	2016	47.3
Upper Gascoyne (S)	2006	70
Upper Gascoyne (S)	2011	54.6
Upper Gascoyne (S)	2016	44
Victoria Park (T)	2006	58.5
Victoria Park (T)	2011	63
Victoria Park (T)	2016	63.3
Victoria Plains (S)	2006	69.6
Victoria Plains (S)	2011	71
Victoria Plains (S)	2016	62.7
Vincent (C)	2006	64
Vincent (C)	2011	68.8
Vincent (C)	2016	69.2
Wagin (S)	2006	56.8
Wagin (S)	2011	57.1
Wagin (S)	2016	52.5
Wandering (S)	2006	65
Wandering (S)	2011	69.6
Wandering (S)	2016	62.4
Wanneroo (C)	2006	64
Wanneroo (C)	2011	67.1
Wanneroo (C)	2016	67.2
Waroona (S)	2006	57.3
Waroona (S)	2011	56.6
Waroona (S)	2016	52.9
West Arthur (S)	2006	76.2
West Arthur (S)	2011	70
West Arthur (S)	2016	66.2
Westonia (S)	2006	76
Westonia (S)	2011	74.5
Westonia (S)	2016	68
Wickepin (S)	2006	70.9
Wickepin (S)	2011	64.5
Wickepin (S)	2016	63.9
Williams (S)	2006	74.8
Williams (S)	2011	75.5
Williams (S)	2016	68.7
Wiluna (S)	2006	72
Wiluna (S)	2011	73.1
Wiluna (S)	2016	60.8
Wongan-Ballidu (S)	2006	73
Wongan-Ballidu (S)	2011	68.8
Wongan-Ballidu (S)	2016	67.6
Woodanilling (S)	2006	75
Woodanilling (S)	2011	69.2
Woodanilling (S)	2016	68.6
Wyalkatchem (S)	2006	61.5
Wyalkatchem (S)	2011	52.2
Wyalkatchem (S)	2016	48.1
Wyndham-East Kimberley (S)	2006	63.5
Wyndham-East Kimberley (S)	2011	66.7
Wyndham-East Kimberley (S)	2016	62.9
Yalgoo (S)	2006	59.7
Yalgoo (S)	2011	70
Yalgoo (S)	2016	64.2
Yilgarn (S)	2006	70.5
Yilgarn (S)	2011	70.2
Yilgarn (S)	2016	61.8
York (S)	2006	57.2
York (S)	2011	55.2
York (S)	2016	49.7
No usual address (WA)	2006	48
No usual address (WA)	2011	45.7
No usual address (WA)	2016	39.8
Migratory - Offshore - Shipping (WA)	2006	87.9
Migratory - Offshore - Shipping (WA)	2011	80.3
Migratory - Offshore - Shipping (WA)	2016	78.6
Break O'Day (M)	2006	44.2
Break O'Day (M)	2011	43.8
Break O'Day (M)	2016	41.4
Brighton (M)	2006	55.9
Brighton (M)	2011	56.9
Brighton (M)	2016	57.1
Burnie (C)	2006	56
Burnie (C)	2011	56.4
Burnie (C)	2016	54.4
Central Coast (M) (Tas.)	2006	55
Central Coast (M) (Tas.)	2011	54.9
Central Coast (M) (Tas.)	2016	53.5
Central Highlands (M) (Tas.)	2006	49.8
Central Highlands (M) (Tas.)	2011	49.5
Central Highlands (M) (Tas.)	2016	49.6
Circular Head (M)	2006	64.4
Circular Head (M)	2011	62.1
Circular Head (M)	2016	60
Clarence (C)	2006	58.4
Clarence (C)	2011	59.4
Clarence (C)	2016	57.6
Derwent Valley (M)	2006	52.9
Derwent Valley (M)	2011	54.7
Derwent Valley (M)	2016	51.8
Devonport (C)	2006	54.4
Devonport (C)	2011	54.3
Devonport (C)	2016	52.2
Dorset (M)	2006	54.9
Dorset (M)	2011	53.8
Dorset (M)	2016	50.7
Flinders (M) (Tas.)	2006	64.8
Flinders (M) (Tas.)	2011	62.8
Flinders (M) (Tas.)	2016	59.9
George Town (M)	2006	51.5
George Town (M)	2011	51
George Town (M)	2016	45.3
Glamorgan/Spring Bay (M)	2006	51.6
Glamorgan/Spring Bay (M)	2011	49.1
Glamorgan/Spring Bay (M)	2016	45.3
Glenorchy (C)	2006	54.7
Glenorchy (C)	2011	56.6
Glenorchy (C)	2016	55.2
Hobart (C)	2006	61.9
Hobart (C)	2011	62.3
Hobart (C)	2016	60.2
Huon Valley (M)	2006	54.1
Huon Valley (M)	2011	54.9
Huon Valley (M)	2016	51.4
Kentish (M)	2006	56.9
Kentish (M)	2011	54.7
Kentish (M)	2016	51.3
King Island (M)	2006	69
King Island (M)	2011	66.5
King Island (M)	2016	61.8
Kingborough (M)	2006	62
Kingborough (M)	2011	62.6
Kingborough (M)	2016	59.9
Latrobe (M) (Tas.)	2006	58.2
Latrobe (M) (Tas.)	2011	57.3
Latrobe (M) (Tas.)	2016	53.7
Launceston (C)	2006	57.4
Launceston (C)	2011	58.3
Launceston (C)	2016	55.9
Meander Valley (M)	2006	59.6
Meander Valley (M)	2011	59.2
Meander Valley (M)	2016	56.3
Northern Midlands (M)	2006	57.3
Northern Midlands (M)	2011	57.7
Northern Midlands (M)	2016	55.2
Sorell (M)	2006	59
Sorell (M)	2011	60.1
Sorell (M)	2016	57.6
Southern Midlands (M)	2006	57.5
Southern Midlands (M)	2011	56.4
Southern Midlands (M)	2016	55.9
Tasman (M)	2006	48.5
Tasman (M)	2011	47.3
Tasman (M)	2016	41.4
Waratah/Wynyard (M)	2006	53.8
Waratah/Wynyard (M)	2011	54.6
Waratah/Wynyard (M)	2016	51.5
West Coast (M)	2006	58
West Coast (M)	2011	58.7
West Coast (M)	2016	52
West Tamar (M)	2006	58
West Tamar (M)	2011	59.6
West Tamar (M)	2016	56.2
No usual address (Tas.)	2006	50.1
No usual address (Tas.)	2011	42.4
No usual address (Tas.)	2016	41.3
Migratory - Offshore - Shipping (Tas.)	2006	83.1
Migratory - Offshore - Shipping (Tas.)	2011	74.5
Migratory - Offshore - Shipping (Tas.)	2016	68.5
Alice Springs (T)	2006	69.6
Alice Springs (T)	2011	69.4
Alice Springs (T)	2016	66.6
Barkly (R)	2006	43.9
Barkly (R)	2011	44.7
Barkly (R)	2016	51.3
Belyuen (S)	2006	48.1
Belyuen (S)	2011	37.7
Belyuen (S)	2016	23.7
Central Desert (R)	2006	37.5
Central Desert (R)	2011	43.1
Central Desert (R)	2016	51.6
Coomalie (S)	2006	49
Coomalie (S)	2011	52.7
Coomalie (S)	2016	47.1
Darwin (C)	2006	68.7
Darwin (C)	2011	68.2
Darwin (C)	2016	68.7
East Arnhem (R)	2006	39.3
East Arnhem (R)	2011	41.5
East Arnhem (R)	2016	31.1
Katherine (T)	2006	62.8
Katherine (T)	2011	66.5
Katherine (T)	2016	56.9
Litchfield (M)	2006	68.3
Litchfield (M)	2011	68.2
Litchfield (M)	2016	62.3
MacDonnell (R)	2006	37.8
MacDonnell (R)	2011	37.9
MacDonnell (R)	2016	31.2
Palmerston (C)	2006	69.4
Palmerston (C)	2011	73
Palmerston (C)	2016	72.7
Roper Gulf (R)	2006	45.4
Roper Gulf (R)	2011	49.8
Roper Gulf (R)	2016	37.5
Tiwi Islands (R)	2006	54.2
Tiwi Islands (R)	2011	44.4
Tiwi Islands (R)	2016	37.3
Victoria Daly (R)	2006	60.7
Victoria Daly (R)	2011	57.1
Victoria Daly (R)	2016	43.8
Wagait (S)	2006	60
Wagait (S)	2011	65.6
Wagait (S)	2016	64.8
West Arnhem (R)	2006	45.9
West Arnhem (R)	2011	56
West Arnhem (R)	2016	40
West Daly (R)	2006	29.5
West Daly (R)	2011	40.9
West Daly (R)	2016	37.1
Unincorporated NT	2006	68.2
Unincorporated NT	2011	65.9
Unincorporated NT	2016	69
No usual address (NT)	2006	38.7
No usual address (NT)	2011	39.4
No usual address (NT)	2016	28.4
Migratory - Offshore - Shipping (NT)	2006	80.9
Migratory - Offshore - Shipping (NT)	2011	77.6
