LGA_NAME16	Year	BornAust	persons
Alpine (S)	2006	1	9527
Alpine (S)	2011	0	1784
Alpine (S)	2011	1	9565
Alpine (S)	2016	0	1700
Alpine (S)	2016	1	9423
Ararat (RC)	2006	0	781
Ararat (RC)	2006	1	9955
Ararat (RC)	2011	0	981
Ararat (RC)	2011	1	9695
Ararat (RC)	2016	0	1106
Ararat (RC)	2016	1	9546
Ballarat (C)	2006	0	6646
Ballarat (C)	2006	1	73617
Ballarat (C)	2011	0	8092
Ballarat (C)	2011	1	80795
Ballarat (C)	2016	0	9655
Ballarat (C)	2016	1	85068
Banyule (C)	2006	0	22699
Banyule (C)	2006	1	86173
Banyule (C)	2011	0	26186
Banyule (C)	2011	1	87377
Banyule (C)	2016	0	28609
Banyule (C)	2016	1	87093
Bass Coast (S)	2006	0	3763
Bass Coast (S)	2006	1	20507
Bass Coast (S)	2011	0	4420
Bass Coast (S)	2011	1	23465
Bass Coast (S)	2016	0	4740
Bass Coast (S)	2016	1	25155
Baw Baw (S)	2006	0	3640
Baw Baw (S)	2006	1	31629
Baw Baw (S)	2011	0	4453
Baw Baw (S)	2011	1	36582
Baw Baw (S)	2016	0	5253
Baw Baw (S)	2016	1	39415
Bayside (C)	2006	0	19682
Bayside (C)	2006	1	63010
Bayside (C)	2011	0	22478
Bayside (C)	2011	1	65051
Bayside (C)	2016	0	24830
Bayside (C)	2016	1	66948
Benalla (RC)	2006	0	1029
Benalla (RC)	2006	1	11833
Benalla (RC)	2011	0	1098
Benalla (RC)	2011	1	11973
Benalla (RC)	2016	0	1094
Benalla (RC)	2016	1	11455
Boroondara (C)	2006	0	39516
Boroondara (C)	2006	1	106410
Boroondara (C)	2011	0	45028
Boroondara (C)	2011	1	107741
Boroondara (C)	2016	0	51744
Boroondara (C)	2016	1	107415
Brimbank (C)	2006	0	72873
Brimbank (C)	2006	1	82916
Brimbank (C)	2011	0	84291
Brimbank (C)	2011	1	85773
Brimbank (C)	2016	0	93001
Brimbank (C)	2016	1	87161
Buloke (S)	2006	0	292
Buloke (S)	2006	1	6227
Buloke (S)	2011	0	355
Buloke (S)	2011	1	5764
Buloke (S)	2016	0	344
Buloke (S)	2016	1	5200
Campaspe (S)	2006	0	2055
Campaspe (S)	2006	1	32180
Campaspe (S)	2011	0	2296
Campaspe (S)	2011	1	32141
Campaspe (S)	2016	0	2506
Campaspe (S)	2016	1	31242
Cardinia (S)	2006	0	8119
Cardinia (S)	2006	1	45680
Cardinia (S)	2011	0	12240
Cardinia (S)	2011	1	58634
Cardinia (S)	2016	0	17845
Cardinia (S)	2016	1	70374
Casey (C)	2006	0	65204
Casey (C)	2006	1	136487
Casey (C)	2011	0	88108
Casey (C)	2011	1	153515
Casey (C)	2016	0	114422
Casey (C)	2016	1	168029
Central Goldfields (S)	2006	0	958
Central Goldfields (S)	2006	1	10718
Central Goldfields (S)	2011	0	1055
Central Goldfields (S)	2011	1	10806
Central Goldfields (S)	2016	0	1160
Central Goldfields (S)	2016	1	10650
Colac-Otway (S)	2006	0	1367
Colac-Otway (S)	2006	1	17720
Colac-Otway (S)	2011	0	1536
Colac-Otway (S)	2011	1	17846
Colac-Otway (S)	2016	0	1808
Colac-Otway (S)	2016	1	17452
Corangamite (S)	2006	0	1040
Corangamite (S)	2006	1	14707
Corangamite (S)	2011	0	1086
Corangamite (S)	2011	1	14592
Corangamite (S)	2016	0	1018
Corangamite (S)	2016	1	13538
Darebin (C)	2006	0	40990
Darebin (C)	2006	1	76531
Darebin (C)	2011	0	46081
Darebin (C)	2011	1	81884
Darebin (C)	2016	0	48845
Darebin (C)	2016	1	86911
East Gippsland (S)	2006	0	4099
East Gippsland (S)	2006	1	33539
East Gippsland (S)	2011	0	4546
East Gippsland (S)	2011	1	35471
East Gippsland (S)	2016	0	4883
East Gippsland (S)	2016	1	35616
Frankston (C)	2006	0	24553
Frankston (C)	2006	1	84691
Frankston (C)	2011	0	27581
Frankston (C)	2011	1	91792
Frankston (C)	2016	0	28846
Frankston (C)	2016	1	95936
Gannawarra (S)	2006	0	536
Gannawarra (S)	2006	1	10132
Gannawarra (S)	2011	0	517
Gannawarra (S)	2011	1	9282
Gannawarra (S)	2016	0	548
Gannawarra (S)	2016	1	9121
Glen Eira (C)	2006	0	39532
Glen Eira (C)	2006	1	75192
Glen Eira (C)	2011	0	45927
Glen Eira (C)	2011	1	78993
Glen Eira (C)	2016	0	51751
Glen Eira (C)	2016	1	82030
Glenelg (S)	2006	0	1390
Glenelg (S)	2006	1	17237
Glenelg (S)	2011	0	1526
Glenelg (S)	2011	1	17073
Glenelg (S)	2016	0	1491
Glenelg (S)	2016	1	16172
Golden Plains (S)	2006	0	1680
Golden Plains (S)	2006	1	13976
Golden Plains (S)	2011	0	1945
Golden Plains (S)	2011	1	16065
Golden Plains (S)	2016	0	2021
Golden Plains (S)	2016	1	18227
Greater Bendigo (C)	2006	0	5575
Greater Bendigo (C)	2006	1	82846
Greater Bendigo (C)	2011	0	7027
Greater Bendigo (C)	2011	1	88829
Greater Bendigo (C)	2016	0	8817
Greater Bendigo (C)	2016	1	93321
Greater Dandenong (C)	2006	0	64587
Greater Dandenong (C)	2006	1	50703
Greater Dandenong (C)	2011	0	76130
Greater Dandenong (C)	2011	1	51611
Greater Dandenong (C)	2016	0	87766
Greater Dandenong (C)	2016	1	54480
Greater Geelong (C)	2006	0	31199
Greater Geelong (C)	2006	1	155846
Greater Geelong (C)	2011	0	33542
Greater Geelong (C)	2011	1	167646
Greater Geelong (C)	2016	0	37981
Greater Geelong (C)	2016	1	179938
Greater Shepparton (C)	2006	0	6201
Greater Shepparton (C)	2006	1	47345
Greater Shepparton (C)	2011	0	7947
Greater Shepparton (C)	2011	1	48847
Greater Shepparton (C)	2016	0	9501
Greater Shepparton (C)	2016	1	48491
Hepburn (S)	2006	0	1611
Hepburn (S)	2006	1	11125
Hepburn (S)	2011	0	1854
Hepburn (S)	2011	1	11700
Hepburn (S)	2016	0	2024
Hepburn (S)	2016	1	11648
Hindmarsh (S)	2006	0	338
Hindmarsh (S)	2006	1	5451
Hindmarsh (S)	2011	0	397
Hindmarsh (S)	2011	1	5160
Hindmarsh (S)	2016	0	472
Hindmarsh (S)	2016	1	4775
Hobsons Bay (C)	2006	0	23684
Hobsons Bay (C)	2006	1	51917
Hobsons Bay (C)	2011	0	25871
Hobsons Bay (C)	2011	1	53281
Hobsons Bay (C)	2016	0	27099
Hobsons Bay (C)	2016	1	56174
Horsham (RC)	2006	0	902
Horsham (RC)	2006	1	16710
Horsham (RC)	2011	0	1110
Horsham (RC)	2011	1	17252
Horsham (RC)	2016	0	1188
Horsham (RC)	2016	1	17213
Hume (C)	2006	0	43204
Hume (C)	2006	1	94419
Hume (C)	2011	0	53970
Hume (C)	2011	1	103991
Hume (C)	2016	0	70535
Hume (C)	2016	1	113841
Indigo (S)	2006	0	1157
Indigo (S)	2006	1	12821
Indigo (S)	2011	0	1266
Indigo (S)	2011	1	13215
Indigo (S)	2016	0	1362
Indigo (S)	2016	1	13457
Kingston (C) (Vic.)	2006	0	38075
Kingston (C) (Vic.)	2006	1	87692
Kingston (C) (Vic.)	2011	0	43005
Kingston (C) (Vic.)	2011	1	92719
Kingston (C) (Vic.)	2016	0	47248
Kingston (C) (Vic.)	2016	1	95781
Knox (C)	2006	0	36959
Knox (C)	2006	1	103230
Knox (C)	2011	0	41497
Knox (C)	2011	1	103051
Knox (C)	2016	0	46505
Knox (C)	2016	1	100918
Latrobe (C) (Vic.)	2006	0	9160
Latrobe (C) (Vic.)	2006	1	55846
Latrobe (C) (Vic.)	2011	0	9943
Latrobe (C) (Vic.)	2011	1	58324
Latrobe (C) (Vic.)	2016	0	9111
Latrobe (C) (Vic.)	2016	1	57394
Loddon (S)	2006	0	506
Loddon (S)	2006	1	6891
Loddon (S)	2011	0	569
Loddon (S)	2011	1	6395
Loddon (S)	2016	0	616
Loddon (S)	2016	1	5973
Macedon Ranges (S)	2006	0	4832
Macedon Ranges (S)	2006	1	31404
Macedon Ranges (S)	2011	0	5414
Macedon Ranges (S)	2011	1	34741
Macedon Ranges (S)	2016	0	5735
Macedon Ranges (S)	2016	1	36794
Manningham (C)	2006	0	37455
Manningham (C)	2006	1	67023
Manningham (C)	2011	0	40669
Manningham (C)	2011	1	66756
Manningham (C)	2016	0	46376
Manningham (C)	2016	1	64768
Mansfield (S)	2006	0	792
Mansfield (S)	2006	1	5889
Mansfield (S)	2011	0	931
Mansfield (S)	2011	1	6606
Mansfield (S)	2016	0	948
Mansfield (S)	2016	1	6802
Maribyrnong (C)	2006	0	24506
Maribyrnong (C)	2006	1	33053
Maribyrnong (C)	2011	0	28423
Maribyrnong (C)	2011	1	37449
Maribyrnong (C)	2016	0	32989
Maribyrnong (C)	2016	1	43130
Maroondah (C)	2006	0	18460
Maroondah (C)	2006	1	75673
Maroondah (C)	2011	0	21807
Maroondah (C)	2011	1	78437
Maroondah (C)	2016	0	25600
Maroondah (C)	2016	1	79652
Melbourne (C)	2006	0	31738
Melbourne (C)	2006	1	33286
Melbourne (C)	2011	0	44532
Melbourne (C)	2011	1	38474
Melbourne (C)	2016	0	75797
Melbourne (C)	2016	1	44444
Melton (C)	2006	0	19221
Melton (C)	2006	1	54942
Melton (C)	2011	0	30365
Melton (C)	2011	1	73252
Melton (C)	2016	0	40613
Melton (C)	2016	1	86029
Mildura (RC)	2006	0	4735
Mildura (RC)	2006	1	41939
Mildura (RC)	2011	0	5167
Mildura (RC)	2011	1	42805
Mildura (RC)	2016	0	5810
Mildura (RC)	2016	1	42733
Mitchell (S)	2006	0	3284
Mitchell (S)	2006	1	25688
Mitchell (S)	2011	0	3803
Mitchell (S)	2011	1	28830
Mitchell (S)	2016	0	4718
Mitchell (S)	2016	1	32354
Moira (S)	2006	0	2209
Moira (S)	2006	1	23234
Moira (S)	2011	0	2523
Moira (S)	2011	1	23927
Moira (S)	2016	0	2673
Moira (S)	2016	1	23747
Monash (C)	2006	0	64066
Monash (C)	2006	1	87590
Monash (C)	2011	0	75806
Monash (C)	2011	1	86509
Monash (C)	2016	0	89590
Monash (C)	2016	1	84068
Moonee Valley (C)	2006	0	26849
Moonee Valley (C)	2006	1	68077
Moonee Valley (C)	2011	0	29409
Moonee Valley (C)	2011	1	72395
Moonee Valley (C)	2016	0	32265
Moonee Valley (C)	2016	1	76902
Moorabool (S)	2006	0	2937
Moorabool (S)	2006	1	21188
Moorabool (S)	2011	0	3427
Moorabool (S)	2011	1	23378
Moorabool (S)	2016	0	3921
Moorabool (S)	2016	1	25635
Moreland (C)	2006	0	43794
Moreland (C)	2006	1	81744
Moreland (C)	2011	0	49754
Moreland (C)	2011	1	88499
Moreland (C)	2016	0	55227
Moreland (C)	2016	1	96296
Mornington Peninsula (S)	2006	0	23395
Mornington Peninsula (S)	2006	1	101993
Mornington Peninsula (S)	2011	0	26272
Mornington Peninsula (S)	2011	1	110389
Mornington Peninsula (S)	2016	0	27624
Mornington Peninsula (S)	2016	1	116942
Mount Alexander (S)	2006	0	1611
Mount Alexander (S)	2006	1	14338
Mount Alexander (S)	2011	0	1889
Mount Alexander (S)	2011	1	14688
Mount Alexander (S)	2016	0	2156
Mount Alexander (S)	2016	1	14846
Moyne (S)	2006	0	881
Moyne (S)	2006	1	13673
Moyne (S)	2011	0	1067
Moyne (S)	2011	1	14134
Moyne (S)	2016	0	1191
Moyne (S)	2016	1	13843
Murrindindi (S)	2006	0	1525
Murrindindi (S)	2006	1	11061
Murrindindi (S)	2011	0	1519
Murrindindi (S)	2011	1	10744
Murrindindi (S)	2016	0	1517
Murrindindi (S)	2016	1	10866
Nillumbik (S)	2006	0	8498
Nillumbik (S)	2006	1	48756
Nillumbik (S)	2011	0	8996
Nillumbik (S)	2011	1	49457
Nillumbik (S)	2016	0	9543
Nillumbik (S)	2016	1	48955
Northern Grampians (S)	2006	0	680
Northern Grampians (S)	2006	1	10566
Northern Grampians (S)	2011	0	755
Northern Grampians (S)	2011	1	10428
Northern Grampians (S)	2016	0	841
Northern Grampians (S)	2016	1	9637
Port Phillip (C)	2006	0	23083
Port Phillip (C)	2006	1	50403
Port Phillip (C)	2011	0	28470
Port Phillip (C)	2011	1	55252
Port Phillip (C)	2016	0	31877
Port Phillip (C)	2016	1	58422
Pyrenees (S)	2006	0	570
Pyrenees (S)	2006	1	5545
Pyrenees (S)	2011	0	596
Pyrenees (S)	2011	1	5735
Pyrenees (S)	2016	0	681
Pyrenees (S)	2016	1	5864
Queenscliffe (B)	2006	0	296
Queenscliffe (B)	2006	1	2496
Queenscliffe (B)	2011	0	286
Queenscliffe (B)	2011	1	2529
Queenscliffe (B)	2016	0	297
Queenscliffe (B)	2016	1	2275
South Gippsland (S)	2006	0	2796
South Gippsland (S)	2006	1	21400
South Gippsland (S)	2011	0	3036
South Gippsland (S)	2011	1	22942
South Gippsland (S)	2016	0	3146
South Gippsland (S)	2016	1	22965
Southern Grampians (S)	2006	0	1037
Southern Grampians (S)	2006	1	14836
Southern Grampians (S)	2011	0	1189
Southern Grampians (S)	2011	1	14498
Southern Grampians (S)	2016	0	1181
Southern Grampians (S)	2016	1	13521
Stonnington (C)	2006	0	24396
Stonnington (C)	2006	1	56930
Stonnington (C)	2011	0	27409
Stonnington (C)	2011	1	59472
Stonnington (C)	2016	0	32732
Stonnington (C)	2016	1	63153
Strathbogie (S)	2006	0	740
Strathbogie (S)	2006	1	7983
Strathbogie (S)	2011	0	862
Strathbogie (S)	2011	1	8095
Strathbogie (S)	2016	0	924
Strathbogie (S)	2016	1	8343
Surf Coast (S)	2006	0	2341
Surf Coast (S)	2006	1	18129
Surf Coast (S)	2011	0	2958
Surf Coast (S)	2011	1	21699
Surf Coast (S)	2016	0	3353
Surf Coast (S)	2016	1	24170
Swan Hill (RC)	2006	0	1895
Swan Hill (RC)	2006	1	17329
Swan Hill (RC)	2011	0	2403
Swan Hill (RC)	2011	1	16749
Swan Hill (RC)	2016	0	2394
Swan Hill (RC)	2016	1	15364
Towong (S)	2006	0	468
Towong (S)	2006	1	5264
Towong (S)	2011	0	455
Towong (S)	2011	1	5235
Towong (S)	2016	0	485
Towong (S)	2016	1	4952
Wangaratta (RC)	2006	0	2137
Wangaratta (RC)	2006	1	22966
Wangaratta (RC)	2011	0	2146
Wangaratta (RC)	2011	1	23520
Wangaratta (RC)	2016	0	2282
Wangaratta (RC)	2016	1	23716
Warrnambool (C)	2006	0	1749
Warrnambool (C)	2006	1	26731
Warrnambool (C)	2011	0	2214
Warrnambool (C)	2011	1	27986
Warrnambool (C)	2016	0	2733
Warrnambool (C)	2016	1	28265
Wellington (S)	2006	0	4023
Wellington (S)	2006	1	33788
Wellington (S)	2011	0	4315
Wellington (S)	2011	1	34872
Wellington (S)	2016	0	4554
Wellington (S)	2016	1	34627
West Wimmera (S)	2006	0	233
West Wimmera (S)	2006	1	4049
West Wimmera (S)	2011	0	252
West Wimmera (S)	2011	1	3799
West Wimmera (S)	2016	0	235
West Wimmera (S)	2016	1	3400
Whitehorse (C)	2006	0	42227
Whitehorse (C)	2006	1	95712
Whitehorse (C)	2011	0	50637
Whitehorse (C)	2011	1	94353
Whitehorse (C)	2016	0	62351
Whitehorse (C)	2016	1	92759
Whittlesea (C)	2006	0	40756
Whittlesea (C)	2006	1	76905
Whittlesea (C)	2011	0	52007
Whittlesea (C)	2011	1	95567
Whittlesea (C)	2016	0	70138
Whittlesea (C)	2016	1	115305
Wodonga (C)	2006	0	3053
Wodonga (C)	2006	1	28676
Wodonga (C)	2011	0	3398
Wodonga (C)	2011	1	30714
Wodonga (C)	2016	0	3957
Wodonga (C)	2016	1	32683
Wyndham (C)	2006	0	28398
Wyndham (C)	2006	1	77035
Wyndham (C)	2011	0	54404
Wyndham (C)	2011	1	98655
Wyndham (C)	2016	0	90246
Wyndham (C)	2016	1	114544
Yarra (C)	2006	0	19170
Yarra (C)	2006	1	42676
Yarra (C)	2011	0	21530
Yarra (C)	2011	1	46592
Yarra (C)	2016	0	25136
Yarra (C)	2016	1	53060
Yarra Ranges (S)	2006	0	22812
Yarra Ranges (S)	2006	1	109718
Yarra Ranges (S)	2011	0	23647
Yarra Ranges (S)	2011	1	114891
Yarra Ranges (S)	2016	0	24419
Yarra Ranges (S)	2016	1	116547
Yarriambiack (S)	2006	0	349
Yarriambiack (S)	2006	1	6767
Yarriambiack (S)	2011	0	440
Yarriambiack (S)	2011	1	6218
Yarriambiack (S)	2016	0	399
Yarriambiack (S)	2016	1	5654
Unincorporated Vic	2006	0	107
Unincorporated Vic	2006	1	525
Unincorporated Vic	2011	0	143
Unincorporated Vic	2011	1	530
Unincorporated Vic	2016	0	156
Unincorporated Vic	2016	1	489
No usual address (Vic.)	2006	0	1700
No usual address (Vic.)	2006	1	4015
No usual address (Vic.)	2011	0	2235
No usual address (Vic.)	2011	1	5202
No usual address (Vic.)	2016	0	2011
No usual address (Vic.)	2016	1	4389
Migratory - Offshore - Shipping (Vic.)	2006	0	11
Migratory - Offshore - Shipping (Vic.)	2006	1	30
Migratory - Offshore - Shipping (Vic.)	2011	0	13
Migratory - Offshore - Shipping (Vic.)	2011	1	19
Migratory - Offshore - Shipping (Vic.)	2016	0	6
Migratory - Offshore - Shipping (Vic.)	2016	1	17
Aurukun (S)	2006	0	0
Aurukun (S)	2006	1	1041
Aurukun (S)	2011	0	0
Aurukun (S)	2011	1	1295
Aurukun (S)	2016	0	27
Aurukun (S)	2016	1	1218
Balonne (S)	2006	0	179
Balonne (S)	2006	1	4173
Balonne (S)	2011	0	221
Balonne (S)	2011	1	4213
Balonne (S)	2016	0	263
Balonne (S)	2016	1	3714
Banana (S)	2006	0	884
Banana (S)	2006	1	12891
Banana (S)	2011	0	1165
Banana (S)	2011	1	12533
Banana (S)	2016	0	1174
Banana (S)	2016	1	11836
Barcaldine (R)	2006	0	145
Barcaldine (R)	2006	1	2919
Barcaldine (R)	2011	0	177
Barcaldine (R)	2011	1	2832
Barcaldine (R)	2016	0	163
Barcaldine (R)	2016	1	2457
Barcoo (S)	2006	0	17
Barcoo (S)	2006	1	335
Barcoo (S)	2011	0	14
Barcoo (S)	2011	1	316
Barcoo (S)	2016	0	9
Barcoo (S)	2016	1	240
Blackall-Tambo (R)	2006	0	71
Blackall-Tambo (R)	2006	1	1855
Blackall-Tambo (R)	2011	0	105
Blackall-Tambo (R)	2011	1	2007
Blackall-Tambo (R)	2016	0	85
Blackall-Tambo (R)	2016	1	1679
Boulia (S)	2006	0	15
Boulia (S)	2006	1	367
Boulia (S)	2011	0	14
Boulia (S)	2011	1	434
Boulia (S)	2016	0	23
Boulia (S)	2016	1	326
Brisbane (C)	2006	0	229176
Brisbane (C)	2006	1	664238
Brisbane (C)	2011	0	295199
Brisbane (C)	2011	1	694257
Brisbane (C)	2016	0	346352
Brisbane (C)	2016	1	719165
Bulloo (S)	2006	0	14
Bulloo (S)	2006	1	340
Bulloo (S)	2011	0	19
Bulloo (S)	2011	1	353
Bulloo (S)	2016	0	22
Bulloo (S)	2016	1	297
Bundaberg (R)	2006	0	9007
Bundaberg (R)	2006	1	68334
Bundaberg (R)	2011	0	10748
Bundaberg (R)	2011	1	73975
Bundaberg (R)	2016	0	11108
Bundaberg (R)	2016	1	74468
Burdekin (S)	2006	0	1340
Burdekin (S)	2006	1	14692
Burdekin (S)	2011	0	1458
Burdekin (S)	2011	1	14924
Burdekin (S)	2016	0	1418
Burdekin (S)	2016	1	14221
Burke (S)	2006	0	29
Burke (S)	2006	1	350
Burke (S)	2011	0	30
Burke (S)	2011	1	389
Burke (S)	2016	0	23
Burke (S)	2016	1	242
Cairns (R)	2006	0	23164
Cairns (R)	2006	1	91931
Cairns (R)	2011	0	29524
Cairns (R)	2011	1	104159
Cairns (R)	2016	0	33699
Cairns (R)	2016	1	108012
Carpentaria (S)	2006	0	124
Carpentaria (S)	2006	1	1528
Carpentaria (S)	2011	0	152
Carpentaria (S)	2011	1	1606
Carpentaria (S)	2016	0	143
Carpentaria (S)	2016	1	1592
Cassowary Coast (R)	2006	0	3318
Cassowary Coast (R)	2006	1	22172
Cassowary Coast (R)	2011	0	3666
Cassowary Coast (R)	2011	1	22427
Cassowary Coast (R)	2016	0	3998
Cassowary Coast (R)	2016	1	21608
Central Highlands (R) (Qld)	2006	0	2208
Central Highlands (R) (Qld)	2006	1	22234
Central Highlands (R) (Qld)	2011	0	3120
Central Highlands (R) (Qld)	2011	1	23139
Central Highlands (R) (Qld)	2016	0	3039
Central Highlands (R) (Qld)	2016	1	21238
Charters Towers (R)	2006	0	647
Charters Towers (R)	2006	1	10142
Charters Towers (R)	2011	0	720
Charters Towers (R)	2011	1	10575
Charters Towers (R)	2016	0	664
Charters Towers (R)	2016	1	9897
Cherbourg (S)	2006	0	0
Cherbourg (S)	2006	1	1125
Cherbourg (S)	2011	0	0
Cherbourg (S)	2011	1	1217
Cherbourg (S)	2016	0	5
Cherbourg (S)	2016	1	1247
Cloncurry (S)	2006	0	203
Cloncurry (S)	2006	1	2641
Cloncurry (S)	2011	0	267
Cloncurry (S)	2011	1	2562
Cloncurry (S)	2016	0	265
Cloncurry (S)	2016	1	2302
Cook (S)	2006	0	385
Cook (S)	2006	1	2539
Cook (S)	2011	0	965
Cook (S)	2011	1	2855
Cook (S)	2016	0	575
Cook (S)	2016	1	2977
Croydon (S)	2006	0	11
Croydon (S)	2006	1	215
Croydon (S)	2011	0	14
Croydon (S)	2011	1	266
Croydon (S)	2016	0	11
Croydon (S)	2016	1	197
Diamantina (S)	2006	0	27
Diamantina (S)	2006	1	229
Diamantina (S)	2011	0	27
Diamantina (S)	2011	1	246
Diamantina (S)	2016	0	18
Diamantina (S)	2016	1	217
Doomadgee (S)	2006	0	0
Doomadgee (S)	2006	1	1076
Doomadgee (S)	2011	0	24
Doomadgee (S)	2011	1	1254
Doomadgee (S)	2016	0	23
Doomadgee (S)	2016	1	1359
Douglas (S)	2006	0	1895
Douglas (S)	2006	1	7281
Douglas (S)	2011	0	2076
Douglas (S)	2011	1	7647
Douglas (S)	2016	0	2352
Douglas (S)	2016	1	7612
Etheridge (S)	2006	0	60
Etheridge (S)	2006	1	718
Etheridge (S)	2011	0	70
Etheridge (S)	2011	1	775
Etheridge (S)	2016	0	55
Etheridge (S)	2016	1	651
Flinders (S) (Qld)	2006	0	79
Flinders (S) (Qld)	2006	1	1620
Flinders (S) (Qld)	2011	0	82
Flinders (S) (Qld)	2011	1	1554
Flinders (S) (Qld)	2016	0	75
Flinders (S) (Qld)	2016	1	1303
Fraser Coast (R)	2006	0	11174
Fraser Coast (R)	2006	1	68438
Fraser Coast (R)	2011	0	13340
Fraser Coast (R)	2011	1	77078
Fraser Coast (R)	2016	0	14162
Fraser Coast (R)	2016	1	78874
Gladstone (R)	2006	0	5341
Gladstone (R)	2006	1	41940
Gladstone (R)	2011	0	7184
Gladstone (R)	2011	1	46314
Gladstone (R)	2016	0	8921
Gladstone (R)	2016	1	47753
Gold Coast (C)	2006	0	109268
Gold Coast (C)	2006	1	286268
Gold Coast (C)	2011	0	138038
Gold Coast (C)	2011	1	322539
Gold Coast (C)	2016	0	157183
Gold Coast (C)	2016	1	355007
Goondiwindi (R)	2006	0	442
Goondiwindi (R)	2006	1	8842
Goondiwindi (R)	2011	0	581
Goondiwindi (R)	2011	1	9238
Goondiwindi (R)	2016	0	631
Goondiwindi (R)	2016	1	8814
Gympie (R)	2006	0	4287
Gympie (R)	2006	1	35222
Gympie (R)	2011	0	4976
Gympie (R)	2011	1	37922
Gympie (R)	2016	0	5342
Gympie (R)	2016	1	39681
Hinchinbrook (S)	2006	0	1275
Hinchinbrook (S)	2006	1	9804
Hinchinbrook (S)	2011	0	1223
Hinchinbrook (S)	2011	1	9768
Hinchinbrook (S)	2016	0	1052
Hinchinbrook (S)	2016	1	8883
Hope Vale (S)	2006	0	0
Hope Vale (S)	2006	1	773
Hope Vale (S)	2011	0	0
Hope Vale (S)	2011	1	976
Hope Vale (S)	2016	0	15
Hope Vale (S)	2016	1	876
Ipswich (C)	2006	0	21472
Ipswich (C)	2006	1	108745
Ipswich (C)	2011	0	31263
Ipswich (C)	2011	1	126867
Ipswich (C)	2016	0	39009
Ipswich (C)	2016	1	141232
Isaac (R)	2006	0	1465
Isaac (R)	2006	1	16145
Isaac (R)	2011	0	2231
Isaac (R)	2011	1	18061
Isaac (R)	2016	0	2098
Isaac (R)	2016	1	15606
Kowanyama (S)	2006	0	0
Kowanyama (S)	2006	1	1014
Kowanyama (S)	2011	0	0
Kowanyama (S)	2011	1	1030
Kowanyama (S)	2016	0	17
Kowanyama (S)	2016	1	922
Livingstone (S)	2006	0	2803
Livingstone (S)	2006	1	24066
Livingstone (S)	2011	0	3404
Livingstone (S)	2011	1	27079
Livingstone (S)	2016	0	3651
Livingstone (S)	2016	1	29404
Lockhart River (S)	2006	0	3
Lockhart River (S)	2006	1	543
Lockhart River (S)	2011	0	0
Lockhart River (S)	2011	1	478
Lockhart River (S)	2016	0	12
Lockhart River (S)	2016	1	675
Lockyer Valley (R)	2006	0	3204
Lockyer Valley (R)	2006	1	24829
Lockyer Valley (R)	2011	0	4313
Lockyer Valley (R)	2011	1	28201
Lockyer Valley (R)	2016	0	5010
Lockyer Valley (R)	2016	1	30174
Logan (C)	2006	0	59060
Logan (C)	2006	1	174659
Logan (C)	2011	0	72611
Logan (C)	2011	1	189679
Logan (C)	2016	0	82883
Logan (C)	2016	1	199656
Longreach (R)	2006	0	248
Longreach (R)	2006	1	3493
Longreach (R)	2011	0	263
Longreach (R)	2011	1	3686
Longreach (R)	2016	0	252
Longreach (R)	2016	1	3032
Mackay (R)	2006	0	9425
Mackay (R)	2006	1	82847
Mackay (R)	2011	0	13248
Mackay (R)	2011	1	92100
Mackay (R)	2016	0	13472
Mackay (R)	2016	1	91609
McKinlay (S)	2006	0	39
McKinlay (S)	2006	1	769
McKinlay (S)	2011	0	82
McKinlay (S)	2011	1	848
McKinlay (S)	2016	0	58
McKinlay (S)	2016	1	669
Mapoon (S)	2006	0	0
Mapoon (S)	2006	1	242
Mapoon (S)	2011	0	0
Mapoon (S)	2011	1	264
Mapoon (S)	2016	0	3
Mapoon (S)	2016	1	304
Maranoa (R)	2006	0	445
Maranoa (R)	2006	1	11179
Maranoa (R)	2011	0	779
Maranoa (R)	2011	1	11099
Maranoa (R)	2016	0	900
Maranoa (R)	2016	1	10393
Mareeba (S)	2006	0	3044
Mareeba (S)	2006	1	13595
Mareeba (S)	2011	0	3265
Mareeba (S)	2011	1	15382
Mareeba (S)	2016	0	3570
Mareeba (S)	2016	1	15545
Moreton Bay (R)	2006	0	54267
Moreton Bay (R)	2006	1	253052
Moreton Bay (R)	2011	0	71709
Moreton Bay (R)	2011	1	288295
Moreton Bay (R)	2016	0	83392
Moreton Bay (R)	2016	1	316064
Mornington (S)	2006	0	0
Mornington (S)	2006	1	1025
Mornington (S)	2011	0	4
Mornington (S)	2011	1	1133
Mornington (S)	2016	0	37
Mornington (S)	2016	1	1062
Mount Isa (C)	2006	0	2313
Mount Isa (C)	2006	1	14611
Mount Isa (C)	2011	0	3099
Mount Isa (C)	2011	1	15040
Mount Isa (C)	2016	0	3015
Mount Isa (C)	2016	1	13314
Murweh (S)	2006	0	234
Murweh (S)	2006	1	4028
Murweh (S)	2011	0	343
Murweh (S)	2011	1	3930
Murweh (S)	2016	0	297
Murweh (S)	2016	1	3649
Napranum (S)	2006	0	0
Napranum (S)	2006	1	832
Napranum (S)	2011	0	0
Napranum (S)	2011	1	858
Napranum (S)	2016	0	19
Napranum (S)	2016	1	927
Noosa (S)	2006	0	9287
Noosa (S)	2006	1	33641
Noosa (S)	2011	0	10690
Noosa (S)	2011	1	35507
Noosa (S)	2016	0	11270
Noosa (S)	2016	1	37384
