LGA_NAME16	Year	averageNumberOfPersonsPerBedroom
Paroo (S)	2011	0.8
Pormpuraaw (S)	2011	1.2
Quilpie (S)	2011	0.8
Redland (C)	2011	0.8
Richmond (S)	2011	0.9
Rockhampton (R)	2011	0.8
Scenic Rim (R)	2011	0.8
Somerset (R)	2011	0.8
South Burnett (R)	2011	0.8
Southern Downs (R)	2011	0.8
Sunshine Coast (R)	2011	0.8
Tablelands (R)	2011	0.8
Toowoomba (R)	2011	0.8
Torres (S)	2011	1.2
Torres Strait Island (R)	2011	1.1
Townsville (C)	2011	0.8
Weipa (T)	2011	1
Western Downs (R)	2011	0.8
Whitsunday (R)	2011	0.9
Winton (S)	2011	0.8
Woorabinda (S)	2011	1.4
Wujal Wujal (S)	2011	1.2
Yarrabah (S)	2011	1.5
No usual address (Qld)	2011	0
Migratory - Offshore - Shipping (Qld)	2011	0
Adelaide (C)	2011	0.9
Adelaide Hills (DC)	2011	0.8
Alexandrina (DC)	2011	0.8
Anangu Pitjantjatjara (AC)	2011	1.3
Barossa (DC)	2011	0.8
Barunga West (DC)	2011	0.7
Berri and Barmera (DC)	2011	0.8
Burnside (C)	2011	0.8
Campbelltown (C) (SA)	2011	0.8
Ceduna (DC)	2011	0.8
Charles Sturt (C)	2011	0.8
Clare and Gilbert Valleys (DC)	2011	0.8
Cleve (DC)	2011	0.7
Coober Pedy (DC)	2011	0.8
Copper Coast (DC)	2011	0.7
Elliston (DC)	2011	0.8
Flinders Ranges (DC)	2011	0.8
Franklin Harbour (DC)	2011	0.8
Gawler (T)	2011	0.8
Goyder (DC)	2011	0.8
Grant (DC)	2011	0.8
Holdfast Bay (C)	2011	0.8
Kangaroo Island (DC)	2011	0.8
Karoonda East Murray (DC)	2011	0.8
Kimba (DC)	2011	0.8
Kingston (DC) (SA)	2011	0.7
Light (RegC)	2011	0.8
Lower Eyre Peninsula (DC)	2011	0.8
Loxton Waikerie (DC)	2011	0.8
Mallala (DC)	2011	0.8
Maralinga Tjarutja (AC)	2011	0.9
Marion (C)	2011	0.8
Mid Murray (DC)	2011	0.8
Mitcham (C)	2011	0.8
Mount Barker (DC)	2011	0.8
Mount Gambier (C)	2011	0.8
Mount Remarkable (DC)	2011	0.7
Murray Bridge (RC)	2011	0.8
Naracoorte and Lucindale (DC)	2011	0.8
Northern Areas (DC)	2011	0.7
Norwood Payneham St Peters (C)	2011	0.8
Onkaparinga (C)	2011	0.8
Orroroo/Carrieton (DC)	2011	0.7
Peterborough (DC)	2011	0.7
Playford (C)	2011	0.8
Port Adelaide Enfield (C)	2011	0.8
Port Augusta (C)	2011	0.8
Port Lincoln (C)	2011	0.8
Port Pirie City and Dists (M)	2011	0.8
Prospect (C)	2011	0.9
Renmark Paringa (DC)	2011	0.8
Robe (DC)	2011	0.7
Roxby Downs (M)	2011	0.9
Salisbury (C)	2011	0.8
Southern Mallee (DC)	2011	0.8
Streaky Bay (DC)	2011	0.8
Tatiara (DC)	2011	0.8
Tea Tree Gully (C)	2011	0.8
The Coorong (DC)	2011	0.8
Tumby Bay (DC)	2011	0.8
Unley (C)	2011	0.9
Victor Harbor (C)	2011	0.7
Wakefield (DC)	2011	0.8
Walkerville (M)	2011	0.8
Wattle Range (DC)	2011	0.7
West Torrens (C)	2011	0.8
Whyalla (C)	2011	0.7
Wudinna (DC)	2011	0.7
Yankalilla (DC)	2011	0.7
Yorke Peninsula (DC)	2011	0.7
Unincorporated SA	2011	0.8
No usual address (SA)	2011	0
Migratory - Offshore - Shipping (SA)	2011	0
Albany (C)	2011	0.8
Armadale (C)	2011	0.8
Ashburton (S)	2011	0.9
Augusta-Margaret River (S)	2011	0.8
Bassendean (T)	2011	0.8
Bayswater (C)	2011	0.8
Belmont (C)	2011	0.8
Beverley (S)	2011	0.7
Boddington (S)	2011	0.8
Boyup Brook (S)	2011	0.7
Bridgetown-Greenbushes (S)	2011	0.8
Brookton (S)	2011	0.8
Broome (S)	2011	1
Broomehill-Tambellup (S)	2011	0.8
Bruce Rock (S)	2011	0.7
Bunbury (C)	2011	0.7
Busselton (C)	2011	0.7
Cambridge (T)	2011	0.8
Canning (C)	2011	0.8
Capel (S)	2011	0.8
Carnamah (S)	2011	0.7
Carnarvon (S)	2011	0.9
Chapman Valley (S)	2011	0.8
Chittering (S)	2011	0.8
Claremont (T)	2011	0.8
Cockburn (C)	2011	0.8
Collie (S)	2011	0.8
Coolgardie (S)	2011	0.8
Coorow (S)	2011	0.7
Corrigin (S)	2011	0.7
Cottesloe (T)	2011	0.8
Cranbrook (S)	2011	0.7
Cuballing (S)	2011	0.8
Cue (S)	2011	0.7
Cunderdin (S)	2011	0.7
Dalwallinu (S)	2011	0.7
Dandaragan (S)	2011	0.7
Dardanup (S)	2011	0.8
Denmark (S)	2011	0.8
Derby-West Kimberley (S)	2011	1.1
Donnybrook-Balingup (S)	2011	0.8
Dowerin (S)	2011	0.7
Dumbleyung (S)	2011	0.7
Dundas (S)	2011	0.8
East Fremantle (T)	2011	0.8
East Pilbara (S)	2011	1
Esperance (S)	2011	0.8
Exmouth (S)	2011	0.8
Fremantle (C)	2011	0.8
Gingin (S)	2011	0.7
Gnowangerup (S)	2011	0.7
Goomalling (S)	2011	0.8
Gosnells (C)	2011	0.8
Greater Geraldton (C)	2011	0.8
Halls Creek (S)	2011	1.3
Harvey (S)	2011	0.8
Irwin (S)	2011	0.8
Jerramungup (S)	2011	0.8
Joondalup (C)	2011	0.7
Kalamunda (S)	2011	0.7
Kalgoorlie/Boulder (C)	2011	0.9
Karratha (C)	2011	1
Katanning (S)	2011	0.8
Kellerberrin (S)	2011	0.8
Kent (S)	2011	0.7
Kojonup (S)	2011	0.7
Kondinin (S)	2011	0.7
Koorda (S)	2011	0.7
Kulin (S)	2011	0.8
Kwinana (C)	2011	0.8
Lake Grace (S)	2011	0.7
Laverton (S)	2011	1
Leonora (S)	2011	0.9
Mandurah (C)	2011	0.7
Manjimup (S)	2011	0.8
Meekatharra (S)	2011	0.9
Melville (C)	2011	0.7
Menzies (S)	2011	1.3
Merredin (S)	2011	0.7
Mingenew (S)	2011	0.7
Moora (S)	2011	0.8
Morawa (S)	2011	0.7
Mosman Park (T)	2011	0.8
Mount Magnet (S)	2011	0.8
Mount Marshall (S)	2011	0.7
Mukinbudin (S)	2011	0.7
Mundaring (S)	2011	0.8
Murchison (S)	2011	0.7
Murray (S)	2011	0.8
Nannup (S)	2011	0.7
Narembeen (S)	2011	0.7
Narrogin (S)	2011	0.8
Nedlands (C)	2011	0.8
Ngaanyatjarraku (S)	2011	1.1
Northam (S)	2011	0.8
Northampton (S)	2011	0.8
Nungarin (S)	2011	0.8
Peppermint Grove (S)	2011	0.8
Perenjori (S)	2011	0.8
Perth (C)	2011	1
Pingelly (S)	2011	0.7
Plantagenet (S)	2011	0.8
Port Hedland (T)	2011	0.9
Quairading (S)	2011	0.7
Ravensthorpe (S)	2011	0.8
Rockingham (C)	2011	0.7
Sandstone (S)	2011	0.7
Serpentine-Jarrahdale (S)	2011	0.8
Shark Bay (S)	2011	0.8
South Perth (C)	2011	0.8
Stirling (C)	2011	0.8
Subiaco (C)	2011	0.9
Swan (C)	2011	0.8
Tammin (S)	2011	0.7
Three Springs (S)	2011	0.7
Toodyay (S)	2011	0.8
Trayning (S)	2011	0.8
Upper Gascoyne (S)	2011	1
Victoria Park (T)	2011	0.8
Victoria Plains (S)	2011	0.8
Vincent (C)	2011	0.9
Wagin (S)	2011	0.7
Wandering (S)	2011	0.8
Wanneroo (C)	2011	0.8
Waroona (S)	2011	0.8
West Arthur (S)	2011	0.7
Westonia (S)	2011	0.7
Wickepin (S)	2011	0.7
Williams (S)	2011	0.7
Wiluna (S)	2011	1.2
Wongan-Ballidu (S)	2011	0.7
Woodanilling (S)	2011	0.7
Wyalkatchem (S)	2011	0.7
Wyndham-East Kimberley (S)	2011	1.1
Yalgoo (S)	2011	1
Yilgarn (S)	2011	0.7
York (S)	2011	0.7
No usual address (WA)	2011	0
Migratory - Offshore - Shipping (WA)	2011	0
Break O'Day (M)	2011	0.8
Brighton (M)	2011	0.9
Burnie (C)	2011	0.8
Central Coast (M) (Tas.)	2011	0.8
Central Highlands (M) (Tas.)	2011	0.8
Circular Head (M)	2011	0.8
Clarence (C)	2011	0.8
Derwent Valley (M)	2011	0.8
Devonport (C)	2011	0.8
Dorset (M)	2011	0.8
Flinders (M) (Tas.)	2011	0.7
George Town (M)	2011	0.8
Glamorgan/Spring Bay (M)	2011	0.8
Glenorchy (C)	2011	0.8
Hobart (C)	2011	0.8
Huon Valley (M)	2011	0.9
Kentish (M)	2011	0.8
King Island (M)	2011	0.7
Kingborough (M)	2011	0.8
Latrobe (M) (Tas.)	2011	0.8
Launceston (C)	2011	0.8
Meander Valley (M)	2011	0.8
Northern Midlands (M)	2011	0.8
Sorell (M)	2011	0.8
Southern Midlands (M)	2011	0.8
Tasman (M)	2011	0.8
Waratah/Wynyard (M)	2011	0.8
West Coast (M)	2011	0.8
West Tamar (M)	2011	0.8
No usual address (Tas.)	2011	0
Migratory - Offshore - Shipping (Tas.)	2011	0
Alice Springs (T)	2011	1
Barkly (R)	2011	1.4
Belyuen (S)	2011	1.7
Central Desert (R)	2011	1.5
Coomalie (S)	2011	1
Darwin (C)	2011	0.9
East Arnhem (R)	2011	1.8
Katherine (T)	2011	1
Litchfield (M)	2011	1.1
MacDonnell (R)	2011	1.5
Palmerston (C)	2011	0.9
Roper Gulf (R)	2011	1.7
Tiwi Islands (R)	2011	1.4
Victoria Daly (R)	2011	1.5
Wagait (S)	2011	1
West Arnhem (R)	2011	1.6
West Daly (R)	2011	1.8
Unincorporated NT	2011	1.1
No usual address (NT)	2011	0
Migratory - Offshore - Shipping (NT)	2011	0
Unincorporated ACT	2011	0.8
No usual address (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	1
No usual address (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	0.8
Armidale Regional (A)	2016	0.8
Ballina (A)	2016	0.8
Balranald (A)	2016	0.8
Bathurst Regional (A)	2016	0.8
Bega Valley (A)	2016	0.8
Bellingen (A)	2016	0.8
Berrigan (A)	2016	0.7
Blacktown (C)	2016	0.9
Bland (A)	2016	0.7
Blayney (A)	2016	0.8
Blue Mountains (C)	2016	0.8
Bogan (A)	2016	0.8
Botany Bay (C)	2016	1.1
Bourke (A)	2016	0.8
Brewarrina (A)	2016	0.9
Broken Hill (C)	2016	0.7
Burwood (A)	2016	1.1
Byron (A)	2016	0.8
Cabonne (A)	2016	0.8
Camden (A)	2016	0.8
Campbelltown (C) (NSW)	2016	0.9
Canada Bay (A)	2016	1
Canterbury-Bankstown (A)	2016	1.1
Carrathool (A)	2016	0.8
Central Coast (C) (NSW)	2016	0.8
Central Darling (A)	2016	0.8
Cessnock (C)	2016	0.8
Clarence Valley (A)	2016	0.8
Cobar (A)	2016	0.7
Coffs Harbour (C)	2016	0.8
Coolamon (A)	2016	0.8
Coonamble (A)	2016	0.7
Cowra (A)	2016	0.7
Cumberland (A)	2016	1.1
Dungog (A)	2016	0.8
Edward River (A)	2016	0.7
Eurobodalla (A)	2016	0.7
Fairfield (C)	2016	1.1
Federation (A)	2016	0.7
Forbes (A)	2016	0.8
Georges River (A)	2016	1
Gilgandra (A)	2016	0.8
Glen Innes Severn (A)	2016	0.7
Goulburn Mulwaree (A)	2016	0.8
Greater Hume Shire (A)	2016	0.8
Griffith (C)	2016	0.8
Gundagai (A)	2016	0.7
Gunnedah (A)	2016	0.8
Gwydir (A)	2016	0.8
Hawkesbury (C)	2016	0.8
Hay (A)	2016	0.7
Hilltops (A)	2016	0.7
Hornsby (A)	2016	0.9
Hunters Hill (A)	2016	0.9
Inner West (A)	2016	1
Inverell (A)	2016	0.8
Junee (A)	2016	0.8
Kempsey (A)	2016	0.8
Kiama (A)	2016	0.8
Ku-ring-gai (A)	2016	0.9
Kyogle (A)	2016	0.8
Lachlan (A)	2016	0.8
Lake Macquarie (C)	2016	0.8
Lane Cove (A)	2016	1
Leeton (A)	2016	0.8
Lismore (C)	2016	0.8
Lithgow (C)	2016	0.8
Liverpool (C)	2016	1
Liverpool Plains (A)	2016	0.7
Lockhart (A)	2016	0.7
Maitland (C)	2016	0.8
Mid-Coast (A)	2016	0.7
Mid-Western Regional (A)	2016	0.8
Moree Plains (A)	2016	0.8
Mosman (A)	2016	0.9
Murray River (A)	2016	0.7
Murrumbidgee (A)	2016	0.8
Muswellbrook (A)	2016	0.8
Nambucca (A)	2016	0.8
Narrabri (A)	2016	0.8
Narrandera (A)	2016	0.7
Narromine (A)	2016	0.8
Newcastle (C)	2016	0.8
North Sydney (A)	2016	1
Northern Beaches (A)	2016	0.9
Oberon (A)	2016	0.7
Orange (C)	2016	0.8
Parkes (A)	2016	0.8
Parramatta (C)	2016	1
Penrith (C)	2016	0.8
Port Macquarie-Hastings (A)	2016	0.8
Port Stephens (A)	2016	0.8
Queanbeyan-Palerang Regional (A)	2016	0.8
Randwick (C)	2016	1
Richmond Valley (A)	2016	0.8
Rockdale (C)	2016	1.1
Ryde (C)	2016	1
Shellharbour (C)	2016	0.8
Shoalhaven (C)	2016	0.7
Singleton (A)	2016	0.8
Snowy Monaro Regional (A)	2016	0.8
Snowy Valleys (A)	2016	0.8
Strathfield (A)	2016	1.1
Sutherland Shire (A)	2016	0.9
Sydney (C)	2016	1.2
Tamworth Regional (A)	2016	0.8
Temora (A)	2016	0.7
Tenterfield (A)	2016	0.7
The Hills Shire (A)	2016	0.8
Tweed (A)	2016	0.8
Upper Hunter Shire (A)	2016	0.8
Upper Lachlan Shire (A)	2016	0.7
Uralla (A)	2016	0.8
Wagga Wagga (C)	2016	0.8
Walcha (A)	2016	0.7
Walgett (A)	2016	0.9
Warren (A)	2016	0.7
Warrumbungle Shire (A)	2016	0.7
Waverley (A)	2016	1
Weddin (A)	2016	0.7
Wentworth (A)	2016	0.8
Western Plains Regional (A)	2016	0.8
Willoughby (C)	2016	1
Wingecarribee (A)	2016	0.7
Wollondilly (A)	2016	0.8
Wollongong (C)	2016	0.9
Woollahra (A)	2016	0.9
Yass Valley (A)	2016	0.8
Unincorporated NSW	2016	0.8
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2016	0
Alpine (S)	2016	0.7
Ararat (RC)	2016	0.7
Ballarat (C)	2016	0.8
Banyule (C)	2016	0.8
Bass Coast (S)	2016	0.7
Baw Baw (S)	2016	0.8
Bayside (C)	2016	0.8
Benalla (RC)	2016	0.7
Boroondara (C)	2016	0.9
Brimbank (C)	2016	0.9
Buloke (S)	2016	0.7
Campaspe (S)	2016	0.8
Cardinia (S)	2016	0.8
Casey (C)	2016	0.9
Central Goldfields (S)	2016	0.7
Colac-Otway (S)	2016	0.8
Corangamite (S)	2016	0.7
Darebin (C)	2016	0.9
East Gippsland (S)	2016	0.7
Frankston (C)	2016	0.8
Gannawarra (S)	2016	0.7
Glen Eira (C)	2016	0.9
Glenelg (S)	2016	0.7
Golden Plains (S)	2016	0.8
Greater Bendigo (C)	2016	0.8
Greater Dandenong (C)	2016	1
Greater Geelong (C)	2016	0.8
Greater Shepparton (C)	2016	0.8
Hepburn (S)	2016	0.8
Hindmarsh (S)	2016	0.7
Hobsons Bay (C)	2016	0.9
Horsham (RC)	2016	0.7
Hume (C)	2016	0.9
Indigo (S)	2016	0.8
Kingston (C) (Vic.)	2016	0.9
Knox (C)	2016	0.8
Latrobe (C) (Vic.)	2016	0.8
Loddon (S)	2016	0.8
Macedon Ranges (S)	2016	0.8
Manningham (C)	2016	0.8
Mansfield (S)	2016	0.7
Maribyrnong (C)	2016	1
Maroondah (C)	2016	0.8
Melbourne (C)	2016	1.1
Melton (C)	2016	0.9
Mildura (RC)	2016	0.8
Mitchell (S)	2016	0.8
Moira (S)	2016	0.8
Monash (C)	2016	0.9
Moonee Valley (C)	2016	0.9
Moorabool (S)	2016	0.8
Moreland (C)	2016	0.9
Mornington Peninsula (S)	2016	0.8
Mount Alexander (S)	2016	0.8
Moyne (S)	2016	0.8
Murrindindi (S)	2016	0.8
Nillumbik (S)	2016	0.8
Northern Grampians (S)	2016	0.7
Port Phillip (C)	2016	1
Pyrenees (S)	2016	0.7
Queenscliffe (B)	2016	0.6
South Gippsland (S)	2016	0.7
Southern Grampians (S)	2016	0.7
Stonnington (C)	2016	1
Strathbogie (S)	2016	0.7
Surf Coast (S)	2016	0.8
Swan Hill (RC)	2016	0.8
Towong (S)	2016	0.7
Wangaratta (RC)	2016	0.7
Warrnambool (C)	2016	0.8
Wellington (S)	2016	0.7
West Wimmera (S)	2016	0.7
Whitehorse (C)	2016	0.9
Whittlesea (C)	2016	0.9
Wodonga (C)	2016	0.8
Wyndham (C)	2016	0.9
Yarra (C)	2016	1
Yarra Ranges (S)	2016	0.8
Yarriambiack (S)	2016	0.7
Unincorporated Vic	2016	1
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2016	1.4
Balonne (S)	2016	0.8
Banana (S)	2016	0.8
Barcaldine (R)	2016	0.8
Barcoo (S)	2016	0.7
Blackall-Tambo (R)	2016	0.7
Boulia (S)	2016	0.8
Brisbane (C)	2016	0.8
Bulloo (S)	2016	0.8
Bundaberg (R)	2016	0.8
Burdekin (S)	2016	0.8
Burke (S)	2016	1.1
Cairns (R)	2016	0.8
Carpentaria (S)	2016	1
Cassowary Coast (R)	2016	0.8
Central Highlands (R) (Qld)	2016	0.8
Charters Towers (R)	2016	0.8
Cherbourg (S)	2016	1.2
Cloncurry (S)	2016	0.8
Cook (S)	2016	1
Croydon (S)	2016	0.9
Diamantina (S)	2016	0.8
Doomadgee (S)	2016	1.7
Douglas (S)	2016	0.9
Etheridge (S)	2016	0.9
Flinders (S) (Qld)	2016	0.7
Fraser Coast (R)	2016	0.8
Gladstone (R)	2016	0.8
Gold Coast (C)	2016	0.8
Goondiwindi (R)	2016	0.8
Gympie (R)	2016	0.8
Hinchinbrook (S)	2016	0.8
Hope Vale (S)	2016	1.1
Ipswich (C)	2016	0.8
Isaac (R)	2016	0.8
Kowanyama (S)	2016	1.2
Livingstone (S)	2016	0.8
Lockhart River (S)	2016	1.3
Lockyer Valley (R)	2016	0.8
Logan (C)	2016	0.8
Longreach (R)	2016	0.8
Mackay (R)	2016	0.8
McKinlay (S)	2016	0.8
Mapoon (S)	2016	1
Maranoa (R)	2016	0.8
Mareeba (S)	2016	0.9
Moreton Bay (R)	2016	0.8
Mornington (S)	2016	1.3
Mount Isa (C)	2016	0.9
Murweh (S)	2016	0.8
Napranum (S)	2016	1.2
Noosa (S)	2016	0.8
North Burnett (R)	2016	0.8
Northern Peninsula Area (R)	2016	1.3
Palm Island (S)	2016	1.5
Paroo (S)	2016	0.8
Pormpuraaw (S)	2016	1.1
Quilpie (S)	2016	0.7
Redland (C)	2016	0.8
Richmond (S)	2016	0.8
Rockhampton (R)	2016	0.8
Scenic Rim (R)	2016	0.8
Somerset (R)	2016	0.8
South Burnett (R)	2016	0.8
Southern Downs (R)	2016	0.8
Sunshine Coast (R)	2016	0.8
Tablelands (R)	2016	0.8
Toowoomba (R)	2016	0.8
Torres (S)	2016	1.2
Torres Strait Island (R)	2016	1.1
Townsville (C)	2016	0.8
Weipa (T)	2016	1
Western Downs (R)	2016	0.8
Whitsunday (R)	2016	0.8
Winton (S)	2016	0.8
Woorabinda (S)	2016	1.2
Wujal Wujal (S)	2016	1.1
Yarrabah (S)	2016	1.6
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2016	0
Adelaide (C)	2016	0.9
Adelaide Hills (DC)	2016	0.8
Alexandrina (DC)	2016	0.7
Anangu Pitjantjatjara (AC)	2016	1.3
Barossa (DC)	2016	0.8
Barunga West (DC)	2016	0.7
Berri and Barmera (DC)	2016	0.8
Burnside (C)	2016	0.8
Campbelltown (C) (SA)	2016	0.8
Ceduna (DC)	2016	0.8
Charles Sturt (C)	2016	0.8
Clare and Gilbert Valleys (DC)	2016	0.7
Cleve (DC)	2016	0.7
Coober Pedy (DC)	2016	0.8
Copper Coast (DC)	2016	0.7
Elliston (DC)	2016	0.7
Flinders Ranges (DC)	2016	0.7
Franklin Harbour (DC)	2016	0.7
Gawler (T)	2016	0.8
Goyder (DC)	2016	0.7
Grant (DC)	2016	0.8
Holdfast Bay (C)	2016	0.8
Kangaroo Island (DC)	2016	0.7
Karoonda East Murray (DC)	2016	0.8
Kimba (DC)	2016	0.7
Kingston (DC) (SA)	2016	0.7
Light (RegC)	2016	0.8
Lower Eyre Peninsula (DC)	2016	0.8
Loxton Waikerie (DC)	2016	0.8
Mallala (DC)	2016	0.8
Maralinga Tjarutja (AC)	2016	1.5
Marion (C)	2016	0.8
Mid Murray (DC)	2016	0.7
Mitcham (C)	2016	0.8
Mount Barker (DC)	2016	0.8
Mount Gambier (C)	2016	0.8
Mount Remarkable (DC)	2016	0.7
Murray Bridge (RC)	2016	0.8
Naracoorte and Lucindale (DC)	2016	0.8
Northern Areas (DC)	2016	0.7
Norwood Payneham St Peters (C)	2016	0.8
Onkaparinga (C)	2016	0.8
Orroroo/Carrieton (DC)	2016	0.7
Peterborough (DC)	2016	0.7
Playford (C)	2016	0.8
Port Adelaide Enfield (C)	2016	0.8
Port Augusta (C)	2016	0.8
Port Lincoln (C)	2016	0.8
Port Pirie City and Dists (M)	2016	0.7
Prospect (C)	2016	0.9
Renmark Paringa (DC)	2016	0.8
Robe (DC)	2016	0.6
Roxby Downs (M)	2016	0.8
Salisbury (C)	2016	0.8
Southern Mallee (DC)	2016	0.7
Streaky Bay (DC)	2016	0.8
Tatiara (DC)	2016	0.7
Tea Tree Gully (C)	2016	0.8
The Coorong (DC)	2016	0.7
Tumby Bay (DC)	2016	0.7
Unley (C)	2016	0.9
Victor Harbor (C)	2016	0.7
Wakefield (DC)	2016	0.8
Walkerville (M)	2016	0.8
Wattle Range (DC)	2016	0.7
West Torrens (C)	2016	0.9
Whyalla (C)	2016	0.7
Wudinna (DC)	2016	0.7
Yankalilla (DC)	2016	0.7
Yorke Peninsula (DC)	2016	0.7
Unincorporated SA	2016	0.8
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2016	0
Albany (C)	2016	0.8
Armadale (C)	2016	0.8
Ashburton (S)	2016	0.9
Augusta-Margaret River (S)	2016	0.8
Bassendean (T)	2016	0.8
Bayswater (C)	2016	0.8
Belmont (C)	2016	0.8
Beverley (S)	2016	0.7
Boddington (S)	2016	0.8
Boyup Brook (S)	2016	0.7
Bridgetown-Greenbushes (S)	2016	0.7
Brookton (S)	2016	0.7
Broome (S)	2016	1
Broomehill-Tambellup (S)	2016	0.8
Bruce Rock (S)	2016	0.7
Bunbury (C)	2016	0.7
Busselton (C)	2016	0.7
Cambridge (T)	2016	0.8
Canning (C)	2016	0.8
Capel (S)	2016	0.8
Carnamah (S)	2016	0.7
Carnarvon (S)	2016	0.9
Chapman Valley (S)	2016	0.9
Chittering (S)	2016	0.8
Claremont (T)	2016	0.8
Cockburn (C)	2016	0.8
Collie (S)	2016	0.7
Coolgardie (S)	2016	0.8
Coorow (S)	2016	0.7
Corrigin (S)	2016	0.7
Cottesloe (T)	2016	0.8
Cranbrook (S)	2016	0.7
Cuballing (S)	2016	0.7
Cue (S)	2016	0.6
Cunderdin (S)	2016	0.8
Dalwallinu (S)	2016	0.7
Dandaragan (S)	2016	0.7
Dardanup (S)	2016	0.7
Denmark (S)	2016	0.8
Derby-West Kimberley (S)	2016	1.1
Donnybrook-Balingup (S)	2016	0.7
Dowerin (S)	2016	0.7
Dumbleyung (S)	2016	0.7
Dundas (S)	2016	0.7
East Fremantle (T)	2016	0.8
East Pilbara (S)	2016	1
Esperance (S)	2016	0.8
Exmouth (S)	2016	0.9
Fremantle (C)	2016	0.8
Gingin (S)	2016	0.7
Gnowangerup (S)	2016	0.7
Goomalling (S)	2016	0.8
Gosnells (C)	2016	0.8
Greater Geraldton (C)	2016	0.8
Halls Creek (S)	2016	1.2
Harvey (S)	2016	0.7
Irwin (S)	2016	0.7
Jerramungup (S)	2016	0.7
Joondalup (C)	2016	0.7
Kalamunda (S)	2016	0.7
Kalgoorlie/Boulder (C)	2016	0.8
Karratha (C)	2016	0.9
Katanning (S)	2016	0.8
Kellerberrin (S)	2016	0.8
Kent (S)	2016	0.8
Kojonup (S)	2016	0.7
Kondinin (S)	2016	0.7
Koorda (S)	2016	0.7
Kulin (S)	2016	0.7
Kwinana (C)	2016	0.8
Lake Grace (S)	2016	0.7
Laverton (S)	2016	0.9
Leonora (S)	2016	0.8
Mandurah (C)	2016	0.7
Manjimup (S)	2016	0.7
Meekatharra (S)	2016	0.8
Melville (C)	2016	0.7
Menzies (S)	2016	1.2
Merredin (S)	2016	0.8
Mingenew (S)	2016	0.7
Moora (S)	2016	0.8
Morawa (S)	2016	0.7
Mosman Park (T)	2016	0.8
Mount Magnet (S)	2016	0.8
Mount Marshall (S)	2016	0.8
Mukinbudin (S)	2016	0.8
Mundaring (S)	2016	0.8
Murchison (S)	2016	0.8
Murray (S)	2016	0.8
Nannup (S)	2016	0.8
Narembeen (S)	2016	0.7
Narrogin (S)	2016	0.7
Nedlands (C)	2016	0.8
Ngaanyatjarraku (S)	2016	1.3
Northam (S)	2016	0.8
Northampton (S)	2016	0.8
Nungarin (S)	2016	0.7
Peppermint Grove (S)	2016	0.8
Perenjori (S)	2016	0.7
Perth (C)	2016	1
Pingelly (S)	2016	0.7
Plantagenet (S)	2016	0.8
Port Hedland (T)	2016	0.9
Quairading (S)	2016	0.7
Ravensthorpe (S)	2016	0.7
Rockingham (C)	2016	0.7
Sandstone (S)	2016	0.5
Serpentine-Jarrahdale (S)	2016	0.8
Shark Bay (S)	2016	0.8
South Perth (C)	2016	0.8
Stirling (C)	2016	0.8
Subiaco (C)	2016	0.9
Swan (C)	2016	0.8
Tammin (S)	2016	0.8
Three Springs (S)	2016	0.7
Toodyay (S)	2016	0.7
Trayning (S)	2016	0.7
Upper Gascoyne (S)	2016	1.1
Victoria Park (T)	2016	0.9
Victoria Plains (S)	2016	0.8
Vincent (C)	2016	0.9
Wagin (S)	2016	0.7
Wandering (S)	2016	0.7
Wanneroo (C)	2016	0.8
Waroona (S)	2016	0.8
West Arthur (S)	2016	0.7
Westonia (S)	2016	0.7
Wickepin (S)	2016	0.7
Williams (S)	2016	0.8
Wiluna (S)	2016	1.1
Wongan-Ballidu (S)	2016	0.7
Woodanilling (S)	2016	0.8
Wyalkatchem (S)	2016	0.7
Wyndham-East Kimberley (S)	2016	1
Yalgoo (S)	2016	0.8
Yilgarn (S)	2016	0.7
York (S)	2016	0.7
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2016	0
Break O'Day (M)	2016	0.8
Brighton (M)	2016	0.8
Burnie (C)	2016	0.8
Central Coast (M) (Tas.)	2016	0.8
Central Highlands (M) (Tas.)	2016	0.7
Circular Head (M)	2016	0.8
Clarence (C)	2016	0.8
Derwent Valley (M)	2016	0.8
Devonport (C)	2016	0.8
Dorset (M)	2016	0.7
Flinders (M) (Tas.)	2016	0.7
George Town (M)	2016	0.8
Glamorgan/Spring Bay (M)	2016	0.7
Glenorchy (C)	2016	0.8
Hobart (C)	2016	0.8
Huon Valley (M)	2016	0.8
Kentish (M)	2016	0.8
King Island (M)	2016	0.7
Kingborough (M)	2016	0.8
Latrobe (M) (Tas.)	2016	0.8
Launceston (C)	2016	0.8
Meander Valley (M)	2016	0.8
Northern Midlands (M)	2016	0.8
Sorell (M)	2016	0.8
Southern Midlands (M)	2016	0.8
Tasman (M)	2016	0.8
Waratah/Wynyard (M)	2016	0.8
West Coast (M)	2016	0.7
