LGA_NAME16	Year	overseas_visitors
Flinders Ranges (DC)	2011	32
Flinders Ranges (DC)	2016	8
Franklin Harbour (DC)	2006	3
Franklin Harbour (DC)	2011	3
Franklin Harbour (DC)	2016	3
Gawler (T)	2006	56
Gawler (T)	2011	52
Gawler (T)	2016	60
Goyder (DC)	2006	14
Goyder (DC)	2011	12
Goyder (DC)	2016	13
Grant (DC)	2006	26
Grant (DC)	2011	21
Grant (DC)	2016	20
Holdfast Bay (C)	2006	377
Holdfast Bay (C)	2011	402
Holdfast Bay (C)	2016	322
Kangaroo Island (DC)	2006	187
Kangaroo Island (DC)	2011	241
Kangaroo Island (DC)	2016	262
Karoonda East Murray (DC)	2006	0
Karoonda East Murray (DC)	2011	4
Karoonda East Murray (DC)	2016	0
Kimba (DC)	2006	4
Kimba (DC)	2011	5
Kimba (DC)	2016	3
Kingston (DC) (SA)	2006	3
Kingston (DC) (SA)	2011	17
Kingston (DC) (SA)	2016	18
Light (RegC)	2006	66
Light (RegC)	2011	36
Light (RegC)	2016	59
Lower Eyre Peninsula (DC)	2006	9
Lower Eyre Peninsula (DC)	2011	6
Lower Eyre Peninsula (DC)	2016	13
Loxton Waikerie (DC)	2006	77
Loxton Waikerie (DC)	2011	86
Loxton Waikerie (DC)	2016	83
Mallala (DC)	2006	11
Mallala (DC)	2011	6
Mallala (DC)	2016	17
Maralinga Tjarutja (AC)	2006	0
Maralinga Tjarutja (AC)	2011	0
Maralinga Tjarutja (AC)	2016	0
Marion (C)	2006	400
Marion (C)	2011	542
Marion (C)	2016	837
Mid Murray (DC)	2006	48
Mid Murray (DC)	2011	41
Mid Murray (DC)	2016	30
Mitcham (C)	2006	528
Mitcham (C)	2011	522
Mitcham (C)	2016	608
Mount Barker (DC)	2006	94
Mount Barker (DC)	2011	142
Mount Barker (DC)	2016	93
Mount Gambier (C)	2006	91
Mount Gambier (C)	2011	68
Mount Gambier (C)	2016	100
Mount Remarkable (DC)	2006	9
Mount Remarkable (DC)	2011	8
Mount Remarkable (DC)	2016	4
Murray Bridge (RC)	2006	29
Murray Bridge (RC)	2011	62
Murray Bridge (RC)	2016	172
Naracoorte and Lucindale (DC)	2006	33
Naracoorte and Lucindale (DC)	2011	44
Naracoorte and Lucindale (DC)	2016	70
Northern Areas (DC)	2006	3
Northern Areas (DC)	2011	4
Northern Areas (DC)	2016	16
Norwood Payneham St Peters (C)	2006	309
Norwood Payneham St Peters (C)	2011	413
Norwood Payneham St Peters (C)	2016	425
Onkaparinga (C)	2006	516
Onkaparinga (C)	2011	511
Onkaparinga (C)	2016	680
Orroroo/Carrieton (DC)	2006	8
Orroroo/Carrieton (DC)	2011	0
Orroroo/Carrieton (DC)	2016	11
Peterborough (DC)	2006	0
Peterborough (DC)	2011	4
Peterborough (DC)	2016	9
Playford (C)	2006	101
Playford (C)	2011	143
Playford (C)	2016	221
Port Adelaide Enfield (C)	2006	488
Port Adelaide Enfield (C)	2011	628
Port Adelaide Enfield (C)	2016	1305
Port Augusta (C)	2006	29
Port Augusta (C)	2011	43
Port Augusta (C)	2016	104
Port Lincoln (C)	2006	26
Port Lincoln (C)	2011	24
Port Lincoln (C)	2016	55
Port Pirie City and Dists (M)	2006	20
Port Pirie City and Dists (M)	2011	23
Port Pirie City and Dists (M)	2016	49
Prospect (C)	2006	109
Prospect (C)	2011	163
Prospect (C)	2016	207
Renmark Paringa (DC)	2006	41
Renmark Paringa (DC)	2011	101
Renmark Paringa (DC)	2016	279
Robe (DC)	2006	10
Robe (DC)	2011	9
Robe (DC)	2016	45
Roxby Downs (M)	2006	18
Roxby Downs (M)	2011	29
Roxby Downs (M)	2016	10
Salisbury (C)	2006	379
Salisbury (C)	2011	543
Salisbury (C)	2016	1023
Southern Mallee (DC)	2006	12
Southern Mallee (DC)	2011	17
Southern Mallee (DC)	2016	59
Streaky Bay (DC)	2006	9
Streaky Bay (DC)	2011	14
Streaky Bay (DC)	2016	19
Tatiara (DC)	2006	47
Tatiara (DC)	2011	70
Tatiara (DC)	2016	34
Tea Tree Gully (C)	2006	434
Tea Tree Gully (C)	2011	445
Tea Tree Gully (C)	2016	558
The Coorong (DC)	2006	22
The Coorong (DC)	2011	31
The Coorong (DC)	2016	32
Tumby Bay (DC)	2006	3
Tumby Bay (DC)	2011	3
Tumby Bay (DC)	2016	5
Unley (C)	2006	331
Unley (C)	2011	307
Unley (C)	2016	385
Victor Harbor (C)	2006	47
Victor Harbor (C)	2011	83
Victor Harbor (C)	2016	67
Wakefield (DC)	2006	31
Wakefield (DC)	2011	48
Wakefield (DC)	2016	25
Walkerville (M)	2006	69
Walkerville (M)	2011	48
Walkerville (M)	2016	105
Wattle Range (DC)	2006	24
Wattle Range (DC)	2011	29
Wattle Range (DC)	2016	68
West Torrens (C)	2006	368
West Torrens (C)	2011	422
West Torrens (C)	2016	592
Whyalla (C)	2006	64
Whyalla (C)	2011	37
Whyalla (C)	2016	50
Wudinna (DC)	2006	4
Wudinna (DC)	2011	6
Wudinna (DC)	2016	4
Yankalilla (DC)	2006	29
Yankalilla (DC)	2011	19
Yankalilla (DC)	2016	29
Yorke Peninsula (DC)	2006	15
Yorke Peninsula (DC)	2011	21
Yorke Peninsula (DC)	2016	20
Unincorporated SA	2006	147
Unincorporated SA	2011	116
Unincorporated SA	2016	138
No usual address (SA)	2006	0
No usual address (SA)	2011	0
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2006	35
Migratory - Offshore - Shipping (SA)	2011	35
Migratory - Offshore - Shipping (SA)	2016	18
Albany (C)	2006	203
Albany (C)	2011	176
Albany (C)	2016	327
Armadale (C)	2006	221
Armadale (C)	2011	285
Armadale (C)	2016	797
Ashburton (S)	2006	104
Ashburton (S)	2011	173
Ashburton (S)	2016	523
Augusta-Margaret River (S)	2006	283
Augusta-Margaret River (S)	2011	262
Augusta-Margaret River (S)	2016	516
Bassendean (T)	2006	90
Bassendean (T)	2011	91
Bassendean (T)	2016	106
Bayswater (C)	2006	352
Bayswater (C)	2011	554
Bayswater (C)	2016	761
Belmont (C)	2006	269
Belmont (C)	2011	437
Belmont (C)	2016	612
Beverley (S)	2006	0
Beverley (S)	2011	5
Beverley (S)	2016	5
Boddington (S)	2006	5
Boddington (S)	2011	9
Boddington (S)	2016	12
Boyup Brook (S)	2006	15
Boyup Brook (S)	2011	4
Boyup Brook (S)	2016	12
Bridgetown-Greenbushes (S)	2006	26
Bridgetown-Greenbushes (S)	2011	8
Bridgetown-Greenbushes (S)	2016	24
Brookton (S)	2006	0
Brookton (S)	2011	3
Brookton (S)	2016	5
Broome (S)	2006	615
Broome (S)	2011	693
Broome (S)	2016	658
Broomehill-Tambellup (S)	2006	0
Broomehill-Tambellup (S)	2011	3
Broomehill-Tambellup (S)	2016	4
Bruce Rock (S)	2006	7
Bruce Rock (S)	2011	5
Bruce Rock (S)	2016	11
Bunbury (C)	2006	96
Bunbury (C)	2011	170
Bunbury (C)	2016	214
Busselton (C)	2006	298
Busselton (C)	2011	272
Busselton (C)	2016	469
Cambridge (T)	2006	238
Cambridge (T)	2011	278
Cambridge (T)	2016	304
Canning (C)	2006	780
Canning (C)	2011	1067
Canning (C)	2016	1668
Capel (S)	2006	36
Capel (S)	2011	55
Capel (S)	2016	76
Carnamah (S)	2006	9
Carnamah (S)	2011	3
Carnamah (S)	2016	16
Carnarvon (S)	2006	240
Carnarvon (S)	2011	226
Carnarvon (S)	2016	199
Chapman Valley (S)	2006	3
Chapman Valley (S)	2011	4
Chapman Valley (S)	2016	0
Chittering (S)	2006	32
Chittering (S)	2011	22
Chittering (S)	2016	21
Claremont (T)	2006	161
Claremont (T)	2011	145
Claremont (T)	2016	125
Cockburn (C)	2006	518
Cockburn (C)	2011	600
Cockburn (C)	2016	1074
Collie (S)	2006	8
Collie (S)	2011	22
Collie (S)	2016	20
Coolgardie (S)	2006	26
Coolgardie (S)	2011	23
Coolgardie (S)	2016	18
Coorow (S)	2006	5
Coorow (S)	2011	29
Coorow (S)	2016	13
Corrigin (S)	2006	3
Corrigin (S)	2011	0
Corrigin (S)	2016	7
Cottesloe (T)	2006	178
Cottesloe (T)	2011	174
Cottesloe (T)	2016	113
Cranbrook (S)	2006	20
Cranbrook (S)	2011	30
Cranbrook (S)	2016	4
Cuballing (S)	2006	3
Cuballing (S)	2011	3
Cuballing (S)	2016	0
Cue (S)	2006	3
Cue (S)	2011	4
Cue (S)	2016	6
Cunderdin (S)	2006	3
Cunderdin (S)	2011	7
Cunderdin (S)	2016	3
Dalwallinu (S)	2006	5
Dalwallinu (S)	2011	14
Dalwallinu (S)	2016	24
Dandaragan (S)	2006	101
Dandaragan (S)	2011	118
Dandaragan (S)	2016	83
Dardanup (S)	2006	43
Dardanup (S)	2011	25
Dardanup (S)	2016	53
Denmark (S)	2006	27
Denmark (S)	2011	39
Denmark (S)	2016	28
Derby-West Kimberley (S)	2006	97
Derby-West Kimberley (S)	2011	203
Derby-West Kimberley (S)	2016	179
Donnybrook-Balingup (S)	2006	34
Donnybrook-Balingup (S)	2011	103
Donnybrook-Balingup (S)	2016	65
Dowerin (S)	2006	6
Dowerin (S)	2011	3
Dowerin (S)	2016	3
Dumbleyung (S)	2006	3
Dumbleyung (S)	2011	6
Dumbleyung (S)	2016	8
Dundas (S)	2006	27
Dundas (S)	2011	30
Dundas (S)	2016	14
East Fremantle (T)	2006	58
East Fremantle (T)	2011	74
East Fremantle (T)	2016	71
East Pilbara (S)	2006	77
East Pilbara (S)	2011	123
East Pilbara (S)	2016	138
Esperance (S)	2006	53
Esperance (S)	2011	57
Esperance (S)	2016	66
Exmouth (S)	2006	145
Exmouth (S)	2011	140
Exmouth (S)	2016	217
Fremantle (C)	2006	511
Fremantle (C)	2011	584
Fremantle (C)	2016	525
Gingin (S)	2006	41
Gingin (S)	2011	80
Gingin (S)	2016	173
Gnowangerup (S)	2006	10
Gnowangerup (S)	2011	9
Gnowangerup (S)	2016	6
Goomalling (S)	2006	0
Goomalling (S)	2011	7
Goomalling (S)	2016	3
Gosnells (C)	2006	439
Gosnells (C)	2011	751
Gosnells (C)	2016	1410
Greater Geraldton (C)	2006	147
Greater Geraldton (C)	2011	215
Greater Geraldton (C)	2016	275
Halls Creek (S)	2006	57
Halls Creek (S)	2011	115
Halls Creek (S)	2016	133
Harvey (S)	2006	59
Harvey (S)	2011	118
Harvey (S)	2016	151
Irwin (S)	2006	45
Irwin (S)	2011	57
Irwin (S)	2016	12
Jerramungup (S)	2006	3
Jerramungup (S)	2011	14
Jerramungup (S)	2016	3
Joondalup (C)	2006	1262
Joondalup (C)	2011	1178
Joondalup (C)	2016	1183
Kalamunda (S)	2006	296
Kalamunda (S)	2011	296
Kalamunda (S)	2016	360
Kalgoorlie/Boulder (C)	2006	192
Kalgoorlie/Boulder (C)	2011	257
Kalgoorlie/Boulder (C)	2016	190
Karratha (C)	2006	163
Karratha (C)	2011	360
Karratha (C)	2016	285
Katanning (S)	2006	11
Katanning (S)	2011	10
Katanning (S)	2016	27
Kellerberrin (S)	2006	7
Kellerberrin (S)	2011	0
Kellerberrin (S)	2016	3
Kent (S)	2006	8
Kent (S)	2011	3
Kent (S)	2016	3
Kojonup (S)	2006	9
Kojonup (S)	2011	19
Kojonup (S)	2016	15
Kondinin (S)	2006	13
Kondinin (S)	2011	23
Kondinin (S)	2016	15
Koorda (S)	2006	0
Koorda (S)	2011	3
Koorda (S)	2016	0
Kulin (S)	2006	8
Kulin (S)	2011	3
Kulin (S)	2016	0
Kwinana (C)	2006	54
Kwinana (C)	2011	113
Kwinana (C)	2016	324
Lake Grace (S)	2006	20
Lake Grace (S)	2011	19
Lake Grace (S)	2016	17
Laverton (S)	2006	9
Laverton (S)	2011	18
Laverton (S)	2016	15
Leonora (S)	2006	15
Leonora (S)	2011	22
Leonora (S)	2016	31
Mandurah (C)	2006	224
Mandurah (C)	2011	342
Mandurah (C)	2016	413
Manjimup (S)	2006	159
Manjimup (S)	2011	118
Manjimup (S)	2016	179
Meekatharra (S)	2006	21
Meekatharra (S)	2011	19
Meekatharra (S)	2016	32
Melville (C)	2006	1044
Melville (C)	2011	1117
Melville (C)	2016	1308
Menzies (S)	2006	0
Menzies (S)	2011	3
Menzies (S)	2016	0
Merredin (S)	2006	130
Merredin (S)	2011	29
Merredin (S)	2016	59
Mingenew (S)	2006	0
Mingenew (S)	2011	4
Mingenew (S)	2016	0
Moora (S)	2006	23
Moora (S)	2011	7
Moora (S)	2016	20
Morawa (S)	2006	0
Morawa (S)	2011	11
Morawa (S)	2016	4
Mosman Park (T)	2006	145
Mosman Park (T)	2011	149
Mosman Park (T)	2016	114
Mount Magnet (S)	2006	9
Mount Magnet (S)	2011	14
Mount Magnet (S)	2016	3
Mount Marshall (S)	2006	3
Mount Marshall (S)	2011	3
Mount Marshall (S)	2016	3
Mukinbudin (S)	2006	0
Mukinbudin (S)	2011	3
Mukinbudin (S)	2016	0
Mundaring (S)	2006	139
Mundaring (S)	2011	131
Mundaring (S)	2016	144
Murchison (S)	2006	0
Murchison (S)	2011	15
Murchison (S)	2016	3
Murray (S)	2006	43
Murray (S)	2011	59
Murray (S)	2016	56
Nannup (S)	2006	15
Nannup (S)	2011	16
Nannup (S)	2016	13
Narembeen (S)	2006	0
Narembeen (S)	2011	9
Narembeen (S)	2016	7
Narrogin (S)	2006	19
Narrogin (S)	2011	14
Narrogin (S)	2016	19
Nedlands (C)	2006	278
Nedlands (C)	2011	315
Nedlands (C)	2016	300
Ngaanyatjarraku (S)	2006	3
Ngaanyatjarraku (S)	2011	7
Ngaanyatjarraku (S)	2016	11
Northam (S)	2006	54
Northam (S)	2011	39
Northam (S)	2016	37
Northampton (S)	2006	151
Northampton (S)	2011	102
Northampton (S)	2016	208
Nungarin (S)	2006	0
Nungarin (S)	2011	5
Nungarin (S)	2016	0
Peppermint Grove (S)	2006	29
Peppermint Grove (S)	2011	20
Peppermint Grove (S)	2016	28
Perenjori (S)	2006	3
Perenjori (S)	2011	21
Perenjori (S)	2016	11
Perth (C)	2006	2930
Perth (C)	2011	2839
Perth (C)	2016	3342
Pingelly (S)	2006	3
Pingelly (S)	2011	10
Pingelly (S)	2016	9
Plantagenet (S)	2006	19
Plantagenet (S)	2011	18
Plantagenet (S)	2016	22
Port Hedland (T)	2006	157
Port Hedland (T)	2011	215
Port Hedland (T)	2016	211
Quairading (S)	2006	4
Quairading (S)	2011	5
Quairading (S)	2016	3
Ravensthorpe (S)	2006	32
Ravensthorpe (S)	2011	27
Ravensthorpe (S)	2016	11
Rockingham (C)	2006	350
Rockingham (C)	2011	521
Rockingham (C)	2016	696
Sandstone (S)	2006	0
Sandstone (S)	2011	3
Sandstone (S)	2016	4
Serpentine-Jarrahdale (S)	2006	46
Serpentine-Jarrahdale (S)	2011	81
Serpentine-Jarrahdale (S)	2016	157
Shark Bay (S)	2006	192
Shark Bay (S)	2011	185
Shark Bay (S)	2016	140
South Perth (C)	2006	793
South Perth (C)	2011	849
South Perth (C)	2016	771
Stirling (C)	2006	1446
Stirling (C)	2011	1913
Stirling (C)	2016	2452
Subiaco (C)	2006	513
Subiaco (C)	2011	513
Subiaco (C)	2016	591
Swan (C)	2006	451
Swan (C)	2011	549
Swan (C)	2016	1081
Tammin (S)	2006	0
Tammin (S)	2011	3
Tammin (S)	2016	0
Three Springs (S)	2006	9
Three Springs (S)	2011	14
Three Springs (S)	2016	6
Toodyay (S)	2006	10
Toodyay (S)	2011	23
Toodyay (S)	2016	9
Trayning (S)	2006	0
Trayning (S)	2011	6
Trayning (S)	2016	3
Upper Gascoyne (S)	2006	10
Upper Gascoyne (S)	2011	6
Upper Gascoyne (S)	2016	5
Victoria Park (T)	2006	560
Victoria Park (T)	2011	713
Victoria Park (T)	2016	810
Victoria Plains (S)	2006	11
Victoria Plains (S)	2011	22
Victoria Plains (S)	2016	15
Vincent (C)	2006	869
Vincent (C)	2011	914
Vincent (C)	2016	730
Wagin (S)	2006	9
Wagin (S)	2011	23
Wagin (S)	2016	14
Wandering (S)	2006	0
Wandering (S)	2011	0
Wandering (S)	2016	0
Wanneroo (C)	2006	609
Wanneroo (C)	2011	873
Wanneroo (C)	2016	1434
Waroona (S)	2006	10
Waroona (S)	2011	13
Waroona (S)	2016	7
West Arthur (S)	2006	8
West Arthur (S)	2011	10
West Arthur (S)	2016	0
Westonia (S)	2006	0
Westonia (S)	2011	0
Westonia (S)	2016	5
Wickepin (S)	2006	3
Wickepin (S)	2011	6
Wickepin (S)	2016	5
Williams (S)	2006	5
Williams (S)	2011	12
Williams (S)	2016	12
Wiluna (S)	2006	20
Wiluna (S)	2011	19
Wiluna (S)	2016	12
Wongan-Ballidu (S)	2006	7
Wongan-Ballidu (S)	2011	12
Wongan-Ballidu (S)	2016	3
Woodanilling (S)	2006	0
Woodanilling (S)	2011	0
Woodanilling (S)	2016	0
Wyalkatchem (S)	2006	0
Wyalkatchem (S)	2011	0
Wyalkatchem (S)	2016	3
Wyndham-East Kimberley (S)	2006	362
Wyndham-East Kimberley (S)	2011	401
Wyndham-East Kimberley (S)	2016	347
Yalgoo (S)	2006	6
Yalgoo (S)	2011	11
Yalgoo (S)	2016	3
Yilgarn (S)	2006	19
Yilgarn (S)	2011	15
Yilgarn (S)	2016	30
York (S)	2006	20
York (S)	2011	17
York (S)	2016	26
No usual address (WA)	2006	0
No usual address (WA)	2011	0
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2006	376
Migratory - Offshore - Shipping (WA)	2011	459
Migratory - Offshore - Shipping (WA)	2016	465
Break O'Day (M)	2006	20
Break O'Day (M)	2011	18
Break O'Day (M)	2016	22
Brighton (M)	2006	12
Brighton (M)	2011	8
Brighton (M)	2016	15
Burnie (C)	2006	25
Burnie (C)	2011	72
Burnie (C)	2016	48
Central Coast (M) (Tas.)	2006	43
Central Coast (M) (Tas.)	2011	46
Central Coast (M) (Tas.)	2016	34
Central Highlands (M) (Tas.)	2006	0
Central Highlands (M) (Tas.)	2011	5
Central Highlands (M) (Tas.)	2016	17
Circular Head (M)	2006	21
Circular Head (M)	2011	50
Circular Head (M)	2016	46
Clarence (C)	2006	134
Clarence (C)	2011	145
Clarence (C)	2016	168
Derwent Valley (M)	2006	29
Derwent Valley (M)	2011	3
Derwent Valley (M)	2016	22
Devonport (C)	2006	51
Devonport (C)	2011	55
Devonport (C)	2016	114
Dorset (M)	2006	18
Dorset (M)	2011	14
Dorset (M)	2016	5
Flinders (M) (Tas.)	2006	7
Flinders (M) (Tas.)	2011	4
Flinders (M) (Tas.)	2016	0
George Town (M)	2006	25
George Town (M)	2011	31
George Town (M)	2016	30
Glamorgan/Spring Bay (M)	2006	41
Glamorgan/Spring Bay (M)	2011	54
Glamorgan/Spring Bay (M)	2016	117
Glenorchy (C)	2006	48
Glenorchy (C)	2011	89
Glenorchy (C)	2016	133
Hobart (C)	2006	629
Hobart (C)	2011	717
Hobart (C)	2016	1092
Huon Valley (M)	2006	28
Huon Valley (M)	2011	33
Huon Valley (M)	2016	50
Kentish (M)	2006	31
Kentish (M)	2011	55
Kentish (M)	2016	108
King Island (M)	2006	8
King Island (M)	2011	17
King Island (M)	2016	9
Kingborough (M)	2006	88
Kingborough (M)	2011	133
Kingborough (M)	2016	183
Latrobe (M) (Tas.)	2006	35
Latrobe (M) (Tas.)	2011	9
Latrobe (M) (Tas.)	2016	15
Launceston (C)	2006	305
Launceston (C)	2011	372
Launceston (C)	2016	477
Meander Valley (M)	2006	39
Meander Valley (M)	2011	48
Meander Valley (M)	2016	34
Northern Midlands (M)	2006	23
Northern Midlands (M)	2011	41
Northern Midlands (M)	2016	25
Sorell (M)	2006	18
Sorell (M)	2011	7
Sorell (M)	2016	18
Southern Midlands (M)	2006	5
Southern Midlands (M)	2011	34
Southern Midlands (M)	2016	5
Tasman (M)	2006	12
Tasman (M)	2011	14
Tasman (M)	2016	21
Waratah/Wynyard (M)	2006	33
Waratah/Wynyard (M)	2011	29
Waratah/Wynyard (M)	2016	29
West Coast (M)	2006	16
West Coast (M)	2011	22
West Coast (M)	2016	15
West Tamar (M)	2006	39
West Tamar (M)	2011	51
West Tamar (M)	2016	68
No usual address (Tas.)	2006	0
No usual address (Tas.)	2011	0
No usual address (Tas.)	2016	0
Migratory - Offshore - Shipping (Tas.)	2006	31
Migratory - Offshore - Shipping (Tas.)	2011	26
Migratory - Offshore - Shipping (Tas.)	2016	43
Alice Springs (T)	2006	920
Alice Springs (T)	2011	939
Alice Springs (T)	2016	955
Barkly (R)	2006	132
Barkly (R)	2011	147
Barkly (R)	2016	128
Belyuen (S)	2006	0
Belyuen (S)	2011	0
Belyuen (S)	2016	0
Central Desert (R)	2006	33
Central Desert (R)	2011	42
Central Desert (R)	2016	29
Coomalie (S)	2006	89
Coomalie (S)	2011	51
Coomalie (S)	2016	87
Darwin (C)	2006	2383
Darwin (C)	2011	2184
Darwin (C)	2016	3397
East Arnhem (R)	2006	14
East Arnhem (R)	2011	6
East Arnhem (R)	2016	37
Katherine (T)	2006	419
Katherine (T)	2011	158
Katherine (T)	2016	343
Litchfield (M)	2006	162
Litchfield (M)	2011	164
Litchfield (M)	2016	1141
MacDonnell (R)	2006	334
MacDonnell (R)	2011	454
MacDonnell (R)	2016	447
Palmerston (C)	2006	97
Palmerston (C)	2011	127
Palmerston (C)	2016	269
Roper Gulf (R)	2006	115
Roper Gulf (R)	2011	117
Roper Gulf (R)	2016	200
Tiwi Islands (R)	2006	16
Tiwi Islands (R)	2011	0
Tiwi Islands (R)	2016	5
Victoria Daly (R)	2006	85
Victoria Daly (R)	2011	118
Victoria Daly (R)	2016	197
Wagait (S)	2006	3
Wagait (S)	2011	0
Wagait (S)	2016	0
West Arnhem (R)	2006	489
West Arnhem (R)	2011	444
West Arnhem (R)	2016	400
West Daly (R)	2006	3
West Daly (R)	2011	0
West Daly (R)	2016	6
Unincorporated NT	2006	1250
Unincorporated NT	2011	1095
Unincorporated NT	2016	1268
No usual address (NT)	2006	0
No usual address (NT)	2011	0
No usual address (NT)	2016	0
Migratory - Offshore - Shipping (NT)	2006	122
Migratory - Offshore - Shipping (NT)	2011	107
Migratory - Offshore - Shipping (NT)	2016	75
Unincorporated ACT	2006	2919
Unincorporated ACT	2011	3656
Unincorporated ACT	2016	4874
No usual address (ACT)	2006	0
No usual address (ACT)	2011	0
No usual address (ACT)	2016	0
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2006	73
Unincorp. Other Territories	2011	41
Unincorp. Other Territories	2016	117
No usual address (OT)	2006	0
No usual address (OT)	2011	0
No usual address (OT)	2016	0
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	0
