LGA_NAME16	Year	NonSchoolQualification	Sex	persons
Gwydir (A)	2016	Bachelor	M	100
Gwydir (A)	2016	Graduate Diploma and Graduate Certificate	F	26
Gwydir (A)	2016	Graduate Diploma and Graduate Certificate	M	10
Gwydir (A)	2016	Postgraduate	F	20
Gwydir (A)	2016	Postgraduate	M	15
Hawkesbury (C)	2006		F	22193
Hawkesbury (C)	2006		M	19446
Hawkesbury (C)	2006	Certificate nfd	F	674
Hawkesbury (C)	2006	Certificate nfd	M	320
Hawkesbury (C)	2006	Certificate I and II Level	F	497
Hawkesbury (C)	2006	Certificate I and II Level	M	191
Hawkesbury (C)	2006	Certificate III and IV Level	F	2193
Hawkesbury (C)	2006	Certificate III and IV Level	M	6959
Hawkesbury (C)	2006	Advanced Diploma and Diploma	F	1982
Hawkesbury (C)	2006	Advanced Diploma and Diploma	M	1351
Hawkesbury (C)	2006	Bachelor	F	2216
Hawkesbury (C)	2006	Bachelor	M	1373
Hawkesbury (C)	2006	Graduate Diploma and Graduate Certificate	F	341
Hawkesbury (C)	2006	Graduate Diploma and Graduate Certificate	M	156
Hawkesbury (C)	2006	Postgraduate	F	323
Hawkesbury (C)	2006	Postgraduate	M	345
Hawkesbury (C)	2011		F	21257
Hawkesbury (C)	2011		M	19156
Hawkesbury (C)	2011	Certificate nfd	F	678
Hawkesbury (C)	2011	Certificate nfd	M	288
Hawkesbury (C)	2011	Certificate I and II Level	F	527
Hawkesbury (C)	2011	Certificate I and II Level	M	238
Hawkesbury (C)	2011	Certificate III and IV Level	F	2943
Hawkesbury (C)	2011	Certificate III and IV Level	M	7625
Hawkesbury (C)	2011	Advanced Diploma and Diploma	F	2422
Hawkesbury (C)	2011	Advanced Diploma and Diploma	M	1595
Hawkesbury (C)	2011	Bachelor	F	2623
Hawkesbury (C)	2011	Bachelor	M	1541
Hawkesbury (C)	2011	Graduate Diploma and Graduate Certificate	F	378
Hawkesbury (C)	2011	Graduate Diploma and Graduate Certificate	M	172
Hawkesbury (C)	2011	Postgraduate	F	469
Hawkesbury (C)	2011	Postgraduate	M	441
Hawkesbury (C)	2016		F	20377
Hawkesbury (C)	2016		M	18656
Hawkesbury (C)	2016	Certificate nfd	F	815
Hawkesbury (C)	2016	Certificate nfd	M	473
Hawkesbury (C)	2016	Certificate I and II Level	F	506
Hawkesbury (C)	2016	Certificate I and II Level	M	194
Hawkesbury (C)	2016	Certificate III and IV Level	F	3612
Hawkesbury (C)	2016	Certificate III and IV Level	M	8346
Hawkesbury (C)	2016	Advanced Diploma and Diploma	F	2990
Hawkesbury (C)	2016	Advanced Diploma and Diploma	M	1858
Hawkesbury (C)	2016	Bachelor	F	3131
Hawkesbury (C)	2016	Bachelor	M	1652
Hawkesbury (C)	2016	Graduate Diploma and Graduate Certificate	F	487
Hawkesbury (C)	2016	Graduate Diploma and Graduate Certificate	M	218
Hawkesbury (C)	2016	Postgraduate	F	717
Hawkesbury (C)	2016	Postgraduate	M	555
Hay (A)	2006		F	1382
Hay (A)	2006		M	1342
Hay (A)	2006	Certificate nfd	F	19
Hay (A)	2006	Certificate nfd	M	13
Hay (A)	2006	Certificate I and II Level	F	17
Hay (A)	2006	Certificate I and II Level	M	3
Hay (A)	2006	Certificate III and IV Level	F	79
Hay (A)	2006	Certificate III and IV Level	M	237
Hay (A)	2006	Advanced Diploma and Diploma	F	72
Hay (A)	2006	Advanced Diploma and Diploma	M	46
Hay (A)	2006	Bachelor	F	80
Hay (A)	2006	Bachelor	M	51
Hay (A)	2006	Graduate Diploma and Graduate Certificate	F	23
Hay (A)	2006	Graduate Diploma and Graduate Certificate	M	4
Hay (A)	2006	Postgraduate	F	6
Hay (A)	2006	Postgraduate	M	5
Hay (A)	2011		F	1149
Hay (A)	2011		M	1118
Hay (A)	2011	Certificate nfd	F	20
Hay (A)	2011	Certificate nfd	M	7
Hay (A)	2011	Certificate I and II Level	F	28
Hay (A)	2011	Certificate I and II Level	M	7
Hay (A)	2011	Certificate III and IV Level	F	105
Hay (A)	2011	Certificate III and IV Level	M	237
Hay (A)	2011	Advanced Diploma and Diploma	F	67
Hay (A)	2011	Advanced Diploma and Diploma	M	50
Hay (A)	2011	Bachelor	F	92
Hay (A)	2011	Bachelor	M	45
Hay (A)	2011	Graduate Diploma and Graduate Certificate	F	12
Hay (A)	2011	Graduate Diploma and Graduate Certificate	M	5
Hay (A)	2011	Postgraduate	F	3
Hay (A)	2011	Postgraduate	M	7
Hay (A)	2016		F	1077
Hay (A)	2016		M	1090
Hay (A)	2016	Certificate nfd	F	22
Hay (A)	2016	Certificate nfd	M	11
Hay (A)	2016	Certificate I and II Level	F	25
Hay (A)	2016	Certificate I and II Level	M	8
Hay (A)	2016	Certificate III and IV Level	F	130
Hay (A)	2016	Certificate III and IV Level	M	251
Hay (A)	2016	Advanced Diploma and Diploma	F	90
Hay (A)	2016	Advanced Diploma and Diploma	M	57
Hay (A)	2016	Bachelor	F	94
Hay (A)	2016	Bachelor	M	47
Hay (A)	2016	Graduate Diploma and Graduate Certificate	F	13
Hay (A)	2016	Graduate Diploma and Graduate Certificate	M	5
Hay (A)	2016	Postgraduate	F	10
Hay (A)	2016	Postgraduate	M	11
Hilltops (A)	2006		F	7071
Hilltops (A)	2006		M	6427
Hilltops (A)	2006	Certificate nfd	F	151
Hilltops (A)	2006	Certificate nfd	M	84
Hilltops (A)	2006	Certificate I and II Level	F	114
Hilltops (A)	2006	Certificate I and II Level	M	58
Hilltops (A)	2006	Certificate III and IV Level	F	578
Hilltops (A)	2006	Certificate III and IV Level	M	1605
Hilltops (A)	2006	Advanced Diploma and Diploma	F	472
Hilltops (A)	2006	Advanced Diploma and Diploma	M	261
Hilltops (A)	2006	Bachelor	F	531
Hilltops (A)	2006	Bachelor	M	309
Hilltops (A)	2006	Graduate Diploma and Graduate Certificate	F	83
Hilltops (A)	2006	Graduate Diploma and Graduate Certificate	M	39
Hilltops (A)	2006	Postgraduate	F	39
Hilltops (A)	2006	Postgraduate	M	38
Hilltops (A)	2011		F	6871
Hilltops (A)	2011		M	6279
Hilltops (A)	2011	Certificate nfd	F	143
Hilltops (A)	2011	Certificate nfd	M	85
Hilltops (A)	2011	Certificate I and II Level	F	139
Hilltops (A)	2011	Certificate I and II Level	M	62
Hilltops (A)	2011	Certificate III and IV Level	F	780
Hilltops (A)	2011	Certificate III and IV Level	M	1757
Hilltops (A)	2011	Advanced Diploma and Diploma	F	545
Hilltops (A)	2011	Advanced Diploma and Diploma	M	297
Hilltops (A)	2011	Bachelor	F	642
Hilltops (A)	2011	Bachelor	M	356
Hilltops (A)	2011	Graduate Diploma and Graduate Certificate	F	81
Hilltops (A)	2011	Graduate Diploma and Graduate Certificate	M	45
Hilltops (A)	2011	Postgraduate	F	60
Hilltops (A)	2011	Postgraduate	M	68
Hilltops (A)	2016		F	6458
Hilltops (A)	2016		M	6141
Hilltops (A)	2016	Certificate nfd	F	223
Hilltops (A)	2016	Certificate nfd	M	110
Hilltops (A)	2016	Certificate I and II Level	F	148
Hilltops (A)	2016	Certificate I and II Level	M	74
Hilltops (A)	2016	Certificate III and IV Level	F	913
Hilltops (A)	2016	Certificate III and IV Level	M	1898
Hilltops (A)	2016	Advanced Diploma and Diploma	F	694
Hilltops (A)	2016	Advanced Diploma and Diploma	M	352
Hilltops (A)	2016	Bachelor	F	769
Hilltops (A)	2016	Bachelor	M	393
Hilltops (A)	2016	Graduate Diploma and Graduate Certificate	F	94
Hilltops (A)	2016	Graduate Diploma and Graduate Certificate	M	44
Hilltops (A)	2016	Postgraduate	F	103
Hilltops (A)	2016	Postgraduate	M	76
Hornsby (A)	2006		F	40841
Hornsby (A)	2006		M	34439
Hornsby (A)	2006	Certificate nfd	F	1745
Hornsby (A)	2006	Certificate nfd	M	971
Hornsby (A)	2006	Certificate I and II Level	F	722
Hornsby (A)	2006	Certificate I and II Level	M	373
Hornsby (A)	2006	Certificate III and IV Level	F	3063
Hornsby (A)	2006	Certificate III and IV Level	M	8452
Hornsby (A)	2006	Advanced Diploma and Diploma	F	6693
Hornsby (A)	2006	Advanced Diploma and Diploma	M	4697
Hornsby (A)	2006	Bachelor	F	11029
Hornsby (A)	2006	Bachelor	M	10359
Hornsby (A)	2006	Graduate Diploma and Graduate Certificate	F	1420
Hornsby (A)	2006	Graduate Diploma and Graduate Certificate	M	860
Hornsby (A)	2006	Postgraduate	F	2580
Hornsby (A)	2006	Postgraduate	M	4008
Hornsby (A)	2011		F	38920
Hornsby (A)	2011		M	33915
Hornsby (A)	2011	Certificate nfd	F	1483
Hornsby (A)	2011	Certificate nfd	M	777
Hornsby (A)	2011	Certificate I and II Level	F	661
Hornsby (A)	2011	Certificate I and II Level	M	403
Hornsby (A)	2011	Certificate III and IV Level	F	3564
Hornsby (A)	2011	Certificate III and IV Level	M	8514
Hornsby (A)	2011	Advanced Diploma and Diploma	F	7054
Hornsby (A)	2011	Advanced Diploma and Diploma	M	5083
Hornsby (A)	2011	Bachelor	F	13075
Hornsby (A)	2011	Bachelor	M	11828
Hornsby (A)	2011	Graduate Diploma and Graduate Certificate	F	1743
Hornsby (A)	2011	Graduate Diploma and Graduate Certificate	M	1132
Hornsby (A)	2011	Postgraduate	F	3870
Hornsby (A)	2011	Postgraduate	M	5217
Hornsby (A)	2016		F	37194
Hornsby (A)	2016		M	33898
Hornsby (A)	2016	Certificate nfd	F	1795
Hornsby (A)	2016	Certificate nfd	M	970
Hornsby (A)	2016	Certificate I and II Level	F	581
Hornsby (A)	2016	Certificate I and II Level	M	332
Hornsby (A)	2016	Certificate III and IV Level	F	3600
Hornsby (A)	2016	Certificate III and IV Level	M	8091
Hornsby (A)	2016	Advanced Diploma and Diploma	F	6974
Hornsby (A)	2016	Advanced Diploma and Diploma	M	5174
Hornsby (A)	2016	Bachelor	F	15185
Hornsby (A)	2016	Bachelor	M	13164
Hornsby (A)	2016	Graduate Diploma and Graduate Certificate	F	2014
Hornsby (A)	2016	Graduate Diploma and Graduate Certificate	M	1312
Hornsby (A)	2016	Postgraduate	F	5684
Hornsby (A)	2016	Postgraduate	M	6693
Hunters Hill (A)	2006		F	3928
Hunters Hill (A)	2006		M	3923
Hunters Hill (A)	2006	Certificate nfd	F	116
Hunters Hill (A)	2006	Certificate nfd	M	68
Hunters Hill (A)	2006	Certificate I and II Level	F	33
Hunters Hill (A)	2006	Certificate I and II Level	M	30
Hunters Hill (A)	2006	Certificate III and IV Level	F	217
Hunters Hill (A)	2006	Certificate III and IV Level	M	534
Hunters Hill (A)	2006	Advanced Diploma and Diploma	F	655
Hunters Hill (A)	2006	Advanced Diploma and Diploma	M	360
Hunters Hill (A)	2006	Bachelor	F	1179
Hunters Hill (A)	2006	Bachelor	M	1159
Hunters Hill (A)	2006	Graduate Diploma and Graduate Certificate	F	143
Hunters Hill (A)	2006	Graduate Diploma and Graduate Certificate	M	74
Hunters Hill (A)	2006	Postgraduate	F	357
Hunters Hill (A)	2006	Postgraduate	M	471
Hunters Hill (A)	2011		F	3602
Hunters Hill (A)	2011		M	3555
Hunters Hill (A)	2011	Certificate nfd	F	107
Hunters Hill (A)	2011	Certificate nfd	M	53
Hunters Hill (A)	2011	Certificate I and II Level	F	48
Hunters Hill (A)	2011	Certificate I and II Level	M	31
Hunters Hill (A)	2011	Certificate III and IV Level	F	231
Hunters Hill (A)	2011	Certificate III and IV Level	M	516
Hunters Hill (A)	2011	Advanced Diploma and Diploma	F	697
Hunters Hill (A)	2011	Advanced Diploma and Diploma	M	412
Hunters Hill (A)	2011	Bachelor	F	1365
Hunters Hill (A)	2011	Bachelor	M	1293
Hunters Hill (A)	2011	Graduate Diploma and Graduate Certificate	F	169
Hunters Hill (A)	2011	Graduate Diploma and Graduate Certificate	M	99
Hunters Hill (A)	2011	Postgraduate	F	458
Hunters Hill (A)	2011	Postgraduate	M	578
Hunters Hill (A)	2016		F	3560
Hunters Hill (A)	2016		M	3800
Hunters Hill (A)	2016	Certificate nfd	F	162
Hunters Hill (A)	2016	Certificate nfd	M	90
Hunters Hill (A)	2016	Certificate I and II Level	F	48
Hunters Hill (A)	2016	Certificate I and II Level	M	20
Hunters Hill (A)	2016	Certificate III and IV Level	F	249
Hunters Hill (A)	2016	Certificate III and IV Level	M	538
Hunters Hill (A)	2016	Advanced Diploma and Diploma	F	670
Hunters Hill (A)	2016	Advanced Diploma and Diploma	M	397
Hunters Hill (A)	2016	Bachelor	F	1549
Hunters Hill (A)	2016	Bachelor	M	1384
Hunters Hill (A)	2016	Graduate Diploma and Graduate Certificate	F	207
Hunters Hill (A)	2016	Graduate Diploma and Graduate Certificate	M	107
Hunters Hill (A)	2016	Postgraduate	F	571
Hunters Hill (A)	2016	Postgraduate	M	651
Inner West (A)	2006		F	46316
Inner West (A)	2006		M	44787
Inner West (A)	2006	Certificate nfd	F	1294
Inner West (A)	2006	Certificate nfd	M	792
Inner West (A)	2006	Certificate I and II Level	F	702
Inner West (A)	2006	Certificate I and II Level	M	428
Inner West (A)	2006	Certificate III and IV Level	F	3330
Inner West (A)	2006	Certificate III and IV Level	M	7750
Inner West (A)	2006	Advanced Diploma and Diploma	F	6475
Inner West (A)	2006	Advanced Diploma and Diploma	M	4758
Inner West (A)	2006	Bachelor	F	16260
Inner West (A)	2006	Bachelor	M	13483
Inner West (A)	2006	Graduate Diploma and Graduate Certificate	F	2240
Inner West (A)	2006	Graduate Diploma and Graduate Certificate	M	1218
Inner West (A)	2006	Postgraduate	F	5423
Inner West (A)	2006	Postgraduate	M	5004
Inner West (A)	2011		F	44440
Inner West (A)	2011		M	43447
Inner West (A)	2011	Certificate nfd	F	1148
Inner West (A)	2011	Certificate nfd	M	726
Inner West (A)	2011	Certificate I and II Level	F	691
Inner West (A)	2011	Certificate I and II Level	M	454
Inner West (A)	2011	Certificate III and IV Level	F	3898
Inner West (A)	2011	Certificate III and IV Level	M	8219
Inner West (A)	2011	Advanced Diploma and Diploma	F	7312
Inner West (A)	2011	Advanced Diploma and Diploma	M	5836
Inner West (A)	2011	Bachelor	F	19646
Inner West (A)	2011	Bachelor	M	15870
Inner West (A)	2011	Graduate Diploma and Graduate Certificate	F	2733
Inner West (A)	2011	Graduate Diploma and Graduate Certificate	M	1494
Inner West (A)	2011	Postgraduate	F	7451
Inner West (A)	2011	Postgraduate	M	6550
Inner West (A)	2016		F	44014
Inner West (A)	2016		M	44220
Inner West (A)	2016	Certificate nfd	F	1438
Inner West (A)	2016	Certificate nfd	M	1003
Inner West (A)	2016	Certificate I and II Level	F	590
Inner West (A)	2016	Certificate I and II Level	M	395
Inner West (A)	2016	Certificate III and IV Level	F	4005
Inner West (A)	2016	Certificate III and IV Level	M	8351
Inner West (A)	2016	Advanced Diploma and Diploma	F	7632
Inner West (A)	2016	Advanced Diploma and Diploma	M	6126
Inner West (A)	2016	Bachelor	F	22682
Inner West (A)	2016	Bachelor	M	18707
Inner West (A)	2016	Graduate Diploma and Graduate Certificate	F	3093
Inner West (A)	2016	Graduate Diploma and Graduate Certificate	M	1797
Inner West (A)	2016	Postgraduate	F	9848
Inner West (A)	2016	Postgraduate	M	8137
Inverell (A)	2006		F	6199
Inverell (A)	2006		M	5629
Inverell (A)	2006	Certificate nfd	F	137
Inverell (A)	2006	Certificate nfd	M	82
Inverell (A)	2006	Certificate I and II Level	F	114
Inverell (A)	2006	Certificate I and II Level	M	56
Inverell (A)	2006	Certificate III and IV Level	F	533
Inverell (A)	2006	Certificate III and IV Level	M	1343
Inverell (A)	2006	Advanced Diploma and Diploma	F	344
Inverell (A)	2006	Advanced Diploma and Diploma	M	214
Inverell (A)	2006	Bachelor	F	425
Inverell (A)	2006	Bachelor	M	248
Inverell (A)	2006	Graduate Diploma and Graduate Certificate	F	73
Inverell (A)	2006	Graduate Diploma and Graduate Certificate	M	47
Inverell (A)	2006	Postgraduate	F	33
Inverell (A)	2006	Postgraduate	M	30
Inverell (A)	2011		F	6052
Inverell (A)	2011		M	5663
Inverell (A)	2011	Certificate nfd	F	145
Inverell (A)	2011	Certificate nfd	M	80
Inverell (A)	2011	Certificate I and II Level	F	121
Inverell (A)	2011	Certificate I and II Level	M	64
Inverell (A)	2011	Certificate III and IV Level	F	751
Inverell (A)	2011	Certificate III and IV Level	M	1467
Inverell (A)	2011	Advanced Diploma and Diploma	F	414
Inverell (A)	2011	Advanced Diploma and Diploma	M	247
Inverell (A)	2011	Bachelor	F	550
Inverell (A)	2011	Bachelor	M	305
Inverell (A)	2011	Graduate Diploma and Graduate Certificate	F	100
Inverell (A)	2011	Graduate Diploma and Graduate Certificate	M	39
Inverell (A)	2011	Postgraduate	F	43
Inverell (A)	2011	Postgraduate	M	32
Inverell (A)	2016		F	5842
Inverell (A)	2016		M	5520
Inverell (A)	2016	Certificate nfd	F	196
Inverell (A)	2016	Certificate nfd	M	122
Inverell (A)	2016	Certificate I and II Level	F	125
Inverell (A)	2016	Certificate I and II Level	M	71
Inverell (A)	2016	Certificate III and IV Level	F	924
Inverell (A)	2016	Certificate III and IV Level	M	1662
Inverell (A)	2016	Advanced Diploma and Diploma	F	540
Inverell (A)	2016	Advanced Diploma and Diploma	M	300
Inverell (A)	2016	Bachelor	F	654
Inverell (A)	2016	Bachelor	M	301
Inverell (A)	2016	Graduate Diploma and Graduate Certificate	F	83
Inverell (A)	2016	Graduate Diploma and Graduate Certificate	M	43
Inverell (A)	2016	Postgraduate	F	59
Inverell (A)	2016	Postgraduate	M	42
Junee (A)	2006		F	1948
Junee (A)	2006		M	2584
Junee (A)	2006	Certificate nfd	F	44
Junee (A)	2006	Certificate nfd	M	28
Junee (A)	2006	Certificate I and II Level	F	50
Junee (A)	2006	Certificate I and II Level	M	22
Junee (A)	2006	Certificate III and IV Level	F	179
Junee (A)	2006	Certificate III and IV Level	M	457
Junee (A)	2006	Advanced Diploma and Diploma	F	100
Junee (A)	2006	Advanced Diploma and Diploma	M	84
Junee (A)	2006	Bachelor	F	138
Junee (A)	2006	Bachelor	M	85
Junee (A)	2006	Graduate Diploma and Graduate Certificate	F	21
Junee (A)	2006	Graduate Diploma and Graduate Certificate	M	11
Junee (A)	2006	Postgraduate	F	16
Junee (A)	2006	Postgraduate	M	13
Junee (A)	2011		F	1846
Junee (A)	2011		M	2612
Junee (A)	2011	Certificate nfd	F	50
Junee (A)	2011	Certificate nfd	M	30
Junee (A)	2011	Certificate I and II Level	F	38
Junee (A)	2011	Certificate I and II Level	M	12
Junee (A)	2011	Certificate III and IV Level	F	268
Junee (A)	2011	Certificate III and IV Level	M	469
Junee (A)	2011	Advanced Diploma and Diploma	F	125
Junee (A)	2011	Advanced Diploma and Diploma	M	99
Junee (A)	2011	Bachelor	F	167
Junee (A)	2011	Bachelor	M	91
Junee (A)	2011	Graduate Diploma and Graduate Certificate	F	21
Junee (A)	2011	Graduate Diploma and Graduate Certificate	M	9
Junee (A)	2011	Postgraduate	F	24
Junee (A)	2011	Postgraduate	M	16
Junee (A)	2016		F	1862
Junee (A)	2016		M	2706
Junee (A)	2016	Certificate nfd	F	72
Junee (A)	2016	Certificate nfd	M	31
Junee (A)	2016	Certificate I and II Level	F	58
Junee (A)	2016	Certificate I and II Level	M	30
Junee (A)	2016	Certificate III and IV Level	F	281
Junee (A)	2016	Certificate III and IV Level	M	576
Junee (A)	2016	Advanced Diploma and Diploma	F	185
Junee (A)	2016	Advanced Diploma and Diploma	M	94
Junee (A)	2016	Bachelor	F	202
Junee (A)	2016	Bachelor	M	117
Junee (A)	2016	Graduate Diploma and Graduate Certificate	F	21
Junee (A)	2016	Graduate Diploma and Graduate Certificate	M	12
Junee (A)	2016	Postgraduate	F	39
Junee (A)	2016	Postgraduate	M	8
Kempsey (A)	2006		F	10689
Kempsey (A)	2006		M	9935
Kempsey (A)	2006	Certificate nfd	F	237
Kempsey (A)	2006	Certificate nfd	M	122
Kempsey (A)	2006	Certificate I and II Level	F	245
Kempsey (A)	2006	Certificate I and II Level	M	99
Kempsey (A)	2006	Certificate III and IV Level	F	986
Kempsey (A)	2006	Certificate III and IV Level	M	2731
Kempsey (A)	2006	Advanced Diploma and Diploma	F	662
Kempsey (A)	2006	Advanced Diploma and Diploma	M	367
Kempsey (A)	2006	Bachelor	F	608
Kempsey (A)	2006	Bachelor	M	409
Kempsey (A)	2006	Graduate Diploma and Graduate Certificate	F	108
Kempsey (A)	2006	Graduate Diploma and Graduate Certificate	M	61
Kempsey (A)	2006	Postgraduate	F	66
Kempsey (A)	2006	Postgraduate	M	61
Kempsey (A)	2011		F	10300
Kempsey (A)	2011		M	9786
Kempsey (A)	2011	Certificate nfd	F	302
Kempsey (A)	2011	Certificate nfd	M	140
Kempsey (A)	2011	Certificate I and II Level	F	269
Kempsey (A)	2011	Certificate I and II Level	M	126
Kempsey (A)	2011	Certificate III and IV Level	F	1320
Kempsey (A)	2011	Certificate III and IV Level	M	2967
Kempsey (A)	2011	Advanced Diploma and Diploma	F	811
Kempsey (A)	2011	Advanced Diploma and Diploma	M	437
Kempsey (A)	2011	Bachelor	F	800
Kempsey (A)	2011	Bachelor	M	506
Kempsey (A)	2011	Graduate Diploma and Graduate Certificate	F	133
Kempsey (A)	2011	Graduate Diploma and Graduate Certificate	M	74
Kempsey (A)	2011	Postgraduate	F	87
Kempsey (A)	2011	Postgraduate	M	75
Kempsey (A)	2016		F	9966
Kempsey (A)	2016		M	9597
Kempsey (A)	2016	Certificate nfd	F	405
Kempsey (A)	2016	Certificate nfd	M	206
Kempsey (A)	2016	Certificate I and II Level	F	247
Kempsey (A)	2016	Certificate I and II Level	M	160
Kempsey (A)	2016	Certificate III and IV Level	F	1597
Kempsey (A)	2016	Certificate III and IV Level	M	3249
Kempsey (A)	2016	Advanced Diploma and Diploma	F	984
Kempsey (A)	2016	Advanced Diploma and Diploma	M	516
Kempsey (A)	2016	Bachelor	F	953
Kempsey (A)	2016	Bachelor	M	549
Kempsey (A)	2016	Graduate Diploma and Graduate Certificate	F	143
Kempsey (A)	2016	Graduate Diploma and Graduate Certificate	M	70
Kempsey (A)	2016	Postgraduate	F	144
Kempsey (A)	2016	Postgraduate	M	100
Kiama (A)	2006		F	6319
Kiama (A)	2006		M	5200
Kiama (A)	2006	Certificate nfd	F	255
Kiama (A)	2006	Certificate nfd	M	92
Kiama (A)	2006	Certificate I and II Level	F	148
Kiama (A)	2006	Certificate I and II Level	M	69
Kiama (A)	2006	Certificate III and IV Level	F	627
Kiama (A)	2006	Certificate III and IV Level	M	2039
Kiama (A)	2006	Advanced Diploma and Diploma	F	926
Kiama (A)	2006	Advanced Diploma and Diploma	M	606
Kiama (A)	2006	Bachelor	F	1033
Kiama (A)	2006	Bachelor	M	912
Kiama (A)	2006	Graduate Diploma and Graduate Certificate	F	199
Kiama (A)	2006	Graduate Diploma and Graduate Certificate	M	125
Kiama (A)	2006	Postgraduate	F	178
Kiama (A)	2006	Postgraduate	M	253
Kiama (A)	2011		F	5965
Kiama (A)	2011		M	5051
Kiama (A)	2011	Certificate nfd	F	263
Kiama (A)	2011	Certificate nfd	M	107
Kiama (A)	2011	Certificate I and II Level	F	148
Kiama (A)	2011	Certificate I and II Level	M	62
Kiama (A)	2011	Certificate III and IV Level	F	858
Kiama (A)	2011	Certificate III and IV Level	M	2261
Kiama (A)	2011	Advanced Diploma and Diploma	F	1047
Kiama (A)	2011	Advanced Diploma and Diploma	M	740
Kiama (A)	2011	Bachelor	F	1327
Kiama (A)	2011	Bachelor	M	1102
Kiama (A)	2011	Graduate Diploma and Graduate Certificate	F	290
Kiama (A)	2011	Graduate Diploma and Graduate Certificate	M	154
Kiama (A)	2011	Postgraduate	F	298
Kiama (A)	2011	Postgraduate	M	315
Kiama (A)	2016		F	5895
Kiama (A)	2016		M	5155
Kiama (A)	2016	Certificate nfd	F	354
Kiama (A)	2016	Certificate nfd	M	173
Kiama (A)	2016	Certificate I and II Level	F	135
Kiama (A)	2016	Certificate I and II Level	M	54
Kiama (A)	2016	Certificate III and IV Level	F	927
Kiama (A)	2016	Certificate III and IV Level	M	2365
Kiama (A)	2016	Advanced Diploma and Diploma	F	1188
Kiama (A)	2016	Advanced Diploma and Diploma	M	880
Kiama (A)	2016	Bachelor	F	1641
Kiama (A)	2016	Bachelor	M	1314
Kiama (A)	2016	Graduate Diploma and Graduate Certificate	F	365
Kiama (A)	2016	Graduate Diploma and Graduate Certificate	M	173
Kiama (A)	2016	Postgraduate	F	431
Kiama (A)	2016	Postgraduate	M	414
Ku-ring-gai (A)	2006		F	29526
Ku-ring-gai (A)	2006		M	24465
Ku-ring-gai (A)	2006	Certificate nfd	F	1194
Ku-ring-gai (A)	2006	Certificate nfd	M	566
Ku-ring-gai (A)	2006	Certificate I and II Level	F	345
Ku-ring-gai (A)	2006	Certificate I and II Level	M	190
Ku-ring-gai (A)	2006	Certificate III and IV Level	F	1295
Ku-ring-gai (A)	2006	Certificate III and IV Level	M	3001
Ku-ring-gai (A)	2006	Advanced Diploma and Diploma	F	5587
Ku-ring-gai (A)	2006	Advanced Diploma and Diploma	M	3511
Ku-ring-gai (A)	2006	Bachelor	F	10682
Ku-ring-gai (A)	2006	Bachelor	M	11230
Ku-ring-gai (A)	2006	Graduate Diploma and Graduate Certificate	F	1300
Ku-ring-gai (A)	2006	Graduate Diploma and Graduate Certificate	M	700
Ku-ring-gai (A)	2006	Postgraduate	F	2747
Ku-ring-gai (A)	2006	Postgraduate	M	4740
Ku-ring-gai (A)	2011		F	30168
Ku-ring-gai (A)	2011		M	25622
Ku-ring-gai (A)	2011	Certificate nfd	F	1006
Ku-ring-gai (A)	2011	Certificate nfd	M	534
Ku-ring-gai (A)	2011	Certificate I and II Level	F	371
Ku-ring-gai (A)	2011	Certificate I and II Level	M	198
Ku-ring-gai (A)	2011	Certificate III and IV Level	F	1489
Ku-ring-gai (A)	2011	Certificate III and IV Level	M	3055
Ku-ring-gai (A)	2011	Advanced Diploma and Diploma	F	5781
Ku-ring-gai (A)	2011	Advanced Diploma and Diploma	M	3525
Ku-ring-gai (A)	2011	Bachelor	F	12764
Ku-ring-gai (A)	2011	Bachelor	M	12496
Ku-ring-gai (A)	2011	Graduate Diploma and Graduate Certificate	F	1512
Ku-ring-gai (A)	2011	Graduate Diploma and Graduate Certificate	M	915
Ku-ring-gai (A)	2011	Postgraduate	F	3945
Ku-ring-gai (A)	2011	Postgraduate	M	5912
Ku-ring-gai (A)	2016		F	29938
Ku-ring-gai (A)	2016		M	26937
Ku-ring-gai (A)	2016	Certificate nfd	F	1324
Ku-ring-gai (A)	2016	Certificate nfd	M	694
Ku-ring-gai (A)	2016	Certificate I and II Level	F	303
Ku-ring-gai (A)	2016	Certificate I and II Level	M	161
Ku-ring-gai (A)	2016	Certificate III and IV Level	F	1587
Ku-ring-gai (A)	2016	Certificate III and IV Level	M	3017
Ku-ring-gai (A)	2016	Advanced Diploma and Diploma	F	5476
Ku-ring-gai (A)	2016	Advanced Diploma and Diploma	M	3512
Ku-ring-gai (A)	2016	Bachelor	F	15090
Ku-ring-gai (A)	2016	Bachelor	M	13784
Ku-ring-gai (A)	2016	Graduate Diploma and Graduate Certificate	F	1794
Ku-ring-gai (A)	2016	Graduate Diploma and Graduate Certificate	M	1128
Ku-ring-gai (A)	2016	Postgraduate	F	5882
Ku-ring-gai (A)	2016	Postgraduate	M	7424
Kyogle (A)	2006		F	3510
Kyogle (A)	2006		M	3421
Kyogle (A)	2006	Certificate nfd	F	91
Kyogle (A)	2006	Certificate nfd	M	29
Kyogle (A)	2006	Certificate I and II Level	F	64
Kyogle (A)	2006	Certificate I and II Level	M	38
Kyogle (A)	2006	Certificate III and IV Level	F	279
Kyogle (A)	2006	Certificate III and IV Level	M	781
Kyogle (A)	2006	Advanced Diploma and Diploma	F	237
