LGA_NAME16	Year	medianTotalPersonalIncomeWeekly
No usual address (SA)	2011	369
Migratory - Offshore - Shipping (SA)	2011	1125
Albany (C)	2011	521
Armadale (C)	2011	621
Ashburton (S)	2011	1872
Augusta-Margaret River (S)	2011	593
Bassendean (T)	2011	643
Bayswater (C)	2011	662
Belmont (C)	2011	659
Beverley (S)	2011	405
Boddington (S)	2011	1222
Boyup Brook (S)	2011	495
Bridgetown-Greenbushes (S)	2011	467
Brookton (S)	2011	458
Broome (S)	2011	779
Broomehill-Tambellup (S)	2011	457
Bruce Rock (S)	2011	499
Bunbury (C)	2011	582
Busselton (C)	2011	556
Cambridge (T)	2011	915
Canning (C)	2011	594
Capel (S)	2011	664
Carnamah (S)	2011	552
Carnarvon (S)	2011	594
Chapman Valley (S)	2011	575
Chittering (S)	2011	563
Claremont (T)	2011	826
Cockburn (C)	2011	691
Collie (S)	2011	557
Coolgardie (S)	2011	848
Coorow (S)	2011	498
Corrigin (S)	2011	547
Cottesloe (T)	2011	1025
Cranbrook (S)	2011	487
Cuballing (S)	2011	472
Cue (S)	2011	419
Cunderdin (S)	2011	505
Dalwallinu (S)	2011	675
Dandaragan (S)	2011	573
Dardanup (S)	2011	637
Denmark (S)	2011	469
Derby-West Kimberley (S)	2011	411
Donnybrook-Balingup (S)	2011	497
Dowerin (S)	2011	514
Dumbleyung (S)	2011	492
Dundas (S)	2011	786
East Fremantle (T)	2011	857
East Pilbara (S)	2011	1811
Esperance (S)	2011	579
Exmouth (S)	2011	737
Fremantle (C)	2011	680
Gingin (S)	2011	469
Gnowangerup (S)	2011	607
Goomalling (S)	2011	479
Gosnells (C)	2011	623
Greater Geraldton (C)	2011	604
Halls Creek (S)	2011	310
Harvey (S)	2011	603
Irwin (S)	2011	517
Jerramungup (S)	2011	597
Joondalup (C)	2011	718
Kalamunda (S)	2011	681
Kalgoorlie/Boulder (C)	2011	897
Karratha (C)	2011	1555
Katanning (S)	2011	523
Kellerberrin (S)	2011	390
Kent (S)	2011	603
Kojonup (S)	2011	524
Kondinin (S)	2011	617
Koorda (S)	2011	497
Kulin (S)	2011	528
Kwinana (C)	2011	605
Lake Grace (S)	2011	624
Laverton (S)	2011	1445
Leonora (S)	2011	1563
Mandurah (C)	2011	494
Manjimup (S)	2011	492
Meekatharra (S)	2011	936
Melville (C)	2011	694
Menzies (S)	2011	292
Merredin (S)	2011	600
Mingenew (S)	2011	693
Moora (S)	2011	587
Morawa (S)	2011	543
Mosman Park (T)	2011	748
Mount Magnet (S)	2011	543
Mount Marshall (S)	2011	618
Mukinbudin (S)	2011	562
Mundaring (S)	2011	644
Murchison (S)	2011	533
Murray (S)	2011	487
Nannup (S)	2011	456
Narembeen (S)	2011	533
Narrogin (S)	2011	514
Nedlands (C)	2011	816
Ngaanyatjarraku (S)	2011	271
Northam (S)	2011	517
Northampton (S)	2011	433
Nungarin (S)	2011	404
Peppermint Grove (S)	2011	1021
Perenjori (S)	2011	1328
Perth (C)	2011	1018
Pingelly (S)	2011	414
Plantagenet (S)	2011	472
Port Hedland (T)	2011	1421
Quairading (S)	2011	489
Ravensthorpe (S)	2011	745
Rockingham (C)	2011	620
Sandstone (S)	2011	536
Serpentine-Jarrahdale (S)	2011	667
Shark Bay (S)	2011	570
South Perth (C)	2011	780
Stirling (C)	2011	689
Subiaco (C)	2011	829
Swan (C)	2011	653
Tammin (S)	2011	454
Three Springs (S)	2011	537
Toodyay (S)	2011	496
Trayning (S)	2011	527
Upper Gascoyne (S)	2011	346
Victoria Park (T)	2011	696
Victoria Plains (S)	2011	542
Vincent (C)	2011	867
Wagin (S)	2011	460
Wandering (S)	2011	721
Wanneroo (C)	2011	656
Waroona (S)	2011	499
West Arthur (S)	2011	494
Westonia (S)	2011	806
Wickepin (S)	2011	476
Williams (S)	2011	629
Wiluna (S)	2011	1652
Wongan-Ballidu (S)	2011	644
Woodanilling (S)	2011	566
Wyalkatchem (S)	2011	433
Wyndham-East Kimberley (S)	2011	794
Yalgoo (S)	2011	1465
Yilgarn (S)	2011	949
York (S)	2011	477
No usual address (WA)	2011	490
Migratory - Offshore - Shipping (WA)	2011	3000
Break O'Day (M)	2011	366
Brighton (M)	2011	485
Burnie (C)	2011	455
Central Coast (M) (Tas.)	2011	450
Central Highlands (M) (Tas.)	2011	377
Circular Head (M)	2011	510
Clarence (C)	2011	577
Derwent Valley (M)	2011	432
Devonport (C)	2011	457
Dorset (M)	2011	394
Flinders (M) (Tas.)	2011	464
George Town (M)	2011	395
Glamorgan/Spring Bay (M)	2011	421
Glenorchy (C)	2011	487
Hobart (C)	2011	641
Huon Valley (M)	2011	441
Kentish (M)	2011	395
King Island (M)	2011	619
Kingborough (M)	2011	594
Latrobe (M) (Tas.)	2011	480
Launceston (C)	2011	484
Meander Valley (M)	2011	477
Northern Midlands (M)	2011	471
Sorell (M)	2011	516
Southern Midlands (M)	2011	430
Tasman (M)	2011	375
Waratah/Wynyard (M)	2011	422
West Coast (M)	2011	467
West Tamar (M)	2011	517
No usual address (Tas.)	2011	338
Migratory - Offshore - Shipping (Tas.)	2011	1238
Alice Springs (T)	2011	866
Barkly (R)	2011	312
Belyuen (S)	2011	284
Central Desert (R)	2011	272
Coomalie (S)	2011	525
Darwin (C)	2011	899
East Arnhem (R)	2011	263
Katherine (T)	2011	758
Litchfield (M)	2011	864
MacDonnell (R)	2011	257
Palmerston (C)	2011	911
Roper Gulf (R)	2011	279
Tiwi Islands (R)	2011	249
Victoria Daly (R)	2011	380
Wagait (S)	2011	795
West Arnhem (R)	2011	326
West Daly (R)	2011	202
Unincorporated NT	2011	997
No usual address (NT)	2011	493
Migratory - Offshore - Shipping (NT)	2011	1298
Unincorporated ACT	2011	918
No usual address (ACT)	2011	498
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	817
No usual address (OT)	2011	1525
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	642
Armidale Regional (A)	2016	561
Ballina (A)	2016	601
Balranald (A)	2016	624
Bathurst Regional (A)	2016	646
Bega Valley (A)	2016	538
Bellingen (A)	2016	515
Berrigan (A)	2016	524
Blacktown (C)	2016	672
Bland (A)	2016	580
Blayney (A)	2016	620
Blue Mountains (C)	2016	688
Bogan (A)	2016	634
Botany Bay (C)	2016	720
Bourke (A)	2016	719
Brewarrina (A)	2016	439
Broken Hill (C)	2016	527
Burwood (A)	2016	552
Byron (A)	2016	596
Cabonne (A)	2016	631
Camden (A)	2016	821
Campbelltown (C) (NSW)	2016	632
Canada Bay (A)	2016	882
Canterbury-Bankstown (A)	2016	502
Carrathool (A)	2016	681
Central Coast (C) (NSW)	2016	600
Central Darling (A)	2016	460
Cessnock (C)	2016	540
Clarence Valley (A)	2016	477
Cobar (A)	2016	706
Coffs Harbour (C)	2016	566
Coolamon (A)	2016	594
Coonamble (A)	2016	519
Cowra (A)	2016	509
Cumberland (A)	2016	501
Dungog (A)	2016	578
Edward River (A)	2016	595
Eurobodalla (A)	2016	512
Fairfield (C)	2016	439
Federation (A)	2016	559
Forbes (A)	2016	571
Georges River (A)	2016	640
Gilgandra (A)	2016	537
Glen Innes Severn (A)	2016	478
Goulburn Mulwaree (A)	2016	625
Greater Hume Shire (A)	2016	600
Griffith (C)	2016	674
Gundagai (A)	2016	539
Gunnedah (A)	2016	618
Gwydir (A)	2016	489
Hawkesbury (C)	2016	728
Hay (A)	2016	587
Hilltops (A)	2016	538
Hornsby (A)	2016	793
Hunters Hill (A)	2016	977
Inner West (A)	2016	957
Inverell (A)	2016	509
Junee (A)	2016	600
Kempsey (A)	2016	474
Kiama (A)	2016	683
Ku-ring-gai (A)	2016	942
Kyogle (A)	2016	460
Lachlan (A)	2016	556
Lake Macquarie (C)	2016	609
Lane Cove (A)	2016	1149
Leeton (A)	2016	607
Lismore (C)	2016	550
Lithgow (C)	2016	510
Liverpool (C)	2016	584
Liverpool Plains (A)	2016	533
Lockhart (A)	2016	585
Maitland (C)	2016	644
Mid-Coast (A)	2016	476
Mid-Western Regional (A)	2016	547
Moree Plains (A)	2016	669
Mosman (A)	2016	1295
Murray River (A)	2016	558
Murrumbidgee (A)	2016	659
Muswellbrook (A)	2016	640
Nambucca (A)	2016	467
Narrabri (A)	2016	632
Narrandera (A)	2016	575
Narromine (A)	2016	586
Newcastle (C)	2016	660
North Sydney (A)	2016	1386
Northern Beaches (A)	2016	916
Oberon (A)	2016	611
Orange (C)	2016	667
Parkes (A)	2016	554
Parramatta (C)	2016	722
Penrith (C)	2016	728
Port Macquarie-Hastings (A)	2016	540
Port Stephens (A)	2016	571
Queanbeyan-Palerang Regional (A)	2016	933
Randwick (C)	2016	834
Richmond Valley (A)	2016	491
Rockdale (C)	2016	666
Ryde (C)	2016	738
Shellharbour (C)	2016	579
Shoalhaven (C)	2016	511
Singleton (A)	2016	684
Snowy Monaro Regional (A)	2016	675
Snowy Valleys (A)	2016	577
Strathfield (A)	2016	682
Sutherland Shire (A)	2016	837
Sydney (C)	2016	953
Tamworth Regional (A)	2016	633
Temora (A)	2016	546
Tenterfield (A)	2016	454
The Hills Shire (A)	2016	827
Tweed (A)	2016	539
Upper Hunter Shire (A)	2016	630
Upper Lachlan Shire (A)	2016	609
Uralla (A)	2016	552
Wagga Wagga (C)	2016	696
Walcha (A)	2016	577
Walgett (A)	2016	464
Warren (A)	2016	649
Warrumbungle Shire (A)	2016	479
Waverley (A)	2016	1151
Weddin (A)	2016	492
Wentworth (A)	2016	555
Western Plains Regional (A)	2016	660
Willoughby (C)	2016	946
Wingecarribee (A)	2016	645
Wollondilly (A)	2016	738
Wollongong (C)	2016	584
Woollahra (A)	2016	1365
Yass Valley (A)	2016	869
Unincorporated NSW	2016	717
No usual address (NSW)	2016	405
Migratory - Offshore - Shipping (NSW)	2016	540
Alpine (S)	2016	562
Ararat (RC)	2016	556
Ballarat (C)	2016	590
Banyule (C)	2016	728
Bass Coast (S)	2016	507
Baw Baw (S)	2016	585
Bayside (C)	2016	897
Benalla (RC)	2016	537
Boroondara (C)	2016	869
Brimbank (C)	2016	487
Buloke (S)	2016	473
Campaspe (S)	2016	561
Cardinia (S)	2016	680
Casey (C)	2016	640
Central Goldfields (S)	2016	452
Colac-Otway (S)	2016	574
Corangamite (S)	2016	542
Darebin (C)	2016	650
East Gippsland (S)	2016	506
Frankston (C)	2016	660
Gannawarra (S)	2016	498
Glen Eira (C)	2016	780
Glenelg (S)	2016	536
Golden Plains (S)	2016	628
Greater Bendigo (C)	2016	604
Greater Dandenong (C)	2016	475
Greater Geelong (C)	2016	600
Greater Shepparton (C)	2016	588
Hepburn (S)	2016	532
Hindmarsh (S)	2016	497
Hobsons Bay (C)	2016	704
Horsham (RC)	2016	617
Hume (C)	2016	529
Indigo (S)	2016	641
Kingston (C) (Vic.)	2016	704
Knox (C)	2016	664
Latrobe (C) (Vic.)	2016	544
Loddon (S)	2016	467
Macedon Ranges (S)	2016	702
Manningham (C)	2016	629
Mansfield (S)	2016	580
Maribyrnong (C)	2016	703
Maroondah (C)	2016	696
Melbourne (C)	2016	642
Melton (C)	2016	658
Mildura (RC)	2016	555
Mitchell (S)	2016	648
Moira (S)	2016	524
Monash (C)	2016	569
Moonee Valley (C)	2016	744
Moorabool (S)	2016	635
Moreland (C)	2016	680
Mornington Peninsula (S)	2016	630
Mount Alexander (S)	2016	550
Moyne (S)	2016	620
Murrindindi (S)	2016	553
Nillumbik (S)	2016	784
Northern Grampians (S)	2016	513
Port Phillip (C)	2016	1087
Pyrenees (S)	2016	472
Queenscliffe (B)	2016	671
South Gippsland (S)	2016	537
Southern Grampians (S)	2016	576
Stonnington (C)	2016	1042
Strathbogie (S)	2016	546
Surf Coast (S)	2016	722
Swan Hill (RC)	2016	580
Towong (S)	2016	535
Wangaratta (RC)	2016	595
Warrnambool (C)	2016	618
Wellington (S)	2016	562
West Wimmera (S)	2016	555
Whitehorse (C)	2016	619
Whittlesea (C)	2016	591
Wodonga (C)	2016	674
Wyndham (C)	2016	685
Yarra (C)	2016	1039
Yarra Ranges (S)	2016	667
Yarriambiack (S)	2016	491
Unincorporated Vic	2016	741
No usual address (Vic.)	2016	398
Migratory - Offshore - Shipping (Vic.)	2016	3000
Aurukun (S)	2016	260
Balonne (S)	2016	662
Banana (S)	2016	714
Barcaldine (R)	2016	684
Barcoo (S)	2016	774
Blackall-Tambo (R)	2016	548
Boulia (S)	2016	753
Brisbane (C)	2016	770
Bulloo (S)	2016	883
Bundaberg (R)	2016	490
Burdekin (S)	2016	617
Burke (S)	2016	742
Cairns (R)	2016	693
Carpentaria (S)	2016	677
Cassowary Coast (R)	2016	567
Central Highlands (R) (Qld)	2016	843
Charters Towers (R)	2016	522
Cherbourg (S)	2016	315
Cloncurry (S)	2016	1022
Cook (S)	2016	579
Croydon (S)	2016	579
Diamantina (S)	2016	754
Doomadgee (S)	2016	298
Douglas (S)	2016	676
Etheridge (S)	2016	521
Flinders (S) (Qld)	2016	600
Fraser Coast (R)	2016	468
Gladstone (R)	2016	678
Gold Coast (C)	2016	666
Goondiwindi (R)	2016	653
Gympie (R)	2016	479
Hinchinbrook (S)	2016	538
Hope Vale (S)	2016	321
Ipswich (C)	2016	667
Isaac (R)	2016	1030
Kowanyama (S)	2016	342
Livingstone (S)	2016	618
Lockhart River (S)	2016	332
Lockyer Valley (R)	2016	535
Logan (C)	2016	635
Longreach (R)	2016	726
Mackay (R)	2016	698
McKinlay (S)	2016	834
Mapoon (S)	2016	365
Maranoa (R)	2016	741
Mareeba (S)	2016	541
Moreton Bay (R)	2016	652
Mornington (S)	2016	352
Mount Isa (C)	2016	997
Murweh (S)	2016	672
Napranum (S)	2016	280
Noosa (S)	2016	595
North Burnett (R)	2016	501
Northern Peninsula Area (R)	2016	468
Palm Island (S)	2016	303
Paroo (S)	2016	529
Pormpuraaw (S)	2016	337
Quilpie (S)	2016	692
Redland (C)	2016	686
Richmond (S)	2016	655
Rockhampton (R)	2016	626
Scenic Rim (R)	2016	569
Somerset (R)	2016	512
South Burnett (R)	2016	478
Southern Downs (R)	2016	506
Sunshine Coast (R)	2016	615
Tablelands (R)	2016	517
Toowoomba (R)	2016	642
Torres (S)	2016	740
Torres Strait Island (R)	2016	373
Townsville (C)	2016	703
Weipa (T)	2016	1320
Western Downs (R)	2016	621
Whitsunday (R)	2016	685
Winton (S)	2016	655
Woorabinda (S)	2016	319
Wujal Wujal (S)	2016	294
Yarrabah (S)	2016	288
No usual address (Qld)	2016	407
Migratory - Offshore - Shipping (Qld)	2016	606
Adelaide (C)	2016	553
Adelaide Hills (DC)	2016	741
Alexandrina (DC)	2016	522
Anangu Pitjantjatjara (AC)	2016	283
Barossa (DC)	2016	646
Barunga West (DC)	2016	487
Berri and Barmera (DC)	2016	533
Burnside (C)	2016	807
Campbelltown (C) (SA)	2016	588
Ceduna (DC)	2016	696
Charles Sturt (C)	2016	614
Clare and Gilbert Valleys (DC)	2016	605
Cleve (DC)	2016	630
Coober Pedy (DC)	2016	497
Copper Coast (DC)	2016	477
Elliston (DC)	2016	529
Flinders Ranges (DC)	2016	549
Franklin Harbour (DC)	2016	536
Gawler (T)	2016	576
Goyder (DC)	2016	481
Grant (DC)	2016	665
Holdfast Bay (C)	2016	748
Kangaroo Island (DC)	2016	553
Karoonda East Murray (DC)	2016	461
Kimba (DC)	2016	684
Kingston (DC) (SA)	2016	575
Light (RegC)	2016	669
Lower Eyre Peninsula (DC)	2016	672
Loxton Waikerie (DC)	2016	552
Mallala (DC)	2016	606
Maralinga Tjarutja (AC)	2016	1375
Marion (C)	2016	628
Mid Murray (DC)	2016	473
Mitcham (C)	2016	715
Mount Barker (DC)	2016	677
Mount Gambier (C)	2016	589
Mount Remarkable (DC)	2016	497
Murray Bridge (RC)	2016	526
Naracoorte and Lucindale (DC)	2016	655
Northern Areas (DC)	2016	540
Norwood Payneham St Peters (C)	2016	681
Onkaparinga (C)	2016	593
Orroroo/Carrieton (DC)	2016	513
Peterborough (DC)	2016	426
Playford (C)	2016	498
Port Adelaide Enfield (C)	2016	551
Port Augusta (C)	2016	604
Port Lincoln (C)	2016	603
Port Pirie City and Dists (M)	2016	481
Prospect (C)	2016	757
Renmark Paringa (DC)	2016	550
Robe (DC)	2016	634
Roxby Downs (M)	2016	1547
Salisbury (C)	2016	530
Southern Mallee (DC)	2016	604
Streaky Bay (DC)	2016	594
Tatiara (DC)	2016	652
Tea Tree Gully (C)	2016	655
The Coorong (DC)	2016	499
Tumby Bay (DC)	2016	570
Unley (C)	2016	791
Victor Harbor (C)	2016	481
Wakefield (DC)	2016	549
Walkerville (M)	2016	796
Wattle Range (DC)	2016	547
West Torrens (C)	2016	614
Whyalla (C)	2016	497
Wudinna (DC)	2016	672
Yankalilla (DC)	2016	496
Yorke Peninsula (DC)	2016	483
Unincorporated SA	2016	774
No usual address (SA)	2016	370
Migratory - Offshore - Shipping (SA)	2016	1749
Albany (C)	2016	611
Armadale (C)	2016	698
Ashburton (S)	2016	2381
Augusta-Margaret River (S)	2016	671
Bassendean (T)	2016	731
Bayswater (C)	2016	732
Belmont (C)	2016	722
Beverley (S)	2016	532
Boddington (S)	2016	809
Boyup Brook (S)	2016	600
Bridgetown-Greenbushes (S)	2016	518
Brookton (S)	2016	661
Broome (S)	2016	898
Broomehill-Tambellup (S)	2016	643
Bruce Rock (S)	2016	687
Bunbury (C)	2016	632
Busselton (C)	2016	653
Cambridge (T)	2016	1034
Canning (C)	2016	615
Capel (S)	2016	716
Carnamah (S)	2016	698
Carnarvon (S)	2016	693
Chapman Valley (S)	2016	732
Chittering (S)	2016	641
Claremont (T)	2016	960
Cockburn (C)	2016	761
Collie (S)	2016	512
Coolgardie (S)	2016	757
Coorow (S)	2016	549
Corrigin (S)	2016	748
Cottesloe (T)	2016	1218
Cranbrook (S)	2016	612
Cuballing (S)	2016	604
Cue (S)	2016	534
Cunderdin (S)	2016	633
Dalwallinu (S)	2016	803
Dandaragan (S)	2016	636
Dardanup (S)	2016	670
Denmark (S)	2016	544
Derby-West Kimberley (S)	2016	433
Donnybrook-Balingup (S)	2016	563
Dowerin (S)	2016	641
Dumbleyung (S)	2016	662
Dundas (S)	2016	612
East Fremantle (T)	2016	938
East Pilbara (S)	2016	1814
Esperance (S)	2016	682
Exmouth (S)	2016	816
Fremantle (C)	2016	778
Gingin (S)	2016	567
Gnowangerup (S)	2016	759
Goomalling (S)	2016	668
Gosnells (C)	2016	636
Greater Geraldton (C)	2016	662
Halls Creek (S)	2016	359
Harvey (S)	2016	662
Irwin (S)	2016	547
Jerramungup (S)	2016	794
Joondalup (C)	2016	776
Kalamunda (S)	2016	732
Kalgoorlie/Boulder (C)	2016	974
Karratha (C)	2016	1350
Katanning (S)	2016	667
Kellerberrin (S)	2016	526
Kent (S)	2016	856
Kojonup (S)	2016	720
Kondinin (S)	2016	784
Koorda (S)	2016	640
Kulin (S)	2016	746
Kwinana (C)	2016	684
Lake Grace (S)	2016	899
Laverton (S)	2016	1597
Leonora (S)	2016	1443
Mandurah (C)	2016	555
Manjimup (S)	2016	594
Meekatharra (S)	2016	992
Melville (C)	2016	757
Menzies (S)	2016	776
Merredin (S)	2016	661
Mingenew (S)	2016	732
Moora (S)	2016	707
Morawa (S)	2016	560
Mosman Park (T)	2016	894
Mount Magnet (S)	2016	526
Mount Marshall (S)	2016	684
Mukinbudin (S)	2016	647
Mundaring (S)	2016	692
Murchison (S)	2016	562
Murray (S)	2016	543
Nannup (S)	2016	515
Narembeen (S)	2016	763
Narrogin (S)	2016	635
Nedlands (C)	2016	987
Ngaanyatjarraku (S)	2016	307
Northam (S)	2016	581
Northampton (S)	2016	530
Nungarin (S)	2016	615
Peppermint Grove (S)	2016	1061
Perenjori (S)	2016	1188
Perth (C)	2016	928
Pingelly (S)	2016	484
Plantagenet (S)	2016	534
Port Hedland (T)	2016	1355
Quairading (S)	2016	545
Ravensthorpe (S)	2016	676
Rockingham (C)	2016	682
Sandstone (S)	2016	509
Serpentine-Jarrahdale (S)	2016	773
Shark Bay (S)	2016	648
South Perth (C)	2016	840
Stirling (C)	2016	766
Subiaco (C)	2016	892
Swan (C)	2016	716
Tammin (S)	2016	661
Three Springs (S)	2016	610
Toodyay (S)	2016	560
Trayning (S)	2016	556
Upper Gascoyne (S)	2016	419
Victoria Park (T)	2016	766
Victoria Plains (S)	2016	706
Vincent (C)	2016	992
Wagin (S)	2016	539
Wandering (S)	2016	748
Wanneroo (C)	2016	709
Waroona (S)	2016	558
West Arthur (S)	2016	635
Westonia (S)	2016	1099
Wickepin (S)	2016	609
Williams (S)	2016	825
Wiluna (S)	2016	1345
Wongan-Ballidu (S)	2016	717
Woodanilling (S)	2016	748
Wyalkatchem (S)	2016	511
Wyndham-East Kimberley (S)	2016	864
Yalgoo (S)	2016	1483
Yilgarn (S)	2016	861
York (S)	2016	540
No usual address (WA)	2016	434
Migratory - Offshore - Shipping (WA)	2016	2654
Break O'Day (M)	2016	439
Brighton (M)	2016	568
Burnie (C)	2016	523
Central Coast (M) (Tas.)	2016	528
Central Highlands (M) (Tas.)	2016	467
Circular Head (M)	2016	581
Clarence (C)	2016	673
Derwent Valley (M)	2016	505
Devonport (C)	2016	514
Dorset (M)	2016	478
Flinders (M) (Tas.)	2016	575
George Town (M)	2016	457
Glamorgan/Spring Bay (M)	2016	498
Glenorchy (C)	2016	561
Hobart (C)	2016	718
Huon Valley (M)	2016	495
Kentish (M)	2016	475
King Island (M)	2016	707
Kingborough (M)	2016	672
Latrobe (M) (Tas.)	2016	555
Launceston (C)	2016	562
Meander Valley (M)	2016	537
Northern Midlands (M)	2016	555
Sorell (M)	2016	587
Southern Midlands (M)	2016	533
Tasman (M)	2016	462
Waratah/Wynyard (M)	2016	498
West Coast (M)	2016	469
West Tamar (M)	2016	564
No usual address (Tas.)	2016	385
Migratory - Offshore - Shipping (Tas.)	2016	1089
Alice Springs (T)	2016	1002
Barkly (R)	2016	375
Belyuen (S)	2016	261
Central Desert (R)	2016	294
Coomalie (S)	2016	610
Darwin (C)	2016	1039
East Arnhem (R)	2016	242
Katherine (T)	2016	922
Litchfield (M)	2016	1092
MacDonnell (R)	2016	271
Palmerston (C)	2016	1053
Roper Gulf (R)	2016	279
Tiwi Islands (R)	2016	248
Victoria Daly (R)	2016	376
Wagait (S)	2016	861
West Arnhem (R)	2016	276
West Daly (R)	2016	239
Unincorporated NT	2016	1086
No usual address (NT)	2016	449
Migratory - Offshore - Shipping (NT)	2016	700
Unincorporated ACT	2016	1000
No usual address (ACT)	2016	447
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2016	715
No usual address (OT)	2016	412
Migratory - Offshore - Shipping (OT)	2016	1833
