LGA_NAME16	Year	medianRentWeekly
Albany (C)	2011	230
Armadale (C)	2011	290
Ashburton (S)	2011	30
Augusta-Margaret River (S)	2011	260
Bassendean (T)	2011	300
Bayswater (C)	2011	300
Belmont (C)	2011	300
Beverley (S)	2011	100
Boddington (S)	2011	224
Boyup Brook (S)	2011	120
Bridgetown-Greenbushes (S)	2011	180
Brookton (S)	2011	100
Broome (S)	2011	200
Broomehill-Tambellup (S)	2011	60
Bruce Rock (S)	2011	75
Bunbury (C)	2011	250
Busselton (C)	2011	270
Cambridge (T)	2011	375
Canning (C)	2011	330
Capel (S)	2011	320
Carnamah (S)	2011	90
Carnarvon (S)	2011	160
Chapman Valley (S)	2011	113
Chittering (S)	2011	200
Claremont (T)	2011	400
Cockburn (C)	2011	330
Collie (S)	2011	200
Coolgardie (S)	2011	180
Coorow (S)	2011	115
Corrigin (S)	2011	100
Cottesloe (T)	2011	450
Cranbrook (S)	2011	80
Cuballing (S)	2011	116
Cue (S)	2011	100
Cunderdin (S)	2011	120
Dalwallinu (S)	2011	100
Dandaragan (S)	2011	200
Dardanup (S)	2011	290
Denmark (S)	2011	215
Derby-West Kimberley (S)	2011	65
Donnybrook-Balingup (S)	2011	198
Dowerin (S)	2011	90
Dumbleyung (S)	2011	78
Dundas (S)	2011	93
East Fremantle (T)	2011	355
East Pilbara (S)	2011	70
Esperance (S)	2011	180
Exmouth (S)	2011	280
Fremantle (C)	2011	300
Gingin (S)	2011	191
Gnowangerup (S)	2011	75
Goomalling (S)	2011	120
Gosnells (C)	2011	310
Greater Geraldton (C)	2011	230
Halls Creek (S)	2011	50
Harvey (S)	2011	260
Irwin (S)	2011	200
Jerramungup (S)	2011	100
Joondalup (C)	2011	370
Kalamunda (S)	2011	320
Kalgoorlie/Boulder (C)	2011	260
Karratha (C)	2011	120
Katanning (S)	2011	145
Kellerberrin (S)	2011	100
Kent (S)	2011	65
Kojonup (S)	2011	115
Kondinin (S)	2011	105
Koorda (S)	2011	85
Kulin (S)	2011	80
Kwinana (C)	2011	260
Lake Grace (S)	2011	100
Laverton (S)	2011	65
Leonora (S)	2011	0
Mandurah (C)	2011	270
Manjimup (S)	2011	150
Meekatharra (S)	2011	80
Melville (C)	2011	350
Menzies (S)	2011	93
Merredin (S)	2011	128
Mingenew (S)	2011	100
Moora (S)	2011	130
Morawa (S)	2011	120
Mosman Park (T)	2011	290
Mount Magnet (S)	2011	125
Mount Marshall (S)	2011	60
Mukinbudin (S)	2011	70
Mundaring (S)	2011	300
Murchison (S)	2011	43
Murray (S)	2011	250
Nannup (S)	2011	132
Narembeen (S)	2011	103
Narrogin (S)	2011	170
Nedlands (C)	2011	433
Ngaanyatjarraku (S)	2011	21
Northam (S)	2011	180
Northampton (S)	2011	180
Nungarin (S)	2011	50
Peppermint Grove (S)	2011	410
Perenjori (S)	2011	100
Perth (C)	2011	450
Pingelly (S)	2011	130
Plantagenet (S)	2011	162
Port Hedland (T)	2011	120
Quairading (S)	2011	80
Ravensthorpe (S)	2011	231
Rockingham (C)	2011	300
Sandstone (S)	2011	0
Serpentine-Jarrahdale (S)	2011	300
Shark Bay (S)	2011	153
South Perth (C)	2011	340
Stirling (C)	2011	310
Subiaco (C)	2011	360
Swan (C)	2011	315
Tammin (S)	2011	85
Three Springs (S)	2011	79
Toodyay (S)	2011	230
Trayning (S)	2011	75
Upper Gascoyne (S)	2011	50
Victoria Park (T)	2011	312
Victoria Plains (S)	2011	70
Vincent (C)	2011	360
Wagin (S)	2011	120
Wandering (S)	2011	28
Wanneroo (C)	2011	350
Waroona (S)	2011	200
West Arthur (S)	2011	100
Westonia (S)	2011	85
Wickepin (S)	2011	80
Williams (S)	2011	100
Wiluna (S)	2011	25
Wongan-Ballidu (S)	2011	110
Woodanilling (S)	2011	72
Wyalkatchem (S)	2011	120
Wyndham-East Kimberley (S)	2011	125
Yalgoo (S)	2011	43
Yilgarn (S)	2011	107
York (S)	2011	200
No usual address (WA)	2011	0
Migratory - Offshore - Shipping (WA)	2011	0
Break O'Day (M)	2011	160
Brighton (M)	2011	185
Burnie (C)	2011	175
Central Coast (M) (Tas.)	2011	180
Central Highlands (M) (Tas.)	2011	88
Circular Head (M)	2011	125
Clarence (C)	2011	236
Derwent Valley (M)	2011	185
Devonport (C)	2011	186
Dorset (M)	2011	142
Flinders (M) (Tas.)	2011	81
George Town (M)	2011	170
Glamorgan/Spring Bay (M)	2011	165
Glenorchy (C)	2011	210
Hobart (C)	2011	265
Huon Valley (M)	2011	200
Kentish (M)	2011	164
King Island (M)	2011	100
Kingborough (M)	2011	275
Latrobe (M) (Tas.)	2011	200
Launceston (C)	2011	200
Meander Valley (M)	2011	195
Northern Midlands (M)	2011	150
Sorell (M)	2011	230
Southern Midlands (M)	2011	120
Tasman (M)	2011	160
Waratah/Wynyard (M)	2011	170
West Coast (M)	2011	120
West Tamar (M)	2011	220
No usual address (Tas.)	2011	0
Migratory - Offshore - Shipping (Tas.)	2011	0
Alice Springs (T)	2011	300
Barkly (R)	2011	50
Belyuen (S)	2011	80
Central Desert (R)	2011	20
Coomalie (S)	2011	120
Darwin (C)	2011	360
East Arnhem (R)	2011	40
Katherine (T)	2011	200
Litchfield (M)	2011	300
MacDonnell (R)	2011	25
Palmerston (C)	2011	360
Roper Gulf (R)	2011	50
Tiwi Islands (R)	2011	40
Victoria Daly (R)	2011	30
Wagait (S)	2011	220
West Arnhem (R)	2011	50
West Daly (R)	2011	45
Unincorporated NT	2011	23
No usual address (NT)	2011	0
Migratory - Offshore - Shipping (NT)	2011	0
Unincorporated ACT	2011	380
No usual address (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	115
No usual address (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	231
Armidale Regional (A)	2016	250
Ballina (A)	2016	340
Balranald (A)	2016	150
Bathurst Regional (A)	2016	280
Bega Valley (A)	2016	250
Bellingen (A)	2016	280
Berrigan (A)	2016	180
Blacktown (C)	2016	380
Bland (A)	2016	150
Blayney (A)	2016	220
Blue Mountains (C)	2016	350
Bogan (A)	2016	160
Botany Bay (C)	2016	460
Bourke (A)	2016	134
Brewarrina (A)	2016	90
Broken Hill (C)	2016	189
Burwood (A)	2016	500
Byron (A)	2016	400
Cabonne (A)	2016	180
Camden (A)	2016	460
Campbelltown (C) (NSW)	2016	350
Canada Bay (A)	2016	565
Canterbury-Bankstown (A)	2016	380
Carrathool (A)	2016	105
Central Coast (C) (NSW)	2016	350
Central Darling (A)	2016	100
Cessnock (C)	2016	280
Clarence Valley (A)	2016	260
Cobar (A)	2016	160
Coffs Harbour (C)	2016	310
Coolamon (A)	2016	150
Coonamble (A)	2016	150
Cowra (A)	2016	185
Cumberland (A)	2016	400
Dungog (A)	2016	242
Edward River (A)	2016	185
Eurobodalla (A)	2016	255
Fairfield (C)	2016	350
Federation (A)	2016	200
Forbes (A)	2016	180
Georges River (A)	2016	450
Gilgandra (A)	2016	160
Glen Innes Severn (A)	2016	200
Goulburn Mulwaree (A)	2016	260
Greater Hume Shire (A)	2016	180
Griffith (C)	2016	220
Gundagai (A)	2016	180
Gunnedah (A)	2016	240
Gwydir (A)	2016	120
Hawkesbury (C)	2016	360
Hay (A)	2016	148
Hilltops (A)	2016	200
Hornsby (A)	2016	500
Hunters Hill (A)	2016	490
Inner West (A)	2016	480
Inverell (A)	2016	210
Junee (A)	2016	200
Kempsey (A)	2016	245
Kiama (A)	2016	400
Ku-ring-gai (A)	2016	650
Kyogle (A)	2016	200
Lachlan (A)	2016	150
Lake Macquarie (C)	2016	320
Lane Cove (A)	2016	520
Leeton (A)	2016	195
Lismore (C)	2016	260
Lithgow (C)	2016	230
Liverpool (C)	2016	370
Liverpool Plains (A)	2016	180
Lockhart (A)	2016	150
Maitland (C)	2016	320
Mid-Coast (A)	2016	255
Mid-Western Regional (A)	2016	270
Moree Plains (A)	2016	170
Mosman (A)	2016	560
Murray River (A)	2016	200
Murrumbidgee (A)	2016	150
Muswellbrook (A)	2016	250
Nambucca (A)	2016	250
Narrabri (A)	2016	200
Narrandera (A)	2016	170
Narromine (A)	2016	185
Newcastle (C)	2016	340
North Sydney (A)	2016	575
Northern Beaches (A)	2016	565
Oberon (A)	2016	210
Orange (C)	2016	270
Parkes (A)	2016	200
Parramatta (C)	2016	440
Penrith (C)	2016	370
Port Macquarie-Hastings (A)	2016	315
Port Stephens (A)	2016	308
Queanbeyan-Palerang Regional (A)	2016	300
Randwick (C)	2016	550
Richmond Valley (A)	2016	250
Rockdale (C)	2016	460
Ryde (C)	2016	460
Shellharbour (C)	2016	340
Shoalhaven (C)	2016	280
Singleton (A)	2016	280
Snowy Monaro Regional (A)	2016	240
Snowy Valleys (A)	2016	180
Strathfield (A)	2016	470
Sutherland Shire (A)	2016	450
Sydney (C)	2016	565
Tamworth Regional (A)	2016	260
Temora (A)	2016	175
Tenterfield (A)	2016	180
The Hills Shire (A)	2016	560
Tweed (A)	2016	340
Upper Hunter Shire (A)	2016	220
Upper Lachlan Shire (A)	2016	190
Uralla (A)	2016	190
Wagga Wagga (C)	2016	267
Walcha (A)	2016	145
Walgett (A)	2016	145
Warren (A)	2016	140
Warrumbungle Shire (A)	2016	160
Waverley (A)	2016	620
Weddin (A)	2016	135
Wentworth (A)	2016	160
Western Plains Regional (A)	2016	250
Willoughby (C)	2016	580
Wingecarribee (A)	2016	350
Wollondilly (A)	2016	365
Wollongong (C)	2016	320
Woollahra (A)	2016	650
Yass Valley (A)	2016	300
Unincorporated NSW	2016	100
No usual address (NSW)	2016	0
Migratory - Offshore - Shipping (NSW)	2016	0
Alpine (S)	2016	216
Ararat (RC)	2016	185
Ballarat (C)	2016	250
Banyule (C)	2016	350
Bass Coast (S)	2016	250
Baw Baw (S)	2016	250
Bayside (C)	2016	450
Benalla (RC)	2016	200
Boroondara (C)	2016	406
Brimbank (C)	2016	300
Buloke (S)	2016	120
Campaspe (S)	2016	200
Cardinia (S)	2016	320
Casey (C)	2016	340
Central Goldfields (S)	2016	195
Colac-Otway (S)	2016	211
Corangamite (S)	2016	170
Darebin (C)	2016	339
East Gippsland (S)	2016	220
Frankston (C)	2016	306
Gannawarra (S)	2016	150
Glen Eira (C)	2016	390
Glenelg (S)	2016	180
Golden Plains (S)	2016	250
Greater Bendigo (C)	2016	250
Greater Dandenong (C)	2016	300
Greater Geelong (C)	2016	280
Greater Shepparton (C)	2016	220
Hepburn (S)	2016	238
Hindmarsh (S)	2016	140
Hobsons Bay (C)	2016	330
Horsham (RC)	2016	200
Hume (C)	2016	320
Indigo (S)	2016	215
Kingston (C) (Vic.)	2016	351
Knox (C)	2016	351
Latrobe (C) (Vic.)	2016	200
Loddon (S)	2016	125
Macedon Ranges (S)	2016	315
Manningham (C)	2016	415
Mansfield (S)	2016	231
Maribyrnong (C)	2016	330
Maroondah (C)	2016	341
Melbourne (C)	2016	450
Melton (C)	2016	300
Mildura (RC)	2016	210
Mitchell (S)	2016	265
Moira (S)	2016	200
Monash (C)	2016	391
Moonee Valley (C)	2016	350
Moorabool (S)	2016	260
Moreland (C)	2016	355
Mornington Peninsula (S)	2016	310
Mount Alexander (S)	2016	250
Moyne (S)	2016	180
Murrindindi (S)	2016	220
Nillumbik (S)	2016	366
Northern Grampians (S)	2016	170
Port Phillip (C)	2016	400
Pyrenees (S)	2016	160
Queenscliffe (B)	2016	300
South Gippsland (S)	2016	210
Southern Grampians (S)	2016	175
Stonnington (C)	2016	400
Strathbogie (S)	2016	190
Surf Coast (S)	2016	360
Swan Hill (RC)	2016	185
Towong (S)	2016	150
Wangaratta (RC)	2016	210
Warrnambool (C)	2016	250
Wellington (S)	2016	210
West Wimmera (S)	2016	80
Whitehorse (C)	2016	376
Whittlesea (C)	2016	331
Wodonga (C)	2016	250
Wyndham (C)	2016	320
Yarra (C)	2016	421
Yarra Ranges (S)	2016	325
Yarriambiack (S)	2016	130
Unincorporated Vic	2016	1320
No usual address (Vic.)	2016	0
Migratory - Offshore - Shipping (Vic.)	2016	0
Aurukun (S)	2016	100
Balonne (S)	2016	150
Banana (S)	2016	192
Barcaldine (R)	2016	100
Barcoo (S)	2016	80
Blackall-Tambo (R)	2016	118
Boulia (S)	2016	80
Brisbane (C)	2016	390
Bulloo (S)	2016	90
Bundaberg (R)	2016	260
Burdekin (S)	2016	210
Burke (S)	2016	135
Cairns (R)	2016	300
Carpentaria (S)	2016	150
Cassowary Coast (R)	2016	230
Central Highlands (R) (Qld)	2016	180
Charters Towers (R)	2016	200
Cherbourg (S)	2016	100
Cloncurry (S)	2016	150
Cook (S)	2016	160
Croydon (S)	2016	130
Diamantina (S)	2016	140
Doomadgee (S)	2016	120
Douglas (S)	2016	290
Etheridge (S)	2016	105
Flinders (S) (Qld)	2016	115
Fraser Coast (R)	2016	270
Gladstone (R)	2016	250
Gold Coast (C)	2016	392
Goondiwindi (R)	2016	200
Gympie (R)	2016	250
Hinchinbrook (S)	2016	180
Hope Vale (S)	2016	109
Ipswich (C)	2016	310
Isaac (R)	2016	85
Kowanyama (S)	2016	60
Livingstone (S)	2016	300
Lockhart River (S)	2016	100
Lockyer Valley (R)	2016	280
Logan (C)	2016	335
Longreach (R)	2016	180
Mackay (R)	2016	275
McKinlay (S)	2016	70
Mapoon (S)	2016	120
Maranoa (R)	2016	200
Mareeba (S)	2016	220
Moreton Bay (R)	2016	340
Mornington (S)	2016	120
Mount Isa (C)	2016	254
Murweh (S)	2016	152
Napranum (S)	2016	120
Noosa (S)	2016	380
North Burnett (R)	2016	151
Northern Peninsula Area (R)	2016	120
Palm Island (S)	2016	120
Paroo (S)	2016	100
Pormpuraaw (S)	2016	85
Quilpie (S)	2016	120
Redland (C)	2016	390
Richmond (S)	2016	80
Rockhampton (R)	2016	270
Scenic Rim (R)	2016	290
Somerset (R)	2016	270
South Burnett (R)	2016	220
Southern Downs (R)	2016	230
Sunshine Coast (R)	2016	370
Tablelands (R)	2016	240
Toowoomba (R)	2016	280
Torres (S)	2016	152
Torres Strait Island (R)	2016	115
Townsville (C)	2016	300
Weipa (T)	2016	450
Western Downs (R)	2016	200
Whitsunday (R)	2016	270
Winton (S)	2016	100
Woorabinda (S)	2016	120
Wujal Wujal (S)	2016	100
Yarrabah (S)	2016	130
No usual address (Qld)	2016	0
Migratory - Offshore - Shipping (Qld)	2016	0
Adelaide (C)	2016	380
Adelaide Hills (DC)	2016	305
Alexandrina (DC)	2016	250
Anangu Pitjantjatjara (AC)	2016	75
Barossa (DC)	2016	250
Barunga West (DC)	2016	175
Berri and Barmera (DC)	2016	180
Burnside (C)	2016	320
Campbelltown (C) (SA)	2016	300
Ceduna (DC)	2016	190
Charles Sturt (C)	2016	288
Clare and Gilbert Valleys (DC)	2016	210
Cleve (DC)	2016	160
Coober Pedy (DC)	2016	150
Copper Coast (DC)	2016	230
Elliston (DC)	2016	100
Flinders Ranges (DC)	2016	155
Franklin Harbour (DC)	2016	200
Gawler (T)	2016	260
Goyder (DC)	2016	150
Grant (DC)	2016	155
Holdfast Bay (C)	2016	300
Kangaroo Island (DC)	2016	175
Karoonda East Murray (DC)	2016	100
Kimba (DC)	2016	85
Kingston (DC) (SA)	2016	165
Light (RegC)	2016	250
Lower Eyre Peninsula (DC)	2016	180
Loxton Waikerie (DC)	2016	172
Mallala (DC)	2016	230
Maralinga Tjarutja (AC)	2016	0
Marion (C)	2016	300
Mid Murray (DC)	2016	175
Mitcham (C)	2016	300
Mount Barker (DC)	2016	310
Mount Gambier (C)	2016	192
Mount Remarkable (DC)	2016	150
Murray Bridge (RC)	2016	220
Naracoorte and Lucindale (DC)	2016	180
Northern Areas (DC)	2016	151
Norwood Payneham St Peters (C)	2016	300
Onkaparinga (C)	2016	290
Orroroo/Carrieton (DC)	2016	104
Peterborough (DC)	2016	140
Playford (C)	2016	245
Port Adelaide Enfield (C)	2016	269
Port Augusta (C)	2016	180
Port Lincoln (C)	2016	220
Port Pirie City and Dists (M)	2016	170
Prospect (C)	2016	295
Renmark Paringa (DC)	2016	175
Robe (DC)	2016	200
Roxby Downs (M)	2016	198
Salisbury (C)	2016	275
Southern Mallee (DC)	2016	120
Streaky Bay (DC)	2016	170
Tatiara (DC)	2016	150
Tea Tree Gully (C)	2016	300
The Coorong (DC)	2016	125
Tumby Bay (DC)	2016	175
Unley (C)	2016	315
Victor Harbor (C)	2016	255
Wakefield (DC)	2016	180
Walkerville (M)	2016	330
Wattle Range (DC)	2016	150
West Torrens (C)	2016	280
Whyalla (C)	2016	176
Wudinna (DC)	2016	120
Yankalilla (DC)	2016	235
Yorke Peninsula (DC)	2016	180
Unincorporated SA	2016	70
No usual address (SA)	2016	0
Migratory - Offshore - Shipping (SA)	2016	0
Albany (C)	2016	280
Armadale (C)	2016	325
Ashburton (S)	2016	32
Augusta-Margaret River (S)	2016	300
Bassendean (T)	2016	340
Bayswater (C)	2016	350
Belmont (C)	2016	350
Beverley (S)	2016	150
Boddington (S)	2016	260
Boyup Brook (S)	2016	130
Bridgetown-Greenbushes (S)	2016	240
Brookton (S)	2016	150
Broome (S)	2016	270
Broomehill-Tambellup (S)	2016	100
Bruce Rock (S)	2016	100
Bunbury (C)	2016	295
Busselton (C)	2016	350
Cambridge (T)	2016	450
Canning (C)	2016	370
Capel (S)	2016	350
Carnamah (S)	2016	100
Carnarvon (S)	2016	200
Chapman Valley (S)	2016	200
Chittering (S)	2016	270
Claremont (T)	2016	450
Cockburn (C)	2016	380
Collie (S)	2016	225
Coolgardie (S)	2016	200
Coorow (S)	2016	182
Corrigin (S)	2016	135
Cottesloe (T)	2016	540
Cranbrook (S)	2016	120
Cuballing (S)	2016	150
Cue (S)	2016	120
Cunderdin (S)	2016	180
Dalwallinu (S)	2016	180
Dandaragan (S)	2016	258
Dardanup (S)	2016	330
Denmark (S)	2016	263
Derby-West Kimberley (S)	2016	100
Donnybrook-Balingup (S)	2016	230
Dowerin (S)	2016	100
Dumbleyung (S)	2016	95
Dundas (S)	2016	135
East Fremantle (T)	2016	400
East Pilbara (S)	2016	100
Esperance (S)	2016	240
Exmouth (S)	2016	300
Fremantle (C)	2016	360
Gingin (S)	2016	250
Gnowangerup (S)	2016	130
Goomalling (S)	2016	150
Gosnells (C)	2016	350
Greater Geraldton (C)	2016	265
Halls Creek (S)	2016	75
Harvey (S)	2016	315
Irwin (S)	2016	250
Jerramungup (S)	2016	130
Joondalup (C)	2016	410
Kalamunda (S)	2016	380
Kalgoorlie/Boulder (C)	2016	290
Karratha (C)	2016	220
Katanning (S)	2016	180
Kellerberrin (S)	2016	115
Kent (S)	2016	31
Kojonup (S)	2016	143
Kondinin (S)	2016	110
Koorda (S)	2016	95
Kulin (S)	2016	100
Kwinana (C)	2016	325
Lake Grace (S)	2016	130
Laverton (S)	2016	70
Leonora (S)	2016	0
Mandurah (C)	2016	320
Manjimup (S)	2016	183
Meekatharra (S)	2016	100
Melville (C)	2016	400
Menzies (S)	2016	80
Merredin (S)	2016	177
Mingenew (S)	2016	100
Moora (S)	2016	165
Morawa (S)	2016	170
Mosman Park (T)	2016	320
Mount Magnet (S)	2016	149
Mount Marshall (S)	2016	49
Mukinbudin (S)	2016	80
Mundaring (S)	2016	350
Murchison (S)	2016	0
Murray (S)	2016	300
Nannup (S)	2016	175
Narembeen (S)	2016	120
Narrogin (S)	2016	220
Nedlands (C)	2016	520
Ngaanyatjarraku (S)	2016	55
Northam (S)	2016	245
Northampton (S)	2016	200
Nungarin (S)	2016	55
Peppermint Grove (S)	2016	455
Perenjori (S)	2016	120
Perth (C)	2016	440
Pingelly (S)	2016	150
Plantagenet (S)	2016	194
Port Hedland (T)	2016	200
Quairading (S)	2016	95
Ravensthorpe (S)	2016	215
Rockingham (C)	2016	350
Sandstone (S)	2016	0
Serpentine-Jarrahdale (S)	2016	380
Shark Bay (S)	2016	190
South Perth (C)	2016	375
Stirling (C)	2016	350
Subiaco (C)	2016	400
Swan (C)	2016	350
Tammin (S)	2016	102
Three Springs (S)	2016	110
Toodyay (S)	2016	280
Trayning (S)	2016	79
Upper Gascoyne (S)	2016	25
Victoria Park (T)	2016	351
Victoria Plains (S)	2016	80
Vincent (C)	2016	410
Wagin (S)	2016	168
Wandering (S)	2016	16
Wanneroo (C)	2016	375
Waroona (S)	2016	250
West Arthur (S)	2016	100
Westonia (S)	2016	85
Wickepin (S)	2016	95
Williams (S)	2016	126
Wiluna (S)	2016	50
Wongan-Ballidu (S)	2016	140
Woodanilling (S)	2016	0
Wyalkatchem (S)	2016	150
Wyndham-East Kimberley (S)	2016	200
Yalgoo (S)	2016	50
Yilgarn (S)	2016	120
York (S)	2016	250
No usual address (WA)	2016	0
Migratory - Offshore - Shipping (WA)	2016	0
Break O'Day (M)	2016	195
Brighton (M)	2016	215
Burnie (C)	2016	200
Central Coast (M) (Tas.)	2016	210
Central Highlands (M) (Tas.)	2016	100
Circular Head (M)	2016	170
Clarence (C)	2016	265
Derwent Valley (M)	2016	210
Devonport (C)	2016	220
Dorset (M)	2016	160
Flinders (M) (Tas.)	2016	100
George Town (M)	2016	180
Glamorgan/Spring Bay (M)	2016	190
Glenorchy (C)	2016	250
Hobart (C)	2016	290
Huon Valley (M)	2016	230
Kentish (M)	2016	200
King Island (M)	2016	128
Kingborough (M)	2016	300
Latrobe (M) (Tas.)	2016	235
Launceston (C)	2016	225
Meander Valley (M)	2016	210
Northern Midlands (M)	2016	200
Sorell (M)	2016	260
Southern Midlands (M)	2016	170
Tasman (M)	2016	193
Waratah/Wynyard (M)	2016	200
West Coast (M)	2016	130
West Tamar (M)	2016	250
No usual address (Tas.)	2016	0
Migratory - Offshore - Shipping (Tas.)	2016	0
Alice Springs (T)	2016	340
Barkly (R)	2016	80
Belyuen (S)	2016	70
Central Desert (R)	2016	50
Coomalie (S)	2016	165
Darwin (C)	2016	420
East Arnhem (R)	2016	60
Katherine (T)	2016	249
Litchfield (M)	2016	390
MacDonnell (R)	2016	50
Palmerston (C)	2016	430
Roper Gulf (R)	2016	50
Tiwi Islands (R)	2016	50
Victoria Daly (R)	2016	50
Wagait (S)	2016	250
West Arnhem (R)	2016	50
West Daly (R)	2016	50
Unincorporated NT	2016	80
No usual address (NT)	2016	0
Migratory - Offshore - Shipping (NT)	2016	0
Unincorporated ACT	2016	380
No usual address (ACT)	2016	0
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2016	140
No usual address (OT)	2016	0
Migratory - Offshore - Shipping (OT)	2016	0
