STE_NAME16	Year	Age5yr	ChildrenEverBorn	females
Queensland	2006	75-79	1	4153
Queensland	2006	75-79	2	10622
Queensland	2006	75-79	3	10576
Queensland	2006	75-79	4	7513
Queensland	2006	75-79	5	4177
Queensland	2006	75-79	6	4567
Queensland	2006	80-84		5618
Queensland	2006	80-84	0	3905
Queensland	2006	80-84	1	3875
Queensland	2006	80-84	2	8565
Queensland	2006	80-84	3	7658
Queensland	2006	80-84	4	5255
Queensland	2006	80-84	5	2771
Queensland	2006	80-84	6	3246
Queensland	2006	85+		8091
Queensland	2006	85+	0	3599
Queensland	2006	85+	1	4001
Queensland	2006	85+	2	7518
Queensland	2006	85+	3	6073
Queensland	2006	85+	4	3715
Queensland	2006	85+	5	2037
Queensland	2006	85+	6	2438
Queensland	2011	15-19		12241
Queensland	2011	15-19	0	127544
Queensland	2011	15-19	1	3083
Queensland	2011	15-19	2	441
Queensland	2011	15-19	3	80
Queensland	2011	15-19	4	36
Queensland	2011	15-19	5	18
Queensland	2011	15-19	6	47
Queensland	2011	20-24		9772
Queensland	2011	20-24	0	112664
Queensland	2011	20-24	1	15099
Queensland	2011	20-24	2	6583
Queensland	2011	20-24	3	1653
Queensland	2011	20-24	4	373
Queensland	2011	20-24	5	60
Queensland	2011	20-24	6	75
Queensland	2011	25-29		8883
Queensland	2011	25-29	0	86387
Queensland	2011	25-29	1	25754
Queensland	2011	25-29	2	19403
Queensland	2011	25-29	3	7485
Queensland	2011	25-29	4	2400
Queensland	2011	25-29	5	714
Queensland	2011	25-29	6	347
Queensland	2011	30-34		7764
Queensland	2011	30-34	0	48035
Queensland	2011	30-34	1	28492
Queensland	2011	30-34	2	36228
Queensland	2011	30-34	3	16170
Queensland	2011	30-34	4	5715
Queensland	2011	30-34	5	1899
Queensland	2011	30-34	6	1154
Queensland	2011	35-39		7539
Queensland	2011	35-39	0	29830
Queensland	2011	35-39	1	24700
Queensland	2011	35-39	2	53111
Queensland	2011	35-39	3	26917
Queensland	2011	35-39	4	9496
Queensland	2011	35-39	5	3134
Queensland	2011	35-39	6	2285
Queensland	2011	40-44		7580
Queensland	2011	40-44	0	24384
Queensland	2011	40-44	1	21445
Queensland	2011	40-44	2	57422
Queensland	2011	40-44	3	31039
Queensland	2011	40-44	4	11394
Queensland	2011	40-44	5	3663
Queensland	2011	40-44	6	2724
Queensland	2011	45-49		7153
Queensland	2011	45-49	0	21874
Queensland	2011	45-49	1	19016
Queensland	2011	45-49	2	54931
Queensland	2011	45-49	3	32227
Queensland	2011	45-49	4	12308
Queensland	2011	45-49	5	3943
Queensland	2011	45-49	6	2627
Queensland	2011	50-54		6953
Queensland	2011	50-54	0	18821
Queensland	2011	50-54	1	16326
Queensland	2011	50-54	2	51070
Queensland	2011	50-54	3	33600
Queensland	2011	50-54	4	13341
Queensland	2011	50-54	5	3923
Queensland	2011	50-54	6	2442
Queensland	2011	55-59		6251
Queensland	2011	55-59	0	15297
Queensland	2011	55-59	1	13446
Queensland	2011	55-59	2	45889
Queensland	2011	55-59	3	30940
Queensland	2011	55-59	4	12633
Queensland	2011	55-59	5	3749
Queensland	2011	55-59	6	2262
Queensland	2011	60-64		5984
Queensland	2011	60-64	0	12325
Queensland	2011	60-64	1	11397
Queensland	2011	60-64	2	43253
Queensland	2011	60-64	3	29710
Queensland	2011	60-64	4	12602
Queensland	2011	60-64	5	3762
Queensland	2011	60-64	6	2365
Queensland	2011	65-69		5050
Queensland	2011	65-69	0	8902
Queensland	2011	65-69	1	7765
Queensland	2011	65-69	2	29507
Queensland	2011	65-69	3	23432
Queensland	2011	65-69	4	11188
Queensland	2011	65-69	5	4080
Queensland	2011	65-69	6	2715
Queensland	2011	70-74		4514
Queensland	2011	70-74	0	6228
Queensland	2011	70-74	1	4873
Queensland	2011	70-74	2	17509
Queensland	2011	70-74	3	17187
Queensland	2011	70-74	4	10563
Queensland	2011	70-74	5	4631
Queensland	2011	70-74	6	3651
Queensland	2011	75-79		4424
Queensland	2011	75-79	0	4472
Queensland	2011	75-79	1	3624
Queensland	2011	75-79	2	11043
Queensland	2011	75-79	3	11899
Queensland	2011	75-79	4	8394
Queensland	2011	75-79	5	4294
Queensland	2011	75-79	6	4179
Queensland	2011	80-84		4823
Queensland	2011	80-84	0	3758
Queensland	2011	80-84	1	3428
Queensland	2011	80-84	2	8946
Queensland	2011	80-84	3	8894
Queensland	2011	80-84	4	6322
Queensland	2011	80-84	5	3489
Queensland	2011	80-84	6	3766
Queensland	2011	85+		8403
Queensland	2011	85+	0	3905
Queensland	2011	85+	1	4365
Queensland	2011	85+	2	9295
Queensland	2011	85+	3	7909
Queensland	2011	85+	4	5294
Queensland	2011	85+	5	2831
Queensland	2011	85+	6	3146
Queensland	2016	15-19		16062
Queensland	2016	15-19	0	126668
Queensland	2016	15-19	1	1943
Queensland	2016	15-19	2	281
Queensland	2016	15-19	3	53
Queensland	2016	15-19	4	34
Queensland	2016	15-19	5	10
Queensland	2016	15-19	6	33
Queensland	2016	20-24		15013
Queensland	2016	20-24	0	121342
Queensland	2016	20-24	1	13294
Queensland	2016	20-24	2	6026
Queensland	2016	20-24	3	1458
Queensland	2016	20-24	4	304
Queensland	2016	20-24	5	46
Queensland	2016	20-24	6	98
Queensland	2016	25-29		14294
Queensland	2016	25-29	0	93486
Queensland	2016	25-29	1	25552
Queensland	2016	25-29	2	19233
Queensland	2016	25-29	3	7039
Queensland	2016	25-29	4	2137
Queensland	2016	25-29	5	590
Queensland	2016	25-29	6	292
Queensland	2016	30-34		12306
Queensland	2016	30-34	0	56053
Queensland	2016	30-34	1	33578
Queensland	2016	30-34	2	39525
Queensland	2016	30-34	3	16316
Queensland	2016	30-34	4	5486
Queensland	2016	30-34	5	1790
Queensland	2016	30-34	6	1161
Queensland	2016	35-39		10262
Queensland	2016	35-39	0	30739
Queensland	2016	35-39	1	25180
Queensland	2016	35-39	2	51129
Queensland	2016	35-39	3	24433
Queensland	2016	35-39	4	8864
Queensland	2016	35-39	5	2951
Queensland	2016	35-39	6	2212
Queensland	2016	40-44		10593
Queensland	2016	40-44	0	24851
Queensland	2016	40-44	1	23042
Queensland	2016	40-44	2	58245
Queensland	2016	40-44	3	30518
Queensland	2016	40-44	4	11169
Queensland	2016	40-44	5	3757
Queensland	2016	40-44	6	3015
Queensland	2016	45-49		10962
Queensland	2016	45-49	0	23588
Queensland	2016	45-49	1	21988
Queensland	2016	45-49	2	58488
Queensland	2016	45-49	3	31648
Queensland	2016	45-49	4	11793
Queensland	2016	45-49	5	3913
Queensland	2016	45-49	6	3077
Queensland	2016	50-54		10762
Queensland	2016	50-54	0	21490
Queensland	2016	50-54	1	19214
Queensland	2016	50-54	2	54563
Queensland	2016	50-54	3	32242
Queensland	2016	50-54	4	12513
Queensland	2016	50-54	5	4091
Queensland	2016	50-54	6	2831
Queensland	2016	55-59		10423
Queensland	2016	55-59	0	18361
Queensland	2016	55-59	1	16218
Queensland	2016	55-59	2	50732
Queensland	2016	55-59	3	33535
Queensland	2016	55-59	4	13473
Queensland	2016	55-59	5	4098
Queensland	2016	55-59	6	2636
Queensland	2016	60-64		9588
Queensland	2016	60-64	0	14653
Queensland	2016	60-64	1	13524
Queensland	2016	60-64	2	45457
Queensland	2016	60-64	3	30802
Queensland	2016	60-64	4	12851
Queensland	2016	60-64	5	3867
Queensland	2016	60-64	6	2386
Queensland	2016	65-69		9144
Queensland	2016	65-69	0	11655
Queensland	2016	65-69	1	11140
Queensland	2016	65-69	2	42105
Queensland	2016	65-69	3	29372
Queensland	2016	65-69	4	12673
Queensland	2016	65-69	5	3996
Queensland	2016	65-69	6	2438
Queensland	2016	70-74		7442
Queensland	2016	70-74	0	8101
Queensland	2016	70-74	1	7315
Queensland	2016	70-74	2	28247
Queensland	2016	70-74	3	22690
Queensland	2016	70-74	4	10950
Queensland	2016	70-74	5	3992
Queensland	2016	70-74	6	2742
Queensland	2016	75-79		6196
Queensland	2016	75-79	0	5390
Queensland	2016	75-79	1	4325
Queensland	2016	75-79	2	16072
Queensland	2016	75-79	3	15735
Queensland	2016	75-79	4	9790
Queensland	2016	75-79	5	4353
Queensland	2016	75-79	6	3394
Queensland	2016	80-84		5473
Queensland	2016	80-84	0	3514
Queensland	2016	80-84	1	2973
Queensland	2016	80-84	2	9348
Queensland	2016	80-84	3	10106
Queensland	2016	80-84	4	7180
Queensland	2016	80-84	5	3647
Queensland	2016	80-84	6	3612
Queensland	2016	85+		10180
Queensland	2016	85+	0	4011
Queensland	2016	85+	1	4204
Queensland	2016	85+	2	10493
Queensland	2016	85+	3	9992
Queensland	2016	85+	4	7000
Queensland	2016	85+	5	3784
Queensland	2016	85+	6	4097
South Australia	2006	15-19		4599
South Australia	2006	15-19	0	43067
South Australia	2006	15-19	1	882
South Australia	2006	15-19	2	146
South Australia	2006	15-19	3	32
South Australia	2006	15-19	4	7
South Australia	2006	15-19	5	10
South Australia	2006	15-19	6	18
South Australia	2006	20-24		2888
South Australia	2006	20-24	0	39317
South Australia	2006	20-24	1	4579
South Australia	2006	20-24	2	1863
South Australia	2006	20-24	3	409
South Australia	2006	20-24	4	84
South Australia	2006	20-24	5	14
South Australia	2006	20-24	6	20
South Australia	2006	25-29		2102
South Australia	2006	25-29	0	25624
South Australia	2006	25-29	1	7683
South Australia	2006	25-29	2	5848
South Australia	2006	25-29	3	1982
South Australia	2006	25-29	4	548
South Australia	2006	25-29	5	122
South Australia	2006	25-29	6	66
South Australia	2006	30-34		2088
South Australia	2006	30-34	0	15610
South Australia	2006	30-34	1	10190
South Australia	2006	30-34	2	13455
South Australia	2006	30-34	3	5200
South Australia	2006	30-34	4	1591
South Australia	2006	30-34	5	428
South Australia	2006	30-34	6	198
South Australia	2006	35-39		2230
South Australia	2006	35-39	0	10412
South Australia	2006	35-39	1	8471
South Australia	2006	35-39	2	19860
South Australia	2006	35-39	3	9382
South Australia	2006	35-39	4	2719
South Australia	2006	35-39	5	748
South Australia	2006	35-39	6	487
South Australia	2006	40-44		2180
South Australia	2006	40-44	0	8728
South Australia	2006	40-44	1	7256
South Australia	2006	40-44	2	21811
South Australia	2006	40-44	3	11026
South Australia	2006	40-44	4	3659
South Australia	2006	40-44	5	1075
South Australia	2006	40-44	6	601
South Australia	2006	45-49		2244
South Australia	2006	45-49	0	7984
South Australia	2006	45-49	1	6742
South Australia	2006	45-49	2	22340
South Australia	2006	45-49	3	12002
South Australia	2006	45-49	4	4063
South Australia	2006	45-49	5	1072
South Australia	2006	45-49	6	621
South Australia	2006	50-54		2054
South Australia	2006	50-54	0	6771
South Australia	2006	50-54	1	5924
South Australia	2006	50-54	2	21352
South Australia	2006	50-54	3	11518
South Australia	2006	50-54	4	3907
South Australia	2006	50-54	5	972
South Australia	2006	50-54	6	508
South Australia	2006	55-59		2083
South Australia	2006	55-59	0	5282
South Australia	2006	55-59	1	5070
South Australia	2006	55-59	2	20911
South Australia	2006	55-59	3	11837
South Australia	2006	55-59	4	3939
South Australia	2006	55-59	5	1052
South Australia	2006	55-59	6	528
South Australia	2006	60-64		1878
South Australia	2006	60-64	0	3545
South Australia	2006	60-64	1	3198
South Australia	2006	60-64	2	14766
South Australia	2006	60-64	3	10282
South Australia	2006	60-64	4	3997
South Australia	2006	60-64	5	1185
South Australia	2006	60-64	6	725
South Australia	2006	65-69		1738
South Australia	2006	65-69	0	2470
South Australia	2006	65-69	1	2178
South Australia	2006	65-69	2	9408
South Australia	2006	65-69	3	8736
South Australia	2006	65-69	4	4757
South Australia	2006	65-69	5	1774
South Australia	2006	65-69	6	1229
South Australia	2006	70-74		1835
South Australia	2006	70-74	0	2015
South Australia	2006	70-74	1	1866
South Australia	2006	70-74	2	6710
South Australia	2006	70-74	3	6990
South Australia	2006	70-74	4	4519
South Australia	2006	70-74	5	1973
South Australia	2006	70-74	6	1747
South Australia	2006	75-79		2280
South Australia	2006	75-79	0	2164
South Australia	2006	75-79	1	2170
South Australia	2006	75-79	2	6323
South Australia	2006	75-79	3	6069
South Australia	2006	75-79	4	4024
South Australia	2006	75-79	5	2051
South Australia	2006	75-79	6	1982
South Australia	2006	80-84		2377
South Australia	2006	80-84	0	1960
South Australia	2006	80-84	1	2189
South Australia	2006	80-84	2	5471
South Australia	2006	80-84	3	4822
South Australia	2006	80-84	4	3096
South Australia	2006	80-84	5	1495
South Australia	2006	80-84	6	1484
South Australia	2006	85+		2932
South Australia	2006	85+	0	2178
South Australia	2006	85+	1	2528
South Australia	2006	85+	2	5040
South Australia	2006	85+	3	3836
South Australia	2006	85+	4	2180
South Australia	2006	85+	5	985
South Australia	2006	85+	6	1050
South Australia	2011	15-19		3870
South Australia	2011	15-19	0	45314
South Australia	2011	15-19	1	813
South Australia	2011	15-19	2	111
South Australia	2011	15-19	3	31
South Australia	2011	15-19	4	18
South Australia	2011	15-19	5	3
South Australia	2011	15-19	6	21
South Australia	2011	20-24		2749
South Australia	2011	20-24	0	42021
South Australia	2011	20-24	1	4421
South Australia	2011	20-24	2	1865
South Australia	2011	20-24	3	424
South Australia	2011	20-24	4	77
South Australia	2011	20-24	5	24
South Australia	2011	20-24	6	19
South Australia	2011	25-29		2321
South Australia	2011	25-29	0	31493
South Australia	2011	25-29	1	9116
South Australia	2011	25-29	2	6255
South Australia	2011	25-29	3	2103
South Australia	2011	25-29	4	589
South Australia	2011	25-29	5	156
South Australia	2011	25-29	6	72
South Australia	2011	30-34		1952
South Australia	2011	30-34	0	16462
South Australia	2011	30-34	1	10619
South Australia	2011	30-34	2	12619
South Australia	2011	30-34	3	5043
South Australia	2011	30-34	4	1475
South Australia	2011	30-34	5	479
South Australia	2011	30-34	6	254
South Australia	2011	35-39		1912
South Australia	2011	35-39	0	10131
South Australia	2011	35-39	1	8793
South Australia	2011	35-39	2	19152
South Australia	2011	35-39	3	8499
South Australia	2011	35-39	4	2571
South Australia	2011	35-39	5	787
South Australia	2011	35-39	6	513
South Australia	2011	40-44		2003
South Australia	2011	40-44	0	8906
South Australia	2011	40-44	1	8067
South Australia	2011	40-44	2	21865
South Australia	2011	40-44	3	10890
South Australia	2011	40-44	4	3335
South Australia	2011	40-44	5	897
South Australia	2011	40-44	6	690
South Australia	2011	45-49		2003
South Australia	2011	45-49	0	8717
South Australia	2011	45-49	1	7467
South Australia	2011	45-49	2	22059
South Australia	2011	45-49	3	11195
South Australia	2011	45-49	4	3758
South Australia	2011	45-49	5	1109
South Australia	2011	45-49	6	700
South Australia	2011	50-54		1986
South Australia	2011	50-54	0	8093
South Australia	2011	50-54	1	6728
South Australia	2011	50-54	2	22169
South Australia	2011	50-54	3	11931
South Australia	2011	50-54	4	4075
South Australia	2011	50-54	5	1145
South Australia	2011	50-54	6	616
South Australia	2011	55-59		1864
South Australia	2011	55-59	0	6653
South Australia	2011	55-59	1	5904
South Australia	2011	55-59	2	20939
South Australia	2011	55-59	3	11378
South Australia	2011	55-59	4	3908
South Australia	2011	55-59	5	977
South Australia	2011	55-59	6	511
South Australia	2011	60-64		1989
South Australia	2011	60-64	0	5188
South Australia	2011	60-64	1	4978
South Australia	2011	60-64	2	20429
South Australia	2011	60-64	3	11642
South Australia	2011	60-64	4	3928
South Australia	2011	60-64	5	1043
South Australia	2011	60-64	6	536
South Australia	2011	65-69		1665
South Australia	2011	65-69	0	3403
South Australia	2011	65-69	1	3072
South Australia	2011	65-69	2	14425
South Australia	2011	65-69	3	10034
South Australia	2011	65-69	4	3869
South Australia	2011	65-69	5	1163
South Australia	2011	65-69	6	717
South Australia	2011	70-74		1718
South Australia	2011	70-74	0	2297
South Australia	2011	70-74	1	2059
South Australia	2011	70-74	2	9019
South Australia	2011	70-74	3	8328
South Australia	2011	70-74	4	4486
South Australia	2011	70-74	5	1682
South Australia	2011	70-74	6	1140
South Australia	2011	75-79		1707
South Australia	2011	75-79	0	1737
South Australia	2011	75-79	1	1715
South Australia	2011	75-79	2	6159
South Australia	2011	75-79	3	6369
South Australia	2011	75-79	4	4142
South Australia	2011	75-79	5	1781
South Australia	2011	75-79	6	1512
South Australia	2011	80-84		2052
South Australia	2011	80-84	0	1655
South Australia	2011	80-84	1	1814
South Australia	2011	80-84	2	5344
South Australia	2011	80-84	3	5077
South Australia	2011	80-84	4	3385
South Australia	2011	80-84	5	1676
South Australia	2011	80-84	6	1621
South Australia	2011	85+		3572
South Australia	2011	85+	0	2087
South Australia	2011	85+	1	2467
South Australia	2011	85+	2	6083
South Australia	2011	85+	3	4988
South Australia	2011	85+	4	3025
South Australia	2011	85+	5	1490
South Australia	2011	85+	6	1431
South Australia	2016	15-19		5171
South Australia	2016	15-19	0	43408
South Australia	2016	15-19	1	458
South Australia	2016	15-19	2	85
South Australia	2016	15-19	3	24
South Australia	2016	15-19	4	9
South Australia	2016	15-19	5	3
South Australia	2016	15-19	6	9
South Australia	2016	20-24		4219
South Australia	2016	20-24	0	43020
South Australia	2016	20-24	1	3554
South Australia	2016	20-24	2	1578
South Australia	2016	20-24	3	297
South Australia	2016	20-24	4	71
South Australia	2016	20-24	5	9
South Australia	2016	20-24	6	25
South Australia	2016	25-29		3650
South Australia	2016	25-29	0	33198
South Australia	2016	25-29	1	8554
South Australia	2016	25-29	2	5879
South Australia	2016	25-29	3	1841
South Australia	2016	25-29	4	520
South Australia	2016	25-29	5	131
South Australia	2016	25-29	6	78
South Australia	2016	30-34		3231
South Australia	2016	30-34	0	19300
South Australia	2016	30-34	1	12486
South Australia	2016	30-34	2	13808
South Australia	2016	30-34	3	4911
South Australia	2016	30-34	4	1477
South Australia	2016	30-34	5	481
South Australia	2016	30-34	6	286
South Australia	2016	35-39		2707
South Australia	2016	35-39	0	10162
South Australia	2016	35-39	1	8982
South Australia	2016	35-39	2	18184
South Australia	2016	35-39	3	7985
South Australia	2016	35-39	4	2382
South Australia	2016	35-39	5	767
South Australia	2016	35-39	6	540
South Australia	2016	40-44		2657
South Australia	2016	40-44	0	8136
South Australia	2016	40-44	1	7927
South Australia	2016	40-44	2	20572
South Australia	2016	40-44	3	9524
South Australia	2016	40-44	4	3093
South Australia	2016	40-44	5	969
South Australia	2016	40-44	6	698
South Australia	2016	45-49		3042
South Australia	2016	45-49	0	8449
South Australia	2016	45-49	1	7925
South Australia	2016	45-49	2	21876
South Australia	2016	45-49	3	10908
South Australia	2016	45-49	4	3457
South Australia	2016	45-49	5	986
South Australia	2016	45-49	6	792
South Australia	2016	50-54		3108
South Australia	2016	50-54	0	8510
South Australia	2016	50-54	1	7330
South Australia	2016	50-54	2	21533
South Australia	2016	50-54	3	11129
South Australia	2016	50-54	4	3793
South Australia	2016	50-54	5	1181
South Australia	2016	50-54	6	754
South Australia	2016	55-59		3277
South Australia	2016	55-59	0	7726
South Australia	2016	55-59	1	6720
South Australia	2016	55-59	2	21782
South Australia	2016	55-59	3	11706
South Australia	2016	55-59	4	4154
South Australia	2016	55-59	5	1149
South Australia	2016	55-59	6	714
South Australia	2016	60-64		2949
South Australia	2016	60-64	0	6382
South Australia	2016	60-64	1	5899
South Australia	2016	60-64	2	20502
South Australia	2016	60-64	3	11218
South Australia	2016	60-64	4	3963
South Australia	2016	60-64	5	1025
South Australia	2016	60-64	6	583
South Australia	2016	65-69		3024
South Australia	2016	65-69	0	4925
South Australia	2016	65-69	1	4834
South Australia	2016	65-69	2	19823
South Australia	2016	65-69	3	11393
South Australia	2016	65-69	4	3966
South Australia	2016	65-69	5	1054
South Australia	2016	65-69	6	621
South Australia	2016	70-74		2598
South Australia	2016	70-74	0	3169
South Australia	2016	70-74	1	2917
South Australia	2016	70-74	2	13766
South Australia	2016	70-74	3	9706
South Australia	2016	70-74	4	3809
South Australia	2016	70-74	5	1182
South Australia	2016	70-74	6	746
South Australia	2016	75-79		2209
South Australia	2016	75-79	0	2011
South Australia	2016	75-79	1	1818
South Australia	2016	75-79	2	8278
South Australia	2016	75-79	3	7729
South Australia	2016	75-79	4	4150
South Australia	2016	75-79	5	1606
South Australia	2016	75-79	6	1070
South Australia	2016	80-84		2011
South Australia	2016	80-84	0	1333
South Australia	2016	80-84	1	1406
South Australia	2016	80-84	2	5204
South Australia	2016	80-84	3	5508
South Australia	2016	80-84	4	3564
South Australia	2016	80-84	5	1569
South Australia	2016	80-84	6	1340
South Australia	2016	85+		3618
South Australia	2016	85+	0	1939
South Australia	2016	85+	1	2264
South Australia	2016	85+	2	6623
South Australia	2016	85+	3	6103
South Australia	2016	85+	4	3847
South Australia	2016	85+	5	1955
South Australia	2016	85+	6	1793
Western Australia	2006	15-19		7428
Western Australia	2006	15-19	0	58952
Western Australia	2006	15-19	1	1417
Western Australia	2006	15-19	2	203
Western Australia	2006	15-19	3	52
Western Australia	2006	15-19	4	18
Western Australia	2006	15-19	5	12
Western Australia	2006	15-19	6	30
Western Australia	2006	20-24		5337
Western Australia	2006	20-24	0	51292
Western Australia	2006	20-24	1	6288
Western Australia	2006	20-24	2	2564
Western Australia	2006	20-24	3	624
Western Australia	2006	20-24	4	128
Western Australia	2006	20-24	5	27
Western Australia	2006	20-24	6	35
Western Australia	2006	25-29		4518
Western Australia	2006	25-29	0	35509
Western Australia	2006	25-29	1	10024
Western Australia	2006	25-29	2	7848
Western Australia	2006	25-29	3	2898
Western Australia	2006	25-29	4	918
Western Australia	2006	25-29	5	216
Western Australia	2006	25-29	6	95
Western Australia	2006	30-34		4387
Western Australia	2006	30-34	0	22569
Western Australia	2006	30-34	1	13471
Western Australia	2006	30-34	2	18009
Western Australia	2006	30-34	3	7237
Western Australia	2006	30-34	4	2314
Western Australia	2006	30-34	5	697
Western Australia	2006	30-34	6	397
Western Australia	2006	35-39		4554
Western Australia	2006	35-39	0	14032
Western Australia	2006	35-39	1	11111
Western Australia	2006	35-39	2	26225
Western Australia	2006	35-39	3	12680
Western Australia	2006	35-39	4	4149
Western Australia	2006	35-39	5	1163
Western Australia	2006	35-39	6	761
Western Australia	2006	40-44		4494
Western Australia	2006	40-44	0	10479
Western Australia	2006	40-44	1	8741
Western Australia	2006	40-44	2	27979
Western Australia	2006	40-44	3	15679
Western Australia	2006	40-44	4	5452
Western Australia	2006	40-44	5	1500
Western Australia	2006	40-44	6	918
Western Australia	2006	45-49		4128
Western Australia	2006	45-49	0	8992
Western Australia	2006	45-49	1	7544
Western Australia	2006	45-49	2	27398
Western Australia	2006	45-49	3	16965
Western Australia	2006	45-49	4	6150
Western Australia	2006	45-49	5	1671
Western Australia	2006	45-49	6	933
Western Australia	2006	50-54		3776
Western Australia	2006	50-54	0	7361
Western Australia	2006	50-54	1	6746
Western Australia	2006	50-54	2	25102
Western Australia	2006	50-54	3	16206
Western Australia	2006	50-54	4	5882
Western Australia	2006	50-54	5	1567
Western Australia	2006	50-54	6	887
Western Australia	2006	55-59		3504
Western Australia	2006	55-59	0	5583
Western Australia	2006	55-59	1	5305
Western Australia	2006	55-59	2	23092
Western Australia	2006	55-59	3	15063
Western Australia	2006	55-59	4	5704
Western Australia	2006	55-59	5	1536
Western Australia	2006	55-59	6	823
Western Australia	2006	60-64		2750
Western Australia	2006	60-64	0	3590
Western Australia	2006	60-64	1	3397
Western Australia	2006	60-64	2	15058
Western Australia	2006	60-64	3	11732
Western Australia	2006	60-64	4	5185
Western Australia	2006	60-64	5	1577
Western Australia	2006	60-64	6	974
Western Australia	2006	65-69		2528
Western Australia	2006	65-69	0	2586
Western Australia	2006	65-69	1	2273
Western Australia	2006	65-69	2	9365
Western Australia	2006	65-69	3	9699
Western Australia	2006	65-69	4	5579
Western Australia	2006	65-69	5	2129
Western Australia	2006	65-69	6	1481
Western Australia	2006	70-74		2311
Western Australia	2006	70-74	0	2055
Western Australia	2006	70-74	1	1733
Western Australia	2006	70-74	2	6334
Western Australia	2006	70-74	3	7327
Western Australia	2006	70-74	4	5075
Western Australia	2006	70-74	5	2325
Western Australia	2006	70-74	6	1869
Western Australia	2006	75-79		2412
Western Australia	2006	75-79	0	1804
Western Australia	2006	75-79	1	1712
Western Australia	2006	75-79	2	5428
Western Australia	2006	75-79	3	5828
Western Australia	2006	75-79	4	4248
Western Australia	2006	75-79	5	2081
Western Australia	2006	75-79	6	1963
Western Australia	2006	80-84		2457
Western Australia	2006	80-84	0	1567
Western Australia	2006	80-84	1	1650
Western Australia	2006	80-84	2	4355
Western Australia	2006	80-84	3	4105
Western Australia	2006	80-84	4	2781
Western Australia	2006	80-84	5	1397
Western Australia	2006	80-84	6	1414
Western Australia	2006	85+		3224
Western Australia	2006	85+	0	1588
Western Australia	2006	85+	1	1943
Western Australia	2006	85+	2	4160
Western Australia	2006	85+	3	3401
Western Australia	2006	85+	4	2203
Western Australia	2006	85+	5	1030
Western Australia	2006	85+	6	1096
Western Australia	2011	15-19		6414
Western Australia	2011	15-19	0	63762
Western Australia	2011	15-19	1	1298
Western Australia	2011	15-19	2	172
Western Australia	2011	15-19	3	27
Western Australia	2011	15-19	4	28
Western Australia	2011	15-19	5	12
Western Australia	2011	15-19	6	23
Western Australia	2011	20-24		5498
Western Australia	2011	20-24	0	60376
Western Australia	2011	20-24	1	6969
Western Australia	2011	20-24	2	3039
Western Australia	2011	20-24	3	721
Western Australia	2011	20-24	4	138
Western Australia	2011	20-24	5	31
Western Australia	2011	20-24	6	48
Western Australia	2011	25-29		5511
Western Australia	2011	25-29	0	48579
Western Australia	2011	25-29	1	13041
Western Australia	2011	25-29	2	9524
Western Australia	2011	25-29	3	3197
Western Australia	2011	25-29	4	942
Western Australia	2011	25-29	5	239
Western Australia	2011	25-29	6	120
Western Australia	2011	30-34		4732
Western Australia	2011	30-34	0	27011
Western Australia	2011	30-34	1	15565
Western Australia	2011	30-34	2	18601
Western Australia	2011	30-34	3	7363
Western Australia	2011	30-34	4	2535
Western Australia	2011	30-34	5	728
Western Australia	2011	30-34	6	446
Western Australia	2011	35-39		4541
Western Australia	2011	35-39	0	15514
Western Australia	2011	35-39	1	12614
Western Australia	2011	35-39	2	28231
Western Australia	2011	35-39	3	13126
Western Australia	2011	35-39	4	4056
Western Australia	2011	35-39	5	1235
Western Australia	2011	35-39	6	890
Western Australia	2011	40-44		4364
Western Australia	2011	40-44	0	12381
Western Australia	2011	40-44	1	10957
Western Australia	2011	40-44	2	31552
Western Australia	2011	40-44	3	15832
Western Australia	2011	40-44	4	5234
Western Australia	2011	40-44	5	1594
Western Australia	2011	40-44	6	1110
Western Australia	2011	45-49		3902
Western Australia	2011	45-49	0	10784
Western Australia	2011	45-49	1	9393
Western Australia	2011	45-49	2	29788
Western Australia	2011	45-49	3	16942
Western Australia	2011	45-49	4	5831
Western Australia	2011	45-49	5	1665
Western Australia	2011	45-49	6	1061
Western Australia	2011	50-54		3712
Western Australia	2011	50-54	0	9085
Western Australia	2011	50-54	1	7885
Western Australia	2011	50-54	2	27896
Western Australia	2011	50-54	3	17346
Western Australia	2011	50-54	4	6344
Western Australia	2011	50-54	5	1781
Western Australia	2011	50-54	6	1004
Western Australia	2011	55-59		3347
Western Australia	2011	55-59	0	7242
Western Australia	2011	55-59	1	6653
Western Australia	2011	55-59	2	25216
Western Australia	2011	55-59	3	16253
Western Australia	2011	55-59	4	6071
Western Australia	2011	55-59	5	1584
Western Australia	2011	55-59	6	971
Western Australia	2011	60-64		3068
Western Australia	2011	60-64	0	5348
Western Australia	2011	60-64	1	5279
Western Australia	2011	60-64	2	22921
Western Australia	2011	60-64	3	14985
Western Australia	2011	60-64	4	5748
Western Australia	2011	60-64	5	1549
Western Australia	2011	60-64	6	863
Western Australia	2011	65-69		2292
Western Australia	2011	65-69	0	3367
Western Australia	2011	65-69	1	3218
Western Australia	2011	65-69	2	14760
Western Australia	2011	65-69	3	11482
Western Australia	2011	65-69	4	5138
Western Australia	2011	65-69	5	1545
Western Australia	2011	65-69	6	952
Western Australia	2011	70-74		2153
Western Australia	2011	70-74	0	2378
