STE_NAME16	Year	Age	FOE	adults
Victoria	2016	20-24	Society and culture	27072
Victoria	2016	25-34	Agriculture environmental and related studies	12342
Victoria	2016	25-34	Architecture and building	42535
Victoria	2016	25-34	Creative arts	40344
Victoria	2016	25-34	Education	40299
Victoria	2016	25-34	Engineering and related technologies	74181
Victoria	2016	25-34	Field of study not stated	81326
Victoria	2016	25-34	Food hospitality and personal services	42942
Victoria	2016	25-34	Health	67640
Victoria	2016	25-34	Information technology	37543
Victoria	2016	25-34	Management and commerce	150575
Victoria	2016	25-34	Mixed field programmes	997
Victoria	2016	25-34	Natural and physical sciences	22174
Victoria	2016	25-34	Society and culture	80931
Victoria	2016	35-44	Agriculture environmental and related studies	13021
Victoria	2016	35-44	Architecture and building	31477
Victoria	2016	35-44	Creative arts	26426
Victoria	2016	35-44	Education	40238
Victoria	2016	35-44	Engineering and related technologies	72104
Victoria	2016	35-44	Field of study not stated	70717
Victoria	2016	35-44	Food hospitality and personal services	29638
Victoria	2016	35-44	Health	54116
Victoria	2016	35-44	Information technology	34957
Victoria	2016	35-44	Management and commerce	134715
Victoria	2016	35-44	Mixed field programmes	675
Victoria	2016	35-44	Natural and physical sciences	21083
Victoria	2016	35-44	Society and culture	75553
Victoria	2016	45-54	Agriculture environmental and related studies	11219
Victoria	2016	45-54	Architecture and building	27883
Victoria	2016	45-54	Creative arts	15811
Victoria	2016	45-54	Education	40525
Victoria	2016	45-54	Engineering and related technologies	77521
Victoria	2016	45-54	Field of study not stated	67272
Victoria	2016	45-54	Food hospitality and personal services	23296
Victoria	2016	45-54	Health	49995
Victoria	2016	45-54	Information technology	16482
Victoria	2016	45-54	Management and commerce	100240
Victoria	2016	45-54	Mixed field programmes	814
Victoria	2016	45-54	Natural and physical sciences	16489
Victoria	2016	45-54	Society and culture	65766
Victoria	2016	55-64	Agriculture environmental and related studies	7589
Victoria	2016	55-64	Architecture and building	21135
Victoria	2016	55-64	Creative arts	10062
Victoria	2016	55-64	Education	44682
Victoria	2016	55-64	Engineering and related technologies	66958
Victoria	2016	55-64	Field of study not stated	59878
Victoria	2016	55-64	Food hospitality and personal services	13824
Victoria	2016	55-64	Health	43817
Victoria	2016	55-64	Information technology	8164
Victoria	2016	55-64	Management and commerce	64654
Victoria	2016	55-64	Mixed field programmes	907
Victoria	2016	55-64	Natural and physical sciences	12388
Victoria	2016	55-64	Society and culture	51474
Victoria	2016	65-74	Agriculture environmental and related studies	3981
Victoria	2016	65-74	Architecture and building	13210
Victoria	2016	65-74	Creative arts	5637
Victoria	2016	65-74	Education	31072
Victoria	2016	65-74	Engineering and related technologies	48837
Victoria	2016	65-74	Field of study not stated	54078
Victoria	2016	65-74	Food hospitality and personal services	9315
Victoria	2016	65-74	Health	24951
Victoria	2016	65-74	Information technology	2476
Victoria	2016	65-74	Management and commerce	34639
Victoria	2016	65-74	Mixed field programmes	1144
Victoria	2016	65-74	Natural and physical sciences	7571
Victoria	2016	65-74	Society and culture	26949
Victoria	2016	75-84	Agriculture environmental and related studies	1647
Victoria	2016	75-84	Architecture and building	7174
Victoria	2016	75-84	Creative arts	2148
Victoria	2016	75-84	Education	11681
Victoria	2016	75-84	Engineering and related technologies	24571
Victoria	2016	75-84	Field of study not stated	42230
Victoria	2016	75-84	Food hospitality and personal services	3296
Victoria	2016	75-84	Health	11737
Victoria	2016	75-84	Information technology	298
Victoria	2016	75-84	Management and commerce	11978
Victoria	2016	75-84	Mixed field programmes	980
Victoria	2016	75-84	Natural and physical sciences	2589
Victoria	2016	75-84	Society and culture	7483
Victoria	2016	85+	Agriculture environmental and related studies	497
Victoria	2016	85+	Architecture and building	2039
Victoria	2016	85+	Creative arts	851
Victoria	2016	85+	Education	3283
Victoria	2016	85+	Engineering and related technologies	8275
Victoria	2016	85+	Field of study not stated	26101
Victoria	2016	85+	Food hospitality and personal services	1143
Victoria	2016	85+	Health	4140
Victoria	2016	85+	Information technology	65
Victoria	2016	85+	Management and commerce	4957
Victoria	2016	85+	Mixed field programmes	347
Victoria	2016	85+	Natural and physical sciences	882
Victoria	2016	85+	Society and culture	2071
Queensland	2006	15-19	Agriculture environmental and related studies	1009
Queensland	2006	15-19	Architecture and building	1046
Queensland	2006	15-19	Creative arts	893
Queensland	2006	15-19	Education	202
Queensland	2006	15-19	Engineering and related technologies	2327
Queensland	2006	15-19	Field of study not stated	32517
Queensland	2006	15-19	Food hospitality and personal services	3872
Queensland	2006	15-19	Health	529
Queensland	2006	15-19	Information technology	992
Queensland	2006	15-19	Management and commerce	5656
Queensland	2006	15-19	Mixed field programmes	244
Queensland	2006	15-19	Natural and physical sciences	101
Queensland	2006	15-19	Society and culture	1877
Queensland	2006	20-24	Agriculture environmental and related studies	3556
Queensland	2006	20-24	Architecture and building	6199
Queensland	2006	20-24	Creative arts	6509
Queensland	2006	20-24	Education	5105
Queensland	2006	20-24	Engineering and related technologies	15035
Queensland	2006	20-24	Field of study not stated	28246
Queensland	2006	20-24	Food hospitality and personal services	11126
Queensland	2006	20-24	Health	6556
Queensland	2006	20-24	Information technology	4982
Queensland	2006	20-24	Management and commerce	26787
Queensland	2006	20-24	Mixed field programmes	337
Queensland	2006	20-24	Natural and physical sciences	3612
Queensland	2006	20-24	Society and culture	12912
Queensland	2006	25-34	Agriculture environmental and related studies	8834
Queensland	2006	25-34	Architecture and building	19302
Queensland	2006	25-34	Creative arts	11978
Queensland	2006	25-34	Education	21563
Queensland	2006	25-34	Engineering and related technologies	48280
Queensland	2006	25-34	Field of study not stated	50978
Queensland	2006	25-34	Food hospitality and personal services	23756
Queensland	2006	25-34	Health	24284
Queensland	2006	25-34	Information technology	10902
Queensland	2006	25-34	Management and commerce	59627
Queensland	2006	25-34	Mixed field programmes	283
Queensland	2006	25-34	Natural and physical sciences	8923
Queensland	2006	25-34	Society and culture	33424
Queensland	2006	35-44	Agriculture environmental and related studies	7789
Queensland	2006	35-44	Architecture and building	21681
Queensland	2006	35-44	Creative arts	8558
Queensland	2006	35-44	Education	27471
Queensland	2006	35-44	Engineering and related technologies	59873
Queensland	2006	35-44	Field of study not stated	54570
Queensland	2006	35-44	Food hospitality and personal services	19602
Queensland	2006	35-44	Health	32147
Queensland	2006	35-44	Information technology	7857
Queensland	2006	35-44	Management and commerce	53065
Queensland	2006	35-44	Mixed field programmes	329
Queensland	2006	35-44	Natural and physical sciences	8031
Queensland	2006	35-44	Society and culture	29134
Queensland	2006	45-54	Agriculture environmental and related studies	5568
Queensland	2006	45-54	Architecture and building	22193
Queensland	2006	45-54	Creative arts	5771
Queensland	2006	45-54	Education	30875
Queensland	2006	45-54	Engineering and related technologies	58215
Queensland	2006	45-54	Field of study not stated	50874
Queensland	2006	45-54	Food hospitality and personal services	12214
Queensland	2006	45-54	Health	32256
Queensland	2006	45-54	Information technology	4492
Queensland	2006	45-54	Management and commerce	41637
Queensland	2006	45-54	Mixed field programmes	327
Queensland	2006	45-54	Natural and physical sciences	6486
Queensland	2006	45-54	Society and culture	26132
Queensland	2006	55-64	Agriculture environmental and related studies	3242
Queensland	2006	55-64	Architecture and building	16377
Queensland	2006	55-64	Creative arts	3704
Queensland	2006	55-64	Education	20812
Queensland	2006	55-64	Engineering and related technologies	45498
Queensland	2006	55-64	Field of study not stated	44285
Queensland	2006	55-64	Food hospitality and personal services	8621
Queensland	2006	55-64	Health	20018
Queensland	2006	55-64	Information technology	1592
Queensland	2006	55-64	Management and commerce	25859
Queensland	2006	55-64	Mixed field programmes	272
Queensland	2006	55-64	Natural and physical sciences	4515
Queensland	2006	55-64	Society and culture	16820
Queensland	2006	65-74	Agriculture environmental and related studies	1527
Queensland	2006	65-74	Architecture and building	9244
Queensland	2006	65-74	Creative arts	1835
Queensland	2006	65-74	Education	8669
Queensland	2006	65-74	Engineering and related technologies	25713
Queensland	2006	65-74	Field of study not stated	38479
Queensland	2006	65-74	Food hospitality and personal services	3071
Queensland	2006	65-74	Health	9959
Queensland	2006	65-74	Information technology	294
Queensland	2006	65-74	Management and commerce	9862
Queensland	2006	65-74	Mixed field programmes	236
Queensland	2006	65-74	Natural and physical sciences	1717
Queensland	2006	65-74	Society and culture	5522
Queensland	2006	75-84	Agriculture environmental and related studies	626
Queensland	2006	75-84	Architecture and building	3910
Queensland	2006	75-84	Creative arts	872
Queensland	2006	75-84	Education	3435
Queensland	2006	75-84	Engineering and related technologies	12166
Queensland	2006	75-84	Field of study not stated	39563
Queensland	2006	75-84	Food hospitality and personal services	1333
Queensland	2006	75-84	Health	4964
Queensland	2006	75-84	Information technology	55
Queensland	2006	75-84	Management and commerce	5062
Queensland	2006	75-84	Mixed field programmes	146
Queensland	2006	75-84	Natural and physical sciences	781
Queensland	2006	75-84	Society and culture	2083
Queensland	2006	85+	Agriculture environmental and related studies	144
Queensland	2006	85+	Architecture and building	736
Queensland	2006	85+	Creative arts	251
Queensland	2006	85+	Education	942
Queensland	2006	85+	Engineering and related technologies	2295
Queensland	2006	85+	Field of study not stated	18795
Queensland	2006	85+	Food hospitality and personal services	392
Queensland	2006	85+	Health	1273
Queensland	2006	85+	Information technology	16
Queensland	2006	85+	Management and commerce	1183
Queensland	2006	85+	Mixed field programmes	46
Queensland	2006	85+	Natural and physical sciences	120
Queensland	2006	85+	Society and culture	449
Queensland	2011	15-19	Agriculture environmental and related studies	1121
Queensland	2011	15-19	Architecture and building	1655
Queensland	2011	15-19	Creative arts	1751
Queensland	2011	15-19	Education	312
Queensland	2011	15-19	Engineering and related technologies	3155
Queensland	2011	15-19	Field of study not stated	29335
Queensland	2011	15-19	Food hospitality and personal services	4896
Queensland	2011	15-19	Health	986
Queensland	2011	15-19	Information technology	1944
Queensland	2011	15-19	Management and commerce	7437
Queensland	2011	15-19	Mixed field programmes	433
Queensland	2011	15-19	Natural and physical sciences	199
Queensland	2011	15-19	Society and culture	4143
Queensland	2011	20-24	Agriculture environmental and related studies	2795
Queensland	2011	20-24	Architecture and building	9740
Queensland	2011	20-24	Creative arts	7622
Queensland	2011	20-24	Education	4497
Queensland	2011	20-24	Engineering and related technologies	19029
Queensland	2011	20-24	Field of study not stated	26688
Queensland	2011	20-24	Food hospitality and personal services	13783
Queensland	2011	20-24	Health	9907
Queensland	2011	20-24	Information technology	3712
Queensland	2011	20-24	Management and commerce	28123
Queensland	2011	20-24	Mixed field programmes	475
Queensland	2011	20-24	Natural and physical sciences	3868
Queensland	2011	20-24	Society and culture	15378
Queensland	2011	25-34	Agriculture environmental and related studies	9552
Queensland	2011	25-34	Architecture and building	24485
Queensland	2011	25-34	Creative arts	16215
Queensland	2011	25-34	Education	25039
Queensland	2011	25-34	Engineering and related technologies	56977
Queensland	2011	25-34	Field of study not stated	52539
Queensland	2011	25-34	Food hospitality and personal services	27737
Queensland	2011	25-34	Health	34513
Queensland	2011	25-34	Information technology	14249
Queensland	2011	25-34	Management and commerce	79941
Queensland	2011	25-34	Mixed field programmes	427
Queensland	2011	25-34	Natural and physical sciences	11032
Queensland	2011	25-34	Society and culture	44763
Queensland	2011	35-44	Agriculture environmental and related studies	9624
Queensland	2011	35-44	Architecture and building	26084
Queensland	2011	35-44	Creative arts	11691
Queensland	2011	35-44	Education	31157
Queensland	2011	35-44	Engineering and related technologies	63878
Queensland	2011	35-44	Field of study not stated	53649
Queensland	2011	35-44	Food hospitality and personal services	25036
Queensland	2011	35-44	Health	38661
Queensland	2011	35-44	Information technology	11064
Queensland	2011	35-44	Management and commerce	75330
Queensland	2011	35-44	Mixed field programmes	334
Queensland	2011	35-44	Natural and physical sciences	9958
Queensland	2011	35-44	Society and culture	42602
Queensland	2011	45-54	Agriculture environmental and related studies	7484
Queensland	2011	45-54	Architecture and building	24212
Queensland	2011	45-54	Creative arts	7261
Queensland	2011	45-54	Education	31345
Queensland	2011	45-54	Engineering and related technologies	66049
Queensland	2011	45-54	Field of study not stated	50705
Queensland	2011	45-54	Food hospitality and personal services	15826
Queensland	2011	45-54	Health	39881
Queensland	2011	45-54	Information technology	6421
Queensland	2011	45-54	Management and commerce	58381
Queensland	2011	45-54	Mixed field programmes	336
Queensland	2011	45-54	Natural and physical sciences	7809
Queensland	2011	45-54	Society and culture	34738
Queensland	2011	55-64	Agriculture environmental and related studies	4359
Queensland	2011	55-64	Architecture and building	19903
Queensland	2011	55-64	Creative arts	4850
Queensland	2011	55-64	Education	28002
Queensland	2011	55-64	Engineering and related technologies	53929
Queensland	2011	55-64	Field of study not stated	43861
Queensland	2011	55-64	Food hospitality and personal services	10641
Queensland	2011	55-64	Health	27869
Queensland	2011	55-64	Information technology	2919
Queensland	2011	55-64	Management and commerce	38179
Queensland	2011	55-64	Mixed field programmes	312
Queensland	2011	55-64	Natural and physical sciences	5948
Queensland	2011	55-64	Society and culture	25561
Queensland	2011	65-74	Agriculture environmental and related studies	2227
Queensland	2011	65-74	Architecture and building	11762
Queensland	2011	65-74	Creative arts	2517
Queensland	2011	65-74	Education	13804
Queensland	2011	65-74	Engineering and related technologies	33195
Queensland	2011	65-74	Field of study not stated	37786
Queensland	2011	65-74	Food hospitality and personal services	5041
Queensland	2011	65-74	Health	14085
Queensland	2011	65-74	Information technology	650
Queensland	2011	65-74	Management and commerce	15875
Queensland	2011	65-74	Mixed field programmes	272
Queensland	2011	65-74	Natural and physical sciences	2937
Queensland	2011	65-74	Society and culture	9870
Queensland	2011	75-84	Agriculture environmental and related studies	817
Queensland	2011	75-84	Architecture and building	4915
Queensland	2011	75-84	Creative arts	1142
Queensland	2011	75-84	Education	4549
Queensland	2011	75-84	Engineering and related technologies	14709
Queensland	2011	75-84	Field of study not stated	33837
Queensland	2011	75-84	Food hospitality and personal services	1682
Queensland	2011	75-84	Health	6220
Queensland	2011	75-84	Information technology	77
Queensland	2011	75-84	Management and commerce	5801
Queensland	2011	75-84	Mixed field programmes	162
Queensland	2011	75-84	Natural and physical sciences	992
Queensland	2011	75-84	Society and culture	2870
Queensland	2011	85+	Agriculture environmental and related studies	187
Queensland	2011	85+	Architecture and building	1118
Queensland	2011	85+	Creative arts	316
Queensland	2011	85+	Education	1281
Queensland	2011	85+	Engineering and related technologies	3698
Queensland	2011	85+	Field of study not stated	19618
Queensland	2011	85+	Food hospitality and personal services	439
Queensland	2011	85+	Health	1870
Queensland	2011	85+	Information technology	20
Queensland	2011	85+	Management and commerce	1732
Queensland	2011	85+	Mixed field programmes	82
Queensland	2011	85+	Natural and physical sciences	244
Queensland	2011	85+	Society and culture	628
Queensland	2016	15-19	Agriculture environmental and related studies	939
Queensland	2016	15-19	Architecture and building	1594
Queensland	2016	15-19	Creative arts	2362
Queensland	2016	15-19	Education	707
Queensland	2016	15-19	Engineering and related technologies	3537
Queensland	2016	15-19	Field of study not stated	26818
Queensland	2016	15-19	Food hospitality and personal services	6570
Queensland	2016	15-19	Health	1621
Queensland	2016	15-19	Information technology	1382
Queensland	2016	15-19	Management and commerce	8043
Queensland	2016	15-19	Mixed field programmes	788
Queensland	2016	15-19	Natural and physical sciences	315
Queensland	2016	15-19	Society and culture	6333
Queensland	2016	20-24	Agriculture environmental and related studies	3017
Queensland	2016	20-24	Architecture and building	8615
Queensland	2016	20-24	Creative arts	9376
Queensland	2016	20-24	Education	5515
Queensland	2016	20-24	Engineering and related technologies	19590
Queensland	2016	20-24	Field of study not stated	29866
Queensland	2016	20-24	Food hospitality and personal services	14209
Queensland	2016	20-24	Health	13841
Queensland	2016	20-24	Information technology	4576
Queensland	2016	20-24	Management and commerce	31032
Queensland	2016	20-24	Mixed field programmes	788
Queensland	2016	20-24	Natural and physical sciences	4324
Queensland	2016	20-24	Society and culture	20770
Queensland	2016	25-34	Agriculture environmental and related studies	8738
Queensland	2016	25-34	Architecture and building	29900
Queensland	2016	25-34	Creative arts	19469
Queensland	2016	25-34	Education	27644
Queensland	2016	25-34	Engineering and related technologies	65441
Queensland	2016	25-34	Field of study not stated	64129
Queensland	2016	25-34	Food hospitality and personal services	31515
Queensland	2016	25-34	Health	47685
Queensland	2016	25-34	Information technology	14146
Queensland	2016	25-34	Management and commerce	94450
Queensland	2016	25-34	Mixed field programmes	720
Queensland	2016	25-34	Natural and physical sciences	12281
Queensland	2016	25-34	Society and culture	54144
Queensland	2016	35-44	Agriculture environmental and related studies	10470
Queensland	2016	35-44	Architecture and building	27430
Queensland	2016	35-44	Creative arts	14154
Queensland	2016	35-44	Education	35555
Queensland	2016	35-44	Engineering and related technologies	65139
Queensland	2016	35-44	Field of study not stated	59014
Queensland	2016	35-44	Food hospitality and personal services	26145
Queensland	2016	35-44	Health	43896
Queensland	2016	35-44	Information technology	14593
Queensland	2016	35-44	Management and commerce	91760
Queensland	2016	35-44	Mixed field programmes	519
Queensland	2016	35-44	Natural and physical sciences	11627
Queensland	2016	35-44	Society and culture	53193
Queensland	2016	45-54	Agriculture environmental and related studies	8807
Queensland	2016	45-54	Architecture and building	25363
Queensland	2016	45-54	Creative arts	9559
Queensland	2016	45-54	Education	35631
Queensland	2016	45-54	Engineering and related technologies	67704
Queensland	2016	45-54	Field of study not stated	59253
Queensland	2016	45-54	Food hospitality and personal services	20533
Queensland	2016	45-54	Health	43850
Queensland	2016	45-54	Information technology	8505
Queensland	2016	45-54	Management and commerce	77014
Queensland	2016	45-54	Mixed field programmes	598
Queensland	2016	45-54	Natural and physical sciences	9495
Queensland	2016	45-54	Society and culture	45844
Queensland	2016	55-64	Agriculture environmental and related studies	6235
Queensland	2016	55-64	Architecture and building	22760
Queensland	2016	55-64	Creative arts	6208
Queensland	2016	55-64	Education	32916
Queensland	2016	55-64	Engineering and related technologies	60144
Queensland	2016	55-64	Field of study not stated	51748
Queensland	2016	55-64	Food hospitality and personal services	12552
Queensland	2016	55-64	Health	37122
Queensland	2016	55-64	Information technology	4380
Queensland	2016	55-64	Management and commerce	51680
Queensland	2016	55-64	Mixed field programmes	752
Queensland	2016	55-64	Natural and physical sciences	7130
Queensland	2016	55-64	Society and culture	35560
Queensland	2016	65-74	Agriculture environmental and related studies	3314
Queensland	2016	65-74	Architecture and building	15466
Queensland	2016	65-74	Creative arts	3843
Queensland	2016	65-74	Education	20663
Queensland	2016	65-74	Engineering and related technologies	44476
Queensland	2016	65-74	Field of study not stated	44312
Queensland	2016	65-74	Food hospitality and personal services	8442
Queensland	2016	65-74	Health	20455
Queensland	2016	65-74	Information technology	1555
Queensland	2016	65-74	Management and commerce	27452
Queensland	2016	65-74	Mixed field programmes	920
Queensland	2016	65-74	Natural and physical sciences	4767
Queensland	2016	65-74	Society and culture	18539
Queensland	2016	75-84	Agriculture environmental and related studies	1347
Queensland	2016	75-84	Architecture and building	7078
Queensland	2016	75-84	Creative arts	1571
Queensland	2016	75-84	Education	7585
Queensland	2016	75-84	Engineering and related technologies	20628
Queensland	2016	75-84	Field of study not stated	31471
Queensland	2016	75-84	Food hospitality and personal services	2476
Queensland	2016	75-84	Health	8803
Queensland	2016	75-84	Information technology	224
Queensland	2016	75-84	Management and commerce	8720
Queensland	2016	75-84	Mixed field programmes	814
Queensland	2016	75-84	Natural and physical sciences	1591
Queensland	2016	75-84	Society and culture	4879
Queensland	2016	85+	Agriculture environmental and related studies	338
Queensland	2016	85+	Architecture and building	1726
Queensland	2016	85+	Creative arts	508
Queensland	2016	85+	Education	1880
Queensland	2016	85+	Engineering and related technologies	5531
Queensland	2016	85+	Field of study not stated	19995
Queensland	2016	85+	Food hospitality and personal services	735
Queensland	2016	85+	Health	2803
Queensland	2016	85+	Information technology	23
Queensland	2016	85+	Management and commerce	2680
Queensland	2016	85+	Mixed field programmes	383
Queensland	2016	85+	Natural and physical sciences	418
Queensland	2016	85+	Society and culture	1068
South Australia	2006	15-19	Agriculture environmental and related studies	294
South Australia	2006	15-19	Architecture and building	424
South Australia	2006	15-19	Creative arts	217
South Australia	2006	15-19	Education	48
South Australia	2006	15-19	Engineering and related technologies	777
South Australia	2006	15-19	Field of study not stated	11010
South Australia	2006	15-19	Food hospitality and personal services	1386
South Australia	2006	15-19	Health	210
South Australia	2006	15-19	Information technology	280
South Australia	2006	15-19	Management and commerce	1499
South Australia	2006	15-19	Mixed field programmes	110
South Australia	2006	15-19	Natural and physical sciences	27
South Australia	2006	15-19	Society and culture	691
South Australia	2006	20-24	Agriculture environmental and related studies	1453
South Australia	2006	20-24	Architecture and building	1817
South Australia	2006	20-24	Creative arts	2265
South Australia	2006	20-24	Education	1344
South Australia	2006	20-24	Engineering and related technologies	5861
South Australia	2006	20-24	Field of study not stated	8442
South Australia	2006	20-24	Food hospitality and personal services	4292
South Australia	2006	20-24	Health	3002
South Australia	2006	20-24	Information technology	1920
South Australia	2006	20-24	Management and commerce	9374
South Australia	2006	20-24	Mixed field programmes	127
South Australia	2006	20-24	Natural and physical sciences	1488
South Australia	2006	20-24	Society and culture	4954
South Australia	2006	25-34	Agriculture environmental and related studies	3741
South Australia	2006	25-34	Architecture and building	4635
South Australia	2006	25-34	Creative arts	4341
South Australia	2006	25-34	Education	6325
South Australia	2006	25-34	Engineering and related technologies	17918
South Australia	2006	25-34	Field of study not stated	14805
South Australia	2006	25-34	Food hospitality and personal services	8085
South Australia	2006	25-34	Health	10360
South Australia	2006	25-34	Information technology	4252
South Australia	2006	25-34	Management and commerce	21343
South Australia	2006	25-34	Mixed field programmes	112
South Australia	2006	25-34	Natural and physical sciences	4018
South Australia	2006	25-34	Society and culture	12652
South Australia	2006	35-44	Agriculture environmental and related studies	3460
South Australia	2006	35-44	Architecture and building	5879
South Australia	2006	35-44	Creative arts	3158
South Australia	2006	35-44	Education	7723
South Australia	2006	35-44	Engineering and related technologies	23046
South Australia	2006	35-44	Field of study not stated	17272
South Australia	2006	35-44	Food hospitality and personal services	6999
South Australia	2006	35-44	Health	13749
South Australia	2006	35-44	Information technology	3048
South Australia	2006	35-44	Management and commerce	19240
South Australia	2006	35-44	Mixed field programmes	165
South Australia	2006	35-44	Natural and physical sciences	3752
South Australia	2006	35-44	Society and culture	12286
South Australia	2006	45-54	Agriculture environmental and related studies	2460
South Australia	2006	45-54	Architecture and building	6049
South Australia	2006	45-54	Creative arts	2366
South Australia	2006	45-54	Education	12762
South Australia	2006	45-54	Engineering and related technologies	21834
South Australia	2006	45-54	Field of study not stated	16825
South Australia	2006	45-54	Food hospitality and personal services	4578
South Australia	2006	45-54	Health	16193
South Australia	2006	45-54	Information technology	1892
South Australia	2006	45-54	Management and commerce	15987
South Australia	2006	45-54	Mixed field programmes	145
South Australia	2006	45-54	Natural and physical sciences	3325
South Australia	2006	45-54	Society and culture	12248
South Australia	2006	55-64	Agriculture environmental and related studies	1430
South Australia	2006	55-64	Architecture and building	4706
South Australia	2006	55-64	Creative arts	1551
South Australia	2006	55-64	Education	10355
South Australia	2006	55-64	Engineering and related technologies	18158
South Australia	2006	55-64	Field of study not stated	15111
South Australia	2006	55-64	Food hospitality and personal services	3287
South Australia	2006	55-64	Health	8947
South Australia	2006	55-64	Information technology	685
South Australia	2006	55-64	Management and commerce	10502
South Australia	2006	55-64	Mixed field programmes	133
South Australia	2006	55-64	Natural and physical sciences	2344
South Australia	2006	55-64	Society and culture	8311
South Australia	2006	65-74	Agriculture environmental and related studies	541
South Australia	2006	65-74	Architecture and building	3145
South Australia	2006	65-74	Creative arts	742
South Australia	2006	65-74	Education	3582
South Australia	2006	65-74	Engineering and related technologies	11277
South Australia	2006	65-74	Field of study not stated	15142
South Australia	2006	65-74	Food hospitality and personal services	1288
South Australia	2006	65-74	Health	4217
South Australia	2006	65-74	Information technology	101
South Australia	2006	65-74	Management and commerce	4285
South Australia	2006	65-74	Mixed field programmes	91
South Australia	2006	65-74	Natural and physical sciences	882
South Australia	2006	65-74	Society and culture	2725
South Australia	2006	75-84	Agriculture environmental and related studies	350
South Australia	2006	75-84	Architecture and building	1694
South Australia	2006	75-84	Creative arts	419
South Australia	2006	75-84	Education	1781
South Australia	2006	75-84	Engineering and related technologies	6513
South Australia	2006	75-84	Field of study not stated	18501
South Australia	2006	75-84	Food hospitality and personal services	625
South Australia	2006	75-84	Health	2477
South Australia	2006	75-84	Information technology	13
South Australia	2006	75-84	Management and commerce	2559
South Australia	2006	75-84	Mixed field programmes	94
South Australia	2006	75-84	Natural and physical sciences	478
South Australia	2006	75-84	Society and culture	1231
South Australia	2006	85+	Agriculture environmental and related studies	74
South Australia	2006	85+	Architecture and building	322
South Australia	2006	85+	Creative arts	132
South Australia	2006	85+	Education	657
South Australia	2006	85+	Engineering and related technologies	1364
South Australia	2006	85+	Field of study not stated	8161
South Australia	2006	85+	Food hospitality and personal services	175
South Australia	2006	85+	Health	770
South Australia	2006	85+	Information technology	7
South Australia	2006	85+	Management and commerce	670
South Australia	2006	85+	Mixed field programmes	46
South Australia	2006	85+	Natural and physical sciences	93
South Australia	2006	85+	Society and culture	260
South Australia	2011	15-19	Agriculture environmental and related studies	295
South Australia	2011	15-19	Architecture and building	566
South Australia	2011	15-19	Creative arts	254
South Australia	2011	15-19	Education	53
South Australia	2011	15-19	Engineering and related technologies	816
South Australia	2011	15-19	Field of study not stated	9234
South Australia	2011	15-19	Food hospitality and personal services	1398
South Australia	2011	15-19	Health	310
South Australia	2011	15-19	Information technology	235
South Australia	2011	15-19	Management and commerce	1663
South Australia	2011	15-19	Mixed field programmes	86
South Australia	2011	15-19	Natural and physical sciences	39
South Australia	2011	15-19	Society and culture	1038
South Australia	2011	20-24	Agriculture environmental and related studies	1439
South Australia	2011	20-24	Architecture and building	3072
South Australia	2011	20-24	Creative arts	2412
South Australia	2011	20-24	Education	1479
South Australia	2011	20-24	Engineering and related technologies	6323
South Australia	2011	20-24	Field of study not stated	7629
South Australia	2011	20-24	Food hospitality and personal services	4625
South Australia	2011	20-24	Health	3883
South Australia	2011	20-24	Information technology	1210
South Australia	2011	20-24	Management and commerce	9188
South Australia	2011	20-24	Mixed field programmes	163
South Australia	2011	20-24	Natural and physical sciences	1386
South Australia	2011	20-24	Society and culture	5943
South Australia	2011	25-34	Agriculture environmental and related studies	3987
South Australia	2011	25-34	Architecture and building	6163
South Australia	2011	25-34	Creative arts	5715
South Australia	2011	25-34	Education	7611
South Australia	2011	25-34	Engineering and related technologies	18858
South Australia	2011	25-34	Field of study not stated	14850
South Australia	2011	25-34	Food hospitality and personal services	9296
South Australia	2011	25-34	Health	14092
South Australia	2011	25-34	Information technology	5592
South Australia	2011	25-34	Management and commerce	28366
South Australia	2011	25-34	Mixed field programmes	160
South Australia	2011	25-34	Natural and physical sciences	4814
South Australia	2011	25-34	Society and culture	17070
South Australia	2011	35-44	Agriculture environmental and related studies	3947
South Australia	2011	35-44	Architecture and building	6441
South Australia	2011	35-44	Creative arts	4090
South Australia	2011	35-44	Education	8499
South Australia	2011	35-44	Engineering and related technologies	22349
South Australia	2011	35-44	Field of study not stated	15586
South Australia	2011	35-44	Food hospitality and personal services	8070
South Australia	2011	35-44	Health	15110
South Australia	2011	35-44	Information technology	3710
South Australia	2011	35-44	Management and commerce	26097
South Australia	2011	35-44	Mixed field programmes	173
South Australia	2011	35-44	Natural and physical sciences	4358
South Australia	2011	35-44	Society and culture	16490
South Australia	2011	45-54	Agriculture environmental and related studies	3147
South Australia	2011	45-54	Architecture and building	6310
South Australia	2011	45-54	Creative arts	2832
South Australia	2011	45-54	Education	10112
South Australia	2011	45-54	Engineering and related technologies	23198
South Australia	2011	45-54	Field of study not stated	16342
South Australia	2011	45-54	Food hospitality and personal services	5549
South Australia	2011	45-54	Health	17222
South Australia	2011	45-54	Information technology	2375
South Australia	2011	45-54	Management and commerce	20818
South Australia	2011	45-54	Mixed field programmes	173
South Australia	2011	45-54	Natural and physical sciences	3558
South Australia	2011	45-54	Society and culture	15318
South Australia	2011	55-64	Agriculture environmental and related studies	1968
South Australia	2011	55-64	Architecture and building	5253
South Australia	2011	55-64	Creative arts	1937
