STE_NAME16	Year	IndustryOfEmployment	Sex	workers
Tasmania	2011	Education and training	F	13548
Tasmania	2011	Education and training	M	5907
Tasmania	2011	Electricity gas water and waste services	F	849
Tasmania	2011	Electricity gas water and waste services	M	2757
Tasmania	2011	Financial and insurance services	F	3229
Tasmania	2011	Financial and insurance services	M	2017
Tasmania	2011	Health care and social assistance	F	20844
Tasmania	2011	Health care and social assistance	M	5187
Tasmania	2011	Information media and telecommunications	F	1551
Tasmania	2011	Information media and telecommunications	M	1694
Tasmania	2011	Manufacturing	F	4479
Tasmania	2011	Manufacturing	M	14489
Tasmania	2011	Mining	F	260
Tasmania	2011	Mining	M	2530
Tasmania	2011	Other services	F	3683
Tasmania	2011	Other services	M	4406
Tasmania	2011	Professional scientific and technical services	F	4629
Tasmania	2011	Professional scientific and technical services	M	5616
Tasmania	2011	Public administration and safety	F	10590
Tasmania	2011	Public administration and safety	M	9002
Tasmania	2011	Rental hiring and real estate services	F	1516
Tasmania	2011	Rental hiring and real estate services	M	1299
Tasmania	2011	Retail trade	F	14378
Tasmania	2011	Retail trade	M	10161
Tasmania	2011	Transport postal and warehousing	F	2050
Tasmania	2011	Transport postal and warehousing	M	7241
Tasmania	2011	Wholesale trade	F	1957
Tasmania	2011	Wholesale trade	M	5146
Tasmania	2016		F	2700
Tasmania	2016		M	4673
Tasmania	2016	Accommodation and food services	F	9931
Tasmania	2016	Accommodation and food services	M	6610
Tasmania	2016	Administrative and support services	F	3559
Tasmania	2016	Administrative and support services	M	2838
Tasmania	2016	Agriculture forestry and fishing	F	2993
Tasmania	2016	Agriculture forestry and fishing	M	8395
Tasmania	2016	Arts and recreation services	F	1921
Tasmania	2016	Arts and recreation services	M	2098
Tasmania	2016	Construction	F	1626
Tasmania	2016	Construction	M	14820
Tasmania	2016	Education and training	F	14100
Tasmania	2016	Education and training	M	5997
Tasmania	2016	Electricity gas water and waste services	F	855
Tasmania	2016	Electricity gas water and waste services	M	2660
Tasmania	2016	Financial and insurance services	F	2790
Tasmania	2016	Financial and insurance services	M	1751
Tasmania	2016	Health care and social assistance	F	24355
Tasmania	2016	Health care and social assistance	M	6330
Tasmania	2016	Information media and telecommunications	F	1278
Tasmania	2016	Information media and telecommunications	M	1646
Tasmania	2016	Manufacturing	F	3731
Tasmania	2016	Manufacturing	M	11124
Tasmania	2016	Mining	F	182
Tasmania	2016	Mining	M	2036
Tasmania	2016	Other services	F	3859
Tasmania	2016	Other services	M	4260
Tasmania	2016	Professional scientific and technical services	F	4665
Tasmania	2016	Professional scientific and technical services	M	5554
Tasmania	2016	Public administration and safety	F	9051
Tasmania	2016	Public administration and safety	M	7912
Tasmania	2016	Rental hiring and real estate services	F	1459
Tasmania	2016	Rental hiring and real estate services	M	1219
Tasmania	2016	Retail trade	F	13674
Tasmania	2016	Retail trade	M	9924
Tasmania	2016	Transport postal and warehousing	F	2069
Tasmania	2016	Transport postal and warehousing	M	7090
Tasmania	2016	Wholesale trade	F	1287
Tasmania	2016	Wholesale trade	M	3552
Northern Territory	2006		F	1170
Northern Territory	2006		M	1643
Northern Territory	2006	Accommodation and food services	F	3250
Northern Territory	2006	Accommodation and food services	M	2395
Northern Territory	2006	Administrative and support services	F	1382
Northern Territory	2006	Administrative and support services	M	1242
Northern Territory	2006	Agriculture forestry and fishing	F	669
Northern Territory	2006	Agriculture forestry and fishing	M	1425
Northern Territory	2006	Arts and recreation services	F	854
Northern Territory	2006	Arts and recreation services	M	926
Northern Territory	2006	Construction	F	795
Northern Territory	2006	Construction	M	5300
Northern Territory	2006	Education and training	F	5390
Northern Territory	2006	Education and training	M	2149
Northern Territory	2006	Electricity gas water and waste services	F	100
Northern Territory	2006	Electricity gas water and waste services	M	421
Northern Territory	2006	Financial and insurance services	F	900
Northern Territory	2006	Financial and insurance services	M	474
Northern Territory	2006	Health care and social assistance	F	6101
Northern Territory	2006	Health care and social assistance	M	2478
Northern Territory	2006	Information media and telecommunications	F	550
Northern Territory	2006	Information media and telecommunications	M	670
Northern Territory	2006	Manufacturing	F	773
Northern Territory	2006	Manufacturing	M	3151
Northern Territory	2006	Mining	F	259
Northern Territory	2006	Mining	M	1448
Northern Territory	2006	Other services	F	1292
Northern Territory	2006	Other services	M	1842
Northern Territory	2006	Professional scientific and technical services	F	1946
Northern Territory	2006	Professional scientific and technical services	M	2034
Northern Territory	2006	Public administration and safety	F	7589
Northern Territory	2006	Public administration and safety	M	11238
Northern Territory	2006	Rental hiring and real estate services	F	753
Northern Territory	2006	Rental hiring and real estate services	M	540
Northern Territory	2006	Retail trade	F	4407
Northern Territory	2006	Retail trade	M	3488
Northern Territory	2006	Transport postal and warehousing	F	953
Northern Territory	2006	Transport postal and warehousing	M	3032
Northern Territory	2006	Wholesale trade	F	644
Northern Territory	2006	Wholesale trade	M	1502
Northern Territory	2011		F	818
Northern Territory	2011		M	1105
Northern Territory	2011	Accommodation and food services	F	3444
Northern Territory	2011	Accommodation and food services	M	2682
Northern Territory	2011	Administrative and support services	F	1501
Northern Territory	2011	Administrative and support services	M	1483
Northern Territory	2011	Agriculture forestry and fishing	F	634
Northern Territory	2011	Agriculture forestry and fishing	M	1268
Northern Territory	2011	Arts and recreation services	F	1039
Northern Territory	2011	Arts and recreation services	M	1160
Northern Territory	2011	Construction	F	1148
Northern Territory	2011	Construction	M	6910
Northern Territory	2011	Education and training	F	6316
Northern Territory	2011	Education and training	M	2471
Northern Territory	2011	Electricity gas water and waste services	F	336
Northern Territory	2011	Electricity gas water and waste services	M	979
Northern Territory	2011	Financial and insurance services	F	872
Northern Territory	2011	Financial and insurance services	M	398
Northern Territory	2011	Health care and social assistance	F	7380
Northern Territory	2011	Health care and social assistance	M	2509
Northern Territory	2011	Information media and telecommunications	F	467
Northern Territory	2011	Information media and telecommunications	M	578
Northern Territory	2011	Manufacturing	F	779
Northern Territory	2011	Manufacturing	M	3181
Northern Territory	2011	Mining	F	476
Northern Territory	2011	Mining	M	2219
Northern Territory	2011	Other services	F	1872
Northern Territory	2011	Other services	M	2833
Northern Territory	2011	Professional scientific and technical services	F	2371
Northern Territory	2011	Professional scientific and technical services	M	2448
Northern Territory	2011	Public administration and safety	F	9050
Northern Territory	2011	Public administration and safety	M	11547
Northern Territory	2011	Rental hiring and real estate services	F	823
Northern Territory	2011	Rental hiring and real estate services	M	616
Northern Territory	2011	Retail trade	F	4472
Northern Territory	2011	Retail trade	M	3531
Northern Territory	2011	Transport postal and warehousing	F	1182
Northern Territory	2011	Transport postal and warehousing	M	3469
Northern Territory	2011	Wholesale trade	F	639
Northern Territory	2011	Wholesale trade	M	1470
Northern Territory	2016		F	1712
Northern Territory	2016		M	3010
Northern Territory	2016	Accommodation and food services	F	3754
Northern Territory	2016	Accommodation and food services	M	3197
Northern Territory	2016	Administrative and support services	F	1728
Northern Territory	2016	Administrative and support services	M	1393
Northern Territory	2016	Agriculture forestry and fishing	F	711
Northern Territory	2016	Agriculture forestry and fishing	M	1379
Northern Territory	2016	Arts and recreation services	F	1106
Northern Territory	2016	Arts and recreation services	M	1045
Northern Territory	2016	Construction	F	1539
Northern Territory	2016	Construction	M	8829
Northern Territory	2016	Education and training	F	6974
Northern Territory	2016	Education and training	M	2563
Northern Territory	2016	Electricity gas water and waste services	F	431
Northern Territory	2016	Electricity gas water and waste services	M	1196
Northern Territory	2016	Financial and insurance services	F	771
Northern Territory	2016	Financial and insurance services	M	351
Northern Territory	2016	Health care and social assistance	F	8417
Northern Territory	2016	Health care and social assistance	M	2953
Northern Territory	2016	Information media and telecommunications	F	412
Northern Territory	2016	Information media and telecommunications	M	585
Northern Territory	2016	Manufacturing	F	589
Northern Territory	2016	Manufacturing	M	1851
Northern Territory	2016	Mining	F	376
Northern Territory	2016	Mining	M	2155
Northern Territory	2016	Other services	F	1746
Northern Territory	2016	Other services	M	2442
Northern Territory	2016	Professional scientific and technical services	F	2375
Northern Territory	2016	Professional scientific and technical services	M	3275
Northern Territory	2016	Public administration and safety	F	8335
Northern Territory	2016	Public administration and safety	M	10269
Northern Territory	2016	Rental hiring and real estate services	F	846
Northern Territory	2016	Rental hiring and real estate services	M	651
Northern Territory	2016	Retail trade	F	4139
Northern Territory	2016	Retail trade	M	3332
Northern Territory	2016	Transport postal and warehousing	F	1116
Northern Territory	2016	Transport postal and warehousing	M	3395
Northern Territory	2016	Wholesale trade	F	520
Northern Territory	2016	Wholesale trade	M	1216
Australian Capital Territory	2006		F	1359
Australian Capital Territory	2006		M	1925
Australian Capital Territory	2006	Accommodation and food services	F	5118
Australian Capital Territory	2006	Accommodation and food services	M	5188
Australian Capital Territory	2006	Administrative and support services	F	2305
Australian Capital Territory	2006	Administrative and support services	M	2129
Australian Capital Territory	2006	Agriculture forestry and fishing	F	134
Australian Capital Territory	2006	Agriculture forestry and fishing	M	364
Australian Capital Territory	2006	Arts and recreation services	F	1633
Australian Capital Territory	2006	Arts and recreation services	M	1604
Australian Capital Territory	2006	Construction	F	1141
Australian Capital Territory	2006	Construction	M	8469
Australian Capital Territory	2006	Education and training	F	10115
Australian Capital Territory	2006	Education and training	M	5677
Australian Capital Territory	2006	Electricity gas water and waste services	F	322
Australian Capital Territory	2006	Electricity gas water and waste services	M	910
Australian Capital Territory	2006	Financial and insurance services	F	2064
Australian Capital Territory	2006	Financial and insurance services	M	1483
Australian Capital Territory	2006	Health care and social assistance	F	12107
Australian Capital Territory	2006	Health care and social assistance	M	3428
Australian Capital Territory	2006	Information media and telecommunications	F	1677
Australian Capital Territory	2006	Information media and telecommunications	M	2166
Australian Capital Territory	2006	Manufacturing	F	1187
Australian Capital Territory	2006	Manufacturing	M	3508
Australian Capital Territory	2006	Mining	F	4
Australian Capital Territory	2006	Mining	M	86
Australian Capital Territory	2006	Other services	F	2847
Australian Capital Territory	2006	Other services	M	3102
Australian Capital Territory	2006	Professional scientific and technical services	F	6776
Australian Capital Territory	2006	Professional scientific and technical services	M	9964
Australian Capital Territory	2006	Public administration and safety	F	25611
Australian Capital Territory	2006	Public administration and safety	M	27474
Australian Capital Territory	2006	Rental hiring and real estate services	F	1284
Australian Capital Territory	2006	Rental hiring and real estate services	M	1100
Australian Capital Territory	2006	Retail trade	F	8225
Australian Capital Territory	2006	Retail trade	M	7100
Australian Capital Territory	2006	Transport postal and warehousing	F	945
Australian Capital Territory	2006	Transport postal and warehousing	M	3263
Australian Capital Territory	2006	Wholesale trade	F	707
Australian Capital Territory	2006	Wholesale trade	M	1786
Australian Capital Territory	2011		F	1223
Australian Capital Territory	2011		M	1620
Australian Capital Territory	2011	Accommodation and food services	F	5523
Australian Capital Territory	2011	Accommodation and food services	M	5759
Australian Capital Territory	2011	Administrative and support services	F	2291
Australian Capital Territory	2011	Administrative and support services	M	2324
Australian Capital Territory	2011	Agriculture forestry and fishing	F	113
Australian Capital Territory	2011	Agriculture forestry and fishing	M	242
Australian Capital Territory	2011	Arts and recreation services	F	1648
Australian Capital Territory	2011	Arts and recreation services	M	1651
Australian Capital Territory	2011	Construction	F	1266
Australian Capital Territory	2011	Construction	M	10725
Australian Capital Territory	2011	Education and training	F	10970
Australian Capital Territory	2011	Education and training	M	6174
Australian Capital Territory	2011	Electricity gas water and waste services	F	411
Australian Capital Territory	2011	Electricity gas water and waste services	M	1078
Australian Capital Territory	2011	Financial and insurance services	F	1972
Australian Capital Territory	2011	Financial and insurance services	M	1584
Australian Capital Territory	2011	Health care and social assistance	F	13791
Australian Capital Territory	2011	Health care and social assistance	M	4186
Australian Capital Territory	2011	Information media and telecommunications	F	1631
Australian Capital Territory	2011	Information media and telecommunications	M	2035
Australian Capital Territory	2011	Manufacturing	F	1066
Australian Capital Territory	2011	Manufacturing	M	2957
Australian Capital Territory	2011	Mining	F	13
Australian Capital Territory	2011	Mining	M	80
Australian Capital Territory	2011	Other services	F	3132
Australian Capital Territory	2011	Other services	M	3081
Australian Capital Territory	2011	Professional scientific and technical services	F	7572
Australian Capital Territory	2011	Professional scientific and technical services	M	11565
Australian Capital Territory	2011	Public administration and safety	F	31944
Australian Capital Territory	2011	Public administration and safety	M	32173
Australian Capital Territory	2011	Rental hiring and real estate services	F	1263
Australian Capital Territory	2011	Rental hiring and real estate services	M	1170
Australian Capital Territory	2011	Retail trade	F	7850
Australian Capital Territory	2011	Retail trade	M	6990
Australian Capital Territory	2011	Transport postal and warehousing	F	976
Australian Capital Territory	2011	Transport postal and warehousing	M	3424
Australian Capital Territory	2011	Wholesale trade	F	656
Australian Capital Territory	2011	Wholesale trade	M	1764
Australian Capital Territory	2016		F	2110
Australian Capital Territory	2016		M	3250
Australian Capital Territory	2016	Accommodation and food services	F	6286
Australian Capital Territory	2016	Accommodation and food services	M	7111
Australian Capital Territory	2016	Administrative and support services	F	2568
Australian Capital Territory	2016	Administrative and support services	M	2664
Australian Capital Territory	2016	Agriculture forestry and fishing	F	213
Australian Capital Territory	2016	Agriculture forestry and fishing	M	379
Australian Capital Territory	2016	Arts and recreation services	F	1853
Australian Capital Territory	2016	Arts and recreation services	M	1737
Australian Capital Territory	2016	Construction	F	1249
Australian Capital Territory	2016	Construction	M	10781
Australian Capital Territory	2016	Education and training	F	12895
Australian Capital Territory	2016	Education and training	M	6754
Australian Capital Territory	2016	Electricity gas water and waste services	F	402
Australian Capital Territory	2016	Electricity gas water and waste services	M	1044
Australian Capital Territory	2016	Financial and insurance services	F	1684
Australian Capital Territory	2016	Financial and insurance services	M	1488
Australian Capital Territory	2016	Health care and social assistance	F	16069
Australian Capital Territory	2016	Health care and social assistance	M	5250
Australian Capital Territory	2016	Information media and telecommunications	F	1475
Australian Capital Territory	2016	Information media and telecommunications	M	2155
Australian Capital Territory	2016	Manufacturing	F	965
Australian Capital Territory	2016	Manufacturing	M	2410
Australian Capital Territory	2016	Mining	F	19
Australian Capital Territory	2016	Mining	M	101
Australian Capital Territory	2016	Other services	F	3153
Australian Capital Territory	2016	Other services	M	2953
Australian Capital Territory	2016	Professional scientific and technical services	F	7883
Australian Capital Territory	2016	Professional scientific and technical services	M	11410
Australian Capital Territory	2016	Public administration and safety	F	31468
Australian Capital Territory	2016	Public administration and safety	M	31817
Australian Capital Territory	2016	Rental hiring and real estate services	F	1372
Australian Capital Territory	2016	Rental hiring and real estate services	M	1292
Australian Capital Territory	2016	Retail trade	F	7644
Australian Capital Territory	2016	Retail trade	M	6963
Australian Capital Territory	2016	Transport postal and warehousing	F	1076
Australian Capital Territory	2016	Transport postal and warehousing	M	3641
Australian Capital Territory	2016	Wholesale trade	F	518
Australian Capital Territory	2016	Wholesale trade	M	1522
Other Territories	2006		F	15
Other Territories	2006		M	53
Other Territories	2006	Accommodation and food services	F	44
Other Territories	2006	Accommodation and food services	M	25
Other Territories	2006	Administrative and support services	F	18
Other Territories	2006	Administrative and support services	M	17
Other Territories	2006	Agriculture forestry and fishing	F	0
Other Territories	2006	Agriculture forestry and fishing	M	3
Other Territories	2006	Arts and recreation services	F	12
Other Territories	2006	Arts and recreation services	M	15
Other Territories	2006	Construction	F	8
Other Territories	2006	Construction	M	109
Other Territories	2006	Education and training	F	78
Other Territories	2006	Education and training	M	30
Other Territories	2006	Electricity gas water and waste services	F	3
Other Territories	2006	Electricity gas water and waste services	M	29
Other Territories	2006	Financial and insurance services	F	6
Other Territories	2006	Financial and insurance services	M	0
Other Territories	2006	Health care and social assistance	F	44
Other Territories	2006	Health care and social assistance	M	23
Other Territories	2006	Information media and telecommunications	F	0
Other Territories	2006	Information media and telecommunications	M	7
Other Territories	2006	Manufacturing	F	0
Other Territories	2006	Manufacturing	M	25
Other Territories	2006	Mining	F	14
Other Territories	2006	Mining	M	83
Other Territories	2006	Other services	F	13
Other Territories	2006	Other services	M	15
Other Territories	2006	Professional scientific and technical services	F	8
Other Territories	2006	Professional scientific and technical services	M	13
Other Territories	2006	Public administration and safety	F	80
Other Territories	2006	Public administration and safety	M	157
Other Territories	2006	Rental hiring and real estate services	F	0
Other Territories	2006	Rental hiring and real estate services	M	7
Other Territories	2006	Retail trade	F	26
Other Territories	2006	Retail trade	M	13
Other Territories	2006	Transport postal and warehousing	F	16
Other Territories	2006	Transport postal and warehousing	M	56
Other Territories	2006	Wholesale trade	F	0
Other Territories	2006	Wholesale trade	M	15
Other Territories	2011		F	4
Other Territories	2011		M	12
Other Territories	2011	Accommodation and food services	F	25
Other Territories	2011	Accommodation and food services	M	15
Other Territories	2011	Administrative and support services	F	34
Other Territories	2011	Administrative and support services	M	28
Other Territories	2011	Agriculture forestry and fishing	F	0
Other Territories	2011	Agriculture forestry and fishing	M	0
Other Territories	2011	Arts and recreation services	F	10
Other Territories	2011	Arts and recreation services	M	14
Other Territories	2011	Construction	F	12
Other Territories	2011	Construction	M	68
Other Territories	2011	Education and training	F	81
Other Territories	2011	Education and training	M	34
Other Territories	2011	Electricity gas water and waste services	F	4
Other Territories	2011	Electricity gas water and waste services	M	22
Other Territories	2011	Financial and insurance services	F	4
Other Territories	2011	Financial and insurance services	M	0
Other Territories	2011	Health care and social assistance	F	49
Other Territories	2011	Health care and social assistance	M	13
Other Territories	2011	Information media and telecommunications	F	0
Other Territories	2011	Information media and telecommunications	M	0
Other Territories	2011	Manufacturing	F	3
Other Territories	2011	Manufacturing	M	3
Other Territories	2011	Mining	F	16
Other Territories	2011	Mining	M	117
Other Territories	2011	Other services	F	6
Other Territories	2011	Other services	M	19
Other Territories	2011	Professional scientific and technical services	F	12
Other Territories	2011	Professional scientific and technical services	M	20
Other Territories	2011	Public administration and safety	F	139
Other Territories	2011	Public administration and safety	M	231
Other Territories	2011	Rental hiring and real estate services	F	0
Other Territories	2011	Rental hiring and real estate services	M	8
Other Territories	2011	Retail trade	F	39
Other Territories	2011	Retail trade	M	48
Other Territories	2011	Transport postal and warehousing	F	11
Other Territories	2011	Transport postal and warehousing	M	49
Other Territories	2011	Wholesale trade	F	7
Other Territories	2011	Wholesale trade	M	8
Other Territories	2016		F	37
Other Territories	2016		M	72
Other Territories	2016	Accommodation and food services	F	156
Other Territories	2016	Accommodation and food services	M	94
Other Territories	2016	Administrative and support services	F	80
Other Territories	2016	Administrative and support services	M	44
Other Territories	2016	Agriculture forestry and fishing	F	9
Other Territories	2016	Agriculture forestry and fishing	M	27
Other Territories	2016	Arts and recreation services	F	33
Other Territories	2016	Arts and recreation services	M	42
Other Territories	2016	Construction	F	8
Other Territories	2016	Construction	M	135
Other Territories	2016	Education and training	F	120
Other Territories	2016	Education and training	M	33
Other Territories	2016	Electricity gas water and waste services	F	4
Other Territories	2016	Electricity gas water and waste services	M	36
Other Territories	2016	Financial and insurance services	F	22
Other Territories	2016	Financial and insurance services	M	3
Other Territories	2016	Health care and social assistance	F	90
Other Territories	2016	Health care and social assistance	M	16
Other Territories	2016	Information media and telecommunications	F	7
Other Territories	2016	Information media and telecommunications	M	13
Other Territories	2016	Manufacturing	F	19
Other Territories	2016	Manufacturing	M	22
Other Territories	2016	Mining	F	19
Other Territories	2016	Mining	M	127
Other Territories	2016	Other services	F	25
Other Territories	2016	Other services	M	36
Other Territories	2016	Professional scientific and technical services	F	25
Other Territories	2016	Professional scientific and technical services	M	25
Other Territories	2016	Public administration and safety	F	149
Other Territories	2016	Public administration and safety	M	284
Other Territories	2016	Rental hiring and real estate services	F	17
Other Territories	2016	Rental hiring and real estate services	M	18
Other Territories	2016	Retail trade	F	121
Other Territories	2016	Retail trade	M	67
Other Territories	2016	Transport postal and warehousing	F	33
Other Territories	2016	Transport postal and warehousing	M	77
Other Territories	2016	Wholesale trade	F	9
Other Territories	2016	Wholesale trade	M	13
