STE_NAME16	Year	Age	NonSchoolQualification	adults
Queensland	2011	85+	Certificate III and IV Level	4756
Queensland	2011	85+	Advanced Diploma and Diploma	2022
Queensland	2011	85+	Bachelor	2013
Queensland	2011	85+	Graduate Diploma and Graduate Certificate	123
Queensland	2011	85+	Postgraduate	302
Queensland	2016	15-19		26657
Queensland	2016	15-19	Certificate nfd	2238
Queensland	2016	15-19	Certificate I and II Level	7352
Queensland	2016	15-19	Certificate III and IV Level	20473
Queensland	2016	15-19	Advanced Diploma and Diploma	3848
Queensland	2016	15-19	Bachelor	351
Queensland	2016	15-19	Graduate Diploma and Graduate Certificate	76
Queensland	2016	15-19	Postgraduate	25
Queensland	2016	20-24		29811
Queensland	2016	20-24	Certificate nfd	4631
Queensland	2016	20-24	Certificate I and II Level	8398
Queensland	2016	20-24	Certificate III and IV Level	59245
Queensland	2016	20-24	Advanced Diploma and Diploma	20802
Queensland	2016	20-24	Bachelor	39102
Queensland	2016	20-24	Graduate Diploma and Graduate Certificate	1681
Queensland	2016	20-24	Postgraduate	1870
Queensland	2016	25-34		63021
Queensland	2016	25-34	Certificate nfd	10391
Queensland	2016	25-34	Certificate I and II Level	9561
Queensland	2016	25-34	Certificate III and IV Level	143932
Queensland	2016	25-34	Advanced Diploma and Diploma	60602
Queensland	2016	25-34	Bachelor	137277
Queensland	2016	25-34	Graduate Diploma and Graduate Certificate	12633
Queensland	2016	25-34	Postgraduate	32832
Queensland	2016	35-44		57362
Queensland	2016	35-44	Certificate nfd	12930
Queensland	2016	35-44	Certificate I and II Level	7350
Queensland	2016	35-44	Certificate III and IV Level	132564
Queensland	2016	35-44	Advanced Diploma and Diploma	70343
Queensland	2016	35-44	Bachelor	120800
Queensland	2016	35-44	Graduate Diploma and Graduate Certificate	15940
Queensland	2016	35-44	Postgraduate	36194
Queensland	2016	45-54		60273
Queensland	2016	45-54	Certificate nfd	13767
Queensland	2016	45-54	Certificate I and II Level	6154
Queensland	2016	45-54	Certificate III and IV Level	130064
Queensland	2016	45-54	Advanced Diploma and Diploma	72189
Queensland	2016	45-54	Bachelor	85181
Queensland	2016	45-54	Graduate Diploma and Graduate Certificate	15990
Queensland	2016	45-54	Postgraduate	28560
Queensland	2016	55-64		57343
Queensland	2016	55-64	Certificate nfd	13092
Queensland	2016	55-64	Certificate I and II Level	4746
Queensland	2016	55-64	Certificate III and IV Level	105405
Queensland	2016	55-64	Advanced Diploma and Diploma	55495
Queensland	2016	55-64	Bachelor	60045
Queensland	2016	55-64	Graduate Diploma and Graduate Certificate	12733
Queensland	2016	55-64	Postgraduate	20332
Queensland	2016	65-74		53863
Queensland	2016	65-74	Certificate nfd	9636
Queensland	2016	65-74	Certificate I and II Level	2647
Queensland	2016	65-74	Certificate III and IV Level	64113
Queensland	2016	65-74	Advanced Diploma and Diploma	32426
Queensland	2016	65-74	Bachelor	34782
Queensland	2016	65-74	Graduate Diploma and Graduate Certificate	5886
Queensland	2016	65-74	Postgraduate	10841
Queensland	2016	75-84		38792
Queensland	2016	75-84	Certificate nfd	3802
Queensland	2016	75-84	Certificate I and II Level	659
Queensland	2016	75-84	Certificate III and IV Level	25898
Queensland	2016	75-84	Advanced Diploma and Diploma	11727
Queensland	2016	75-84	Bachelor	11776
Queensland	2016	75-84	Graduate Diploma and Graduate Certificate	1557
Queensland	2016	75-84	Postgraduate	2987
Queensland	2016	85+		22862
Queensland	2016	85+	Certificate nfd	1182
Queensland	2016	85+	Certificate I and II Level	159
Queensland	2016	85+	Certificate III and IV Level	6723
Queensland	2016	85+	Advanced Diploma and Diploma	3179
Queensland	2016	85+	Bachelor	3115
Queensland	2016	85+	Graduate Diploma and Graduate Certificate	240
Queensland	2016	85+	Postgraduate	609
South Australia	2006	15-19		11241
South Australia	2006	15-19	Certificate nfd	511
South Australia	2006	15-19	Certificate I and II Level	1813
South Australia	2006	15-19	Certificate III and IV Level	3039
South Australia	2006	15-19	Advanced Diploma and Diploma	287
South Australia	2006	15-19	Bachelor	82
South Australia	2006	15-19	Graduate Diploma and Graduate Certificate	0
South Australia	2006	15-19	Postgraduate	9
South Australia	2006	20-24		9203
South Australia	2006	20-24	Certificate nfd	1667
South Australia	2006	20-24	Certificate I and II Level	3490
South Australia	2006	20-24	Certificate III and IV Level	15088
South Australia	2006	20-24	Advanced Diploma and Diploma	4268
South Australia	2006	20-24	Bachelor	12039
South Australia	2006	20-24	Graduate Diploma and Graduate Certificate	207
South Australia	2006	20-24	Postgraduate	362
South Australia	2006	25-34		16601
South Australia	2006	25-34	Certificate nfd	4623
South Australia	2006	25-34	Certificate I and II Level	3989
South Australia	2006	25-34	Certificate III and IV Level	33318
South Australia	2006	25-34	Advanced Diploma and Diploma	12814
South Australia	2006	25-34	Bachelor	34303
South Australia	2006	25-34	Graduate Diploma and Graduate Certificate	2646
South Australia	2006	25-34	Postgraduate	4295
South Australia	2006	35-44		20107
South Australia	2006	35-44	Certificate nfd	4447
South Australia	2006	35-44	Certificate I and II Level	2583
South Australia	2006	35-44	Certificate III and IV Level	38636
South Australia	2006	35-44	Advanced Diploma and Diploma	18106
South Australia	2006	35-44	Bachelor	26076
South Australia	2006	35-44	Graduate Diploma and Graduate Certificate	4043
South Australia	2006	35-44	Postgraduate	5779
South Australia	2006	45-54		20116
South Australia	2006	45-54	Certificate nfd	4280
South Australia	2006	45-54	Certificate I and II Level	1848
South Australia	2006	45-54	Certificate III and IV Level	35620
South Australia	2006	45-54	Advanced Diploma and Diploma	19700
South Australia	2006	45-54	Bachelor	24095
South Australia	2006	45-54	Graduate Diploma and Graduate Certificate	5032
South Australia	2006	45-54	Postgraduate	5984
South Australia	2006	55-64		18832
South Australia	2006	55-64	Certificate nfd	3236
South Australia	2006	55-64	Certificate I and II Level	1030
South Australia	2006	55-64	Certificate III and IV Level	25615
South Australia	2006	55-64	Advanced Diploma and Diploma	14314
South Australia	2006	55-64	Bachelor	15220
South Australia	2006	55-64	Graduate Diploma and Graduate Certificate	3005
South Australia	2006	55-64	Postgraduate	4261
South Australia	2006	65-74		17604
South Australia	2006	65-74	Certificate nfd	1462
South Australia	2006	65-74	Certificate I and II Level	377
South Australia	2006	65-74	Certificate III and IV Level	14759
South Australia	2006	65-74	Advanced Diploma and Diploma	5990
South Australia	2006	65-74	Bachelor	5456
South Australia	2006	65-74	Graduate Diploma and Graduate Certificate	838
South Australia	2006	65-74	Postgraduate	1525
South Australia	2006	75-84		20480
South Australia	2006	75-84	Certificate nfd	765
South Australia	2006	75-84	Certificate I and II Level	167
South Australia	2006	75-84	Certificate III and IV Level	8255
South Australia	2006	75-84	Advanced Diploma and Diploma	3293
South Australia	2006	75-84	Bachelor	2921
South Australia	2006	75-84	Graduate Diploma and Graduate Certificate	266
South Australia	2006	75-84	Postgraduate	591
South Australia	2006	85+		8924
South Australia	2006	85+	Certificate nfd	185
South Australia	2006	85+	Certificate I and II Level	40
South Australia	2006	85+	Certificate III and IV Level	1734
South Australia	2006	85+	Advanced Diploma and Diploma	923
South Australia	2006	85+	Bachelor	792
South Australia	2006	85+	Graduate Diploma and Graduate Certificate	58
South Australia	2006	85+	Postgraduate	94
South Australia	2011	15-19		9366
South Australia	2011	15-19	Certificate nfd	506
South Australia	2011	15-19	Certificate I and II Level	1990
South Australia	2011	15-19	Certificate III and IV Level	3744
South Australia	2011	15-19	Advanced Diploma and Diploma	294
South Australia	2011	15-19	Bachelor	83
South Australia	2011	15-19	Graduate Diploma and Graduate Certificate	0
South Australia	2011	15-19	Postgraduate	5
South Australia	2011	20-24		7934
South Australia	2011	20-24	Certificate nfd	1600
South Australia	2011	20-24	Certificate I and II Level	3208
South Australia	2011	20-24	Certificate III and IV Level	18031
South Australia	2011	20-24	Advanced Diploma and Diploma	4835
South Australia	2011	20-24	Bachelor	12277
South Australia	2011	20-24	Graduate Diploma and Graduate Certificate	281
South Australia	2011	20-24	Postgraduate	591
South Australia	2011	25-34		15213
South Australia	2011	25-34	Certificate nfd	3664
South Australia	2011	25-34	Certificate I and II Level	5019
South Australia	2011	25-34	Certificate III and IV Level	40424
South Australia	2011	25-34	Advanced Diploma and Diploma	15316
South Australia	2011	25-34	Bachelor	44253
South Australia	2011	25-34	Graduate Diploma and Graduate Certificate	3241
South Australia	2011	25-34	Postgraduate	9455
South Australia	2011	35-44		16627
South Australia	2011	35-44	Certificate nfd	4553
South Australia	2011	35-44	Certificate I and II Level	3307
South Australia	2011	35-44	Certificate III and IV Level	41399
South Australia	2011	35-44	Advanced Diploma and Diploma	20767
South Australia	2011	35-44	Bachelor	34766
South Australia	2011	35-44	Graduate Diploma and Graduate Certificate	4793
South Australia	2011	35-44	Postgraduate	8707
South Australia	2011	45-54		18101
South Australia	2011	45-54	Certificate nfd	4226
South Australia	2011	45-54	Certificate I and II Level	2478
South Australia	2011	45-54	Certificate III and IV Level	41415
South Australia	2011	45-54	Advanced Diploma and Diploma	21926
South Australia	2011	45-54	Bachelor	26001
South Australia	2011	45-54	Graduate Diploma and Graduate Certificate	5238
South Australia	2011	45-54	Postgraduate	7569
South Australia	2011	55-64		18011
South Australia	2011	55-64	Certificate nfd	3885
South Australia	2011	55-64	Certificate I and II Level	1502
South Australia	2011	55-64	Certificate III and IV Level	31301
South Australia	2011	55-64	Advanced Diploma and Diploma	18680
South Australia	2011	55-64	Bachelor	20893
South Australia	2011	55-64	Graduate Diploma and Graduate Certificate	4734
South Australia	2011	55-64	Postgraduate	5999
South Australia	2011	65-74		17098
South Australia	2011	65-74	Certificate nfd	1983
South Australia	2011	65-74	Certificate I and II Level	624
South Australia	2011	65-74	Certificate III and IV Level	17760
South Australia	2011	65-74	Advanced Diploma and Diploma	9134
South Australia	2011	65-74	Bachelor	9219
South Australia	2011	65-74	Graduate Diploma and Graduate Certificate	1557
South Australia	2011	65-74	Postgraduate	2672
South Australia	2011	75-84		17418
South Australia	2011	75-84	Certificate nfd	832
South Australia	2011	75-84	Certificate I and II Level	209
South Australia	2011	75-84	Certificate III and IV Level	9162
South Australia	2011	75-84	Advanced Diploma and Diploma	3556
South Australia	2011	75-84	Bachelor	3563
South Australia	2011	75-84	Graduate Diploma and Graduate Certificate	358
South Australia	2011	75-84	Postgraduate	826
South Australia	2011	85+		10533
South Australia	2011	85+	Certificate nfd	269
South Australia	2011	85+	Certificate I and II Level	54
South Australia	2011	85+	Certificate III and IV Level	2609
South Australia	2011	85+	Advanced Diploma and Diploma	1203
South Australia	2011	85+	Bachelor	1138
South Australia	2011	85+	Graduate Diploma and Graduate Certificate	65
South Australia	2011	85+	Postgraduate	171
South Australia	2016	15-19		7802
South Australia	2016	15-19	Certificate nfd	614
South Australia	2016	15-19	Certificate I and II Level	1701
South Australia	2016	15-19	Certificate III and IV Level	4846
South Australia	2016	15-19	Advanced Diploma and Diploma	390
South Australia	2016	15-19	Bachelor	90
South Australia	2016	15-19	Graduate Diploma and Graduate Certificate	13
South Australia	2016	15-19	Postgraduate	7
South Australia	2016	20-24		7726
South Australia	2016	20-24	Certificate nfd	1434
South Australia	2016	20-24	Certificate I and II Level	3187
South Australia	2016	20-24	Certificate III and IV Level	18676
South Australia	2016	20-24	Advanced Diploma and Diploma	4946
South Australia	2016	20-24	Bachelor	13276
South Australia	2016	20-24	Graduate Diploma and Graduate Certificate	449
South Australia	2016	20-24	Postgraduate	703
South Australia	2016	25-34		16864
South Australia	2016	25-34	Certificate nfd	3504
South Australia	2016	25-34	Certificate I and II Level	4746
South Australia	2016	25-34	Certificate III and IV Level	46959
South Australia	2016	25-34	Advanced Diploma and Diploma	18722
South Australia	2016	25-34	Bachelor	49802
South Australia	2016	25-34	Graduate Diploma and Graduate Certificate	4054
South Australia	2016	25-34	Postgraduate	13581
South Australia	2016	35-44		15910
South Australia	2016	35-44	Certificate nfd	4777
South Australia	2016	35-44	Certificate I and II Level	3577
South Australia	2016	35-44	Certificate III and IV Level	41169
South Australia	2016	35-44	Advanced Diploma and Diploma	22116
South Australia	2016	35-44	Bachelor	42256
South Australia	2016	35-44	Graduate Diploma and Graduate Certificate	5467
South Australia	2016	35-44	Postgraduate	13378
South Australia	2016	45-54		18051
South Australia	2016	45-54	Certificate nfd	5307
South Australia	2016	45-54	Certificate I and II Level	2773
South Australia	2016	45-54	Certificate III and IV Level	44653
South Australia	2016	45-54	Advanced Diploma and Diploma	25267
South Australia	2016	45-54	Bachelor	29035
South Australia	2016	45-54	Graduate Diploma and Graduate Certificate	5616
South Australia	2016	45-54	Postgraduate	9527
South Australia	2016	55-64		18583
South Australia	2016	55-64	Certificate nfd	5197
South Australia	2016	55-64	Certificate I and II Level	2104
South Australia	2016	55-64	Certificate III and IV Level	36982
South Australia	2016	55-64	Advanced Diploma and Diploma	22585
South Australia	2016	55-64	Bachelor	24125
South Australia	2016	55-64	Graduate Diploma and Graduate Certificate	5721
South Australia	2016	55-64	Postgraduate	7515
South Australia	2016	65-74		18837
South Australia	2016	65-74	Certificate nfd	4066
South Australia	2016	65-74	Certificate I and II Level	1132
South Australia	2016	65-74	Certificate III and IV Level	23609
South Australia	2016	65-74	Advanced Diploma and Diploma	14368
South Australia	2016	65-74	Bachelor	14991
South Australia	2016	65-74	Graduate Diploma and Graduate Certificate	3001
South Australia	2016	65-74	Postgraduate	4527
South Australia	2016	75-84		14876
South Australia	2016	75-84	Certificate nfd	1669
South Australia	2016	75-84	Certificate I and II Level	313
South Australia	2016	75-84	Certificate III and IV Level	11191
South Australia	2016	75-84	Advanced Diploma and Diploma	4947
South Australia	2016	75-84	Bachelor	5024
South Australia	2016	75-84	Graduate Diploma and Graduate Certificate	681
South Australia	2016	75-84	Postgraduate	1423
South Australia	2016	85+		9680
South Australia	2016	85+	Certificate nfd	658
South Australia	2016	85+	Certificate I and II Level	90
South Australia	2016	85+	Certificate III and IV Level	3558
South Australia	2016	85+	Advanced Diploma and Diploma	1762
South Australia	2016	85+	Bachelor	1785
South Australia	2016	85+	Graduate Diploma and Graduate Certificate	127
South Australia	2016	85+	Postgraduate	325
Western Australia	2006	15-19		17702
Western Australia	2006	15-19	Certificate nfd	815
Western Australia	2006	15-19	Certificate I and II Level	2262
Western Australia	2006	15-19	Certificate III and IV Level	5809
Western Australia	2006	15-19	Advanced Diploma and Diploma	1327
Western Australia	2006	15-19	Bachelor	136
Western Australia	2006	15-19	Graduate Diploma and Graduate Certificate	16
Western Australia	2006	15-19	Postgraduate	3
Western Australia	2006	20-24		15981
Western Australia	2006	20-24	Certificate nfd	2169
Western Australia	2006	20-24	Certificate I and II Level	3641
Western Australia	2006	20-24	Certificate III and IV Level	20405
Western Australia	2006	20-24	Advanced Diploma and Diploma	8709
Western Australia	2006	20-24	Bachelor	16502
Western Australia	2006	20-24	Graduate Diploma and Graduate Certificate	544
Western Australia	2006	20-24	Postgraduate	386
Western Australia	2006	25-34		30788
Western Australia	2006	25-34	Certificate nfd	5569
Western Australia	2006	25-34	Certificate I and II Level	3890
Western Australia	2006	25-34	Certificate III and IV Level	45875
Western Australia	2006	25-34	Advanced Diploma and Diploma	20432
Western Australia	2006	25-34	Bachelor	49901
Western Australia	2006	25-34	Graduate Diploma and Graduate Certificate	4545
Western Australia	2006	25-34	Postgraduate	5999
Western Australia	2006	35-44		35293
Western Australia	2006	35-44	Certificate nfd	6104
Western Australia	2006	35-44	Certificate I and II Level	2961
Western Australia	2006	35-44	Certificate III and IV Level	52390
Western Australia	2006	35-44	Advanced Diploma and Diploma	26413
Western Australia	2006	35-44	Bachelor	41975
Western Australia	2006	35-44	Graduate Diploma and Graduate Certificate	5871
Western Australia	2006	35-44	Postgraduate	8869
Western Australia	2006	45-54		33496
Western Australia	2006	45-54	Certificate nfd	5594
Western Australia	2006	45-54	Certificate I and II Level	2345
Western Australia	2006	45-54	Certificate III and IV Level	47821
Western Australia	2006	45-54	Advanced Diploma and Diploma	27231
Western Australia	2006	45-54	Bachelor	33568
Western Australia	2006	45-54	Graduate Diploma and Graduate Certificate	5651
Western Australia	2006	45-54	Postgraduate	8508
Western Australia	2006	55-64		28352
Western Australia	2006	55-64	Certificate nfd	3835
Western Australia	2006	55-64	Certificate I and II Level	1372
Western Australia	2006	55-64	Certificate III and IV Level	32295
Western Australia	2006	55-64	Advanced Diploma and Diploma	18821
Western Australia	2006	55-64	Bachelor	19527
Western Australia	2006	55-64	Graduate Diploma and Graduate Certificate	2831
Western Australia	2006	55-64	Postgraduate	5391
Western Australia	2006	65-74		22894
Western Australia	2006	65-74	Certificate nfd	1620
Western Australia	2006	65-74	Certificate I and II Level	490
Western Australia	2006	65-74	Certificate III and IV Level	16914
Western Australia	2006	65-74	Advanced Diploma and Diploma	8648
Western Australia	2006	65-74	Bachelor	7608
Western Australia	2006	65-74	Graduate Diploma and Graduate Certificate	903
Western Australia	2006	65-74	Postgraduate	1787
Western Australia	2006	75-84		21637
Western Australia	2006	75-84	Certificate nfd	800
Western Australia	2006	75-84	Certificate I and II Level	211
Western Australia	2006	75-84	Certificate III and IV Level	7522
Western Australia	2006	75-84	Advanced Diploma and Diploma	3742
Western Australia	2006	75-84	Bachelor	3259
Western Australia	2006	75-84	Graduate Diploma and Graduate Certificate	280
Western Australia	2006	75-84	Postgraduate	615
Western Australia	2006	85+		9210
Western Australia	2006	85+	Certificate nfd	192
Western Australia	2006	85+	Certificate I and II Level	29
Western Australia	2006	85+	Certificate III and IV Level	1591
Western Australia	2006	85+	Advanced Diploma and Diploma	837
Western Australia	2006	85+	Bachelor	773
Western Australia	2006	85+	Graduate Diploma and Graduate Certificate	52
Western Australia	2006	85+	Postgraduate	105
Western Australia	2011	15-19		14349
Western Australia	2011	15-19	Certificate nfd	746
Western Australia	2011	15-19	Certificate I and II Level	2844
Western Australia	2011	15-19	Certificate III and IV Level	8622
Western Australia	2011	15-19	Advanced Diploma and Diploma	1270
Western Australia	2011	15-19	Bachelor	112
Western Australia	2011	15-19	Graduate Diploma and Graduate Certificate	19
Western Australia	2011	15-19	Postgraduate	3
Western Australia	2011	20-24		16301
Western Australia	2011	20-24	Certificate nfd	2108
Western Australia	2011	20-24	Certificate I and II Level	3665
Western Australia	2011	20-24	Certificate III and IV Level	29513
Western Australia	2011	20-24	Advanced Diploma and Diploma	9915
Western Australia	2011	20-24	Bachelor	19300
Western Australia	2011	20-24	Graduate Diploma and Graduate Certificate	688
Western Australia	2011	20-24	Postgraduate	852
Western Australia	2011	25-34		34986
Western Australia	2011	25-34	Certificate nfd	4758
Western Australia	2011	25-34	Certificate I and II Level	5263
Western Australia	2011	25-34	Certificate III and IV Level	62785
Western Australia	2011	25-34	Advanced Diploma and Diploma	27336
Western Australia	2011	25-34	Bachelor	70970
Western Australia	2011	25-34	Graduate Diploma and Graduate Certificate	6388
Western Australia	2011	25-34	Postgraduate	13279
Western Australia	2011	35-44		33502
Western Australia	2011	35-44	Certificate nfd	6107
Western Australia	2011	35-44	Certificate I and II Level	3900
Western Australia	2011	35-44	Certificate III and IV Level	61619
Western Australia	2011	35-44	Advanced Diploma and Diploma	32397
Western Australia	2011	35-44	Bachelor	57653
Western Australia	2011	35-44	Graduate Diploma and Graduate Certificate	8199
Western Australia	2011	35-44	Postgraduate	13714
Western Australia	2011	45-54		31349
Western Australia	2011	45-54	Certificate nfd	5895
Western Australia	2011	45-54	Certificate I and II Level	3086
Western Australia	2011	45-54	Certificate III and IV Level	59450
Western Australia	2011	45-54	Advanced Diploma and Diploma	32112
Western Australia	2011	45-54	Bachelor	40747
Western Australia	2011	45-54	Graduate Diploma and Graduate Certificate	7295
Western Australia	2011	45-54	Postgraduate	11478
Western Australia	2011	55-64		27916
Western Australia	2011	55-64	Certificate nfd	4863
Western Australia	2011	55-64	Certificate I and II Level	2063
Western Australia	2011	55-64	Certificate III and IV Level	42385
Western Australia	2011	55-64	Advanced Diploma and Diploma	24674
Western Australia	2011	55-64	Bachelor	27793
Western Australia	2011	55-64	Graduate Diploma and Graduate Certificate	4835
Western Australia	2011	55-64	Postgraduate	7968
Western Australia	2011	65-74		21713
Western Australia	2011	65-74	Certificate nfd	2488
Western Australia	2011	65-74	Certificate I and II Level	817
Western Australia	2011	65-74	Certificate III and IV Level	22262
Western Australia	2011	65-74	Advanced Diploma and Diploma	12327
Western Australia	2011	65-74	Bachelor	12092
Western Australia	2011	65-74	Graduate Diploma and Graduate Certificate	1567
Western Australia	2011	65-74	Postgraduate	3252
Western Australia	2011	75-84		18349
Western Australia	2011	75-84	Certificate nfd	1009
Western Australia	2011	75-84	Certificate I and II Level	283
Western Australia	2011	75-84	Certificate III and IV Level	10356
Western Australia	2011	75-84	Advanced Diploma and Diploma	4917
Western Australia	2011	75-84	Bachelor	4540
Western Australia	2011	75-84	Graduate Diploma and Graduate Certificate	414
Western Australia	2011	75-84	Postgraduate	912
Western Australia	2011	85+		9810
Western Australia	2011	85+	Certificate nfd	304
Western Australia	2011	85+	Certificate I and II Level	77
Western Australia	2011	85+	Certificate III and IV Level	2835
Western Australia	2011	85+	Advanced Diploma and Diploma	1345
Western Australia	2011	85+	Bachelor	1197
Western Australia	2011	85+	Graduate Diploma and Graduate Certificate	73
Western Australia	2011	85+	Postgraduate	179
Western Australia	2016	15-19		12816
Western Australia	2016	15-19	Certificate nfd	818
Western Australia	2016	15-19	Certificate I and II Level	3976
Western Australia	2016	15-19	Certificate III and IV Level	7447
Western Australia	2016	15-19	Advanced Diploma and Diploma	1459
Western Australia	2016	15-19	Bachelor	161
Western Australia	2016	15-19	Graduate Diploma and Graduate Certificate	28
Western Australia	2016	15-19	Postgraduate	11
Western Australia	2016	20-24		15147
Western Australia	2016	20-24	Certificate nfd	2184
Western Australia	2016	20-24	Certificate I and II Level	4047
Western Australia	2016	20-24	Certificate III and IV Level	29671
Western Australia	2016	20-24	Advanced Diploma and Diploma	9951
Western Australia	2016	20-24	Bachelor	22189
Western Australia	2016	20-24	Graduate Diploma and Graduate Certificate	888
Western Australia	2016	20-24	Postgraduate	993
Western Australia	2016	25-34		40466
Western Australia	2016	25-34	Certificate nfd	5790
Western Australia	2016	25-34	Certificate I and II Level	5509
Western Australia	2016	25-34	Certificate III and IV Level	77965
Western Australia	2016	25-34	Advanced Diploma and Diploma	35231
Western Australia	2016	25-34	Bachelor	88044
Western Australia	2016	25-34	Graduate Diploma and Graduate Certificate	8095
Western Australia	2016	25-34	Postgraduate	20353
Western Australia	2016	35-44		34132
Western Australia	2016	35-44	Certificate nfd	7640
Western Australia	2016	35-44	Certificate I and II Level	4149
Western Australia	2016	35-44	Certificate III and IV Level	66183
Western Australia	2016	35-44	Advanced Diploma and Diploma	37096
Western Australia	2016	35-44	Bachelor	72367
Western Australia	2016	35-44	Graduate Diploma and Graduate Certificate	9630
Western Australia	2016	35-44	Postgraduate	21748
Western Australia	2016	45-54		33158
Western Australia	2016	45-54	Certificate nfd	8135
Western Australia	2016	45-54	Certificate I and II Level	3391
Western Australia	2016	45-54	Certificate III and IV Level	65614
Western Australia	2016	45-54	Advanced Diploma and Diploma	36830
Western Australia	2016	45-54	Bachelor	50233
Western Australia	2016	45-54	Graduate Diploma and Graduate Certificate	9100
Western Australia	2016	45-54	Postgraduate	15532
Western Australia	2016	55-64		30045
Western Australia	2016	55-64	Certificate nfd	7321
Western Australia	2016	55-64	Certificate I and II Level	2524
Western Australia	2016	55-64	Certificate III and IV Level	50420
Western Australia	2016	55-64	Advanced Diploma and Diploma	30019
Western Australia	2016	55-64	Bachelor	34326
Western Australia	2016	55-64	Graduate Diploma and Graduate Certificate	7056
Western Australia	2016	55-64	Postgraduate	10441
Western Australia	2016	65-74		26329
Western Australia	2016	65-74	Certificate nfd	5257
Western Australia	2016	65-74	Certificate I and II Level	1321
Western Australia	2016	65-74	Certificate III and IV Level	28970
Western Australia	2016	65-74	Advanced Diploma and Diploma	18025
Western Australia	2016	65-74	Bachelor	18973
Western Australia	2016	65-74	Graduate Diploma and Graduate Certificate	2913
Western Australia	2016	65-74	Postgraduate	5594
Western Australia	2016	75-84		20088
Western Australia	2016	75-84	Certificate nfd	2195
Western Australia	2016	75-84	Certificate I and II Level	393
Western Australia	2016	75-84	Certificate III and IV Level	12672
Western Australia	2016	75-84	Advanced Diploma and Diploma	7062
Western Australia	2016	75-84	Bachelor	6879
Western Australia	2016	75-84	Graduate Diploma and Graduate Certificate	729
Western Australia	2016	75-84	Postgraduate	1637
Western Australia	2016	85+		12078
Western Australia	2016	85+	Certificate nfd	719
Western Australia	2016	85+	Certificate I and II Level	120
Western Australia	2016	85+	Certificate III and IV Level	3255
Western Australia	2016	85+	Advanced Diploma and Diploma	1959
Western Australia	2016	85+	Bachelor	1845
Western Australia	2016	85+	Graduate Diploma and Graduate Certificate	149
Western Australia	2016	85+	Postgraduate	352
Tasmania	2006	15-19		3842
Tasmania	2006	15-19	Certificate nfd	132
Tasmania	2006	15-19	Certificate I and II Level	613
Tasmania	2006	15-19	Certificate III and IV Level	1074
Tasmania	2006	15-19	Advanced Diploma and Diploma	76
Tasmania	2006	15-19	Bachelor	28
Tasmania	2006	15-19	Graduate Diploma and Graduate Certificate	0
Tasmania	2006	15-19	Postgraduate	3
Tasmania	2006	20-24		2561
Tasmania	2006	20-24	Certificate nfd	444
Tasmania	2006	20-24	Certificate I and II Level	1232
Tasmania	2006	20-24	Certificate III and IV Level	4984
Tasmania	2006	20-24	Advanced Diploma and Diploma	914
Tasmania	2006	20-24	Bachelor	2897
Tasmania	2006	20-24	Graduate Diploma and Graduate Certificate	50
Tasmania	2006	20-24	Postgraduate	31
Tasmania	2006	25-34		4752
Tasmania	2006	25-34	Certificate nfd	1010
Tasmania	2006	25-34	Certificate I and II Level	1140
Tasmania	2006	25-34	Certificate III and IV Level	10763
Tasmania	2006	25-34	Advanced Diploma and Diploma	3193
Tasmania	2006	25-34	Bachelor	8318
Tasmania	2006	25-34	Graduate Diploma and Graduate Certificate	623
Tasmania	2006	25-34	Postgraduate	807
Tasmania	2006	35-44		6141
Tasmania	2006	35-44	Certificate nfd	1197
Tasmania	2006	35-44	Certificate I and II Level	831
Tasmania	2006	35-44	Certificate III and IV Level	12914
Tasmania	2006	35-44	Advanced Diploma and Diploma	4696
Tasmania	2006	35-44	Bachelor	7698
Tasmania	2006	35-44	Graduate Diploma and Graduate Certificate	1117
Tasmania	2006	35-44	Postgraduate	1504
Tasmania	2006	45-54		6765
Tasmania	2006	45-54	Certificate nfd	1292
Tasmania	2006	45-54	Certificate I and II Level	644
Tasmania	2006	45-54	Certificate III and IV Level	12348
Tasmania	2006	45-54	Advanced Diploma and Diploma	5429
Tasmania	2006	45-54	Bachelor	8032
Tasmania	2006	45-54	Graduate Diploma and Graduate Certificate	1256
Tasmania	2006	45-54	Postgraduate	1841
Tasmania	2006	55-64		6766
Tasmania	2006	55-64	Certificate nfd	909
Tasmania	2006	55-64	Certificate I and II Level	320
Tasmania	2006	55-64	Certificate III and IV Level	8070
Tasmania	2006	55-64	Advanced Diploma and Diploma	4549
Tasmania	2006	55-64	Bachelor	4782
Tasmania	2006	55-64	Graduate Diploma and Graduate Certificate	903
Tasmania	2006	55-64	Postgraduate	1384
Tasmania	2006	65-74		6773
Tasmania	2006	65-74	Certificate nfd	440
Tasmania	2006	65-74	Certificate I and II Level	138
Tasmania	2006	65-74	Certificate III and IV Level	4452
Tasmania	2006	65-74	Advanced Diploma and Diploma	2361
Tasmania	2006	65-74	Bachelor	1891
Tasmania	2006	65-74	Graduate Diploma and Graduate Certificate	257
Tasmania	2006	65-74	Postgraduate	524
Tasmania	2006	75-84		6857
Tasmania	2006	75-84	Certificate nfd	229
Tasmania	2006	75-84	Certificate I and II Level	64
Tasmania	2006	75-84	Certificate III and IV Level	2128
Tasmania	2006	75-84	Advanced Diploma and Diploma	1146
Tasmania	2006	75-84	Bachelor	995
