STE_NAME16	Year	Age	NonSchoolQualification	Sex	adults
Queensland	2011	15-19	Certificate nfd	M	653
Queensland	2011	15-19	Certificate I and II Level	F	4732
Queensland	2011	15-19	Certificate I and II Level	M	3324
Queensland	2011	15-19	Certificate III and IV Level	F	8098
Queensland	2011	15-19	Certificate III and IV Level	M	7593
Queensland	2011	15-19	Advanced Diploma and Diploma	F	1542
Queensland	2011	15-19	Advanced Diploma and Diploma	M	794
Queensland	2011	15-19	Bachelor	F	167
Queensland	2011	15-19	Bachelor	M	130
Queensland	2011	15-19	Graduate Diploma and Graduate Certificate	F	25
Queensland	2011	15-19	Graduate Diploma and Graduate Certificate	M	12
Queensland	2011	15-19	Postgraduate	F	6
Queensland	2011	15-19	Postgraduate	M	3
Queensland	2011	20-24		F	11682
Queensland	2011	20-24		M	15691
Queensland	2011	20-24	Certificate nfd	F	2759
Queensland	2011	20-24	Certificate nfd	M	1401
Queensland	2011	20-24	Certificate I and II Level	F	4970
Queensland	2011	20-24	Certificate I and II Level	M	3058
Queensland	2011	20-24	Certificate III and IV Level	F	21396
Queensland	2011	20-24	Certificate III and IV Level	M	32089
Queensland	2011	20-24	Advanced Diploma and Diploma	F	10349
Queensland	2011	20-24	Advanced Diploma and Diploma	M	5949
Queensland	2011	20-24	Bachelor	F	20885
Queensland	2011	20-24	Bachelor	M	12756
Queensland	2011	20-24	Graduate Diploma and Graduate Certificate	F	771
Queensland	2011	20-24	Graduate Diploma and Graduate Certificate	M	295
Queensland	2011	20-24	Postgraduate	F	916
Queensland	2011	20-24	Postgraduate	M	655
Queensland	2011	25-34		F	23097
Queensland	2011	25-34		M	30883
Queensland	2011	25-34	Certificate nfd	F	5870
Queensland	2011	25-34	Certificate nfd	M	3142
Queensland	2011	25-34	Certificate I and II Level	F	7073
Queensland	2011	25-34	Certificate I and II Level	M	4031
Queensland	2011	25-34	Certificate III and IV Level	F	42752
Queensland	2011	25-34	Certificate III and IV Level	M	79167
Queensland	2011	25-34	Advanced Diploma and Diploma	F	30154
Queensland	2011	25-34	Advanced Diploma and Diploma	M	18341
Queensland	2011	25-34	Bachelor	F	73508
Queensland	2011	25-34	Bachelor	M	46880
Queensland	2011	25-34	Graduate Diploma and Graduate Certificate	F	6353
Queensland	2011	25-34	Graduate Diploma and Graduate Certificate	M	2988
Queensland	2011	25-34	Postgraduate	F	12583
Queensland	2011	25-34	Postgraduate	M	10634
Queensland	2011	35-44		F	25093
Queensland	2011	35-44		M	30209
Queensland	2011	35-44	Certificate nfd	F	7618
Queensland	2011	35-44	Certificate nfd	M	3492
Queensland	2011	35-44	Certificate I and II Level	F	5310
Queensland	2011	35-44	Certificate I and II Level	M	2482
Queensland	2011	35-44	Certificate III and IV Level	F	38070
Queensland	2011	35-44	Certificate III and IV Level	M	84369
Queensland	2011	35-44	Advanced Diploma and Diploma	F	37433
Queensland	2011	35-44	Advanced Diploma and Diploma	M	24900
Queensland	2011	35-44	Bachelor	F	59258
Queensland	2011	35-44	Bachelor	M	41936
Queensland	2011	35-44	Graduate Diploma and Graduate Certificate	F	9047
Queensland	2011	35-44	Graduate Diploma and Graduate Certificate	M	4754
Queensland	2011	35-44	Postgraduate	F	12361
Queensland	2011	35-44	Postgraduate	M	12732
Queensland	2011	45-54		F	26876
Queensland	2011	45-54		M	28727
Queensland	2011	45-54	Certificate nfd	F	7203
Queensland	2011	45-54	Certificate nfd	M	2997
Queensland	2011	45-54	Certificate I and II Level	F	4232
Queensland	2011	45-54	Certificate I and II Level	M	1735
Queensland	2011	45-54	Certificate III and IV Level	F	33757
Queensland	2011	45-54	Certificate III and IV Level	M	83384
Queensland	2011	45-54	Advanced Diploma and Diploma	F	33287
Queensland	2011	45-54	Advanced Diploma and Diploma	M	24304
Queensland	2011	45-54	Bachelor	F	39484
Queensland	2011	45-54	Bachelor	M	30351
Queensland	2011	45-54	Graduate Diploma and Graduate Certificate	F	7822
Queensland	2011	45-54	Graduate Diploma and Graduate Certificate	M	4584
Queensland	2011	45-54	Postgraduate	F	9974
Queensland	2011	45-54	Postgraduate	M	11733
Queensland	2011	55-64		F	26297
Queensland	2011	55-64		M	25411
Queensland	2011	55-64	Certificate nfd	F	5420
Queensland	2011	55-64	Certificate nfd	M	3247
Queensland	2011	55-64	Certificate I and II Level	F	2722
Queensland	2011	55-64	Certificate I and II Level	M	1180
Queensland	2011	55-64	Certificate III and IV Level	F	20061
Queensland	2011	55-64	Certificate III and IV Level	M	66973
Queensland	2011	55-64	Advanced Diploma and Diploma	F	22996
Queensland	2011	55-64	Advanced Diploma and Diploma	M	19606
Queensland	2011	55-64	Bachelor	F	25372
Queensland	2011	55-64	Bachelor	M	22986
Queensland	2011	55-64	Graduate Diploma and Graduate Certificate	F	5416
Queensland	2011	55-64	Graduate Diploma and Graduate Certificate	M	3601
Queensland	2011	55-64	Postgraduate	F	6209
Queensland	2011	55-64	Postgraduate	M	8826
Queensland	2011	65-74		F	24781
Queensland	2011	65-74		M	20764
Queensland	2011	65-74	Certificate nfd	F	2432
Queensland	2011	65-74	Certificate nfd	M	1818
Queensland	2011	65-74	Certificate I and II Level	F	837
Queensland	2011	65-74	Certificate I and II Level	M	591
Queensland	2011	65-74	Certificate III and IV Level	F	6072
Queensland	2011	65-74	Certificate III and IV Level	M	40939
Queensland	2011	65-74	Advanced Diploma and Diploma	F	11010
Queensland	2011	65-74	Advanced Diploma and Diploma	M	10173
Queensland	2011	65-74	Bachelor	F	10923
Queensland	2011	65-74	Bachelor	M	10607
Queensland	2011	65-74	Graduate Diploma and Graduate Certificate	F	1728
Queensland	2011	65-74	Graduate Diploma and Graduate Certificate	M	1272
Queensland	2011	65-74	Postgraduate	F	1891
Queensland	2011	65-74	Postgraduate	M	4183
Queensland	2011	75-84		F	22550
Queensland	2011	75-84		M	16044
Queensland	2011	75-84	Certificate nfd	F	812
Queensland	2011	75-84	Certificate nfd	M	700
Queensland	2011	75-84	Certificate I and II Level	F	209
Queensland	2011	75-84	Certificate I and II Level	M	192
Queensland	2011	75-84	Certificate III and IV Level	F	2086
Queensland	2011	75-84	Certificate III and IV Level	M	17447
Queensland	2011	75-84	Advanced Diploma and Diploma	F	4052
Queensland	2011	75-84	Advanced Diploma and Diploma	M	3855
Queensland	2011	75-84	Bachelor	F	3800
Queensland	2011	75-84	Bachelor	M	3709
Queensland	2011	75-84	Graduate Diploma and Graduate Certificate	F	376
Queensland	2011	75-84	Graduate Diploma and Graduate Certificate	M	317
Queensland	2011	75-84	Postgraduate	F	414
Queensland	2011	75-84	Postgraduate	M	1225
Queensland	2011	85+		F	14503
Queensland	2011	85+		M	6938
Queensland	2011	85+	Certificate nfd	F	289
Queensland	2011	85+	Certificate nfd	M	185
Queensland	2011	85+	Certificate I and II Level	F	56
Queensland	2011	85+	Certificate I and II Level	M	40
Queensland	2011	85+	Certificate III and IV Level	F	637
Queensland	2011	85+	Certificate III and IV Level	M	4123
Queensland	2011	85+	Advanced Diploma and Diploma	F	1097
Queensland	2011	85+	Advanced Diploma and Diploma	M	924
Queensland	2011	85+	Bachelor	F	1074
Queensland	2011	85+	Bachelor	M	930
Queensland	2011	85+	Graduate Diploma and Graduate Certificate	F	78
Queensland	2011	85+	Graduate Diploma and Graduate Certificate	M	45
Queensland	2011	85+	Postgraduate	F	78
Queensland	2011	85+	Postgraduate	M	226
Queensland	2016	15-19		F	12820
Queensland	2016	15-19		M	13831
Queensland	2016	15-19	Certificate nfd	F	1308
Queensland	2016	15-19	Certificate nfd	M	927
Queensland	2016	15-19	Certificate I and II Level	F	3890
Queensland	2016	15-19	Certificate I and II Level	M	3465
Queensland	2016	15-19	Certificate III and IV Level	F	10893
Queensland	2016	15-19	Certificate III and IV Level	M	9579
Queensland	2016	15-19	Advanced Diploma and Diploma	F	2568
Queensland	2016	15-19	Advanced Diploma and Diploma	M	1275
Queensland	2016	15-19	Bachelor	F	193
Queensland	2016	15-19	Bachelor	M	158
Queensland	2016	15-19	Graduate Diploma and Graduate Certificate	F	66
Queensland	2016	15-19	Graduate Diploma and Graduate Certificate	M	11
Queensland	2016	15-19	Postgraduate	F	8
Queensland	2016	15-19	Postgraduate	M	13
Queensland	2016	20-24		F	13769
Queensland	2016	20-24		M	16039
Queensland	2016	20-24	Certificate nfd	F	2779
Queensland	2016	20-24	Certificate nfd	M	1843
Queensland	2016	20-24	Certificate I and II Level	F	4671
Queensland	2016	20-24	Certificate I and II Level	M	3723
Queensland	2016	20-24	Certificate III and IV Level	F	25369
Queensland	2016	20-24	Certificate III and IV Level	M	33871
Queensland	2016	20-24	Advanced Diploma and Diploma	F	13047
Queensland	2016	20-24	Advanced Diploma and Diploma	M	7755
Queensland	2016	20-24	Bachelor	F	24289
Queensland	2016	20-24	Bachelor	M	14814
Queensland	2016	20-24	Graduate Diploma and Graduate Certificate	F	1211
Queensland	2016	20-24	Graduate Diploma and Graduate Certificate	M	475
Queensland	2016	20-24	Postgraduate	F	1158
Queensland	2016	20-24	Postgraduate	M	703
Queensland	2016	25-34		F	28688
Queensland	2016	25-34		M	34335
Queensland	2016	25-34	Certificate nfd	F	6100
Queensland	2016	25-34	Certificate nfd	M	4293
Queensland	2016	25-34	Certificate I and II Level	F	5849
Queensland	2016	25-34	Certificate I and II Level	M	3712
Queensland	2016	25-34	Certificate III and IV Level	F	52330
Queensland	2016	25-34	Certificate III and IV Level	M	91609
Queensland	2016	25-34	Advanced Diploma and Diploma	F	37781
Queensland	2016	25-34	Advanced Diploma and Diploma	M	22819
Queensland	2016	25-34	Bachelor	F	83980
Queensland	2016	25-34	Bachelor	M	53294
Queensland	2016	25-34	Graduate Diploma and Graduate Certificate	F	8757
Queensland	2016	25-34	Graduate Diploma and Graduate Certificate	M	3872
Queensland	2016	25-34	Postgraduate	F	18831
Queensland	2016	25-34	Postgraduate	M	13999
Queensland	2016	35-44		F	25934
Queensland	2016	35-44		M	31432
Queensland	2016	35-44	Certificate nfd	F	8041
Queensland	2016	35-44	Certificate nfd	M	4889
Queensland	2016	35-44	Certificate I and II Level	F	4736
Queensland	2016	35-44	Certificate I and II Level	M	2613
Queensland	2016	35-44	Certificate III and IV Level	F	45967
Queensland	2016	35-44	Certificate III and IV Level	M	86602
Queensland	2016	35-44	Advanced Diploma and Diploma	F	42110
Queensland	2016	35-44	Advanced Diploma and Diploma	M	28240
Queensland	2016	35-44	Bachelor	F	73127
Queensland	2016	35-44	Bachelor	M	47665
Queensland	2016	35-44	Graduate Diploma and Graduate Certificate	F	10702
Queensland	2016	35-44	Graduate Diploma and Graduate Certificate	M	5237
Queensland	2016	35-44	Postgraduate	F	18798
Queensland	2016	35-44	Postgraduate	M	17393
Queensland	2016	45-54		F	28588
Queensland	2016	45-54		M	31684
Queensland	2016	45-54	Certificate nfd	F	8810
Queensland	2016	45-54	Certificate nfd	M	4954
Queensland	2016	45-54	Certificate I and II Level	F	4225
Queensland	2016	45-54	Certificate I and II Level	M	1923
Queensland	2016	45-54	Certificate III and IV Level	F	43704
Queensland	2016	45-54	Certificate III and IV Level	M	86356
Queensland	2016	45-54	Advanced Diploma and Diploma	F	42484
Queensland	2016	45-54	Advanced Diploma and Diploma	M	29705
Queensland	2016	45-54	Bachelor	F	49354
Queensland	2016	45-54	Bachelor	M	35829
Queensland	2016	45-54	Graduate Diploma and Graduate Certificate	F	10274
Queensland	2016	45-54	Graduate Diploma and Graduate Certificate	M	5712
Queensland	2016	45-54	Postgraduate	F	14003
Queensland	2016	45-54	Postgraduate	M	14556
Queensland	2016	55-64		F	28701
Queensland	2016	55-64		M	28645
Queensland	2016	55-64	Certificate nfd	F	8193
Queensland	2016	55-64	Certificate nfd	M	4897
Queensland	2016	55-64	Certificate I and II Level	F	3445
Queensland	2016	55-64	Certificate I and II Level	M	1302
Queensland	2016	55-64	Certificate III and IV Level	F	30378
Queensland	2016	55-64	Certificate III and IV Level	M	75025
Queensland	2016	55-64	Advanced Diploma and Diploma	F	31551
Queensland	2016	55-64	Advanced Diploma and Diploma	M	23945
Queensland	2016	55-64	Bachelor	F	33528
Queensland	2016	55-64	Bachelor	M	26525
Queensland	2016	55-64	Graduate Diploma and Graduate Certificate	F	7880
Queensland	2016	55-64	Graduate Diploma and Graduate Certificate	M	4856
Queensland	2016	55-64	Postgraduate	F	9412
Queensland	2016	55-64	Postgraduate	M	10914
Queensland	2016	65-74		F	28209
Queensland	2016	65-74		M	25656
Queensland	2016	65-74	Certificate nfd	F	5532
Queensland	2016	65-74	Certificate nfd	M	4110
Queensland	2016	65-74	Certificate I and II Level	F	1811
Queensland	2016	65-74	Certificate I and II Level	M	843
Queensland	2016	65-74	Certificate III and IV Level	F	11894
Queensland	2016	65-74	Certificate III and IV Level	M	52224
Queensland	2016	65-74	Advanced Diploma and Diploma	F	17176
Queensland	2016	65-74	Advanced Diploma and Diploma	M	15250
Queensland	2016	65-74	Bachelor	F	17926
Queensland	2016	65-74	Bachelor	M	16849
Queensland	2016	65-74	Graduate Diploma and Graduate Certificate	F	3466
Queensland	2016	65-74	Graduate Diploma and Graduate Certificate	M	2422
Queensland	2016	65-74	Postgraduate	F	4055
Queensland	2016	65-74	Postgraduate	M	6787
Queensland	2016	75-84		F	21848
Queensland	2016	75-84		M	16946
Queensland	2016	75-84	Certificate nfd	F	1894
Queensland	2016	75-84	Certificate nfd	M	1901
Queensland	2016	75-84	Certificate I and II Level	F	381
Queensland	2016	75-84	Certificate I and II Level	M	274
Queensland	2016	75-84	Certificate III and IV Level	F	2673
Queensland	2016	75-84	Certificate III and IV Level	M	23228
Queensland	2016	75-84	Advanced Diploma and Diploma	F	6313
Queensland	2016	75-84	Advanced Diploma and Diploma	M	5415
Queensland	2016	75-84	Bachelor	F	5973
Queensland	2016	75-84	Bachelor	M	5803
Queensland	2016	75-84	Graduate Diploma and Graduate Certificate	F	909
Queensland	2016	75-84	Graduate Diploma and Graduate Certificate	M	644
Queensland	2016	75-84	Postgraduate	F	786
Queensland	2016	75-84	Postgraduate	M	2202
Queensland	2016	85+		F	15176
Queensland	2016	85+		M	7694
Queensland	2016	85+	Certificate nfd	F	679
Queensland	2016	85+	Certificate nfd	M	504
Queensland	2016	85+	Certificate I and II Level	F	116
Queensland	2016	85+	Certificate I and II Level	M	46
Queensland	2016	85+	Certificate III and IV Level	F	915
Queensland	2016	85+	Certificate III and IV Level	M	5812
Queensland	2016	85+	Advanced Diploma and Diploma	F	1772
Queensland	2016	85+	Advanced Diploma and Diploma	M	1403
Queensland	2016	85+	Bachelor	F	1680
Queensland	2016	85+	Bachelor	M	1430
Queensland	2016	85+	Graduate Diploma and Graduate Certificate	F	139
Queensland	2016	85+	Graduate Diploma and Graduate Certificate	M	102
Queensland	2016	85+	Postgraduate	F	176
Queensland	2016	85+	Postgraduate	M	432
South Australia	2006	15-19		F	5330
South Australia	2006	15-19		M	5916
South Australia	2006	15-19	Certificate nfd	F	322
South Australia	2006	15-19	Certificate nfd	M	188
South Australia	2006	15-19	Certificate I and II Level	F	1145
South Australia	2006	15-19	Certificate I and II Level	M	669
South Australia	2006	15-19	Certificate III and IV Level	F	1332
South Australia	2006	15-19	Certificate III and IV Level	M	1704
South Australia	2006	15-19	Advanced Diploma and Diploma	F	194
South Australia	2006	15-19	Advanced Diploma and Diploma	M	92
South Australia	2006	15-19	Bachelor	F	43
South Australia	2006	15-19	Bachelor	M	39
South Australia	2006	15-19	Graduate Diploma and Graduate Certificate	F	0
South Australia	2006	15-19	Graduate Diploma and Graduate Certificate	M	0
South Australia	2006	15-19	Postgraduate	F	8
South Australia	2006	15-19	Postgraduate	M	9
South Australia	2006	20-24		F	3964
South Australia	2006	20-24		M	5246
South Australia	2006	20-24	Certificate nfd	F	1039
South Australia	2006	20-24	Certificate nfd	M	630
South Australia	2006	20-24	Certificate I and II Level	F	2245
South Australia	2006	20-24	Certificate I and II Level	M	1246
South Australia	2006	20-24	Certificate III and IV Level	F	6397
South Australia	2006	20-24	Certificate III and IV Level	M	8698
South Australia	2006	20-24	Advanced Diploma and Diploma	F	2503
South Australia	2006	20-24	Advanced Diploma and Diploma	M	1769
South Australia	2006	20-24	Bachelor	F	7401
South Australia	2006	20-24	Bachelor	M	4635
South Australia	2006	20-24	Graduate Diploma and Graduate Certificate	F	133
South Australia	2006	20-24	Graduate Diploma and Graduate Certificate	M	76
South Australia	2006	20-24	Postgraduate	F	167
South Australia	2006	20-24	Postgraduate	M	193
South Australia	2006	25-34		F	7540
South Australia	2006	25-34		M	9064
South Australia	2006	25-34	Certificate nfd	F	3155
South Australia	2006	25-34	Certificate nfd	M	1469
South Australia	2006	25-34	Certificate I and II Level	F	2516
South Australia	2006	25-34	Certificate I and II Level	M	1480
South Australia	2006	25-34	Certificate III and IV Level	F	11403
South Australia	2006	25-34	Certificate III and IV Level	M	21916
South Australia	2006	25-34	Advanced Diploma and Diploma	F	7452
South Australia	2006	25-34	Advanced Diploma and Diploma	M	5363
South Australia	2006	25-34	Bachelor	F	20263
South Australia	2006	25-34	Bachelor	M	14041
South Australia	2006	25-34	Graduate Diploma and Graduate Certificate	F	1810
South Australia	2006	25-34	Graduate Diploma and Graduate Certificate	M	834
South Australia	2006	25-34	Postgraduate	F	2203
South Australia	2006	25-34	Postgraduate	M	2091
South Australia	2006	35-44		F	9740
South Australia	2006	35-44		M	10371
South Australia	2006	35-44	Certificate nfd	F	2973
South Australia	2006	35-44	Certificate nfd	M	1474
South Australia	2006	35-44	Certificate I and II Level	F	1723
South Australia	2006	35-44	Certificate I and II Level	M	857
South Australia	2006	35-44	Certificate III and IV Level	F	11144
South Australia	2006	35-44	Certificate III and IV Level	M	27494
South Australia	2006	35-44	Advanced Diploma and Diploma	F	10556
South Australia	2006	35-44	Advanced Diploma and Diploma	M	7549
South Australia	2006	35-44	Bachelor	F	14615
South Australia	2006	35-44	Bachelor	M	11459
South Australia	2006	35-44	Graduate Diploma and Graduate Certificate	F	2589
South Australia	2006	35-44	Graduate Diploma and Graduate Certificate	M	1459
South Australia	2006	35-44	Postgraduate	F	2550
South Australia	2006	35-44	Postgraduate	M	3230
South Australia	2006	45-54		F	10206
South Australia	2006	45-54		M	9904
South Australia	2006	45-54	Certificate nfd	F	2490
South Australia	2006	45-54	Certificate nfd	M	1796
South Australia	2006	45-54	Certificate I and II Level	F	1178
South Australia	2006	45-54	Certificate I and II Level	M	667
South Australia	2006	45-54	Certificate III and IV Level	F	9174
South Australia	2006	45-54	Certificate III and IV Level	M	26444
South Australia	2006	45-54	Advanced Diploma and Diploma	F	11319
South Australia	2006	45-54	Advanced Diploma and Diploma	M	8386
South Australia	2006	45-54	Bachelor	F	13170
South Australia	2006	45-54	Bachelor	M	10927
South Australia	2006	45-54	Graduate Diploma and Graduate Certificate	F	3082
South Australia	2006	45-54	Graduate Diploma and Graduate Certificate	M	1949
South Australia	2006	45-54	Postgraduate	F	2574
South Australia	2006	45-54	Postgraduate	M	3410
South Australia	2006	55-64		F	10213
South Australia	2006	55-64		M	8620
South Australia	2006	55-64	Certificate nfd	F	1710
South Australia	2006	55-64	Certificate nfd	M	1524
South Australia	2006	55-64	Certificate I and II Level	F	551
South Australia	2006	55-64	Certificate I and II Level	M	481
South Australia	2006	55-64	Certificate III and IV Level	F	4873
South Australia	2006	55-64	Certificate III and IV Level	M	20747
South Australia	2006	55-64	Advanced Diploma and Diploma	F	7389
South Australia	2006	55-64	Advanced Diploma and Diploma	M	6926
South Australia	2006	55-64	Bachelor	F	7537
South Australia	2006	55-64	Bachelor	M	7682
South Australia	2006	55-64	Graduate Diploma and Graduate Certificate	F	1777
South Australia	2006	55-64	Graduate Diploma and Graduate Certificate	M	1230
South Australia	2006	55-64	Postgraduate	F	1591
South Australia	2006	55-64	Postgraduate	M	2666
South Australia	2006	65-74		F	10178
South Australia	2006	65-74		M	7430
South Australia	2006	65-74	Certificate nfd	F	750
South Australia	2006	65-74	Certificate nfd	M	715
South Australia	2006	65-74	Certificate I and II Level	F	177
South Australia	2006	65-74	Certificate I and II Level	M	196
South Australia	2006	65-74	Certificate III and IV Level	F	1792
South Australia	2006	65-74	Certificate III and IV Level	M	12961
South Australia	2006	65-74	Advanced Diploma and Diploma	F	2925
South Australia	2006	65-74	Advanced Diploma and Diploma	M	3065
South Australia	2006	65-74	Bachelor	F	2814
South Australia	2006	65-74	Bachelor	M	2646
South Australia	2006	65-74	Graduate Diploma and Graduate Certificate	F	481
South Australia	2006	65-74	Graduate Diploma and Graduate Certificate	M	359
South Australia	2006	65-74	Postgraduate	F	362
South Australia	2006	65-74	Postgraduate	M	1163
South Australia	2006	75-84		F	12648
South Australia	2006	75-84		M	7839
South Australia	2006	75-84	Certificate nfd	F	379
South Australia	2006	75-84	Certificate nfd	M	381
South Australia	2006	75-84	Certificate I and II Level	F	79
South Australia	2006	75-84	Certificate I and II Level	M	88
South Australia	2006	75-84	Certificate III and IV Level	F	1137
South Australia	2006	75-84	Certificate III and IV Level	M	7111
South Australia	2006	75-84	Advanced Diploma and Diploma	F	1590
South Australia	2006	75-84	Advanced Diploma and Diploma	M	1701
South Australia	2006	75-84	Bachelor	F	1402
South Australia	2006	75-84	Bachelor	M	1521
South Australia	2006	75-84	Graduate Diploma and Graduate Certificate	F	139
South Australia	2006	75-84	Graduate Diploma and Graduate Certificate	M	129
South Australia	2006	75-84	Postgraduate	F	114
South Australia	2006	75-84	Postgraduate	M	473
South Australia	2006	85+		F	6221
South Australia	2006	85+		M	2696
South Australia	2006	85+	Certificate nfd	F	107
South Australia	2006	85+	Certificate nfd	M	73
South Australia	2006	85+	Certificate I and II Level	F	15
South Australia	2006	85+	Certificate I and II Level	M	25
South Australia	2006	85+	Certificate III and IV Level	F	314
South Australia	2006	85+	Certificate III and IV Level	M	1419
South Australia	2006	85+	Advanced Diploma and Diploma	F	574
South Australia	2006	85+	Advanced Diploma and Diploma	M	347
South Australia	2006	85+	Bachelor	F	431
South Australia	2006	85+	Bachelor	M	362
South Australia	2006	85+	Graduate Diploma and Graduate Certificate	F	41
South Australia	2006	85+	Graduate Diploma and Graduate Certificate	M	16
South Australia	2006	85+	Postgraduate	F	26
South Australia	2006	85+	Postgraduate	M	66
South Australia	2011	15-19		F	4405
South Australia	2011	15-19		M	4968
South Australia	2011	15-19	Certificate nfd	F	325
South Australia	2011	15-19	Certificate nfd	M	187
South Australia	2011	15-19	Certificate I and II Level	F	1187
South Australia	2011	15-19	Certificate I and II Level	M	802
South Australia	2011	15-19	Certificate III and IV Level	F	1876
South Australia	2011	15-19	Certificate III and IV Level	M	1877
South Australia	2011	15-19	Advanced Diploma and Diploma	F	196
South Australia	2011	15-19	Advanced Diploma and Diploma	M	94
South Australia	2011	15-19	Bachelor	F	39
South Australia	2011	15-19	Bachelor	M	40
South Australia	2011	15-19	Graduate Diploma and Graduate Certificate	F	0
South Australia	2011	15-19	Graduate Diploma and Graduate Certificate	M	0
South Australia	2011	15-19	Postgraduate	F	4
South Australia	2011	15-19	Postgraduate	M	5
South Australia	2011	20-24		F	3458
South Australia	2011	20-24		M	4474
South Australia	2011	20-24	Certificate nfd	F	957
South Australia	2011	20-24	Certificate nfd	M	639
South Australia	2011	20-24	Certificate I and II Level	F	1897
South Australia	2011	20-24	Certificate I and II Level	M	1311
South Australia	2011	20-24	Certificate III and IV Level	F	7424
South Australia	2011	20-24	Certificate III and IV Level	M	10611
South Australia	2011	20-24	Advanced Diploma and Diploma	F	2816
South Australia	2011	20-24	Advanced Diploma and Diploma	M	2022
South Australia	2011	20-24	Bachelor	F	7516
South Australia	2011	20-24	Bachelor	M	4761
South Australia	2011	20-24	Graduate Diploma and Graduate Certificate	F	199
South Australia	2011	20-24	Graduate Diploma and Graduate Certificate	M	85
South Australia	2011	20-24	Postgraduate	F	355
South Australia	2011	20-24	Postgraduate	M	235
South Australia	2011	25-34		F	6485
South Australia	2011	25-34		M	8729
South Australia	2011	25-34	Certificate nfd	F	2380
South Australia	2011	25-34	Certificate nfd	M	1288
South Australia	2011	25-34	Certificate I and II Level	F	3167
South Australia	2011	25-34	Certificate I and II Level	M	1851
South Australia	2011	25-34	Certificate III and IV Level	F	15602
South Australia	2011	25-34	Certificate III and IV Level	M	24824
South Australia	2011	25-34	Advanced Diploma and Diploma	F	8913
South Australia	2011	25-34	Advanced Diploma and Diploma	M	6401
South Australia	2011	25-34	Bachelor	F	26439
South Australia	2011	25-34	Bachelor	M	17817
South Australia	2011	25-34	Graduate Diploma and Graduate Certificate	F	2192
South Australia	2011	25-34	Graduate Diploma and Graduate Certificate	M	1052
South Australia	2011	25-34	Postgraduate	F	4918
South Australia	2011	25-34	Postgraduate	M	4530
South Australia	2011	35-44		F	7608
South Australia	2011	35-44		M	9021
South Australia	2011	35-44	Certificate nfd	F	3152
South Australia	2011	35-44	Certificate nfd	M	1396
South Australia	2011	35-44	Certificate I and II Level	F	2218
South Australia	2011	35-44	Certificate I and II Level	M	1084
South Australia	2011	35-44	Certificate III and IV Level	F	13620
South Australia	2011	35-44	Certificate III and IV Level	M	27775
South Australia	2011	35-44	Advanced Diploma and Diploma	F	12288
South Australia	2011	35-44	Advanced Diploma and Diploma	M	8485
South Australia	2011	35-44	Bachelor	F	20054
South Australia	2011	35-44	Bachelor	M	14714
South Australia	2011	35-44	Graduate Diploma and Graduate Certificate	F	3166
South Australia	2011	35-44	Graduate Diploma and Graduate Certificate	M	1633
South Australia	2011	35-44	Postgraduate	F	4191
South Australia	2011	35-44	Postgraduate	M	4516
South Australia	2011	45-54		F	8812
South Australia	2011	45-54		M	9293
South Australia	2011	45-54	Certificate nfd	F	2734
South Australia	2011	45-54	Certificate nfd	M	1489
South Australia	2011	45-54	Certificate I and II Level	F	1705
South Australia	2011	45-54	Certificate I and II Level	M	773
South Australia	2011	45-54	Certificate III and IV Level	F	12622
South Australia	2011	45-54	Certificate III and IV Level	M	28792
South Australia	2011	45-54	Advanced Diploma and Diploma	F	12856
South Australia	2011	45-54	Advanced Diploma and Diploma	M	9067
South Australia	2011	45-54	Bachelor	F	14668
South Australia	2011	45-54	Bachelor	M	11335
South Australia	2011	45-54	Graduate Diploma and Graduate Certificate	F	3332
South Australia	2011	45-54	Graduate Diploma and Graduate Certificate	M	1904
South Australia	2011	45-54	Postgraduate	F	3416
South Australia	2011	45-54	Postgraduate	M	4154
South Australia	2011	55-64		F	9338
South Australia	2011	55-64		M	8674
South Australia	2011	55-64	Certificate nfd	F	2242
South Australia	2011	55-64	Certificate nfd	M	1650
South Australia	2011	55-64	Certificate I and II Level	F	948
South Australia	2011	55-64	Certificate I and II Level	M	552
South Australia	2011	55-64	Certificate III and IV Level	F	7651
South Australia	2011	55-64	Certificate III and IV Level	M	23646
South Australia	2011	55-64	Advanced Diploma and Diploma	F	10154
South Australia	2011	55-64	Advanced Diploma and Diploma	M	8528
South Australia	2011	55-64	Bachelor	F	10846
South Australia	2011	55-64	Bachelor	M	10051
South Australia	2011	55-64	Graduate Diploma and Graduate Certificate	F	2917
South Australia	2011	55-64	Graduate Diploma and Graduate Certificate	M	1820
South Australia	2011	55-64	Postgraduate	F	2523
South Australia	2011	55-64	Postgraduate	M	3476
South Australia	2011	65-74		F	9648
South Australia	2011	65-74		M	7451
South Australia	2011	65-74	Certificate nfd	F	1093
South Australia	2011	65-74	Certificate nfd	M	892
South Australia	2011	65-74	Certificate I and II Level	F	345
South Australia	2011	65-74	Certificate I and II Level	M	280
South Australia	2011	65-74	Certificate III and IV Level	F	2614
South Australia	2011	65-74	Certificate III and IV Level	M	15146
South Australia	2011	65-74	Advanced Diploma and Diploma	F	4617
South Australia	2011	65-74	Advanced Diploma and Diploma	M	4509
South Australia	2011	65-74	Bachelor	F	4604
South Australia	2011	65-74	Bachelor	M	4614
South Australia	2011	65-74	Graduate Diploma and Graduate Certificate	F	907
