SA3_NAME16	Year	IndustryOfEmployment	workers
Bringelly - Green Valley	2006	Wholesale trade	1802
Bringelly - Green Valley	2011		1225
Bringelly - Green Valley	2011	Accommodation and food services	1863
Bringelly - Green Valley	2011	Administrative and support services	1065
Bringelly - Green Valley	2011	Agriculture forestry and fishing	597
Bringelly - Green Valley	2011	Arts and recreation services	325
Bringelly - Green Valley	2011	Construction	3301
Bringelly - Green Valley	2011	Education and training	1702
Bringelly - Green Valley	2011	Electricity gas water and waste services	323
Bringelly - Green Valley	2011	Financial and insurance services	1410
Bringelly - Green Valley	2011	Health care and social assistance	3036
Bringelly - Green Valley	2011	Information media and telecommunications	463
Bringelly - Green Valley	2011	Manufacturing	4993
Bringelly - Green Valley	2011	Mining	41
Bringelly - Green Valley	2011	Other services	1432
Bringelly - Green Valley	2011	Professional scientific and technical services	1300
Bringelly - Green Valley	2011	Public administration and safety	1465
Bringelly - Green Valley	2011	Rental hiring and real estate services	448
Bringelly - Green Valley	2011	Retail trade	3810
Bringelly - Green Valley	2011	Transport postal and warehousing	2561
Bringelly - Green Valley	2011	Wholesale trade	1955
Bringelly - Green Valley	2016		2930
Bringelly - Green Valley	2016	Accommodation and food services	2400
Bringelly - Green Valley	2016	Administrative and support services	1430
Bringelly - Green Valley	2016	Agriculture forestry and fishing	734
Bringelly - Green Valley	2016	Arts and recreation services	427
Bringelly - Green Valley	2016	Construction	5222
Bringelly - Green Valley	2016	Education and training	2933
Bringelly - Green Valley	2016	Electricity gas water and waste services	380
Bringelly - Green Valley	2016	Financial and insurance services	1872
Bringelly - Green Valley	2016	Health care and social assistance	4372
Bringelly - Green Valley	2016	Information media and telecommunications	580
Bringelly - Green Valley	2016	Manufacturing	4250
Bringelly - Green Valley	2016	Mining	82
Bringelly - Green Valley	2016	Other services	1820
Bringelly - Green Valley	2016	Professional scientific and technical services	1949
Bringelly - Green Valley	2016	Public administration and safety	2189
Bringelly - Green Valley	2016	Rental hiring and real estate services	674
Bringelly - Green Valley	2016	Retail trade	4741
Bringelly - Green Valley	2016	Transport postal and warehousing	3340
Bringelly - Green Valley	2016	Wholesale trade	1696
Fairfield	2006		2885
Fairfield	2006	Accommodation and food services	3402
Fairfield	2006	Administrative and support services	2138
Fairfield	2006	Agriculture forestry and fishing	345
Fairfield	2006	Arts and recreation services	552
Fairfield	2006	Construction	5608
Fairfield	2006	Education and training	2363
Fairfield	2006	Electricity gas water and waste services	414
Fairfield	2006	Financial and insurance services	2722
Fairfield	2006	Health care and social assistance	4608
Fairfield	2006	Information media and telecommunications	1115
Fairfield	2006	Manufacturing	12488
Fairfield	2006	Mining	41
Fairfield	2006	Other services	2597
Fairfield	2006	Professional scientific and technical services	2813
Fairfield	2006	Public administration and safety	2360
Fairfield	2006	Rental hiring and real estate services	816
Fairfield	2006	Retail trade	7334
Fairfield	2006	Transport postal and warehousing	4004
Fairfield	2006	Wholesale trade	3762
Fairfield	2011		2825
Fairfield	2011	Accommodation and food services	3989
Fairfield	2011	Administrative and support services	2206
Fairfield	2011	Agriculture forestry and fishing	404
Fairfield	2011	Arts and recreation services	686
Fairfield	2011	Construction	5706
Fairfield	2011	Education and training	2803
Fairfield	2011	Electricity gas water and waste services	492
Fairfield	2011	Financial and insurance services	3010
Fairfield	2011	Health care and social assistance	5554
Fairfield	2011	Information media and telecommunications	1067
Fairfield	2011	Manufacturing	11558
Fairfield	2011	Mining	44
Fairfield	2011	Other services	2993
Fairfield	2011	Professional scientific and technical services	2983
Fairfield	2011	Public administration and safety	2603
Fairfield	2011	Rental hiring and real estate services	789
Fairfield	2011	Retail trade	7586
Fairfield	2011	Transport postal and warehousing	4313
Fairfield	2011	Wholesale trade	3584
Fairfield	2016		5740
Fairfield	2016	Accommodation and food services	4463
Fairfield	2016	Administrative and support services	2400
Fairfield	2016	Agriculture forestry and fishing	515
Fairfield	2016	Arts and recreation services	758
Fairfield	2016	Construction	7065
Fairfield	2016	Education and training	3621
Fairfield	2016	Electricity gas water and waste services	503
Fairfield	2016	Financial and insurance services	2904
Fairfield	2016	Health care and social assistance	6304
Fairfield	2016	Information media and telecommunications	982
Fairfield	2016	Manufacturing	8094
Fairfield	2016	Mining	92
Fairfield	2016	Other services	3303
Fairfield	2016	Professional scientific and technical services	3160
Fairfield	2016	Public administration and safety	2644
Fairfield	2016	Rental hiring and real estate services	939
Fairfield	2016	Retail trade	7542
Fairfield	2016	Transport postal and warehousing	4533
Fairfield	2016	Wholesale trade	2597
Liverpool	2006		1233
Liverpool	2006	Accommodation and food services	1987
Liverpool	2006	Administrative and support services	1388
Liverpool	2006	Agriculture forestry and fishing	109
Liverpool	2006	Arts and recreation services	473
Liverpool	2006	Construction	3137
Liverpool	2006	Education and training	2236
Liverpool	2006	Electricity gas water and waste services	299
Liverpool	2006	Financial and insurance services	1880
Liverpool	2006	Health care and social assistance	3584
Liverpool	2006	Information media and telecommunications	705
Liverpool	2006	Manufacturing	5747
Liverpool	2006	Mining	40
Liverpool	2006	Other services	1564
Liverpool	2006	Professional scientific and technical services	1937
Liverpool	2006	Public administration and safety	3442
Liverpool	2006	Rental hiring and real estate services	517
Liverpool	2006	Retail trade	4009
Liverpool	2006	Transport postal and warehousing	2960
Liverpool	2006	Wholesale trade	2211
Liverpool	2011		1375
Liverpool	2011	Accommodation and food services	2175
Liverpool	2011	Administrative and support services	1486
Liverpool	2011	Agriculture forestry and fishing	112
Liverpool	2011	Arts and recreation services	569
Liverpool	2011	Construction	3350
Liverpool	2011	Education and training	2750
Liverpool	2011	Electricity gas water and waste services	391
Liverpool	2011	Financial and insurance services	2124
Liverpool	2011	Health care and social assistance	4651
Liverpool	2011	Information media and telecommunications	746
Liverpool	2011	Manufacturing	5600
Liverpool	2011	Mining	40
Liverpool	2011	Other services	1569
Liverpool	2011	Professional scientific and technical services	2171
Liverpool	2011	Public administration and safety	3727
Liverpool	2011	Rental hiring and real estate services	556
Liverpool	2011	Retail trade	4175
Liverpool	2011	Transport postal and warehousing	3441
Liverpool	2011	Wholesale trade	2301
Liverpool	2016		2945
Liverpool	2016	Accommodation and food services	2687
Liverpool	2016	Administrative and support services	1702
Liverpool	2016	Agriculture forestry and fishing	137
Liverpool	2016	Arts and recreation services	682
Liverpool	2016	Construction	4220
Liverpool	2016	Education and training	3381
Liverpool	2016	Electricity gas water and waste services	384
Liverpool	2016	Financial and insurance services	2322
Liverpool	2016	Health care and social assistance	5932
Liverpool	2016	Information media and telecommunications	777
Liverpool	2016	Manufacturing	4126
Liverpool	2016	Mining	68
Liverpool	2016	Other services	1738
Liverpool	2016	Professional scientific and technical services	2547
Liverpool	2016	Public administration and safety	3625
Liverpool	2016	Rental hiring and real estate services	625
Liverpool	2016	Retail trade	4544
Liverpool	2016	Transport postal and warehousing	3779
Liverpool	2016	Wholesale trade	1840
Cronulla - Miranda - Caringbah	2006		1209
Cronulla - Miranda - Caringbah	2006	Accommodation and food services	2974
Cronulla - Miranda - Caringbah	2006	Administrative and support services	1507
Cronulla - Miranda - Caringbah	2006	Agriculture forestry and fishing	99
Cronulla - Miranda - Caringbah	2006	Arts and recreation services	792
Cronulla - Miranda - Caringbah	2006	Construction	4524
Cronulla - Miranda - Caringbah	2006	Education and training	3922
Cronulla - Miranda - Caringbah	2006	Electricity gas water and waste services	463
Cronulla - Miranda - Caringbah	2006	Financial and insurance services	2705
Cronulla - Miranda - Caringbah	2006	Health care and social assistance	4775
Cronulla - Miranda - Caringbah	2006	Information media and telecommunications	977
Cronulla - Miranda - Caringbah	2006	Manufacturing	4821
Cronulla - Miranda - Caringbah	2006	Mining	48
Cronulla - Miranda - Caringbah	2006	Other services	1966
Cronulla - Miranda - Caringbah	2006	Professional scientific and technical services	3948
Cronulla - Miranda - Caringbah	2006	Public administration and safety	3067
Cronulla - Miranda - Caringbah	2006	Rental hiring and real estate services	1225
Cronulla - Miranda - Caringbah	2006	Retail trade	5557
Cronulla - Miranda - Caringbah	2006	Transport postal and warehousing	3922
Cronulla - Miranda - Caringbah	2006	Wholesale trade	2653
Cronulla - Miranda - Caringbah	2011		1207
Cronulla - Miranda - Caringbah	2011	Accommodation and food services	3079
Cronulla - Miranda - Caringbah	2011	Administrative and support services	1653
Cronulla - Miranda - Caringbah	2011	Agriculture forestry and fishing	74
Cronulla - Miranda - Caringbah	2011	Arts and recreation services	868
Cronulla - Miranda - Caringbah	2011	Construction	5012
Cronulla - Miranda - Caringbah	2011	Education and training	4334
Cronulla - Miranda - Caringbah	2011	Electricity gas water and waste services	552
Cronulla - Miranda - Caringbah	2011	Financial and insurance services	2871
Cronulla - Miranda - Caringbah	2011	Health care and social assistance	5495
Cronulla - Miranda - Caringbah	2011	Information media and telecommunications	995
Cronulla - Miranda - Caringbah	2011	Manufacturing	4304
Cronulla - Miranda - Caringbah	2011	Mining	107
Cronulla - Miranda - Caringbah	2011	Other services	1955
Cronulla - Miranda - Caringbah	2011	Professional scientific and technical services	4474
Cronulla - Miranda - Caringbah	2011	Public administration and safety	3533
Cronulla - Miranda - Caringbah	2011	Rental hiring and real estate services	1195
Cronulla - Miranda - Caringbah	2011	Retail trade	5398
Cronulla - Miranda - Caringbah	2011	Transport postal and warehousing	3981
Cronulla - Miranda - Caringbah	2011	Wholesale trade	2629
Cronulla - Miranda - Caringbah	2016		2522
Cronulla - Miranda - Caringbah	2016	Accommodation and food services	3139
Cronulla - Miranda - Caringbah	2016	Administrative and support services	1827
Cronulla - Miranda - Caringbah	2016	Agriculture forestry and fishing	111
Cronulla - Miranda - Caringbah	2016	Arts and recreation services	1049
Cronulla - Miranda - Caringbah	2016	Construction	6058
Cronulla - Miranda - Caringbah	2016	Education and training	4808
Cronulla - Miranda - Caringbah	2016	Electricity gas water and waste services	494
Cronulla - Miranda - Caringbah	2016	Financial and insurance services	2932
Cronulla - Miranda - Caringbah	2016	Health care and social assistance	6186
Cronulla - Miranda - Caringbah	2016	Information media and telecommunications	988
Cronulla - Miranda - Caringbah	2016	Manufacturing	2978
Cronulla - Miranda - Caringbah	2016	Mining	119
Cronulla - Miranda - Caringbah	2016	Other services	2111
Cronulla - Miranda - Caringbah	2016	Professional scientific and technical services	4724
Cronulla - Miranda - Caringbah	2016	Public administration and safety	3493
Cronulla - Miranda - Caringbah	2016	Rental hiring and real estate services	1383
Cronulla - Miranda - Caringbah	2016	Retail trade	5152
Cronulla - Miranda - Caringbah	2016	Transport postal and warehousing	3843
Cronulla - Miranda - Caringbah	2016	Wholesale trade	1840
Sutherland - Menai - Heathcote	2006		1055
Sutherland - Menai - Heathcote	2006	Accommodation and food services	2843
Sutherland - Menai - Heathcote	2006	Administrative and support services	1583
Sutherland - Menai - Heathcote	2006	Agriculture forestry and fishing	79
Sutherland - Menai - Heathcote	2006	Arts and recreation services	739
Sutherland - Menai - Heathcote	2006	Construction	4344
Sutherland - Menai - Heathcote	2006	Education and training	4825
Sutherland - Menai - Heathcote	2006	Electricity gas water and waste services	675
Sutherland - Menai - Heathcote	2006	Financial and insurance services	3630
Sutherland - Menai - Heathcote	2006	Health care and social assistance	5289
Sutherland - Menai - Heathcote	2006	Information media and telecommunications	1159
Sutherland - Menai - Heathcote	2006	Manufacturing	5141
Sutherland - Menai - Heathcote	2006	Mining	60
Sutherland - Menai - Heathcote	2006	Other services	2326
Sutherland - Menai - Heathcote	2006	Professional scientific and technical services	4585
Sutherland - Menai - Heathcote	2006	Public administration and safety	3897
Sutherland - Menai - Heathcote	2006	Rental hiring and real estate services	1036
Sutherland - Menai - Heathcote	2006	Retail trade	5953
Sutherland - Menai - Heathcote	2006	Transport postal and warehousing	3953
Sutherland - Menai - Heathcote	2006	Wholesale trade	2874
Sutherland - Menai - Heathcote	2011		1087
Sutherland - Menai - Heathcote	2011	Accommodation and food services	2700
Sutherland - Menai - Heathcote	2011	Administrative and support services	1671
Sutherland - Menai - Heathcote	2011	Agriculture forestry and fishing	53
Sutherland - Menai - Heathcote	2011	Arts and recreation services	870
Sutherland - Menai - Heathcote	2011	Construction	4627
Sutherland - Menai - Heathcote	2011	Education and training	5369
Sutherland - Menai - Heathcote	2011	Electricity gas water and waste services	738
Sutherland - Menai - Heathcote	2011	Financial and insurance services	3469
Sutherland - Menai - Heathcote	2011	Health care and social assistance	5886
Sutherland - Menai - Heathcote	2011	Information media and telecommunications	1093
Sutherland - Menai - Heathcote	2011	Manufacturing	4468
Sutherland - Menai - Heathcote	2011	Mining	99
Sutherland - Menai - Heathcote	2011	Other services	2262
Sutherland - Menai - Heathcote	2011	Professional scientific and technical services	4916
Sutherland - Menai - Heathcote	2011	Public administration and safety	4008
Sutherland - Menai - Heathcote	2011	Rental hiring and real estate services	975
Sutherland - Menai - Heathcote	2011	Retail trade	5677
Sutherland - Menai - Heathcote	2011	Transport postal and warehousing	3806
Sutherland - Menai - Heathcote	2011	Wholesale trade	2644
Sutherland - Menai - Heathcote	2016		2084
Sutherland - Menai - Heathcote	2016	Accommodation and food services	2965
Sutherland - Menai - Heathcote	2016	Administrative and support services	1761
Sutherland - Menai - Heathcote	2016	Agriculture forestry and fishing	92
Sutherland - Menai - Heathcote	2016	Arts and recreation services	977
Sutherland - Menai - Heathcote	2016	Construction	5449
Sutherland - Menai - Heathcote	2016	Education and training	5719
Sutherland - Menai - Heathcote	2016	Electricity gas water and waste services	604
Sutherland - Menai - Heathcote	2016	Financial and insurance services	3359
Sutherland - Menai - Heathcote	2016	Health care and social assistance	6478
Sutherland - Menai - Heathcote	2016	Information media and telecommunications	1048
Sutherland - Menai - Heathcote	2016	Manufacturing	3083
Sutherland - Menai - Heathcote	2016	Mining	91
Sutherland - Menai - Heathcote	2016	Other services	2341
Sutherland - Menai - Heathcote	2016	Professional scientific and technical services	5033
Sutherland - Menai - Heathcote	2016	Public administration and safety	4120
Sutherland - Menai - Heathcote	2016	Rental hiring and real estate services	966
Sutherland - Menai - Heathcote	2016	Retail trade	5227
Sutherland - Menai - Heathcote	2016	Transport postal and warehousing	3454
Sutherland - Menai - Heathcote	2016	Wholesale trade	1812
Migratory - Offshore - Shipping (NSW)	2006		0
Migratory - Offshore - Shipping (NSW)	2006	Accommodation and food services	0
Migratory - Offshore - Shipping (NSW)	2006	Administrative and support services	0
Migratory - Offshore - Shipping (NSW)	2006	Agriculture forestry and fishing	0
Migratory - Offshore - Shipping (NSW)	2006	Arts and recreation services	0
Migratory - Offshore - Shipping (NSW)	2006	Construction	3
Migratory - Offshore - Shipping (NSW)	2006	Education and training	0
Migratory - Offshore - Shipping (NSW)	2006	Electricity gas water and waste services	0
Migratory - Offshore - Shipping (NSW)	2006	Financial and insurance services	0
Migratory - Offshore - Shipping (NSW)	2006	Health care and social assistance	0
Migratory - Offshore - Shipping (NSW)	2006	Information media and telecommunications	0
Migratory - Offshore - Shipping (NSW)	2006	Manufacturing	3
Migratory - Offshore - Shipping (NSW)	2006	Mining	0
Migratory - Offshore - Shipping (NSW)	2006	Other services	0
Migratory - Offshore - Shipping (NSW)	2006	Professional scientific and technical services	3
Migratory - Offshore - Shipping (NSW)	2006	Public administration and safety	18
Migratory - Offshore - Shipping (NSW)	2006	Rental hiring and real estate services	0
Migratory - Offshore - Shipping (NSW)	2006	Retail trade	0
Migratory - Offshore - Shipping (NSW)	2006	Transport postal and warehousing	21
Migratory - Offshore - Shipping (NSW)	2006	Wholesale trade	0
Migratory - Offshore - Shipping (NSW)	2011		0
Migratory - Offshore - Shipping (NSW)	2011	Accommodation and food services	0
Migratory - Offshore - Shipping (NSW)	2011	Administrative and support services	0
Migratory - Offshore - Shipping (NSW)	2011	Agriculture forestry and fishing	0
Migratory - Offshore - Shipping (NSW)	2011	Arts and recreation services	0
Migratory - Offshore - Shipping (NSW)	2011	Construction	0
Migratory - Offshore - Shipping (NSW)	2011	Education and training	0
Migratory - Offshore - Shipping (NSW)	2011	Electricity gas water and waste services	0
Migratory - Offshore - Shipping (NSW)	2011	Financial and insurance services	0
Migratory - Offshore - Shipping (NSW)	2011	Health care and social assistance	3
Migratory - Offshore - Shipping (NSW)	2011	Information media and telecommunications	0
Migratory - Offshore - Shipping (NSW)	2011	Manufacturing	3
Migratory - Offshore - Shipping (NSW)	2011	Mining	0
Migratory - Offshore - Shipping (NSW)	2011	Other services	0
Migratory - Offshore - Shipping (NSW)	2011	Professional scientific and technical services	0
Migratory - Offshore - Shipping (NSW)	2011	Public administration and safety	0
Migratory - Offshore - Shipping (NSW)	2011	Rental hiring and real estate services	0
Migratory - Offshore - Shipping (NSW)	2011	Retail trade	3
Migratory - Offshore - Shipping (NSW)	2011	Transport postal and warehousing	13
Migratory - Offshore - Shipping (NSW)	2011	Wholesale trade	0
Migratory - Offshore - Shipping (NSW)	2016		13
Migratory - Offshore - Shipping (NSW)	2016	Accommodation and food services	9
Migratory - Offshore - Shipping (NSW)	2016	Administrative and support services	7
Migratory - Offshore - Shipping (NSW)	2016	Agriculture forestry and fishing	4
Migratory - Offshore - Shipping (NSW)	2016	Arts and recreation services	3
Migratory - Offshore - Shipping (NSW)	2016	Construction	3
Migratory - Offshore - Shipping (NSW)	2016	Education and training	9
Migratory - Offshore - Shipping (NSW)	2016	Electricity gas water and waste services	0
Migratory - Offshore - Shipping (NSW)	2016	Financial and insurance services	8
Migratory - Offshore - Shipping (NSW)	2016	Health care and social assistance	18
Migratory - Offshore - Shipping (NSW)	2016	Information media and telecommunications	0
Migratory - Offshore - Shipping (NSW)	2016	Manufacturing	6
Migratory - Offshore - Shipping (NSW)	2016	Mining	0
Migratory - Offshore - Shipping (NSW)	2016	Other services	5
Migratory - Offshore - Shipping (NSW)	2016	Professional scientific and technical services	9
Migratory - Offshore - Shipping (NSW)	2016	Public administration and safety	3
Migratory - Offshore - Shipping (NSW)	2016	Rental hiring and real estate services	3
Migratory - Offshore - Shipping (NSW)	2016	Retail trade	16
Migratory - Offshore - Shipping (NSW)	2016	Transport postal and warehousing	4
Migratory - Offshore - Shipping (NSW)	2016	Wholesale trade	6
No usual address (NSW)	2006		175
No usual address (NSW)	2006	Accommodation and food services	356
No usual address (NSW)	2006	Administrative and support services	131
No usual address (NSW)	2006	Agriculture forestry and fishing	142
No usual address (NSW)	2006	Arts and recreation services	124
No usual address (NSW)	2006	Construction	279
No usual address (NSW)	2006	Education and training	165
No usual address (NSW)	2006	Electricity gas water and waste services	35
No usual address (NSW)	2006	Financial and insurance services	109
No usual address (NSW)	2006	Health care and social assistance	287
No usual address (NSW)	2006	Information media and telecommunications	82
No usual address (NSW)	2006	Manufacturing	280
No usual address (NSW)	2006	Mining	46
No usual address (NSW)	2006	Other services	105
No usual address (NSW)	2006	Professional scientific and technical services	218
No usual address (NSW)	2006	Public administration and safety	318
No usual address (NSW)	2006	Rental hiring and real estate services	41
No usual address (NSW)	2006	Retail trade	278
No usual address (NSW)	2006	Transport postal and warehousing	191
No usual address (NSW)	2006	Wholesale trade	140
No usual address (NSW)	2011		166
No usual address (NSW)	2011	Accommodation and food services	376
No usual address (NSW)	2011	Administrative and support services	135
No usual address (NSW)	2011	Agriculture forestry and fishing	142
No usual address (NSW)	2011	Arts and recreation services	112
No usual address (NSW)	2011	Construction	338
No usual address (NSW)	2011	Education and training	206
No usual address (NSW)	2011	Electricity gas water and waste services	30
No usual address (NSW)	2011	Financial and insurance services	102
No usual address (NSW)	2011	Health care and social assistance	336
No usual address (NSW)	2011	Information media and telecommunications	104
No usual address (NSW)	2011	Manufacturing	261
No usual address (NSW)	2011	Mining	67
No usual address (NSW)	2011	Other services	121
No usual address (NSW)	2011	Professional scientific and technical services	285
No usual address (NSW)	2011	Public administration and safety	271
No usual address (NSW)	2011	Rental hiring and real estate services	45
No usual address (NSW)	2011	Retail trade	256
No usual address (NSW)	2011	Transport postal and warehousing	175
No usual address (NSW)	2011	Wholesale trade	144
No usual address (NSW)	2016		248
No usual address (NSW)	2016	Accommodation and food services	389
No usual address (NSW)	2016	Administrative and support services	155
No usual address (NSW)	2016	Agriculture forestry and fishing	143
No usual address (NSW)	2016	Arts and recreation services	107
No usual address (NSW)	2016	Construction	389
No usual address (NSW)	2016	Education and training	185
No usual address (NSW)	2016	Electricity gas water and waste services	30
No usual address (NSW)	2016	Financial and insurance services	92
No usual address (NSW)	2016	Health care and social assistance	272
No usual address (NSW)	2016	Information media and telecommunications	62
No usual address (NSW)	2016	Manufacturing	173
No usual address (NSW)	2016	Mining	35
No usual address (NSW)	2016	Other services	109
No usual address (NSW)	2016	Professional scientific and technical services	222
No usual address (NSW)	2016	Public administration and safety	207
No usual address (NSW)	2016	Rental hiring and real estate services	51
No usual address (NSW)	2016	Retail trade	223
No usual address (NSW)	2016	Transport postal and warehousing	175
No usual address (NSW)	2016	Wholesale trade	63
Ballarat	2006		755
Ballarat	2006	Accommodation and food services	2708
Ballarat	2006	Administrative and support services	932
Ballarat	2006	Agriculture forestry and fishing	513
Ballarat	2006	Arts and recreation services	688
Ballarat	2006	Construction	3063
Ballarat	2006	Education and training	3737
Ballarat	2006	Electricity gas water and waste services	329
Ballarat	2006	Financial and insurance services	833
Ballarat	2006	Health care and social assistance	5404
Ballarat	2006	Information media and telecommunications	1057
Ballarat	2006	Manufacturing	5060
Ballarat	2006	Mining	177
Ballarat	2006	Other services	1379
Ballarat	2006	Professional scientific and technical services	1846
Ballarat	2006	Public administration and safety	2151
Ballarat	2006	Rental hiring and real estate services	500
Ballarat	2006	Retail trade	5228
Ballarat	2006	Transport postal and warehousing	1273
Ballarat	2006	Wholesale trade	1210
Ballarat	2011		771
Ballarat	2011	Accommodation and food services	3181
Ballarat	2011	Administrative and support services	1083
Ballarat	2011	Agriculture forestry and fishing	522
Ballarat	2011	Arts and recreation services	771
Ballarat	2011	Construction	3816
Ballarat	2011	Education and training	4215
Ballarat	2011	Electricity gas water and waste services	437
Ballarat	2011	Financial and insurance services	866
Ballarat	2011	Health care and social assistance	6615
Ballarat	2011	Information media and telecommunications	863
Ballarat	2011	Manufacturing	4707
Ballarat	2011	Mining	292
Ballarat	2011	Other services	1533
Ballarat	2011	Professional scientific and technical services	2399
Ballarat	2011	Public administration and safety	2591
Ballarat	2011	Rental hiring and real estate services	495
Ballarat	2011	Retail trade	5509
Ballarat	2011	Transport postal and warehousing	1547
Ballarat	2011	Wholesale trade	1093
Ballarat	2016		1521
Ballarat	2016	Accommodation and food services	3503
Ballarat	2016	Administrative and support services	1130
Ballarat	2016	Agriculture forestry and fishing	611
Ballarat	2016	Arts and recreation services	912
Ballarat	2016	Construction	4154
Ballarat	2016	Education and training	4986
Ballarat	2016	Electricity gas water and waste services	431
Ballarat	2016	Financial and insurance services	797
Ballarat	2016	Health care and social assistance	7734
Ballarat	2016	Information media and telecommunications	934
Ballarat	2016	Manufacturing	3664
Ballarat	2016	Mining	344
Ballarat	2016	Other services	1587
Ballarat	2016	Professional scientific and technical services	2432
Ballarat	2016	Public administration and safety	2785
Ballarat	2016	Rental hiring and real estate services	553
Ballarat	2016	Retail trade	5184
Ballarat	2016	Transport postal and warehousing	1587
Ballarat	2016	Wholesale trade	948
Creswick - Daylesford - Ballan	2006		335
Creswick - Daylesford - Ballan	2006	Accommodation and food services	805
Creswick - Daylesford - Ballan	2006	Administrative and support services	248
Creswick - Daylesford - Ballan	2006	Agriculture forestry and fishing	1101
Creswick - Daylesford - Ballan	2006	Arts and recreation services	152
Creswick - Daylesford - Ballan	2006	Construction	971
Creswick - Daylesford - Ballan	2006	Education and training	941
Creswick - Daylesford - Ballan	2006	Electricity gas water and waste services	92
Creswick - Daylesford - Ballan	2006	Financial and insurance services	147
Creswick - Daylesford - Ballan	2006	Health care and social assistance	1192
Creswick - Daylesford - Ballan	2006	Information media and telecommunications	184
Creswick - Daylesford - Ballan	2006	Manufacturing	1151
Creswick - Daylesford - Ballan	2006	Mining	51
Creswick - Daylesford - Ballan	2006	Other services	372
Creswick - Daylesford - Ballan	2006	Professional scientific and technical services	497
Creswick - Daylesford - Ballan	2006	Public administration and safety	625
Creswick - Daylesford - Ballan	2006	Rental hiring and real estate services	118
Creswick - Daylesford - Ballan	2006	Retail trade	1015
Creswick - Daylesford - Ballan	2006	Transport postal and warehousing	601
Creswick - Daylesford - Ballan	2006	Wholesale trade	373
Creswick - Daylesford - Ballan	2011		298
Creswick - Daylesford - Ballan	2011	Accommodation and food services	920
Creswick - Daylesford - Ballan	2011	Administrative and support services	290
Creswick - Daylesford - Ballan	2011	Agriculture forestry and fishing	1010
Creswick - Daylesford - Ballan	2011	Arts and recreation services	218
Creswick - Daylesford - Ballan	2011	Construction	1167
Creswick - Daylesford - Ballan	2011	Education and training	1038
Creswick - Daylesford - Ballan	2011	Electricity gas water and waste services	136
Creswick - Daylesford - Ballan	2011	Financial and insurance services	167
Creswick - Daylesford - Ballan	2011	Health care and social assistance	1488
Creswick - Daylesford - Ballan	2011	Information media and telecommunications	159
Creswick - Daylesford - Ballan	2011	Manufacturing	1069
Creswick - Daylesford - Ballan	2011	Mining	78
Creswick - Daylesford - Ballan	2011	Other services	396
Creswick - Daylesford - Ballan	2011	Professional scientific and technical services	654
Creswick - Daylesford - Ballan	2011	Public administration and safety	790
Creswick - Daylesford - Ballan	2011	Rental hiring and real estate services	149
Creswick - Daylesford - Ballan	2011	Retail trade	1117
Creswick - Daylesford - Ballan	2011	Transport postal and warehousing	653
Creswick - Daylesford - Ballan	2011	Wholesale trade	351
Creswick - Daylesford - Ballan	2016		590
Creswick - Daylesford - Ballan	2016	Accommodation and food services	938
Creswick - Daylesford - Ballan	2016	Administrative and support services	385
Creswick - Daylesford - Ballan	2016	Agriculture forestry and fishing	1023
Creswick - Daylesford - Ballan	2016	Arts and recreation services	269
Creswick - Daylesford - Ballan	2016	Construction	1233
Creswick - Daylesford - Ballan	2016	Education and training	1084
Creswick - Daylesford - Ballan	2016	Electricity gas water and waste services	130
Creswick - Daylesford - Ballan	2016	Financial and insurance services	170
Creswick - Daylesford - Ballan	2016	Health care and social assistance	1620
Creswick - Daylesford - Ballan	2016	Information media and telecommunications	167
Creswick - Daylesford - Ballan	2016	Manufacturing	842
Creswick - Daylesford - Ballan	2016	Mining	89
Creswick - Daylesford - Ballan	2016	Other services	410
Creswick - Daylesford - Ballan	2016	Professional scientific and technical services	668
Creswick - Daylesford - Ballan	2016	Public administration and safety	789
Creswick - Daylesford - Ballan	2016	Rental hiring and real estate services	150
Creswick - Daylesford - Ballan	2016	Retail trade	983
Creswick - Daylesford - Ballan	2016	Transport postal and warehousing	611
Creswick - Daylesford - Ballan	2016	Wholesale trade	257
Maryborough - Pyrenees	2006		218
Maryborough - Pyrenees	2006	Accommodation and food services	404
Maryborough - Pyrenees	2006	Administrative and support services	141
Maryborough - Pyrenees	2006	Agriculture forestry and fishing	1195
Maryborough - Pyrenees	2006	Arts and recreation services	97
Maryborough - Pyrenees	2006	Construction	564
Maryborough - Pyrenees	2006	Education and training	557
Maryborough - Pyrenees	2006	Electricity gas water and waste services	65
Maryborough - Pyrenees	2006	Financial and insurance services	90
Maryborough - Pyrenees	2006	Health care and social assistance	879
Maryborough - Pyrenees	2006	Information media and telecommunications	170
Maryborough - Pyrenees	2006	Manufacturing	1422
Maryborough - Pyrenees	2006	Mining	57
Maryborough - Pyrenees	2006	Other services	262
Maryborough - Pyrenees	2006	Professional scientific and technical services	200
Maryborough - Pyrenees	2006	Public administration and safety	458
Maryborough - Pyrenees	2006	Rental hiring and real estate services	67
Maryborough - Pyrenees	2006	Retail trade	947
Maryborough - Pyrenees	2006	Transport postal and warehousing	408
Maryborough - Pyrenees	2006	Wholesale trade	212
Maryborough - Pyrenees	2011		189
Maryborough - Pyrenees	2011	Accommodation and food services	472
Maryborough - Pyrenees	2011	Administrative and support services	192
Maryborough - Pyrenees	2011	Agriculture forestry and fishing	1062
Maryborough - Pyrenees	2011	Arts and recreation services	112
