SA3_NAME16	Year	Sex	employmentToPopulation
Blue Mountains - South	2006	F	0
Blue Mountains - South	2006	M	0
Blue Mountains - South	2011	F	0
Blue Mountains - South	2011	M	0
Blue Mountains - South	2016	F	0
Blue Mountains - South	2016	M	0
Penrith	2006	F	57.5
Penrith	2006	M	71.8
Penrith	2011	F	57.9
Penrith	2011	M	70.1
Penrith	2016	F	58
Penrith	2016	M	68.3
Richmond - Windsor	2006	F	53.4
Richmond - Windsor	2006	M	66.8
Richmond - Windsor	2011	F	54.3
Richmond - Windsor	2011	M	65.9
Richmond - Windsor	2016	F	53.3
Richmond - Windsor	2016	M	62.9
St Marys	2006	F	53.6
St Marys	2006	M	68.4
St Marys	2011	F	54.2
St Marys	2011	M	67
St Marys	2016	F	53
St Marys	2016	M	65
Auburn	2006	F	38.6
Auburn	2006	M	51
Auburn	2011	F	41.8
Auburn	2011	M	55.2
Auburn	2016	F	44.9
Auburn	2016	M	56.9
Carlingford	2006	F	50.8
Carlingford	2006	M	62.2
Carlingford	2011	F	51.4
Carlingford	2011	M	61.7
Carlingford	2016	F	51.1
Carlingford	2016	M	61.4
Merrylands - Guildford	2006	F	41.3
Merrylands - Guildford	2006	M	55.9
Merrylands - Guildford	2011	F	41.4
Merrylands - Guildford	2011	M	56
Merrylands - Guildford	2016	F	41.7
Merrylands - Guildford	2016	M	54.8
Parramatta	2006	F	50.3
Parramatta	2006	M	63.5
Parramatta	2011	F	50.9
Parramatta	2011	M	64.8
Parramatta	2016	F	50.9
Parramatta	2016	M	65.4
Pennant Hills - Epping	2006	F	55.1
Pennant Hills - Epping	2006	M	66.7
Pennant Hills - Epping	2011	F	55
Pennant Hills - Epping	2011	M	66.1
Pennant Hills - Epping	2016	F	54.9
Pennant Hills - Epping	2016	M	64.3
Ryde - Hunters Hill	2006	F	52.4
Ryde - Hunters Hill	2006	M	62.7
Ryde - Hunters Hill	2011	F	53.1
Ryde - Hunters Hill	2011	M	63.6
Ryde - Hunters Hill	2016	F	54
Ryde - Hunters Hill	2016	M	62.9
Bringelly - Green Valley	2006	F	46.5
Bringelly - Green Valley	2006	M	63.5
