SA3_NAME16	Year	medianRentWeekly
Fremantle	2016	365
Kwinana	2016	325
Melville	2016	400
Rockingham	2016	350
Albany	2016	240
Wheat Belt - North	2016	183
Wheat Belt - South	2016	165
Kimberley	2016	183
East Pilbara	2016	150
West Pilbara	2016	150
Esperance	2016	230
Gascoyne	2016	220
Goldfields	2016	250
Mid West	2016	249
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Brighton	2016	215
Hobart - North East	2016	265
Hobart - North West	2016	240
Hobart - South and West	2016	300
Hobart Inner	2016	290
Sorell - Dodges Ferry	2016	260
Launceston	2016	230
Meander Valley - West Tamar	2016	200
North East	2016	180
Central Highlands (Tas.)	2016	150
Huon - Bruny Island	2016	225
South East Coast	2016	190
Burnie - Ulverstone	2016	200
Devonport	2016	220
West Coast	2016	150
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin City	2016	470
Darwin Suburbs	2016	390
Litchfield	2016	390
Palmerston	2016	430
Alice Springs	2016	180
Barkly	2016	100
Daly - Tiwi - West Arnhem	2016	55
East Arnhem	2016	45
Katherine	2016	130
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Belconnen	2016	370
Canberra East	2016	223
Gungahlin	2016	390
North Canberra	2016	390
South Canberra	2016	420
Tuggeranong	2016	380
Weston Creek	2016	360
Woden Valley	2016	365
Molonglo	2016	400
Urriarra - Namadgi	2016	270
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Christmas Island	2016	134
Cocos (Keeling) Islands	2016	185
Jervis Bay	2016	85
Norfolk Island	2016	140
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
