SA3_NAME16	Year	medianAgeOfPersons
Fremantle	2016	42
Kwinana	2016	32
Melville	2016	41
Rockingham	2016	34
Albany	2016	44
Wheat Belt - North	2016	45
Wheat Belt - South	2016	44
Kimberley	2016	32
East Pilbara	2016	32
West Pilbara	2016	33
Esperance	2016	40
Gascoyne	2016	38
Goldfields	2016	33
Mid West	2016	40
Migratory - Offshore - Shipping (WA)	2016	40
No usual address (WA)	2016	41
Brighton	2016	35
Hobart - North East	2016	42
Hobart - North West	2016	40
Hobart - South and West	2016	41
Hobart Inner	2016	39
Sorell - Dodges Ferry	2016	43
Launceston	2016	40
Meander Valley - West Tamar	2016	47
North East	2016	48
Central Highlands (Tas.)	2016	45
Huon - Bruny Island	2016	47
South East Coast	2016	56
Burnie - Ulverstone	2016	44
Devonport	2016	45
West Coast	2016	43
Migratory - Offshore - Shipping (Tas.)	2016	41
No usual address (Tas.)	2016	38
Darwin City	2016	34
Darwin Suburbs	2016	34
Litchfield	2016	37
Palmerston	2016	30
Alice Springs	2016	33
Barkly	2016	29
Daly - Tiwi - West Arnhem	2016	30
East Arnhem	2016	27
Katherine	2016	29
Migratory - Offshore - Shipping (NT)	2016	36
No usual address (NT)	2016	44
Belconnen	2016	35
Canberra East	2016	41
Gungahlin	2016	31
North Canberra	2016	31
South Canberra	2016	40
Tuggeranong	2016	37
Weston Creek	2016	41
Woden Valley	2016	40
Molonglo	2016	30
Urriarra - Namadgi	2016	34
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	36
Christmas Island	2016	38
Cocos (Keeling) Islands	2016	42
Jervis Bay	2016	32
Norfolk Island	2016	49
Migratory - Offshore - Shipping (OT)	2016	39
No usual address (OT)	2016	42
