SA3_NAME16	Year	medianTotalHouseholdIncomeWeekly
Adelaide Hills	2016	1552
Burnside	2016	1712
Campbelltown (SA)	2016	1252
Norwood - Payneham - St Peters	2016	1304
Prospect - Walkerville	2016	1600
Unley	2016	1631
Gawler - Two Wells	2016	1248
Playford	2016	1005
Port Adelaide - East	2016	1182
Salisbury	2016	1149
Tea Tree Gully	2016	1382
Holdfast Bay	2016	1359
Marion	2016	1260
Mitcham	2016	1592
Onkaparinga	2016	1195
Charles Sturt	2016	1225
Port Adelaide - West	2016	1095
West Torrens	2016	1224
Barossa	2016	1261
Lower North	2016	1026
Mid North	2016	913
Yorke Peninsula	2016	870
Eyre Peninsula and South West	2016	1084
Outback - North and East	2016	1217
Fleurieu - Kangaroo Island	2016	934
Limestone Coast	2016	1109
Murray and Mallee	2016	965
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Augusta - Margaret River - Busselton	2016	1294
Bunbury	2016	1392
Manjimup	2016	1099
Mandurah	2016	1167
Cottesloe - Claremont	2016	2348
Perth City	2016	1887
Bayswater - Bassendean	2016	1502
Mundaring	2016	1584
Swan	2016	1638
Joondalup	2016	1950
Stirling	2016	1553
Wanneroo	2016	1692
Armadale	2016	1494
Belmont - Victoria Park	2016	1515
Canning	2016	1520
Gosnells	2016	1479
Kalamunda	2016	1656
Serpentine - Jarrahdale	2016	1854
South Perth	2016	1772
Cockburn	2016	1739
Fremantle	2016	1656
Kwinana	2016	1468
Melville	2016	1841
Rockingham	2016	1550
Albany	2016	1175
Wheat Belt - North	2016	1199
Wheat Belt - South	2016	1218
Kimberley	2016	1455
East Pilbara	2016	2374
West Pilbara	2016	2423
Esperance	2016	1334
Gascoyne	2016	1179
Goldfields	2016	1932
Mid West	2016	1254
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Brighton	2016	1123
Hobart - North East	2016	1297
Hobart - North West	2016	1010
Hobart - South and West	2016	1401
Hobart Inner	2016	1435
Sorell - Dodges Ferry	2016	1155
Launceston	2016	1077
Meander Valley - West Tamar	2016	975
North East	2016	921
Central Highlands (Tas.)	2016	1007
Huon - Bruny Island	2016	1002
South East Coast	2016	841
Burnie - Ulverstone	2016	963
Devonport	2016	1001
West Coast	2016	1061
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin City	2016	2286
Darwin Suburbs	2016	2040
Litchfield	2016	2102
Palmerston	2016	2194
Alice Springs	2016	1667
Barkly	2016	1277
Daly - Tiwi - West Arnhem	2016	1174
East Arnhem	2016	1926
Katherine	2016	1394
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Belconnen	2016	1910
Canberra East	2016	990
Gungahlin	2016	2243
North Canberra	2016	1977
South Canberra	2016	2334
Tuggeranong	2016	2047
Weston Creek	2016	2056
Woden Valley	2016	2039
Molonglo	2016	2311
Urriarra - Namadgi	2016	2609
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Christmas Island	2016	2084
Cocos (Keeling) Islands	2016	1921
Jervis Bay	2016	1483
Norfolk Island	2016	1023
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
