SA3_NAME16	Year	averageNumberOfPersonsPerBedroom
Brisbane Inner	2016	1
Brisbane Inner - East	2016	0.9
Brisbane Inner - North	2016	0.9
Brisbane Inner - West	2016	0.9
Cairns - North	2016	0.8
Cairns - South	2016	0.9
Innisfail - Cassowary Coast	2016	0.9
Port Douglas - Daintree	2016	0.8
Tablelands (East) - Kuranda	2016	0.8
Darling Downs (West) - Maranoa	2016	0.8
Darling Downs - East	2016	0.8
Granite Belt	2016	0.8
Central Highlands (Qld)	2016	0.8
Rockhampton	2016	0.8
Biloela	2016	0.8
Gladstone	2016	0.8
Broadbeach - Burleigh	2016	0.8
Coolangatta	2016	0.8
Gold Coast - North	2016	0.8
Gold Coast Hinterland	2016	0.8
Mudgeeraba - Tallebudgera	2016	0.8
Nerang	2016	0.8
Ormeau - Oxenford	2016	0.8
Robina	2016	0.8
Southport	2016	0.9
Surfers Paradise	2016	1
Forest Lake - Oxley	2016	0.9
Ipswich Hinterland	2016	0.8
Ipswich Inner	2016	0.8
Springfield - Redbank	2016	0.8
Beaudesert	2016	0.8
Beenleigh	2016	0.8
Browns Plains	2016	0.9
Jimboomba	2016	0.8
Loganlea - Carbrook	2016	0.8
Springwood - Kingston	2016	0.9
Bowen Basin - North	2016	0.8
Mackay	2016	0.8
Whitsunday	2016	0.8
Bribie - Beachmere	2016	0.7
Caboolture	2016	0.8
Caboolture Hinterland	2016	0.8
Narangba - Burpengary	2016	0.8
Redcliffe	2016	0.8
The Hills District	2016	0.8
North Lakes	2016	0.8
Strathpine	2016	0.8
Far North	2016	1.1
Outback - North	2016	0.9
Outback - South	2016	0.8
Buderim	2016	0.8
Caloundra	2016	0.8
Maroochy	2016	0.8
Noosa	2016	0.8
Sunshine Coast Hinterland	2016	0.8
Nambour	2016	0.8
Noosa Hinterland	2016	0.8
Toowoomba	2016	0.8
Charters Towers - Ayr - Ingham	2016	0.8
Townsville	2016	0.8
Bundaberg	2016	0.8
Burnett	2016	0.8
Gympie - Cooloola	2016	0.8
Hervey Bay	2016	0.7
Maryborough	2016	0.8
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide City	2016	0.9
Adelaide Hills	2016	0.8
Burnside	2016	0.8
Campbelltown (SA)	2016	0.8
Norwood - Payneham - St Peters	2016	0.8
Prospect - Walkerville	2016	0.9
Unley	2016	0.9
Gawler - Two Wells	2016	0.8
Playford	2016	0.8
Port Adelaide - East	2016	0.8
Salisbury	2016	0.8
Tea Tree Gully	2016	0.8
Holdfast Bay	2016	0.8
Marion	2016	0.8
Mitcham	2016	0.8
Onkaparinga	2016	0.8
Charles Sturt	2016	0.8
Port Adelaide - West	2016	0.8
West Torrens	2016	0.9
Barossa	2016	0.8
Lower North	2016	0.7
Mid North	2016	0.7
Yorke Peninsula	2016	0.7
Eyre Peninsula and South West	2016	0.8
Outback - North and East	2016	0.8
Fleurieu - Kangaroo Island	2016	0.7
Limestone Coast	2016	0.8
Murray and Mallee	2016	0.8
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Augusta - Margaret River - Busselton	2016	0.8
Bunbury	2016	0.7
Manjimup	2016	0.7
Mandurah	2016	0.7
Cottesloe - Claremont	2016	0.8
Perth City	2016	0.9
Bayswater - Bassendean	2016	0.8
Mundaring	2016	0.8
Swan	2016	0.8
Joondalup	2016	0.7
Stirling	2016	0.8
Wanneroo	2016	0.8
Armadale	2016	0.8
Belmont - Victoria Park	2016	0.8
Canning	2016	0.8
Gosnells	2016	0.8
Kalamunda	2016	0.7
Serpentine - Jarrahdale	2016	0.8
South Perth	2016	0.8
Cockburn	2016	0.8
Fremantle	2016	0.8
Kwinana	2016	0.8
Melville	2016	0.7
Rockingham	2016	0.7
Albany	2016	0.8
Wheat Belt - North	2016	0.7
Wheat Belt - South	2016	0.7
Kimberley	2016	1
East Pilbara	2016	0.9
West Pilbara	2016	0.9
Esperance	2016	0.8
Gascoyne	2016	0.9
Goldfields	2016	0.8
Mid West	2016	0.8
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Brighton	2016	0.8
Hobart - North East	2016	0.8
Hobart - North West	2016	0.8
Hobart - South and West	2016	0.8
Hobart Inner	2016	0.8
Sorell - Dodges Ferry	2016	0.8
Launceston	2016	0.8
Meander Valley - West Tamar	2016	0.8
North East	2016	0.8
Central Highlands (Tas.)	2016	0.8
Huon - Bruny Island	2016	0.8
South East Coast	2016	0.8
Burnie - Ulverstone	2016	0.8
Devonport	2016	0.8
West Coast	2016	0.8
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin City	2016	0.9
Darwin Suburbs	2016	1
Litchfield	2016	1.1
Palmerston	2016	0.9
Alice Springs	2016	1.1
Barkly	2016	1.2
Daly - Tiwi - West Arnhem	2016	1.4
East Arnhem	2016	1.5
Katherine	2016	1.3
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Belconnen	2016	0.8
Canberra East	2016	0.9
Gungahlin	2016	0.9
North Canberra	2016	0.9
South Canberra	2016	0.8
Tuggeranong	2016	0.8
Weston Creek	2016	0.7
Woden Valley	2016	0.8
Molonglo	2016	0.9
Urriarra - Namadgi	2016	0.9
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Christmas Island	2016	1
Cocos (Keeling) Islands	2016	1
Jervis Bay	2016	0.9
Norfolk Island	2016	0.8
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
