SA3_NAME16	Year	medianTotalFamilyIncomeWeekly
Nambour	2016	1449
Noosa Hinterland	2016	1380
Toowoomba	2016	1583
Charters Towers - Ayr - Ingham	2016	1380
Townsville	2016	1705
Bundaberg	2016	1201
Burnett	2016	1110
Gympie - Cooloola	2016	1132
Hervey Bay	2016	1107
Maryborough	2016	1066
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide City	2016	2026
Adelaide Hills	2016	1872
Burnside	2016	2320
Campbelltown (SA)	2016	1614
Norwood - Payneham - St Peters	2016	1920
Prospect - Walkerville	2016	2154
Unley	2016	2289
Gawler - Two Wells	2016	1550
Playford	2016	1208
Port Adelaide - East	2016	1436
Salisbury	2016	1327
Tea Tree Gully	2016	1685
Holdfast Bay	2016	1995
Marion	2016	1624
Mitcham	2016	2070
Onkaparinga	2016	1451
Charles Sturt	2016	1600
Port Adelaide - West	2016	1410
West Torrens	2016	1627
Barossa	2016	1551
Lower North	2016	1298
Mid North	2016	1219
Yorke Peninsula	2016	1127
Eyre Peninsula and South West	2016	1399
Outback - North and East	2016	1474
Fleurieu - Kangaroo Island	2016	1168
Limestone Coast	2016	1406
Murray and Mallee	2016	1222
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Augusta - Margaret River - Busselton	2016	1565
Bunbury	2016	1695
Manjimup	2016	1364
Mandurah	2016	1437
Cottesloe - Claremont	2016	3387
Perth City	2016	2485
Bayswater - Bassendean	2016	1875
Mundaring	2016	1896
Swan	2016	1826
Joondalup	2016	2229
Stirling	2016	1983
Wanneroo	2016	1874
Armadale	2016	1719
Belmont - Victoria Park	2016	1855
Canning	2016	1780
Gosnells	2016	1656
Kalamunda	2016	1932
Serpentine - Jarrahdale	2016	1949
South Perth	2016	2385
Cockburn	2016	2028
Fremantle	2016	2272
Kwinana	2016	1669
Melville	2016	2286
Rockingham	2016	1812
Albany	2016	1451
Wheat Belt - North	2016	1498
Wheat Belt - South	2016	1554
Kimberley	2016	1759
East Pilbara	2016	2854
West Pilbara	2016	2936
Esperance	2016	1694
Gascoyne	2016	1687
Goldfields	2016	2260
Mid West	2016	1585
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Brighton	2016	1319
Hobart - North East	2016	1640
Hobart - North West	2016	1306
Hobart - South and West	2016	1739
Hobart Inner	2016	2021
Sorell - Dodges Ferry	2016	1417
Launceston	2016	1409
Meander Valley - West Tamar	2016	1231
North East	2016	1195
Central Highlands (Tas.)	2016	1247
Huon - Bruny Island	2016	1250
South East Coast	2016	1027
Burnie - Ulverstone	2016	1263
Devonport	2016	1252
West Coast	2016	1361
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin City	2016	2692
Darwin Suburbs	2016	2272
Litchfield	2016	2404
Palmerston	2016	2373
Alice Springs	2016	1884
Barkly	2016	1102
Daly - Tiwi - West Arnhem	2016	784
East Arnhem	2016	1137
Katherine	2016	1263
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Belconnen	2016	2285
Canberra East	2016	1912
Gungahlin	2016	2453
North Canberra	2016	2645
South Canberra	2016	3178
Tuggeranong	2016	2340
Weston Creek	2016	2523
Woden Valley	2016	2554
Molonglo	2016	2727
Urriarra - Namadgi	2016	2847
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Christmas Island	2016	2389
Cocos (Keeling) Islands	2016	1375
Jervis Bay	2016	1424
Norfolk Island	2016	1290
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
