SA3_NAME16	Year	employmentToPopulation
Rockingham	2016	56.4
Albany	2006	57.5
Albany	2011	56.7
Albany	2016	53.8
Wheat Belt - North	2006	58
Wheat Belt - North	2011	57.3
Wheat Belt - North	2016	52.5
Wheat Belt - South	2006	63.5
Wheat Belt - South	2011	61.8
Wheat Belt - South	2016	56.4
Kimberley	2006	59.3
Kimberley	2011	54.9
Kimberley	2016	52.5
East Pilbara	2006	58.9
East Pilbara	2011	65.6
East Pilbara	2016	64.4
West Pilbara	2006	68.4
West Pilbara	2011	68
West Pilbara	2016	69.2
Esperance	2006	62.7
Esperance	2011	61.3
Esperance	2016	56.2
Gascoyne	2006	61.9
Gascoyne	2011	59.4
Gascoyne	2016	56.4
Goldfields	2006	65.1
Goldfields	2011	64
Goldfields	2016	60.7
Mid West	2006	57
Mid West	2011	59.2
Mid West	2016	53.8
Migratory - Offshore - Shipping (WA)	2006	88.5
Migratory - Offshore - Shipping (WA)	2011	79.9
Migratory - Offshore - Shipping (WA)	2016	78.8
No usual address (WA)	2006	40.8
No usual address (WA)	2011	38.8
No usual address (WA)	2016	31.8
Brighton	2006	51.6
Brighton	2011	53.2
Brighton	2016	52.8
Hobart - North East	2006	55
Hobart - North East	2011	56.2
Hobart - North East	2016	54.5
Hobart - North West	2006	50.5
Hobart - North West	2011	52.2
Hobart - North West	2016	50.3
Hobart - South and West	2006	60
Hobart - South and West	2011	60.8
Hobart - South and West	2016	57.9
Hobart Inner	2006	58.5
Hobart Inner	2011	58.9
Hobart Inner	2016	56.2
Sorell - Dodges Ferry	2006	56
Sorell - Dodges Ferry	2011	56.8
Sorell - Dodges Ferry	2016	54.3
Launceston	2006	54.5
Launceston	2011	55.3
Launceston	2016	52.4
Meander Valley - West Tamar	2006	52.6
Meander Valley - West Tamar	2011	52.7
Meander Valley - West Tamar	2016	49.3
North East	2006	50.7
North East	2011	50
North East	2016	46.7
Central Highlands (Tas.)	2006	51.6
Central Highlands (Tas.)	2011	51.7
Central Highlands (Tas.)	2016	50.4
Huon - Bruny Island	2006	50.3
Huon - Bruny Island	2011	50.9
Huon - Bruny Island	2016	47.7
South East Coast	2006	47.1
South East Coast	2011	45
South East Coast	2016	41.2
Burnie - Ulverstone	2006	49.7
Burnie - Ulverstone	2011	50.5
Burnie - Ulverstone	2016	48.4
Devonport	2006	51.4
Devonport	2011	51.6
Devonport	2016	49
West Coast	2006	58.4
West Coast	2011	57.8
West Coast	2016	53.5
Migratory - Offshore - Shipping (Tas.)	2006	87.6
Migratory - Offshore - Shipping (Tas.)	2011	68.2
Migratory - Offshore - Shipping (Tas.)	2016	64.4
No usual address (Tas.)	2006	35.7
No usual address (Tas.)	2011	30.7
No usual address (Tas.)	2016	29.7
Darwin City	2006	66.8
Darwin City	2011	67.8
Darwin City	2016	68.3
Darwin Suburbs	2006	65.4
Darwin Suburbs	2011	63.5
Darwin Suburbs	2016	64
Litchfield	2006	66.2
Litchfield	2011	65.7
Litchfield	2016	59.7
Palmerston	2006	66.9
Palmerston	2011	70.4
Palmerston	2016	69.1
Alice Springs	2006	57.7
Alice Springs	2011	58.3
Alice Springs	2016	54.1
Barkly	2006	44
Barkly	2011	43.6
Barkly	2016	42.3
Daly - Tiwi - West Arnhem	2006	44
Daly - Tiwi - West Arnhem	2011	44.8
Daly - Tiwi - West Arnhem	2016	33
East Arnhem	2006	50.7
East Arnhem	2011	50
East Arnhem	2016	38.2
Katherine	2006	52.5
Katherine	2011	53.5
Katherine	2016	44.2
Migratory - Offshore - Shipping (NT)	2006	74.5
Migratory - Offshore - Shipping (NT)	2011	77.6
Migratory - Offshore - Shipping (NT)	2016	40.3
No usual address (NT)	2006	33.7
No usual address (NT)	2011	33.9
No usual address (NT)	2016	25.1
Belconnen	2006	67.1
Belconnen	2011	65.6
Belconnen	2016	61.6
Canberra East	2006	60.1
Canberra East	2011	45.2
Canberra East	2016	34.7
Gungahlin	2006	74.6
Gungahlin	2011	75.4
Gungahlin	2016	71.9
North Canberra	2006	61.4
North Canberra	2011	62.3
North Canberra	2016	60.1
South Canberra	2006	63.2
South Canberra	2011	64.8
South Canberra	2016	62.1
Tuggeranong	2006	72.1
Tuggeranong	2011	72.1
Tuggeranong	2016	65.6
Weston Creek	2006	65.3
Weston Creek	2011	63.7
Weston Creek	2016	58.5
Woden Valley	2006	61.7
Woden Valley	2011	63
Woden Valley	2016	59.4
Molonglo	2006	0
Molonglo	2011	60
Molonglo	2016	78.5
Urriarra - Namadgi	2006	78.2
Urriarra - Namadgi	2011	78.8
Urriarra - Namadgi	2016	72.2
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2006	51.8
No usual address (ACT)	2011	47.4
No usual address (ACT)	2016	41.1
Christmas Island	2006	65.8
Christmas Island	2011	44.8
Christmas Island	2016	53.8
Cocos (Keeling) Islands	2006	52
Cocos (Keeling) Islands	2011	53.3
Cocos (Keeling) Islands	2016	53
Jervis Bay	2006	55.8
Jervis Bay	2011	44.1
Jervis Bay	2016	41.3
Norfolk Island	2006	0
Norfolk Island	2011	0
Norfolk Island	2016	67.2
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	66.7
No usual address (OT)	2006	64
No usual address (OT)	2011	112.5
No usual address (OT)	2016	37
