SA3_NAME16	Year	medianTotalPersonalIncomeWeekly
Kalamunda	2016	732
Serpentine - Jarrahdale	2016	773
South Perth	2016	838
Cockburn	2016	761
Fremantle	2016	810
Kwinana	2016	684
Melville	2016	757
Rockingham	2016	682
Albany	2016	613
Wheat Belt - North	2016	617
Wheat Belt - South	2016	672
Kimberley	2016	748
East Pilbara	2016	1554
West Pilbara	2016	1763
Esperance	2016	682
Gascoyne	2016	717
Goldfields	2016	938
Mid West	2016	655
Migratory - Offshore - Shipping (WA)	2016	2654
No usual address (WA)	2016	434
Brighton	2016	573
Hobart - North East	2016	672
Hobart - North West	2016	552
Hobart - South and West	2016	686
Hobart Inner	2016	718
Sorell - Dodges Ferry	2016	595
Launceston	2016	573
Meander Valley - West Tamar	2016	495
North East	2016	491
Central Highlands (Tas.)	2016	509
Huon - Bruny Island	2016	502
South East Coast	2016	486
Burnie - Ulverstone	2016	515
Devonport	2016	522
West Coast	2016	550
Migratory - Offshore - Shipping (Tas.)	2016	1089
No usual address (Tas.)	2016	385
Darwin City	2016	1195
Darwin Suburbs	2016	956
Litchfield	2016	1090
Palmerston	2016	1056
Alice Springs	2016	788
Barkly	2016	441
Daly - Tiwi - West Arnhem	2016	299
East Arnhem	2016	317
Katherine	2016	531
Migratory - Offshore - Shipping (NT)	2016	700
No usual address (NT)	2016	449
Belconnen	2016	919
Canberra East	2016	713
Gungahlin	2016	1052
North Canberra	2016	925
South Canberra	2016	1376
Tuggeranong	2016	955
Weston Creek	2016	1020
Woden Valley	2016	1044
Molonglo	2016	1340
Urriarra - Namadgi	2016	1090
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	447
Christmas Island	2016	1164
Cocos (Keeling) Islands	2016	563
Jervis Bay	2016	629
Norfolk Island	2016	592
Migratory - Offshore - Shipping (OT)	2016	1833
No usual address (OT)	2016	412
