SA3_NAME16	Year	adults
Rocklea - Acacia Ridge	2006	34507
Rocklea - Acacia Ridge	2011	42229
Rocklea - Acacia Ridge	2016	46923
Rouse Hill - McGraths Hill	2006	18695
Rouse Hill - McGraths Hill	2011	20105
Rouse Hill - McGraths Hill	2016	25058
Ryde - Hunters Hill	2006	94695
Ryde - Hunters Hill	2011	99661
Ryde - Hunters Hill	2016	112300
Salisbury	2006	92519
Salisbury	2011	102295
Salisbury	2016	109644
Sandgate	2006	39188
Sandgate	2011	42894
Sandgate	2016	47048
Serpentine - Jarrahdale	2006	10027
Serpentine - Jarrahdale	2011	13622
Serpentine - Jarrahdale	2016	20462
Shepparton	2006	44417
Shepparton	2011	47328
Shepparton	2016	50996
Sherwood - Indooroopilly	2006	38835
Sherwood - Indooroopilly	2011	40570
Sherwood - Indooroopilly	2016	43557
Shoalhaven	2006	71368
Shoalhaven	2011	76260
Shoalhaven	2016	83193
Snowy Mountains	2006	14792
Snowy Mountains	2011	15301
Snowy Mountains	2016	16100
Sorell - Dodges Ferry	2006	10919
Sorell - Dodges Ferry	2011	11921
Sorell - Dodges Ferry	2016	13111
South Canberra	2006	19580
South Canberra	2011	20618
South Canberra	2016	23062
South Coast	2006	53912
South Coast	2011	56373
South Coast	2016	60036
South East Coast	2006	5377
South East Coast	2011	5541
South East Coast	2016	5885
South Perth	2006	32987
South Perth	2011	34960
South Perth	2016	35936
Southern Highlands	2006	33494
Southern Highlands	2011	35803
Southern Highlands	2016	39478
Southport	2006	41349
Southport	2011	45845
Southport	2016	50206
Springfield - Redbank	2006	35660
Springfield - Redbank	2011	48590
Springfield - Redbank	2016	61535
Springwood - Kingston	2006	55513
Springwood - Kingston	2011	58451
Springwood - Kingston	2016	60056
St Marys	2006	38900
St Marys	2011	40872
St Marys	2016	42863
Stirling	2006	133367
Stirling	2011	147820
Stirling	2016	159602
Stonnington - East	2006	31232
Stonnington - East	2011	32474
Stonnington - East	2016	34291
Stonnington - West	2006	46671
Stonnington - West	2011	48491
Stonnington - West	2016	56681
Strathfield - Burwood - Ashfield	2006	108814
Strathfield - Burwood - Ashfield	2011	115873
Strathfield - Burwood - Ashfield	2016	130003
Strathpine	2006	26815
Strathpine	2011	27874
Strathpine	2016	29511
Sunbury	2006	26174
Sunbury	2011	29108
Sunbury	2016	31619
Sunnybank	2006	34885
Sunnybank	2011	37860
Sunnybank	2016	40929
Sunshine Coast Hinterland	2006	32301
Sunshine Coast Hinterland	2011	37027
Sunshine Coast Hinterland	2016	40645
Surf Coast - Bellarine Peninsula	2006	43395
Surf Coast - Bellarine Peninsula	2011	48874
Surf Coast - Bellarine Peninsula	2016	57884
Surfers Paradise	2006	29331
Surfers Paradise	2011	31215
Surfers Paradise	2016	36126
Sutherland - Menai - Heathcote	2006	81974
Sutherland - Menai - Heathcote	2011	84345
Sutherland - Menai - Heathcote	2016	86305
Swan	2006	66995
Swan	2011	79704
Swan	2016	100516
Sydney Inner City	2006	149188
Sydney Inner City	2011	161947
Sydney Inner City	2016	199564
Tablelands (East) - Kuranda	2006	27878
Tablelands (East) - Kuranda	2011	30411
