SA3_NAME16	Year	CountryOfBirth	Sex	persons
Snowy Mountains	2011	ZAF	M	29
Snowy Mountains	2011	ZWE	F	3
Snowy Mountains	2011	ZWE	M	7
Snowy Mountains	2016		F	1123
Snowy Mountains	2016		M	1226
Snowy Mountains	2016	AUS	F	7196
Snowy Mountains	2016	AUS	M	7776
Snowy Mountains	2016	CAN	F	33
Snowy Mountains	2016	CAN	M	27
Snowy Mountains	2016	CHN	F	28
Snowy Mountains	2016	CHN	M	26
Snowy Mountains	2016	DEU	F	96
Snowy Mountains	2016	DEU	M	93
Snowy Mountains	2016	EGY	F	4
Snowy Mountains	2016	EGY	M	0
Snowy Mountains	2016	FJI	F	9
Snowy Mountains	2016	FJI	M	4
Snowy Mountains	2016	GBR	F	372
Snowy Mountains	2016	GBR	M	387
Snowy Mountains	2016	GRC	F	4
Snowy Mountains	2016	GRC	M	12
Snowy Mountains	2016	HKG	F	13
Snowy Mountains	2016	HKG	M	20
Snowy Mountains	2016	HRV	F	13
Snowy Mountains	2016	HRV	M	6
Snowy Mountains	2016	IDN	F	12
Snowy Mountains	2016	IDN	M	9
Snowy Mountains	2016	IND	F	10
Snowy Mountains	2016	IND	M	22
Snowy Mountains	2016	IRL	F	15
Snowy Mountains	2016	IRL	M	15
Snowy Mountains	2016	IRN	F	0
Snowy Mountains	2016	IRN	M	3
Snowy Mountains	2016	IRQ	F	0
Snowy Mountains	2016	IRQ	M	0
Snowy Mountains	2016	ITA	F	36
Snowy Mountains	2016	ITA	M	45
Snowy Mountains	2016	JPN	F	8
Snowy Mountains	2016	JPN	M	3
Snowy Mountains	2016	KOR	F	11
Snowy Mountains	2016	KOR	M	10
Snowy Mountains	2016	LBN	F	11
Snowy Mountains	2016	LBN	M	12
Snowy Mountains	2016	LKA	F	8
Snowy Mountains	2016	LKA	M	13
Snowy Mountains	2016	MKD	F	3
Snowy Mountains	2016	MKD	M	3
Snowy Mountains	2016	MLT	F	6
Snowy Mountains	2016	MLT	M	4
Snowy Mountains	2016	MYS	F	10
Snowy Mountains	2016	MYS	M	6
Snowy Mountains	2016	NLD	F	44
Snowy Mountains	2016	NLD	M	30
Snowy Mountains	2016	NZL	F	128
Snowy Mountains	2016	NZL	M	133
Snowy Mountains	2016	PAK	F	3
Snowy Mountains	2016	PAK	M	7
Snowy Mountains	2016	PHL	F	28
Snowy Mountains	2016	PHL	M	13
Snowy Mountains	2016	POL	F	15
Snowy Mountains	2016	POL	M	11
Snowy Mountains	2016	SGP	F	5
Snowy Mountains	2016	SGP	M	3
Snowy Mountains	2016	THA	F	32
Snowy Mountains	2016	THA	M	11
Snowy Mountains	2016	TUR	F	8
Snowy Mountains	2016	TUR	M	9
Snowy Mountains	2016	USA	F	34
Snowy Mountains	2016	USA	M	35
Snowy Mountains	2016	VNM	F	4
Snowy Mountains	2016	VNM	M	16
Snowy Mountains	2016	ZAF	F	25
Snowy Mountains	2016	ZAF	M	26
