GCCSA_CODE_2016,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_R650m,C06_Ne_Ni_inc_R_NS,C06_N_inc_R_Tot,C06_1_149_R0_74,C06_1_149_R75_99,C06_1_149_R100_149,C06_1_149_R150_199,C06_1_149_R200_224,C06_1_149_R225_274,C06_1_149_R275_349,C06_1_149_R350_449,C06_1_149_R450_549,C06_1_149_R550_649,C06_1_149_R650m,C06_1_149_R_NS,C06_1_149_R_Tot,C06_150_299_R0_74,C06_150_299_R75_99,C06_150_299_R100_149,C06_150_299_R150_199,C06_150_299_R200_224,C06_150_299_R225_274,C06_150_299_R275_349,C06_150_299_R350_449,C06_150_299_R450_549,C06_150_299_R550_649,C06_150_299_R650m,C06_150_299_R_NS,C06_150_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650m,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_499_R0_74,C06_400_499_R75_99,C06_400_499_R100_149,C06_400_499_R150_199,C06_400_499_R200_224,C06_400_499_R225_274,C06_400_499_R275_349,C06_400_499_R350_449,C06_400_499_R450_549,C06_400_499_R550_649,C06_400_499_R650m,C06_400_499_R_NS,C06_400_499_R_Tot,C06_500_649_R0_74,C06_500_649_R75_99,C06_500_649_R100_149,C06_500_649_R150_199,C06_500_649_R200_224,C06_500_649_R225_274,C06_500_649_R275_349,C06_500_649_R350_449,C06_500_649_R450_549,C06_500_649_R550_649,C06_500_649_R650m,C06_500_649_R_NS,C06_500_649_R_Tot,C06_650_799_R0_74,C06_650_799_R75_99,C06_650_799_R100_149,C06_650_799_R150_199,C06_650_799_R200_224,C06_650_799_R225_274,C06_650_799_R275_349,C06_650_799_R350_449,C06_650_799_R450_549,C06_650_799_R550_649,C06_650_799_R650m,C06_650_799_R_NS,C06_650_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R100_149,C06_1000_1249_R150_199,C06_1000_1249_R200_224,C06_1000_1249_R225_274,C06_1000_1249_R275_349,C06_1000_1249_R350_449,C06_1000_1249_R450_549,C06_1000_1249_R550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R100_149,C06_1250_1499_R150_199,C06_1250_1499_R200_224,C06_1250_1499_R225_274,C06_1250_1499_R275_349,C06_1250_1499_R350_449,C06_1250_1499_R450_549,C06_1250_1499_R550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R100_149,C06_1500_1999_R150_199,C06_1500_1999_R200_224,C06_1500_1999_R225_274,C06_1500_1999_R275_349,C06_1500_1999_R350_449,C06_1500_1999_R450_549,C06_1500_1999_R550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R100_149,C06_2500_2999_R150_199,C06_2500_2999_R200_224,C06_2500_2999_R225_274,C06_2500_2999_R275_349,C06_2500_2999_R350_449,C06_2500_2999_R450_549,C06_2500_2999_R550_649,C06_2500_2999_R650m,C06_2500_2999_R_NS,C06_2500_2999_R_Tot,C06_3000_3999_R0_74,C06_3000_3999_R75_99,C06_3000_3999_R100_149,C06_3000_3999_R150_199,C06_3000_3999_R200_224,C06_3000_3999_R225_274,C06_3000_3999_R275_349,C06_3000_3999_R350_449,C06_3000_3999_R450_549,C06_3000_3999_R550_649,C06_3000_3999_R650m,C06_3000_3999_R_NS,C06_3000_3999_R_Tot,C06_4000m_R0_74,C06_4000m_R75_99,C06_4000m_R100_149,C06_4000m_R150_199,C06_4000m_R200_224,C06_4000m_R225_274,C06_4000m_R275_349,C06_4000m_R350_449,C06_4000m_R450_549,C06_4000m_R550_649,C06_4000m_R650m,C06_4000m_R_NS,C06_4000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,384,77,273,344,208,386,398,194,108,32,99,281,2782,707,211,586,451,207,255,193,103,41,28,62,218,3062,5286,1327,3687,2254,693,764,378,143,52,34,196,679,15517,3712,1856,6023,4667,1634,1723,929,250,74,37,212,632,21746,1128,593,2303,1844,669,713,489,233,95,35,99,308,8513,3186,1475,6567,8086,3758,4887,2994,882,288,140,341,1019,33627,1978,554,3256,5016,2470,3467,2207,635,152,66,196,564,20562,1936,537,2518,4445,2393,3671,2747,889,255,94,248,571,20295,3096,590,3404,6163,3820,6513,5627,1738,466,235,521,916,33086,1845,324,1293,2664,1742,3406,3431,1208,310,132,367,530,17241,2338,369,1169,2439,1846,3592,4416,1888,466,203,538,607,19875,1162,136,420,856,620,1379,2071,1109,323,139,379,316,8923,1545,147,292,488,339,751,1245,1014,426,195,479,378,7288,658,67,115,160,152,298,638,551,217,84,344,151,3451,250,13,59,56,33,67,149,156,104,61,276,87,1318,1945,578,2297,3280,1715
3GBRI,227,55,222,340,249,507,516,282,115,38,55,254,2861,541,145,377,379,191,331,232,94,18,9,38,162,2534,4862,969,2024,1912,713,806,354,109,35,37,186,491,12487,2975,1587,3653,3804,1439,1770,628,144,50,24,163,495,16733,444,446,1695,1420,698,705,280,103,21,10,39,181,6042,1267,1066,4093,6736,3960,5163,1907,472,107,30,131,575,25511,585,266,2127,4839,3042,4385,1788,384,93,30,75,286,17897,570,195,1417,4136,3092,5108,2269,605,131,30,93,296,17948,756,223,1518,5240,4617,9262,4800,1168,235,76,145,456,28490,416,64,562,2244,2192,5342,3523,1022,219,55,78,229,15944,480,63,518,2066,2222,6037,5267,1711,335,107,113,267,19185,208,22,192,689,784,2570,2965,1238,272,72,72,118,9208,175,25,119,325,342,1107,1930,1469,518,265,275,160,6708,89,4,35,89,120,423,862,786,321,153,121,50,3063,27,7,26,32,25,88,183,219,108,69,98,23,903,547,284,1057,2212,1746
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,229,87,282,228,77,57,20,10,6,7,29,137,1171,705,300,630,342,82,68,28,7,7,7,48,177,2395,4768,1772,3218,1455,236,140,49,20,13,17,173,543,12412,3315,2355,4993,3126,521,261,79,29,12,15,120,498,15313,670,402,2033,1150,208,132,35,13,3,3,48,174,4872,2123,1454,5931,6031,1367,715,211,56,19,21,127,506,18557,1023,506,2757,3522,920,547,143,35,15,6,61,248,9779,898,341,2172,3294,976,676,182,36,19,3,56,231,8894,1338,373,2515,4505,1689,1207,366,85,30,17,80,342,12544,743,149,875,1806,880,762,290,68,18,6,58,199,5864,702,139,785,1748,924,941,374,104,19,12,76,170,5995,296,35,253,544,324,401,203,61,9,5,54,67,2251,213,50,171,274,168,324,266,125,29,7,59,95,1779,80,13,52,91,70,109,103,57,22,6,48,30,693,56,7,21,27,23,36,32,24,6,0,96,34,358,787,357,1427,2038,775
2GMEL,606,156,621,1549,912,1391,1445,884,211,69,230,656,8732,1439,500,1023,1310,543,579,503,243,79,26,132,465,6846,8381,2294,4026,4077,1306,1144,611,277,99,64,353,1174,23817,4638,2648,5709,6876,2349,1845,863,345,110,59,287,977,26704,879,474,3129,2749,1008,817,374,174,46,19,97,350,10106,2294,1217,6227,12985,5625,4819,2165,790,235,94,415,1141,38008,1174,347,3302,9983,4483,4149,1855,725,205,68,307,619,27214,1171,306,2425,9131,4853,4990,2480,943,245,70,299,569,27479,1551,279,2649,10927,7348,8599,4774,1772,418,161,478,810,39780,813,106,998,4838,3887,5907,3894,1401,365,128,272,389,22993,919,113,848,4788,4348,7353,5926,2466,624,217,417,533,28553,460,52,344,1676,1736,3882,4171,2057,510,150,263,268,15576,407,42,192,848,867,2344,3742,3032,1106,550,915,275,14297,189,13,64,285,334,885,1770,1967,836,329,424,107,7200,93,8,33,85,62,147,384,616,393,193,261,38,2315,1058,481,1684,4406,2966
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,468,145,461,499,222,247,160,58,27,15,47,285,2641,1508,533,1230,693,250,245,127,40,21,21,98,324,5078,10014,3004,6429,3482,911,734,217,68,28,42,364,1174,26468,5933,3684,8960,6711,1952,1570,452,109,23,46,318,953,30722,1516,1034,4499,2661,945,720,297,90,26,7,98,384,12287,3743,2272,9803,11330,4741,4303,1439,325,87,42,249,1061,39385,1928,719,4314,6242,2835,2768,1013,214,57,17,103,509,20724,1700,571,3379,5462,3083,3108,1287,301,78,19,88,480,19562,2528,623,3767,7227,4281,5067,2324,559,121,43,173,661,27380,1314,257,1445,3105,2081,2857,1625,441,72,36,78,307,13619,1316,218,1262,2637,1938,2991,2095,775,122,48,111,305,13808,582,78,439,883,635,1119,1033,416,78,23,65,139,5485,528,94,331,581,437,714,899,533,159,44,95,148,4564,184,17,92,208,125,233,406,297,76,32,46,59,1776,67,7,53,55,38,80,73,70,43,16,37,28,555,1552,685,2536,3628,1966
1GSYD,818,147,461,954,797,1397,1752,1432,525,242,322,679,9546,2366,598,1038,855,588,857,670,445,177,78,177,566,8400,15273,2760,2972,3325,1657,2015,1258,652,231,146,616,1646,32537,6653,3486,3938,5369,3057,3626,2118,901,248,135,398,1238,31170,1142,1067,5141,2377,1438,1775,914,375,102,59,138,540,15072,2697,1481,5563,9307,7028,9206,5597,2416,634,214,468,1363,45970,1218,386,1979,6670,5816,8106,5292,2298,607,214,303,682,33560,1143,288,1537,5385,5395,8942,6452,3035,831,263,324,679,34261,1578,296,1745,6138,7140,13746,11806,5726,1656,560,563,904,51854,911,99,728,2786,3427,7918,8590,4974,1461,485,483,529,32386,1030,106,747,2579,3370,8361,11542,8102,2515,837,825,583,40601,570,33,344,1086,1281,3823,6568,6341,2107,660,629,307,23735,636,57,222,598,726,2259,5384,7166,3879,1797,2939,363,26029,330,17,73,229,238,751,2119,4058,2865,1478,1684,168,14016,131,5,36,56,53,175,480,1140,1238,959,1468,85,5847,1290,666,2107,3363,2986
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
