GCCSA_CODE_2016,C11_2500_2999_R650m,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R0_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650mo,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000m_R0_74,C11_4000m_R75_99,C11_4000m_R100_149,C11_4000m_R150_199,C11_4000m_R200_224,C11_4000m_R225_274,C11_4000m_R275_349,C11_4000m_R350_449,C11_4000m_R450_549,C11_4000m_R550_649,C11_4000m_R650m,C11_4000m_R_NS,C11_4000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650m,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot,C16_N_inc_R0_74,C16_N_inc_R75_99,C16_Ne_Ni_inc_R100_149,C16_Ne_Ni_inc_R150_199,C16_Ne_Ni_inc_R200_224,C16_Ne_Ni_inc_R225_274,C16_Ne_Ni_inc_R275_349,C16_Ne_Ni_inc_R350_449,C16_Ne_Ni_inc_R450_549,C16_Ne_Ni_inc_R550_649,C16_Ne_Ni_inc_R650m,C16_Ne_Nil_inc_R_NS,C16_N_inc_R_Tot,C16_1_149_R0_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_149,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650m,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R0_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R150_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650m,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R0_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650m,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R0_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650m,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R0_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650m,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R0_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650m,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R0_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650m,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R0_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650m,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R0_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650m,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R0_74,C16_1500_1999_R75_99
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,830,644,14426,1304,153,230,185,177,390,1062,2303,1385,578,673,303,8745,608,79,76,64,67,119,255,650,564,300,491,192,3461,1477,404,1104,1499,1228,2539,4528,5511,1956,619,539,1017,22418,798,363,664,832,427,710,844,746,272,122,281,1920,7987,26797,8634,19015,25796,19379,36376,54995,53341,15934,4915,5678,11217,282075,342,53,248,327,275,429,699,694,316,143,138,403,4067,281,88,226,226,167,227,269,266,98,32,41,159,2083,1212,527,1271,1125,650,863,931,617,199,67,72,367,7890,751,627,2568,2034,1120,1553,1495,814,184,65,59,448,11709,1565,772,3598,3697,2487,3721,3157,1782,393,96,122,649,22038,847,241,1323,2739,2204,4016,4799,2933,628,154,132,466,20482,1180,290,1396,2754,2454,4753,6539,4324,1022,264,208,610,25802,1121,237,1061,2095,2196,4444,6992,5312,1279,293,238,603,25867,1455,226,997,1769,1872,4508,8197,7354,2011,499,387,693,29971,1264,179,692,1218,1313,3481,7126,7556,2383,580,414,627,26838,1868,253
3GBRI,1484,256,15326,185,24,60,107,109,259,1037,3469,2379,982,887,145,9639,89,9,26,36,34,80,265,891,947,601,806,83,3853,439,199,600,653,573,1269,4110,5652,2150,837,826,780,18088,428,290,352,372,240,451,878,683,216,115,174,1346,5557,11398,6763,11321,13179,10711,23390,61462,66752,19203,6792,6527,7320,244812,257,48,243,228,182,326,683,1168,727,369,252,424,4908,205,49,150,166,67,120,270,330,146,57,59,113,1737,817,377,965,603,330,587,800,740,262,106,84,277,5952,445,624,2399,1119,519,962,1288,939,207,67,68,424,9066,749,689,3334,1884,1080,2310,2919,1972,459,131,103,468,16090,421,114,993,1554,939,2398,4257,3064,639,179,125,396,15088,492,152,859,1684,1044,2694,5856,4768,896,240,168,437,19289,504,107,556,1069,993,2716,6887,6531,1430,373,232,464,21849,452,71,409,745,762,2610,8238,9973,2200,581,334,483,26849,381,33,258,422,498,1772,6983,10712,2693,620,394,383,25142,533,33
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,101,203,3887,180,10,61,99,107,274,451,402,147,22,67,79,1905,79,8,30,50,33,67,128,147,87,25,102,68,824,530,147,730,1482,881,1449,1163,566,123,33,91,413,7598,400,380,653,699,274,280,193,66,13,10,82,1066,4124,11774,7609,18817,27513,14951,20575,14192,5500,1258,369,1236,5657,129457,230,61,198,284,181,281,237,112,25,9,24,219,1856,189,63,248,236,136,175,131,58,4,8,10,124,1380,781,308,1221,1034,539,612,368,144,18,5,21,249,5309,599,398,2748,1813,891,1044,590,172,24,4,26,318,8623,1159,456,3408,3227,1720,2200,1215,315,50,19,44,421,14243,567,150,1227,2632,1736,2686,1870,489,58,22,48,305,11784,790,193,1212,2578,1967,3285,2476,682,75,23,48,366,13688,664,135,889,1914,1811,3234,2743,774,82,35,63,358,12688,802,93,725,1698,1662,3314,3314,1196,161,33,80,346,13427,625,74,484,1107,1180,2584,3187,1243,175,50,78,239,11033,804,81
2GMEL,3000,525,26890,409,33,124,152,205,679,2725,5449,3989,1987,2048,328,18131,192,13,41,61,50,196,676,1565,1734,1289,1950,155,7910,828,248,850,1055,1051,2977,6684,6343,3305,1514,1964,1588,28417,517,605,532,629,424,930,1506,893,390,207,409,2349,9397,16995,12901,16569,22853,20803,54168,101826,77061,30004,12394,15746,14477,395787,886,103,589,613,508,1536,3041,3762,2412,1468,1153,1265,17341,442,136,427,296,249,377,809,784,447,193,205,327,4702,1475,563,2079,1151,734,1245,2092,1537,633,290,278,650,12733,813,457,4731,1511,1035,1605,2648,1640,527,225,215,672,16083,1451,476,4769,2670,1709,3115,5221,2970,840,324,351,908,24814,829,182,1332,1996,1547,3526,7219,4208,1156,399,450,811,23649,1123,196,1152,2034,1606,4059,9461,6223,1573,563,596,883,29459,1050,138,766,1211,1579,4517,12257,8280,2164,834,763,919,34470,1175,103,676,1100,1215,4635,15345,12157,3299,1167,1088,1106,43066,963,83,390,716,756,3196,13602,12955,3557,1231,1182,892,39514,1290,69
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,327,321,9626,408,33,142,242,241,499,989,1404,604,253,233,154,5198,123,15,56,66,62,114,248,442,261,133,212,92,1835,1128,320,1371,2038,1439,2501,3445,2527,779,239,245,845,16868,760,775,1229,1142,516,666,571,296,100,40,137,1850,8088,22357,14442,31433,41976,25229,39677,44691,26852,6823,2094,3089,10466,269147,355,59,379,446,285,391,515,454,185,64,82,422,3642,327,95,368,390,193,259,252,206,71,22,40,162,2387,1417,694,2163,1778,900,1029,967,482,110,38,64,480,10117,987,530,5016,3442,1472,1666,1525,720,136,30,66,587,16171,1944,679,5893,5468,2790,3657,3177,1573,311,67,112,788,26464,961,236,1838,3840,2461,4179,4505,2462,425,99,110,625,21755,1344,291,1815,4156,2863,4636,6149,3508,652,147,118,742,26429,1271,203,1353,2686,2495,4335,6250,4271,805,189,167,630,24668,1344,160,1067,2295,2190,4156,7280,5868,1318,312,225,696,26916,1197,111,666,1533,1481,3156,6152,6006,1452,339,228,526,22857,1619,134
1GSYD,9115,626,38969,553,29,97,150,269,493,1501,4853,6218,5169,6911,446,26696,290,13,68,74,92,164,397,1326,2441,2762,7115,244,14990,994,413,1047,1265,1061,2003,4854,7323,5440,3333,5073,1802,34606,859,1147,747,615,371,625,1205,1400,767,436,833,2789,11794,21663,21871,21362,21852,16818,34796,79362,108956,64494,34598,44076,17277,487124,958,181,759,582,362,558,1415,2520,2191,1827,2706,1294,15357,510,181,500,354,164,156,372,574,454,321,434,335,4359,2109,1148,3155,1314,611,585,997,1517,965,535,594,781,14315,1099,774,7792,2180,897,841,1526,1883,990,441,465,847,19729,1562,654,7606,3665,1561,1750,2996,3856,1939,866,718,1005,28184,849,224,1718,2293,1157,1786,3803,5726,2972,1217,1022,883,23653,1172,232,1629,3050,2032,2357,4896,8456,4200,1761,1393,1006,32198,938,118,995,1232,1512,2180,5628,10840,5994,2538,2002,911,34880,1114,100,668,1045,1003,1965,6339,14801,8709,3881,3237,1055,43927,913,47,356,663,591,1390,4710,13897,9238,4543,3631,875,40864,1426,57
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
