SA2_NAME16	Year	labourForceParticipation
Muswellbrook	2006	61.9
Muswellbrook	2011	62.6
Muswellbrook	2016	57.9
Muswellbrook Region	2006	60.5
Muswellbrook Region	2011	67.2
Muswellbrook Region	2016	62
Scone	2006	62.2
Scone	2011	61.9
Scone	2016	59.9
Scone Region	2006	63.1
Scone Region	2011	62.7
Scone Region	2016	58.4
Dapto - Avondale	2006	55.2
Dapto - Avondale	2011	54.5
Dapto - Avondale	2016	54.9
Horsley - Kembla Grange	2006	69.4
Horsley - Kembla Grange	2011	68.9
Horsley - Kembla Grange	2016	68
Port Kembla Industrial	2006	0
Port Kembla Industrial	2011	59.3
Port Kembla Industrial	2016	30
Unanderra - Mount Kembla	2006	59
Unanderra - Mount Kembla	2011	61.2
Unanderra - Mount Kembla	2016	60
Berkeley - Lake Heights - Cringila	2006	47.9
Berkeley - Lake Heights - Cringila	2011	49.2
Berkeley - Lake Heights - Cringila	2016	49.7
Port Kembla - Warrawong	2006	43
Port Kembla - Warrawong	2011	43
Port Kembla - Warrawong	2016	43.6
Windang - Primbee	2006	44.8
Windang - Primbee	2011	45.5
Windang - Primbee	2016	46.3
Illawarra Catchment Reserve	2006	0
Illawarra Catchment Reserve	2011	37.5
Illawarra Catchment Reserve	2016	87.5
Albion Park - Macquarie Pass	2006	67.1
Albion Park - Macquarie Pass	2011	66.9
Albion Park - Macquarie Pass	2016	65.2
Albion Park Rail	2006	58.3
Albion Park Rail	2011	58
Albion Park Rail	2016	55.5
Kiama	2006	53.7
Kiama	2011	54.2
Kiama	2016	51.8
Kiama Downs - Minnamurra	2006	62.9
Kiama Downs - Minnamurra	2011	62.8
Kiama Downs - Minnamurra	2016	60.7
Kiama Hinterland - Gerringong	2006	57.7
Kiama Hinterland - Gerringong	2011	58.8
Kiama Hinterland - Gerringong	2016	55.7
Shellharbour - Flinders	2006	63.2
Shellharbour - Flinders	2011	65.4
Shellharbour - Flinders	2016	65.4
Shellharbour - Oak Flats	2006	59.3
Shellharbour - Oak Flats	2011	60.2
Shellharbour - Oak Flats	2016	57.6
Warilla	2006	50.1
Warilla	2011	49
Warilla	2016	48.4
Balgownie - Fairy Meadow	2006	53.7
Balgownie - Fairy Meadow	2011	54.5
Balgownie - Fairy Meadow	2016	55.2
Corrimal - Tarrawanna - Bellambi	2006	54.9
Corrimal - Tarrawanna - Bellambi	2011	55.7
Corrimal - Tarrawanna - Bellambi	2016	56
Figtree - Keiraville	2006	57.7
Figtree - Keiraville	2011	58.1
Figtree - Keiraville	2016	58.4
Helensburgh	2006	70.9
Helensburgh	2011	70
Helensburgh	2016	70
Thirroul - Austinmer - Coalcliff	2006	64.2
Thirroul - Austinmer - Coalcliff	2011	65.7
Thirroul - Austinmer - Coalcliff	2016	63.9
Woonona - Bulli - Russell Vale	2006	58.1
Woonona - Bulli - Russell Vale	2011	60.3
Woonona - Bulli - Russell Vale	2016	60.6
Wollongong - East	2006	57.3
Wollongong - East	2011	55.4
Wollongong - East	2016	53.1
Wollongong - West	2006	54.5
Wollongong - West	2011	55.7
Wollongong - West	2016	56.9
Bulahdelah - Stroud	2006	52.1
Bulahdelah - Stroud	2011	52
Bulahdelah - Stroud	2016	50.3
Forster	2006	43.1
Forster	2011	40.5
Forster	2016	40.5
Forster-Tuncurry Region	2006	49.4
Forster-Tuncurry Region	2011	46.9
Forster-Tuncurry Region	2016	44
Tuncurry	2006	34
Tuncurry	2011	34.4
Tuncurry	2016	32.7
Kempsey	2006	46.1
Kempsey	2011	44.1
Kempsey	2016	41.7
Kempsey Region	2006	51.4
Kempsey Region	2011	49.8
Kempsey Region	2016	48.4
Macksville - Scotts Head	2006	44.2
Macksville - Scotts Head	2011	44.3
Macksville - Scotts Head	2016	44.4
Nambucca Heads	2006	38.8
Nambucca Heads	2011	37
Nambucca Heads	2016	35.4
Nambucca Heads Region	2006	49.4
Nambucca Heads Region	2011	50.4
Nambucca Heads Region	2016	48.8
South West Rocks	2006	41.4
South West Rocks	2011	40.8
South West Rocks	2016	38.8
Lord Howe Island	2006	76.2
Lord Howe Island	2011	73.1
Lord Howe Island	2016	69.7
Laurieton - Bonny Hills	2006	42.3
Laurieton - Bonny Hills	2011	43
Laurieton - Bonny Hills	2016	41.4
Port Macquarie - East	2006	52.9
