SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
310021282,0,0,0,0,0,0,0,3,7,3,10,27,38,58,59,54,99,61,26,3,8,3,53,510,21,14,24,37,103,124,253,199,511,443,383,243,228,98,331,3009
310031283,0,0,0,0,0,0,3,4,6,6,19,26,37,93,84,68,144,72,33,13,5,4,54,672,22,15,27,34,78,118,233,224,560,427,378,198,179,75,258,2829
310031284,0,0,0,0,0,0,0,6,0,5,18,32,28,77,65,89,101,55,20,9,0,4,50,560,8,8,29,34,65,121,222,203,419,351,255,132,113,33,219,2215
310031285,0,0,0,0,0,0,0,0,0,0,6,17,13,43,42,42,76,50,26,12,0,0,20,346,6,3,11,22,30,54,118,120,338,296,273,180,121,60,189,1834
310031286,3,0,0,0,0,0,0,3,3,3,4,27,25,36,42,54,63,33,21,3,5,3,35,377,13,11,12,32,51,63,125,117,261,182,148,116,132,82,150,1492
310031287,3,0,0,0,0,0,7,7,12,6,28,39,73,167,140,144,265,101,38,15,12,3,87,1127,29,16,45,46,140,231,443,381,919,607,498,295,262,103,411,4417
310031288,0,0,0,0,0,0,0,0,3,0,3,9,8,15,14,25,38,25,11,4,0,0,14,172,12,3,5,10,27,28,59,63,173,166,177,134,174,103,148,1288
310031289,0,0,0,0,0,0,0,0,4,0,6,0,9,13,16,16,25,25,14,8,3,0,20,155,12,9,15,9,14,32,86,67,194,201,208,196,201,144,169,1552
310031290,0,0,0,0,0,0,0,0,0,4,0,7,9,11,12,18,37,28,22,7,3,0,21,182,6,3,6,12,29,22,63,68,203,223,252,206,255,202,171,1729
310031291,0,0,0,0,0,0,4,8,13,3,11,27,60,100,89,68,122,60,18,6,7,3,59,633,20,5,26,32,93,141,211,163,410,242,157,78,64,22,203,1857
310031292,0,0,0,0,0,0,0,8,9,0,11,12,27,46,50,38,61,43,11,8,5,0,40,361,12,4,12,14,58,65,182,129,299,252,183,101,76,33,173,1593
