SA2_MAINCODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
202011025,29,50,106,100,211,52,29,5,3,23,40,77,72,151,22,14,4,0,10,50,37,62,100,1949,1972,541,566,1414,1724,3895,4260,8159
202021026,16,18,75,59,133,19,15,0,0,9,14,31,26,58,5,4,0,0,9,20,19,31,44,1466,1489,294,298,736,753,2496,2540,5038
202021027,57,111,195,228,426,82,47,3,0,30,100,121,150,270,62,30,0,0,40,128,106,159,262,1442,1452,459,508,1392,1894,3294,3860,7150
202021028,55,54,155,135,291,51,36,0,0,20,47,78,84,156,42,16,0,0,34,50,74,69,139,1494,1501,437,445,1200,1167,3125,3112,6241
202021029,42,41,129,101,231,33,27,0,3,11,34,46,64,111,28,10,0,0,16,29,46,38,82,837,841,166,168,682,647,1681,1662,3341
202021030,41,66,141,130,277,49,39,0,0,27,73,75,109,188,30,15,0,0,30,78,63,91,156,1659,1672,411,415,1199,1444,3264,3532,6798
202021031,7,37,68,75,145,32,18,0,0,14,32,44,47,97,15,11,0,0,11,32,27,43,69,1282,1303,264,270,744,910,2290,2484,4774
202031032,17,23,53,46,105,14,14,0,0,13,34,30,43,73,14,5,0,0,9,20,26,28,61,842,851,169,177,576,544,1584,1564,3150
202031033,44,66,142,134,279,51,42,0,0,42,63,91,105,201,30,10,0,0,44,70,76,82,161,1251,1255,215,217,1087,912,2551,2380,4936
203011034,13,17,46,52,101,20,12,0,0,0,17,22,26,49,12,4,0,0,7,26,18,29,48,1240,1262,244,257,630,631,2114,2150,4268
203011035,18,23,67,53,122,21,15,0,0,13,19,34,35,72,10,0,0,0,5,21,16,29,42,1359,1382,259,272,834,752,2451,2408,4862
203011036,17,19,73,64,133,28,23,3,3,14,28,48,52,98,20,6,0,0,14,31,34,37,66,1137,1152,214,216,722,665,2069,2036,4100
203021037,35,126,163,236,398,103,81,7,3,34,126,146,212,355,85,50,0,0,68,187,152,242,394,2187,2207,548,553,2173,2659,4916,5424,10344
203021038,106,222,311,391,703,122,72,0,0,77,186,198,263,461,64,27,0,3,68,182,136,213,351,3376,3382,911,922,4645,5426,8929,9730,18660
203021039,52,118,135,180,315,51,42,0,0,30,89,83,133,218,35,9,0,0,34,119,72,133,200,1846,1861,546,550,1964,2521,4361,4928,9293
203021040,66,169,183,280,467,110,96,0,0,46,153,162,255,416,91,38,0,0,59,212,144,252,399,3061,3116,806,816,2942,3727,6809,7654,14467
203021041,46,139,252,288,542,156,119,0,0,48,164,205,280,483,111,62,0,0,74,277,187,335,525,4068,4108,899,910,2982,3803,7952,8817,16771
203021042,39,138,283,323,603,130,89,5,0,32,124,165,223,388,95,48,0,0,37,144,139,193,327,4327,4409,582,597,2720,3067,7629,8076,15705
203021043,26,77,151,182,331,66,38,0,0,38,66,106,113,219,40,18,0,0,25,95,71,113,183,3143,3202,702,723,2102,2358,5951,6277,12231
203021044,28,66,167,184,352,83,54,5,0,36,75,121,131,252,56,32,3,3,35,55,92,89,178,2385,2423,503,528,1460,1892,4344,4843,9188
203021045,64,159,230,312,546,114,70,3,0,45,135,160,213,368,70,38,4,0,73,153,147,192,341,2217,2228,536,546,2345,3004,5096,5777,10872
203021046,17,73,107,141,250,49,36,0,0,11,56,63,96,162,48,22,3,0,41,97,95,125,216,1820,1853,315,318,1264,1648,3405,3825,7228
203021047,60,135,243,275,514,112,74,0,0,53,126,165,199,361,70,34,3,0,36,156,113,192,301,2394,2427,504,521,2268,2638,5162,5582,10751
203031048,44,118,258,272,531,115,88,0,0,40,114,162,204,367,72,31,0,3,41,132,110,161,268,2595,2629,449,475,1552,2106,4591,5208,9796
203031049,19,37,82,92,169,46,21,0,0,8,40,54,66,121,16,13,0,0,23,52,39,64,101,851,854,218,231,594,656,1660,1743,3407
203031050,45,108,233,260,492,101,85,4,3,48,108,151,196,349,70,27,3,0,59,160,127,184,310,4326,4407,847,932,2394,3010,7575,8357,15927
203031051,59,93,195,186,382,74,58,0,0,32,59,108,115,220,58,29,3,3,42,94,106,125,227,1429,1431,238,258,991,1153,2665,2841,5498
203031052,6,58,105,132,235,60,41,0,0,15,50,79,88,166,29,19,3,0,20,79,52,95,145,830,834,109,111,386,635,1323,1579,2902
203031053,14,86,159,183,344,78,62,3,0,24,66,101,132,232,46,25,0,0,18,85,69,110,183,3450,3538,689,724,1831,2207,5974,6468,12446
204011054,30,68,119,134,247,45,30,0,3,28,42,71,77,147,38,15,0,0,21,68,61,78,141,1125,1130,291,287,845,819,2256,2233,4492
204011055,43,57,139,136,274,60,31,0,0,36,68,91,103,192,35,16,8,0,27,79,66,96,157,1125,1135,229,233,853,986,2209,2344,4554
204011056,41,92,171,180,357,67,53,3,0,26,88,102,142,244,50,18,0,0,23,70,71,89,156,2281,2301,601,618,1813,2102,4686,5020,9709
204011057,43,70,140,137,279,50,34,3,0,30,56,85,88,178,35,14,0,0,25,67,60,82,143,1433,1466,351,349,1009,1107,2795,2918,5715
204011058,8,27,83,75,161,30,20,0,0,18,29,50,48,100,16,7,0,0,23,38,36,39,77,702,706,191,187,543,557,1432,1453,2890
204011059,32,62,88,110,199,38,27,0,0,24,57,66,84,143,31,16,0,0,30,53,63,65,127,882,899,216,220,1132,1166,2229,2280,4509
204011060,6,13,41,33,78,17,13,0,0,7,16,25,29,57,16,0,0,0,11,12,22,17,37,776,776,191,196,514,371,1482,1340,2825
204011061,0,3,0,5,3,4,0,0,0,0,0,4,4,10,0,0,0,0,0,3,0,3,3,23,23,7,11,33,38,67,76,139
204011062,23,27,82,56,138,23,15,0,0,13,30,35,42,75,16,0,0,0,17,25,29,28,57,623,620,165,163,504,460,1291,1248,2539
204021063,50,109,218,237,454,103,76,7,0,36,108,140,179,321,82,38,0,3,55,161,139,198,337,1699,1739,364,372,1433,1869,3497,3983,7480
204021064,11,8,52,38,94,22,6,0,0,11,11,27,20,46,10,6,0,0,7,15,13,24,40,724,739,156,141,398,373,1279,1246,2529
204021065,18,29,61,53,117,22,18,3,0,15,21,36,44,80,22,4,0,0,9,40,27,44,75,693,707,147,147,533,574,1376,1433,2800
204021066,62,217,282,384,663,142,117,3,0,59,181,206,295,506,111,45,0,6,72,250,187,300,482,3026,3066,691,699,2433,3366,6148,7131,13277
204021067,30,46,163,137,296,54,30,0,0,29,39,91,71,154,43,17,0,0,23,54,72,70,142,1995,2020,334,354,1137,1015,3464,3381,6845
204031068,25,42,77,74,155,29,20,4,0,8,33,36,53,86,18,9,0,0,9,47,20,52,77,767,778,189,184,457,666,1402,1627,3031
204031069,34,60,129,132,265,63,32,0,3,20,55,80,90,176,34,19,0,0,25,63,62,84,142,1380,1386,318,332,948,1071,2647,2788,5436
204031070,15,21,44,45,91,9,7,0,0,12,11,23,17,44,10,3,0,0,8,15,13,21,39,586,593,141,147,375,398,1097,1137,2234
204031071,19,40,85,98,187,48,24,0,0,18,47,69,73,137,27,10,0,0,12,49,40,60,105,855,862,154,165,637,693,1646,1721,3370
204031072,24,41,106,100,211,41,22,0,0,26,44,70,71,142,22,18,0,0,25,61,45,76,120,1146,1163,206,212,792,705,2151,2074,4227
204031073,39,80,141,159,293,54,42,3,0,26,61,79,101,179,38,18,0,0,27,72,64,93,158,2467,2523,635,650,1811,2248,4910,5413,10325
204031074,50,165,235,318,554,122,56,6,3,41,151,169,219,381,74,40,5,0,49,159,126,195,327,3806,3874,965,1002,3127,3733,7897,8613,16507
204031075,9,24,61,52,107,30,20,0,0,6,16,37,33,71,9,5,0,0,7,15,17,18,37,923,932,172,185,453,507,1550,1629,3178
205011076,68,136,257,265,515,111,71,3,0,32,89,146,162,309,61,20,0,0,32,102,89,123,217,2794,2804,684,694,1970,2343,5447,5844,11289
205011077,20,34,97,76,177,27,13,0,0,11,33,44,45,85,17,11,0,0,18,33,27,42,67,1156,1172,230,239,783,721,2173,2136,4304
205011078,20,51,97,105,203,49,31,4,0,19,41,74,77,152,38,16,0,0,22,46,60,68,123,1414,1425,294,326,893,1028,2598,2774,5375
205011079,63,153,291,297,591,127,76,0,7,56,144,187,226,410,72,38,0,3,50,178,123,221,343,3421,3470,589,616,2276,3018,6290,7105,13392
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
205021081,50,157,240,312,556,117,76,3,3,55,152,174,226,398,82,34,5,0,40,185,126,225,358,2312,2354,563,584,1808,2476,4686,5413,10101
205021082,36,41,144,120,261,59,34,3,0,28,36,94,74,164,24,5,0,0,14,30,42,33,74,1454,1484,355,367,1011,868,2822,2716,5539
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,62,99,235,219,453,78,52,8,4,25,84,108,141,250,44,15,3,0,47,87,95,103,200,1776,1813,362,381,1228,1376,3365,3567,6933
205021085,53,49,136,121,262,49,36,5,4,32,48,85,84,168,28,11,0,0,23,64,49,72,122,1044,1063,254,259,974,894,2266,2219,4486
205021086,49,67,202,167,369,73,41,7,0,33,59,106,108,216,32,20,0,0,34,56,69,76,144,1272,1296,247,249,748,810,2268,2355,4629
205031087,41,79,166,171,344,77,38,4,3,30,64,110,105,220,39,21,3,0,32,66,80,89,170,1554,1553,361,397,1157,1150,3073,3098,6175
205031088,3,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,18,4,5,20,12,39,34,76
205031089,37,56,125,119,243,57,43,0,0,16,61,75,108,185,43,20,5,0,34,68,83,86,165,1669,1692,347,366,1095,1292,3103,3344,6454
205031090,39,97,171,197,364,66,44,0,0,21,96,86,138,228,50,19,0,0,27,103,80,125,209,2004,2028,399,413,1274,1535,3678,3976,7655
205031091,42,84,194,178,372,75,55,3,3,41,70,118,130,251,63,39,0,0,25,96,92,134,224,1769,1781,393,413,1241,1578,3405,3772,7170
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,3,5,8
205031093,113,224,438,455,893,171,120,4,3,92,200,267,329,599,116,55,3,0,110,219,222,280,501,3795,3813,856,876,2974,3606,7633,8296,15923
205041094,32,53,132,121,250,39,25,0,0,22,41,59,62,122,27,9,4,0,25,26,57,38,93,2077,2111,417,445,1461,1528,3954,4086,8038
205041095,78,170,252,315,567,95,77,3,3,74,135,175,213,388,85,32,0,0,43,176,125,212,344,2456,2487,628,659,2672,3115,5754,6266,12021
205041096,69,148,243,261,501,80,63,7,0,51,123,137,181,323,70,37,0,0,49,125,120,166,286,1845,1858,524,532,2336,2608,4705,5005,9710
205041097,57,189,301,377,675,141,89,3,3,49,170,198,265,464,76,24,0,3,57,193,132,220,360,4293,4376,1068,1119,3405,4218,8761,9708,18472
205041098,10,25,46,46,88,16,12,0,0,4,11,25,24,49,9,4,0,0,12,17,16,24,40,815,817,217,227,615,561,1647,1602,3252
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,10,4,17
205051100,36,26,70,59,133,23,12,0,0,18,14,41,21,62,11,7,0,0,12,22,20,24,50,789,808,139,146,584,483,1514,1436,2955
205051101,53,111,210,215,431,93,53,0,3,40,90,134,146,284,44,14,0,0,40,108,80,126,209,2422,2491,566,584,1753,1924,4742,4997,9740
205051102,9,21,42,44,87,19,9,0,0,9,14,26,31,56,10,5,0,0,10,17,27,23,45,760,775,159,170,510,453,1426,1399,2830
205051103,48,139,181,239,422,76,42,3,0,47,109,122,150,278,62,45,0,0,52,147,111,198,306,2325,2392,505,553,1875,2426,4703,5368,10069
205051104,36,41,89,114,202,49,18,0,0,23,39,65,59,127,28,15,0,0,22,53,57,66,122,920,923,250,244,781,765,1950,1932,3884
206011105,66,160,196,264,461,93,64,0,3,52,143,142,212,351,71,27,0,4,46,121,119,157,270,2739,2755,1955,1951,5038,5756,9735,10462,20196
206011106,27,56,69,116,190,53,28,0,0,25,61,77,91,172,28,12,0,0,14,64,46,71,116,1228,1243,883,878,2037,2638,4145,4754,8898
206011107,37,92,134,165,291,50,25,3,0,27,97,72,116,197,44,21,0,0,42,92,87,110,200,1844,1865,748,755,2494,2963,5092,5578,10674
206011108,66,186,264,359,625,174,95,3,0,58,161,225,255,482,113,48,0,3,68,221,182,274,453,4070,4114,1202,1278,4376,5023,9647,10410,20062
206011109,16,60,88,129,217,57,37,4,0,30,81,87,113,200,58,20,0,0,41,96,95,122,217,1801,1817,342,353,1356,1571,3500,3736,7239
206021110,17,64,68,112,175,51,26,3,0,8,59,65,88,153,25,10,6,0,15,61,41,71,114,1361,1391,451,496,1392,1682,3209,3570,6782
206021111,89,164,250,293,543,112,84,3,0,61,127,176,207,382,73,30,0,0,50,162,131,188,322,3241,3273,1521,1677,3714,4897,8475,9845,18316
206021112,55,142,169,236,401,114,66,10,0,44,121,173,196,365,59,27,3,0,55,141,112,166,275,2523,2538,1005,1169,2958,3647,6487,7354,13840
206031113,29,80,100,146,253,44,28,4,0,20,73,73,108,177,35,15,0,0,35,75,72,93,159,2219,2245,698,705,2312,2711,5225,5661,10891
206031114,61,157,229,300,530,124,76,5,0,35,167,159,243,404,102,46,0,0,78,265,182,314,499,4922,4978,871,884,4021,5045,9819,10901,20722
206031115,18,64,44,90,141,19,7,0,0,11,58,28,65,93,19,4,0,0,21,58,40,62,99,1099,1095,504,469,1821,2338,3422,3911,7328
206031116,32,102,114,177,291,72,46,3,3,43,109,119,156,273,51,23,0,0,51,131,100,152,257,2399,2428,601,579,2158,2607,5156,5618,10771
206041117,36,43,75,70,150,16,18,0,0,20,36,38,53,94,13,3,0,0,16,29,34,37,65,944,957,793,764,4707,5968,6445,7687,14138
206041118,8,14,30,25,59,10,9,3,0,3,10,15,16,33,3,0,0,0,4,7,10,7,11,1525,1516,664,595,2254,2093,4441,4201,8642
206041119,6,23,40,35,73,19,10,0,0,0,20,22,30,48,11,4,0,0,7,38,20,43,59,643,659,342,302,746,991,1734,1951,3685
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,13,10,18,18,40
206041121,20,41,59,71,130,19,8,0,0,26,35,44,45,87,15,6,0,0,13,36,25,35,66,1356,1364,789,767,1818,2165,3965,4302,8262
206041122,14,13,52,36,90,9,4,0,0,11,22,31,27,56,8,3,3,0,18,25,28,26,54,2488,2493,1895,1775,10135,11505,14523,15772,30293
206041123,32,72,82,108,184,34,15,0,0,28,58,64,70,133,16,4,4,0,17,41,39,49,87,1778,1799,1236,1141,4375,4776,7382,7709,15094
206041124,12,24,37,40,72,11,9,0,0,3,16,21,26,39,3,4,0,0,10,30,15,33,49,537,545,265,259,1064,1223,1872,2026,3892
206041125,21,41,80,76,158,29,18,0,0,8,34,40,49,93,28,10,0,0,28,45,55,51,106,759,770,419,343,932,1260,2108,2379,4487
206041126,16,32,66,56,125,25,6,0,0,8,12,29,20,49,9,5,3,0,7,13,21,19,42,2023,2027,1237,1147,4062,4179,7319,7355,14673
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,51,100,198,188,387,64,43,0,0,35,63,102,106,206,64,25,0,4,47,81,110,111,217,2421,2478,895,867,2192,2546,5508,5884,11394
206051129,39,51,81,83,159,26,19,0,0,24,55,45,75,121,22,11,0,0,25,54,45,66,110,1711,1723,1247,1198,2297,3226,5250,6143,11398
206051130,36,132,156,207,364,56,33,0,0,40,83,98,121,212,40,21,3,0,25,77,72,96,164,2474,2482,1047,1024,2182,2944,5699,6447,12145
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6
206051132,23,66,83,108,195,51,21,4,0,24,53,73,78,156,24,14,3,0,22,46,49,64,110,1482,1515,792,719,1898,2269,4174,4507,8678
206051133,62,93,129,142,267,32,20,3,4,37,69,77,92,169,21,13,6,3,56,96,89,109,192,2215,2233,2303,2076,4996,5237,9514,9547,19060
206051134,28,66,79,106,187,30,16,0,0,31,68,62,85,148,19,12,0,0,25,85,52,99,149,1684,1690,1273,1131,3063,3527,6024,6348,12375
206061135,28,76,109,139,248,49,24,0,0,22,69,71,92,162,29,13,0,0,25,99,57,113,162,1383,1394,430,396,1248,1965,3054,3760,6812
206061136,70,121,168,217,386,70,47,3,0,41,117,112,170,283,45,13,0,0,34,97,85,112,195,1985,1997,1657,1405,3657,4358,7295,7766,15061
206061137,38,118,153,198,351,64,46,0,0,24,92,90,144,231,48,22,3,0,43,94,95,113,206,2081,2110,1747,1549,3935,5060,7758,8712,16470
206061138,46,128,227,256,483,116,68,9,3,27,134,144,205,348,101,45,8,5,53,188,163,232,400,2312,2357,529,438,1797,2703,4638,5500,10138
206071139,6,27,34,44,76,15,11,0,0,18,31,35,37,66,17,7,0,0,7,30,28,40,61,827,832,826,731,1574,1693,3224,3255,6479
206071140,24,48,64,80,148,26,30,0,0,18,47,46,73,119,23,5,0,0,27,60,56,70,122,970,971,567,559,1566,2074,3101,3606,6707
206071141,15,30,36,42,77,9,7,0,0,7,28,23,37,59,9,4,0,0,12,23,18,25,39,621,630,813,732,1720,1869,3155,3228,6389
206071142,20,52,63,85,152,25,20,0,0,17,41,45,58,104,25,9,0,0,13,44,41,50,87,871,880,825,719,1875,2258,3560,3859,7422
206071143,48,102,112,154,264,45,27,0,0,29,103,75,133,207,34,13,4,0,22,76,62,89,151,1406,1423,883,901,1960,2807,4251,5127,9378
206071144,85,166,221,261,481,90,50,0,3,65,148,153,203,350,54,28,3,0,52,133,110,160,269,3335,3361,2431,2177,5878,6677,11645,12213,23853
206071145,16,41,50,77,123,28,13,0,0,10,31,39,42,81,16,5,0,0,13,30,26,33,63,1190,1211,606,584,1274,1562,3065,3356,6423
207011146,24,45,86,92,171,32,10,0,0,13,44,38,55,96,27,10,0,0,19,89,46,102,148,1518,1535,184,174,991,1157,2695,2861,5555
207011147,33,157,190,294,487,116,78,0,0,37,160,151,234,394,101,48,3,0,62,205,166,259,421,3077,3132,265,266,2278,3134,5617,6522,12142
207011148,41,126,243,284,524,133,101,4,3,39,149,173,257,431,147,74,5,0,74,240,224,316,533,4128,4221,306,317,2895,3459,7334,7994,15326
207011149,40,141,234,314,550,147,79,3,0,50,137,194,214,414,93,42,0,0,56,197,144,235,387,4076,4153,525,525,2689,3712,7286,8386,15674
207011150,32,116,165,215,376,86,42,0,0,27,76,107,118,230,49,27,0,0,37,157,84,177,264,3411,3474,390,374,1961,2501,5761,6350,12109
207011151,46,102,192,201,391,80,45,0,4,27,87,107,129,240,42,22,3,0,33,133,79,158,240,3207,3272,1215,1143,3858,4552,8280,8972,17251
207011152,23,101,124,170,296,65,38,3,3,23,71,90,107,199,41,18,4,0,30,122,73,141,213,2418,2459,699,684,2309,2928,5424,6070,11498
207011153,60,151,248,309,558,132,84,3,0,52,166,184,255,434,118,51,8,3,69,226,189,282,466,4167,4277,808,796,3456,4470,8430,9540,17968
207011154,23,36,77,73,149,47,32,3,0,9,43,57,79,138,35,16,3,0,26,66,60,83,143,1264,1288,156,158,869,1044,2289,2486,4774
207011155,35,101,167,213,381,91,59,3,0,33,101,124,160,286,76,34,0,0,46,145,117,181,301,3315,3382,337,342,1956,2615,5602,6343,11949
207021156,33,134,266,327,596,169,104,3,0,43,136,215,246,457,130,50,0,0,40,126,173,182,355,2408,2426,243,257,1579,1849,4229,4530,8758
207021157,71,216,437,509,947,276,159,4,4,58,238,342,408,750,171,64,7,0,79,238,254,299,556,4287,4313,457,456,3192,3945,7940,8709,16647
207021159,29,97,295,273,575,138,61,0,0,14,108,160,175,329,72,32,6,0,38,124,112,154,274,3713,3769,291,289,2064,2567,6073,6625,12698
207021160,47,140,310,358,668,162,83,3,0,38,117,205,200,406,69,29,3,0,42,132,118,159,279,2939,2955,243,250,1718,2118,4901,5327,10228
207021424,23,89,226,226,456,114,61,0,0,23,80,142,146,280,80,34,4,3,26,101,108,138,245,3395,3427,211,208,1974,2247,5575,5885,11463
207021425,39,151,269,325,595,128,76,0,3,31,123,164,208,369,94,48,0,0,36,147,125,201,320,2867,2893,284,275,1774,2571,4924,5738,10661
207031161,55,157,246,332,575,163,119,3,0,52,180,213,301,510,130,71,3,0,90,254,222,330,550,4194,4229,518,498,2938,3614,7647,8336,15981
207031162,32,108,162,223,386,90,58,3,0,34,121,128,184,315,76,33,0,0,51,144,132,179,305,2043,2078,239,248,1405,1883,3689,4203,7900
207031163,40,138,150,250,402,101,67,3,0,31,160,140,229,369,79,45,0,0,52,208,136,253,385,3098,3150,577,587,3633,4308,7310,8047,15358
207031164,35,126,202,259,461,125,91,4,0,19,151,147,248,392,76,49,7,0,73,175,153,228,386,3338,3392,429,420,2634,3246,6398,7060,13462
207031165,16,98,100,199,300,97,51,3,5,29,102,128,154,282,79,44,0,0,52,198,128,241,370,1642,1670,297,293,2574,2997,4516,4965,9477
207031166,38,115,216,259,476,127,68,3,0,32,85,164,153,314,61,25,0,0,35,98,100,124,220,2078,2087,195,195,1727,1940,4002,4221,8224
207031167,16,72,95,119,215,55,36,0,0,8,61,64,89,155,35,26,0,0,34,108,74,133,202,1968,1993,259,267,1309,1741,3542,3997,7536
208011168,27,103,179,216,396,101,84,3,0,33,94,132,177,311,91,46,3,3,62,209,158,252,415,2916,2977,302,311,1486,2021,4710,5315,10022
208011169,68,200,302,365,666,143,78,6,3,52,178,201,266,466,124,68,4,0,75,286,208,356,558,4335,4441,670,677,2578,3715,7583,8835,16415
208011170,48,118,194,241,434,93,58,8,3,31,103,128,166,295,83,52,3,4,54,188,140,234,377,3104,3175,411,414,1781,2342,5295,5928,11227
208011171,22,68,114,120,237,47,42,3,0,19,57,70,99,170,64,33,3,0,24,136,86,175,260,1973,2008,377,376,1335,1823,3686,4203,7888
208011172,54,138,191,244,434,72,66,5,3,50,122,124,189,318,74,33,0,3,61,172,130,213,340,3251,3330,532,545,2266,2897,6055,6769,12815
208011173,43,102,191,205,398,82,67,3,0,43,101,123,172,296,89,50,3,0,59,228,156,279,441,3232,3280,519,527,1952,2454,5705,6258,11959
208021174,43,161,216,290,505,111,77,5,0,41,202,155,280,435,102,57,4,0,92,313,196,374,573,4177,4235,623,651,3036,3822,7833,8708,16538
208021176,61,134,174,229,402,69,46,3,4,39,102,113,149,260,61,20,0,0,44,125,106,144,252,3026,3023,753,738,2874,3535,6651,7300,13952
208021177,44,122,184,241,424,82,64,4,0,29,116,114,175,288,104,52,7,0,55,215,164,272,432,3575,3611,751,698,2909,3578,7232,7889,15121
208021178,50,134,181,251,430,100,69,3,0,38,119,145,190,338,89,40,3,0,62,188,155,233,387,3303,3343,544,513,2320,2852,6170,6702,12876
208021179,28,83,92,135,224,45,43,3,3,25,64,73,104,176,43,10,0,0,36,133,84,142,225,1837,1874,560,556,1505,1989,3898,4420,8316
208021180,16,68,64,108,172,39,27,0,4,16,63,59,91,153,26,17,0,0,18,69,47,82,124,1339,1344,252,270,1176,1421,2768,3030,5797
208021181,20,65,74,100,174,34,27,3,0,20,52,57,82,140,32,16,0,0,27,75,56,86,147,1692,1709,354,352,1443,1548,3492,3614,7101
208021182,33,96,104,149,252,38,23,0,0,22,52,63,77,140,38,20,0,0,23,107,61,124,186,2400,2414,442,439,2140,2437,4982,5290,10274
208021426,28,85,152,189,349,101,89,4,0,42,67,141,154,299,97,46,3,0,55,167,154,209,368,2896,2913,391,395,1845,2319,5129,5629,10758
208021427,37,99,144,199,349,107,85,0,3,32,141,136,223,367,84,32,0,0,62,146,153,185,334,2581,2611,374,374,1702,2155,4655,5137,9793
208031183,15,51,84,99,185,38,36,0,0,16,35,52,71,126,30,13,0,0,13,38,43,47,88,1989,2005,171,178,1120,1288,3280,3466,6743
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,11,4,12,6,19
208031185,37,85,129,157,282,60,47,0,0,25,86,88,132,217,45,20,0,0,29,127,79,148,227,2063,2071,482,491,1593,1983,4130,4541,8672
208031186,53,138,165,228,387,75,53,3,0,32,118,106,171,280,42,20,3,3,45,158,90,176,267,2188,2202,686,701,1926,2637,4809,5534,10342
208031187,15,39,61,83,148,28,17,0,0,16,34,47,56,103,15,7,0,0,13,29,21,34,54,1015,1023,187,202,705,876,1909,2096,4009
208031188,75,188,297,356,657,160,112,3,3,70,210,235,333,567,122,60,4,8,96,309,220,378,595,3971,3996,817,821,3045,4032,7836,8847,16679
208031189,32,80,150,173,326,61,42,5,0,21,82,89,117,213,39,26,0,3,32,103,73,133,200,2300,2319,511,527,1564,1900,4378,4749,9121
208031190,40,104,169,221,387,96,58,3,0,37,71,131,131,265,74,34,3,0,41,114,115,148,269,2295,2310,515,517,1854,2323,4662,5151,9815
208031191,23,60,94,114,208,57,44,0,0,13,58,73,107,179,46,20,0,0,30,84,79,98,174,1554,1574,325,315,1181,1365,3064,3257,6316
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,55,129,189,234,427,97,66,4,3,54,131,151,207,351,75,34,7,3,78,175,160,215,372,3527,3568,762,800,2604,3259,6893,7630,14519
208041194,55,156,258,297,552,111,82,3,4,41,148,157,232,385,90,36,0,0,58,204,149,246,387,3516,3605,726,678,2751,3647,6991,7925,14917
208041195,39,137,213,249,465,101,78,4,0,32,113,139,193,329,83,40,0,0,57,177,145,212,361,3811,3871,661,617,3190,3933,7663,8425,16086
209011196,30,81,145,154,298,69,46,0,0,19,64,86,115,198,47,25,0,0,24,77,70,107,178,1911,1925,254,253,1598,1634,3767,3812,7579
209011197,42,122,233,259,494,95,69,0,3,27,119,126,192,315,60,27,0,0,49,153,111,187,295,4126,4140,643,648,2606,3246,7370,8032,15404
209011198,41,118,185,242,427,112,93,4,0,38,124,153,216,372,105,51,0,0,69,187,175,239,412,2730,2772,487,493,1880,2403,5095,5666,10760
209011199,52,104,103,155,262,49,41,0,0,33,102,86,136,225,45,26,4,0,37,150,87,178,259,1793,1816,571,579,2540,2836,4902,5230,10135
209011200,35,84,112,147,262,58,31,3,3,17,70,73,107,183,41,12,0,0,33,107,74,126,194,2081,2117,435,434,1620,2075,4136,4627,8764
209011201,17,38,95,92,191,49,38,0,0,16,46,65,84,146,46,17,0,0,22,79,73,102,173,1641,1667,194,184,964,1181,2806,3028,5836
209011202,40,127,184,256,448,91,58,3,3,37,81,129,140,272,49,28,3,0,34,102,85,134,217,3104,3131,534,574,2000,2597,5638,6303,11945
209011203,53,151,255,311,560,156,90,0,0,40,138,195,227,427,92,52,5,0,58,152,153,206,360,3624,3658,544,558,2288,2805,6454,7019,13470
209011204,34,70,153,163,319,72,47,0,3,29,67,94,110,210,43,24,0,0,21,91,67,117,188,1743,1743,306,311,1337,1495,3379,3548,6925
