SA4_NAME16	Year	IndustryOfEmployment	workers
Sydney - Eastern Suburbs	2006	Mining	164
Sydney - Eastern Suburbs	2006	Other services	3625
Sydney - Eastern Suburbs	2006	Professional scientific and technical services	15837
Sydney - Eastern Suburbs	2006	Public administration and safety	6607
Sydney - Eastern Suburbs	2006	Rental hiring and real estate services	2979
Sydney - Eastern Suburbs	2006	Retail trade	9803
Sydney - Eastern Suburbs	2006	Transport postal and warehousing	4662
Sydney - Eastern Suburbs	2006	Wholesale trade	5223
Sydney - Eastern Suburbs	2011		3154
Sydney - Eastern Suburbs	2011	Accommodation and food services	8006
Sydney - Eastern Suburbs	2011	Administrative and support services	4812
Sydney - Eastern Suburbs	2011	Agriculture forestry and fishing	226
Sydney - Eastern Suburbs	2011	Arts and recreation services	3279
Sydney - Eastern Suburbs	2011	Construction	6748
Sydney - Eastern Suburbs	2011	Education and training	11033
Sydney - Eastern Suburbs	2011	Electricity gas water and waste services	674
Sydney - Eastern Suburbs	2011	Financial and insurance services	11587
Sydney - Eastern Suburbs	2011	Health care and social assistance	14013
Sydney - Eastern Suburbs	2011	Information media and telecommunications	6051
Sydney - Eastern Suburbs	2011	Manufacturing	4987
Sydney - Eastern Suburbs	2011	Mining	276
Sydney - Eastern Suburbs	2011	Other services	3744
Sydney - Eastern Suburbs	2011	Professional scientific and technical services	18911
Sydney - Eastern Suburbs	2011	Public administration and safety	6396
Sydney - Eastern Suburbs	2011	Rental hiring and real estate services	3115
Sydney - Eastern Suburbs	2011	Retail trade	9542
Sydney - Eastern Suburbs	2011	Transport postal and warehousing	4719
Sydney - Eastern Suburbs	2011	Wholesale trade	5300
Sydney - Eastern Suburbs	2016		6040
Sydney - Eastern Suburbs	2016	Accommodation and food services	8945
Sydney - Eastern Suburbs	2016	Administrative and support services	5359
Sydney - Eastern Suburbs	2016	Agriculture forestry and fishing	288
Sydney - Eastern Suburbs	2016	Arts and recreation services	3664
Sydney - Eastern Suburbs	2016	Construction	8454
Sydney - Eastern Suburbs	2016	Education and training	12629
Sydney - Eastern Suburbs	2016	Electricity gas water and waste services	634
Sydney - Eastern Suburbs	2016	Financial and insurance services	11787
Sydney - Eastern Suburbs	2016	Health care and social assistance	15465
Sydney - Eastern Suburbs	2016	Information media and telecommunications	5798
Sydney - Eastern Suburbs	2016	Manufacturing	3611
Sydney - Eastern Suburbs	2016	Mining	214
Sydney - Eastern Suburbs	2016	Other services	3979
Sydney - Eastern Suburbs	2016	Professional scientific and technical services	20529
Sydney - Eastern Suburbs	2016	Public administration and safety	6546
Sydney - Eastern Suburbs	2016	Rental hiring and real estate services	3900
Sydney - Eastern Suburbs	2016	Retail trade	9648
Sydney - Eastern Suburbs	2016	Transport postal and warehousing	4738
Sydney - Eastern Suburbs	2016	Wholesale trade	3653
Sydney - Inner South West	2006		7000
Sydney - Inner South West	2006	Accommodation and food services	14329
Sydney - Inner South West	2006	Administrative and support services	7150
Sydney - Inner South West	2006	Agriculture forestry and fishing	261
Sydney - Inner South West	2006	Arts and recreation services	2468
Sydney - Inner South West	2006	Construction	14952
Sydney - Inner South West	2006	Education and training	12140
Sydney - Inner South West	2006	Electricity gas water and waste services	1600
Sydney - Inner South West	2006	Financial and insurance services	12353
Sydney - Inner South West	2006	Health care and social assistance	18546
Sydney - Inner South West	2006	Information media and telecommunications	4942
Sydney - Inner South West	2006	Manufacturing	21675
Sydney - Inner South West	2006	Mining	134
Sydney - Inner South West	2006	Other services	8376
Sydney - Inner South West	2006	Professional scientific and technical services	13419
Sydney - Inner South West	2006	Public administration and safety	10533
Sydney - Inner South West	2006	Rental hiring and real estate services	3272
Sydney - Inner South West	2006	Retail trade	22794
Sydney - Inner South West	2006	Transport postal and warehousing	16549
Sydney - Inner South West	2006	Wholesale trade	11601
Sydney - Inner South West	2011		7027
Sydney - Inner South West	2011	Accommodation and food services	16913
Sydney - Inner South West	2011	Administrative and support services	8363
Sydney - Inner South West	2011	Agriculture forestry and fishing	229
Sydney - Inner South West	2011	Arts and recreation services	2922
Sydney - Inner South West	2011	Construction	15862
Sydney - Inner South West	2011	Education and training	14115
Sydney - Inner South West	2011	Electricity gas water and waste services	1691
Sydney - Inner South West	2011	Financial and insurance services	13318
Sydney - Inner South West	2011	Health care and social assistance	22766
Sydney - Inner South West	2011	Information media and telecommunications	4998
Sydney - Inner South West	2011	Manufacturing	19610
Sydney - Inner South West	2011	Mining	178
Sydney - Inner South West	2011	Other services	8974
Sydney - Inner South West	2011	Professional scientific and technical services	15764
Sydney - Inner South West	2011	Public administration and safety	11589
Sydney - Inner South West	2011	Rental hiring and real estate services	3523
Sydney - Inner South West	2011	Retail trade	23364
Sydney - Inner South West	2011	Transport postal and warehousing	18182
Sydney - Inner South West	2011	Wholesale trade	11630
Sydney - Inner South West	2016		14679
Sydney - Inner South West	2016	Accommodation and food services	20092
Sydney - Inner South West	2016	Administrative and support services	10238
Sydney - Inner South West	2016	Agriculture forestry and fishing	446
Sydney - Inner South West	2016	Arts and recreation services	3427
Sydney - Inner South West	2016	Construction	20864
Sydney - Inner South West	2016	Education and training	17341
Sydney - Inner South West	2016	Electricity gas water and waste services	1507
Sydney - Inner South West	2016	Financial and insurance services	14280
Sydney - Inner South West	2016	Health care and social assistance	27707
Sydney - Inner South West	2016	Information media and telecommunications	5050
Sydney - Inner South West	2016	Manufacturing	14070
Sydney - Inner South West	2016	Mining	223
Sydney - Inner South West	2016	Other services	9703
Sydney - Inner South West	2016	Professional scientific and technical services	18835
Sydney - Inner South West	2016	Public administration and safety	12193
Sydney - Inner South West	2016	Rental hiring and real estate services	4331
Sydney - Inner South West	2016	Retail trade	25549
Sydney - Inner South West	2016	Transport postal and warehousing	18554
Sydney - Inner South West	2016	Wholesale trade	8312
Sydney - Inner West	2006		3153
Sydney - Inner West	2006	Accommodation and food services	7805
Sydney - Inner West	2006	Administrative and support services	4647
Sydney - Inner West	2006	Agriculture forestry and fishing	204
Sydney - Inner West	2006	Arts and recreation services	2251
Sydney - Inner West	2006	Construction	6809
Sydney - Inner West	2006	Education and training	10439
Sydney - Inner West	2006	Electricity gas water and waste services	804
Sydney - Inner West	2006	Financial and insurance services	9684
Sydney - Inner West	2006	Health care and social assistance	13065
Sydney - Inner West	2006	Information media and telecommunications	5197
Sydney - Inner West	2006	Manufacturing	7911
Sydney - Inner West	2006	Mining	133
Sydney - Inner West	2006	Other services	4131
Sydney - Inner West	2006	Professional scientific and technical services	14193
Sydney - Inner West	2006	Public administration and safety	6701
Sydney - Inner West	2006	Rental hiring and real estate services	2468
Sydney - Inner West	2006	Retail trade	11440
Sydney - Inner West	2006	Transport postal and warehousing	4963
Sydney - Inner West	2006	Wholesale trade	6469
Sydney - Inner West	2011		3245
Sydney - Inner West	2011	Accommodation and food services	8988
Sydney - Inner West	2011	Administrative and support services	5111
Sydney - Inner West	2011	Agriculture forestry and fishing	175
Sydney - Inner West	2011	Arts and recreation services	2735
Sydney - Inner West	2011	Construction	7270
Sydney - Inner West	2011	Education and training	11907
Sydney - Inner West	2011	Electricity gas water and waste services	899
Sydney - Inner West	2011	Financial and insurance services	11051
Sydney - Inner West	2011	Health care and social assistance	15333
Sydney - Inner West	2011	Information media and telecommunications	5627
Sydney - Inner West	2011	Manufacturing	7646
Sydney - Inner West	2011	Mining	176
Sydney - Inner West	2011	Other services	4378
Sydney - Inner West	2011	Professional scientific and technical services	16692
Sydney - Inner West	2011	Public administration and safety	7523
Sydney - Inner West	2011	Rental hiring and real estate services	2750
Sydney - Inner West	2011	Retail trade	11626
Sydney - Inner West	2011	Transport postal and warehousing	5134
Sydney - Inner West	2011	Wholesale trade	6803
Sydney - Inner West	2016		6900
Sydney - Inner West	2016	Accommodation and food services	10943
Sydney - Inner West	2016	Administrative and support services	5562
Sydney - Inner West	2016	Agriculture forestry and fishing	276
Sydney - Inner West	2016	Arts and recreation services	3108
Sydney - Inner West	2016	Construction	9185
Sydney - Inner West	2016	Education and training	13425
Sydney - Inner West	2016	Electricity gas water and waste services	872
Sydney - Inner West	2016	Financial and insurance services	12098
Sydney - Inner West	2016	Health care and social assistance	17455
Sydney - Inner West	2016	Information media and telecommunications	5811
Sydney - Inner West	2016	Manufacturing	5854
Sydney - Inner West	2016	Mining	199
Sydney - Inner West	2016	Other services	4639
Sydney - Inner West	2016	Professional scientific and technical services	19279
Sydney - Inner West	2016	Public administration and safety	8143
Sydney - Inner West	2016	Rental hiring and real estate services	3513
Sydney - Inner West	2016	Retail trade	12449
Sydney - Inner West	2016	Transport postal and warehousing	5321
Sydney - Inner West	2016	Wholesale trade	5080
Sydney - North Sydney and Hornsby	2006		4463
Sydney - North Sydney and Hornsby	2006	Accommodation and food services	8993
Sydney - North Sydney and Hornsby	2006	Administrative and support services	6652
Sydney - North Sydney and Hornsby	2006	Agriculture forestry and fishing	568
Sydney - North Sydney and Hornsby	2006	Arts and recreation services	2639
Sydney - North Sydney and Hornsby	2006	Construction	7697
Sydney - North Sydney and Hornsby	2006	Education and training	14342
Sydney - North Sydney and Hornsby	2006	Electricity gas water and waste services	1082
Sydney - North Sydney and Hornsby	2006	Financial and insurance services	19346
Sydney - North Sydney and Hornsby	2006	Health care and social assistance	19375
Sydney - North Sydney and Hornsby	2006	Information media and telecommunications	8346
Sydney - North Sydney and Hornsby	2006	Manufacturing	9505
Sydney - North Sydney and Hornsby	2006	Mining	360
Sydney - North Sydney and Hornsby	2006	Other services	5206
Sydney - North Sydney and Hornsby	2006	Professional scientific and technical services	30303
Sydney - North Sydney and Hornsby	2006	Public administration and safety	7281
Sydney - North Sydney and Hornsby	2006	Rental hiring and real estate services	4198
Sydney - North Sydney and Hornsby	2006	Retail trade	15632
Sydney - North Sydney and Hornsby	2006	Transport postal and warehousing	4781
Sydney - North Sydney and Hornsby	2006	Wholesale trade	10176
Sydney - North Sydney and Hornsby	2011		4141
Sydney - North Sydney and Hornsby	2011	Accommodation and food services	9459
Sydney - North Sydney and Hornsby	2011	Administrative and support services	6546
Sydney - North Sydney and Hornsby	2011	Agriculture forestry and fishing	451
Sydney - North Sydney and Hornsby	2011	Arts and recreation services	3003
Sydney - North Sydney and Hornsby	2011	Construction	8177
Sydney - North Sydney and Hornsby	2011	Education and training	15997
Sydney - North Sydney and Hornsby	2011	Electricity gas water and waste services	1139
Sydney - North Sydney and Hornsby	2011	Financial and insurance services	20715
Sydney - North Sydney and Hornsby	2011	Health care and social assistance	21916
Sydney - North Sydney and Hornsby	2011	Information media and telecommunications	8928
Sydney - North Sydney and Hornsby	2011	Manufacturing	9072
Sydney - North Sydney and Hornsby	2011	Mining	532
Sydney - North Sydney and Hornsby	2011	Other services	5314
Sydney - North Sydney and Hornsby	2011	Professional scientific and technical services	33934
Sydney - North Sydney and Hornsby	2011	Public administration and safety	7813
Sydney - North Sydney and Hornsby	2011	Rental hiring and real estate services	4389
Sydney - North Sydney and Hornsby	2011	Retail trade	14582
Sydney - North Sydney and Hornsby	2011	Transport postal and warehousing	4773
Sydney - North Sydney and Hornsby	2011	Wholesale trade	10258
Sydney - North Sydney and Hornsby	2016		8474
Sydney - North Sydney and Hornsby	2016	Accommodation and food services	10792
Sydney - North Sydney and Hornsby	2016	Administrative and support services	6600
Sydney - North Sydney and Hornsby	2016	Agriculture forestry and fishing	618
Sydney - North Sydney and Hornsby	2016	Arts and recreation services	3480
Sydney - North Sydney and Hornsby	2016	Construction	9536
Sydney - North Sydney and Hornsby	2016	Education and training	18123
Sydney - North Sydney and Hornsby	2016	Electricity gas water and waste services	1157
Sydney - North Sydney and Hornsby	2016	Financial and insurance services	21667
Sydney - North Sydney and Hornsby	2016	Health care and social assistance	24703
Sydney - North Sydney and Hornsby	2016	Information media and telecommunications	9128
Sydney - North Sydney and Hornsby	2016	Manufacturing	7235
Sydney - North Sydney and Hornsby	2016	Mining	553
Sydney - North Sydney and Hornsby	2016	Other services	5813
Sydney - North Sydney and Hornsby	2016	Professional scientific and technical services	35662
Sydney - North Sydney and Hornsby	2016	Public administration and safety	8709
Sydney - North Sydney and Hornsby	2016	Rental hiring and real estate services	5348
Sydney - North Sydney and Hornsby	2016	Retail trade	15238
Sydney - North Sydney and Hornsby	2016	Transport postal and warehousing	4935
Sydney - North Sydney and Hornsby	2016	Wholesale trade	7955
Sydney - Northern Beaches	2006		3013
Sydney - Northern Beaches	2006	Accommodation and food services	6486
Sydney - Northern Beaches	2006	Administrative and support services	4344
Sydney - Northern Beaches	2006	Agriculture forestry and fishing	331
Sydney - Northern Beaches	2006	Arts and recreation services	1821
Sydney - Northern Beaches	2006	Construction	9488
Sydney - Northern Beaches	2006	Education and training	8365
Sydney - Northern Beaches	2006	Electricity gas water and waste services	771
Sydney - Northern Beaches	2006	Financial and insurance services	7801
Sydney - Northern Beaches	2006	Health care and social assistance	10854
Sydney - Northern Beaches	2006	Information media and telecommunications	4331
Sydney - Northern Beaches	2006	Manufacturing	8348
Sydney - Northern Beaches	2006	Mining	158
Sydney - Northern Beaches	2006	Other services	4381
Sydney - Northern Beaches	2006	Professional scientific and technical services	13872
Sydney - Northern Beaches	2006	Public administration and safety	4904
Sydney - Northern Beaches	2006	Rental hiring and real estate services	2660
Sydney - Northern Beaches	2006	Retail trade	12280
Sydney - Northern Beaches	2006	Transport postal and warehousing	3625
Sydney - Northern Beaches	2006	Wholesale trade	7537
Sydney - Northern Beaches	2011		2850
Sydney - Northern Beaches	2011	Accommodation and food services	6698
Sydney - Northern Beaches	2011	Administrative and support services	4664
Sydney - Northern Beaches	2011	Agriculture forestry and fishing	293
Sydney - Northern Beaches	2011	Arts and recreation services	2206
Sydney - Northern Beaches	2011	Construction	10003
Sydney - Northern Beaches	2011	Education and training	9450
Sydney - Northern Beaches	2011	Electricity gas water and waste services	822
Sydney - Northern Beaches	2011	Financial and insurance services	8452
Sydney - Northern Beaches	2011	Health care and social assistance	12235
Sydney - Northern Beaches	2011	Information media and telecommunications	4569
Sydney - Northern Beaches	2011	Manufacturing	7625
Sydney - Northern Beaches	2011	Mining	222
Sydney - Northern Beaches	2011	Other services	4690
Sydney - Northern Beaches	2011	Professional scientific and technical services	16010
Sydney - Northern Beaches	2011	Public administration and safety	5011
Sydney - Northern Beaches	2011	Rental hiring and real estate services	2771
Sydney - Northern Beaches	2011	Retail trade	11747
Sydney - Northern Beaches	2011	Transport postal and warehousing	3522
Sydney - Northern Beaches	2011	Wholesale trade	7786
Sydney - Northern Beaches	2016		6223
Sydney - Northern Beaches	2016	Accommodation and food services	7764
Sydney - Northern Beaches	2016	Administrative and support services	4898
Sydney - Northern Beaches	2016	Agriculture forestry and fishing	429
Sydney - Northern Beaches	2016	Arts and recreation services	2590
Sydney - Northern Beaches	2016	Construction	11582
Sydney - Northern Beaches	2016	Education and training	11043
Sydney - Northern Beaches	2016	Electricity gas water and waste services	758
Sydney - Northern Beaches	2016	Financial and insurance services	8741
Sydney - Northern Beaches	2016	Health care and social assistance	13921
Sydney - Northern Beaches	2016	Information media and telecommunications	4653
Sydney - Northern Beaches	2016	Manufacturing	5693
Sydney - Northern Beaches	2016	Mining	228
Sydney - Northern Beaches	2016	Other services	4815
Sydney - Northern Beaches	2016	Professional scientific and technical services	17115
Sydney - Northern Beaches	2016	Public administration and safety	5408
Sydney - Northern Beaches	2016	Rental hiring and real estate services	3115
Sydney - Northern Beaches	2016	Retail trade	11820
Sydney - Northern Beaches	2016	Transport postal and warehousing	3608
Sydney - Northern Beaches	2016	Wholesale trade	5278
Sydney - Outer South West	2006		2677
Sydney - Outer South West	2006	Accommodation and food services	5417
Sydney - Outer South West	2006	Administrative and support services	3044
Sydney - Outer South West	2006	Agriculture forestry and fishing	768
Sydney - Outer South West	2006	Arts and recreation services	1167
Sydney - Outer South West	2006	Construction	8358
Sydney - Outer South West	2006	Education and training	7571
Sydney - Outer South West	2006	Electricity gas water and waste services	1124
Sydney - Outer South West	2006	Financial and insurance services	4197
Sydney - Outer South West	2006	Health care and social assistance	9409
Sydney - Outer South West	2006	Information media and telecommunications	1593
Sydney - Outer South West	2006	Manufacturing	14807
Sydney - Outer South West	2006	Mining	595
Sydney - Outer South West	2006	Other services	4034
Sydney - Outer South West	2006	Professional scientific and technical services	4800
Sydney - Outer South West	2006	Public administration and safety	6348
Sydney - Outer South West	2006	Rental hiring and real estate services	1725
Sydney - Outer South West	2006	Retail trade	11896
Sydney - Outer South West	2006	Transport postal and warehousing	8085
Sydney - Outer South West	2006	Wholesale trade	5213
Sydney - Outer South West	2011		2777
Sydney - Outer South West	2011	Accommodation and food services	6006
Sydney - Outer South West	2011	Administrative and support services	3522
Sydney - Outer South West	2011	Agriculture forestry and fishing	753
Sydney - Outer South West	2011	Arts and recreation services	1386
Sydney - Outer South West	2011	Construction	9257
Sydney - Outer South West	2011	Education and training	8515
Sydney - Outer South West	2011	Electricity gas water and waste services	1380
Sydney - Outer South West	2011	Financial and insurance services	4382
Sydney - Outer South West	2011	Health care and social assistance	11600
Sydney - Outer South West	2011	Information media and telecommunications	1573
Sydney - Outer South West	2011	Manufacturing	14309
Sydney - Outer South West	2011	Mining	700
Sydney - Outer South West	2011	Other services	4267
Sydney - Outer South West	2011	Professional scientific and technical services	5134
Sydney - Outer South West	2011	Public administration and safety	7090
Sydney - Outer South West	2011	Rental hiring and real estate services	1691
Sydney - Outer South West	2011	Retail trade	11750
Sydney - Outer South West	2011	Transport postal and warehousing	8563
Sydney - Outer South West	2011	Wholesale trade	5505
Sydney - Outer South West	2016		6540
Sydney - Outer South West	2016	Accommodation and food services	7071
Sydney - Outer South West	2016	Administrative and support services	4018
Sydney - Outer South West	2016	Agriculture forestry and fishing	855
Sydney - Outer South West	2016	Arts and recreation services	1510
Sydney - Outer South West	2016	Construction	12656
Sydney - Outer South West	2016	Education and training	9856
Sydney - Outer South West	2016	Electricity gas water and waste services	1384
Sydney - Outer South West	2016	Financial and insurance services	4709
Sydney - Outer South West	2016	Health care and social assistance	14087
Sydney - Outer South West	2016	Information media and telecommunications	1539
Sydney - Outer South West	2016	Manufacturing	10652
Sydney - Outer South West	2016	Mining	683
Sydney - Outer South West	2016	Other services	4538
Sydney - Outer South West	2016	Professional scientific and technical services	5860
Sydney - Outer South West	2016	Public administration and safety	7805
Sydney - Outer South West	2016	Rental hiring and real estate services	1937
Sydney - Outer South West	2016	Retail trade	12830
Sydney - Outer South West	2016	Transport postal and warehousing	9018
Sydney - Outer South West	2016	Wholesale trade	4264
Sydney - Outer West and Blue Mountains	2006		3267
Sydney - Outer West and Blue Mountains	2006	Accommodation and food services	7913
Sydney - Outer West and Blue Mountains	2006	Administrative and support services	3720
Sydney - Outer West and Blue Mountains	2006	Agriculture forestry and fishing	1078
Sydney - Outer West and Blue Mountains	2006	Arts and recreation services	1783
Sydney - Outer West and Blue Mountains	2006	Construction	11707
Sydney - Outer West and Blue Mountains	2006	Education and training	11166
Sydney - Outer West and Blue Mountains	2006	Electricity gas water and waste services	1809
Sydney - Outer West and Blue Mountains	2006	Financial and insurance services	5243
Sydney - Outer West and Blue Mountains	2006	Health care and social assistance	13750
Sydney - Outer West and Blue Mountains	2006	Information media and telecommunications	2331
Sydney - Outer West and Blue Mountains	2006	Manufacturing	15433
Sydney - Outer West and Blue Mountains	2006	Mining	340
Sydney - Outer West and Blue Mountains	2006	Other services	5372
Sydney - Outer West and Blue Mountains	2006	Professional scientific and technical services	6307
Sydney - Outer West and Blue Mountains	2006	Public administration and safety	10737
Sydney - Outer West and Blue Mountains	2006	Rental hiring and real estate services	2143
Sydney - Outer West and Blue Mountains	2006	Retail trade	15413
Sydney - Outer West and Blue Mountains	2006	Transport postal and warehousing	8212
Sydney - Outer West and Blue Mountains	2006	Wholesale trade	6486
Sydney - Outer West and Blue Mountains	2011		3358
Sydney - Outer West and Blue Mountains	2011	Accommodation and food services	8059
Sydney - Outer West and Blue Mountains	2011	Administrative and support services	4135
Sydney - Outer West and Blue Mountains	2011	Agriculture forestry and fishing	999
Sydney - Outer West and Blue Mountains	2011	Arts and recreation services	2137
Sydney - Outer West and Blue Mountains	2011	Construction	12340
Sydney - Outer West and Blue Mountains	2011	Education and training	12211
Sydney - Outer West and Blue Mountains	2011	Electricity gas water and waste services	2037
Sydney - Outer West and Blue Mountains	2011	Financial and insurance services	5219
Sydney - Outer West and Blue Mountains	2011	Health care and social assistance	15746
Sydney - Outer West and Blue Mountains	2011	Information media and telecommunications	2193
Sydney - Outer West and Blue Mountains	2011	Manufacturing	14484
Sydney - Outer West and Blue Mountains	2011	Mining	365
Sydney - Outer West and Blue Mountains	2011	Other services	5620
Sydney - Outer West and Blue Mountains	2011	Professional scientific and technical services	6536
Sydney - Outer West and Blue Mountains	2011	Public administration and safety	11385
Sydney - Outer West and Blue Mountains	2011	Rental hiring and real estate services	2056
Sydney - Outer West and Blue Mountains	2011	Retail trade	14940
Sydney - Outer West and Blue Mountains	2011	Transport postal and warehousing	8712
Sydney - Outer West and Blue Mountains	2011	Wholesale trade	6697
Sydney - Outer West and Blue Mountains	2016		7171
Sydney - Outer West and Blue Mountains	2016	Accommodation and food services	9211
Sydney - Outer West and Blue Mountains	2016	Administrative and support services	4685
Sydney - Outer West and Blue Mountains	2016	Agriculture forestry and fishing	1317
Sydney - Outer West and Blue Mountains	2016	Arts and recreation services	2399
Sydney - Outer West and Blue Mountains	2016	Construction	16142
Sydney - Outer West and Blue Mountains	2016	Education and training	13462
Sydney - Outer West and Blue Mountains	2016	Electricity gas water and waste services	2030
Sydney - Outer West and Blue Mountains	2016	Financial and insurance services	5445
Sydney - Outer West and Blue Mountains	2016	Health care and social assistance	17412
Sydney - Outer West and Blue Mountains	2016	Information media and telecommunications	2045
Sydney - Outer West and Blue Mountains	2016	Manufacturing	10599
Sydney - Outer West and Blue Mountains	2016	Mining	366
Sydney - Outer West and Blue Mountains	2016	Other services	5679
Sydney - Outer West and Blue Mountains	2016	Professional scientific and technical services	7077
Sydney - Outer West and Blue Mountains	2016	Public administration and safety	11368
Sydney - Outer West and Blue Mountains	2016	Rental hiring and real estate services	2361
Sydney - Outer West and Blue Mountains	2016	Retail trade	14701
Sydney - Outer West and Blue Mountains	2016	Transport postal and warehousing	8894
Sydney - Outer West and Blue Mountains	2016	Wholesale trade	4986
Sydney - Parramatta	2006		4939
Sydney - Parramatta	2006	Accommodation and food services	9152
Sydney - Parramatta	2006	Administrative and support services	5069
Sydney - Parramatta	2006	Agriculture forestry and fishing	293
Sydney - Parramatta	2006	Arts and recreation services	1622
Sydney - Parramatta	2006	Construction	11013
Sydney - Parramatta	2006	Education and training	8962
Sydney - Parramatta	2006	Electricity gas water and waste services	1232
Sydney - Parramatta	2006	Financial and insurance services	9035
Sydney - Parramatta	2006	Health care and social assistance	14854
Sydney - Parramatta	2006	Information media and telecommunications	3627
Sydney - Parramatta	2006	Manufacturing	17706
Sydney - Parramatta	2006	Mining	142
Sydney - Parramatta	2006	Other services	5766
Sydney - Parramatta	2006	Professional scientific and technical services	9994
Sydney - Parramatta	2006	Public administration and safety	7810
Sydney - Parramatta	2006	Rental hiring and real estate services	2225
Sydney - Parramatta	2006	Retail trade	15820
Sydney - Parramatta	2006	Transport postal and warehousing	8355
Sydney - Parramatta	2006	Wholesale trade	9671
Sydney - Parramatta	2011		5454
Sydney - Parramatta	2011	Accommodation and food services	10854
Sydney - Parramatta	2011	Administrative and support services	6099
Sydney - Parramatta	2011	Agriculture forestry and fishing	268
Sydney - Parramatta	2011	Arts and recreation services	1969
Sydney - Parramatta	2011	Construction	12232
Sydney - Parramatta	2011	Education and training	10474
Sydney - Parramatta	2011	Electricity gas water and waste services	1513
Sydney - Parramatta	2011	Financial and insurance services	10612
Sydney - Parramatta	2011	Health care and social assistance	18857
Sydney - Parramatta	2011	Information media and telecommunications	4229
Sydney - Parramatta	2011	Manufacturing	17220
Sydney - Parramatta	2011	Mining	166
Sydney - Parramatta	2011	Other services	6171
Sydney - Parramatta	2011	Professional scientific and technical services	12731
Sydney - Parramatta	2011	Public administration and safety	8898
Sydney - Parramatta	2011	Rental hiring and real estate services	2283
Sydney - Parramatta	2011	Retail trade	17278
Sydney - Parramatta	2011	Transport postal and warehousing	9474
Sydney - Parramatta	2011	Wholesale trade	10274
Sydney - Parramatta	2016		12449
Sydney - Parramatta	2016	Accommodation and food services	12724
Sydney - Parramatta	2016	Administrative and support services	7349
Sydney - Parramatta	2016	Agriculture forestry and fishing	401
Sydney - Parramatta	2016	Arts and recreation services	2304
Sydney - Parramatta	2016	Construction	17077
Sydney - Parramatta	2016	Education and training	12701
Sydney - Parramatta	2016	Electricity gas water and waste services	1412
Sydney - Parramatta	2016	Financial and insurance services	11754
Sydney - Parramatta	2016	Health care and social assistance	23177
Sydney - Parramatta	2016	Information media and telecommunications	4468
Sydney - Parramatta	2016	Manufacturing	12961
Sydney - Parramatta	2016	Mining	199
Sydney - Parramatta	2016	Other services	6552
Sydney - Parramatta	2016	Professional scientific and technical services	16410
Sydney - Parramatta	2016	Public administration and safety	9752
Sydney - Parramatta	2016	Rental hiring and real estate services	2888
Sydney - Parramatta	2016	Retail trade	18450
Sydney - Parramatta	2016	Transport postal and warehousing	10532
Sydney - Parramatta	2016	Wholesale trade	7880
Sydney - Ryde	2006		1820
Sydney - Ryde	2006	Accommodation and food services	4200
Sydney - Ryde	2006	Administrative and support services	2513
Sydney - Ryde	2006	Agriculture forestry and fishing	169
Sydney - Ryde	2006	Arts and recreation services	960
Sydney - Ryde	2006	Construction	4072
Sydney - Ryde	2006	Education and training	6842
Sydney - Ryde	2006	Electricity gas water and waste services	603
Sydney - Ryde	2006	Financial and insurance services	5339
Sydney - Ryde	2006	Health care and social assistance	8516
Sydney - Ryde	2006	Information media and telecommunications	2665
Sydney - Ryde	2006	Manufacturing	5417
Sydney - Ryde	2006	Mining	90
Sydney - Ryde	2006	Other services	2697
Sydney - Ryde	2006	Professional scientific and technical services	9028
Sydney - Ryde	2006	Public administration and safety	3629
Sydney - Ryde	2006	Rental hiring and real estate services	1414
Sydney - Ryde	2006	Retail trade	7359
Sydney - Ryde	2006	Transport postal and warehousing	2416
Sydney - Ryde	2006	Wholesale trade	4733
Sydney - Ryde	2011		1787
Sydney - Ryde	2011	Accommodation and food services	4419
Sydney - Ryde	2011	Administrative and support services	2607
Sydney - Ryde	2011	Agriculture forestry and fishing	123
Sydney - Ryde	2011	Arts and recreation services	1143
Sydney - Ryde	2011	Construction	4324
Sydney - Ryde	2011	Education and training	7545
Sydney - Ryde	2011	Electricity gas water and waste services	594
Sydney - Ryde	2011	Financial and insurance services	6047
Sydney - Ryde	2011	Health care and social assistance	9482
Sydney - Ryde	2011	Information media and telecommunications	3190
Sydney - Ryde	2011	Manufacturing	5213
Sydney - Ryde	2011	Mining	118
Sydney - Ryde	2011	Other services	2784
Sydney - Ryde	2011	Professional scientific and technical services	10295
Sydney - Ryde	2011	Public administration and safety	3674
Sydney - Ryde	2011	Rental hiring and real estate services	1446
Sydney - Ryde	2011	Retail trade	7050
Sydney - Ryde	2011	Transport postal and warehousing	2510
Sydney - Ryde	2011	Wholesale trade	4871
Sydney - Ryde	2016		4034
Sydney - Ryde	2016	Accommodation and food services	5511
Sydney - Ryde	2016	Administrative and support services	2847
Sydney - Ryde	2016	Agriculture forestry and fishing	198
Sydney - Ryde	2016	Arts and recreation services	1269
Sydney - Ryde	2016	Construction	5191
Sydney - Ryde	2016	Education and training	8432
Sydney - Ryde	2016	Electricity gas water and waste services	581
Sydney - Ryde	2016	Financial and insurance services	6819
Sydney - Ryde	2016	Health care and social assistance	10902
Sydney - Ryde	2016	Information media and telecommunications	3535
Sydney - Ryde	2016	Manufacturing	4146
Sydney - Ryde	2016	Mining	140
Sydney - Ryde	2016	Other services	2866
Sydney - Ryde	2016	Professional scientific and technical services	11708
