SA4_NAME16	Year	Rent.min	TotalHouseholdIncome.min	occupied_private_dwellings_being_rented
Capital Region	2016	10500		149
Capital Region	2016	10500	-1	18
Capital Region	2016	10500	52	23
Capital Region	2016	10500	7800	88
Capital Region	2016	10500	15600	127
Capital Region	2016	10500	20800	261
Capital Region	2016	10500	26000	231
Capital Region	2016	10500	33800	286
Capital Region	2016	10500	41600	238
Capital Region	2016	10500	52000	213
Capital Region	2016	10500	65000	146
Capital Region	2016	10500	78000	164
Capital Region	2016	10500	104000	79
Capital Region	2016	10500	130000	16
Capital Region	2016	10500	156000	25
Capital Region	2016	10500	208000	4
Capital Region	2016	11812		245
Capital Region	2016	11812	-1	28
Capital Region	2016	11812	52	28
Capital Region	2016	11812	7800	87
Capital Region	2016	11812	15600	142
Capital Region	2016	11812	20800	313
Capital Region	2016	11812	26000	387
Capital Region	2016	11812	33800	433
Capital Region	2016	11812	41600	383
Capital Region	2016	11812	52000	424
Capital Region	2016	11812	65000	318
Capital Region	2016	11812	78000	342
Capital Region	2016	11812	104000	204
Capital Region	2016	11812	130000	68
Capital Region	2016	11812	156000	69
Capital Region	2016	11812	208000	14
Capital Region	2016	14437		323
Capital Region	2016	14437	-1	34
Capital Region	2016	14437	52	20
Capital Region	2016	14437	7800	54
Capital Region	2016	14437	15600	105
Capital Region	2016	14437	20800	196
Capital Region	2016	14437	26000	270
Capital Region	2016	14437	33800	417
Capital Region	2016	14437	41600	443
Capital Region	2016	14437	52000	561
Capital Region	2016	14437	65000	511
Capital Region	2016	14437	78000	601
Capital Region	2016	14437	104000	390
Capital Region	2016	14437	130000	151
Capital Region	2016	14437	156000	160
Capital Region	2016	14437	208000	75
Capital Region	2016	18375		269
Capital Region	2016	18375	-1	24
Capital Region	2016	18375	52	8
Capital Region	2016	18375	7800	20
Capital Region	2016	18375	15600	35
Capital Region	2016	18375	20800	80
Capital Region	2016	18375	26000	110
Capital Region	2016	18375	33800	189
Capital Region	2016	18375	41600	207
Capital Region	2016	18375	52000	343
Capital Region	2016	18375	65000	388
Capital Region	2016	18375	78000	606
Capital Region	2016	18375	104000	483
Capital Region	2016	18375	130000	229
Capital Region	2016	18375	156000	196
Capital Region	2016	18375	208000	103
Capital Region	2016	23625		80
Capital Region	2016	23625	-1	0
Capital Region	2016	23625	52	3
Capital Region	2016	23625	7800	3
Capital Region	2016	23625	15600	3
Capital Region	2016	23625	20800	14
Capital Region	2016	23625	26000	19
Capital Region	2016	23625	33800	26
Capital Region	2016	23625	41600	36
Capital Region	2016	23625	52000	51
Capital Region	2016	23625	65000	65
Capital Region	2016	23625	78000	133
Capital Region	2016	23625	104000	152
Capital Region	2016	23625	130000	92
Capital Region	2016	23625	156000	112
Capital Region	2016	23625	208000	62
Capital Region	2016	28875		36
Capital Region	2016	28875	-1	0
Capital Region	2016	28875	52	3
Capital Region	2016	28875	7800	6
Capital Region	2016	28875	15600	0
Capital Region	2016	28875	20800	3
Capital Region	2016	28875	26000	3
Capital Region	2016	28875	33800	8
Capital Region	2016	28875	41600	13
Capital Region	2016	28875	52000	10
Capital Region	2016	28875	65000	19
Capital Region	2016	28875	78000	27
Capital Region	2016	28875	104000	57
Capital Region	2016	28875	130000	45
Capital Region	2016	28875	156000	61
Capital Region	2016	28875	208000	40
Capital Region	2016	34125		55
Capital Region	2016	34125	-1	5
Capital Region	2016	34125	52	5
Capital Region	2016	34125	7800	6
Capital Region	2016	34125	15600	9
Capital Region	2016	34125	20800	11
Capital Region	2016	34125	26000	18
Capital Region	2016	34125	33800	13
Capital Region	2016	34125	41600	15
Capital Region	2016	34125	52000	19
Capital Region	2016	34125	65000	21
Capital Region	2016	34125	78000	46
Capital Region	2016	34125	104000	60
Capital Region	2016	34125	130000	47
Capital Region	2016	34125	156000	85
Capital Region	2016	34125	208000	107
Central Coast	2006			231
Central Coast	2006		-1	27
Central Coast	2006		52	24
Central Coast	2006		7800	118
Central Coast	2006		15600	83
Central Coast	2006		20800	36
Central Coast	2006		26000	84
Central Coast	2006		33800	45
Central Coast	2006		41600	32
Central Coast	2006		52000	46
Central Coast	2006		65000	22
Central Coast	2006		78000	26
Central Coast	2006		104000	9
Central Coast	2006		130000	9
Central Coast	2006		156000	0
Central Coast	2006		208000	0
Central Coast	2006	0		231
Central Coast	2006	0	-1	37
Central Coast	2006	0	52	111
Central Coast	2006	0	7800	954
Central Coast	2006	0	15600	499
Central Coast	2006	0	20800	89
Central Coast	2006	0	26000	259
Central Coast	2006	0	33800	94
Central Coast	2006	0	41600	73
Central Coast	2006	0	52000	111
Central Coast	2006	0	65000	62
Central Coast	2006	0	78000	47
Central Coast	2006	0	104000	29
Central Coast	2006	0	130000	16
Central Coast	2006	0	156000	12
Central Coast	2006	0	208000	3
Central Coast	2006	3937		82
Central Coast	2006	3937	-1	5
Central Coast	2006	3937	52	44
Central Coast	2006	3937	7800	182
Central Coast	2006	3937	15600	237
Central Coast	2006	3937	20800	76
Central Coast	2006	3937	26000	133
Central Coast	2006	3937	33800	30
Central Coast	2006	3937	41600	24
Central Coast	2006	3937	52000	24
Central Coast	2006	3937	65000	3
Central Coast	2006	3937	78000	5
Central Coast	2006	3937	104000	5
Central Coast	2006	3937	130000	0
Central Coast	2006	3937	156000	0
Central Coast	2006	3937	208000	0
Central Coast	2006	5250		248
Central Coast	2006	5250	-1	32
Central Coast	2006	5250	52	61
Central Coast	2006	5250	7800	443
Central Coast	2006	5250	15600	596
Central Coast	2006	5250	20800	329
Central Coast	2006	5250	26000	563
Central Coast	2006	5250	33800	191
Central Coast	2006	5250	41600	140
Central Coast	2006	5250	52000	141
Central Coast	2006	5250	65000	54
Central Coast	2006	5250	78000	28
Central Coast	2006	5250	104000	10
Central Coast	2006	5250	130000	14
Central Coast	2006	5250	156000	6
Central Coast	2006	5250	208000	0
Central Coast	2006	7875		445
Central Coast	2006	7875	-1	49
Central Coast	2006	7875	52	89
Central Coast	2006	7875	7800	448
Central Coast	2006	7875	15600	905
Central Coast	2006	7875	20800	308
Central Coast	2006	7875	26000	1246
Central Coast	2006	7875	33800	717
Central Coast	2006	7875	41600	551
Central Coast	2006	7875	52000	614
Central Coast	2006	7875	65000	255
Central Coast	2006	7875	78000	167
Central Coast	2006	7875	104000	50
Central Coast	2006	7875	130000	32
Central Coast	2006	7875	156000	3
Central Coast	2006	7875	208000	6
Central Coast	2006	10500		395
Central Coast	2006	10500	-1	40
Central Coast	2006	10500	52	43
Central Coast	2006	10500	7800	172
Central Coast	2006	10500	15600	438
Central Coast	2006	10500	20800	180
Central Coast	2006	10500	26000	1023
Central Coast	2006	10500	33800	547
Central Coast	2006	10500	41600	551
Central Coast	2006	10500	52000	798
Central Coast	2006	10500	65000	318
Central Coast	2006	10500	78000	310
Central Coast	2006	10500	104000	103
Central Coast	2006	10500	130000	45
Central Coast	2006	10500	156000	11
Central Coast	2006	10500	208000	4
Central Coast	2006	11812		604
Central Coast	2006	11812	-1	49
Central Coast	2006	11812	52	37
Central Coast	2006	11812	7800	160
Central Coast	2006	11812	15600	378
Central Coast	2006	11812	20800	135
Central Coast	2006	11812	26000	938
Central Coast	2006	11812	33800	689
Central Coast	2006	11812	41600	699
Central Coast	2006	11812	52000	1135
Central Coast	2006	11812	65000	612
Central Coast	2006	11812	78000	679
Central Coast	2006	11812	104000	237
Central Coast	2006	11812	130000	118
Central Coast	2006	11812	156000	35
Central Coast	2006	11812	208000	12
Central Coast	2006	14437		343
Central Coast	2006	14437	-1	20
Central Coast	2006	14437	52	25
Central Coast	2006	14437	7800	40
Central Coast	2006	14437	15600	88
Central Coast	2006	14437	20800	33
Central Coast	2006	14437	26000	309
Central Coast	2006	14437	33800	209
Central Coast	2006	14437	41600	260
Central Coast	2006	14437	52000	492
Central Coast	2006	14437	65000	340
Central Coast	2006	14437	78000	410
Central Coast	2006	14437	104000	229
Central Coast	2006	14437	130000	156
Central Coast	2006	14437	156000	68
Central Coast	2006	14437	208000	6
Central Coast	2006	18375		117
Central Coast	2006	18375	-1	15
Central Coast	2006	18375	52	3
Central Coast	2006	18375	7800	11
