SA4_NAME16	Year	SameAddress5YearsAgo	persons
Migratory - Offshore - Shipping (WA)	2011	1	165
Migratory - Offshore - Shipping (WA)	2016		81
Migratory - Offshore - Shipping (WA)	2016	0	206
Migratory - Offshore - Shipping (WA)	2016	1	147
No usual address (WA)	2006		1075
No usual address (WA)	2006	0	4384
No usual address (WA)	2006	1	527
No usual address (WA)	2011		1666
No usual address (WA)	2011	0	4913
No usual address (WA)	2011	1	720
No usual address (WA)	2016		1785
No usual address (WA)	2016	0	3440
No usual address (WA)	2016	1	725
Hobart	2006		24234
Hobart	2006	0	72718
Hobart	2006	1	104605
Hobart	2011		23723
Hobart	2011	0	73519
Hobart	2011	1	114413
Hobart	2016		27419
Hobart	2016	0	76996
Hobart	2016	1	117941
Launceston and North East	2006		15149
Launceston and North East	2006	0	48627
Launceston and North East	2006	1	70154
Launceston and North East	2011		14303
Launceston and North East	2011	0	46942
Launceston and North East	2011	1	76311
Launceston and North East	2016		18477
Launceston and North East	2016	0	45861
Launceston and North East	2016	1	76146
South East	2006		4010
South East	2006	0	11658
South East	2006	1	18229
South East	2011		4050
South East	2011	0	11218
South East	2011	1	20529
South East	2016		4864
South East	2016	0	10719
South East	2016	1	21536
West and North West	2006		11259
West and North West	2006	0	37731
West and North West	2006	1	57141
West and North West	2011		12033
West and North West	2011	0	36080
West and North West	2011	1	61040
West and North West	2016		13806
West and North West	2016	0	34134
West and North West	2016	1	61084
Migratory - Offshore - Shipping (Tas.)	2006		8
Migratory - Offshore - Shipping (Tas.)	2006	0	63
Migratory - Offshore - Shipping (Tas.)	2006	1	18
Migratory - Offshore - Shipping (Tas.)	2011		13
Migratory - Offshore - Shipping (Tas.)	2011	0	59
Migratory - Offshore - Shipping (Tas.)	2011	1	41
Migratory - Offshore - Shipping (Tas.)	2016		2
Migratory - Offshore - Shipping (Tas.)	2016	0	29
Migratory - Offshore - Shipping (Tas.)	2016	1	37
No usual address (Tas.)	2006		128
No usual address (Tas.)	2006	0	639
No usual address (Tas.)	2006	1	105
No usual address (Tas.)	2011		226
No usual address (Tas.)	2011	0	746
No usual address (Tas.)	2011	1	100
No usual address (Tas.)	2016		238
No usual address (Tas.)	2016	0	541
No usual address (Tas.)	2016	1	133
Darwin	2006		20056
Darwin	2006	0	47207
Darwin	2006	1	38729
Darwin	2011		23169
Darwin	2011	0	52646
Darwin	2011	1	44771
Darwin	2016		26681
Darwin	2016	0	62358
Darwin	2016	1	47789
Northern Territory - Outback	2006		16292
Northern Territory - Outback	2006	0	26426
Northern Territory - Outback	2006	1	42192
Northern Territory - Outback	2011		15192
Northern Territory - Outback	2011	0	27882
Northern Territory - Outback	2011	1	46300
Northern Territory - Outback	2016		17973
Northern Territory - Outback	2016	0	25239
Northern Territory - Outback	2016	1	46231
Migratory - Offshore - Shipping (NT)	2006		19
Migratory - Offshore - Shipping (NT)	2006	0	42
Migratory - Offshore - Shipping (NT)	2006	1	33
Migratory - Offshore - Shipping (NT)	2011		18
Migratory - Offshore - Shipping (NT)	2011	0	46
Migratory - Offshore - Shipping (NT)	2011	1	43
Migratory - Offshore - Shipping (NT)	2016		20
Migratory - Offshore - Shipping (NT)	2016	0	8
Migratory - Offshore - Shipping (NT)	2016	1	42
No usual address (NT)	2006		366
No usual address (NT)	2006	0	1369
No usual address (NT)	2006	1	166
No usual address (NT)	2011		340
No usual address (NT)	2011	0	1357
No usual address (NT)	2011	1	173
No usual address (NT)	2016		768
No usual address (NT)	2016	0	1326
No usual address (NT)	2016	1	395
Australian Capital Territory	2006		36970
Australian Capital Territory	2006	0	125698
Australian Capital Territory	2006	1	160657
Australian Capital Territory	2011		39526
Australian Capital Territory	2011	0	141879
Australian Capital Territory	2011	1	175181
Australian Capital Territory	2016		49279
Australian Capital Territory	2016	0	165732
Australian Capital Territory	2016	1	181846
Migratory - Offshore - Shipping (ACT)	2006		0
Migratory - Offshore - Shipping (ACT)	2006	0	0
Migratory - Offshore - Shipping (ACT)	2006	1	0
Migratory - Offshore - Shipping (ACT)	2011		0
Migratory - Offshore - Shipping (ACT)	2011	0	0
Migratory - Offshore - Shipping (ACT)	2011	1	0
Migratory - Offshore - Shipping (ACT)	2016		0
Migratory - Offshore - Shipping (ACT)	2016	0	0
Migratory - Offshore - Shipping (ACT)	2016	1	0
No usual address (ACT)	2006		140
No usual address (ACT)	2006	0	507
No usual address (ACT)	2006	1	62
No usual address (ACT)	2011		101
No usual address (ACT)	2011	0	481
No usual address (ACT)	2011	1	48
No usual address (ACT)	2016		138
No usual address (ACT)	2016	0	336
No usual address (ACT)	2016	1	64
Other Territories	2006		312
Other Territories	2006	0	713
Other Territories	2006	1	1265
Other Territories	2011		1026
Other Territories	2011	0	737
Other Territories	2011	1	1241
Other Territories	2016		1012
Other Territories	2016	0	1109
Other Territories	2016	1	2402
Migratory - Offshore - Shipping (OT)	2006		0
Migratory - Offshore - Shipping (OT)	2006	0	0
Migratory - Offshore - Shipping (OT)	2006	1	0
Migratory - Offshore - Shipping (OT)	2011		0
Migratory - Offshore - Shipping (OT)	2011	0	0
Migratory - Offshore - Shipping (OT)	2011	1	0
Migratory - Offshore - Shipping (OT)	2016		-2
Migratory - Offshore - Shipping (OT)	2016	0	4
Migratory - Offshore - Shipping (OT)	2016	1	4
No usual address (OT)	2006		6
No usual address (OT)	2006	0	16
No usual address (OT)	2006	1	3
No usual address (OT)	2011		-2
No usual address (OT)	2011	0	28
No usual address (OT)	2011	1	0
No usual address (OT)	2016		12
No usual address (OT)	2016	0	29
No usual address (OT)	2016	1	14
