SA4_NAME16	Year	EduInstitutionType	students
Sydney - Inner West	2011	Infants/Primary	16404
Sydney - Inner West	2011	Pre-school	3958
Sydney - Inner West	2011	Secondary	13363
Sydney - Inner West	2011	Technical or Further Educational Institution	5696
Sydney - Inner West	2011	University or other tertiary	18908
Sydney - Inner West	2016		22931
Sydney - Inner West	2016	Infants/Primary	19481
Sydney - Inner West	2016	Pre-school	4418
Sydney - Inner West	2016	Secondary	14579
Sydney - Inner West	2016	Technical or Further Educational Institution	5227
Sydney - Inner West	2016	University or other tertiary	24265
Sydney - North Sydney and Hornsby	2006		27900
Sydney - North Sydney and Hornsby	2006	Infants/Primary	26902
Sydney - North Sydney and Hornsby	2006	Pre-school	6519
Sydney - North Sydney and Hornsby	2006	Secondary	24225
Sydney - North Sydney and Hornsby	2006	Technical or Further Educational Institution	6540
Sydney - North Sydney and Hornsby	2006	University or other tertiary	21073
Sydney - North Sydney and Hornsby	2011		23758
Sydney - North Sydney and Hornsby	2011	Infants/Primary	30233
Sydney - North Sydney and Hornsby	2011	Pre-school	7420
Sydney - North Sydney and Hornsby	2011	Secondary	25422
Sydney - North Sydney and Hornsby	2011	Technical or Further Educational Institution	6524
Sydney - North Sydney and Hornsby	2011	University or other tertiary	23673
Sydney - North Sydney and Hornsby	2016		24157
Sydney - North Sydney and Hornsby	2016	Infants/Primary	34653
Sydney - North Sydney and Hornsby	2016	Pre-school	7831
Sydney - North Sydney and Hornsby	2016	Secondary	27896
Sydney - North Sydney and Hornsby	2016	Technical or Further Educational Institution	5843
Sydney - North Sydney and Hornsby	2016	University or other tertiary	26153
Sydney - Northern Beaches	2006		18898
Sydney - Northern Beaches	2006	Infants/Primary	18083
Sydney - Northern Beaches	2006	Pre-school	4704
Sydney - Northern Beaches	2006	Secondary	13926
Sydney - Northern Beaches	2006	Technical or Further Educational Institution	4791
Sydney - Northern Beaches	2006	University or other tertiary	7650
Sydney - Northern Beaches	2011		14819
Sydney - Northern Beaches	2011	Infants/Primary	20302
Sydney - Northern Beaches	2011	Pre-school	5412
Sydney - Northern Beaches	2011	Secondary	15018
Sydney - Northern Beaches	2011	Technical or Further Educational Institution	5009
Sydney - Northern Beaches	2011	University or other tertiary	9369
Sydney - Northern Beaches	2016		16007
Sydney - Northern Beaches	2016	Infants/Primary	23271
Sydney - Northern Beaches	2016	Pre-school	5264
Sydney - Northern Beaches	2016	Secondary	17387
Sydney - Northern Beaches	2016	Technical or Further Educational Institution	4223
Sydney - Northern Beaches	2016	University or other tertiary	10742
Sydney - Outer South West	2006		18816
Sydney - Outer South West	2006	Infants/Primary	22891
Sydney - Outer South West	2006	Pre-school	4604
Sydney - Outer South West	2006	Secondary	18002
Sydney - Outer South West	2006	Technical or Further Educational Institution	5800
Sydney - Outer South West	2006	University or other tertiary	5349
Sydney - Outer South West	2011		16814
Sydney - Outer South West	2011	Infants/Primary	22019
Sydney - Outer South West	2011	Pre-school	4947
Sydney - Outer South West	2011	Secondary	17990
Sydney - Outer South West	2011	Technical or Further Educational Institution	6106
Sydney - Outer South West	2011	University or other tertiary	7485
Sydney - Outer South West	2016		17758
Sydney - Outer South West	2016	Infants/Primary	25445
Sydney - Outer South West	2016	Pre-school	5161
Sydney - Outer South West	2016	Secondary	18861
Sydney - Outer South West	2016	Technical or Further Educational Institution	5066
Sydney - Outer South West	2016	University or other tertiary	9898
Sydney - Outer West and Blue Mountains	2006		21381
Sydney - Outer West and Blue Mountains	2006	Infants/Primary	26494
Sydney - Outer West and Blue Mountains	2006	Pre-school	5698
Sydney - Outer West and Blue Mountains	2006	Secondary	20781
Sydney - Outer West and Blue Mountains	2006	Technical or Further Educational Institution	7395
Sydney - Outer West and Blue Mountains	2006	University or other tertiary	7503
Sydney - Outer West and Blue Mountains	2011		19949
Sydney - Outer West and Blue Mountains	2011	Infants/Primary	25337
Sydney - Outer West and Blue Mountains	2011	Pre-school	5939
Sydney - Outer West and Blue Mountains	2011	Secondary	20555
Sydney - Outer West and Blue Mountains	2011	Technical or Further Educational Institution	7906
Sydney - Outer West and Blue Mountains	2011	University or other tertiary	9517
Sydney - Outer West and Blue Mountains	2016		20821
Sydney - Outer West and Blue Mountains	2016	Infants/Primary	27351
Sydney - Outer West and Blue Mountains	2016	Pre-school	6153
Sydney - Outer West and Blue Mountains	2016	Secondary	20630
Sydney - Outer West and Blue Mountains	2016	Technical or Further Educational Institution	6476
Sydney - Outer West and Blue Mountains	2016	University or other tertiary	11544
Sydney - Parramatta	2006		38983
Sydney - Parramatta	2006	Infants/Primary	28063
Sydney - Parramatta	2006	Pre-school	5262
Sydney - Parramatta	2006	Secondary	23051
Sydney - Parramatta	2006	Technical or Further Educational Institution	10335
Sydney - Parramatta	2006	University or other tertiary	15464
Sydney - Parramatta	2011		37191
Sydney - Parramatta	2011	Infants/Primary	29333
Sydney - Parramatta	2011	Pre-school	6291
Sydney - Parramatta	2011	Secondary	24960
Sydney - Parramatta	2011	Technical or Further Educational Institution	10770
Sydney - Parramatta	2011	University or other tertiary	20377
Sydney - Parramatta	2016		37499
Sydney - Parramatta	2016	Infants/Primary	35910
Sydney - Parramatta	2016	Pre-school	7439
Sydney - Parramatta	2016	Secondary	26408
Sydney - Parramatta	2016	Technical or Further Educational Institution	9246
Sydney - Parramatta	2016	University or other tertiary	27602
Sydney - Ryde	2006		12086
Sydney - Ryde	2006	Infants/Primary	11479
Sydney - Ryde	2006	Pre-school	2472
Sydney - Ryde	2006	Secondary	10684
Sydney - Ryde	2006	Technical or Further Educational Institution	3535
Sydney - Ryde	2006	University or other tertiary	11788
Sydney - Ryde	2011		9087
Sydney - Ryde	2011	Infants/Primary	11904
Sydney - Ryde	2011	Pre-school	2830
Sydney - Ryde	2011	Secondary	10781
Sydney - Ryde	2011	Technical or Further Educational Institution	3461
Sydney - Ryde	2011	University or other tertiary	14084
Sydney - Ryde	2016		9483
Sydney - Ryde	2016	Infants/Primary	13832
Sydney - Ryde	2016	Pre-school	3061
Sydney - Ryde	2016	Secondary	11434
Sydney - Ryde	2016	Technical or Further Educational Institution	3546
Sydney - Ryde	2016	University or other tertiary	16749
Sydney - South West	2006		34322
Sydney - South West	2006	Infants/Primary	31509
Sydney - South West	2006	Pre-school	5196
Sydney - South West	2006	Secondary	25711
Sydney - South West	2006	Technical or Further Educational Institution	9556
Sydney - South West	2006	University or other tertiary	8927
Sydney - South West	2011		31714
Sydney - South West	2011	Infants/Primary	31203
Sydney - South West	2011	Pre-school	5745
Sydney - South West	2011	Secondary	28123
Sydney - South West	2011	Technical or Further Educational Institution	9861
