SA4_NAME16	Year	Age	NonSchoolQualification	Sex	adults
Newcastle and Lake Macquarie	2011	45-54	Postgraduate	F	836
Newcastle and Lake Macquarie	2011	45-54	Postgraduate	M	968
Newcastle and Lake Macquarie	2011	55-64		F	2366
Newcastle and Lake Macquarie	2011	55-64		M	1812
Newcastle and Lake Macquarie	2011	55-64	Certificate nfd	F	753
Newcastle and Lake Macquarie	2011	55-64	Certificate nfd	M	402
Newcastle and Lake Macquarie	2011	55-64	Certificate I and II Level	F	317
Newcastle and Lake Macquarie	2011	55-64	Certificate I and II Level	M	121
Newcastle and Lake Macquarie	2011	55-64	Certificate III and IV Level	F	1643
Newcastle and Lake Macquarie	2011	55-64	Certificate III and IV Level	M	6414
Newcastle and Lake Macquarie	2011	55-64	Advanced Diploma and Diploma	F	2220
Newcastle and Lake Macquarie	2011	55-64	Advanced Diploma and Diploma	M	1634
Newcastle and Lake Macquarie	2011	55-64	Bachelor	F	2354
Newcastle and Lake Macquarie	2011	55-64	Bachelor	M	2213
Newcastle and Lake Macquarie	2011	55-64	Graduate Diploma and Graduate Certificate	F	562
Newcastle and Lake Macquarie	2011	55-64	Graduate Diploma and Graduate Certificate	M	392
Newcastle and Lake Macquarie	2011	55-64	Postgraduate	F	639
Newcastle and Lake Macquarie	2011	55-64	Postgraduate	M	843
Newcastle and Lake Macquarie	2011	65-74		F	2615
Newcastle and Lake Macquarie	2011	65-74		M	1675
Newcastle and Lake Macquarie	2011	65-74	Certificate nfd	F	423
Newcastle and Lake Macquarie	2011	65-74	Certificate nfd	M	249
Newcastle and Lake Macquarie	2011	65-74	Certificate I and II Level	F	112
Newcastle and Lake Macquarie	2011	65-74	Certificate I and II Level	M	83
Newcastle and Lake Macquarie	2011	65-74	Certificate III and IV Level	F	544
Newcastle and Lake Macquarie	2011	65-74	Certificate III and IV Level	M	4409
Newcastle and Lake Macquarie	2011	65-74	Advanced Diploma and Diploma	F	1096
Newcastle and Lake Macquarie	2011	65-74	Advanced Diploma and Diploma	M	872
Newcastle and Lake Macquarie	2011	65-74	Bachelor	F	1021
Newcastle and Lake Macquarie	2011	65-74	Bachelor	M	1010
Newcastle and Lake Macquarie	2011	65-74	Graduate Diploma and Graduate Certificate	F	189
Newcastle and Lake Macquarie	2011	65-74	Graduate Diploma and Graduate Certificate	M	130
Newcastle and Lake Macquarie	2011	65-74	Postgraduate	F	224
Newcastle and Lake Macquarie	2011	65-74	Postgraduate	M	452
Newcastle and Lake Macquarie	2011	75-84		F	2633
Newcastle and Lake Macquarie	2011	75-84		M	1606
Newcastle and Lake Macquarie	2011	75-84	Certificate nfd	F	205
Newcastle and Lake Macquarie	2011	75-84	Certificate nfd	M	132
Newcastle and Lake Macquarie	2011	75-84	Certificate I and II Level	F	28
Newcastle and Lake Macquarie	2011	75-84	Certificate I and II Level	M	23
Newcastle and Lake Macquarie	2011	75-84	Certificate III and IV Level	F	304
Newcastle and Lake Macquarie	2011	75-84	Certificate III and IV Level	M	2391
Newcastle and Lake Macquarie	2011	75-84	Advanced Diploma and Diploma	F	520
Newcastle and Lake Macquarie	2011	75-84	Advanced Diploma and Diploma	M	448
Newcastle and Lake Macquarie	2011	75-84	Bachelor	F	392
Newcastle and Lake Macquarie	2011	75-84	Bachelor	M	398
Newcastle and Lake Macquarie	2011	75-84	Graduate Diploma and Graduate Certificate	F	50
Newcastle and Lake Macquarie	2011	75-84	Graduate Diploma and Graduate Certificate	M	38
Newcastle and Lake Macquarie	2011	75-84	Postgraduate	F	45
Newcastle and Lake Macquarie	2011	75-84	Postgraduate	M	180
Newcastle and Lake Macquarie	2011	85+		F	1697
Newcastle and Lake Macquarie	2011	85+		M	732
Newcastle and Lake Macquarie	2011	85+	Certificate nfd	F	55
Newcastle and Lake Macquarie	2011	85+	Certificate nfd	M	27
Newcastle and Lake Macquarie	2011	85+	Certificate I and II Level	F	12
Newcastle and Lake Macquarie	2011	85+	Certificate I and II Level	M	5
Newcastle and Lake Macquarie	2011	85+	Certificate III and IV Level	F	91
Newcastle and Lake Macquarie	2011	85+	Certificate III and IV Level	M	693
Newcastle and Lake Macquarie	2011	85+	Advanced Diploma and Diploma	F	128
Newcastle and Lake Macquarie	2011	85+	Advanced Diploma and Diploma	M	131
Newcastle and Lake Macquarie	2011	85+	Bachelor	F	110
Newcastle and Lake Macquarie	2011	85+	Bachelor	M	109
Newcastle and Lake Macquarie	2011	85+	Graduate Diploma and Graduate Certificate	F	5
Newcastle and Lake Macquarie	2011	85+	Graduate Diploma and Graduate Certificate	M	3
Newcastle and Lake Macquarie	2011	85+	Postgraduate	F	15
Newcastle and Lake Macquarie	2011	85+	Postgraduate	M	34
Newcastle and Lake Macquarie	2016	15-19		F	583
Newcastle and Lake Macquarie	2016	15-19		M	647
Newcastle and Lake Macquarie	2016	15-19	Certificate nfd	F	78
Newcastle and Lake Macquarie	2016	15-19	Certificate nfd	M	49
Newcastle and Lake Macquarie	2016	15-19	Certificate I and II Level	F	218
Newcastle and Lake Macquarie	2016	15-19	Certificate I and II Level	M	125
Newcastle and Lake Macquarie	2016	15-19	Certificate III and IV Level	F	560
Newcastle and Lake Macquarie	2016	15-19	Certificate III and IV Level	M	388
Newcastle and Lake Macquarie	2016	15-19	Advanced Diploma and Diploma	F	122
Newcastle and Lake Macquarie	2016	15-19	Advanced Diploma and Diploma	M	52
Newcastle and Lake Macquarie	2016	15-19	Bachelor	F	3
Newcastle and Lake Macquarie	2016	15-19	Bachelor	M	9
Newcastle and Lake Macquarie	2016	15-19	Graduate Diploma and Graduate Certificate	F	6
Newcastle and Lake Macquarie	2016	15-19	Graduate Diploma and Graduate Certificate	M	3
Newcastle and Lake Macquarie	2016	15-19	Postgraduate	F	0
Newcastle and Lake Macquarie	2016	15-19	Postgraduate	M	0
Newcastle and Lake Macquarie	2016	20-24		F	704
Newcastle and Lake Macquarie	2016	20-24		M	694
Newcastle and Lake Macquarie	2016	20-24	Certificate nfd	F	233
Newcastle and Lake Macquarie	2016	20-24	Certificate nfd	M	138
Newcastle and Lake Macquarie	2016	20-24	Certificate I and II Level	F	319
Newcastle and Lake Macquarie	2016	20-24	Certificate I and II Level	M	252
Newcastle and Lake Macquarie	2016	20-24	Certificate III and IV Level	F	2251
Newcastle and Lake Macquarie	2016	20-24	Certificate III and IV Level	M	2641
Newcastle and Lake Macquarie	2016	20-24	Advanced Diploma and Diploma	F	870
Newcastle and Lake Macquarie	2016	20-24	Advanced Diploma and Diploma	M	491
Newcastle and Lake Macquarie	2016	20-24	Bachelor	F	1562
Newcastle and Lake Macquarie	2016	20-24	Bachelor	M	988
Newcastle and Lake Macquarie	2016	20-24	Graduate Diploma and Graduate Certificate	F	56
Newcastle and Lake Macquarie	2016	20-24	Graduate Diploma and Graduate Certificate	M	16
Newcastle and Lake Macquarie	2016	20-24	Postgraduate	F	59
Newcastle and Lake Macquarie	2016	20-24	Postgraduate	M	25
Newcastle and Lake Macquarie	2016	25-34		F	1309
Newcastle and Lake Macquarie	2016	25-34		M	1514
Newcastle and Lake Macquarie	2016	25-34	Certificate nfd	F	403
Newcastle and Lake Macquarie	2016	25-34	Certificate nfd	M	258
Newcastle and Lake Macquarie	2016	25-34	Certificate I and II Level	F	419
Newcastle and Lake Macquarie	2016	25-34	Certificate I and II Level	M	269
Newcastle and Lake Macquarie	2016	25-34	Certificate III and IV Level	F	4234
Newcastle and Lake Macquarie	2016	25-34	Certificate III and IV Level	M	7259
Newcastle and Lake Macquarie	2016	25-34	Advanced Diploma and Diploma	F	2629
Newcastle and Lake Macquarie	2016	25-34	Advanced Diploma and Diploma	M	1732
Newcastle and Lake Macquarie	2016	25-34	Bachelor	F	6837
Newcastle and Lake Macquarie	2016	25-34	Bachelor	M	4366
Newcastle and Lake Macquarie	2016	25-34	Graduate Diploma and Graduate Certificate	F	521
Newcastle and Lake Macquarie	2016	25-34	Graduate Diploma and Graduate Certificate	M	241
Newcastle and Lake Macquarie	2016	25-34	Postgraduate	F	1445
Newcastle and Lake Macquarie	2016	25-34	Postgraduate	M	1020
Newcastle and Lake Macquarie	2016	35-44		F	1244
Newcastle and Lake Macquarie	2016	35-44		M	1392
Newcastle and Lake Macquarie	2016	35-44	Certificate nfd	F	608
Newcastle and Lake Macquarie	2016	35-44	Certificate nfd	M	338
Newcastle and Lake Macquarie	2016	35-44	Certificate I and II Level	F	461
Newcastle and Lake Macquarie	2016	35-44	Certificate I and II Level	M	202
Newcastle and Lake Macquarie	2016	35-44	Certificate III and IV Level	F	3609
Newcastle and Lake Macquarie	2016	35-44	Certificate III and IV Level	M	6501
Newcastle and Lake Macquarie	2016	35-44	Advanced Diploma and Diploma	F	3001
Newcastle and Lake Macquarie	2016	35-44	Advanced Diploma and Diploma	M	2246
Newcastle and Lake Macquarie	2016	35-44	Bachelor	F	5770
Newcastle and Lake Macquarie	2016	35-44	Bachelor	M	3700
Newcastle and Lake Macquarie	2016	35-44	Graduate Diploma and Graduate Certificate	F	680
Newcastle and Lake Macquarie	2016	35-44	Graduate Diploma and Graduate Certificate	M	346
Newcastle and Lake Macquarie	2016	35-44	Postgraduate	F	1516
Newcastle and Lake Macquarie	2016	35-44	Postgraduate	M	1338
Newcastle and Lake Macquarie	2016	45-54		F	1652
Newcastle and Lake Macquarie	2016	45-54		M	1715
Newcastle and Lake Macquarie	2016	45-54	Certificate nfd	F	912
Newcastle and Lake Macquarie	2016	45-54	Certificate nfd	M	403
Newcastle and Lake Macquarie	2016	45-54	Certificate I and II Level	F	413
Newcastle and Lake Macquarie	2016	45-54	Certificate I and II Level	M	152
Newcastle and Lake Macquarie	2016	45-54	Certificate III and IV Level	F	3704
Newcastle and Lake Macquarie	2016	45-54	Certificate III and IV Level	M	7532
Newcastle and Lake Macquarie	2016	45-54	Advanced Diploma and Diploma	F	3190
Newcastle and Lake Macquarie	2016	45-54	Advanced Diploma and Diploma	M	2341
Newcastle and Lake Macquarie	2016	45-54	Bachelor	F	3633
Newcastle and Lake Macquarie	2016	45-54	Bachelor	M	2667
Newcastle and Lake Macquarie	2016	45-54	Graduate Diploma and Graduate Certificate	F	656
Newcastle and Lake Macquarie	2016	45-54	Graduate Diploma and Graduate Certificate	M	366
Newcastle and Lake Macquarie	2016	45-54	Postgraduate	F	1125
Newcastle and Lake Macquarie	2016	45-54	Postgraduate	M	1113
Newcastle and Lake Macquarie	2016	55-64		F	2118
Newcastle and Lake Macquarie	2016	55-64		M	1734
Newcastle and Lake Macquarie	2016	55-64	Certificate nfd	F	1055
Newcastle and Lake Macquarie	2016	55-64	Certificate nfd	M	493
Newcastle and Lake Macquarie	2016	55-64	Certificate I and II Level	F	385
Newcastle and Lake Macquarie	2016	55-64	Certificate I and II Level	M	126
Newcastle and Lake Macquarie	2016	55-64	Certificate III and IV Level	F	2455
Newcastle and Lake Macquarie	2016	55-64	Certificate III and IV Level	M	6918
Newcastle and Lake Macquarie	2016	55-64	Advanced Diploma and Diploma	F	2890
Newcastle and Lake Macquarie	2016	55-64	Advanced Diploma and Diploma	M	2019
Newcastle and Lake Macquarie	2016	55-64	Bachelor	F	3044
Newcastle and Lake Macquarie	2016	55-64	Bachelor	M	2551
Newcastle and Lake Macquarie	2016	55-64	Graduate Diploma and Graduate Certificate	F	836
Newcastle and Lake Macquarie	2016	55-64	Graduate Diploma and Graduate Certificate	M	476
Newcastle and Lake Macquarie	2016	55-64	Postgraduate	F	901
Newcastle and Lake Macquarie	2016	55-64	Postgraduate	M	1022
Newcastle and Lake Macquarie	2016	65-74		F	2447
Newcastle and Lake Macquarie	2016	65-74		M	1832
Newcastle and Lake Macquarie	2016	65-74	Certificate nfd	F	833
Newcastle and Lake Macquarie	2016	65-74	Certificate nfd	M	537
Newcastle and Lake Macquarie	2016	65-74	Certificate I and II Level	F	202
Newcastle and Lake Macquarie	2016	65-74	Certificate I and II Level	M	99
Newcastle and Lake Macquarie	2016	65-74	Certificate III and IV Level	F	931
Newcastle and Lake Macquarie	2016	65-74	Certificate III and IV Level	M	5269
Newcastle and Lake Macquarie	2016	65-74	Advanced Diploma and Diploma	F	1621
Newcastle and Lake Macquarie	2016	65-74	Advanced Diploma and Diploma	M	1262
Newcastle and Lake Macquarie	2016	65-74	Bachelor	F	1682
Newcastle and Lake Macquarie	2016	65-74	Bachelor	M	1517
Newcastle and Lake Macquarie	2016	65-74	Graduate Diploma and Graduate Certificate	F	363
Newcastle and Lake Macquarie	2016	65-74	Graduate Diploma and Graduate Certificate	M	251
Newcastle and Lake Macquarie	2016	65-74	Postgraduate	F	433
Newcastle and Lake Macquarie	2016	65-74	Postgraduate	M	677
Newcastle and Lake Macquarie	2016	75-84		F	2354
Newcastle and Lake Macquarie	2016	75-84		M	1445
Newcastle and Lake Macquarie	2016	75-84	Certificate nfd	F	344
Newcastle and Lake Macquarie	2016	75-84	Certificate nfd	M	251
Newcastle and Lake Macquarie	2016	75-84	Certificate I and II Level	F	55
Newcastle and Lake Macquarie	2016	75-84	Certificate I and II Level	M	34
Newcastle and Lake Macquarie	2016	75-84	Certificate III and IV Level	F	283
Newcastle and Lake Macquarie	2016	75-84	Certificate III and IV Level	M	2714
Newcastle and Lake Macquarie	2016	75-84	Advanced Diploma and Diploma	F	723
Newcastle and Lake Macquarie	2016	75-84	Advanced Diploma and Diploma	M	499
Newcastle and Lake Macquarie	2016	75-84	Bachelor	F	600
Newcastle and Lake Macquarie	2016	75-84	Bachelor	M	578
Newcastle and Lake Macquarie	2016	75-84	Graduate Diploma and Graduate Certificate	F	86
Newcastle and Lake Macquarie	2016	75-84	Graduate Diploma and Graduate Certificate	M	62
Newcastle and Lake Macquarie	2016	75-84	Postgraduate	F	88
Newcastle and Lake Macquarie	2016	75-84	Postgraduate	M	276
Newcastle and Lake Macquarie	2016	85+		F	2169
Newcastle and Lake Macquarie	2016	85+		M	918
Newcastle and Lake Macquarie	2016	85+	Certificate nfd	F	124
Newcastle and Lake Macquarie	2016	85+	Certificate nfd	M	71
Newcastle and Lake Macquarie	2016	85+	Certificate I and II Level	F	17
Newcastle and Lake Macquarie	2016	85+	Certificate I and II Level	M	17
Newcastle and Lake Macquarie	2016	85+	Certificate III and IV Level	F	140
Newcastle and Lake Macquarie	2016	85+	Certificate III and IV Level	M	876
Newcastle and Lake Macquarie	2016	85+	Advanced Diploma and Diploma	F	220
Newcastle and Lake Macquarie	2016	85+	Advanced Diploma and Diploma	M	177
Newcastle and Lake Macquarie	2016	85+	Bachelor	F	148
Newcastle and Lake Macquarie	2016	85+	Bachelor	M	151
Newcastle and Lake Macquarie	2016	85+	Graduate Diploma and Graduate Certificate	F	22
Newcastle and Lake Macquarie	2016	85+	Graduate Diploma and Graduate Certificate	M	11
Newcastle and Lake Macquarie	2016	85+	Postgraduate	F	13
Newcastle and Lake Macquarie	2016	85+	Postgraduate	M	60
Richmond - Tweed	2006	15-19		F	843
Richmond - Tweed	2006	15-19		M	883
Richmond - Tweed	2006	15-19	Certificate nfd	F	40
Richmond - Tweed	2006	15-19	Certificate nfd	M	25
Richmond - Tweed	2006	15-19	Certificate I and II Level	F	149
Richmond - Tweed	2006	15-19	Certificate I and II Level	M	83
Richmond - Tweed	2006	15-19	Certificate III and IV Level	F	208
Richmond - Tweed	2006	15-19	Certificate III and IV Level	M	243
Richmond - Tweed	2006	15-19	Advanced Diploma and Diploma	F	36
Richmond - Tweed	2006	15-19	Advanced Diploma and Diploma	M	14
Richmond - Tweed	2006	15-19	Bachelor	F	3
Richmond - Tweed	2006	15-19	Bachelor	M	7
Richmond - Tweed	2006	15-19	Graduate Diploma and Graduate Certificate	F	0
Richmond - Tweed	2006	15-19	Graduate Diploma and Graduate Certificate	M	0
Richmond - Tweed	2006	15-19	Postgraduate	F	0
Richmond - Tweed	2006	15-19	Postgraduate	M	0
Richmond - Tweed	2006	20-24		F	424
Richmond - Tweed	2006	20-24		M	611
Richmond - Tweed	2006	20-24	Certificate nfd	F	125
Richmond - Tweed	2006	20-24	Certificate nfd	M	71
Richmond - Tweed	2006	20-24	Certificate I and II Level	F	284
Richmond - Tweed	2006	20-24	Certificate I and II Level	M	204
Richmond - Tweed	2006	20-24	Certificate III and IV Level	F	794
Richmond - Tweed	2006	20-24	Certificate III and IV Level	M	1044
Richmond - Tweed	2006	20-24	Advanced Diploma and Diploma	F	315
Richmond - Tweed	2006	20-24	Advanced Diploma and Diploma	M	173
Richmond - Tweed	2006	20-24	Bachelor	F	394
Richmond - Tweed	2006	20-24	Bachelor	M	203
Richmond - Tweed	2006	20-24	Graduate Diploma and Graduate Certificate	F	14
Richmond - Tweed	2006	20-24	Graduate Diploma and Graduate Certificate	M	3
Richmond - Tweed	2006	20-24	Postgraduate	F	5
Richmond - Tweed	2006	20-24	Postgraduate	M	7
Richmond - Tweed	2006	25-34		F	969
Richmond - Tweed	2006	25-34		M	1018
Richmond - Tweed	2006	25-34	Certificate nfd	F	341
Richmond - Tweed	2006	25-34	Certificate nfd	M	145
Richmond - Tweed	2006	25-34	Certificate I and II Level	F	345
Richmond - Tweed	2006	25-34	Certificate I and II Level	M	183
Richmond - Tweed	2006	25-34	Certificate III and IV Level	F	1578
Richmond - Tweed	2006	25-34	Certificate III and IV Level	M	2851
Richmond - Tweed	2006	25-34	Advanced Diploma and Diploma	F	982
Richmond - Tweed	2006	25-34	Advanced Diploma and Diploma	M	462
Richmond - Tweed	2006	25-34	Bachelor	F	1910
Richmond - Tweed	2006	25-34	Bachelor	M	1110
Richmond - Tweed	2006	25-34	Graduate Diploma and Graduate Certificate	F	168
Richmond - Tweed	2006	25-34	Graduate Diploma and Graduate Certificate	M	84
Richmond - Tweed	2006	25-34	Postgraduate	F	126
Richmond - Tweed	2006	25-34	Postgraduate	M	79
Richmond - Tweed	2006	35-44		F	1633
Richmond - Tweed	2006	35-44		M	1418
Richmond - Tweed	2006	35-44	Certificate nfd	F	505
Richmond - Tweed	2006	35-44	Certificate nfd	M	173
Richmond - Tweed	2006	35-44	Certificate I and II Level	F	368
Richmond - Tweed	2006	35-44	Certificate I and II Level	M	133
Richmond - Tweed	2006	35-44	Certificate III and IV Level	F	1891
Richmond - Tweed	2006	35-44	Certificate III and IV Level	M	4198
Richmond - Tweed	2006	35-44	Advanced Diploma and Diploma	F	1645
Richmond - Tweed	2006	35-44	Advanced Diploma and Diploma	M	832
Richmond - Tweed	2006	35-44	Bachelor	F	2180
Richmond - Tweed	2006	35-44	Bachelor	M	1490
Richmond - Tweed	2006	35-44	Graduate Diploma and Graduate Certificate	F	342
Richmond - Tweed	2006	35-44	Graduate Diploma and Graduate Certificate	M	163
Richmond - Tweed	2006	35-44	Postgraduate	F	284
Richmond - Tweed	2006	35-44	Postgraduate	M	235
Richmond - Tweed	2006	45-54		F	2287
Richmond - Tweed	2006	45-54		M	1676
Richmond - Tweed	2006	45-54	Certificate nfd	F	539
Richmond - Tweed	2006	45-54	Certificate nfd	M	216
Richmond - Tweed	2006	45-54	Certificate I and II Level	F	329
Richmond - Tweed	2006	45-54	Certificate I and II Level	M	113
Richmond - Tweed	2006	45-54	Certificate III and IV Level	F	1711
Richmond - Tweed	2006	45-54	Certificate III and IV Level	M	4952
Richmond - Tweed	2006	45-54	Advanced Diploma and Diploma	F	2041
Richmond - Tweed	2006	45-54	Advanced Diploma and Diploma	M	1140
Richmond - Tweed	2006	45-54	Bachelor	F	2347
Richmond - Tweed	2006	45-54	Bachelor	M	1735
Richmond - Tweed	2006	45-54	Graduate Diploma and Graduate Certificate	F	505
Richmond - Tweed	2006	45-54	Graduate Diploma and Graduate Certificate	M	276
Richmond - Tweed	2006	45-54	Postgraduate	F	398
Richmond - Tweed	2006	45-54	Postgraduate	M	415
Richmond - Tweed	2006	55-64		F	1807
Richmond - Tweed	2006	55-64		M	1466
Richmond - Tweed	2006	55-64	Certificate nfd	F	338
Richmond - Tweed	2006	55-64	Certificate nfd	M	203
Richmond - Tweed	2006	55-64	Certificate I and II Level	F	150
Richmond - Tweed	2006	55-64	Certificate I and II Level	M	68
Richmond - Tweed	2006	55-64	Certificate III and IV Level	F	780
Richmond - Tweed	2006	55-64	Certificate III and IV Level	M	3595
Richmond - Tweed	2006	55-64	Advanced Diploma and Diploma	F	1233
Richmond - Tweed	2006	55-64	Advanced Diploma and Diploma	M	902
Richmond - Tweed	2006	55-64	Bachelor	F	1223
Richmond - Tweed	2006	55-64	Bachelor	M	1110
Richmond - Tweed	2006	55-64	Graduate Diploma and Graduate Certificate	F	280
Richmond - Tweed	2006	55-64	Graduate Diploma and Graduate Certificate	M	194
Richmond - Tweed	2006	55-64	Postgraduate	F	207
Richmond - Tweed	2006	55-64	Postgraduate	M	357
Richmond - Tweed	2006	65-74		F	2021
Richmond - Tweed	2006	65-74		M	1360
Richmond - Tweed	2006	65-74	Certificate nfd	F	166
Richmond - Tweed	2006	65-74	Certificate nfd	M	97
Richmond - Tweed	2006	65-74	Certificate I and II Level	F	37
Richmond - Tweed	2006	65-74	Certificate I and II Level	M	27
Richmond - Tweed	2006	65-74	Certificate III and IV Level	F	264
Richmond - Tweed	2006	65-74	Certificate III and IV Level	M	2330
Richmond - Tweed	2006	65-74	Advanced Diploma and Diploma	F	633
Richmond - Tweed	2006	65-74	Advanced Diploma and Diploma	M	484
Richmond - Tweed	2006	65-74	Bachelor	F	452
Richmond - Tweed	2006	65-74	Bachelor	M	466
Richmond - Tweed	2006	65-74	Graduate Diploma and Graduate Certificate	F	77
Richmond - Tweed	2006	65-74	Graduate Diploma and Graduate Certificate	M	68
Richmond - Tweed	2006	65-74	Postgraduate	F	56
Richmond - Tweed	2006	65-74	Postgraduate	M	148
Richmond - Tweed	2006	75-84		F	2326
Richmond - Tweed	2006	75-84		M	1532
Richmond - Tweed	2006	75-84	Certificate nfd	F	78
Richmond - Tweed	2006	75-84	Certificate nfd	M	69
Richmond - Tweed	2006	75-84	Certificate I and II Level	F	18
Richmond - Tweed	2006	75-84	Certificate I and II Level	M	11
Richmond - Tweed	2006	75-84	Certificate III and IV Level	F	192
Richmond - Tweed	2006	75-84	Certificate III and IV Level	M	1349
Richmond - Tweed	2006	75-84	Advanced Diploma and Diploma	F	285
Richmond - Tweed	2006	75-84	Advanced Diploma and Diploma	M	264
Richmond - Tweed	2006	75-84	Bachelor	F	197
Richmond - Tweed	2006	75-84	Bachelor	M	246
Richmond - Tweed	2006	75-84	Graduate Diploma and Graduate Certificate	F	17
Richmond - Tweed	2006	75-84	Graduate Diploma and Graduate Certificate	M	20
Richmond - Tweed	2006	75-84	Postgraduate	F	17
Richmond - Tweed	2006	75-84	Postgraduate	M	61
Richmond - Tweed	2006	85+		F	1023
Richmond - Tweed	2006	85+		M	497
Richmond - Tweed	2006	85+	Certificate nfd	F	11
Richmond - Tweed	2006	85+	Certificate nfd	M	14
Richmond - Tweed	2006	85+	Certificate I and II Level	F	3
Richmond - Tweed	2006	85+	Certificate I and II Level	M	0
Richmond - Tweed	2006	85+	Certificate III and IV Level	F	37
Richmond - Tweed	2006	85+	Certificate III and IV Level	M	235
Richmond - Tweed	2006	85+	Advanced Diploma and Diploma	F	78
Richmond - Tweed	2006	85+	Advanced Diploma and Diploma	M	67
Richmond - Tweed	2006	85+	Bachelor	F	49
Richmond - Tweed	2006	85+	Bachelor	M	48
Richmond - Tweed	2006	85+	Graduate Diploma and Graduate Certificate	F	3
Richmond - Tweed	2006	85+	Graduate Diploma and Graduate Certificate	M	3
Richmond - Tweed	2006	85+	Postgraduate	F	3
Richmond - Tweed	2006	85+	Postgraduate	M	4
Richmond - Tweed	2011	15-19		F	656
Richmond - Tweed	2011	15-19		M	738
Richmond - Tweed	2011	15-19	Certificate nfd	F	47
Richmond - Tweed	2011	15-19	Certificate nfd	M	23
Richmond - Tweed	2011	15-19	Certificate I and II Level	F	154
Richmond - Tweed	2011	15-19	Certificate I and II Level	M	91
Richmond - Tweed	2011	15-19	Certificate III and IV Level	F	246
Richmond - Tweed	2011	15-19	Certificate III and IV Level	M	247
Richmond - Tweed	2011	15-19	Advanced Diploma and Diploma	F	49
Richmond - Tweed	2011	15-19	Advanced Diploma and Diploma	M	16
Richmond - Tweed	2011	15-19	Bachelor	F	3
Richmond - Tweed	2011	15-19	Bachelor	M	6
Richmond - Tweed	2011	15-19	Graduate Diploma and Graduate Certificate	F	0
Richmond - Tweed	2011	15-19	Graduate Diploma and Graduate Certificate	M	0
Richmond - Tweed	2011	15-19	Postgraduate	F	0
Richmond - Tweed	2011	15-19	Postgraduate	M	0
Richmond - Tweed	2011	20-24		F	370
Richmond - Tweed	2011	20-24		M	519
Richmond - Tweed	2011	20-24	Certificate nfd	F	100
Richmond - Tweed	2011	20-24	Certificate nfd	M	53
Richmond - Tweed	2011	20-24	Certificate I and II Level	F	231
Richmond - Tweed	2011	20-24	Certificate I and II Level	M	166
Richmond - Tweed	2011	20-24	Certificate III and IV Level	F	918
Richmond - Tweed	2011	20-24	Certificate III and IV Level	M	1228
Richmond - Tweed	2011	20-24	Advanced Diploma and Diploma	F	319
Richmond - Tweed	2011	20-24	Advanced Diploma and Diploma	M	149
Richmond - Tweed	2011	20-24	Bachelor	F	403
Richmond - Tweed	2011	20-24	Bachelor	M	225
Richmond - Tweed	2011	20-24	Graduate Diploma and Graduate Certificate	F	15
Richmond - Tweed	2011	20-24	Graduate Diploma and Graduate Certificate	M	7
Richmond - Tweed	2011	20-24	Postgraduate	F	10
Richmond - Tweed	2011	20-24	Postgraduate	M	12
Richmond - Tweed	2011	25-34		F	815
Richmond - Tweed	2011	25-34		M	903
Richmond - Tweed	2011	25-34	Certificate nfd	F	282
Richmond - Tweed	2011	25-34	Certificate nfd	M	146
Richmond - Tweed	2011	25-34	Certificate I and II Level	F	388
Richmond - Tweed	2011	25-34	Certificate I and II Level	M	173
Richmond - Tweed	2011	25-34	Certificate III and IV Level	F	2019
Richmond - Tweed	2011	25-34	Certificate III and IV Level	M	3187
Richmond - Tweed	2011	25-34	Advanced Diploma and Diploma	F	1081
Richmond - Tweed	2011	25-34	Advanced Diploma and Diploma	M	579
Richmond - Tweed	2011	25-34	Bachelor	F	2266
Richmond - Tweed	2011	25-34	Bachelor	M	1147
Richmond - Tweed	2011	25-34	Graduate Diploma and Graduate Certificate	F	203
Richmond - Tweed	2011	25-34	Graduate Diploma and Graduate Certificate	M	75
Richmond - Tweed	2011	25-34	Postgraduate	F	201
Richmond - Tweed	2011	25-34	Postgraduate	M	117
Richmond - Tweed	2011	35-44		F	1177
Richmond - Tweed	2011	35-44		M	1148
Richmond - Tweed	2011	35-44	Certificate nfd	F	424
Richmond - Tweed	2011	35-44	Certificate nfd	M	141
Richmond - Tweed	2011	35-44	Certificate I and II Level	F	316
Richmond - Tweed	2011	35-44	Certificate I and II Level	M	136
Richmond - Tweed	2011	35-44	Certificate III and IV Level	F	2251
Richmond - Tweed	2011	35-44	Certificate III and IV Level	M	4097
Richmond - Tweed	2011	35-44	Advanced Diploma and Diploma	F	1924
Richmond - Tweed	2011	35-44	Advanced Diploma and Diploma	M	1019
Richmond - Tweed	2011	35-44	Bachelor	F	3020
Richmond - Tweed	2011	35-44	Bachelor	M	1811
Richmond - Tweed	2011	35-44	Graduate Diploma and Graduate Certificate	F	408
Richmond - Tweed	2011	35-44	Graduate Diploma and Graduate Certificate	M	173
Richmond - Tweed	2011	35-44	Postgraduate	F	420
Richmond - Tweed	2011	35-44	Postgraduate	M	286
Richmond - Tweed	2011	45-54		F	1772
Richmond - Tweed	2011	45-54		M	1522
Richmond - Tweed	2011	45-54	Certificate nfd	F	532
Richmond - Tweed	2011	45-54	Certificate nfd	M	198
Richmond - Tweed	2011	45-54	Certificate I and II Level	F	374
Richmond - Tweed	2011	45-54	Certificate I and II Level	M	113
Richmond - Tweed	2011	45-54	Certificate III and IV Level	F	2591
